sequence,v115@6gC8FeD8FeE8EeF8DeD8Jei6IvhFRcB3fBGhBllBUq?BTrB,v115@6gC8FeD8FeE8EeF8DeD8Jem6IvhFRcBTfB3gBcmBFq?BSwB,v115@6gC8FeD8FeE8EeF8DeD8Je06IvhFlbB3cB2kBSqBTm?BxvB,v115@6gC8FeD8FeE8EeF8DeD8Jex6IvhF/kBUgBFhB+rBim?BTqB,v115@6gC8FeD8FeE8EeF8DeD8JeT6IvhFKgBRcBFhB0kB+r?B3qB,v115@6gC8FeD8FeE8EeF8DeD8JeK/IvhFzaBRcBGhB/rBFq?B0qB,v115@6gC8FeD8FeE8EeF8DeD8Jei6IvhFuhBRgB0kBllBTr?B3qB,v115@6gC8FeD8FeE8EeF8DeD8Jex6IvhFTfB/lBFhB+rBim?BUqB,v115@6gC8FeD8FeE8EeF8DeD8Jex6IvhFuhBifBfqBllBTr?B8qB,v115@6gC8FeD8FeE8EeF8DeD8JeT6IvhF/gBUcBumBlkByq?BxvB,v115@6gC8FeD8FeE8EeF8DeD8Jei6IvhFRcBFgB0kBGmB3q?BTrB,v115@6gC8FeD8FeE8EeF8DeD8JeT6IvhFxgB3hBlkBcqBml?BSwB,v115@6gC8FeD8FeE8EeF8DeD8JeR8IvhF/kBThB0lBFlBSw?BmpB,v115@6gC8FeD8FeE8EeF8DeD8JeT6IvhFibBUhBxkBFqBXr?BurB,v115@6gC8FeD8FeE8EeF8DeD8JeR8IvhFTfB0gBFqBXrB6r?BmpB
IZLTOSJ,X,O,X,X,O,O,X,X,X,O,O,O,X,X,X
IZLJTSO,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
IZLJTOS,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X
IZLJSTO,X,O,O,X,O,X,X,X,X,O,O,X,X,X,X
IZLJSOT,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X
IZLJOTS,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IZLJOST,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IZLSTJO,O,O,O,X,X,O,X,X,X,O,O,X,X,O,X
IZLSTOJ,O,O,X,X,X,O,X,X,X,O,O,O,X,O,X
IZLSJTO,O,O,O,X,O,X,X,X,X,O,O,X,X,X,X
IZLSJOT,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X
IZLSOTJ,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X
IZLSOJT,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X
IZLOTJS,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X
IZLOTSJ,O,O,O,X,O,O,O,X,X,X,O,O,O,X,X
IZLOJTS,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IZLOJST,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
IZLOSTJ,O,O,O,X,O,X,X,X,X,O,O,X,O,X,X
IZLOSJT,O,O,O,X,O,O,O,X,X,X,O,X,O,X,X
IZJTLSO,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
IZJTLOS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
IZJTSLO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZJTSOL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZJTOLS,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
IZJTOSL,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IZJLTSO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
IZJLTOS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
IZJLSTO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
IZJLSOT,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X
IZJLOTS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
IZJLOST,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
IZJSTLO,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X
IZJSTOL,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X
IZJSLTO,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
IZJSLOT,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X
IZJSOTL,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X
IZJSOLT,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X
IZJOTLS,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
IZJOTSL,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
IZJOLTS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
IZJOLST,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X
IZJOSTL,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
IZJOSLT,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X
IZSTLJO,O,X,O,X,X,O,X,X,X,X,O,X,X,O,O
IZSTLOJ,O,X,X,X,X,O,X,X,X,X,O,X,X,O,O
IZSTJLO,O,X,O,X,O,O,X,X,X,X,O,X,X,O,X
IZSTJOL,O,X,O,X,O,X,X,X,X,X,O,X,X,O,X
IZSTOLJ,O,X,O,X,X,X,X,O,X,X,O,O,X,O,X
IZSTOJL,X,X,O,X,O,X,X,O,X,X,X,O,X,O,X
IZSLTJO,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X
IZSLTOJ,O,X,X,X,X,O,X,X,X,X,O,X,X,O,X
IZSLJTO,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
IZSLJOT,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X
IZSLOTJ,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZSLOJT,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
IZSJTLO,X,X,O,X,O,O,X,X,X,X,O,X,X,O,X
IZSJTOL,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X
IZSJLTO,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
IZSJLOT,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X
IZSJOTL,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X
IZSJOLT,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X
IZSOTLJ,O,X,O,X,X,X,X,O,X,X,O,X,X,O,X
IZSOTJL,O,X,O,X,O,X,X,O,X,X,X,X,X,O,X
IZSOLTJ,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X
IZSOLJT,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X
IZSOJTL,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X
IZSOJLT,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X
IZOTLJS,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X
IZOTLSJ,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X
IZOTJLS,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X
IZOTJSL,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IZOTSLJ,O,X,X,X,X,X,O,O,X,X,X,O,X,O,X
IZOTSJL,O,X,X,X,X,X,O,O,X,X,X,O,X,O,X
IZOLTJS,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IZOLTSJ,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X
IZOLJTS,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IZOLJST,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X
IZOLSTJ,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X
IZOLSJT,O,O,O,X,O,X,O,O,X,X,O,X,X,X,X
IZOJTLS,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IZOJTSL,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
IZOJLTS,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IZOJLST,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X
IZOJSTL,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
IZOJSLT,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X
IZOSTLJ,O,X,O,X,X,X,X,O,X,X,O,X,X,O,X
IZOSTJL,O,X,O,X,O,X,X,O,X,X,X,X,X,O,X
IZOSLTJ,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X
IZOSLJT,O,X,O,X,O,X,O,O,X,X,O,X,X,X,X
IZOSJTL,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X
IZOSJLT,O,X,O,X,O,X,O,O,X,X,O,X,X,X,X
IOTLJSZ,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IOTLJZS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTLSJZ,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IOTLSZJ,O,X,O,X,X,O,X,X,X,O,X,X,X,O,X
IOTLZJS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTLZSJ,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IOTJLSZ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IOTJLZS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTJSLZ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IOTJSZL,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X
IOTJZLS,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOTJZSL,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
IOTSLJZ,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IOTSLZJ,O,X,O,X,X,O,X,X,X,O,X,X,X,O,O
IOTSJLZ,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IOTSJZL,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X
IOTSZLJ,O,X,O,X,X,X,X,X,X,O,X,X,X,O,O
IOTSZJL,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X
IOTZLJS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTZLSJ,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOTZJLS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTZJSL,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOTZSLJ,O,X,X,X,X,X,O,O,X,O,X,X,X,O,X
IOTZSJL,O,X,X,X,X,X,O,O,X,O,X,X,X,O,X
IOLTJSZ,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IOLTJZS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTSJZ,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IOLTSZJ,O,X,O,X,X,O,X,X,X,O,X,X,O,O,X
IOLTZJS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTZSJ,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X
IOLJTSZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLJTZS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJSTZ,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X
IOLJSZT,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X
IOLJZTS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJZST,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IOLSTJZ,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X
IOLSTZJ,O,X,O,X,X,O,X,X,X,O,X,X,O,X,X
IOLSJTZ,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X
IOLSJZT,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X
IOLSZTJ,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
IOLSZJT,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X
IOLZTJS,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLZTSJ,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X
IOLZJTS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLZJST,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IOLZSTJ,O,O,O,X,X,X,X,O,X,O,X,X,O,X,X
IOLZSJT,O,O,O,X,X,O,X,O,X,X,X,X,O,X,X
IOJTLSZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJTLZS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJTSLZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IOJTSZL,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X
IOJTZLS,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IOJTZSL,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
IOJLTSZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLTZS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLSTZ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IOJLSZT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLZTS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLZST,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOJSTLZ,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
IOJSTZL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOJSLTZ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IOJSLZT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
IOJSZTL,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
IOJSZLT,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
IOJZTLS,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IOJZTSL,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
IOJZLTS,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IOJZLST,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X
IOJZSTL,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
IOJZSLT,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X
IOSTLJZ,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IOSTLZJ,O,X,O,X,X,O,X,X,X,X,X,X,X,O,O
IOSTJLZ,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IOSTJZL,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X
IOSTZLJ,O,X,O,O,X,X,X,X,X,X,X,X,X,O,O
IOSTZJL,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
IOSLTJZ,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IOSLTZJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSLJTZ,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X
IOSLJZT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
IOSLZTJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOSLZJT,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
IOSJTLZ,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
IOSJTZL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOSJLTZ,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X
IOSJLZT,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IOSJZTL,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X
IOSJZLT,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X
IOSZTLJ,O,X,O,O,X,X,X,O,X,X,O,X,X,O,X
IOSZTJL,O,X,O,O,O,X,X,O,X,X,X,X,X,O,X
IOSZLTJ,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X
IOSZLJT,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X
IOSZJTL,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X
IOSZJLT,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X
IOZTLJS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOZTLSJ,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
IOZTJLS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOZTJSL,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOZTSLJ,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X
IOZTSJL,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X
IOZLTJS,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IOZLTSJ,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X
IOZLJTS,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IOZLJST,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X
IOZLSTJ,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X
IOZLSJT,O,O,O,X,O,X,O,O,X,X,O,X,X,X,X
IOZJTLS,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IOZJTSL,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
IOZJLTS,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IOZJLST,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X
IOZJSTL,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
IOZJSLT,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X
IOZSTLJ,O,X,O,X,X,X,X,O,X,X,O,X,X,O,X
IOZSTJL,O,X,O,X,O,X,X,O,X,X,X,X,X,O,X
IOZSLTJ,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X
IOZSLJT,O,X,O,X,O,X,O,O,X,X,O,X,X,X,X
IOZSJTL,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X
IOZSJLT,O,X,O,X,O,X,O,O,X,X,O,X,X,X,X
LTIJSZO,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
LTIJSOZ,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
LTIJZSO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIJZOS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIJOSZ,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X
LTIJOZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
LTISJZO,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O
LTISJOZ,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
LTISZJO,X,O,O,X,X,O,X,X,X,O,X,X,X,O,O
LTISZOJ,X,O,X,X,X,O,X,X,X,O,X,X,X,O,O
LTISOJZ,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X
LTISOZJ,X,X,X,X,X,O,X,X,X,O,X,O,X,O,O
LTIZJSO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIZJOS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIZSJO,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
LTIZSOJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
LTIZOJS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTIZOSJ,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X
LTIOJSZ,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X
LTIOJZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
LTIOSJZ,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X
LTIOSZJ,X,X,O,X,X,O,X,X,X,O,X,O,O,O,X
LTIOZJS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
LTIOZSJ,X,O,O,X,X,O,X,X,X,O,X,O,O,X,X
LTJISZO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTJISOZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTJIZSO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJIZOS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJIOSZ,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
LTJIOZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
LTJSIZO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTJSIOZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTJSZIO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTJSZOI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTJSOIZ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTJSOZI,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
LTJZISO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJZIOS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJZSIO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJZSOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJZOIS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJZOSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJOISZ,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
LTJOIZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
LTJOSIZ,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
LTJOSZI,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
LTJOZIS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJOZSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSIJZO,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O
LTSIJOZ,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
LTSIZJO,X,O,O,X,X,O,X,X,X,O,X,X,X,O,O
LTSIZOJ,X,O,X,X,X,O,X,X,X,O,X,X,X,O,O
LTSIOJZ,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X
LTSIOZJ,X,X,X,X,X,O,X,X,X,O,X,O,X,O,O
LTSJIZO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
LTSJIOZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTSJZIO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
LTSJZOI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
LTSJOIZ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTSJOZI,X,X,O,X,X,O,X,X,O,X,X,X,X,X,O
LTSZIJO,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O
LTSZIOJ,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O
LTSZJIO,X,O,O,X,X,O,X,X,X,X,X,X,X,O,O
LTSZJOI,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O
LTSZOIJ,X,O,X,X,X,O,X,X,X,O,X,X,O,O,O
LTSZOJI,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O
LTSOIJZ,X,O,X,X,X,O,X,X,O,O,X,O,X,X,X
LTSOIZJ,X,X,X,X,X,O,X,X,X,O,X,O,O,X,O
LTSOJIZ,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
LTSOJZI,X,O,O,X,X,O,X,X,O,X,X,X,X,X,O
LTSOZIJ,X,O,X,X,X,O,X,X,X,O,X,X,O,X,O
LTSOZJI,X,O,X,X,X,O,X,X,O,X,X,X,O,X,O
LTZIJSO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZIJOS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
LTZISJO,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LTZISOJ,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
LTZIOJS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTZIOSJ,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
LTZJISO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZJIOS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
LTZJSIO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZJSOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZJOIS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
LTZJOSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZSIJO,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LTZSIOJ,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
LTZSJIO,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LTZSJOI,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LTZSOIJ,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X
LTZSOJI,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
LTZOIJS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTZOISJ,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X
LTZOJIS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTZOJSI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZOSIJ,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X
LTZOSJI,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
LTOIJSZ,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X
LTOIJZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
LTOISJZ,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X
LTOISZJ,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X
LTOIZJS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTOIZSJ,X,O,X,X,X,O,X,X,X,O,X,O,O,X,X
LTOJISZ,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
LTOJIZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
LTOJSIZ,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
LTOJSZI,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
LTOJZIS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTOJZSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTOSIJZ,X,O,X,X,X,O,X,X,O,O,X,O,X,X,X
LTOSIZJ,X,X,X,X,X,O,X,X,X,O,X,O,O,X,O
LTOSJIZ,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
LTOSJZI,X,O,O,X,X,O,X,X,O,X,X,X,X,X,O
LTOSZIJ,X,O,X,X,X,O,X,X,X,O,X,X,O,X,O
LTOSZJI,X,O,X,X,X,O,X,X,O,X,X,X,O,X,O
LTOZIJS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTOZISJ,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X
LTOZJIS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTOZJSI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOZSIJ,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X
LTOZSJI,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
LITJSZO,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
LITJSOZ,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
LITJZSO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LITJZOS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LITJOSZ,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X
LITJOZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
LITSJZO,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O
LITSJOZ,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
LITSZJO,X,O,O,X,X,O,X,X,X,O,X,X,X,O,O
LITSZOJ,X,O,X,X,X,O,X,X,X,O,X,X,X,O,O
LITSOJZ,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X
LITSOZJ,X,X,X,X,X,O,X,X,X,O,X,O,X,O,O
LITZJSO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LITZJOS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LITZSJO,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
