sequence,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcB5jB?FiB8nB6rBmsB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcBxdB?UiBGjB6rBVyB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcBldB?5jBUiBeoB6rB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcB0dB?6jBxmBVtBurB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcBxdB?8nB+oBlmBCsB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcBxdB?FiB8nB+oB6rB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhF5jBFhB?XiB8nB6rBmsB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFxdBFhB?XiB8nB+oB6rB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFxcBFhB?0iB6oBurBXtB
LTSZIOJ,O,O,X,O,X,X,O,X,X
LTSZJIO,O,O,O,X,X,X,X,X,X
LTSZJOI,O,O,O,O,X,X,X,X,X
LTSZOIJ,O,O,X,O,X,X,O,X,X
LTSZOJI,O,O,O,O,X,X,X,X,X
LTSOIJZ,X,O,O,O,X,X,X,X,X
LTSOIZJ,O,O,X,O,X,X,X,X,X
LTSOJIZ,X,O,O,O,O,O,X,X,X
LTSOJZI,O,O,O,O,O,O,X,X,X
LTSOZIJ,O,O,X,O,X,X,O,X,X
LTSOZJI,O,O,O,O,X,X,X,X,X
LTZIJSO,O,O,X,O,X,X,X,X,X
LTZIJOS,O,O,X,O,X,X,X,X,X
LTZISJO,O,O,X,O,X,X,X,X,X
LTZISOJ,O,O,X,O,X,X,O,X,X
LTZIOJS,O,O,X,O,X,X,X,X,X
LTZIOSJ,O,O,X,O,X,X,O,X,X
LTZJISO,O,O,O,O,X,X,X,X,X
LTZJIOS,O,O,O,O,X,X,X,X,X
LTZJSIO,O,O,O,X,X,X,X,X,X
LTZJSOI,O,O,O,O,X,X,X,X,X
LTZJOIS,O,O,O,O,X,X,X,X,X
LTZJOSI,O,O,O,O,X,X,X,X,X
LTZSIJO,O,O,X,O,X,X,X,X,X
LTZSIOJ,O,O,X,O,X,X,O,X,X
LTZSJIO,O,O,O,X,X,X,X,X,X
LTZSJOI,O,O,O,O,X,X,X,X,X
LTZSOIJ,O,O,X,O,X,X,O,X,X
LTZSOJI,O,O,O,O,X,X,X,X,X
LTZOIJS,O,O,X,O,X,X,X,X,X
LTZOISJ,O,O,X,O,X,X,O,X,X
LTZOJIS,O,O,O,O,X,X,X,X,X
LTZOJSI,O,O,O,O,X,X,X,X,X
LTZOSIJ,O,O,X,O,X,X,O,X,X
LTZOSJI,O,O,O,O,X,X,X,X,X
LTOIJSZ,X,O,O,O,X,X,X,X,X
LTOIJZS,X,O,O,O,X,X,X,X,X
LTOISJZ,X,O,O,O,X,X,X,X,X
LTOISZJ,O,O,X,O,X,X,X,X,X
LTOIZJS,O,O,X,O,X,X,X,X,X
LTOIZSJ,O,O,X,O,X,X,O,X,X
LTOJISZ,X,O,O,O,O,O,X,X,X
LTOJIZS,X,O,O,O,X,X,X,X,O
LTOJSIZ,X,O,O,O,O,O,X,X,X
LTOJSZI,O,O,O,O,O,O,X,X,O
LTOJZIS,O,O,O,O,O,O,X,X,O
LTOJZSI,O,O,O,O,O,O,X,O,O
LTOSIJZ,X,O,O,O,X,X,X,X,X
LTOSIZJ,O,O,X,O,X,X,X,X,X
LTOSJIZ,X,O,O,O,O,O,X,X,X
LTOSJZI,O,O,O,O,O,O,X,X,X
LTOSZIJ,O,O,X,O,X,X,O,X,X
LTOSZJI,O,O,O,O,X,X,X,X,X
LTOZIJS,O,O,X,O,X,X,X,X,X
LTOZISJ,O,O,X,O,X,X,O,X,X
LTOZJIS,O,O,O,O,X,X,X,X,X
LTOZJSI,O,O,O,O,X,X,X,X,X
LTOZSIJ,O,O,X,O,X,X,O,X,X
LTOZSJI,O,O,O,O,X,X,X,X,X
LITJSZO,X,O,O,O,X,X,X,X,X
LITJSOZ,X,O,O,O,X,X,X,X,X
LITJZSO,X,O,O,O,X,X,X,X,X
LITJZOS,X,O,O,O,X,X,X,X,X
LITJOSZ,X,O,O,O,X,X,X,X,X
LITJOZS,X,O,O,O,X,X,X,X,X
LITSJZO,X,O,O,O,X,X,X,X,X
LITSJOZ,X,O,O,O,X,X,X,X,X
LITSZJO,O,O,X,O,X,X,X,X,X
LITSZOJ,O,O,X,O,X,X,X,X,X
LITSOJZ,X,O,O,O,X,X,X,X,X
LITSOZJ,O,O,X,O,X,X,X,X,X
LITZJSO,O,O,X,O,X,X,X,X,X
LITZJOS,O,O,X,O,X,X,X,X,X
LITZSJO,O,O,X,O,X,X,X,X,X
LITZSOJ,O,O,X,O,X,X,O,X,X
LITZOJS,O,O,X,O,X,X,X,X,X
LITZOSJ,O,O,X,O,X,X,O,X,X
LITOJSZ,X,O,O,O,X,X,X,X,X
LITOJZS,X,O,O,O,X,X,X,X,X
LITOSJZ,X,O,O,O,X,X,X,X,X
LITOSZJ,O,O,X,O,X,X,X,X,X
LITOZJS,O,O,X,O,X,X,X,X,X
LITOZSJ,O,O,X,O,X,X,O,X,X
LIJTSZO,X,X,O,X,X,X,X,X,X
LIJTSOZ,X,X,O,X,X,O,X,X,X
LIJTZSO,X,X,O,X,X,X,X,X,O
LIJTZOS,X,X,O,X,X,X,X,X,O
LIJTOSZ,X,X,O,X,X,O,X,X,X
LIJTOZS,X,X,O,X,X,X,X,X,O
LIJSTZO,X,X,O,X,X,X,X,X,X
LIJSTOZ,X,X,O,X,X,O,X,X,X
LIJSZTO,O,X,O,X,X,O,X,X,X
LIJSZOT,O,X,O,X,X,O,X,X,X
LIJSOTZ,X,X,O,X,X,O,X,X,X
LIJSOZT,O,X,O,X,X,O,X,X,X
LIJZTSO,O,X,O,X,X,O,X,X,O
LIJZTOS,O,X,O,X,X,O,X,X,O
LIJZSTO,O,X,O,X,X,O,X,X,X
LIJZSOT,O,X,O,X,X,O,X,X,X
LIJZOTS,O,X,O,X,X,O,X,X,O
LIJZOST,O,X,O,X,X,O,X,X,X
LIJOTSZ,X,X,O,X,X,O,X,X,X
LIJOTZS,X,X,O,X,X,X,X,X,O
LIJOSTZ,X,X,O,X,X,O,X,X,X
LIJOSZT,O,X,O,X,X,O,X,X,X
LIJOZTS,O,X,O,X,X,O,X,X,O
LIJOZST,O,X,O,X,X,O,X,X,X
LISTJZO,X,O,O,O,X,X,X,X,X
LISTJOZ,X,O,O,O,X,X,X,X,X
LISTZJO,O,O,X,O,X,X,X,X,X
LISTZOJ,O,O,X,O,X,X,X,X,X
LISTOJZ,X,O,O,O,X,X,X,X,X
LISTOZJ,O,O,X,O,X,X,X,X,X
LISJTZO,X,X,O,X,X,X,X,X,X
LISJTOZ,X,X,O,X,X,O,X,X,X
LISJZTO,O,X,O,X,X,O,X,X,X
LISJZOT,O,X,O,X,X,O,X,X,X
LISJOTZ,X,X,O,X,X,O,X,X,X
LISJOZT,O,X,O,X,X,O,X,X,X
LISZTJO,O,O,X,X,X,X,X,X,X
LISZTOJ,O,O,X,X,X,X,X,X,X
LISZJTO,O,X,O,X,X,X,X,X,X
LISZJOT,O,O,O,X,X,X,X,X,X
LISZOTJ,O,O,X,X,X,X,X,X,X
LISZOJT,O,O,O,X,X,X,X,X,X
LISOTJZ,X,O,O,O,X,X,X,X,X
LISOTZJ,O,O,X,O,X,X,X,X,X
LISOJTZ,X,X,O,X,X,O,X,X,X
LISOJZT,O,X,O,X,X,O,X,X,X
LISOZTJ,O,O,X,X,X,X,X,X,X
LISOZJT,O,O,O,X,X,X,X,X,X
LIZTJSO,O,O,X,X,X,X,X,X,X
LIZTJOS,O,O,X,X,X,X,X,X,X
LIZTSJO,O,O,X,X,X,X,X,X,X
LIZTSOJ,O,O,X,X,X,X,O,X,X
LIZTOJS,O,O,X,X,X,X,X,X,X
LIZTOSJ,O,O,X,X,X,X,O,X,X
LIZJTSO,O,X,O,X,X,X,X,X,X
LIZJTOS,O,X,O,X,X,X,X,X,X
LIZJSTO,O,X,O,X,X,X,X,X,X
LIZJSOT,O,O,O,X,X,X,X,X,X
LIZJOTS,O,X,O,X,X,X,X,X,X
LIZJOST,O,O,O,X,X,X,X,X,X
LIZSTJO,O,O,X,X,X,X,X,X,X
LIZSTOJ,O,O,X,X,X,X,O,X,X
LIZSJTO,O,X,O,X,X,X,X,X,X
LIZSJOT,O,O,O,X,X,X,X,X,X
LIZSOTJ,O,O,X,X,X,X,O,X,X
LIZSOJT,O,O,O,X,X,X,X,X,X
LIZOTJS,O,O,X,X,X,X,X,X,X
LIZOTSJ,O,O,X,X,X,X,O,X,X
LIZOJTS,O,X,O,X,X,X,X,X,X
LIZOJST,O,O,O,X,X,X,X,X,X
LIZOSTJ,O,O,X,X,X,X,O,X,X
LIZOSJT,O,O,O,X,X,X,X,X,X
LIOTJSZ,X,O,O,O,X,X,X,X,X
LIOTJZS,X,O,O,O,X,X,X,X,X
LIOTSJZ,X,O,O,O,X,X,X,X,X
LIOTSZJ,O,O,X,O,X,X,X,X,X
LIOTZJS,O,O,X,O,X,X,X,X,X
LIOTZSJ,O,O,X,O,X,X,O,X,X
LIOJTSZ,X,X,O,X,X,O,X,X,X
LIOJTZS,X,X,O,X,X,X,X,X,O
LIOJSTZ,X,X,O,X,X,O,X,X,X
LIOJSZT,O,X,O,X,X,O,X,X,X
LIOJZTS,O,X,O,X,X,O,X,X,O
LIOJZST,O,X,O,X,X,O,X,X,X
LIOSTJZ,X,O,O,O,X,X,X,X,X
LIOSTZJ,O,O,X,O,X,X,X,X,X
LIOSJTZ,X,X,O,X,X,O,X,X,X
LIOSJZT,O,X,O,X,X,O,X,X,X
LIOSZTJ,O,O,X,X,X,X,X,X,X
LIOSZJT,O,O,O,X,X,X,X,X,X
LIOZTJS,O,O,X,X,X,X,X,X,X
LIOZTSJ,O,O,X,X,X,X,O,X,X
LIOZJTS,O,X,O,X,X,X,X,X,X
LIOZJST,O,O,O,X,X,X,X,X,X
LIOZSTJ,O,O,X,X,X,X,O,X,X
LIOZSJT,O,O,O,X,X,X,X,X,X
LJTISZO,X,O,O,X,X,X,X,X,X
LJTISOZ,X,O,O,X,O,O,X,X,X
LJTIZSO,X,O,O,X,X,X,X,X,O
LJTIZOS,X,O,O,X,X,X,X,X,O
LJTIOSZ,X,O,O,X,O,O,X,X,X
LJTIOZS,X,O,O,X,X,X,X,X,O
LJTSIZO,X,O,O,X,X,X,X,X,X
LJTSIOZ,X,O,O,X,O,O,X,X,X
LJTSZIO,O,O,O,X,O,O,X,X,O
LJTSZOI,O,O,O,X,O,O,X,X,O
LJTSOIZ,X,O,O,X,O,O,X,X,X
LJTSOZI,O,O,O,X,O,O,X,X,O
LJTZISO,O,O,O,X,O,O,X,X,O
LJTZIOS,O,O,O,X,O,O,X,X,O
LJTZSIO,O,O,O,X,O,O,X,O,O
LJTZSOI,O,O,O,X,O,O,X,O,O
LJTZOIS,O,O,O,X,O,O,X,X,O
LJTZOSI,O,O,O,X,O,O,X,O,O
LJTOISZ,X,O,O,X,O,O,X,X,X
LJTOIZS,X,O,O,X,X,X,X,X,O
LJTOSIZ,X,O,O,X,O,O,X,X,X
LJTOSZI,O,O,O,X,O,O,X,X,O
LJTOZIS,O,O,O,X,O,O,X,X,O
LJTOZSI,O,O,O,X,O,O,X,O,O
LJITSZO,X,X,O,X,X,X,X,X,X
LJITSOZ,X,X,O,X,O,O,X,X,X
LJITZSO,X,X,O,X,X,X,X,X,O
LJITZOS,X,X,O,X,X,X,X,X,O
LJITOSZ,X,X,O,X,O,O,X,X,X
LJITOZS,X,X,O,X,X,X,X,X,O
LJISTZO,X,X,O,X,X,X,X,X,X
LJISTOZ,X,X,O,X,X,O,X,X,X
LJISZTO,O,X,O,X,X,O,X,X,X
LJISZOT,O,X,O,X,X,O,X,X,X
LJISOTZ,X,X,O,X,O,O,X,X,X
LJISOZT,O,X,O,X,O,O,X,X,X
LJIZTSO,O,X,O,X,O,O,X,X,O
LJIZTOS,O,X,O,X,O,O,X,X,O
LJIZSTO,O,X,O,X,X,O,X,O,X
LJIZSOT,O,X,O,X,O,O,X,O,X
LJIZOTS,O,X,O,X,O,O,X,X,O
LJIZOST,O,X,O,X,O,O,X,O,X
LJIOTSZ,X,X,O,X,O,O,X,X,X
LJIOTZS,X,X,O,X,X,X,X,X,O
LJIOSTZ,X,X,O,X,O,O,X,X,X
LJIOSZT,O,X,O,X,O,O,X,X,X
LJIOZTS,O,X,O,X,O,O,X,X,O
LJIOZST,O,X,O,X,O,O,X,O,X
LJSTIZO,X,O,O,X,X,X,X,X,X
LJSTIOZ,X,O,O,X,O,O,X,X,X
LJSTZIO,O,O,O,X,O,O,X,X,O
LJSTZOI,O,O,O,X,O,O,X,X,O
LJSTOIZ,X,O,O,X,O,O,X,X,X
LJSTOZI,O,O,O,X,O,O,X,X,O
LJSITZO,X,X,O,X,X,X,X,X,X
LJSITOZ,X,X,O,X,X,O,X,X,X
LJSIZTO,O,X,O,X,X,O,X,X,X
LJSIZOT,O,X,O,X,X,O,X,X,X
LJSIOTZ,X,X,O,X,O,O,X,X,X
LJSIOZT,O,X,O,X,O,O,X,X,X
LJSZTIO,O,O,O,X,X,O,X,X,O
LJSZTOI,O,O,O,X,X,O,X,X,O
LJSZITO,O,X,O,X,X,O,X,X,X
LJSZIOT,O,O,O,X,O,O,X,X,X
LJSZOTI,O,O,O,X,X,O,X,X,O
LJSZOIT,O,O,O,X,O,O,X,X,X
LJSOTIZ,X,O,O,X,O,O,X,X,X
LJSOTZI,O,O,O,X,O,O,X,X,O
LJSOITZ,X,X,O,X,O,O,X,X,X
LJSOIZT,O,X,O,X,O,O,X,X,X
LJSOZTI,O,O,O,X,X,O,X,X,O
LJSOZIT,O,O,O,X,O,O,X,X,X
LJZTISO,O,O,O,X,O,O,X,X,O
LJZTIOS,O,O,O,X,O,O,X,X,O
LJZTSIO,O,O,O,X,O,O,X,O,O
LJZTSOI,O,O,O,X,O,O,X,O,O
LJZTOIS,O,O,O,X,O,O,X,X,O
LJZTOSI,O,O,O,X,O,O,X,O,O
LJZITSO,O,X,O,X,O,O,X,X,O
LJZITOS,O,X,O,X,O,O,X,X,O
LJZISTO,O,X,O,X,X,O,X,O,X
LJZISOT,O,O,O,X,O,O,X,O,X
LJZIOTS,O,X,O,X,O,O,X,X,O
LJZIOST,O,O,O,X,O,O,X,O,X
LJZSTIO,O,O,O,X,X,O,X,O,O
LJZSTOI,O,O,O,X,X,O,X,O,O
LJZSITO,O,X,O,X,X,O,X,O,X
LJZSIOT,O,O,O,X,O,O,X,O,X
LJZSOTI,O,O,O,X,X,O,X,O,O
LJZSOIT,O,O,O,X,O,O,X,O,X
LJZOTIS,O,O,O,X,O,O,X,X,O
LJZOTSI,O,O,O,X,O,O,X,O,O
LJZOITS,O,X,O,X,O,O,X,X,O
LJZOIST,O,O,O,X,O,O,X,O,X
LJZOSTI,O,O,O,X,X,O,X,O,O
LJZOSIT,O,O,O,X,O,O,X,O,X
LJOTISZ,X,O,O,X,O,O,X,X,X
LJOTIZS,X,O,O,X,X,X,X,X,O
LJOTSIZ,X,O,O,X,O,O,X,X,X
LJOTSZI,O,O,O,X,O,O,X,X,O
LJOTZIS,O,O,O,X,O,O,X,X,O
LJOTZSI,O,O,O,X,O,O,X,O,O
LJOITSZ,X,X,O,X,O,O,X,X,X
LJOITZS,X,X,O,X,X,X,X,X,O
LJOISTZ,X,X,O,X,O,O,X,X,X
LJOISZT,O,X,O,X,O,O,X,X,X
LJOIZTS,O,X,O,X,O,O,X,X,O
LJOIZST,O,X,O,X,O,O,X,O,X
LJOSTIZ,X,O,O,X,O,O,X,X,X
LJOSTZI,O,O,O,X,O,O,X,X,O
LJOSITZ,X,X,O,X,O,O,X,X,X
LJOSIZT,O,X,O,X,O,O,X,X,X
LJOSZTI,O,O,O,X,X,O,X,X,O
LJOSZIT,O,O,O,X,O,O,X,X,X
LJOZTIS,O,O,O,X,O,O,X,X,O
LJOZTSI,O,O,O,X,O,O,X,O,O
LJOZITS,O,X,O,X,O,O,X,X,O
LJOZIST,O,O,O,X,O,O,X,O,X
LJOZSTI,O,O,O,X,X,O,X,O,O
LJOZSIT,O,O,O,X,O,O,X,O,X
LSTIJZO,X,O,O,O,X,X,X,X,X
LSTIJOZ,X,O,O,O,X,X,X,X,X
LSTIZJO,O,O,X,O,X,X,X,X,X
LSTIZOJ,O,O,X,O,X,X,X,X,X
LSTIOJZ,X,O,O,O,X,X,X,X,X
LSTIOZJ,O,O,X,O,X,X,X,X,X
LSTJIZO,X,O,O,O,X,X,X,X,X
LSTJIOZ,X,O,O,O,O,O,X,X,X
LSTJZIO,O,O,O,X,O,O,X,X,X
LSTJZOI,O,O,O,O,O,O,X,X,X
LSTJOIZ,X,O,O,O,O,O,X,X,X
LSTJOZI,O,O,O,O,O,O,X,X,X
LSTZIJO,O,O,X,O,X,X,X,X,X
LSTZIOJ,O,O,X,O,X,X,O,X,X
LSTZJIO,O,O,O,X,X,X,X,X,X
LSTZJOI,O,O,O,O,X,X,X,X,X
LSTZOIJ,O,O,X,O,X,X,O,X,X
LSTZOJI,O,O,O,O,X,X,X,X,X
LSTOIJZ,X,O,O,O,X,X,X,X,X
LSTOIZJ,O,O,X,O,X,X,X,X,X
LSTOJIZ,X,O,O,O,O,O,X,X,X
LSTOJZI,O,O,O,O,O,O,X,X,X
LSTOZIJ,O,O,X,O,X,X,O,X,X
LSTOZJI,O,O,O,O,X,X,X,X,X
LSITJZO,X,O,O,O,X,X,X,X,X
LSITJOZ,X,O,O,O,X,X,X,X,X
LSITZJO,O,O,X,O,X,X,X,X,X
LSITZOJ,O,O,X,O,X,X,X,X,X
LSITOJZ,X,O,O,O,X,X,X,X,X
LSITOZJ,O,O,X,O,X,X,X,X,X
LSIJTZO,X,X,O,X,X,X,X,X,X
LSIJTOZ,X,X,O,X,X,O,X,X,X
LSIJZTO,O,X,O,X,X,O,X,X,X
LSIJZOT,O,X,O,X,X,O,X,X,X
LSIJOTZ,X,X,O,X,X,O,X,X,X
LSIJOZT,O,X,O,X,X,O,X,X,X
LSIZTJO,O,O,X,X,X,X,X,X,X
LSIZTOJ,O,O,X,X,X,X,X,X,X
LSIZJTO,O,X,O,X,X,X,X,X,X
LSIZJOT,O,O,O,X,X,X,X,X,X
LSIZOTJ,O,O,X,X,X,X,X,X,X
LSIZOJT,O,O,O,X,X,X,X,X,X
LSIOTJZ,X,O,O,O,X,X,X,X,X
LSIOTZJ,O,O,X,O,X,X,X,X,X
LSIOJTZ,X,X,O,X,X,O,X,X,X
LSIOJZT,O,X,O,X,X,O,X,X,X
LSIOZTJ,O,O,X,X,X,X,X,X,X
LSIOZJT,O,O,O,X,X,X,X,X,X
LSJTIZO,X,O,O,X,X,X,X,X,X
LSJTIOZ,X,O,O,X,O,O,X,X,X
LSJTZIO,O,O,O,X,O,O,X,X,O
LSJTZOI,O,O,O,X,O,O,X,X,O
LSJTOIZ,X,O,O,X,O,O,X,X,X
LSJTOZI,O,O,O,X,O,O,X,X,O
LSJITZO,X,X,O,X,X,X,X,X,X
LSJITOZ,X,X,O,X,X,O,X,X,X
LSJIZTO,O,X,O,X,X,O,X,X,X
LSJIZOT,O,X,O,X,X,O,X,X,X
LSJIOTZ,X,X,O,X,O,O,X,X,X
LSJIOZT,O,X,O,X,O,O,X,X,X
LSJZTIO,O,O,O,X,X,O,X,X,O
LSJZTOI,O,O,O,X,X,O,X,X,O
LSJZITO,O,X,O,X,X,O,X,X,X
LSJZIOT,O,O,O,X,O,O,X,X,X
LSJZOTI,O,O,O,X,X,O,X,X,O
LSJZOIT,O,O,O,X,O,O,X,X,X
LSJOTIZ,X,O,O,X,O,O,X,X,X
LSJOTZI,O,O,O,X,O,O,X,X,O
LSJOITZ,X,X,O,X,O,O,X,X,X
LSJOIZT,O,X,O,X,O,O,X,X,X
LSJOZTI,O,O,O,X,X,O,X,X,O
LSJOZIT,O,O,O,X,O,O,X,X,X
LSZTIJO,O,O,X,X,X,X,X,X,X
LSZTIOJ,O,O,X,X,X,X,O,X,X
LSZTJIO,O,O,O,X,X,X,X,X,X
LSZTJOI,O,O,O,X,X,X,X,X,X
LSZTOIJ,O,O,X,X,X,X,O,X,X
LSZTOJI,O,O,O,X,X,X,X,X,X
LSZITJO,O,O,X,X,X,X,X,X,X
LSZITOJ,O,O,X,X,X,X,O,X,X
LSZIJTO,O,X,O,X,X,X,X,X,X
LSZIJOT,O,O,O,X,X,X,X,X,X
LSZIOTJ,O,O,X,X,X,X,O,X,X
LSZIOJT,O,O,O,X,X,X,X,X,X
LSZJTIO,O,O,O,X,X,O,X,X,X
LSZJTOI,O,O,O,X,X,O,X,X,X
LSZJITO,O,X,O,X,X,O,X,X,X
LSZJIOT,O,O,O,X,X,O,X,X,X
LSZJOTI,O,O,O,X,X,O,X,X,X
LSZJOIT,O,O,O,X,X,O,X,X,X
LSZOTIJ,O,O,X,X,X,X,O,X,X
LSZOTJI,O,O,O,X,X,X,X,X,X
LSZOITJ,O,O,X,X,X,X,O,X,X
LSZOIJT,O,O,O,X,X,X,X,X,X
LSZOJTI,O,O,O,X,X,O,X,X,X
LSZOJIT,O,O,O,X,X,O,X,X,X
LSOTIJZ,X,O,O,O,X,X,X,X,X
LSOTIZJ,O,O,X,O,X,X,X,X,X
LSOTJIZ,X,O,O,O,O,O,X,X,X
LSOTJZI,O,O,O,O,O,O,X,X,X
LSOTZIJ,O,O,X,O,X,X,O,X,X
LSOTZJI,O,O,O,O,X,X,X,X,X
LSOITJZ,X,O,O,O,X,X,X,X,X
LSOITZJ,O,O,X,O,X,X,X,X,X
LSOIJTZ,X,X,O,X,X,O,X,X,X
LSOIJZT,O,X,O,X,X,O,X,X,X
LSOIZTJ,O,O,X,X,X,X,X,X,X
LSOIZJT,O,O,O,X,X,X,X,X,X
LSOJTIZ,X,O,O,X,O,O,X,X,X
LSOJTZI,O,O,O,X,O,O,X,X,O
LSOJITZ,X,X,O,X,O,O,X,X,X
LSOJIZT,O,X,O,X,O,O,X,X,X
LSOJZTI,O,O,O,X,X,O,X,X,O
LSOJZIT,O,O,O,X,O,O,X,X,X
LSOZTIJ,O,O,X,X,X,X,O,X,X
LSOZTJI,O,O,O,X,X,X,X,X,X
LSOZITJ,O,O,X,X,X,X,O,X,X
LSOZIJT,O,O,O,X,X,X,X,X,X
LSOZJTI,O,O,O,X,X,O,X,X,X
LSOZJIT,O,O,O,X,X,O,X,X,X
LZTIJSO,O,O,X,X,X,X,X,X,X
LZTIJOS,O,O,X,X,X,X,X,X,X
LZTISJO,O,O,X,X,X,X,X,X,X
LZTISOJ,O,O,X,X,X,X,O,X,X
LZTIOJS,O,O,X,X,X,X,X,X,X
LZTIOSJ,O,O,X,X,X,X,O,X,X
LZTJISO,O,O,O,X,X,X,X,X,X
LZTJIOS,O,O,O,X,X,X,X,X,X
LZTJSIO,O,O,O,X,X,X,X,X,X
LZTJSOI,O,O,O,X,X,X,X,X,X
LZTJOIS,O,O,O,X,X,X,X,X,X
LZTJOSI,O,O,O,X,X,X,X,X,X
LZTSIJO,O,O,X,X,X,X,X,X,X
LZTSIOJ,O,O,X,X,X,X,O,X,X
LZTSJIO,O,O,O,X,X,X,X,X,X
LZTSJOI,O,O,O,X,X,X,X,X,X
LZTSOIJ,O,O,X,X,X,X,O,X,X
LZTSOJI,O,O,O,X,X,X,X,X,X
LZTOIJS,O,O,X,X,X,X,X,X,X
LZTOISJ,O,O,X,X,X,X,O,X,X
LZTOJIS,O,O,O,X,X,X,X,X,X
LZTOJSI,O,O,O,X,X,X,X,X,X
LZTOSIJ,O,O,X,X,X,X,O,X,X
LZTOSJI,O,O,O,X,X,X,X,X,X
LZITJSO,O,O,X,X,X,X,X,X,X
LZITJOS,O,O,X,X,X,X,X,X,X
LZITSJO,O,O,X,X,X,X,X,X,X
LZITSOJ,O,O,X,X,X,X,O,X,X
LZITOJS,O,O,X,X,X,X,X,X,X
LZITOSJ,O,O,X,X,X,X,O,X,X
LZIJTSO,O,X,O,X,X,X,X,X,X
LZIJTOS,O,X,O,X,X,X,X,X,X
LZIJSTO,O,X,O,X,X,X,X,X,X
LZIJSOT,O,O,O,X,X,X,X,X,X
LZIJOTS,O,X,O,X,X,X,X,X,X
LZIJOST,O,O,O,X,X,X,X,X,X
LZISTJO,O,O,X,X,X,X,X,X,X
LZISTOJ,O,O,X,X,X,X,O,X,X
LZISJTO,O,X,O,X,X,X,X,X,X
LZISJOT,O,O,O,X,X,X,X,X,X
LZISOTJ,O,O,X,X,X,X,O,X,X
LZISOJT,O,O,O,X,X,X,X,X,X
LZIOTJS,O,O,X,X,X,X,X,X,X
LZIOTSJ,O,O,X,X,X,X,O,X,X
LZIOJTS,O,X,O,X,X,X,X,X,X
LZIOJST,O,O,O,X,X,X,X,X,X
LZIOSTJ,O,O,X,X,X,X,O,X,X
LZIOSJT,O,O,O,X,X,X,X,X,X
LZJTISO,O,O,O,X,X,O,X,X,O
LZJTIOS,O,O,O,X,X,O,X,X,O
LZJTSIO,O,O,O,X,X,O,X,X,O
LZJTSOI,O,O,O,X,X,O,X,X,O
LZJTOIS,O,O,O,X,X,O,X,X,O
LZJTOSI,O,O,O,X,X,O,X,X,O
LZJITSO,O,X,O,X,X,O,X,X,O
LZJITOS,O,X,O,X,X,O,X,X,O
LZJISTO,O,X,O,X,X,O,X,X,X
LZJISOT,O,O,O,X,X,O,X,X,X
LZJIOTS,O,X,O,X,X,O,X,X,O
LZJIOST,O,O,O,X,X,O,X,X,X
LZJSTIO,O,O,O,X,X,O,X,X,O
LZJSTOI,O,O,O,X,X,O,X,X,O
LZJSITO,O,X,O,X,X,O,X,X,X
LZJSIOT,O,O,O,X,X,O,X,X,X
LZJSOTI,O,O,O,X,X,O,X,X,O
LZJSOIT,O,O,O,X,X,O,X,X,X
LZJOTIS,O,O,O,X,X,O,X,X,O
LZJOTSI,O,O,O,X,X,O,X,X,O
LZJOITS,O,X,O,X,X,O,X,X,O
LZJOIST,O,O,O,X,X,O,X,X,X
LZJOSTI,O,O,O,X,X,O,X,X,O
LZJOSIT,O,O,O,X,X,O,X,X,X
LZSTIJO,O,O,X,X,X,X,X,X,X
LZSTIOJ,O,O,X,X,X,X,O,X,X
LZSTJIO,O,O,O,X,X,X,X,X,X
LZSTJOI,O,O,O,X,X,X,X,X,X
LZSTOIJ,O,O,X,X,X,X,O,X,X
LZSTOJI,O,O,O,X,X,X,X,X,X
LZSITJO,O,O,X,X,X,X,X,X,X
LZSITOJ,O,O,X,X,X,X,O,X,X
LZSIJTO,O,X,O,X,X,X,X,X,X
LZSIJOT,O,O,O,X,X,X,X,X,X
LZSIOTJ,O,O,X,X,X,X,O,X,X
LZSIOJT,O,O,O,X,X,X,X,X,X
LZSJTIO,O,O,O,X,X,O,X,X,X
LZSJTOI,O,O,O,X,X,O,X,X,X
LZSJITO,O,X,O,X,X,O,X,X,X
LZSJIOT,O,O,O,X,X,O,X,X,X
LZSJOTI,O,O,O,X,X,O,X,X,X
LZSJOIT,O,O,O,X,X,O,X,X,X
LZSOTIJ,O,O,X,X,X,X,O,X,X
LZSOTJI,O,O,O,X,X,X,X,X,X
LZSOITJ,O,O,X,X,X,X,O,X,X
LZSOIJT,O,O,O,X,X,X,X,X,X
LZSOJTI,O,O,O,X,X,O,X,X,X
LZSOJIT,O,O,O,X,X,O,X,X,X
LZOTIJS,O,O,X,X,X,X,X,X,X
LZOTISJ,O,O,X,X,X,X,O,X,X
