sequence,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhFxcB6jBXhBF?nB8sBmsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhFxcB6jBXhBl?iBUnBetB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jei7IvhFWiBxdBzgBU?nBFoBXtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Je/AJvhFRcBSiBTeB2?mBFoB0sB,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhFehBRdBCiB/?sBFoBctB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jex7IvhF6iBTeB0gBl?hB/sBOtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhFehBCdBxiBU?nBFoBXtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Je/AJvhFRcBGeBihBU?jBFnBzsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jem8IvhFSjBxgB0gBF?nBXoBzsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jem8IvhFfjB6jBxgB0?gBFnBzsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Je/AJvhFRcBThBliB2?sBctBCtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhF2hBXeBcoBR?mBqsBFsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Je2AJvhFCdBxiBzgBU?nBFoBXtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jei7IvhFFdBzgBfnB5?nBcoBOtB
TJZSILO,X,O,O,O,X,O,O,O,O,O,X,X,O,X
TJZSIOL,X,O,O,O,X,O,O,O,X,X,O,X,X,X
TJZSLIO,X,O,O,O,X,O,O,O,O,O,X,X,O,X
TJZSLOI,X,O,X,O,X,O,O,O,X,X,O,X,X,X
TJZSOIL,X,O,O,O,X,O,O,O,X,X,O,X,X,X
TJZSOLI,X,O,O,O,X,O,O,O,X,X,O,X,X,X
TJZOILS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
TJZOISL,X,O,O,O,X,O,O,X,X,X,O,X,X,X
TJZOLIS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
TJZOLSI,X,O,O,O,X,X,O,O,X,X,O,X,X,X
TJZOSIL,X,O,O,O,X,O,O,O,X,X,O,X,X,X
TJZOSLI,X,O,O,O,X,O,O,O,X,X,O,X,X,X
TJOILSZ,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TJOILZS,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TJOISLZ,X,O,X,O,X,X,X,X,O,O,X,X,X,X
TJOISZL,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOIZLS,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TJOIZSL,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJOLISZ,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TJOLIZS,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TJOLSIZ,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TJOLSZI,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TJOLZIS,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TJOLZSI,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TJOSILZ,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TJOSIZL,X,O,X,O,X,O,X,X,X,X,O,X,X,X
TJOSLIZ,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TJOSLZI,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TJOSZIL,X,O,X,O,X,O,O,X,X,X,O,X,X,X
TJOSZLI,X,O,X,O,O,O,O,X,X,X,O,X,X,X
TJOZILS,X,O,O,X,X,X,O,X,X,X,X,X,O,X
TJOZISL,X,O,O,X,X,O,O,X,X,X,O,X,X,X
TJOZLIS,X,O,O,X,X,X,O,X,X,X,X,X,O,X
TJOZLSI,X,O,O,O,X,X,O,X,X,X,O,X,X,X
TJOZSIL,X,O,O,O,X,O,O,X,X,X,O,X,X,X
TJOZSLI,X,O,O,O,X,O,O,X,X,X,O,X,X,X
TSILJZO,X,X,X,O,O,O,X,O,O,O,X,X,X,X
TSILJOZ,X,X,X,O,O,O,X,X,O,O,X,X,X,X
TSILZJO,O,X,X,X,X,O,X,O,O,O,X,X,X,X
TSILZOJ,O,X,X,O,X,O,X,O,X,X,X,X,X,O
TSILOJZ,X,O,X,O,O,O,X,X,O,O,X,X,X,O
TSILOZJ,O,X,X,O,X,X,X,O,X,X,X,X,X,O
TSIJLZO,X,O,X,O,O,O,X,O,O,O,X,X,X,X
TSIJLOZ,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TSIJZLO,X,O,X,O,X,O,X,O,O,O,X,X,X,X
TSIJZOL,X,O,X,O,X,O,X,O,X,X,X,X,X,O
TSIJOLZ,X,O,X,O,O,O,X,X,O,O,X,X,X,O
TSIJOZL,X,O,X,O,X,O,X,X,X,X,X,X,X,O
TSIZLJO,O,X,X,O,X,O,X,O,O,O,X,X,X,X
TSIZLOJ,O,X,X,O,X,O,X,O,X,X,X,X,X,O
TSIZJLO,O,O,X,O,X,O,X,O,O,O,X,X,X,X
TSIZJOL,O,O,X,O,X,O,X,O,X,X,X,X,X,O
TSIZOLJ,O,X,X,O,X,O,X,X,X,X,X,X,X,O
TSIZOJL,O,O,X,O,X,O,X,O,X,X,X,X,X,O
TSIOLJZ,X,O,X,O,O,O,X,O,O,O,X,X,X,O
TSIOLZJ,O,X,X,O,X,X,X,O,X,X,X,X,X,O
TSIOJLZ,X,O,X,O,O,O,X,O,O,O,X,X,X,O
TSIOJZL,X,O,X,O,X,O,X,O,X,X,O,X,X,O
TSIOZLJ,O,X,X,O,X,X,X,O,X,X,X,X,X,O
TSIOZJL,O,O,X,X,X,X,X,O,X,X,X,X,X,O
TSLIJZO,X,X,X,O,O,O,X,O,O,O,X,X,X,X
TSLIJOZ,X,X,X,O,O,O,X,X,O,O,X,X,X,X
TSLIZJO,O,X,X,X,X,O,X,O,O,O,X,X,X,X
TSLIZOJ,O,X,X,O,X,O,X,O,X,X,X,X,X,O
TSLIOJZ,X,O,X,O,O,O,X,X,O,O,X,X,X,O
TSLIOZJ,O,X,X,O,X,X,X,O,X,X,X,X,X,O
TSLJIZO,X,O,X,O,O,O,X,O,O,O,X,X,X,X
TSLJIOZ,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TSLJZIO,O,O,X,O,O,O,X,O,O,O,X,X,X,X
TSLJZOI,O,O,X,O,O,O,X,O,X,X,X,X,X,X
TSLJOIZ,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TSLJOZI,O,O,X,O,O,O,X,X,X,X,X,X,X,X
TSLZIJO,O,X,X,X,X,O,X,O,O,O,X,X,X,X
TSLZIOJ,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TSLZJIO,O,X,O,O,O,O,X,O,O,O,X,X,X,X
TSLZJOI,O,X,X,O,O,O,X,O,X,X,X,X,X,X
TSLZOIJ,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TSLZOJI,O,X,X,O,O,O,X,O,X,X,X,X,X,X
TSLOIJZ,X,O,X,O,O,O,X,X,O,O,X,X,X,O
TSLOIZJ,O,X,X,O,X,X,X,O,X,X,X,X,X,O
TSLOJIZ,X,O,X,O,O,O,X,X,O,O,X,X,X,O
TSLOJZI,O,O,X,O,O,O,X,X,X,X,X,X,X,X
TSLOZIJ,O,X,O,O,X,O,X,O,X,X,X,X,X,O
TSLOZJI,O,X,O,O,O,O,X,O,X,X,X,X,X,X
TSJILZO,X,O,X,O,O,O,X,O,O,O,X,X,X,X
TSJILOZ,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TSJIZLO,X,O,X,O,X,O,X,O,O,O,X,X,X,X
TSJIZOL,X,O,X,O,X,O,X,O,X,X,X,X,X,O
TSJIOLZ,X,O,X,O,O,O,X,X,O,O,X,X,X,O
TSJIOZL,X,O,X,O,X,O,X,X,X,X,X,X,X,O
TSJLIZO,X,O,X,O,O,O,X,O,O,O,X,X,X,X
TSJLIOZ,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TSJLZIO,O,O,X,O,O,O,X,O,O,O,X,X,X,X
TSJLZOI,O,O,X,O,O,O,X,O,X,X,X,X,X,X
TSJLOIZ,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TSJLOZI,O,O,X,O,O,O,X,X,X,X,X,X,X,X
TSJZILO,X,O,X,O,X,O,O,O,O,O,X,X,O,X
TSJZIOL,X,O,X,O,X,O,O,O,X,X,O,X,X,X
TSJZLIO,X,O,X,O,O,O,O,O,O,O,X,X,O,X
TSJZLOI,X,O,X,O,O,O,O,O,X,X,O,X,X,X
TSJZOIL,X,O,X,O,X,O,O,O,X,X,O,X,X,X
TSJZOLI,X,O,X,O,O,O,O,O,X,X,O,X,X,X
TSJOILZ,X,O,X,O,O,O,X,X,O,O,X,X,X,O
TSJOIZL,X,O,X,O,X,O,X,X,X,X,O,X,X,O
TSJOLIZ,X,O,X,O,O,O,X,X,O,O,X,X,X,O
TSJOLZI,O,O,X,O,O,O,X,X,X,X,X,X,X,X
TSJOZIL,X,O,X,O,X,O,O,X,X,X,O,X,X,X
TSJOZLI,X,O,X,O,O,O,O,X,X,X,O,X,X,X
TSZILJO,O,X,X,O,X,O,O,O,O,O,X,X,O,X
TSZILOJ,O,X,X,O,X,O,X,O,X,X,X,X,X,O
TSZIJLO,O,O,X,O,X,O,O,O,O,O,X,X,O,X
TSZIJOL,O,O,X,O,X,O,O,O,X,X,X,X,X,O
TSZIOLJ,O,X,X,O,X,O,X,X,X,X,X,X,X,O
TSZIOJL,O,O,X,O,X,O,O,O,X,X,X,X,X,O
TSZLIJO,O,X,X,O,X,O,O,O,O,O,X,X,O,X
TSZLIOJ,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TSZLJIO,O,X,O,O,O,O,O,O,O,O,X,X,O,X
TSZLJOI,O,X,X,O,O,O,O,O,X,X,X,X,X,X
TSZLOIJ,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TSZLOJI,O,X,X,O,O,O,X,O,X,X,X,X,X,X
TSZJILO,O,O,O,O,X,O,O,O,O,O,X,X,O,X
TSZJIOL,O,O,O,O,X,O,O,O,X,X,X,X,X,X
TSZJLIO,O,O,O,O,O,O,O,O,O,O,X,X,O,X
TSZJLOI,O,O,X,O,O,O,O,O,X,X,X,X,X,X
TSZJOIL,O,O,O,O,X,O,O,O,X,X,X,X,X,X
TSZJOLI,O,O,O,O,O,O,O,O,X,X,X,X,X,X
TSZOILJ,O,X,O,O,X,O,X,X,X,X,X,X,X,O
TSZOIJL,O,O,O,O,X,O,O,O,X,X,X,X,X,O
TSZOLIJ,O,X,O,O,X,O,X,O,X,X,X,X,X,O
TSZOLJI,O,X,O,O,O,O,X,O,X,X,X,X,X,X
TSZOJIL,O,O,O,O,X,O,O,O,X,X,X,X,X,X
TSZOJLI,O,O,O,O,O,O,O,O,X,X,X,X,X,X
TSOILJZ,X,O,X,O,O,O,X,O,O,O,X,X,X,O
TSOILZJ,O,X,X,O,X,X,X,O,X,X,X,X,X,O
TSOIJLZ,X,O,X,O,O,O,X,O,O,O,X,X,X,O
TSOIJZL,X,O,X,O,X,O,X,O,X,X,O,X,X,O
TSOIZLJ,O,X,X,O,X,X,X,O,X,X,X,X,X,O
TSOIZJL,O,O,X,X,X,X,X,O,X,X,X,X,X,O
TSOLIJZ,X,O,X,O,O,O,X,O,O,O,X,X,X,O
TSOLIZJ,O,X,X,O,X,X,X,O,X,X,X,X,X,O
TSOLJIZ,X,O,X,O,O,O,X,O,O,O,X,X,X,O
TSOLJZI,O,O,X,O,O,O,X,O,X,X,X,X,X,X
TSOLZIJ,O,X,O,O,X,O,X,O,X,X,X,X,X,O
TSOLZJI,O,X,O,O,O,O,X,O,X,X,X,X,X,X
TSOJILZ,X,O,X,O,O,O,X,O,O,O,X,X,X,O
TSOJIZL,X,O,X,O,X,O,X,O,X,X,O,X,X,O
TSOJLIZ,X,O,X,O,O,O,X,O,O,O,X,X,X,O
TSOJLZI,O,O,X,O,O,O,X,O,X,X,X,X,X,X
TSOJZIL,X,O,X,O,X,O,O,O,X,X,O,X,X,X
TSOJZLI,X,O,X,O,O,O,O,O,X,X,O,X,X,X
TSOZILJ,O,X,O,O,X,O,X,O,X,X,X,X,X,O
TSOZIJL,O,O,O,X,X,O,O,O,X,X,X,X,X,O
TSOZLIJ,O,X,O,O,X,O,X,O,X,X,X,X,X,O
TSOZLJI,O,X,O,O,O,O,X,O,X,X,X,X,X,X
TSOZJIL,O,O,O,O,X,O,O,O,X,X,X,X,X,X
TSOZJLI,O,O,O,O,O,O,O,O,X,X,X,X,X,X
TZILJSO,X,X,O,O,X,X,O,O,O,X,X,X,O,X
TZILJOS,X,X,O,O,X,X,O,X,O,X,X,X,O,X
TZILSJO,O,X,X,O,X,O,O,O,X,X,X,X,O,X
TZILSOJ,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TZILOJS,X,X,X,O,X,X,O,X,X,X,X,X,O,X
TZILOSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TZIJLSO,X,X,O,O,X,X,O,O,O,X,X,X,O,X
TZIJLOS,X,X,O,O,X,X,O,X,O,X,X,X,O,X
TZIJSLO,X,X,O,O,X,O,O,O,O,O,X,X,O,X
TZIJSOL,X,X,O,O,X,O,O,O,X,X,X,X,X,X
TZIJOLS,X,X,O,O,X,X,O,X,X,X,X,X,O,X
TZIJOSL,X,X,O,O,X,O,O,X,X,X,X,X,X,X
TZISLJO,O,X,X,O,X,O,O,O,O,O,X,X,O,X
TZISLOJ,O,X,X,O,X,O,X,O,X,X,X,X,X,O
TZISJLO,O,X,X,O,X,O,O,O,O,O,X,X,O,X
TZISJOL,O,X,X,O,X,O,O,O,X,X,X,X,X,O
TZISOLJ,O,X,X,O,X,O,X,X,X,X,X,X,X,O
TZISOJL,O,X,X,O,X,O,O,O,X,X,X,X,X,O
TZIOLJS,X,X,O,O,X,X,O,X,X,X,X,X,O,X
TZIOLSJ,X,X,O,O,X,X,X,X,X,X,X,X,X,O
TZIOJLS,X,X,O,O,X,X,O,X,X,X,X,X,O,X
TZIOJSL,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TZIOSLJ,X,X,O,O,X,O,X,X,X,X,X,X,X,O
TZIOSJL,X,X,O,O,X,O,O,X,X,X,X,X,X,O
TZLIJSO,X,X,O,O,X,X,O,O,O,X,X,O,O,X
TZLIJOS,X,X,O,O,X,X,O,X,O,X,X,O,O,X
TZLISJO,O,X,X,O,X,O,O,O,X,X,X,O,O,X
TZLISOJ,O,X,X,O,X,O,X,O,X,X,X,O,X,X
TZLIOJS,X,X,X,O,X,X,O,X,X,X,X,O,O,X
TZLIOSJ,X,X,X,O,X,X,X,X,X,X,X,O,X,O
TZLJISO,X,O,O,O,X,X,O,O,O,X,X,X,O,X
TZLJIOS,X,O,O,O,X,X,O,X,O,X,X,X,O,X
TZLJSIO,O,O,O,O,X,X,O,O,X,X,X,X,O,X
TZLJSOI,O,O,X,O,X,X,O,O,X,X,X,X,X,X
TZLJOIS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
TZLJOSI,X,O,O,O,X,X,O,O,X,X,X,X,X,X
TZLSIJO,O,X,X,O,X,O,O,O,X,X,X,O,O,X
TZLSIOJ,O,X,X,O,X,O,X,O,X,X,X,O,X,X
TZLSJIO,O,X,O,O,X,O,O,O,X,X,X,X,O,X
TZLSJOI,O,X,X,O,X,O,O,O,X,X,X,X,X,X
TZLSOIJ,O,X,X,O,X,O,X,O,X,X,X,O,X,X
TZLSOJI,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TZLOIJS,X,X,O,O,X,X,O,X,X,X,X,O,O,X
TZLOISJ,X,X,O,O,X,X,X,X,X,X,X,O,X,O
TZLOJIS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
TZLOJSI,X,O,O,O,X,X,O,O,X,X,X,X,X,X
TZLOSIJ,O,X,O,O,X,X,X,O,X,X,X,O,X,O
TZLOSJI,O,X,O,O,X,X,X,O,X,X,X,X,X,X
TZJILSO,X,O,O,O,X,X,O,O,O,X,X,X,O,X
TZJILOS,X,O,O,O,X,X,O,X,O,X,X,X,O,X
TZJISLO,X,O,O,O,X,O,O,O,O,O,X,X,O,X
TZJISOL,X,O,O,O,X,O,O,O,X,X,X,X,X,X
TZJIOLS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
TZJIOSL,X,O,O,O,X,O,O,X,X,X,X,X,X,X
TZJLISO,X,O,O,O,X,X,O,O,O,X,X,X,O,X
TZJLIOS,X,O,O,O,X,X,O,X,O,X,X,X,O,X
TZJLSIO,O,O,O,O,X,X,O,O,X,X,X,X,O,X
TZJLSOI,O,O,X,O,X,X,O,O,X,X,X,X,X,X
TZJLOIS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
TZJLOSI,X,O,O,O,X,X,O,O,X,X,X,X,X,X
TZJSILO,O,O,O,O,X,O,O,O,O,O,X,X,O,X
TZJSIOL,O,O,O,O,X,O,O,O,X,X,X,X,X,X
TZJSLIO,O,O,O,O,X,O,O,O,O,O,X,X,O,X
TZJSLOI,O,O,X,O,X,O,O,O,X,X,X,X,X,X
TZJSOIL,O,O,O,O,X,O,O,O,X,X,X,X,X,X
TZJSOLI,O,O,O,O,X,O,O,O,X,X,X,X,X,X
TZJOILS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
TZJOISL,X,O,O,O,X,O,O,X,X,X,X,X,X,X
TZJOLIS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
TZJOLSI,X,O,O,O,X,X,O,O,X,X,X,X,X,X
TZJOSIL,X,O,O,O,X,O,O,O,X,X,X,X,X,X
TZJOSLI,X,O,O,O,X,O,O,O,X,X,X,X,X,X
TZSILJO,O,X,X,O,X,O,O,O,O,O,X,X,O,X
TZSILOJ,O,X,X,O,X,O,X,O,X,X,X,X,X,O
TZSIJLO,O,O,X,O,X,O,O,O,O,O,X,X,O,X
TZSIJOL,O,O,X,O,X,O,O,O,X,X,X,X,X,O
TZSIOLJ,O,X,X,O,X,O,X,X,X,X,X,X,X,O
TZSIOJL,O,O,X,O,X,O,O,O,X,X,X,X,X,O
TZSLIJO,O,X,X,O,X,O,O,O,O,O,X,X,O,X
TZSLIOJ,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TZSLJIO,O,X,O,O,X,O,O,O,O,O,X,X,O,X
TZSLJOI,O,X,X,O,X,O,O,O,X,X,X,X,X,X
TZSLOIJ,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TZSLOJI,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TZSJILO,O,O,O,O,X,O,O,O,O,O,X,X,O,X
TZSJIOL,O,O,O,O,X,O,O,O,X,X,X,X,X,X
TZSJLIO,O,O,O,O,X,O,O,O,O,O,X,X,O,X
TZSJLOI,O,O,X,O,X,O,O,O,X,X,X,X,X,X
TZSJOIL,O,O,O,O,X,O,O,O,X,X,X,X,X,X
TZSJOLI,O,O,O,O,X,O,O,O,X,X,X,X,X,X
TZSOILJ,O,X,O,O,X,O,X,X,X,X,X,X,X,O
TZSOIJL,O,O,O,O,X,O,O,O,X,X,X,X,X,O
TZSOLIJ,O,X,O,O,X,O,X,O,X,X,X,X,X,O
TZSOLJI,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TZSOJIL,O,O,O,O,X,O,O,O,X,X,X,X,X,X
TZSOJLI,O,O,O,O,X,O,O,O,X,X,X,X,X,X
TZOILJS,X,X,O,O,X,X,O,X,X,X,X,X,O,X
TZOILSJ,X,X,O,O,X,X,X,X,X,X,X,X,X,O
TZOIJLS,X,X,O,O,X,X,O,X,X,X,X,X,O,X
TZOIJSL,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TZOISLJ,X,X,O,O,X,O,X,X,X,X,X,X,X,O
TZOISJL,X,X,O,O,X,O,O,X,X,X,X,X,X,O
TZOLIJS,X,X,O,O,X,X,O,X,X,X,X,O,O,X
TZOLISJ,X,X,O,O,X,X,X,X,X,X,X,O,X,O
TZOLJIS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
TZOLJSI,X,O,O,O,X,X,O,O,X,X,X,X,X,X
TZOLSIJ,O,X,O,O,X,X,X,O,X,X,X,O,X,O
TZOLSJI,O,X,O,O,X,X,X,O,X,X,X,X,X,X
TZOJILS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
TZOJISL,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TZOJLIS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
TZOJLSI,X,O,O,O,X,X,O,O,X,X,X,X,X,X
TZOJSIL,X,O,O,O,X,X,O,O,X,X,X,X,X,X
TZOJSLI,X,O,O,O,X,X,O,O,X,X,X,X,X,X
TZOSILJ,O,X,O,O,X,O,X,X,X,X,X,X,X,O
TZOSIJL,O,X,O,O,X,O,O,O,X,X,X,X,X,O
TZOSLIJ,O,X,O,O,X,O,X,O,X,X,X,X,X,O
TZOSLJI,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TZOSJIL,O,X,O,O,X,O,O,O,X,X,X,X,X,X
TZOSJLI,O,X,O,O,X,O,O,O,X,X,X,X,X,X
TOILJSZ,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TOILJZS,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TOILSJZ,X,X,X,O,X,X,X,O,X,O,X,X,X,O
TOILSZJ,X,X,X,O,X,X,X,O,X,O,X,X,X,O
TOILZJS,X,X,O,X,X,X,X,O,X,X,X,O,X,X
TOILZSJ,X,X,O,X,X,X,X,O,X,X,X,O,X,O
TOIJLSZ,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TOIJLZS,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TOIJSLZ,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TOIJSZL,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TOIJZLS,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TOIJZSL,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TOISLJZ,X,X,X,O,X,O,X,O,O,O,X,X,X,O
TOISLZJ,X,X,X,O,X,X,X,O,X,O,X,X,X,O
TOISJLZ,X,X,X,O,X,O,X,O,O,O,X,X,X,O
TOISJZL,X,X,X,O,X,O,X,O,X,O,X,X,X,O
TOISZLJ,X,X,X,O,X,X,X,O,X,O,X,X,X,O
TOISZJL,X,X,X,X,X,X,X,O,X,O,X,X,X,O
TOIZLJS,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TOIZLSJ,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TOIZJLS,X,X,O,X,X,X,O,O,X,X,X,X,X,X
TOIZJSL,X,X,O,X,X,X,O,O,X,O,X,X,X,X
TOIZSLJ,X,X,O,X,X,X,X,O,X,O,X,X,X,O
TOIZSJL,X,X,O,X,X,X,O,O,X,O,X,X,X,O
TOLIJSZ,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TOLIJZS,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TOLISJZ,X,X,X,O,X,X,X,O,X,O,X,X,X,O
TOLISZJ,X,X,X,O,X,X,X,O,X,O,X,X,X,O
TOLIZJS,X,X,O,X,X,X,X,O,X,X,X,O,X,X
TOLIZSJ,X,X,O,X,X,X,X,O,X,X,X,O,X,O
TOLJISZ,X,O,X,O,X,X,X,X,O,O,X,X,X,X
TOLJIZS,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TOLJSIZ,X,O,X,O,O,X,X,O,X,O,X,X,X,X
TOLJSZI,X,O,X,O,O,X,X,O,X,O,X,X,X,X
TOLJZIS,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TOLJZSI,X,O,O,O,X,X,O,O,X,X,X,X,X,X
TOLSIJZ,X,O,X,O,O,X,X,O,X,O,X,X,X,O
TOLSIZJ,O,X,X,O,X,X,X,O,X,O,X,X,X,O
TOLSJIZ,X,O,X,O,O,X,X,O,X,O,X,X,X,O
TOLSJZI,O,O,X,O,O,X,X,O,X,O,X,X,X,X
TOLSZIJ,O,X,O,O,X,X,X,O,X,O,X,X,X,O
TOLSZJI,O,X,O,O,O,X,X,O,X,O,X,X,X,X
TOLZIJS,X,X,O,X,X,X,O,O,X,X,X,O,X,X
TOLZISJ,X,X,O,X,X,X,X,O,X,X,X,O,X,O
TOLZJIS,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TOLZJSI,X,O,O,O,X,X,O,O,X,X,X,X,X,X
TOLZSIJ,O,X,O,O,X,X,X,O,X,X,X,O,X,O
TOLZSJI,O,X,O,O,X,X,X,O,X,X,X,X,X,X
TOJILSZ,X,O,X,O,X,X,X,X,O,O,X,X,X,X
TOJILZS,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TOJISLZ,X,O,X,O,X,X,X,X,O,O,X,X,X,X
TOJISZL,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TOJIZLS,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TOJIZSL,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TOJLISZ,X,O,X,O,X,X,X,X,O,O,X,X,X,X
TOJLIZS,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TOJLSIZ,X,O,X,O,O,X,X,O,X,O,X,X,X,X
TOJLSZI,X,O,X,O,O,X,X,O,X,O,X,X,X,X
TOJLZIS,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TOJLZSI,X,O,O,O,X,X,O,O,X,X,X,X,X,X
TOJSILZ,X,O,X,O,O,X,X,O,O,O,X,X,X,X
TOJSIZL,X,O,X,O,X,X,X,O,X,O,O,X,X,X
TOJSLIZ,X,O,X,O,O,X,X,O,O,O,X,X,X,X
TOJSLZI,X,O,X,O,O,X,X,O,X,O,X,X,X,X
TOJSZIL,X,O,X,O,X,X,O,O,X,O,O,X,X,X
TOJSZLI,X,O,X,O,O,X,O,O,X,O,O,X,X,X
TOJZILS,X,O,O,X,X,X,O,O,X,X,X,X,O,X
TOJZISL,X,O,O,X,X,X,O,O,X,O,O,X,X,X
TOJZLIS,X,O,O,X,X,X,O,O,X,X,X,X,O,X
TOJZLSI,X,O,O,O,X,X,O,O,X,X,O,X,X,X
TOJZSIL,X,O,O,O,X,X,O,O,X,O,O,X,X,X
TOJZSLI,X,O,O,O,X,X,O,O,X,O,O,X,X,X
TOSILJZ,X,O,X,O,O,O,X,O,O,O,X,X,X,O
TOSILZJ,O,X,X,O,X,X,X,O,X,O,X,X,X,O
TOSIJLZ,X,O,X,O,O,O,X,O,O,O,X,X,X,O
TOSIJZL,X,O,X,O,X,O,X,O,X,O,O,X,X,O
TOSIZLJ,O,X,X,O,X,X,X,O,X,O,X,X,X,O
TOSIZJL,O,O,X,X,X,X,X,O,X,O,X,X,X,O
TOSLIJZ,X,O,X,O,O,O,X,O,O,O,X,X,X,O
TOSLIZJ,O,X,X,O,X,X,X,O,X,O,X,X,X,O
TOSLJIZ,X,O,X,O,O,O,X,O,O,O,X,X,X,O
TOSLJZI,O,O,X,O,O,O,X,O,X,O,X,X,X,X
TOSLZIJ,O,X,O,O,X,O,X,O,X,O,X,X,X,O
TOSLZJI,O,X,O,O,O,O,X,O,X,O,X,X,X,X
TOSJILZ,X,O,X,O,O,O,X,O,O,O,X,X,X,O
TOSJIZL,X,O,X,O,X,O,X,O,X,O,O,X,X,O
TOSJLIZ,X,O,X,O,O,O,X,O,O,O,X,X,X,O
TOSJLZI,O,O,X,O,O,O,X,O,X,O,X,X,X,X
TOSJZIL,X,O,X,O,X,O,O,O,X,O,O,X,X,X
TOSJZLI,X,O,X,O,O,O,O,O,X,O,O,X,X,X
