sequence,v115@9gA8IeC8FeF8AeB8AeI8AeA8Je06IvhF6gBTcB/iBG?eBZoBlrB,v115@9gA8IeC8FeF8AeB8AeI8AeA8Jex6IvhFTcB/iBcjBG?gBlmBatB,v115@9gA8IeC8FeF8AeB8AeI8AeA8Je06IvhFxbBXdBzgBF?jBCnBOtB,v115@9gA8IeC8FeF8AeB8AeI8AeA8Je06IvhF6gBlcBGeB/?mBTiBZoB
TSIOZJL,O,X,X,X
TSLIJZO,O,X,X,X
TSLIJOZ,O,X,X,X
TSLIZJO,O,X,X,X
TSLIZOJ,O,X,X,X
TSLIOJZ,O,X,X,X
TSLIOZJ,O,X,X,X
TSLJIZO,X,X,X,X
TSLJIOZ,X,X,X,X
TSLJZIO,X,X,X,X
TSLJZOI,O,X,X,X
TSLJOIZ,X,X,X,X
TSLJOZI,O,X,X,X
TSLZIJO,O,X,X,X
TSLZIOJ,O,X,X,X
TSLZJIO,X,X,X,X
TSLZJOI,O,X,X,X
TSLZOIJ,O,X,X,X
TSLZOJI,O,X,X,X
TSLOIJZ,O,X,X,X
TSLOIZJ,O,X,X,X
TSLOJIZ,X,X,X,X
TSLOJZI,O,X,X,X
TSLOZIJ,O,X,X,X
TSLOZJI,O,X,X,X
TSJILZO,X,X,X,X
TSJILOZ,X,X,X,X
TSJIZLO,X,X,X,X
TSJIZOL,X,O,X,X
TSJIOLZ,X,X,X,X
TSJIOZL,X,O,X,X
TSJLIZO,X,X,X,X
TSJLIOZ,X,X,X,X
TSJLZIO,X,X,X,X
TSJLZOI,O,X,X,X
TSJLOIZ,X,X,X,X
TSJLOZI,O,X,X,X
TSJZILO,X,X,X,X
TSJZIOL,X,O,X,X
TSJZLIO,X,X,X,X
TSJZLOI,O,X,X,X
TSJZOIL,X,O,X,X
TSJZOLI,O,O,X,X
TSJOILZ,X,X,X,X
TSJOIZL,X,O,X,X
TSJOLIZ,X,X,X,X
TSJOLZI,O,X,X,X
TSJOZIL,X,O,X,X
TSJOZLI,O,O,X,X
TSZILJO,O,X,X,X
TSZILOJ,O,X,X,X
TSZIJLO,O,X,X,X
TSZIJOL,O,X,X,X
TSZIOLJ,O,X,X,X
TSZIOJL,O,X,X,X
TSZLIJO,O,X,X,X
TSZLIOJ,O,X,X,X
TSZLJIO,X,X,X,X
TSZLJOI,O,X,X,X
TSZLOIJ,O,X,X,X
TSZLOJI,O,X,X,X
TSZJILO,X,X,X,X
TSZJIOL,X,O,X,X
TSZJLIO,X,X,X,X
TSZJLOI,O,X,X,X
TSZJOIL,X,O,X,X
TSZJOLI,O,O,X,X
TSZOILJ,O,X,X,X
TSZOIJL,O,X,X,X
TSZOLIJ,O,X,O,X
TSZOLJI,O,X,O,X
TSZOJIL,X,O,X,X
TSZOJLI,O,O,X,X
TSOILJZ,O,X,X,X
TSOILZJ,O,X,X,X
TSOIJLZ,O,X,X,X
TSOIJZL,O,X,X,X
TSOIZLJ,O,X,X,X
TSOIZJL,O,X,X,X
TSOLIJZ,O,X,X,X
TSOLIZJ,O,X,X,X
TSOLJIZ,X,X,X,X
TSOLJZI,O,X,X,X
TSOLZIJ,O,X,X,X
TSOLZJI,O,X,X,X
TSOJILZ,X,X,X,X
TSOJIZL,X,O,X,X
TSOJLIZ,X,X,X,X
TSOJLZI,O,X,X,X
TSOJZIL,X,O,X,X
TSOJZLI,O,O,X,X
TSOZILJ,O,X,X,X
TSOZIJL,O,X,X,X
TSOZLIJ,O,X,O,X
TSOZLJI,O,X,O,X
TSOZJIL,X,O,X,X
TSOZJLI,O,O,X,X
TZILJSO,X,X,X,X
TZILJOS,X,X,X,X
TZILSJO,O,X,X,X
TZILSOJ,O,X,X,X
TZILOJS,X,X,X,X
TZILOSJ,O,X,X,X
