sequence,v115@6gC8FeD8FeE8CeH8FeB8Jei6IvhFzbBuhB3fBllBUq?BxwB,v115@6gC8FeD8FeE8CeH8FeB8JeO/IvhFXbBlcBUhBClBTq?BxwB,v115@6gC8FeD8FeE8CeH8FeB8JeO/IvhFTbB/hBqkBllBUs?BxvB,v115@6gC8FeD8FeE8CeH8FeB8JeO/IvhFlbB3cBzfBCmBUq?BxwB,v115@6gC8FeD8FeE8CeH8FeB8JeT6IvhFibBuhB0kBllB3q?BxwB,v115@6gC8FeD8FeE8CeH8FeB8Je06IvhFlbBuhB/kBylBTq?BxwB,v115@6gC8FeD8FeE8CeH8FeB8Jei6IvhF3cBGgBUhBlkBTq?BxwB,v115@6gC8FeD8FeE8CeH8FeB8JeT6IvhFibBGhBlkB3lBUs?BxvB,v115@6gC8FeD8FeE8CeH8FeB8Jex6IvhFTfB/lBFhBUqBWx?BirB,v115@6gC8FeD8FeE8CeH8FeB8Jex6IvhF/kBUgBFhBTqBWx?BirB
TSOLIJZ,O,O,O,X,X,O,O,O,X,X
TSOLIZJ,X,X,O,X,X,O,X,O,X,X
TSOLJIZ,O,O,O,O,X,O,O,O,X,X
TSOLJZI,O,O,O,O,X,O,O,O,X,X
TSOLZIJ,X,X,X,X,X,O,X,O,X,O
TSOLZJI,O,O,O,X,X,O,O,O,X,O
TSOJILZ,O,X,X,O,X,X,O,O,X,X
TSOJIZL,X,X,X,O,X,X,X,O,X,X
TSOJLIZ,O,O,O,O,X,O,O,O,X,X
TSOJLZI,O,O,O,O,X,O,O,O,X,X
TSOJZIL,X,O,X,O,X,O,X,O,X,O
TSOJZLI,O,O,X,O,X,O,O,O,X,O
TSOZILJ,X,X,X,X,X,O,X,O,X,O
TSOZIJL,X,O,X,O,X,O,X,O,X,O
TSOZLIJ,X,X,X,X,X,O,X,O,X,O
TSOZLJI,O,O,O,O,X,O,O,O,X,O
TSOZJIL,X,O,X,O,X,O,X,O,X,O
TSOZJLI,O,O,X,O,X,O,O,O,X,O
TZILJSO,X,O,X,X,O,X,O,X,X,X
TZILJOS,X,O,X,X,O,X,X,X,X,X
TZILSJO,X,O,X,X,O,X,O,X,X,X
TZILSOJ,X,O,X,X,O,X,X,X,X,X
TZILOJS,X,O,X,X,O,X,X,X,X,X
TZILOSJ,X,O,X,X,O,X,X,X,X,X
TZIJLSO,X,O,X,X,O,X,O,X,X,X
TZIJLOS,X,O,X,X,O,X,X,X,X,X
TZIJSLO,O,O,X,X,O,X,O,X,X,X
TZIJSOL,O,O,X,X,O,X,X,X,X,X
TZIJOLS,X,O,X,X,O,X,X,X,X,X
TZIJOSL,O,O,X,X,O,X,X,X,X,X
TZISLJO,O,O,X,X,O,X,O,O,X,X
TZISLOJ,O,O,X,X,O,X,X,O,X,X
TZISJLO,O,O,X,X,O,X,O,O,X,X
TZISJOL,O,O,X,X,O,X,X,O,X,X
TZISOLJ,O,O,X,X,O,X,X,O,X,X
TZISOJL,O,O,X,X,O,X,X,O,X,X
TZIOLJS,X,O,X,X,O,X,X,X,X,X
TZIOLSJ,X,O,X,X,O,X,X,X,X,X
TZIOJLS,X,O,X,X,O,X,X,X,X,X
TZIOJSL,O,O,X,X,O,X,X,X,X,X
TZIOSLJ,O,O,X,X,O,X,X,O,X,X
TZIOSJL,O,O,X,X,O,X,X,O,X,X
TZLIJSO,X,O,O,O,O,X,O,X,X,X
TZLIJOS,X,O,O,X,O,X,X,X,X,X
TZLISJO,X,O,O,O,O,X,O,X,X,X
TZLISOJ,X,O,O,O,O,X,X,X,X,X
TZLIOJS,X,O,O,O,O,X,X,X,X,X
TZLIOSJ,X,O,O,O,O,X,X,X,X,X
TZLJISO,X,O,O,O,O,X,X,X,X,X
TZLJIOS,X,O,O,X,O,X,X,X,X,X
TZLJSIO,O,O,O,O,O,X,O,X,X,X
TZLJSOI,O,O,X,O,O,X,O,X,X,X
TZLJOIS,X,O,O,O,O,X,X,X,X,X
TZLJOSI,O,O,O,O,O,X,X,X,X,X
TZLSIJO,O,O,X,O,O,X,O,X,X,X
TZLSIOJ,O,X,X,O,O,X,X,X,X,X
TZLSJIO,O,O,O,O,X,X,O,X,X,X
TZLSJOI,O,O,X,O,O,X,O,X,X,X
TZLSOIJ,O,X,X,O,O,X,X,X,X,X
TZLSOJI,O,O,O,O,O,X,X,X,X,X
TZLOIJS,X,X,O,O,O,X,X,X,X,X
TZLOISJ,X,X,O,O,O,X,X,X,X,X
TZLOJIS,X,O,O,O,O,X,X,X,X,X
TZLOJSI,O,O,O,O,O,X,X,X,X,X
TZLOSIJ,O,X,X,O,O,X,X,X,X,X
TZLOSJI,O,O,O,O,O,X,X,X,X,X
TZJILSO,X,O,X,X,O,X,X,X,X,X
TZJILOS,X,O,X,X,O,X,X,X,X,X
TZJISLO,O,O,X,X,O,X,X,X,X,X
TZJISOL,O,O,X,X,O,X,X,X,X,X
TZJIOLS,X,O,X,X,O,X,X,X,X,X
TZJIOSL,O,O,X,X,O,X,X,X,X,X
TZJLISO,X,O,X,O,O,X,X,X,X,X
TZJLIOS,X,O,X,X,O,X,X,X,X,X
TZJLSIO,O,O,X,O,O,X,O,X,X,X
TZJLSOI,O,O,X,O,O,X,O,X,X,X
TZJLOIS,X,O,X,X,O,X,X,X,X,X
TZJLOSI,O,O,X,O,O,X,X,X,X,X
TZJSILO,O,O,X,X,O,X,X,X,X,X
TZJSIOL,O,O,X,O,O,X,X,X,X,X
TZJSLIO,O,O,X,O,O,X,O,X,X,X
TZJSLOI,O,O,X,O,O,X,O,X,X,X
TZJSOIL,O,O,X,O,O,X,X,X,X,X
TZJSOLI,O,O,X,O,O,X,X,X,X,X
TZJOILS,X,X,X,X,O,X,X,X,X,X
TZJOISL,O,O,X,O,O,X,X,X,X,X
TZJOLIS,X,X,X,O,O,X,X,X,X,X
TZJOLSI,O,O,X,O,O,X,X,X,X,X
TZJOSIL,O,O,X,O,O,X,X,X,X,X
TZJOSLI,O,O,X,O,O,X,X,X,X,X
TZSILJO,O,O,X,X,O,X,O,O,X,X
TZSILOJ,O,O,X,X,O,X,X,O,X,X
TZSIJLO,O,O,X,X,O,X,O,O,X,X
TZSIJOL,O,O,X,O,O,X,X,O,X,X
TZSIOLJ,O,O,X,X,O,X,X,O,O,X
TZSIOJL,O,O,X,O,O,X,X,O,O,X
TZSLIJO,O,O,X,O,O,X,O,O,X,X
TZSLIOJ,O,X,X,O,O,X,X,O,X,X
TZSLJIO,O,O,O,O,X,X,O,X,X,X
TZSLJOI,O,O,X,O,O,X,O,O,X,X
TZSLOIJ,O,X,X,O,O,X,X,O,O,X
TZSLOJI,O,O,O,O,O,X,X,O,O,X
TZSJILO,O,O,X,X,O,X,X,O,X,X
TZSJIOL,O,O,X,O,O,X,X,O,O,X
TZSJLIO,O,O,X,O,O,X,O,X,X,X
TZSJLOI,O,O,X,O,O,X,O,O,O,X
TZSJOIL,O,O,X,O,O,X,X,O,O,X
TZSJOLI,O,O,X,O,O,X,X,O,O,X
TZSOILJ,O,X,X,X,O,X,X,O,O,X
TZSOIJL,O,O,X,O,O,X,X,O,O,X
TZSOLIJ,O,X,X,O,O,X,X,O,O,X
TZSOLJI,O,O,O,O,O,X,X,O,O,X
TZSOJIL,O,O,X,O,O,X,X,O,O,X
TZSOJLI,O,O,X,O,O,X,X,O,O,X
TZOILJS,X,O,X,X,O,X,X,X,X,X
TZOILSJ,X,O,X,X,O,X,X,X,X,X
TZOIJLS,X,O,X,X,O,X,X,X,X,X
TZOIJSL,O,O,X,O,O,X,X,X,X,X
TZOISLJ,O,O,X,X,O,X,X,O,O,X
TZOISJL,O,O,X,O,O,X,X,O,O,X
TZOLIJS,X,X,O,O,O,X,X,X,X,X
TZOLISJ,X,X,O,O,O,X,X,X,X,X
TZOLJIS,X,O,O,O,O,X,X,X,X,X
TZOLJSI,O,O,O,O,O,X,X,X,X,X
TZOLSIJ,O,X,X,O,O,X,X,X,X,X
TZOLSJI,O,O,O,O,O,X,X,X,X,X
TZOJILS,X,X,X,X,O,X,X,X,X,X
TZOJISL,O,O,X,O,O,X,X,X,X,X
TZOJLIS,X,X,X,O,O,X,X,X,X,X
TZOJLSI,O,O,X,O,O,X,X,X,X,X
TZOJSIL,O,O,X,O,O,X,X,X,X,X
TZOJSLI,O,O,X,O,O,X,X,X,X,X
TZOSILJ,O,X,X,X,O,X,X,O,O,O
TZOSIJL,O,O,X,O,O,X,X,O,O,O
TZOSLIJ,O,X,X,O,O,X,X,O,O,O
TZOSLJI,O,O,O,O,O,X,X,O,O,O
TZOSJIL,O,O,X,O,O,X,X,O,O,O
TZOSJLI,O,O,X,O,O,X,X,O,O,O
TOILJSZ,X,O,O,X,X,X,O,X,X,X
TOILJZS,X,O,O,X,X,X,O,X,X,X
TOILSJZ,X,O,O,X,X,X,O,O,X,X
TOILSZJ,X,O,O,X,X,X,O,O,X,X
TOILZJS,X,O,O,X,X,X,O,X,X,X
TOILZSJ,X,O,O,X,X,X,O,X,X,X
TOIJLSZ,X,O,X,X,X,X,O,X,X,X
TOIJLZS,X,O,X,X,X,X,O,X,X,X
TOIJSLZ,O,O,X,X,X,X,O,O,X,X
TOIJSZL,X,O,X,X,X,X,O,O,X,X
TOIJZLS,X,O,X,X,X,X,O,X,X,X
TOIJZSL,X,O,X,X,X,X,O,X,X,X
TOISLJZ,O,O,O,X,X,X,O,O,X,X
TOISLZJ,X,O,X,X,X,X,X,O,X,X
TOISJLZ,O,O,X,X,X,X,O,O,X,X
TOISJZL,X,O,X,X,X,X,X,O,X,X
TOISZLJ,X,O,X,X,X,X,X,O,X,O
TOISZJL,X,O,X,X,X,X,X,O,X,O
TOIZLJS,X,O,X,X,X,X,X,X,X,X
TOIZLSJ,X,O,X,X,X,X,X,X,X,X
TOIZJLS,X,O,X,X,X,X,X,X,X,X
TOIZJSL,X,O,X,X,X,X,X,X,X,X
TOIZSLJ,X,O,X,X,X,X,X,O,O,X
TOIZSJL,X,O,X,X,X,X,X,O,O,X
TOLIJSZ,X,O,O,X,X,O,O,X,X,X
TOLIJZS,X,X,O,X,X,X,O,X,X,X
TOLISJZ,X,O,O,X,X,O,O,O,X,X
TOLISZJ,X,X,O,X,X,O,O,O,X,X
TOLIZJS,X,X,O,X,X,X,O,X,X,X
TOLIZSJ,X,X,O,X,X,X,O,X,X,X
TOLJISZ,X,O,O,X,X,O,O,X,X,X
TOLJIZS,X,O,O,X,X,X,O,X,X,X
TOLJSIZ,O,O,O,X,X,O,O,X,X,X
TOLJSZI,O,O,O,X,X,O,O,X,X,X
TOLJZIS,X,O,O,X,O,X,O,X,X,X
TOLJZSI,X,O,O,X,O,O,O,X,X,X
TOLSIJZ,O,O,O,X,X,O,O,O,X,X
TOLSIZJ,X,O,O,X,X,O,O,O,X,X
TOLSJIZ,O,O,O,X,X,O,O,O,X,X
TOLSJZI,O,O,O,X,X,O,O,O,X,X
TOLSZIJ,X,O,X,X,X,O,X,O,X,O
TOLSZJI,O,O,O,X,X,O,O,O,X,O
TOLZIJS,X,O,O,X,O,X,O,X,X,X
TOLZISJ,X,O,O,X,O,X,O,X,X,X
TOLZJIS,X,O,O,X,O,X,O,X,X,X
TOLZJSI,X,O,O,X,O,O,O,X,X,X
TOLZSIJ,X,O,X,X,O,O,X,X,X,X
TOLZSJI,X,O,O,X,O,O,O,X,X,X
TOJILSZ,X,O,X,X,X,X,O,X,X,X
TOJILZS,X,O,X,X,X,X,O,X,X,X
TOJISLZ,O,O,X,X,X,X,O,O,X,X
TOJISZL,X,O,X,X,X,X,O,O,X,X
TOJIZLS,X,O,X,X,X,X,O,X,X,X
TOJIZSL,X,O,X,X,X,X,O,X,X,X
TOJLISZ,X,O,O,X,X,O,O,X,X,X
TOJLIZS,X,O,O,X,X,X,O,X,X,X
TOJLSIZ,O,O,O,X,X,O,O,X,X,X
TOJLSZI,O,O,O,X,X,O,O,X,X,X
TOJLZIS,X,O,O,X,O,X,O,X,X,X
TOJLZSI,X,O,O,X,O,O,O,X,X,X
TOJSILZ,O,X,X,X,X,X,O,O,X,X
TOJSIZL,X,X,X,X,X,X,O,O,X,X
TOJSLIZ,O,O,O,X,X,O,O,O,X,X
TOJSLZI,O,O,O,X,X,O,O,O,X,X
TOJSZIL,X,O,X,X,X,O,X,O,X,O
TOJSZLI,O,O,X,X,X,O,O,O,X,O
TOJZILS,X,X,X,X,O,X,O,X,X,X
TOJZISL,X,O,X,X,O,X,O,X,X,X
TOJZLIS,X,X,X,X,O,X,O,X,X,X
TOJZLSI,X,O,X,X,O,X,O,X,X,X
TOJZSIL,X,O,X,X,O,X,X,X,X,X
TOJZSLI,O,O,X,X,O,X,O,X,X,X
TOSILJZ,O,X,O,X,X,X,O,O,X,X
TOSILZJ,X,X,X,X,X,X,X,O,X,X
TOSIJLZ,O,X,X,X,X,X,O,O,X,X
TOSIJZL,X,X,X,X,X,X,X,O,X,X
TOSIZLJ,X,X,X,X,X,X,X,O,X,O
TOSIZJL,X,X,X,X,X,X,X,O,X,O
TOSLIJZ,O,O,O,X,X,O,O,O,X,X
TOSLIZJ,X,X,O,X,X,O,O,O,X,X
TOSLJIZ,O,O,O,X,X,O,O,O,X,X
TOSLJZI,O,O,O,X,X,O,O,O,X,X
TOSLZIJ,X,X,X,X,X,O,X,O,X,O
TOSLZJI,O,O,O,X,X,O,O,O,X,O
TOSJILZ,O,X,X,X,X,X,O,O,X,X
TOSJIZL,X,X,X,X,X,X,O,O,X,X
TOSJLIZ,O,O,O,X,X,O,O,O,X,X
TOSJLZI,O,O,O,X,X,O,O,O,X,X
TOSJZIL,X,O,X,X,X,O,X,O,X,O
TOSJZLI,O,O,X,X,X,O,O,O,X,O
TOSZILJ,X,X,X,X,X,O,X,O,X,O
TOSZIJL,X,O,X,X,X,O,X,O,X,O
TOSZLIJ,X,X,X,X,X,O,X,O,X,O
TOSZLJI,O,O,O,X,X,O,O,O,X,O
TOSZJIL,X,O,X,X,X,O,X,O,X,O
TOSZJLI,O,O,X,X,X,O,O,O,X,O
TOZILJS,X,O,X,X,O,X,X,X,X,X
TOZILSJ,X,O,X,X,O,X,X,X,X,X
TOZIJLS,X,O,X,X,O,X,X,X,X,X
TOZIJSL,X,O,X,X,O,X,X,X,X,X
TOZISLJ,X,O,X,X,O,X,X,O,O,X
TOZISJL,X,O,X,X,O,X,X,O,O,X
TOZLIJS,X,X,O,X,O,X,O,X,X,X
TOZLISJ,X,X,O,X,O,X,O,X,X,X
TOZLJIS,X,O,O,X,O,X,O,X,X,X
TOZLJSI,X,O,O,X,O,X,O,X,X,X
TOZLSIJ,X,X,X,X,O,X,X,X,X,X
TOZLSJI,X,O,O,X,O,X,O,X,X,X
TOZJILS,X,X,X,X,O,X,O,X,X,X
TOZJISL,X,O,X,X,O,X,O,X,X,X
TOZJLIS,X,X,X,X,O,X,O,X,X,X
TOZJLSI,X,O,X,X,O,X,O,X,X,X
TOZJSIL,X,O,X,X,O,X,X,X,X,X
TOZJSLI,O,O,X,X,O,X,O,X,X,X
TOZSILJ,X,X,X,X,O,X,X,O,O,O
TOZSIJL,X,O,X,X,O,X,X,O,O,O
TOZSLIJ,X,X,X,X,O,X,X,O,O,O
TOZSLJI,O,O,O,X,O,X,O,O,O,O
TOZSJIL,X,O,X,X,O,X,X,O,O,O
TOZSJLI,O,O,X,X,O,X,O,O,O,O
ITLJSZO,O,O,O,O,O,O,O,X,X,X
ITLJSOZ,O,O,O,O,X,O,O,X,X,X
ITLJZSO,X,O,O,O,O,O,O,X,X,X
ITLJZOS,X,O,O,O,O,X,X,X,X,X
ITLJOSZ,O,O,O,O,X,O,O,X,X,X
ITLJOZS,X,O,O,X,O,X,X,X,X,X
ITLSJZO,O,O,O,O,O,O,O,O,X,X
ITLSJOZ,O,O,O,O,X,O,O,O,X,X
ITLSZJO,O,O,O,O,O,O,O,O,X,X
ITLSZOJ,O,O,O,X,O,O,X,O,X,X
ITLSOJZ,O,O,O,O,X,O,O,O,X,X
ITLSOZJ,O,X,O,X,X,O,X,O,X,X
ITLZJSO,X,O,O,O,O,O,O,X,X,X
ITLZJOS,X,O,O,X,O,X,X,X,X,X
ITLZSJO,X,O,O,O,O,O,O,X,X,X
ITLZSOJ,X,O,O,X,O,O,X,X,X,X
ITLZOJS,X,O,O,X,O,X,X,X,X,X
ITLZOSJ,X,O,O,X,O,X,X,X,X,X
ITLOJSZ,O,O,O,O,X,O,O,X,X,X
ITLOJZS,X,O,O,X,O,X,X,X,X,X
ITLOSJZ,O,O,O,O,X,O,O,O,X,X
ITLOSZJ,O,O,O,X,X,O,X,O,X,X
ITLOZJS,X,O,O,X,O,X,X,X,X,X
ITLOZSJ,X,O,O,X,O,X,X,X,X,X
ITJLSZO,O,O,O,O,O,O,O,O,X,X
ITJLSOZ,O,O,O,O,X,O,O,O,X,X
ITJLZSO,X,O,O,O,O,O,O,X,X,X
ITJLZOS,X,O,O,O,O,X,X,X,X,X
ITJLOSZ,O,O,O,O,X,O,O,X,X,X
ITJLOZS,X,O,O,X,O,X,X,X,X,X
ITJSLZO,O,O,O,O,O,O,O,O,X,X
ITJSLOZ,O,O,O,O,X,O,O,O,X,X
ITJSZLO,O,O,X,O,O,O,O,O,X,X
ITJSZOL,O,O,X,O,O,O,X,O,X,X
ITJSOLZ,O,O,O,O,X,O,O,O,X,X
ITJSOZL,O,O,X,O,X,O,X,O,X,X
ITJZLSO,O,O,X,O,O,X,O,X,X,X
ITJZLOS,O,O,X,O,O,X,X,X,X,X
ITJZSLO,O,O,X,O,O,X,O,X,X,X
ITJZSOL,O,O,X,O,O,X,X,X,X,X
ITJZOLS,O,O,X,O,O,X,X,X,X,X
ITJZOSL,O,O,X,O,O,X,X,X,X,X
ITJOLSZ,O,O,O,X,X,O,O,X,X,X
ITJOLZS,X,O,O,X,O,O,X,X,X,X
ITJOSLZ,O,O,O,X,X,O,O,O,X,X
ITJOSZL,O,O,X,X,X,O,X,O,X,X
ITJOZLS,X,O,X,X,O,X,X,X,X,X
ITJOZSL,O,O,X,X,O,X,X,X,X,X
ITSLJZO,O,O,O,O,O,O,O,O,X,X
ITSLJOZ,O,O,O,O,X,O,O,O,X,X
ITSLZJO,O,O,O,O,O,O,O,O,X,X
ITSLZOJ,O,X,O,O,O,O,X,O,X,X
ITSLOJZ,O,O,O,O,X,O,O,O,X,X
ITSLOZJ,O,X,O,X,X,O,X,O,X,X
ITSJLZO,O,O,O,O,O,O,O,O,X,X
ITSJLOZ,O,O,O,O,X,O,O,O,X,X
ITSJZLO,O,O,X,O,O,O,O,O,X,X
ITSJZOL,O,O,X,O,O,O,X,O,X,X
ITSJOLZ,O,O,O,O,X,O,O,O,X,X
ITSJOZL,O,O,X,O,X,O,X,O,X,X
ITSZLJO,O,O,O,O,O,O,O,O,X,X
ITSZLOJ,O,O,O,O,O,O,X,O,X,X
ITSZJLO,O,O,X,O,O,O,O,O,X,X
ITSZJOL,O,O,X,O,O,O,X,O,X,X
ITSZOLJ,O,O,O,O,O,X,X,O,X,X
ITSZOJL,O,O,X,O,O,O,X,O,X,X
ITSOLJZ,O,O,O,O,X,O,O,O,X,X
ITSOLZJ,O,O,O,X,X,O,O,O,X,X
ITSOJLZ,O,O,O,O,X,O,O,O,X,X
ITSOJZL,O,O,X,O,X,O,O,O,X,X
ITSOZLJ,O,O,O,O,X,O,O,O,X,X
ITSOZJL,O,O,X,O,X,O,O,O,X,X
ITZLJSO,O,O,O,O,O,X,O,X,X,X
ITZLJOS,O,O,O,O,O,X,X,X,X,X
ITZLSJO,O,O,O,O,O,X,O,X,X,X
ITZLSOJ,O,O,O,O,O,X,X,X,X,X
ITZLOJS,O,O,O,O,O,X,X,X,X,X
ITZLOSJ,O,O,O,O,O,X,X,X,X,X
ITZJLSO,O,O,X,O,O,X,O,X,X,X
ITZJLOS,O,O,X,O,O,X,X,X,X,X
ITZJSLO,O,O,X,O,O,X,O,X,X,X
ITZJSOL,O,O,X,O,O,X,X,X,X,X
ITZJOLS,O,O,X,O,O,X,X,X,X,X
ITZJOSL,O,O,X,O,O,X,X,X,X,X
ITZSLJO,O,O,O,O,O,X,O,O,X,X
ITZSLOJ,O,O,O,O,O,X,X,O,X,X
ITZSJLO,O,O,X,O,O,X,O,O,X,X
ITZSJOL,O,O,X,O,O,X,X,O,X,X
ITZSOLJ,O,O,O,O,O,X,X,O,X,X
ITZSOJL,O,O,X,O,O,X,X,O,X,X
ITZOLJS,O,O,O,O,O,X,X,X,X,X
ITZOLSJ,O,O,O,O,O,X,X,X,X,X
ITZOJLS,O,O,X,O,O,X,X,X,X,X
ITZOJSL,O,O,X,O,O,X,X,X,X,X
ITZOSLJ,O,O,O,O,O,X,X,O,X,X
ITZOSJL,O,O,X,O,O,X,X,O,X,X
ITOLJSZ,O,O,O,X,X,O,O,X,X,X
ITOLJZS,X,O,O,X,O,O,O,X,X,X
ITOLSJZ,O,O,O,X,X,O,O,O,X,X
ITOLSZJ,O,O,O,X,X,O,O,O,X,X
ITOLZJS,X,O,O,X,O,O,O,X,X,X
ITOLZSJ,X,O,O,X,O,O,O,X,X,X
ITOJLSZ,O,O,O,X,X,O,O,X,X,X
ITOJLZS,X,O,O,X,O,O,O,X,X,X
ITOJSLZ,O,O,O,X,X,O,O,O,X,X
ITOJSZL,O,O,X,X,X,O,O,O,X,X
ITOJZLS,X,O,X,X,O,X,O,X,X,X
ITOJZSL,O,O,X,X,O,X,O,X,X,X
ITOSLJZ,O,O,O,X,X,O,O,O,X,X
ITOSLZJ,O,O,O,X,X,O,O,O,X,X
ITOSJLZ,O,O,O,X,X,O,O,O,X,X
ITOSJZL,O,O,X,X,X,O,O,O,X,X
ITOSZLJ,O,O,O,X,X,O,O,O,X,O
ITOSZJL,O,O,X,X,X,O,O,O,X,O
ITOZLJS,X,O,O,X,O,X,O,X,X,X
ITOZLSJ,X,O,O,X,O,X,O,X,X,X
ITOZJLS,X,O,X,X,O,X,O,X,X,X
ITOZJSL,O,O,X,X,O,X,O,X,X,X
ITOZSLJ,O,O,O,X,O,X,O,O,X,X
ITOZSJL,O,O,X,X,O,X,O,O,X,X
ILTJSZO,O,O,O,O,O,O,O,X,X,X
ILTJSOZ,O,O,O,O,X,O,O,X,X,X
ILTJZSO,X,O,O,O,O,O,O,X,X,X
ILTJZOS,X,O,O,O,O,X,X,X,X,X
ILTJOSZ,O,O,O,O,X,O,O,X,X,X
ILTJOZS,X,O,O,X,O,X,X,X,X,X
ILTSJZO,O,O,O,O,O,O,O,O,X,X
ILTSJOZ,O,O,O,O,X,O,O,O,X,X
ILTSZJO,O,O,O,O,O,O,O,O,X,X
ILTSZOJ,O,O,O,X,O,O,X,O,X,X
ILTSOJZ,O,O,O,O,X,O,O,O,X,X
ILTSOZJ,O,X,O,X,X,O,X,O,X,X
ILTZJSO,X,O,O,O,O,O,O,X,X,X
ILTZJOS,X,O,O,X,O,X,X,X,X,X
ILTZSJO,X,O,O,O,O,O,O,X,X,X
ILTZSOJ,X,O,O,X,O,O,X,X,X,X
ILTZOJS,X,O,O,X,O,X,X,X,X,X
ILTZOSJ,X,O,O,X,O,X,X,X,X,X
ILTOJSZ,O,O,O,O,X,O,O,X,X,X
ILTOJZS,X,O,O,X,O,X,X,X,X,X
ILTOSJZ,O,O,O,O,X,O,O,O,X,X
ILTOSZJ,O,O,O,X,X,O,X,O,X,X
ILTOZJS,X,O,O,X,O,X,X,X,X,X
ILTOZSJ,X,O,O,X,O,X,X,X,X,X
ILJTSZO,O,O,O,O,O,O,X,O,X,X
ILJTSOZ,O,O,O,O,X,O,X,O,X,X
ILJTZSO,X,O,O,O,O,O,X,X,X,X
ILJTZOS,X,O,O,O,O,X,X,X,X,X
ILJTOSZ,O,O,O,O,X,O,X,X,X,X
ILJTOZS,X,O,O,X,O,X,X,X,X,X
ILJSTZO,O,O,O,O,X,O,X,O,X,X
ILJSTOZ,O,O,O,O,X,O,X,O,X,X
ILJSZTO,O,O,O,O,X,O,X,O,X,X
ILJSZOT,O,O,X,O,X,O,X,X,X,X
ILJSOTZ,O,O,O,O,X,O,X,O,X,X
ILJSOZT,O,O,X,O,X,O,X,X,X,X
ILJZTSO,O,O,O,O,O,O,X,X,X,X
ILJZTOS,O,O,O,O,O,X,X,X,X,X
ILJZSTO,O,O,O,O,X,O,X,O,X,X
ILJZSOT,O,O,X,O,X,O,X,X,X,X
ILJZOTS,X,O,X,O,O,X,X,X,X,X
ILJZOST,X,O,X,O,X,X,X,X,X,X
ILJOTSZ,X,O,O,O,X,O,X,X,X,X
ILJOTZS,X,O,O,X,X,O,X,X,X,X
ILJOSTZ,X,O,O,O,X,O,X,O,X,X
ILJOSZT,X,O,X,O,X,O,X,X,X,X
ILJOZTS,X,O,X,O,X,O,X,X,X,X
ILJOZST,X,O,X,O,X,O,X,X,X,X
ILSTJZO,O,O,O,O,X,O,O,O,X,X
ILSTJOZ,O,O,O,O,X,O,O,O,X,X
ILSTZJO,O,O,O,O,X,O,O,O,X,X
ILSTZOJ,O,O,O,O,X,O,X,O,X,X
ILSTOJZ,O,O,O,O,X,O,O,O,X,X
ILSTOZJ,O,X,O,X,X,O,X,O,X,X
ILSJTZO,O,O,O,O,X,O,X,O,X,X
ILSJTOZ,O,O,O,O,X,O,X,O,X,X
ILSJZTO,O,O,O,O,X,O,X,O,X,X
ILSJZOT,O,O,X,O,X,O,X,X,X,X
ILSJOTZ,O,O,O,O,X,O,X,O,X,X
ILSJOZT,O,O,X,O,X,O,X,X,X,X
ILSZTJO,O,O,O,O,X,O,X,X,X,X
ILSZTOJ,O,O,O,O,X,O,X,X,X,X
ILSZJTO,O,O,O,O,X,O,X,X,X,X
ILSZJOT,O,O,X,O,X,O,X,X,X,X
ILSZOTJ,O,O,X,O,X,O,X,X,X,X
ILSZOJT,O,O,X,O,X,O,X,X,X,X
ILSOTJZ,O,O,O,O,X,O,O,X,X,X
ILSOTZJ,O,X,O,X,X,O,O,X,X,X
ILSOJTZ,O,O,O,O,X,O,O,X,X,X
ILSOJZT,O,O,X,O,X,O,O,X,X,X
ILSOZTJ,O,O,X,X,X,O,X,X,X,X
ILSOZJT,O,O,X,X,X,O,X,X,X,X
ILZTJSO,O,O,O,O,O,O,X,X,X,X
ILZTJOS,O,O,O,O,O,X,X,X,X,X
ILZTSJO,O,O,O,O,O,O,X,X,X,X
ILZTSOJ,O,O,O,O,O,O,X,X,X,X
ILZTOJS,O,O,O,O,O,X,X,X,X,X
ILZTOSJ,O,O,O,O,O,X,X,X,X,X
ILZJTSO,O,O,O,O,O,O,X,X,X,X
ILZJTOS,O,O,O,O,O,X,X,X,X,X
ILZJSTO,O,O,O,O,X,O,X,X,X,X
ILZJSOT,O,O,X,O,X,O,X,X,X,X
ILZJOTS,X,O,X,O,O,X,X,X,X,X
ILZJOST,X,O,X,O,X,X,X,X,X,X
ILZSTJO,O,O,O,O,X,O,X,X,X,X
ILZSTOJ,O,O,O,O,X,O,X,X,X,X
ILZSJTO,O,O,O,O,X,O,X,X,X,X
ILZSJOT,O,O,X,O,X,O,X,X,X,X
ILZSOTJ,O,O,X,O,X,O,X,X,X,X
ILZSOJT,O,O,X,O,X,O,X,X,X,X
ILZOTJS,X,O,X,O,O,X,X,X,X,X
ILZOTSJ,X,O,X,O,O,X,X,X,X,X
ILZOJTS,X,O,X,O,O,X,X,X,X,X
ILZOJST,X,O,X,O,X,X,X,X,X,X
ILZOSTJ,X,O,X,O,X,X,X,X,X,X
ILZOSJT,X,O,X,O,X,X,X,X,X,X
ILOTJSZ,X,O,O,O,X,O,O,X,X,X
ILOTJZS,X,O,O,X,X,O,O,X,X,X
ILOTSJZ,X,O,O,O,X,O,O,X,X,X
ILOTSZJ,X,O,O,X,X,O,O,X,X,X
