sequence,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JeF8IvhFxdBTgB?UiBaoBOrBXsB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JeU8IvhFFdBXeB?TgBxmBysB2wB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?2nBFmBisBTrB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8Je37IvhFUdBFeB?mlBRnBisBTrB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?mhBFmBznBywB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxdBlhB?aoBXhBTnB2wB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?FmBesBznBirB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFTcBxdB?eoBarBFnBXsB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxdB3iB?FmBysBmrBTrB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFTcBxdB?FmBmnB3nBywB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFTcBFeB?foBRmBKnB2wB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?anBFmBznB2wB
TIOSJLZ,O,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,O,X,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,O,O,X,X,X,X,X,X,X,X,X,X
TIOSZJL,O,O,X,X,X,X,X,X,X,X,X,X
TIOZLJS,X,X,X,X,X,O,X,X,X,X,X,X
TIOZLSJ,O,X,X,X,X,O,X,X,X,X,X,X
TIOZJLS,O,X,X,X,X,X,X,X,X,X,X,X
TIOZJSL,O,X,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,O,O,X,X,X,X,X,X,X,X,X,X
TIOZSJL,O,O,X,X,X,X,X,X,X,X,X,X
TLIJSZO,O,O,X,O,X,O,X,X,X,X,X,X
TLIJSOZ,O,X,X,O,X,X,X,X,X,X,X,X
TLIJZSO,O,O,X,O,X,O,X,X,X,X,X,X
TLIJZOS,O,X,X,O,X,O,X,X,X,X,X,X
TLIJOSZ,O,X,X,O,X,X,X,X,X,X,X,X
TLIJOZS,O,X,X,O,X,O,X,X,X,X,X,X
TLISJZO,O,O,X,O,X,X,X,X,X,X,X,X
TLISJOZ,O,X,X,O,X,X,X,X,X,X,X,X
TLISZJO,O,O,X,O,X,O,X,X,O,X,X,X
TLISZOJ,O,O,X,X,X,O,X,X,O,X,X,X
TLISOJZ,O,X,X,X,X,X,X,X,X,X,X,X
TLISOZJ,O,O,X,X,X,X,X,X,X,X,X,X
TLIZJSO,X,O,X,O,X,O,X,X,X,X,X,X
TLIZJOS,X,X,X,O,X,O,X,X,X,X,X,X
TLIZSJO,X,O,X,O,X,O,X,X,O,X,X,X
TLIZSOJ,X,O,X,X,X,O,X,X,O,X,X,X
TLIZOJS,X,X,X,O,X,O,X,X,X,X,X,X
TLIZOSJ,X,O,X,X,X,O,X,X,X,X,X,X
TLIOJSZ,O,X,X,O,X,X,X,X,X,X,X,X
TLIOJZS,O,X,X,O,X,X,X,X,X,X,X,X
TLIOSJZ,O,X,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,O,O,X,X,X,X,X,X,X,X,X,X
TLIOZJS,X,X,X,O,X,X,X,X,X,X,X,X
TLIOZSJ,O,O,X,X,X,O,X,X,X,X,X,X
