sequence,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBFiBTjB6?rBcsBXtB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulB3hBCjB8?rBToB1xB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBFiBXjB6?rBctBTsB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulB3hBlnBc?tBzrBCtB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBTjBlmBc?sBXtBCsB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBfoB6oBl?mB0sBzrB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBlmBcsBT?oBCsBXtB
TJZISLO,O,O,O,X,O,O,X
TJZISOL,O,O,O,X,O,O,O
TJZIOLS,X,O,O,O,X,X,O
TJZIOSL,O,O,O,O,O,O,O
TJZLISO,O,O,O,X,O,O,X
TJZLIOS,X,O,O,X,X,X,O
TJZLSIO,O,O,O,X,O,O,X
TJZLSOI,O,O,O,X,O,O,X
TJZLOIS,X,O,O,X,X,X,O
TJZLOSI,X,O,O,X,X,X,X
TJZSILO,O,O,O,X,O,O,X
TJZSIOL,O,O,O,X,O,O,O
TJZSLIO,O,O,O,X,O,O,X
TJZSLOI,O,O,O,X,O,O,X
TJZSOIL,O,O,O,X,O,O,O
TJZSOLI,O,O,O,X,O,O,X
TJZOILS,X,O,O,O,X,X,O
TJZOISL,O,O,O,O,O,O,O
TJZOLIS,X,O,O,O,X,X,O
TJZOLSI,X,O,O,O,X,X,X
TJZOSIL,O,O,O,O,O,O,O
TJZOSLI,O,O,O,O,O,O,X
TJOILSZ,X,O,X,X,X,X,X
TJOILZS,X,O,O,X,X,X,X
TJOISLZ,X,O,X,X,X,X,X
TJOISZL,X,O,O,O,X,X,X
TJOIZLS,X,O,O,O,X,X,O
TJOIZSL,X,O,O,O,O,O,O
TJOLISZ,X,O,X,X,X,X,X
TJOLIZS,X,O,O,X,X,X,X
TJOLSIZ,X,O,X,X,X,X,X
TJOLSZI,X,O,X,X,X,X,X
TJOLZIS,X,O,O,X,X,X,X
TJOLZSI,X,O,O,X,X,X,X
TJOSILZ,X,O,X,X,X,X,X
TJOSIZL,X,O,O,O,X,X,X
TJOSLIZ,X,O,X,X,X,X,X
TJOSLZI,X,O,X,X,X,X,X
TJOSZIL,X,O,O,O,X,X,X
TJOSZLI,X,O,O,O,X,X,X
TJOZILS,X,O,O,O,X,X,O
TJOZISL,X,O,O,O,O,O,O
TJOZLIS,X,O,O,O,X,X,O
TJOZLSI,X,O,O,O,X,X,X
TJOZSIL,X,O,O,O,O,O,O
TJOZSLI,X,O,O,O,O,O,X
TSILJZO,O,O,X,X,X,X,X
TSILJOZ,O,X,X,X,X,X,X
TSILZJO,O,O,X,X,X,X,X
