sequence,v115@9gB8HeA8IeB8HeB8BeE8KedFJvhFzgBUiBaoB5oBWs?B3qB,v115@9gB8HeA8IeB8HeB8BeE8KedFJvhFChBTiBeoB5oB0m?B3qB,v115@9gB8HeA8IeB8HeB8BeE8KedFJvhFzgBqmBmiB5oB0n?B3qB,v115@9gB8HeA8IeB8HeB8BeE8KeXAJvhFdmBUiBaoB5oBWs?BTqB,v115@9gB8HeA8IeB8HeB8BeE8KedFJvhFRhBcnBTjBSrBGt?B3qB,v115@9gB8HeA8IeB8HeB8BeE8KeXAJvhFdmBqmBmiB5oB0n?BTqB,v115@9gB8HeA8IeB8HeB8BeE8KedFJvhFqmBmiB5oBzlB0n?B3qB
TOILSJZ,X,X,O,O,X,O,X
TOILSZJ,X,X,O,O,X,O,O
TOILZJS,X,X,O,O,X,O,O
TOILZSJ,X,X,O,O,X,O,O
TOIJLSZ,O,X,X,O,X,O,X
TOIJLZS,O,O,X,O,X,O,O
TOIJSLZ,O,X,X,O,X,O,X
TOIJSZL,O,O,X,O,X,X,X
TOIJZLS,O,O,X,O,X,X,O
TOIJZSL,O,O,X,O,X,X,O
TOISLJZ,X,X,X,O,X,O,X
TOISLZJ,X,X,X,O,X,O,O
TOISJLZ,X,X,X,O,X,O,X
TOISJZL,X,X,X,O,X,X,X
TOISZLJ,X,X,X,O,X,O,O
TOISZJL,X,X,X,O,X,X,O
TOIZLJS,X,O,O,O,X,O,O
TOIZLSJ,X,X,O,O,X,O,O
TOIZJLS,X,O,O,O,X,O,O
TOIZJSL,X,O,X,O,X,X,O
TOIZSLJ,X,X,X,O,X,O,O
TOIZSJL,X,X,X,O,X,X,O
TOLIJSZ,O,X,X,O,X,O,X
TOLIJZS,O,X,X,O,X,O,O
TOLISJZ,X,X,O,O,X,O,X
TOLISZJ,X,X,O,O,X,O,O
TOLIZJS,X,X,O,O,O,O,O
TOLIZSJ,X,X,O,O,X,O,O
TOLJISZ,O,X,X,O,X,O,X
TOLJIZS,O,X,X,O,O,O,O
TOLJSIZ,O,X,X,O,X,O,X
TOLJSZI,O,X,X,O,O,O,X
TOLJZIS,O,X,X,O,O,O,O
TOLJZSI,O,X,X,O,O,O,O
TOLSIJZ,X,X,O,O,X,O,X
TOLSIZJ,X,X,O,O,X,O,O
TOLSJIZ,X,X,O,O,X,O,X
TOLSJZI,X,X,O,O,X,O,X
TOLSZIJ,X,X,O,O,X,O,O
TOLSZJI,X,X,O,O,X,O,O
TOLZIJS,X,X,O,O,O,O,O
TOLZISJ,X,X,O,O,X,O,O
TOLZJIS,X,X,O,O,O,O,O
TOLZJSI,X,X,O,O,O,O,O
TOLZSIJ,X,X,O,O,X,O,O
TOLZSJI,X,X,O,O,X,O,O
TOJILSZ,O,X,X,O,X,O,X
TOJILZS,O,O,X,O,O,O,O
TOJISLZ,O,X,X,O,X,O,X
TOJISZL,O,O,X,O,X,X,X
TOJIZLS,O,O,X,O,O,X,O
TOJIZSL,O,O,X,O,O,X,O
TOJLISZ,O,X,X,O,X,O,X
TOJLIZS,O,O,X,O,O,O,O
TOJLSIZ,O,X,X,O,X,O,X
TOJLSZI,O,X,X,O,O,O,X
TOJLZIS,O,O,X,O,O,O,O
TOJLZSI,O,O,X,O,O,O,O
TOJSILZ,O,X,X,O,X,O,X
TOJSIZL,O,O,X,O,X,X,X
TOJSLIZ,O,X,X,O,X,O,X
TOJSLZI,O,X,X,O,O,O,X
TOJSZIL,O,O,X,O,O,X,X
TOJSZLI,O,O,X,O,O,X,X
TOJZILS,O,O,X,O,O,X,O
TOJZISL,O,O,X,O,O,X,O
TOJZLIS,O,O,X,O,O,X,O
TOJZLSI,O,O,X,O,O,X,O
TOJZSIL,O,O,X,O,O,X,O
TOJZSLI,O,O,X,O,O,X,O
TOSILJZ,X,X,X,O,X,O,X
TOSILZJ,X,X,X,O,X,O,O
TOSIJLZ,X,X,X,O,X,O,X
TOSIJZL,X,X,X,O,X,X,X
TOSIZLJ,X,X,X,O,X,O,O
TOSIZJL,X,X,X,O,X,X,O
TOSLIJZ,X,X,X,O,X,O,X
TOSLIZJ,X,X,X,O,X,O,O
TOSLJIZ,X,X,X,O,X,O,X
TOSLJZI,X,X,X,O,X,O,X
TOSLZIJ,X,X,X,O,X,O,O
TOSLZJI,X,X,X,O,X,O,O
TOSJILZ,X,X,X,O,X,O,X
TOSJIZL,X,X,X,O,X,X,X
TOSJLIZ,X,X,X,O,X,O,X
TOSJLZI,X,X,X,O,X,O,X
TOSJZIL,X,X,X,O,X,X,X
TOSJZLI,X,X,X,O,X,X,X
TOSZILJ,X,X,X,O,X,O,O
TOSZIJL,X,X,X,O,X,X,O
TOSZLIJ,X,X,X,O,X,O,O
TOSZLJI,X,X,X,O,X,O,O
TOSZJIL,X,X,X,O,X,X,O
TOSZJLI,X,X,X,O,X,X,O
TOZILJS,X,O,O,O,X,O,O
TOZILSJ,X,X,O,O,X,O,O
TOZIJLS,X,O,O,O,O,O,O
TOZIJSL,X,O,X,O,O,X,O
TOZISLJ,X,X,X,O,X,O,O
TOZISJL,X,X,X,O,X,X,O
TOZLIJS,X,O,O,O,O,O,O
TOZLISJ,X,X,O,O,X,O,O
TOZLJIS,X,O,O,O,O,O,O
TOZLJSI,X,O,O,O,O,O,O
TOZLSIJ,X,X,O,O,X,O,O
TOZLSJI,X,O,O,O,X,O,O
TOZJILS,X,O,O,O,O,O,O
TOZJISL,X,O,X,O,O,X,O
TOZJLIS,X,O,O,O,O,O,O
TOZJLSI,X,O,O,O,O,O,O
TOZJSIL,X,O,X,O,O,X,O
TOZJSLI,X,O,X,O,O,X,O
TOZSILJ,X,X,X,O,X,O,O
TOZSIJL,X,X,X,O,X,X,O
TOZSLIJ,X,X,X,O,X,O,O
TOZSLJI,X,O,X,O,X,O,O
TOZSJIL,X,O,X,O,X,X,O
TOZSJLI,X,O,X,O,X,X,O
ITLJSZO,O,X,O,O,X,O,X
ITLJSOZ,O,X,O,O,X,X,X
ITLJZSO,O,O,O,O,O,O,O
ITLJZOS,O,O,O,O,O,O,O
ITLJOSZ,O,X,X,O,X,X,X
ITLJOZS,O,O,X,O,O,X,O
ITLSJZO,O,X,O,O,X,O,X
ITLSJOZ,O,X,O,O,X,X,X
ITLSZJO,O,X,O,O,O,O,O
ITLSZOJ,O,X,O,X,X,O,O
ITLSOJZ,O,X,O,O,X,X,X
ITLSOZJ,O,X,O,X,X,O,O
ITLZJSO,O,O,O,O,O,O,O
ITLZJOS,O,O,O,O,O,O,O
ITLZSJO,X,O,O,O,O,O,O
ITLZSOJ,X,X,O,X,X,O,O
ITLZOJS,X,O,O,X,O,O,O
ITLZOSJ,X,X,O,X,X,O,O
ITLOJSZ,O,X,X,O,X,O,X
ITLOJZS,O,X,X,O,X,O,O
ITLOSJZ,X,X,O,O,X,O,X
ITLOSZJ,X,X,O,O,X,O,O
ITLOZJS,X,X,O,O,O,O,O
ITLOZSJ,X,X,O,O,X,O,O
ITJLSZO,O,X,O,O,X,O,X
ITJLSOZ,O,X,O,O,X,X,X
ITJLZSO,O,O,O,O,O,O,O
ITJLZOS,O,O,O,O,O,O,O
ITJLOSZ,O,X,X,O,X,X,X
ITJLOZS,O,O,X,O,O,X,O
ITJSLZO,O,O,X,O,X,O,X
ITJSLOZ,O,O,X,O,X,X,X
ITJSZLO,O,O,X,O,X,X,X
ITJSZOL,O,O,X,O,X,X,X
ITJSOLZ,O,O,X,O,X,X,X
ITJSOZL,O,O,X,O,X,X,X
ITJZLSO,O,O,O,O,O,X,O
ITJZLOS,O,O,O,O,O,X,O
ITJZSLO,O,O,O,O,X,X,O
ITJZSOL,O,O,X,O,O,X,O
ITJZOLS,O,O,O,O,O,X,O
ITJZOSL,O,O,X,O,O,X,O
ITJOLSZ,O,X,X,O,X,X,X
ITJOLZS,O,O,X,O,O,X,O
ITJOSLZ,O,O,X,O,X,X,X
ITJOSZL,O,O,X,O,X,X,X
ITJOZLS,O,O,X,O,O,X,O
ITJOZSL,O,O,X,O,O,X,O
ITSLJZO,O,O,O,O,X,O,X
ITSLJOZ,O,O,O,O,X,X,X
ITSLZJO,O,O,O,O,X,O,O
ITSLZOJ,O,O,O,X,X,O,O
ITSLOJZ,O,O,O,O,X,X,X
ITSLOZJ,O,O,O,X,X,O,O
ITSJLZO,O,O,O,O,X,O,X
ITSJLOZ,O,O,O,O,X,X,X
ITSJZLO,O,O,O,O,X,X,X
ITSJZOL,O,O,O,O,X,X,X
ITSJOLZ,O,O,O,O,X,X,X
ITSJOZL,O,O,X,O,X,X,X
ITSZLJO,O,O,O,O,X,O,O
ITSZLOJ,O,O,O,X,X,O,O
ITSZJLO,O,O,O,O,X,X,O
ITSZJOL,O,O,O,O,X,X,O
ITSZOLJ,O,O,O,X,X,X,O
ITSZOJL,O,O,O,X,X,X,O
ITSOLJZ,O,O,O,O,X,X,X
ITSOLZJ,O,O,O,X,X,O,O
ITSOJLZ,O,O,O,O,X,X,X
ITSOJZL,O,O,X,O,X,X,X
ITSOZLJ,O,O,O,X,X,X,O
ITSOZJL,O,O,O,X,X,X,O
ITZLJSO,O,O,O,O,O,O,O
ITZLJOS,O,O,O,O,O,O,O
ITZLSJO,X,O,O,O,O,O,O
ITZLSOJ,X,X,O,X,X,O,O
ITZLOJS,X,O,O,X,O,O,O
ITZLOSJ,X,X,O,X,X,O,O
ITZJLSO,O,O,O,O,O,O,O
ITZJLOS,O,O,O,O,O,O,O
ITZJSLO,O,O,O,O,X,X,O
ITZJSOL,O,O,O,O,O,X,O
ITZJOLS,O,O,O,O,O,O,O
ITZJOSL,O,O,X,O,O,X,O
ITZSLJO,X,O,O,O,X,O,O
ITZSLOJ,X,O,O,X,X,O,O
ITZSJLO,X,O,O,O,X,X,O
ITZSJOL,X,O,O,O,O,X,O
ITZSOLJ,X,O,O,X,X,X,O
ITZSOJL,X,O,O,X,X,X,O
ITZOLJS,X,O,O,X,X,O,O
ITZOLSJ,X,X,O,X,X,O,O
ITZOJLS,X,O,O,X,O,O,O
ITZOJSL,X,O,X,X,O,X,O
ITZOSLJ,X,X,X,X,X,X,O
ITZOSJL,X,X,X,X,X,X,O
ITOLJSZ,O,X,X,O,X,O,X
ITOLJZS,O,X,X,O,X,O,O
ITOLSJZ,X,X,O,O,X,O,X
ITOLSZJ,X,X,O,O,X,O,O
ITOLZJS,X,X,O,O,X,O,O
ITOLZSJ,X,X,O,O,X,O,O
ITOJLSZ,O,X,X,O,X,O,X
ITOJLZS,O,O,X,O,X,O,O
ITOJSLZ,O,X,X,O,X,O,X
ITOJSZL,O,O,X,O,X,X,X
ITOJZLS,O,O,X,O,X,X,O
ITOJZSL,O,O,X,O,X,X,O
ITOSLJZ,X,X,X,O,X,O,X
ITOSLZJ,X,X,X,O,X,O,O
ITOSJLZ,X,X,X,O,X,O,X
ITOSJZL,X,X,X,O,X,X,X
ITOSZLJ,X,X,X,O,X,O,O
ITOSZJL,X,X,X,O,X,X,O
ITOZLJS,X,O,O,O,X,O,O
ITOZLSJ,X,X,O,O,X,O,O
ITOZJLS,X,O,O,O,X,O,O
ITOZJSL,X,O,X,O,X,X,O
ITOZSLJ,X,X,X,O,X,O,O
ITOZSJL,X,X,X,O,X,X,O
ILTJSZO,O,X,O,O,X,O,X
ILTJSOZ,O,X,O,O,X,X,X
ILTJZSO,O,O,O,O,O,O,O
ILTJZOS,O,O,O,O,O,O,O
ILTJOSZ,O,X,X,O,X,X,X
ILTJOZS,O,O,X,O,O,X,O
ILTSJZO,O,X,O,O,X,O,X
ILTSJOZ,O,X,O,O,X,X,X
ILTSZJO,O,X,O,O,O,O,O
ILTSZOJ,O,X,O,X,X,O,O
ILTSOJZ,O,X,O,O,X,X,X
ILTSOZJ,O,X,O,X,X,O,O
ILTZJSO,O,O,O,O,O,O,O
ILTZJOS,O,O,O,O,O,O,O
ILTZSJO,X,O,O,O,O,O,O
ILTZSOJ,X,X,O,X,X,O,O
ILTZOJS,X,O,O,X,O,O,O
ILTZOSJ,X,X,O,X,X,O,O
ILTOJSZ,O,X,X,O,X,O,X
ILTOJZS,O,X,X,O,X,O,O
ILTOSJZ,X,X,O,O,X,O,X
ILTOSZJ,X,X,O,O,X,O,O
ILTOZJS,X,X,O,O,O,O,O
ILTOZSJ,X,X,O,O,X,O,O
ILJTSZO,O,X,O,O,X,O,X
ILJTSOZ,O,X,O,O,X,X,X
ILJTZSO,O,O,O,O,O,O,O
ILJTZOS,O,O,O,O,O,O,O
ILJTOSZ,O,X,X,O,X,X,X
ILJTOZS,O,O,X,O,O,X,O
ILJSTZO,O,O,O,O,X,X,X
ILJSTOZ,O,O,O,O,X,X,X
ILJSZTO,O,O,O,O,X,X,X
ILJSZOT,O,O,O,O,X,X,X
ILJSOTZ,O,O,X,O,X,X,X
ILJSOZT,O,X,X,O,X,X,X
ILJZTSO,O,O,O,O,O,O,O
ILJZTOS,O,O,O,O,O,O,O
ILJZSTO,O,O,O,O,X,O,O
ILJZSOT,O,O,O,O,X,O,X
ILJZOTS,O,O,O,O,O,O,O
ILJZOST,O,O,O,O,X,O,X
ILJOTSZ,O,X,X,O,X,O,X
ILJOTZS,O,O,X,O,O,O,X
ILJOSTZ,O,O,X,O,X,X,X
ILJOSZT,O,X,X,O,X,X,X
ILJOZTS,O,O,X,O,O,O,X
ILJOZST,O,O,X,O,X,O,X
ILSTJZO,O,O,O,O,X,O,X
ILSTJOZ,O,O,O,O,X,X,X
ILSTZJO,O,O,O,O,X,O,O
ILSTZOJ,O,O,O,X,X,O,O
ILSTOJZ,O,O,O,O,X,X,X
ILSTOZJ,O,O,O,X,X,O,O
ILSJTZO,O,O,O,O,X,X,X
ILSJTOZ,O,O,O,O,X,X,X
ILSJZTO,O,O,O,O,X,X,X
ILSJZOT,O,O,O,O,X,X,X
ILSJOTZ,O,O,X,O,X,X,X
ILSJOZT,O,X,X,O,X,X,X
ILSZTJO,O,O,O,O,X,O,O
ILSZTOJ,O,O,O,X,X,O,O
ILSZJTO,O,O,O,X,X,O,O
ILSZJOT,O,O,O,X,X,O,X
ILSZOTJ,X,X,O,X,X,O,X
ILSZOJT,X,X,O,X,X,O,X
ILSOTJZ,O,X,O,O,X,O,X
ILSOTZJ,O,X,O,O,X,O,X
ILSOJTZ,O,X,X,O,X,X,X
ILSOJZT,O,X,X,O,X,X,X
ILSOZTJ,X,X,O,O,X,O,X
ILSOZJT,X,X,O,X,X,O,X
ILZTJSO,O,O,O,O,O,O,O
ILZTJOS,O,O,O,O,O,O,O
ILZTSJO,X,O,O,O,O,O,O
ILZTSOJ,X,X,O,X,X,O,O
ILZTOJS,X,O,O,X,O,O,O
ILZTOSJ,X,X,O,X,X,O,O
ILZJTSO,O,O,O,O,O,O,O
ILZJTOS,O,O,O,O,O,O,O
ILZJSTO,O,O,O,O,X,O,O
ILZJSOT,O,O,O,O,X,O,X
ILZJOTS,O,O,O,O,O,O,O
ILZJOST,O,O,O,O,X,O,X
ILZSTJO,O,O,O,O,X,O,O
ILZSTOJ,O,O,O,X,X,O,O
ILZSJTO,O,O,O,X,X,O,O
ILZSJOT,O,O,O,X,X,O,X
ILZSOTJ,X,X,O,X,X,O,X
ILZSOJT,X,X,O,X,X,O,X
ILZOTJS,X,X,O,O,X,O,O
ILZOTSJ,X,X,O,O,X,O,O
ILZOJTS,X,X,O,O,X,O,O
ILZOJST,X,X,O,O,X,O,X
ILZOSTJ,X,X,O,O,X,O,X
ILZOSJT,X,X,O,X,X,O,X
ILOTJSZ,O,X,X,O,X,O,X
ILOTJZS,O,X,X,O,X,O,O
ILOTSJZ,X,X,O,O,X,O,X
ILOTSZJ,X,X,O,O,X,O,O
ILOTZJS,X,X,O,O,X,O,O
ILOTZSJ,X,X,O,O,X,O,O
ILOJTSZ,O,X,X,O,X,O,X
ILOJTZS,O,X,X,O,X,O,X
ILOJSTZ,O,X,X,O,X,X,X
ILOJSZT,O,X,X,O,X,X,X
ILOJZTS,O,X,X,O,X,O,X
ILOJZST,O,X,X,O,X,O,X
ILOSTJZ,O,X,O,O,X,O,X
ILOSTZJ,O,X,O,O,X,O,X
ILOSJTZ,O,X,X,O,X,X,X
ILOSJZT,O,X,X,O,X,X,X
ILOSZTJ,X,X,O,O,X,O,X
ILOSZJT,X,X,O,X,X,O,X
ILOZTJS,X,X,O,O,X,O,O
ILOZTSJ,X,X,O,O,X,O,O
ILOZJTS,X,X,O,O,X,O,O
ILOZJST,X,X,O,O,X,O,X
ILOZSTJ,X,X,O,O,X,O,X
ILOZSJT,X,X,O,X,X,O,X
IJTLSZO,O,X,O,O,X,O,X
IJTLSOZ,O,X,O,O,X,X,X
IJTLZSO,O,O,O,O,O,O,O
IJTLZOS,O,O,O,O,O,O,O
IJTLOSZ,O,X,X,O,X,X,X
IJTLOZS,O,O,X,O,O,X,O
IJTSLZO,O,O,X,O,X,O,X
IJTSLOZ,O,O,X,O,X,X,X
IJTSZLO,O,O,X,O,X,X,X
IJTSZOL,O,O,X,O,X,X,X
IJTSOLZ,O,O,X,O,X,X,X
IJTSOZL,O,O,X,O,X,X,X
IJTZLSO,O,O,O,O,O,X,O
IJTZLOS,O,O,O,O,O,X,O
IJTZSLO,O,O,O,O,X,X,O
IJTZSOL,O,O,X,O,O,X,O
IJTZOLS,O,O,O,O,O,X,O
IJTZOSL,O,O,X,O,O,X,O
IJTOLSZ,O,X,X,O,X,X,X
IJTOLZS,O,O,X,O,O,X,O
IJTOSLZ,O,O,X,O,X,X,X
IJTOSZL,O,O,X,O,X,X,X
IJTOZLS,O,O,X,O,O,X,O
IJTOZSL,O,O,X,O,O,X,O
IJLTSZO,O,X,O,O,X,O,X
IJLTSOZ,O,X,O,O,X,X,X
IJLTZSO,O,O,O,O,O,O,O
IJLTZOS,O,O,O,O,O,O,O
IJLTOSZ,O,X,X,O,X,X,X
IJLTOZS,O,O,X,O,O,X,O
IJLSTZO,O,O,O,O,X,X,X
IJLSTOZ,O,O,O,O,X,X,X
IJLSZTO,O,O,O,O,X,X,X
IJLSZOT,O,O,O,O,X,X,X
IJLSOTZ,O,O,X,O,X,X,X
IJLSOZT,O,X,X,O,X,X,X
IJLZTSO,O,O,O,O,O,O,O
IJLZTOS,O,O,O,O,O,O,O
IJLZSTO,O,O,O,O,X,O,O
IJLZSOT,O,O,O,O,X,O,X
IJLZOTS,O,O,O,O,O,O,O
IJLZOST,O,O,O,O,X,O,X
IJLOTSZ,O,X,X,O,X,O,X
IJLOTZS,O,O,X,O,O,O,X
IJLOSTZ,O,O,X,O,X,X,X
IJLOSZT,O,X,X,O,X,X,X
IJLOZTS,O,O,X,O,O,O,X
IJLOZST,O,O,X,O,X,O,X
IJSTLZO,O,O,O,O,X,O,X
IJSTLOZ,O,O,O,O,X,X,X
IJSTZLO,O,O,O,O,X,X,X
IJSTZOL,O,O,O,O,X,X,X
IJSTOLZ,O,O,O,O,X,X,X
IJSTOZL,O,O,X,O,X,X,X
IJSLTZO,O,O,O,O,X,X,X
IJSLTOZ,O,O,O,O,X,X,X
IJSLZTO,O,O,O,O,X,X,X
IJSLZOT,O,O,O,O,X,X,X
IJSLOTZ,O,O,X,O,X,X,X
IJSLOZT,O,X,X,O,X,X,X
IJSZTLO,O,O,O,O,X,X,X
IJSZTOL,O,O,O,O,X,X,X
IJSZLTO,O,O,O,O,X,X,X
IJSZLOT,O,O,O,O,X,X,X
IJSZOTL,O,O,O,O,X,X,X
IJSZOLT,O,O,O,O,X,X,X
IJSOTLZ,O,O,X,O,X,X,X
IJSOTZL,O,O,X,O,X,X,X
IJSOLTZ,O,O,X,O,X,X,X
IJSOLZT,O,X,X,O,X,X,X
IJSOZTL,O,O,X,O,X,X,X
IJSOZLT,O,O,X,O,X,X,X
IJZTLSO,O,O,O,O,O,O,O
IJZTLOS,O,O,O,O,O,O,O
IJZTSLO,O,O,O,O,X,X,O
IJZTSOL,O,O,O,O,O,X,O
IJZTOLS,O,O,O,O,O,O,O
IJZTOSL,O,O,X,O,O,X,O
IJZLTSO,O,O,O,O,O,O,O
IJZLTOS,O,O,O,O,O,O,O
IJZLSTO,O,O,O,O,X,O,O
IJZLSOT,O,O,O,O,X,O,X
IJZLOTS,O,O,O,O,O,O,O
IJZLOST,O,O,O,O,X,O,X
IJZSTLO,O,O,O,O,X,X,O
IJZSTOL,O,O,O,O,X,X,O
IJZSLTO,O,O,O,O,X,O,O
IJZSLOT,O,O,O,O,X,O,X
IJZSOTL,O,O,O,O,X,X,X
IJZSOLT,O,O,O,O,X,O,X
IJZOTLS,O,O,O,O,O,O,O
IJZOTSL,O,O,X,O,O,X,O
IJZOLTS,O,O,O,O,O,O,O
IJZOLST,O,O,O,O,X,O,X
IJZOSTL,O,O,O,O,X,X,X
IJZOSLT,O,O,O,O,X,O,X
IJOTLSZ,O,X,X,O,X,O,X
IJOTLZS,O,O,X,O,O,O,X
IJOTSLZ,O,O,X,O,X,O,X
IJOTSZL,O,O,X,O,X,X,X
IJOTZLS,O,O,X,O,O,X,X
IJOTZSL,O,O,X,O,O,X,X
IJOLTSZ,O,X,X,O,X,O,X
IJOLTZS,O,O,X,O,O,O,X
IJOLSTZ,O,O,X,O,X,X,X
IJOLSZT,O,X,X,O,X,X,X
IJOLZTS,O,O,X,O,O,O,X
IJOLZST,O,O,X,O,X,O,X
IJOSTLZ,O,O,X,O,X,O,X
IJOSTZL,O,O,X,O,X,X,X
IJOSLTZ,O,O,X,O,X,X,X
IJOSLZT,O,X,X,O,X,X,X
IJOSZTL,O,O,X,O,X,X,X
IJOSZLT,O,O,X,O,X,X,X
IJOZTLS,O,O,X,O,O,O,X
IJOZTSL,O,O,X,O,O,X,X
IJOZLTS,O,O,X,O,O,O,X
IJOZLST,O,O,X,O,X,O,X
IJOZSTL,O,O,X,O,X,X,X
IJOZSLT,O,O,X,O,X,O,X
ISTLJZO,O,O,O,O,X,O,X
ISTLJOZ,O,O,O,O,X,X,X
ISTLZJO,O,O,O,O,X,O,O
ISTLZOJ,O,O,O,X,X,O,O
ISTLOJZ,O,O,O,O,X,X,X
ISTLOZJ,O,O,O,X,X,O,O
ISTJLZO,O,O,O,O,X,O,X
ISTJLOZ,O,O,O,O,X,X,X
ISTJZLO,O,O,O,O,X,X,X
ISTJZOL,O,O,O,O,X,X,X
ISTJOLZ,O,O,O,O,X,X,X
ISTJOZL,O,O,X,O,X,X,X
ISTZLJO,O,O,O,O,X,O,O
ISTZLOJ,O,O,O,X,X,O,O
ISTZJLO,O,O,O,O,X,X,O
ISTZJOL,O,O,O,O,X,X,O
ISTZOLJ,O,O,O,X,X,X,O
ISTZOJL,O,O,O,X,X,X,O
ISTOLJZ,O,O,O,O,X,X,X
ISTOLZJ,O,O,O,X,X,O,O
ISTOJLZ,O,O,O,O,X,X,X
ISTOJZL,O,O,X,O,X,X,X
ISTOZLJ,O,O,O,X,X,X,O
ISTOZJL,O,O,O,X,X,X,O
ISLTJZO,O,O,O,O,X,O,X
ISLTJOZ,O,O,O,O,X,X,X
ISLTZJO,O,O,O,O,X,O,O
ISLTZOJ,O,O,O,X,X,O,O
ISLTOJZ,O,O,O,O,X,X,X
ISLTOZJ,O,O,O,X,X,O,O
ISLJTZO,O,O,O,O,X,X,X
ISLJTOZ,O,O,O,O,X,X,X
ISLJZTO,O,O,O,O,X,X,X
ISLJZOT,O,O,O,O,X,X,X
ISLJOTZ,O,O,X,O,X,X,X
ISLJOZT,O,X,X,O,X,X,X
ISLZTJO,O,O,O,O,X,O,O
ISLZTOJ,O,O,O,X,X,O,O
ISLZJTO,O,O,O,X,X,O,O
ISLZJOT,O,O,O,X,X,O,X
ISLZOTJ,X,X,O,X,X,O,X
ISLZOJT,X,X,O,X,X,O,X
ISLOTJZ,O,X,O,O,X,O,X
ISLOTZJ,O,X,O,O,X,O,X
ISLOJTZ,O,X,X,O,X,X,X
ISLOJZT,O,X,X,O,X,X,X
ISLOZTJ,X,X,O,O,X,O,X
ISLOZJT,X,X,O,X,X,O,X
ISJTLZO,O,O,O,O,X,O,X
ISJTLOZ,O,O,O,O,X,X,X
ISJTZLO,O,O,O,O,X,X,X
ISJTZOL,O,O,O,O,X,X,X
ISJTOLZ,O,O,O,O,X,X,X
ISJTOZL,O,O,X,O,X,X,X
ISJLTZO,O,O,O,O,X,X,X
ISJLTOZ,O,O,O,O,X,X,X
ISJLZTO,O,O,O,O,X,X,X
ISJLZOT,O,O,O,O,X,X,X
ISJLOTZ,O,O,X,O,X,X,X
ISJLOZT,O,X,X,O,X,X,X
ISJZTLO,O,O,O,O,X,X,X
ISJZTOL,O,O,O,O,X,X,X
ISJZLTO,O,O,O,O,X,X,X
ISJZLOT,O,O,O,O,X,X,X
ISJZOTL,O,O,O,O,X,X,X
ISJZOLT,O,O,O,O,X,X,X
ISJOTLZ,O,O,X,O,X,X,X
ISJOTZL,O,O,X,O,X,X,X
ISJOLTZ,O,O,X,O,X,X,X
ISJOLZT,O,X,X,O,X,X,X
ISJOZTL,O,O,X,O,X,X,X
ISJOZLT,O,O,X,O,X,X,X
ISZTLJO,O,O,O,O,X,O,O
ISZTLOJ,O,O,O,X,X,O,O
ISZTJLO,O,O,O,O,X,X,O
ISZTJOL,O,O,O,O,X,X,O
ISZTOLJ,O,O,O,X,X,X,O
ISZTOJL,O,O,O,X,X,X,O
ISZLTJO,O,O,O,O,X,O,O
ISZLTOJ,O,O,O,X,X,O,O
ISZLJTO,O,O,O,X,X,O,O
ISZLJOT,O,O,O,X,X,O,X
ISZLOTJ,X,X,O,X,X,O,X
ISZLOJT,X,X,O,X,X,O,X
ISZJTLO,O,O,O,X,X,X,O
ISZJTOL,O,O,O,X,X,X,O
ISZJLTO,O,O,O,X,X,O,O
ISZJLOT,O,O,O,X,X,O,X
ISZJOTL,O,O,O,X,X,X,X
ISZJOLT,O,O,O,X,X,O,X
ISZOTLJ,X,O,O,X,X,X,X
ISZOTJL,X,O,O,X,X,X,X
ISZOLTJ,X,X,O,X,X,O,X
ISZOLJT,X,X,O,X,X,O,X
ISZOJTL,X,O,O,X,X,X,X
ISZOJLT,X,O,O,X,X,O,X
ISOTLJZ,O,O,O,O,X,O,X
ISOTLZJ,O,O,O,O,X,O,X
ISOTJLZ,O,O,O,O,X,O,X
ISOTJZL,O,O,X,O,X,X,X
ISOTZLJ,O,O,O,O,X,O,X
ISOTZJL,O,O,O,O,X,X,X
ISOLTJZ,O,X,O,O,X,O,X
ISOLTZJ,O,X,O,O,X,O,X
ISOLJTZ,O,X,X,O,X,X,X
ISOLJZT,O,X,X,O,X,X,X
ISOLZTJ,X,X,O,O,X,O,X
ISOLZJT,X,X,O,X,X,O,X
ISOJTLZ,O,O,X,O,X,O,X
ISOJTZL,O,O,X,O,X,X,X
ISOJLTZ,O,O,X,O,X,X,X
ISOJLZT,O,X,X,O,X,X,X
ISOJZTL,O,O,X,O,X,X,X
ISOJZLT,O,O,X,O,X,X,X
ISOZTLJ,X,O,O,O,X,O,X
ISOZTJL,X,O,O,O,X,X,X
ISOZLTJ,X,X,O,O,X,O,X
ISOZLJT,X,X,O,X,X,O,X
ISOZJTL,X,O,O,X,X,X,X
ISOZJLT,X,O,O,X,X,O,X
IZTLJSO,O,O,O,O,O,O,O
IZTLJOS,O,O,O,O,O,O,O
IZTLSJO,X,O,O,O,O,O,O
IZTLSOJ,X,X,O,X,X,O,O
IZTLOJS,X,O,O,X,O,O,O
IZTLOSJ,X,X,O,X,X,O,O
IZTJLSO,O,O,O,O,O,O,O
IZTJLOS,O,O,O,O,O,O,O
IZTJSLO,O,O,O,O,X,X,O
IZTJSOL,O,O,O,O,O,X,O
IZTJOLS,O,O,O,O,O,O,O
IZTJOSL,O,O,X,O,O,X,O
IZTSLJO,X,O,O,O,X,O,O
IZTSLOJ,X,O,O,X,X,O,O
