sequence,v115@DhB8BeA8EeC8AeD8AeD8AeC8BeE8JeT6IvhF6hBmdB?5jBXgBdmB0qB,v115@DhB8BeA8EeC8AeD8AeD8AeC8BeE8Jei6IvhFtgBmdB?5jBzfBcmBXrB,v115@DhB8BeA8EeC8AeD8AeD8AeC8BeE8JeT6IvhFegBtgB?xdBcmB6oBXrB,v115@DhB8BeA8EeC8AeD8AeD8AeC8BeE8Jem6IvhF9hBxdB?0fBfmB6oBzqB,v115@DhB8BeA8EeC8AeD8AeD8AeC8BeE8Je//IvhFUbB9hB?xdB6oBmlBzqB,v115@DhB8BeA8EeC8AeD8AeD8AeC8BeE8Jey/IvhF9hBmdB?5jBfmB0kBzqB
IOTSJLZ,O,O,X,X,X,O
IOTSJZL,O,O,X,X,X,X
IOTSZLJ,O,O,X,X,X,X
IOTSZJL,O,O,X,X,X,X
IOTZLJS,O,O,X,X,X,X
IOTZLSJ,O,O,X,X,X,X
IOTZJLS,O,O,X,X,X,X
IOTZJSL,X,O,X,X,X,X
IOTZSLJ,X,O,X,X,X,X
IOTZSJL,X,O,X,X,X,X
IOLTJSZ,O,O,O,X,X,O
IOLTJZS,O,O,O,X,X,X
IOLTSJZ,O,O,X,X,X,O
IOLTSZJ,O,O,X,X,X,X
IOLTZJS,O,O,O,X,X,X
IOLTZSJ,O,O,X,X,X,X
IOLJTSZ,O,O,O,X,X,O
IOLJTZS,O,O,O,X,X,X
IOLJSTZ,O,O,O,X,X,O
IOLJSZT,X,O,O,X,X,X
IOLJZTS,O,O,O,X,X,X
IOLJZST,X,O,O,X,X,X
IOLSTJZ,O,O,X,X,X,O
IOLSTZJ,O,O,X,X,X,X
IOLSJTZ,O,O,O,X,X,O
IOLSJZT,X,O,O,X,X,X
IOLSZTJ,X,O,X,X,X,X
IOLSZJT,X,O,O,X,X,X
IOLZTJS,O,O,O,X,X,X
IOLZTSJ,O,O,X,X,X,X
IOLZJTS,O,O,O,X,X,X
IOLZJST,X,O,O,X,X,X
IOLZSTJ,X,O,X,X,X,X
IOLZSJT,X,O,O,X,X,X
IOJTLSZ,O,O,O,X,X,O
IOJTLZS,O,O,O,X,X,X
IOJTSLZ,O,O,X,X,X,O
IOJTSZL,O,O,X,X,X,X
IOJTZLS,O,O,O,X,X,X
IOJTZSL,X,O,X,X,X,X
IOJLTSZ,O,O,O,X,X,O
IOJLTZS,O,O,O,X,X,X
IOJLSTZ,O,O,O,X,X,O
IOJLSZT,X,O,O,X,X,X
IOJLZTS,O,O,O,X,X,X
IOJLZST,X,O,O,X,X,X
IOJSTLZ,O,O,X,X,X,O
IOJSTZL,O,O,X,X,X,X
IOJSLTZ,O,O,X,X,X,O
IOJSLZT,X,O,X,X,X,X
IOJSZTL,O,O,X,X,X,X
IOJSZLT,X,O,X,X,X,X
IOJZTLS,O,O,O,X,X,X
IOJZTSL,X,O,X,X,X,X
IOJZLTS,O,O,O,X,X,X
IOJZLST,X,O,O,X,X,X
IOJZSTL,O,O,X,X,X,X
IOJZSLT,X,O,X,X,X,X
IOSTLJZ,O,O,X,X,X,O
IOSTLZJ,O,O,X,X,X,X
IOSTJLZ,O,O,X,X,X,O
IOSTJZL,O,O,X,X,X,X
IOSTZLJ,O,O,X,X,X,X
IOSTZJL,O,O,X,X,X,X
IOSLTJZ,O,O,X,X,X,O
IOSLTZJ,O,O,X,X,X,X
IOSLJTZ,O,O,X,X,X,O
IOSLJZT,X,O,X,X,X,X
IOSLZTJ,X,O,X,X,X,X
IOSLZJT,X,O,X,X,X,X
IOSJTLZ,O,O,X,X,X,O
IOSJTZL,O,O,X,X,X,X
IOSJLTZ,O,O,X,X,X,O
IOSJLZT,X,O,X,X,X,X
IOSJZTL,O,O,X,X,X,X
IOSJZLT,X,O,X,X,X,X
IOSZTLJ,O,O,X,X,X,X
IOSZTJL,O,O,X,X,X,X
IOSZLTJ,X,O,X,X,X,X
IOSZLJT,X,O,X,X,X,X
IOSZJTL,O,O,X,X,X,X
IOSZJLT,X,O,X,X,X,X
IOZTLJS,O,O,X,X,X,X
IOZTLSJ,O,O,X,X,X,X
IOZTJLS,O,O,X,X,X,X
IOZTJSL,X,O,X,X,X,X
IOZTSLJ,X,O,X,X,X,X
IOZTSJL,X,O,X,X,X,X
IOZLTJS,O,O,O,X,X,X
IOZLTSJ,O,O,X,X,X,X
IOZLJTS,O,O,O,X,X,X
IOZLJST,X,O,O,X,X,X
IOZLSTJ,X,O,X,X,X,X
IOZLSJT,X,O,O,X,X,X
IOZJTLS,O,O,O,X,X,X
IOZJTSL,X,O,X,X,X,X
IOZJLTS,O,O,O,X,X,X
IOZJLST,X,O,O,X,X,X
IOZJSTL,O,O,X,X,X,X
IOZJSLT,X,O,X,X,X,X
IOZSTLJ,O,O,X,X,X,X
IOZSTJL,O,O,X,X,X,X
IOZSLTJ,X,O,X,X,X,X
IOZSLJT,X,O,X,X,X,X
IOZSJTL,O,O,X,X,X,X
IOZSJLT,X,O,X,X,X,X
LTIJSZO,O,X,O,O,O,O
LTIJSOZ,O,X,O,X,O,O
LTIJZSO,O,X,O,O,O,O
LTIJZOS,O,O,O,O,X,X
LTIJOSZ,O,O,O,X,O,O
LTIJOZS,O,O,O,X,X,X
LTISJZO,O,X,O,O,O,O
LTISJOZ,O,X,O,X,O,O
LTISZJO,O,X,O,O,O,O
LTISZOJ,O,X,X,O,O,X
LTISOJZ,O,X,X,X,O,O
LTISOZJ,O,X,X,O,O,X
LTIZJSO,O,X,O,O,O,O
LTIZJOS,O,O,O,O,X,X
LTIZSJO,O,X,O,O,O,O
LTIZSOJ,O,X,X,O,O,X
LTIZOJS,O,O,O,O,X,X
LTIZOSJ,O,O,X,O,X,X
LTIOJSZ,O,O,O,X,O,O
LTIOJZS,O,O,O,X,X,X
LTIOSJZ,O,O,X,X,O,O
LTIOSZJ,O,O,X,O,O,X
LTIOZJS,O,O,O,O,X,X
LTIOZSJ,O,O,X,O,X,X
LTJISZO,O,X,O,O,O,O
LTJISOZ,O,X,O,X,O,O
LTJIZSO,O,X,O,O,O,O
LTJIZOS,O,O,O,O,X,X
LTJIOSZ,O,O,O,X,O,O
LTJIOZS,O,O,O,X,X,X
LTJSIZO,O,X,O,O,O,O
LTJSIOZ,O,X,O,X,O,O
LTJSZIO,O,X,O,O,O,O
LTJSZOI,O,X,O,O,O,X
LTJSOIZ,O,X,O,X,O,O
LTJSOZI,O,X,O,X,O,X
LTJZISO,O,X,O,O,O,O
LTJZIOS,O,O,O,O,X,X
LTJZSIO,O,X,O,O,O,O
LTJZSOI,O,X,O,O,O,X
LTJZOIS,O,O,O,O,X,X
LTJZOSI,O,O,O,O,X,X
LTJOISZ,O,O,O,X,O,O
LTJOIZS,O,O,O,X,X,X
LTJOSIZ,O,O,O,X,O,O
LTJOSZI,O,O,O,X,O,X
LTJOZIS,O,O,O,X,X,X
LTJOZSI,O,O,O,X,X,X
LTSIJZO,O,X,O,O,O,O
LTSIJOZ,O,X,O,X,O,O
LTSIZJO,O,X,O,O,O,O
LTSIZOJ,O,X,X,O,O,X
LTSIOJZ,O,X,X,X,O,O
LTSIOZJ,O,X,X,O,O,X
LTSJIZO,O,X,O,O,O,O
LTSJIOZ,O,X,O,X,O,O
LTSJZIO,O,X,O,O,O,O
LTSJZOI,O,X,O,O,O,X
LTSJOIZ,O,X,O,X,O,O
LTSJOZI,O,X,O,X,O,X
LTSZIJO,O,X,O,O,O,O
LTSZIOJ,O,X,X,O,O,X
LTSZJIO,O,X,O,O,O,O
LTSZJOI,O,X,O,O,O,X
LTSZOIJ,O,X,X,O,O,X
LTSZOJI,O,X,X,O,O,X
LTSOIJZ,O,X,X,X,O,O
LTSOIZJ,O,X,X,O,O,X
LTSOJIZ,O,X,X,X,O,O
LTSOJZI,O,X,X,X,O,X
LTSOZIJ,O,X,X,O,O,X
LTSOZJI,O,X,X,O,O,X
LTZIJSO,O,X,O,O,O,O
LTZIJOS,O,O,O,O,X,X
LTZISJO,O,X,O,O,O,O
LTZISOJ,O,X,X,O,O,X
LTZIOJS,O,O,O,O,X,X
LTZIOSJ,O,O,X,O,X,X
LTZJISO,O,X,O,O,O,O
LTZJIOS,O,O,O,O,X,X
LTZJSIO,O,X,O,O,O,O
LTZJSOI,O,X,O,O,O,X
LTZJOIS,O,O,O,O,X,X
LTZJOSI,O,O,O,O,X,X
LTZSIJO,O,X,O,O,O,O
LTZSIOJ,O,X,X,O,O,X
LTZSJIO,O,X,O,O,O,O
LTZSJOI,O,X,O,O,O,X
LTZSOIJ,O,X,X,O,O,X
LTZSOJI,O,X,X,O,O,X
LTZOIJS,O,O,O,O,X,X
LTZOISJ,O,O,X,O,X,X
LTZOJIS,O,O,O,O,X,X
LTZOJSI,O,O,O,O,X,X
LTZOSIJ,O,O,X,O,X,X
LTZOSJI,O,O,X,O,X,X
LTOIJSZ,O,O,O,X,O,O
LTOIJZS,O,O,O,X,X,X
LTOISJZ,O,O,X,X,O,O
LTOISZJ,O,O,X,O,O,X
LTOIZJS,O,O,O,O,X,X
LTOIZSJ,O,O,X,O,X,X
LTOJISZ,O,O,O,X,O,O
LTOJIZS,O,O,O,X,X,X
LTOJSIZ,O,O,O,X,O,O
LTOJSZI,O,O,O,X,O,X
LTOJZIS,O,O,O,X,X,X
LTOJZSI,O,O,O,X,X,X
LTOSIJZ,O,O,X,X,O,O
LTOSIZJ,O,O,X,O,O,X
LTOSJIZ,O,O,X,X,O,O
LTOSJZI,O,O,X,X,O,X
LTOSZIJ,O,O,X,O,O,X
LTOSZJI,O,O,X,O,O,X
LTOZIJS,O,O,O,O,X,X
LTOZISJ,O,O,X,O,X,X
LTOZJIS,O,O,O,O,X,X
LTOZJSI,O,O,O,O,X,X
LTOZSIJ,O,O,X,O,X,X
LTOZSJI,O,O,X,O,X,X
LITJSZO,O,X,O,O,O,O
LITJSOZ,O,X,O,X,O,O
LITJZSO,O,X,O,O,O,O
LITJZOS,O,O,O,O,X,X
LITJOSZ,O,O,O,X,O,O
LITJOZS,O,O,O,X,X,X
LITSJZO,O,X,O,O,O,O
LITSJOZ,O,X,O,X,O,O
LITSZJO,O,X,O,O,O,O
LITSZOJ,O,X,X,O,O,X
LITSOJZ,O,X,X,X,O,O
LITSOZJ,O,X,X,O,O,X
LITZJSO,O,X,O,O,O,O
LITZJOS,O,O,O,O,X,X
LITZSJO,O,X,O,O,O,O
LITZSOJ,O,X,X,O,O,X
LITZOJS,O,O,O,O,X,X
LITZOSJ,O,O,X,O,X,X
LITOJSZ,O,O,O,X,O,O
LITOJZS,O,O,O,X,X,X
LITOSJZ,O,O,X,X,O,O
LITOSZJ,O,O,X,O,O,X
LITOZJS,O,O,O,O,X,X
LITOZSJ,O,O,X,O,X,X
LIJTSZO,O,X,O,O,O,O
LIJTSOZ,O,X,O,X,O,O
LIJTZSO,O,X,O,O,O,O
LIJTZOS,O,O,O,O,X,X
LIJTOSZ,O,O,O,X,O,O
LIJTOZS,O,O,O,X,X,X
LIJSTZO,O,X,O,O,O,O
LIJSTOZ,O,X,O,X,O,O
LIJSZTO,X,X,O,O,O,O
LIJSZOT,X,X,O,O,O,X
LIJSOTZ,O,O,O,X,O,O
LIJSOZT,X,O,O,X,O,X
LIJZTSO,O,X,O,O,O,O
LIJZTOS,O,O,O,O,X,X
LIJZSTO,X,X,O,O,O,O
LIJZSOT,X,X,O,O,O,X
LIJZOTS,O,O,O,O,X,X
LIJZOST,X,O,O,O,X,X
LIJOTSZ,O,O,O,X,O,O
LIJOTZS,O,O,O,X,X,X
LIJOSTZ,O,O,O,X,O,O
LIJOSZT,X,O,O,X,O,X
LIJOZTS,O,O,O,X,X,X
LIJOZST,X,O,O,X,X,X
LISTJZO,O,X,O,O,O,O
LISTJOZ,O,X,O,X,O,O
LISTZJO,O,X,O,O,O,O
LISTZOJ,O,X,X,O,O,X
LISTOJZ,O,X,X,X,O,O
LISTOZJ,O,X,X,O,O,X
LISJTZO,O,X,O,O,O,O
LISJTOZ,O,X,O,X,O,O
LISJZTO,X,X,O,O,O,O
LISJZOT,X,X,O,O,O,X
LISJOTZ,O,O,O,X,O,O
LISJOZT,X,O,O,X,O,X
LISZTJO,X,X,O,O,O,O
LISZTOJ,X,X,X,O,O,X
LISZJTO,X,X,O,O,O,O
LISZJOT,X,X,O,O,O,X
LISZOTJ,X,X,X,O,O,X
LISZOJT,X,X,O,O,O,X
LISOTJZ,O,O,X,X,O,O
LISOTZJ,O,O,X,O,O,X
LISOJTZ,O,O,O,X,O,O
LISOJZT,X,O,O,X,O,X
LISOZTJ,X,O,X,O,O,X
LISOZJT,X,O,O,O,O,X
LIZTJSO,O,X,O,O,O,O
LIZTJOS,O,O,O,O,X,X
LIZTSJO,O,X,O,O,O,O
LIZTSOJ,O,X,X,O,O,X
LIZTOJS,O,O,O,O,X,X
LIZTOSJ,O,O,X,O,X,X
LIZJTSO,O,X,O,O,O,O
LIZJTOS,O,O,O,O,X,X
LIZJSTO,X,X,O,O,O,O
LIZJSOT,X,X,O,O,O,X
LIZJOTS,O,O,O,O,X,X
LIZJOST,X,O,O,O,X,X
LIZSTJO,X,X,O,O,O,O
LIZSTOJ,X,X,X,O,O,X
LIZSJTO,X,X,O,O,O,O
LIZSJOT,X,X,O,O,O,X
LIZSOTJ,X,X,X,O,O,X
LIZSOJT,X,X,O,O,O,X
LIZOTJS,O,O,O,O,X,X
LIZOTSJ,O,O,X,O,X,X
LIZOJTS,O,O,O,O,X,X
LIZOJST,X,O,O,O,X,X
LIZOSTJ,X,O,X,O,X,X
LIZOSJT,X,O,O,O,X,X
LIOTJSZ,O,O,O,X,O,O
LIOTJZS,O,O,O,X,X,X
LIOTSJZ,O,O,X,X,O,O
LIOTSZJ,O,O,X,O,O,X
LIOTZJS,O,O,O,O,X,X
LIOTZSJ,O,O,X,O,X,X
LIOJTSZ,O,O,O,X,O,O
LIOJTZS,O,O,O,X,X,X
LIOJSTZ,O,O,O,X,O,O
LIOJSZT,X,O,O,X,O,X
LIOJZTS,O,O,O,X,X,X
LIOJZST,X,O,O,X,X,X
LIOSTJZ,O,O,X,X,O,O
LIOSTZJ,O,O,X,O,O,X
LIOSJTZ,O,O,O,X,O,O
LIOSJZT,X,O,O,X,O,X
LIOSZTJ,X,O,X,O,O,X
LIOSZJT,X,O,O,O,O,X
LIOZTJS,O,O,O,O,X,X
LIOZTSJ,O,O,X,O,X,X
LIOZJTS,O,O,O,O,X,X
LIOZJST,X,O,O,O,X,X
LIOZSTJ,X,O,X,O,X,X
LIOZSJT,X,O,O,O,X,X
LJTISZO,O,X,O,O,O,O
LJTISOZ,O,X,O,X,O,O
LJTIZSO,O,X,O,O,O,O
LJTIZOS,O,O,O,O,X,X
LJTIOSZ,O,O,O,X,O,O
LJTIOZS,O,O,O,X,X,X
LJTSIZO,O,X,O,O,O,O
LJTSIOZ,O,X,O,X,O,O
LJTSZIO,O,X,O,O,O,O
LJTSZOI,O,X,O,O,O,X
LJTSOIZ,O,X,O,X,O,O
LJTSOZI,O,X,O,X,O,X
LJTZISO,O,X,O,O,O,O
LJTZIOS,O,O,O,O,X,X
LJTZSIO,O,X,O,O,O,O
LJTZSOI,O,X,O,O,O,X
LJTZOIS,O,O,O,O,X,X
LJTZOSI,O,O,O,O,X,X
LJTOISZ,O,O,O,X,O,O
LJTOIZS,O,O,O,X,X,X
LJTOSIZ,O,O,O,X,O,O
LJTOSZI,O,O,O,X,O,X
LJTOZIS,O,O,O,X,X,X
LJTOZSI,O,O,O,X,X,X
LJITSZO,O,X,O,O,O,O
LJITSOZ,O,X,O,X,O,O
LJITZSO,O,X,O,O,O,O
LJITZOS,O,O,O,O,X,X
LJITOSZ,O,O,O,X,O,O
LJITOZS,O,O,O,X,X,X
LJISTZO,O,X,O,O,O,O
LJISTOZ,O,X,O,X,O,O
LJISZTO,X,X,O,O,O,O
LJISZOT,X,X,O,O,O,X
LJISOTZ,O,O,O,X,O,O
LJISOZT,X,O,O,X,O,X
LJIZTSO,O,X,O,O,O,O
LJIZTOS,O,O,O,O,X,X
LJIZSTO,X,X,O,O,O,O
LJIZSOT,X,X,O,O,O,X
LJIZOTS,O,O,O,O,X,X
LJIZOST,X,O,O,O,X,X
LJIOTSZ,O,O,O,X,O,O
LJIOTZS,O,O,O,X,X,X
LJIOSTZ,O,O,O,X,O,O
LJIOSZT,X,O,O,X,O,X
LJIOZTS,O,O,O,X,X,X
LJIOZST,X,O,O,X,X,X
LJSTIZO,O,X,O,O,O,O
LJSTIOZ,O,X,O,X,O,O
LJSTZIO,O,X,O,O,O,O
LJSTZOI,O,X,O,O,O,X
LJSTOIZ,O,X,O,X,O,O
LJSTOZI,O,X,O,X,O,X
LJSITZO,O,X,O,O,O,O
LJSITOZ,O,X,O,X,O,O
LJSIZTO,X,X,O,O,O,O
LJSIZOT,X,X,O,O,O,X
LJSIOTZ,O,O,O,X,O,O
LJSIOZT,X,O,O,X,O,X
LJSZTIO,X,X,O,O,O,O
LJSZTOI,X,X,O,O,O,X
LJSZITO,X,X,O,O,O,O
LJSZIOT,X,X,O,O,O,X
LJSZOTI,X,X,O,O,O,X
LJSZOIT,X,X,O,O,O,X
LJSOTIZ,O,O,O,X,O,O
LJSOTZI,O,O,O,X,O,X
LJSOITZ,O,O,O,X,O,O
LJSOIZT,X,O,O,X,O,X
LJSOZTI,X,O,O,X,O,X
LJSOZIT,X,O,O,X,O,X
LJZTISO,O,X,O,O,O,O
LJZTIOS,O,O,O,O,X,X
LJZTSIO,O,X,O,O,O,O
LJZTSOI,O,X,O,O,O,X
LJZTOIS,O,O,O,O,X,X
LJZTOSI,O,O,O,O,X,X
LJZITSO,O,X,O,O,O,O
LJZITOS,O,O,O,O,X,X
LJZISTO,X,X,O,O,O,O
LJZISOT,X,X,O,O,O,X
LJZIOTS,O,O,O,O,X,X
LJZIOST,X,O,O,O,X,X
LJZSTIO,X,X,O,O,O,O
LJZSTOI,X,X,O,O,O,X
LJZSITO,X,X,O,O,O,O
LJZSIOT,X,X,O,O,O,X
LJZSOTI,X,X,O,O,O,X
LJZSOIT,X,X,O,O,O,X
LJZOTIS,O,O,O,O,X,X
LJZOTSI,O,O,O,O,X,X
LJZOITS,O,O,O,O,X,X
LJZOIST,X,O,O,O,X,X
LJZOSTI,X,O,O,O,X,X
LJZOSIT,X,O,O,O,X,X
LJOTISZ,O,O,O,X,O,O
LJOTIZS,O,O,O,X,X,X
LJOTSIZ,O,O,O,X,O,O
LJOTSZI,O,O,O,X,O,X
LJOTZIS,O,O,O,X,X,X
LJOTZSI,O,O,O,X,X,X
LJOITSZ,O,O,O,X,O,O
LJOITZS,O,O,O,X,X,X
LJOISTZ,O,O,O,X,O,O
LJOISZT,X,O,O,X,O,X
LJOIZTS,O,O,O,X,X,X
LJOIZST,X,O,O,X,X,X
LJOSTIZ,O,O,O,X,O,O
LJOSTZI,O,O,O,X,O,X
LJOSITZ,O,O,O,X,O,O
LJOSIZT,X,O,O,X,O,X
LJOSZTI,X,O,O,X,O,X
LJOSZIT,X,O,O,X,O,X
LJOZTIS,O,O,O,X,X,X
LJOZTSI,O,O,O,X,X,X
LJOZITS,O,O,O,X,X,X
LJOZIST,X,O,O,X,X,X
LJOZSTI,X,O,O,X,X,X
LJOZSIT,X,O,O,X,X,X
LSTIJZO,O,X,O,O,O,O
LSTIJOZ,O,X,O,X,O,O
LSTIZJO,O,X,O,O,O,O
LSTIZOJ,O,X,X,O,O,X
LSTIOJZ,O,X,X,X,O,O
LSTIOZJ,O,X,X,O,O,X
LSTJIZO,O,X,O,O,O,O
LSTJIOZ,O,X,O,X,O,O
LSTJZIO,O,X,O,O,O,O
LSTJZOI,O,X,O,O,O,X
LSTJOIZ,O,X,O,X,O,O
LSTJOZI,O,X,O,X,O,X
LSTZIJO,O,X,O,O,O,O
LSTZIOJ,O,X,X,O,O,X
LSTZJIO,O,X,O,O,O,O
LSTZJOI,O,X,O,O,O,X
LSTZOIJ,O,X,X,O,O,X
LSTZOJI,O,X,X,O,O,X
LSTOIJZ,O,X,X,X,O,O
LSTOIZJ,O,X,X,O,O,X
LSTOJIZ,O,X,X,X,O,O
LSTOJZI,O,X,X,X,O,X
LSTOZIJ,O,X,X,O,O,X
LSTOZJI,O,X,X,O,O,X
LSITJZO,O,X,O,O,O,O
LSITJOZ,O,X,O,X,O,O
LSITZJO,O,X,O,O,O,O
LSITZOJ,O,X,X,O,O,X
LSITOJZ,O,X,X,X,O,O
LSITOZJ,O,X,X,O,O,X
LSIJTZO,O,X,O,O,O,O
LSIJTOZ,O,X,O,X,O,O
LSIJZTO,X,X,O,O,O,O
LSIJZOT,X,X,O,O,O,X
LSIJOTZ,O,O,O,X,O,O
LSIJOZT,X,O,O,X,O,X
LSIZTJO,X,X,O,O,O,O
LSIZTOJ,X,X,X,O,O,X
LSIZJTO,X,X,O,O,O,O
LSIZJOT,X,X,O,O,O,X
LSIZOTJ,X,X,X,O,O,X
LSIZOJT,X,X,O,O,O,X
LSIOTJZ,O,O,X,X,O,O
LSIOTZJ,O,O,X,O,O,X
LSIOJTZ,O,O,O,X,O,O
LSIOJZT,X,O,O,X,O,X
LSIOZTJ,X,O,X,O,O,X
LSIOZJT,X,O,O,O,O,X
LSJTIZO,O,X,O,O,O,O
LSJTIOZ,O,X,O,X,O,O
LSJTZIO,O,X,O,O,O,O
LSJTZOI,O,X,O,O,O,X
LSJTOIZ,O,X,O,X,O,O
LSJTOZI,O,X,O,X,O,X
LSJITZO,O,X,O,O,O,O
LSJITOZ,O,X,O,X,O,O
LSJIZTO,X,X,O,O,O,O
LSJIZOT,X,X,O,O,O,X
LSJIOTZ,O,O,O,X,O,O
LSJIOZT,X,O,O,X,O,X
LSJZTIO,X,X,O,O,O,O
LSJZTOI,X,X,O,O,O,X
LSJZITO,X,X,O,O,O,O
LSJZIOT,X,X,O,O,O,X
LSJZOTI,X,X,O,O,O,X
LSJZOIT,X,X,O,O,O,X
LSJOTIZ,O,O,O,X,O,O
LSJOTZI,O,O,O,X,O,X
LSJOITZ,O,O,O,X,O,O
LSJOIZT,X,O,O,X,O,X
LSJOZTI,X,O,O,X,O,X
LSJOZIT,X,O,O,X,O,X
LSZTIJO,X,X,O,O,O,O
LSZTIOJ,X,X,X,O,O,X
LSZTJIO,X,X,O,O,O,O
LSZTJOI,X,X,O,O,O,X
LSZTOIJ,X,X,X,O,O,X
LSZTOJI,X,X,X,O,O,X
LSZITJO,X,X,O,O,O,O
LSZITOJ,X,X,X,O,O,X
LSZIJTO,X,X,O,O,O,O
LSZIJOT,X,X,O,O,O,X
LSZIOTJ,X,X,X,O,O,X
LSZIOJT,X,X,O,O,O,X
LSZJTIO,X,X,O,O,O,O
LSZJTOI,X,X,O,O,O,X
LSZJITO,X,X,O,O,O,O
LSZJIOT,X,X,O,O,O,X
LSZJOTI,X,X,O,O,O,X
LSZJOIT,X,X,O,O,O,X
LSZOTIJ,X,X,X,O,O,X
LSZOTJI,X,X,X,O,O,X
LSZOITJ,X,X,X,O,O,X
LSZOIJT,X,X,O,O,O,X
LSZOJTI,X,X,O,O,O,X
LSZOJIT,X,X,O,O,O,X
LSOTIJZ,O,O,X,X,O,O
LSOTIZJ,O,O,X,O,O,X
LSOTJIZ,O,O,X,X,O,O
LSOTJZI,O,O,X,X,O,X
LSOTZIJ,O,O,X,O,O,X
LSOTZJI,O,O,X,O,O,X
LSOITJZ,O,O,X,X,O,O
LSOITZJ,O,O,X,O,O,X
LSOIJTZ,O,O,O,X,O,O
LSOIJZT,X,O,O,X,O,X
LSOIZTJ,X,O,X,O,O,X
LSOIZJT,X,O,O,O,O,X
LSOJTIZ,O,O,O,X,O,O
LSOJTZI,O,O,O,X,O,X
LSOJITZ,O,O,O,X,O,O
LSOJIZT,X,O,O,X,O,X
LSOJZTI,X,O,O,X,O,X
LSOJZIT,X,O,O,X,O,X
LSOZTIJ,X,O,X,O,O,X
LSOZTJI,X,O,X,O,O,X
LSOZITJ,X,O,X,O,O,X
LSOZIJT,X,O,O,O,O,X
LSOZJTI,X,O,O,O,O,X
LSOZJIT,X,O,O,O,O,X
LZTIJSO,O,X,O,O,O,O
LZTIJOS,O,O,O,O,X,X
LZTISJO,O,X,O,O,O,O
LZTISOJ,O,X,X,O,O,X
LZTIOJS,O,O,O,O,X,X
LZTIOSJ,O,O,X,O,X,X
LZTJISO,O,X,O,O,O,O
LZTJIOS,O,O,O,O,X,X
LZTJSIO,O,X,O,O,O,O
LZTJSOI,O,X,O,O,O,X
LZTJOIS,O,O,O,O,X,X
LZTJOSI,O,O,O,O,X,X
LZTSIJO,O,X,O,O,O,O
LZTSIOJ,O,X,X,O,O,X
LZTSJIO,O,X,O,O,O,O
LZTSJOI,O,X,O,O,O,X
LZTSOIJ,O,X,X,O,O,X
LZTSOJI,O,X,X,O,O,X
LZTOIJS,O,O,O,O,X,X
LZTOISJ,O,O,X,O,X,X
LZTOJIS,O,O,O,O,X,X
LZTOJSI,O,O,O,O,X,X
LZTOSIJ,O,O,X,O,X,X
LZTOSJI,O,O,X,O,X,X
LZITJSO,O,X,O,O,O,O
LZITJOS,O,O,O,O,X,X
LZITSJO,O,X,O,O,O,O
LZITSOJ,O,X,X,O,O,X
LZITOJS,O,O,O,O,X,X
LZITOSJ,O,O,X,O,X,X
LZIJTSO,O,X,O,O,O,O
LZIJTOS,O,O,O,O,X,X
LZIJSTO,X,X,O,O,O,O
LZIJSOT,X,X,O,O,O,X
LZIJOTS,O,O,O,O,X,X
LZIJOST,X,O,O,O,X,X
LZISTJO,X,X,O,O,O,O
LZISTOJ,X,X,X,O,O,X
LZISJTO,X,X,O,O,O,O
LZISJOT,X,X,O,O,O,X
LZISOTJ,X,X,X,O,O,X
LZISOJT,X,X,O,O,O,X
LZIOTJS,O,O,O,O,X,X
LZIOTSJ,O,O,X,O,X,X
LZIOJTS,O,O,O,O,X,X
LZIOJST,X,O,O,O,X,X
LZIOSTJ,X,O,X,O,X,X
LZIOSJT,X,O,O,O,X,X
LZJTISO,O,X,O,O,O,O
LZJTIOS,O,O,O,O,X,X
LZJTSIO,O,X,O,O,O,O
LZJTSOI,O,X,O,O,O,X
LZJTOIS,O,O,O,O,X,X
LZJTOSI,O,O,O,O,X,X
LZJITSO,O,X,O,O,O,O
LZJITOS,O,O,O,O,X,X
LZJISTO,X,X,O,O,O,O
LZJISOT,X,X,O,O,O,X
LZJIOTS,O,O,O,O,X,X
LZJIOST,X,O,O,O,X,X
LZJSTIO,X,X,O,O,O,O
LZJSTOI,X,X,O,O,O,X
LZJSITO,X,X,O,O,O,O
LZJSIOT,X,X,O,O,O,X
LZJSOTI,X,X,O,O,O,X
LZJSOIT,X,X,O,O,O,X
LZJOTIS,O,O,O,O,X,X
LZJOTSI,O,O,O,O,X,X
LZJOITS,O,O,O,O,X,X
LZJOIST,X,O,O,O,X,X
LZJOSTI,X,O,O,O,X,X
LZJOSIT,X,O,O,O,X,X
LZSTIJO,X,X,O,O,O,O
LZSTIOJ,X,X,X,O,O,X
LZSTJIO,X,X,O,O,O,O
LZSTJOI,X,X,O,O,O,X
LZSTOIJ,X,X,X,O,O,X
LZSTOJI,X,X,X,O,O,X
LZSITJO,X,X,O,O,O,O
LZSITOJ,X,X,X,O,O,X
LZSIJTO,X,X,O,O,O,O
LZSIJOT,X,X,O,O,O,X
LZSIOTJ,X,X,X,O,O,X
LZSIOJT,X,X,O,O,O,X
LZSJTIO,X,X,O,O,O,O
LZSJTOI,X,X,O,O,O,X
LZSJITO,X,X,O,O,O,O
LZSJIOT,X,X,O,O,O,X
LZSJOTI,X,X,O,O,O,X
LZSJOIT,X,X,O,O,O,X
LZSOTIJ,X,X,X,O,O,X
LZSOTJI,X,X,X,O,O,X
LZSOITJ,X,X,X,O,O,X
