sequence,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFCbBehBzcBX?gBUnBFqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFufB3bBzcBy?lBUnBFqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFCbBehBXgBz?hBUnBFqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFufB3bBylBz?hBUnBFqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8Jex6IvhFlcBTfB/lBU?hBKnBmpB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeO/IvhFVgBRcBThBK?nB3kBcqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFqfBTbBmcBX?hBUnBFqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFlbBuhB8lBK?nBzkBfqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFSgBmcBXhBz?fBUnBFqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFWgBylBzhBf?qBlqBUsB,v115@6gC8GeC8GeC8DeB8BeD8AeG8Je37IvhFTfBmhBxlBi?kBUnBFqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JecAJvhFTfBXhBKnBl?hBxpBmpB,v115@6gC8GeC8GeC8DeB8BeD8AeG8Jex6IvhFXcBmfB1mBT?kBcqBKsB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JecAJvhFTfBlhBXhBK?nBxpBmpB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeRAJvhFzhBlkB3lBO?kBUnBiqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8Jez8IvhFRgBlkB3lBU?nBOkBiqB
ISJTOZL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
ISJLTZO,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
ISJLTOZ,X,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X
ISJLZTO,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ISJLZOT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ISJLOTZ,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
ISJLOZT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ISJZTLO,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
ISJZTOL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISJZLTO,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ISJZLOT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ISJZOTL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJZOLT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ISJOTLZ,X,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X
ISJOTZL,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
ISJOLTZ,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
ISJOLZT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ISJOZTL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJOZLT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ISZTLJO,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
ISZTLOJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ISZTJLO,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
ISZTJOL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISZTOLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISZTOJL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISZLTJO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZLTOJ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ISZLJTO,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ISZLJOT,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X
ISZLOTJ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ISZLOJT,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
ISZJTLO,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
ISZJTOL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ISZJLTO,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ISZJLOT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISZJOTL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISZJOLT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ISZOTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISZOTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOLTJ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ISZOLJT,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
ISZOJTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOJLT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOTLJZ,X,X,O,O,X,X,O,X,O,O,O,X,X,X,O,X
ISOTLZJ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ISOTJLZ,X,X,O,O,X,X,O,X,O,O,O,X,X,X,O,X
ISOTJZL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
ISOTZLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ISOTZJL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
ISOLTJZ,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
ISOLTZJ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ISOLJTZ,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
ISOLJZT,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X
ISOLZTJ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ISOLZJT,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X
ISOJTLZ,X,X,O,X,X,X,O,X,O,O,O,X,X,X,X,X
ISOJTZL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
ISOJLTZ,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
ISOJLZT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOJZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJZLT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOZTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISOZTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZLTJ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ISOZLJT,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
ISOZJTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZJLT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZTLJSO,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IZTLJOS,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
IZTLSJO,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IZTLSOJ,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X,X
IZTLOJS,X,O,X,O,X,O,X,O,X,X,X,X,X,O,X,X
IZTLOSJ,X,O,X,O,O,O,O,X,X,X,X,O,X,O,X,X
IZTJLSO,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZTJLOS,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZTJSLO,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTJSOL,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
IZTJOLS,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
IZTJOSL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZTSLJO,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X
IZTSLOJ,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
IZTSJLO,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X
IZTSJOL,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
IZTSOLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZTSOJL,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
IZTOLJS,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
IZTOLSJ,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X
IZTOJLS,X,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X
IZTOJSL,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X
IZTOSLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZTOSJL,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
IZLTJSO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZLTJOS,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
IZLTSJO,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZLTSOJ,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IZLTOJS,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X
IZLTOSJ,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X
IZLJTSO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZLJTOS,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
IZLJSTO,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLJSOT,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZLJOTS,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZLJOST,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZLSTJO,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZLSTOJ,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IZLSJTO,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZLSJOT,X,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X
IZLSOTJ,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IZLSOJT,X,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X
IZLOTJS,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X
IZLOTSJ,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X
IZLOJTS,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IZLOJST,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
IZLOSTJ,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZLOSJT,X,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X
IZJTLSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTLOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTSLO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTSOL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZJTOLS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZJTOSL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZJLTSO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJLTOS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJLSTO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLSOT,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZJLOTS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJLOST,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZJSTLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSTOL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZJSLTO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSLOT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSOTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSOLT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOTLS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZJOTSL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOLTS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJOLST,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZJOSTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOSLT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTLJO,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X
IZSTLOJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IZSTJLO,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
IZSTJOL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IZSTOLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZSTOJL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IZSLTJO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZSLTOJ,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IZSLJTO,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
IZSLJOT,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X
IZSLOTJ,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IZSLOJT,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
IZSJTLO,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X
IZSJTOL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IZSJLTO,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
IZSJLOT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IZSJOTL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSJOLT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IZSOTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZSOTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLTJ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZSOLJT,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
IZSOJTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJLT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOTLJS,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
IZOTLSJ,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X
IZOTJLS,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X
IZOTJSL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOTSLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZOTSJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLTJS,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IZOLTSJ,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X
IZOLJTS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOLJST,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZOLSTJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOLSJT,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
IZOJTLS,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
IZOJTSL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOJLTS,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IZOJLST,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZOJSTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOJSLT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZOSTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSLTJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOSLJT,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
IZOSJTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJLT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTLJSZ,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IOTLJZS,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IOTLSJZ,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IOTLSZJ,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
IOTLZJS,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
IOTLZSJ,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X
IOTJLSZ,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IOTJLZS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTJSLZ,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IOTJSZL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOTJZLS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IOTJZSL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOTSLJZ,O,X,O,O,X,X,O,X,O,O,O,X,X,X,O,X
IOTSLZJ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTSJLZ,O,X,O,O,X,X,O,X,O,O,O,X,X,X,O,X
IOTSJZL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
IOTSZLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOTSZJL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
IOTZLJS,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
IOTZLSJ,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X
IOTZJLS,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X
IOTZJSL,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X
IOTZSLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOTZSJL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLTJSZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTJZS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IOLTSJZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTSZJ,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IOLTZJS,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
IOLTZSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IOLJTSZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJTZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLJSTZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJSZT,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X
IOLJZTS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLJZST,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLSTJZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IOLSTZJ,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IOLSJTZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IOLSJZT,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X
IOLSZTJ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLSZJT,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X
IOLZTJS,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IOLZTSJ,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IOLZJTS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLZJST,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IOLZSTJ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLZSJT,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X
IOJTLSZ,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IOJTLZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJTSLZ,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IOJTSZL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJTZLS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IOJTZSL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJLTSZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLTZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJLSTZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLSZT,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X
IOJLZTS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJLZST,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJSTLZ,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
IOJSTZL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJSLTZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJSLZT,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJSZTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSZLT,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJZTLS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOJZTSL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZLTS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJZLST,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IOJZSTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZSLT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTLJZ,X,X,O,O,X,X,O,X,O,O,O,X,X,X,O,X
IOSTLZJ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSTJLZ,X,X,O,O,X,X,O,X,O,O,O,X,X,X,O,X
IOSTJZL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
IOSTZLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOSTZJL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
IOSLTJZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IOSLTZJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSLJTZ,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
IOSLJZT,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X
IOSLZTJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSLZJT,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X
IOSJTLZ,X,X,O,X,X,X,O,X,O,O,O,X,X,X,X,X
IOSJTZL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSJLTZ,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IOSJLZT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSJZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJZLT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSZTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOSZTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZLTJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSZLJT,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
IOSZJTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZJLT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZTLJS,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
IOZTLSJ,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X
IOZTJLS,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X
IOZTJSL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IOZTSLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOZTSJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLTJS,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IOZLTSJ,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IOZLJTS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZLJST,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IOZLSTJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZLSJT,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
IOZJTLS,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
IOZJTSL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IOZJLTS,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOZJLST,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IOZJSTL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOZJSLT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOZSTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSLTJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZSLJT,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
IOZSJTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSJLT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIJSZO,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
LTIJSOZ,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
LTIJZSO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTIJZOS,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTIJOSZ,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
LTIJOZS,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTISJZO,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
LTISJOZ,O,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X
LTISZJO,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
LTISZOJ,X,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X
LTISOJZ,O,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X
LTISOZJ,X,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X
LTIZJSO,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTIZJOS,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X
LTIZSJO,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTIZSOJ,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTIZOJS,X,O,X,O,X,O,X,O,X,X,X,X,X,O,X,X
LTIZOSJ,X,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X
