sequence,v115@7gB8GeC8FeD8FeG8AeF8JeZ/IvhFzaBXdBUhBClBGm?BlqB,v115@7gB8GeC8FeD8FeG8AeF8Jei6IvhFfhBxcBUgBumBTk?BlqB,v115@7gB8GeC8FeD8FeG8AeF8Jei6IvhFFcBXdBckBelB5l?BTrB,v115@7gB8GeC8FeD8FeG8AeF8JeT6IvhFxcBlgBumBikB8q?BXqB,v115@7gB8GeC8FeD8FeG8AeF8JeO/IvhF8fBFcBXdB5lByu?BTrB,v115@7gB8GeC8FeD8FeG8AeF8JeT6IvhF0bBxcBVlB3hB2p?BCrB,v115@7gB8GeC8FeD8FeG8AeF8Jex6IvhFXdBOkB8kBzgB6m?BlqB,v115@7gB8GeC8FeD8FeG8AeF8JeZ/IvhFzbBukB3hBUgBCn?BlqB,v115@7gB8GeC8FeD8FeG8AeF8Jex6IvhF8gBmfB3hBTkBCn?BlqB,v115@7gB8GeC8FeD8FeG8AeF8JeZ/IvhFzbBUgB3hBukBCn?BlqB,v115@7gB8GeC8FeD8FeG8AeF8JeZ/IvhF3bBWlBlhB8qBzp?BCsB,v115@7gB8GeC8FeD8FeG8AeF8Je//IvhFRbBTgBlhB2pB8q?BCsB,v115@7gB8GeC8FeD8FeG8AeF8Jez7IvhF3hBxkBOkB8kBCn?BlqB,v115@7gB8GeC8FeD8FeG8AeF8Je37IvhFlhBxkB8qBTpBmp?BCsB
IZLJOST,O,X,O,O,O,X,X,X,X,X,X,X,X,X
IZLSTJO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IZLSTOJ,O,X,O,X,O,O,X,X,X,X,X,X,X,O
IZLSJTO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IZLSJOT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IZLSOTJ,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IZLSOJT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IZLOTJS,O,X,X,O,O,X,X,X,X,X,X,X,X,X
IZLOTSJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IZLOJTS,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IZLOJST,O,X,O,O,O,X,X,X,X,X,X,X,X,X
IZLOSTJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IZLOSJT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IZJTLSO,X,X,O,O,X,X,X,X,X,X,O,X,X,X
IZJTLOS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
IZJTSLO,X,O,O,O,X,X,X,X,X,X,O,X,X,X
IZJTSOL,X,O,O,X,X,O,O,O,X,X,O,O,X,O
IZJTOLS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
IZJTOSL,X,O,O,X,X,O,O,X,X,X,O,O,X,O
IZJLTSO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
IZJLTOS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
IZJLSTO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
IZJLSOT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZJLOTS,X,X,O,O,X,O,X,X,X,X,X,X,X,X
IZJLOST,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZJSTLO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
IZJSTOL,X,X,O,X,X,O,O,X,X,X,O,O,X,O
IZJSLTO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
IZJSLOT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZJSOTL,X,X,O,X,X,O,X,O,X,X,O,O,X,X
IZJSOLT,X,X,O,X,X,X,X,O,X,X,X,O,X,X
IZJOTLS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
IZJOTSL,X,O,O,X,X,O,O,X,X,X,O,O,X,X
IZJOLTS,X,X,O,O,X,O,X,X,X,X,X,X,X,X
IZJOLST,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZJOSTL,X,X,O,X,X,O,X,X,X,X,O,O,X,X
IZJOSLT,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IZSTLJO,O,X,O,X,O,X,X,X,X,X,O,X,X,X
IZSTLOJ,O,X,O,X,O,X,X,X,X,O,X,X,X,O
IZSTJLO,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IZSTJOL,X,X,O,X,X,X,O,O,X,O,O,X,X,O
IZSTOLJ,O,X,X,X,X,X,X,X,X,O,X,X,X,O
IZSTOJL,X,X,X,X,X,X,O,O,X,O,O,X,X,O
IZSLTJO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IZSLTOJ,O,X,O,X,O,O,X,X,X,X,X,X,X,O
IZSLJTO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IZSLJOT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IZSLOTJ,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IZSLOJT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IZSJTLO,X,X,O,X,X,O,X,X,X,X,O,X,X,X
IZSJTOL,X,X,O,X,X,O,O,X,X,X,O,X,X,O
IZSJLTO,X,X,O,X,X,O,X,X,X,X,O,X,X,X
IZSJLOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSJOTL,X,X,O,X,X,O,X,O,X,X,O,X,X,X
IZSJOLT,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IZSOTLJ,X,X,O,X,X,X,X,X,X,O,X,X,X,O
IZSOTJL,X,X,X,X,X,X,X,O,X,O,X,X,X,O
IZSOLTJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSOLJT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSOJTL,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IZSOJLT,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IZOTLJS,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOTLSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,O
IZOTJLS,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOTJSL,X,X,O,X,X,X,X,X,X,X,O,O,X,O
IZOTSLJ,X,O,O,X,O,X,X,X,X,X,X,X,X,O
IZOTSJL,X,X,O,X,X,X,X,X,X,X,O,X,X,O
IZOLTJS,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOLTSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOLJTS,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOLJST,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOLSTJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOLSJT,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOJTLS,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOJTSL,X,O,O,X,X,X,X,X,X,X,O,O,X,X
IZOJLTS,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOJLST,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOJSTL,X,X,O,X,X,X,X,X,X,X,O,O,X,X
IZOJSLT,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IZOSTLJ,X,X,O,X,O,X,X,X,X,X,X,X,X,O
IZOSTJL,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IZOSLTJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOSLJT,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOSJTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOSJLT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTLJSZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X
IOTLJZS,O,O,O,X,O,X,X,X,X,X,X,X,X,X
IOTLSJZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X
IOTLSZJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTLZJS,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTLZSJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTJLSZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOTJLZS,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOTJSLZ,X,O,O,X,O,X,X,O,X,X,X,X,X,X
IOTJSZL,X,O,O,X,X,X,X,O,O,X,X,X,X,X
IOTJZLS,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOTJZSL,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOTSLJZ,O,O,O,X,O,X,X,O,X,X,X,X,X,X
IOTSLZJ,O,O,X,X,O,X,X,X,X,O,X,X,X,X
IOTSJLZ,X,O,O,X,O,X,X,O,X,X,X,X,X,X
IOTSJZL,X,O,O,X,X,X,X,O,O,O,X,X,X,X
IOTSZLJ,O,O,O,X,O,X,X,X,X,O,X,X,X,X
IOTSZJL,X,X,O,X,X,X,X,O,O,O,X,X,X,X
IOTZLJS,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTZLSJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X
IOTZJLS,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOTZJSL,X,O,O,X,X,X,X,X,X,X,O,X,X,X
IOTZSLJ,O,O,O,X,O,X,X,X,X,O,X,X,X,X
IOTZSJL,X,O,O,X,X,X,X,X,X,O,O,X,X,X
IOLTJSZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
IOLTJZS,O,O,O,O,O,O,X,X,X,X,X,X,X,X
IOLTSJZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X
IOLTSZJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOLTZJS,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOLTZSJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOLJTSZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X
IOLJTZS,O,O,O,O,O,O,X,X,X,X,X,X,X,X
IOLJSTZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOLJSZT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
IOLJZTS,X,X,O,O,O,O,X,X,X,X,X,X,X,X
IOLJZST,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IOLSTJZ,O,X,O,X,O,O,X,X,X,X,X,X,X,X
IOLSTZJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOLSJTZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOLSJZT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
IOLSZTJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOLSZJT,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLZTJS,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLZTSJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLZJTS,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOLZJST,O,O,X,O,O,X,X,X,X,X,X,X,X,X
IOLZSTJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLZSJT,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJTLSZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
IOJTLZS,X,O,O,X,O,O,X,X,X,X,X,X,X,X
IOJTSLZ,X,O,O,X,O,O,X,O,X,X,X,X,X,X
IOJTSZL,X,O,O,X,X,O,X,O,O,X,X,X,X,X
IOJTZLS,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IOJTZSL,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IOJLTSZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
IOJLTZS,X,O,O,O,O,O,X,X,X,X,X,X,X,X
IOJLSTZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOJLSZT,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IOJLZTS,X,X,O,O,O,O,X,X,X,X,X,X,X,X
IOJLZST,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IOJSTLZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
IOJSTZL,X,O,O,X,X,O,X,O,X,X,X,X,X,X
IOJSLTZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOJSLZT,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IOJSZTL,X,X,O,X,X,O,X,O,O,X,X,X,X,X
IOJSZLT,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IOJZTLS,X,X,O,O,X,O,X,X,X,X,X,X,X,X
IOJZTSL,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IOJZLTS,X,X,O,O,X,O,X,X,X,X,X,X,X,X
IOJZLST,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOJZSTL,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IOJZSLT,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOSTLJZ,O,O,O,X,O,X,X,O,X,X,X,X,X,X
IOSTLZJ,O,O,X,X,O,X,X,X,X,O,X,X,X,X
IOSTJLZ,X,O,O,X,O,X,X,O,X,X,X,X,X,X
IOSTJZL,X,X,O,X,X,X,X,O,O,O,X,X,X,X
IOSTZLJ,O,O,O,X,O,X,X,X,X,O,X,X,X,X
IOSTZJL,X,X,O,X,X,X,X,O,O,O,X,X,X,X
IOSLTJZ,X,X,O,X,O,O,X,O,X,X,X,X,X,X
IOSLTZJ,O,X,X,X,O,O,X,X,X,O,X,X,X,X
IOSLJTZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOSLJZT,O,X,O,X,O,X,X,O,X,X,X,X,X,X
IOSLZTJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOSLZJT,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSJTLZ,X,O,O,X,O,O,X,O,X,X,X,X,X,X
IOSJTZL,X,O,O,X,X,O,X,O,X,O,X,X,X,X
IOSJLTZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOSJLZT,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IOSJZTL,X,X,O,X,X,O,X,O,O,X,X,X,X,X
IOSJZLT,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IOSZTLJ,X,X,O,X,O,X,X,X,X,O,X,X,X,X
IOSZTJL,X,X,O,X,X,X,X,O,X,O,X,X,X,X
IOSZLTJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOSZLJT,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOSZJTL,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IOSZJLT,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IOZTLJS,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOZTLSJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOZTJLS,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOZTJSL,X,O,O,X,X,X,X,X,X,X,O,X,X,X
IOZTSLJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOZTSJL,X,O,O,X,X,X,X,X,X,X,O,X,X,X
IOZLTJS,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOZLTSJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOZLJTS,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOZLJST,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOZLSTJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOZLSJT,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOZJTLS,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZJTSL,X,O,O,X,X,X,X,X,X,X,O,X,X,X
IOZJLTS,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZJLST,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOZJSTL,X,O,O,X,X,X,X,X,X,X,O,X,X,X
IOZJSLT,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOZSTLJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOZSTJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZSLTJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOZSLJT,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOZSJTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOZSJLT,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTIJSZO,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LTIJSOZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X
LTIJZSO,O,X,X,O,O,O,X,X,X,X,X,X,X,X
LTIJZOS,O,X,X,O,O,O,X,X,X,X,X,X,X,X
LTIJOSZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIJOZS,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTISJZO,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LTISJOZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X
LTISZJO,O,O,X,X,O,O,X,X,X,X,X,X,O,X
LTISZOJ,O,O,X,X,O,O,X,X,X,O,X,X,O,X
LTISOJZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
LTISOZJ,O,O,X,X,O,O,X,X,X,O,X,X,O,X
LTIZJSO,O,X,X,X,O,O,X,X,X,X,O,X,X,X
LTIZJOS,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LTIZSJO,O,X,X,X,O,O,X,X,X,X,O,X,X,X
LTIZSOJ,O,X,X,X,O,O,X,X,X,O,X,X,X,X
LTIZOJS,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LTIZOSJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LTIOJSZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LTIOJZS,O,X,X,O,O,O,X,X,X,X,X,X,X,X
LTIOSJZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LTIOSZJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LTIOZJS,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LTIOZSJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LTJISZO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTJISOZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
LTJIZSO,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTJIZOS,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTJIOSZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTJIOZS,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTJSIZO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTJSIOZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
LTJSZIO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTJSZOI,O,O,X,X,X,O,X,X,O,X,X,O,X,X
LTJSOIZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
LTJSOZI,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTJZISO,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LTJZIOS,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTJZSIO,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LTJZSOI,O,O,X,O,X,O,X,X,X,X,X,O,X,X
LTJZOIS,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTJZOSI,O,O,X,O,X,O,X,X,X,X,X,O,X,X
LTJOISZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTJOIZS,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LTJOSIZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTJOSZI,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTJOZIS,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LTJOZSI,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LTSIJZO,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LTSIJOZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X
LTSIZJO,O,O,X,X,O,O,X,X,X,X,X,X,O,X
LTSIZOJ,O,O,X,X,O,O,X,X,X,O,X,X,O,X
LTSIOJZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
LTSIOZJ,O,O,X,X,O,O,X,X,X,O,X,X,O,X
LTSJIZO,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LTSJIOZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
LTSJZIO,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LTSJZOI,O,O,X,X,O,O,X,X,O,X,X,X,X,X
LTSJOIZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
LTSJOZI,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTSZIJO,O,O,X,X,O,O,X,X,X,X,O,X,X,X
LTSZIOJ,O,O,X,X,O,O,X,X,X,O,X,X,X,O
LTSZJIO,O,O,X,X,O,O,X,X,X,X,O,X,X,X
LTSZJOI,O,O,X,X,O,O,O,X,O,X,X,X,X,X
LTSZOIJ,O,O,X,X,O,O,X,X,X,O,X,X,X,X
LTSZOJI,O,O,X,X,O,O,O,X,O,X,X,X,X,X
LTSOIJZ,O,O,X,X,O,O,X,O,X,X,X,X,X,X
LTSOIZJ,O,O,X,X,O,O,X,X,X,O,X,X,O,X
LTSOJIZ,O,O,X,X,O,O,X,O,X,X,X,X,X,X
LTSOJZI,O,O,X,X,O,O,X,X,O,X,X,X,X,X
LTSOZIJ,O,O,X,X,O,O,X,X,X,O,X,X,X,X
LTSOZJI,O,O,X,X,O,O,O,X,O,X,X,X,X,X
LTZIJSO,O,O,X,O,O,O,X,X,X,X,O,X,X,X
LTZIJOS,O,X,X,O,O,O,X,X,X,X,X,X,X,X
LTZISJO,O,O,X,X,O,O,X,X,X,X,O,X,X,X
LTZISOJ,O,O,X,X,O,O,X,X,X,O,X,X,X,O
LTZIOJS,O,X,X,O,O,O,X,X,X,X,X,X,X,X
LTZIOSJ,O,X,X,X,O,O,X,X,X,X,X,X,X,O
LTZJISO,O,O,X,O,O,O,X,X,X,X,O,X,X,X
LTZJIOS,O,X,X,O,O,O,O,X,X,X,X,X,X,X
LTZJSIO,O,O,X,O,O,O,X,X,X,X,O,X,X,X
LTZJSOI,O,O,X,O,O,O,O,X,X,X,X,O,X,X
LTZJOIS,O,X,X,O,O,O,O,X,X,X,X,X,X,X
LTZJOSI,O,O,X,O,O,O,O,X,X,X,X,O,X,X
LTZSIJO,O,O,X,X,O,O,X,X,X,X,O,X,X,X
LTZSIOJ,O,O,X,X,O,O,X,X,X,O,X,X,X,O
LTZSJIO,O,O,X,O,O,O,X,X,X,X,O,X,X,X
LTZSJOI,O,O,X,O,O,O,O,X,X,X,X,X,X,X
LTZSOIJ,O,O,X,X,O,O,X,X,X,O,X,X,X,X
LTZSOJI,O,O,X,O,O,O,O,X,X,X,X,X,X,X
LTZOIJS,O,X,X,O,O,O,X,X,X,X,X,X,X,X
LTZOISJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LTZOJIS,O,X,X,O,O,O,O,X,X,X,X,X,X,X
LTZOJSI,O,O,X,O,O,O,O,X,X,X,X,O,X,X
LTZOSIJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LTZOSJI,O,O,X,O,O,O,O,X,X,X,X,X,X,X
LTOIJSZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LTOIJZS,O,O,X,O,O,O,X,X,X,X,X,X,X,X
LTOISJZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LTOISZJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LTOIZJS,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LTOIZSJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LTOJISZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LTOJIZS,O,O,X,O,O,O,X,X,X,X,X,X,X,X
LTOJSIZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LTOJSZI,O,O,X,X,O,O,X,X,O,X,X,X,X,X
LTOJZIS,O,O,X,O,O,O,X,X,X,X,X,X,X,X
LTOJZSI,O,O,X,O,O,O,X,X,X,X,X,X,X,X
LTOSIJZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LTOSIZJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LTOSJIZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LTOSJZI,O,O,X,X,O,O,X,X,O,X,X,X,X,X
LTOSZIJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LTOSZJI,O,O,X,X,O,O,O,X,O,X,X,X,X,X
LTOZIJS,O,O,X,O,O,O,X,X,X,X,X,X,X,X
LTOZISJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LTOZJIS,O,O,X,O,O,O,O,X,X,X,X,X,X,X
LTOZJSI,O,O,X,O,O,O,O,X,X,X,X,X,X,X
LTOZSIJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LTOZSJI,O,O,X,O,O,O,O,X,X,X,X,X,X,X
LITJSZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X
LITJSOZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X
LITJZSO,O,X,O,O,O,O,X,X,X,X,X,X,X,X
LITJZOS,O,X,O,O,O,O,X,X,X,X,X,X,X,X
LITJOSZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LITJOZS,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LITSJZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X
LITSJOZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X
LITSZJO,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LITSZOJ,O,O,X,X,O,O,X,X,X,O,X,X,X,X
LITSOJZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
LITSOZJ,O,O,X,X,O,O,X,X,X,O,X,X,X,X
LITZJSO,O,X,X,X,O,O,X,X,X,X,O,X,X,X
LITZJOS,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LITZSJO,O,X,X,X,O,O,X,X,X,X,O,X,X,X
LITZSOJ,O,X,X,X,O,O,X,X,X,O,X,X,X,X
LITZOJS,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LITZOSJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LITOJSZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LITOJZS,O,X,X,O,O,O,X,X,X,X,X,X,X,X
LITOSJZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LITOSZJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
LITOZJS,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LITOZSJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LIJTSZO,O,O,O,X,O,O,X,X,X,X,X,X,X,X
LIJTSOZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
LIJTZSO,O,X,O,O,O,O,X,X,X,X,X,X,X,X
LIJTZOS,O,X,O,O,O,O,X,X,X,X,X,X,X,X
LIJTOSZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LIJTOZS,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LIJSTZO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
LIJSTOZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LIJSZTO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
LIJSZOT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LIJSOTZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LIJSOZT,O,X,X,O,X,X,X,O,X,X,X,X,X,X
LIJZTSO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
LIJZTOS,X,X,O,O,O,O,X,X,X,X,X,X,X,X
LIJZSTO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
LIJZSOT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
LIJZOTS,X,X,O,O,O,O,X,X,X,X,X,X,X,X
LIJZOST,O,X,O,O,O,X,X,X,X,X,X,X,X,X
