sequence,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8JeR7IvhF3cBGeB?CgB8mBziBlsB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8Jeu/IvhF3bBRdB?cjB6mBTiBlsB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8JeR7IvhF3cBGeB?CgBliBzmB8sB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8Jeu/IvhF3bB1hB?xdBCjBzmB8sB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8JeR7IvhFGdBTeB?CgBlhBXnB8sB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8JeR7IvhFFdBTeB?CgB0hBfoBGsB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8Jeu/IvhF1gBxcB?TeBCiBXnB8sB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8JeR7IvhFTeBCgB?foBUnBlmBGsB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8Jeu/IvhF3bBTeB?xhBCnB8sBFsB
TZISJOL,O,O,O,O,O,O,O,X,O
TZISOLJ,O,O,X,X,O,O,O,X,X
TZISOJL,O,O,O,O,O,O,O,X,O
TZIOLJS,O,O,X,X,O,X,O,X,X
TZIOLSJ,O,O,X,X,O,X,X,X,X
TZIOJLS,O,O,X,X,O,X,O,X,X
TZIOJSL,O,O,X,O,O,O,O,X,O
TZIOSLJ,O,O,X,X,X,O,O,X,X
TZIOSJL,O,O,X,O,O,O,O,X,O
TZLIJSO,O,O,O,O,O,O,X,X,O
TZLIJOS,O,O,O,O,O,O,O,X,O
TZLISJO,O,O,O,O,O,O,X,O,O
TZLISOJ,O,O,O,O,O,O,X,O,O
TZLIOJS,O,O,O,O,O,O,O,X,O
TZLIOSJ,O,O,O,O,O,O,X,X,O
TZLJISO,O,O,O,O,O,O,X,X,O
TZLJIOS,O,O,O,O,O,O,O,X,O
TZLJSIO,O,O,O,O,O,O,O,X,O
TZLJSOI,O,O,O,O,O,O,O,X,O
TZLJOIS,O,O,O,O,O,O,O,X,O
TZLJOSI,O,O,O,O,O,O,O,X,O
TZLSIJO,O,O,O,O,O,O,O,O,O
TZLSIOJ,O,O,O,O,O,O,O,O,O
TZLSJIO,O,O,O,O,O,O,O,O,O
TZLSJOI,O,O,O,O,O,O,O,O,O
TZLSOIJ,O,O,O,O,O,O,O,O,O
TZLSOJI,O,O,O,O,O,O,O,O,O
TZLOIJS,O,O,O,O,O,O,O,X,O
TZLOISJ,O,O,O,O,O,O,X,X,O
TZLOJIS,O,O,O,O,O,O,O,X,O
TZLOJSI,O,O,O,O,O,O,O,X,O
TZLOSIJ,O,O,O,O,O,O,O,X,O
TZLOSJI,O,O,O,O,O,O,O,X,O
TZJILSO,O,O,O,O,O,O,X,X,X
TZJILOS,O,O,O,O,O,O,O,X,X
TZJISLO,O,O,O,O,X,O,O,X,X
TZJISOL,O,O,O,O,O,O,O,X,O
TZJIOLS,X,O,X,X,O,X,O,X,X
TZJIOSL,X,O,X,O,O,O,O,X,O
TZJLISO,O,O,O,O,O,O,X,X,O
TZJLIOS,O,O,O,O,O,O,O,X,O
TZJLSIO,O,O,O,O,O,O,O,X,O
TZJLSOI,O,O,O,O,O,O,O,X,O
TZJLOIS,O,O,O,O,O,O,O,X,O
TZJLOSI,O,O,O,O,O,O,O,X,O
TZJSILO,O,O,O,O,X,O,O,X,X
TZJSIOL,O,O,O,O,O,O,O,X,O
TZJSLIO,O,O,O,O,O,O,O,X,O
TZJSLOI,O,O,O,O,O,O,O,X,O
TZJSOIL,O,O,O,O,O,O,O,X,O
TZJSOLI,O,O,O,O,O,O,O,X,O
TZJOILS,O,O,X,O,O,X,O,X,X
TZJOISL,O,O,X,O,O,O,O,X,O
TZJOLIS,O,O,O,O,O,O,O,X,O
TZJOLSI,O,O,O,O,O,O,O,X,O
TZJOSIL,O,O,O,O,O,O,O,X,O
TZJOSLI,O,O,O,O,O,O,O,X,O
TZSILJO,O,O,O,O,O,O,O,X,X
TZSILOJ,O,X,O,O,O,O,O,X,X
TZSIJLO,O,O,O,O,O,O,O,X,X
TZSIJOL,O,O,O,O,O,O,O,X,O
TZSIOLJ,O,O,X,X,O,O,O,X,X
TZSIOJL,O,O,O,O,O,O,O,X,O
TZSLIJO,O,O,O,O,O,O,O,O,O
TZSLIOJ,O,O,O,O,O,O,O,O,O
TZSLJIO,O,O,O,O,O,O,O,O,O
TZSLJOI,O,O,O,O,O,O,O,O,O
TZSLOIJ,O,O,O,O,O,O,O,O,O
TZSLOJI,O,O,O,O,O,O,O,O,O
TZSJILO,O,O,O,O,O,O,O,X,X
TZSJIOL,O,O,O,O,O,O,O,X,O
TZSJLIO,O,O,O,O,O,O,O,X,O
TZSJLOI,O,O,O,O,O,O,O,X,O
TZSJOIL,O,O,O,O,O,O,O,X,O
TZSJOLI,O,O,O,O,O,O,O,X,O
TZSOILJ,O,O,X,O,O,O,O,X,X
TZSOIJL,O,O,O,O,O,O,O,X,O
TZSOLIJ,O,O,O,O,O,O,O,O,O
TZSOLJI,O,O,O,O,O,O,O,O,O
TZSOJIL,O,O,O,O,O,O,O,X,O
TZSOJLI,O,O,O,O,O,O,O,X,O
TZOILJS,O,O,O,O,O,X,O,X,X
TZOILSJ,O,O,O,O,O,X,X,X,X
TZOIJLS,O,O,O,O,O,X,O,X,X
TZOIJSL,O,O,O,O,O,O,O,X,O
TZOISLJ,O,O,O,O,X,O,O,X,X
TZOISJL,O,O,O,O,O,O,O,X,O
TZOLIJS,O,O,O,O,O,O,O,X,O
TZOLISJ,O,O,O,O,O,O,X,X,O
TZOLJIS,O,O,O,O,O,O,O,X,O
TZOLJSI,O,O,O,O,O,O,O,X,O
TZOLSIJ,O,O,O,O,O,O,O,X,O
TZOLSJI,O,O,O,O,O,O,O,X,O
TZOJILS,O,O,O,O,O,X,O,X,X
TZOJISL,O,O,O,O,O,O,O,X,O
TZOJLIS,O,O,O,O,O,O,O,X,O
TZOJLSI,O,O,O,O,O,O,O,X,O
TZOJSIL,O,O,O,O,O,O,O,X,O
TZOJSLI,O,O,O,O,O,O,O,X,O
TZOSILJ,O,O,O,O,O,O,O,X,X
TZOSIJL,O,O,O,O,O,O,O,X,O
TZOSLIJ,O,O,O,O,O,O,O,X,O
TZOSLJI,O,O,O,O,O,O,O,X,O
TZOSJIL,O,O,O,O,O,O,O,X,O
TZOSJLI,O,O,O,O,O,O,O,X,O
TOILJSZ,O,O,X,O,O,X,X,X,X
TOILJZS,O,O,X,X,O,X,O,X,X
TOILSJZ,O,O,X,O,O,X,X,X,X
TOILSZJ,O,O,X,X,X,X,X,X,X
TOILZJS,O,O,X,X,O,X,X,X,X
TOILZSJ,O,O,X,X,X,X,X,X,X
TOIJLSZ,O,O,X,O,O,X,X,X,X
TOIJLZS,O,O,X,X,O,X,O,X,X
TOIJSLZ,X,X,X,O,O,X,X,X,X
TOIJSZL,X,O,X,O,X,X,O,X,O
TOIJZLS,O,O,X,O,O,X,O,X,X
TOIJZSL,O,O,X,O,X,X,O,X,X
TOISLJZ,X,X,X,O,X,X,X,X,X
TOISLZJ,X,X,X,X,X,X,X,X,X
TOISJLZ,X,X,X,O,O,X,X,X,X
TOISJZL,X,O,X,O,X,X,O,X,O
TOISZLJ,X,O,X,O,O,X,X,X,X
TOISZJL,X,O,X,O,O,X,X,X,X
TOIZLJS,O,O,X,O,O,X,O,X,X
TOIZLSJ,O,O,X,O,X,X,X,X,X
TOIZJLS,O,O,X,O,O,X,O,X,X
TOIZJSL,O,O,X,O,O,X,O,X,X
TOIZSLJ,O,O,X,O,X,X,O,X,X
TOIZSJL,O,O,X,O,O,X,O,X,X
TOLIJSZ,O,O,O,O,O,X,X,X,X
TOLIJZS,O,O,X,X,O,X,O,X,X
TOLISJZ,O,O,O,O,O,O,X,X,X
TOLISZJ,O,O,O,X,O,O,X,O,X
TOLIZJS,O,O,O,X,O,X,X,X,X
TOLIZSJ,O,O,O,X,O,O,X,X,X
TOLJISZ,O,O,O,O,O,X,X,X,X
TOLJIZS,O,O,X,X,O,X,O,X,X
TOLJSIZ,O,O,O,O,O,X,X,X,X
TOLJSZI,O,O,X,O,X,X,X,X,X
TOLJZIS,O,O,X,O,O,X,O,X,X
TOLJZSI,O,O,X,O,X,X,O,X,X
TOLSIJZ,O,O,O,O,O,O,X,X,X
TOLSIZJ,O,O,O,X,O,O,X,O,X
TOLSJIZ,O,O,O,O,O,O,X,X,X
TOLSJZI,O,O,X,O,X,O,X,X,X
TOLSZIJ,O,O,O,O,O,O,X,O,X
TOLSZJI,O,O,O,O,O,O,X,O,X
TOLZIJS,O,O,O,O,O,X,O,X,X
TOLZISJ,O,O,O,O,O,O,X,X,X
TOLZJIS,O,O,O,O,O,X,O,X,X
TOLZJSI,O,O,O,O,O,X,O,X,X
TOLZSIJ,O,O,O,O,O,O,O,X,X
TOLZSJI,O,O,O,O,O,O,O,X,X
TOJILSZ,O,O,X,O,O,X,X,X,X
TOJILZS,O,O,X,X,O,X,O,X,X
TOJISLZ,X,X,X,O,O,X,X,X,X
TOJISZL,X,O,X,O,X,X,O,X,O
TOJIZLS,O,O,X,O,O,X,O,X,X
TOJIZSL,O,O,X,O,X,X,O,X,X
TOJLISZ,O,O,O,O,O,X,X,X,X
TOJLIZS,O,O,X,X,O,X,O,X,X
TOJLSIZ,O,O,O,O,O,X,X,X,X
TOJLSZI,O,O,X,O,X,X,X,X,X
TOJLZIS,O,O,X,O,O,X,O,X,X
TOJLZSI,O,O,X,O,X,X,O,X,X
TOJSILZ,X,X,O,O,O,X,X,X,X
TOJSIZL,X,O,O,O,X,X,O,X,O
TOJSLIZ,O,O,O,O,O,X,X,X,X
TOJSLZI,O,O,X,O,X,X,X,X,X
TOJSZIL,O,O,X,O,X,X,O,X,O
TOJSZLI,O,O,X,O,X,X,O,X,O
TOJZILS,O,O,X,O,O,X,O,X,X
TOJZISL,O,O,X,O,X,X,O,X,O
TOJZLIS,O,O,X,O,O,X,O,X,O
TOJZLSI,O,O,X,O,X,X,O,X,O
TOJZSIL,O,O,X,O,X,X,O,X,O
TOJZSLI,O,O,X,O,X,X,O,X,O
TOSILJZ,X,X,X,O,X,O,X,X,X
TOSILZJ,X,X,X,X,X,O,X,X,X
TOSIJLZ,X,X,O,O,O,X,X,X,X
TOSIJZL,X,O,O,O,X,X,O,X,O
TOSIZLJ,X,O,O,O,O,X,X,X,X
TOSIZJL,X,O,O,O,O,X,X,X,X
TOSLIJZ,O,O,O,O,O,O,X,X,X
TOSLIZJ,O,O,O,X,O,O,X,O,X
TOSLJIZ,O,O,O,O,O,O,X,X,X
TOSLJZI,O,O,X,O,X,O,X,X,X
TOSLZIJ,O,O,O,O,O,O,X,O,X
TOSLZJI,O,O,O,O,O,O,X,O,X
TOSJILZ,X,X,O,O,O,O,X,X,X
TOSJIZL,X,O,O,O,X,X,O,X,O
TOSJLIZ,O,O,O,O,O,O,X,X,X
TOSJLZI,O,O,X,O,X,O,X,X,X
TOSJZIL,O,O,X,O,X,O,O,X,O
TOSJZLI,O,O,X,O,X,O,O,X,O
TOSZILJ,O,O,O,O,O,O,O,X,X
TOSZIJL,O,O,O,O,O,O,O,X,O
TOSZLIJ,O,O,O,O,O,O,O,O,O
TOSZLJI,O,O,O,O,O,O,O,O,O
TOSZJIL,O,O,O,O,O,O,O,X,O
TOSZJLI,O,O,O,O,O,O,O,X,O
TOZILJS,O,O,O,O,O,X,O,X,X
TOZILSJ,O,O,O,O,O,X,X,X,X
TOZIJLS,O,O,O,O,O,X,O,X,X
TOZIJSL,O,O,O,O,O,X,O,X,O
TOZISLJ,O,O,O,O,X,O,O,X,X
TOZISJL,O,O,O,O,O,O,O,X,O
TOZLIJS,O,O,O,O,O,X,O,X,O
TOZLISJ,O,O,O,O,O,O,X,X,O
TOZLJIS,O,O,O,O,O,X,O,X,O
TOZLJSI,O,O,O,O,O,X,O,X,O
TOZLSIJ,O,O,O,O,O,O,O,X,O
TOZLSJI,O,O,O,O,O,O,O,X,O
TOZJILS,O,O,O,O,O,X,O,X,X
TOZJISL,O,O,O,O,O,X,O,X,O
TOZJLIS,O,O,O,O,O,X,O,X,O
TOZJLSI,O,O,O,O,O,X,O,X,O
TOZJSIL,O,O,O,O,O,X,O,X,O
TOZJSLI,O,O,O,O,O,X,O,X,O
TOZSILJ,O,O,O,O,O,O,O,X,X
TOZSIJL,O,O,O,O,O,O,O,X,O
TOZSLIJ,O,O,O,O,O,O,O,X,O
TOZSLJI,O,O,O,O,O,O,O,X,O
TOZSJIL,O,O,O,O,O,O,O,X,O
TOZSJLI,O,O,O,O,O,O,O,X,O
ITLJSZO,O,O,X,O,O,X,X,X,X
ITLJSOZ,O,O,X,O,O,X,X,X,X
ITLJZSO,O,O,X,X,O,X,X,X,X
ITLJZOS,O,O,X,X,O,X,O,X,X
ITLJOSZ,O,O,X,X,O,X,X,X,X
ITLJOZS,O,O,X,X,O,X,O,X,X
ITLSJZO,O,O,X,O,O,X,X,X,X
ITLSJOZ,O,O,X,O,O,X,X,X,X
ITLSZJO,O,O,X,X,O,X,X,X,X
ITLSZOJ,O,O,X,X,O,X,X,X,X
ITLSOJZ,O,O,X,X,O,X,X,X,X
ITLSOZJ,O,O,X,X,O,X,X,X,X
ITLZJSO,O,O,X,X,O,X,X,X,X
ITLZJOS,O,O,X,X,O,X,O,X,X
ITLZSJO,O,O,X,X,O,X,X,X,X
ITLZSOJ,O,O,X,X,O,X,X,X,X
ITLZOJS,O,O,X,X,O,X,O,X,X
ITLZOSJ,O,O,X,X,O,X,X,X,X
ITLOJSZ,O,O,X,X,O,X,X,X,X
ITLOJZS,O,O,X,X,O,X,O,X,X
ITLOSJZ,O,O,X,X,O,X,X,X,X
ITLOSZJ,O,O,X,X,O,X,X,X,X
ITLOZJS,O,O,X,X,O,X,X,X,X
ITLOZSJ,O,O,X,X,O,X,X,X,X
ITJLSZO,O,O,X,O,X,X,X,X,X
ITJLSOZ,O,O,X,O,O,X,X,X,X
ITJLZSO,O,O,X,X,X,X,X,X,X
ITJLZOS,O,O,X,X,O,X,O,X,X
ITJLOSZ,O,O,X,X,O,X,X,X,X
ITJLOZS,O,O,X,X,O,X,O,X,X
ITJSLZO,X,X,X,O,X,X,X,X,X
ITJSLOZ,X,X,X,O,X,X,X,X,X
ITJSZLO,X,O,X,O,O,X,X,X,X
ITJSZOL,X,O,X,O,O,X,O,X,X
ITJSOLZ,X,X,X,O,O,X,X,X,X
ITJSOZL,X,O,X,O,X,X,O,X,O
ITJZLSO,O,O,X,O,X,X,X,X,X
ITJZLOS,O,O,X,O,O,X,O,X,X
ITJZSLO,O,O,X,O,X,X,O,X,X
ITJZSOL,O,O,X,O,O,X,O,X,X
ITJZOLS,X,O,X,X,O,X,O,X,X
ITJZOSL,X,O,X,O,O,X,O,X,X
ITJOLSZ,O,O,X,O,O,X,X,X,X
ITJOLZS,O,O,X,X,O,X,O,X,X
ITJOSLZ,X,X,X,O,O,X,X,X,X
ITJOSZL,X,O,X,O,X,X,O,X,O
ITJOZLS,O,O,X,O,O,X,O,X,X
ITJOZSL,O,O,X,O,X,X,O,X,X
ITSLJZO,X,X,X,O,O,X,X,X,X
ITSLJOZ,X,X,X,O,X,X,X,X,X
ITSLZJO,X,X,X,X,O,X,X,X,X
ITSLZOJ,X,X,X,X,O,X,X,X,X
ITSLOJZ,X,X,X,X,X,X,X,X,X
ITSLOZJ,X,X,X,X,O,X,X,X,X
ITSJLZO,X,X,X,O,X,X,X,X,X
ITSJLOZ,X,X,X,O,X,X,X,X,X
ITSJZLO,X,O,X,O,O,X,X,X,X
ITSJZOL,X,O,X,O,O,X,O,X,X
ITSJOLZ,X,X,X,O,O,X,X,X,X
ITSJOZL,X,O,X,O,X,X,O,X,O
ITSZLJO,X,O,X,O,O,X,X,X,X
ITSZLOJ,X,X,X,O,O,X,X,X,X
ITSZJLO,X,O,X,O,O,X,X,X,X
ITSZJOL,X,O,X,O,O,X,O,X,X
ITSZOLJ,X,O,X,X,O,X,X,X,X
ITSZOJL,X,O,X,O,O,X,O,X,X
ITSOLJZ,X,X,X,O,X,X,X,X,X
ITSOLZJ,X,X,X,X,X,X,X,X,X
ITSOJLZ,X,X,X,O,O,X,X,X,X
ITSOJZL,X,O,X,O,X,X,O,X,O
ITSOZLJ,X,O,X,O,O,X,X,X,X
ITSOZJL,X,O,X,O,O,X,X,X,X
ITZLJSO,O,O,X,O,O,X,X,X,X
ITZLJOS,O,O,X,O,O,X,O,X,X
ITZLSJO,O,O,X,O,O,X,X,X,X
ITZLSOJ,O,O,X,O,O,X,X,X,X
ITZLOJS,O,O,X,O,O,X,O,X,X
ITZLOSJ,O,O,X,O,O,X,X,X,X
ITZJLSO,O,O,X,O,O,X,X,X,X
ITZJLOS,O,O,X,O,O,X,O,X,X
ITZJSLO,O,O,X,O,X,X,O,X,X
ITZJSOL,O,O,X,O,O,X,O,X,X
ITZJOLS,X,O,X,X,O,X,O,X,X
ITZJOSL,X,O,X,O,O,X,O,X,X
ITZSLJO,O,O,X,O,O,X,O,X,X
ITZSLOJ,O,X,X,O,O,X,O,X,X
ITZSJLO,O,O,X,O,O,X,O,X,X
ITZSJOL,O,O,X,O,O,X,O,X,X
ITZSOLJ,O,O,X,X,O,X,O,X,X
ITZSOJL,O,O,X,O,O,X,O,X,X
ITZOLJS,O,O,X,X,O,X,O,X,X
ITZOLSJ,O,O,X,X,O,X,X,X,X
ITZOJLS,O,O,X,X,O,X,O,X,X
ITZOJSL,O,O,X,O,O,X,O,X,X
ITZOSLJ,O,O,X,X,X,X,O,X,X
ITZOSJL,O,O,X,O,O,X,O,X,X
ITOLJSZ,O,O,X,O,O,X,X,X,X
ITOLJZS,O,O,X,X,O,X,O,X,X
ITOLSJZ,O,O,X,O,O,X,X,X,X
ITOLSZJ,O,O,X,X,X,X,X,X,X
ITOLZJS,O,O,X,X,O,X,X,X,X
ITOLZSJ,O,O,X,X,X,X,X,X,X
ITOJLSZ,O,O,X,O,O,X,X,X,X
ITOJLZS,O,O,X,X,O,X,O,X,X
ITOJSLZ,X,X,X,O,O,X,X,X,X
ITOJSZL,X,O,X,O,X,X,O,X,O
ITOJZLS,O,O,X,O,O,X,O,X,X
ITOJZSL,O,O,X,O,X,X,O,X,X
ITOSLJZ,X,X,X,O,X,X,X,X,X
ITOSLZJ,X,X,X,X,X,X,X,X,X
ITOSJLZ,X,X,X,O,O,X,X,X,X
ITOSJZL,X,O,X,O,X,X,O,X,O
ITOSZLJ,X,O,X,O,O,X,X,X,X
ITOSZJL,X,O,X,O,O,X,X,X,X
ITOZLJS,O,O,X,O,O,X,O,X,X
ITOZLSJ,O,O,X,O,X,X,X,X,X
ITOZJLS,O,O,X,O,O,X,O,X,X
ITOZJSL,O,O,X,O,O,X,O,X,X
ITOZSLJ,O,O,X,O,X,X,O,X,X
ITOZSJL,O,O,X,O,O,X,O,X,X
ILTJSZO,O,O,O,X,O,O,X,X,X
ILTJSOZ,O,O,O,X,O,O,X,X,X
ILTJZSO,O,O,O,X,O,O,X,X,X
ILTJZOS,O,O,O,X,O,O,X,X,X
ILTJOSZ,O,O,O,X,O,X,X,X,X
ILTJOZS,O,O,X,X,O,X,X,X,X
ILTSJZO,O,O,O,X,O,O,X,X,X
ILTSJOZ,O,O,O,X,O,O,X,X,X
ILTSZJO,O,O,O,X,O,O,X,O,X
ILTSZOJ,O,O,O,X,O,O,X,O,X
ILTSOJZ,O,O,O,X,O,O,X,X,X
ILTSOZJ,O,O,O,X,O,O,X,O,X
ILTZJSO,O,O,O,X,O,O,X,X,X
ILTZJOS,O,O,O,X,O,O,X,X,X
ILTZSJO,O,O,O,X,O,O,X,O,X
ILTZSOJ,O,O,O,X,O,O,X,O,X
ILTZOJS,O,O,O,X,O,O,X,X,X
ILTZOSJ,O,O,O,X,O,O,X,X,X
ILTOJSZ,O,O,O,X,O,X,X,X,X
ILTOJZS,O,O,X,X,O,X,X,X,X
ILTOSJZ,O,O,O,X,O,O,X,X,X
ILTOSZJ,O,O,O,X,O,O,X,O,X
ILTOZJS,O,O,O,X,O,X,X,X,X
ILTOZSJ,O,O,O,X,O,O,X,X,X
ILJTSZO,O,O,O,X,O,O,X,X,X
ILJTSOZ,O,O,O,X,O,O,X,X,X
ILJTZSO,O,O,O,X,O,O,X,X,X
ILJTZOS,O,O,O,X,O,O,X,X,X
ILJTOSZ,O,O,O,X,O,X,X,X,X
ILJTOZS,O,O,X,X,O,X,X,X,X
ILJSTZO,O,O,O,X,O,O,X,X,X
ILJSTOZ,O,O,O,X,X,O,X,X,X
ILJSZTO,O,O,O,X,X,O,X,O,X
ILJSZOT,O,O,O,X,X,O,X,O,X
ILJSOTZ,X,X,O,X,X,O,X,X,X
ILJSOZT,O,X,O,X,X,O,X,O,O
ILJZTSO,O,O,O,X,O,O,X,X,X
ILJZTOS,O,O,O,X,O,O,X,X,X
ILJZSTO,O,O,O,X,O,O,X,O,X
ILJZSOT,O,O,O,X,O,O,X,O,X
ILJZOTS,X,X,O,X,O,O,X,X,X
ILJZOST,O,O,O,X,O,O,X,X,X
ILJOTSZ,O,X,O,X,O,X,X,X,X
ILJOTZS,O,X,X,X,O,X,X,X,X
ILJOSTZ,X,X,O,X,X,O,X,X,X
ILJOSZT,O,X,O,X,X,O,X,O,O
ILJOZTS,X,X,O,X,O,O,X,X,X
ILJOZST,O,X,O,X,O,O,X,X,X
ILSTJZO,O,O,O,X,O,O,X,X,X
ILSTJOZ,O,O,O,X,O,O,X,X,X
ILSTZJO,O,O,O,X,O,O,X,O,X
ILSTZOJ,O,O,O,X,O,O,X,O,X
ILSTOJZ,O,O,O,X,O,O,X,X,X
ILSTOZJ,O,O,O,X,O,O,X,O,X
ILSJTZO,O,O,O,X,O,O,X,X,X
ILSJTOZ,O,O,O,X,X,O,X,X,X
ILSJZTO,O,O,O,X,X,O,X,O,X
ILSJZOT,O,O,O,X,X,O,X,O,X
ILSJOTZ,X,X,O,X,X,O,X,X,X
ILSJOZT,O,X,O,X,X,O,X,O,O
ILSZTJO,O,O,O,X,O,O,X,O,X
ILSZTOJ,O,O,O,X,O,O,X,O,X
ILSZJTO,O,O,O,X,O,O,X,O,X
ILSZJOT,O,O,O,X,O,O,X,O,X
ILSZOTJ,O,X,O,X,O,O,X,O,X
ILSZOJT,O,O,O,X,O,O,X,O,X
ILSOTJZ,X,X,O,X,O,O,X,X,X
ILSOTZJ,X,X,O,X,O,O,X,O,X
ILSOJTZ,X,X,O,X,X,O,X,X,X
ILSOJZT,O,X,O,X,X,O,X,O,O
ILSOZTJ,O,X,O,X,O,O,X,O,X
ILSOZJT,O,X,O,X,O,O,X,O,X
ILZTJSO,O,O,O,X,O,O,X,X,X
ILZTJOS,O,O,O,X,O,O,X,X,X
ILZTSJO,O,O,O,X,O,O,X,O,X
ILZTSOJ,O,O,O,X,O,O,X,O,X
ILZTOJS,O,O,O,X,O,O,X,X,X
ILZTOSJ,O,O,O,X,O,O,X,X,X
ILZJTSO,O,O,O,X,O,O,X,X,X
ILZJTOS,O,O,O,X,O,O,X,X,X
ILZJSTO,O,O,O,X,O,O,X,O,X
ILZJSOT,O,O,O,X,O,O,X,O,X
ILZJOTS,X,X,O,X,O,O,X,X,X
ILZJOST,O,O,O,X,O,O,X,X,X
ILZSTJO,O,O,O,X,O,O,X,O,X
ILZSTOJ,O,O,O,X,O,O,X,O,X
ILZSJTO,O,O,O,X,O,O,X,O,X
ILZSJOT,O,O,O,X,O,O,X,O,X
ILZSOTJ,O,X,O,X,O,O,X,O,X
ILZSOJT,O,O,O,X,O,O,X,O,X
ILZOTJS,O,X,O,X,O,O,X,X,X
ILZOTSJ,O,X,O,X,O,O,X,X,X
ILZOJTS,X,X,O,X,O,O,X,X,X
ILZOJST,O,O,O,X,O,O,X,X,X
ILZOSTJ,O,X,O,X,O,O,X,O,X
ILZOSJT,O,O,O,X,O,O,X,O,X
ILOTJSZ,O,X,O,X,O,X,X,X,X
ILOTJZS,O,X,X,X,O,X,X,X,X
ILOTSJZ,O,X,O,X,O,O,X,X,X
ILOTSZJ,O,X,O,X,O,O,X,O,X
ILOTZJS,O,X,O,X,O,X,X,X,X
ILOTZSJ,O,X,O,X,O,O,X,X,X
ILOJTSZ,O,X,O,X,O,X,X,X,X
ILOJTZS,O,X,X,X,O,X,X,X,X
ILOJSTZ,X,X,O,X,X,O,X,X,X
ILOJSZT,O,X,O,X,X,O,X,O,O
ILOJZTS,X,X,O,X,O,O,X,X,X
ILOJZST,O,X,O,X,O,O,X,X,X
ILOSTJZ,X,X,O,X,O,O,X,X,X
ILOSTZJ,X,X,O,X,O,O,X,O,X
ILOSJTZ,X,X,O,X,X,O,X,X,X
ILOSJZT,O,X,O,X,X,O,X,O,O
ILOSZTJ,O,X,O,X,O,O,X,O,X
ILOSZJT,O,X,O,X,O,O,X,O,X
ILOZTJS,O,X,O,X,O,O,X,X,X
ILOZTSJ,O,X,O,X,O,O,X,X,X
ILOZJTS,X,X,O,X,O,O,X,X,X
ILOZJST,O,X,O,X,O,O,X,X,X
ILOZSTJ,O,X,O,X,O,O,X,O,X
ILOZSJT,O,X,O,X,O,O,X,O,X
IJTLSZO,O,O,X,O,X,X,X,X,X
IJTLSOZ,O,O,X,O,X,X,X,X,X
IJTLZSO,O,O,X,X,X,X,X,X,X
IJTLZOS,O,O,X,X,X,X,O,X,X
IJTLOSZ,O,O,X,X,X,X,X,X,X
IJTLOZS,O,O,X,X,X,X,O,X,X
IJTSLZO,X,X,X,O,X,X,X,X,X
IJTSLOZ,X,X,X,O,X,X,X,X,X
IJTSZLO,X,O,X,O,X,X,X,X,X
IJTSZOL,X,O,X,O,X,X,O,X,X
IJTSOLZ,X,X,X,O,X,X,X,X,X
IJTSOZL,X,O,X,O,X,X,O,X,O
IJTZLSO,O,O,X,O,X,X,X,X,X
IJTZLOS,O,O,X,O,X,X,O,X,X
IJTZSLO,O,O,X,O,X,X,O,X,X
IJTZSOL,O,O,X,O,X,X,O,X,X
IJTZOLS,X,O,X,X,X,X,O,X,X
IJTZOSL,X,O,X,O,X,X,O,X,X
IJTOLSZ,O,O,X,O,X,X,X,X,X
IJTOLZS,O,O,X,X,X,X,O,X,X
IJTOSLZ,X,X,X,O,X,X,X,X,X
IJTOSZL,X,O,X,O,X,X,O,X,O
IJTOZLS,O,O,X,O,X,X,O,X,X
IJTOZSL,O,O,X,O,X,X,O,X,X
IJLTSZO,O,O,O,X,X,O,X,X,X
IJLTSOZ,O,O,O,X,X,O,X,X,X
IJLTZSO,O,O,O,X,X,O,X,X,X
IJLTZOS,O,O,O,X,X,O,X,X,X
IJLTOSZ,O,O,O,X,X,X,X,X,X
IJLTOZS,O,O,X,X,X,X,X,X,X
IJLSTZO,O,O,O,X,X,O,X,X,X
IJLSTOZ,O,O,O,X,X,O,X,X,X
IJLSZTO,O,O,O,X,X,O,X,X,X
IJLSZOT,O,O,O,X,X,O,X,X,X
IJLSOTZ,X,X,O,X,X,O,X,X,X
IJLSOZT,O,X,O,X,X,O,X,X,O
IJLZTSO,O,O,O,X,X,O,X,X,X
IJLZTOS,O,O,O,X,X,O,X,X,X
IJLZSTO,O,O,O,X,X,O,X,X,X
IJLZSOT,O,O,O,X,X,O,X,X,X
IJLZOTS,X,X,O,X,X,O,X,X,X
IJLZOST,O,O,O,X,X,O,X,X,X
IJLOTSZ,O,X,O,X,X,X,X,X,X
IJLOTZS,O,X,X,X,X,X,X,X,X
IJLOSTZ,X,X,O,X,X,O,X,X,X
IJLOSZT,O,X,O,X,X,O,X,X,O
IJLOZTS,X,X,O,X,X,O,X,X,X
IJLOZST,O,X,O,X,X,O,X,X,X
