sequence,v115@7gB8HeB8GeD8CeG8BeG8JeO/IvhFxbBTdB0hBfqBll?BCqB,v115@7gB8HeB8GeD8CeG8BeG8JeO/IvhFxbBTdBFgB0hBqp?B3qB,v115@7gB8HeB8GeD8CeG8BeG8Jex6IvhFygBGdBzhBlkB3l?B0pB,v115@7gB8HeB8GeD8CeG8BeG8JeT6IvhF2gBRcBciBSmBlk?BXqB,v115@7gB8HeB8GeD8CeG8BeG8JeR7IvhFqhBTdBmgBlkBcq?B/pB,v115@7gB8HeB8GeD8CeG8BeG8JeT6IvhFOgBxcBFhBXiB6p?BcqB,v115@7gB8HeB8GeD8CeG8BeG8Jem7IvhFqhBTdBxfBlkB3l?B0pB,v115@7gB8HeB8GeD8CeG8BeG8Jei6IvhFRcBciB3fBGhBll?BzpB,v115@7gB8HeB8GeD8CeG8BeG8Je2/IvhFCcBxhBXiB0kBll?BzpB,v115@7gB8HeB8GeD8CeG8BeG8JeO/IvhF8fBCcBxhBXiBll?BzpB,v115@7gB8HeB8GeD8CeG8BeG8JeR8IvhFciBFgBThBSqB/p?BmpB,v115@7gB8HeB8GeD8CeG8BeG8Je06IvhFShBTdB/kBeqBRr?BlqB,v115@7gB8HeB8GeD8CeG8BeG8Jem7IvhFSiBxfBzhBlkB3l?B0pB,v115@7gB8HeB8GeD8CeG8BeG8Jel7IvhFGdB/kBZlB8lBzm?B6pB
IZLSTOJ,O,O,X,O,X,O,X,O,X,X,O,X,X,O
IZLSJTO,X,O,X,O,X,O,X,O,X,X,X,X,X,X
IZLSJOT,O,O,X,O,X,O,X,O,X,X,X,X,X,X
IZLSOTJ,O,O,X,O,X,O,X,O,X,X,O,X,X,O
IZLSOJT,O,O,X,O,X,O,X,O,X,X,O,X,X,O
IZLOTJS,X,O,X,O,O,O,X,O,X,O,X,X,X,O
IZLOTSJ,X,O,X,O,X,O,X,O,X,X,O,X,X,O
IZLOJTS,X,O,X,O,O,O,X,X,X,O,X,X,X,O
IZLOJST,O,O,X,O,X,O,X,O,X,O,O,O,X,O
IZLOSTJ,O,O,X,O,X,O,X,O,X,X,O,X,X,O
IZLOSJT,O,O,X,O,X,O,X,O,X,O,O,X,X,O
IZJTLSO,X,X,X,X,O,O,X,O,O,X,X,X,X,X
IZJTLOS,X,X,X,O,O,O,X,X,O,X,X,X,X,X
IZJTSLO,O,X,X,X,X,O,X,O,O,X,X,X,X,X
IZJTSOL,O,X,X,O,X,O,X,O,X,X,X,X,X,O
IZJTOLS,X,O,X,O,O,O,X,X,O,X,X,X,X,O
IZJTOSL,O,X,X,O,X,X,X,O,X,X,X,X,X,O
IZJLTSO,X,O,X,O,O,O,X,O,X,X,X,X,X,X
IZJLTOS,X,O,X,O,O,O,X,X,X,X,X,X,X,X
IZJLSTO,X,O,X,O,X,O,X,O,X,X,X,O,X,X
IZJLSOT,X,O,X,O,X,O,X,O,X,X,X,O,X,X
IZJLOTS,X,O,X,O,O,O,X,X,X,X,X,X,X,X
IZJLOST,O,O,X,O,X,O,X,O,X,X,X,O,X,X
IZJSTLO,O,X,X,O,X,O,X,O,X,X,X,O,X,X
IZJSTOL,O,X,X,O,X,O,X,O,X,X,X,O,X,O
IZJSLTO,X,O,X,O,X,O,X,O,X,X,X,O,X,X
IZJSLOT,O,O,X,O,X,O,X,O,X,X,X,O,X,X
IZJSOTL,O,X,X,X,X,X,X,O,X,X,X,O,X,O
IZJSOLT,O,O,X,X,X,O,X,O,X,X,X,O,X,O
IZJOTLS,X,O,X,X,O,X,X,O,X,O,X,X,X,O
IZJOTSL,O,X,X,X,X,X,X,O,X,X,X,X,X,O
IZJOLTS,X,O,X,X,O,X,X,X,X,O,X,X,X,O
IZJOLST,O,O,X,X,X,X,X,O,X,O,O,O,X,O
IZJOSTL,O,X,X,X,X,X,X,O,X,X,X,O,X,O
IZJOSLT,O,O,X,X,X,X,X,O,X,O,X,O,X,O
IZSTLJO,O,O,X,O,X,O,X,O,O,X,X,X,X,X
IZSTLOJ,O,O,X,O,X,O,X,O,X,X,X,X,X,O
IZSTJLO,O,X,X,O,X,O,X,O,O,X,X,X,X,X
IZSTJOL,O,X,X,O,X,O,X,O,X,X,X,X,X,O
IZSTOLJ,O,O,X,O,X,O,X,O,X,X,X,X,X,O
IZSTOJL,O,X,X,O,X,O,X,X,X,X,X,X,X,O
IZSLTJO,O,O,X,O,X,O,X,O,X,X,X,X,X,X
IZSLTOJ,O,O,X,O,X,O,X,O,X,X,X,X,X,O
IZSLJTO,X,O,X,O,X,O,X,O,X,X,X,X,X,X
IZSLJOT,O,O,X,O,X,O,X,O,X,X,X,X,X,X
IZSLOTJ,O,O,X,O,X,O,X,O,X,X,X,X,X,O
IZSLOJT,O,O,X,O,X,O,X,O,X,X,X,X,X,O
IZSJTLO,O,X,X,O,X,O,X,O,X,X,X,X,X,X
IZSJTOL,O,X,X,O,X,O,X,O,X,X,X,X,X,O
IZSJLTO,X,O,X,O,X,O,X,O,X,X,X,X,X,X
IZSJLOT,O,O,X,O,X,O,X,O,X,X,X,X,X,X
IZSJOTL,O,X,X,X,X,X,X,O,X,X,X,X,X,O
IZSJOLT,O,O,X,X,X,O,X,O,X,X,X,X,X,O
IZSOTLJ,O,O,X,O,X,X,X,O,X,X,X,X,X,O
IZSOTJL,O,X,X,O,X,X,X,O,X,X,X,X,X,O
IZSOLTJ,O,O,X,O,X,O,X,O,X,X,O,X,X,O
IZSOLJT,O,O,X,O,X,O,X,O,X,X,O,X,X,O
IZSOJTL,O,X,X,X,X,X,X,O,X,X,X,X,X,O
IZSOJLT,O,O,X,X,X,O,X,O,X,X,X,X,X,O
IZOTLJS,X,O,X,O,O,X,X,O,O,O,X,X,X,O
IZOTLSJ,X,O,X,X,X,X,X,O,X,O,O,X,X,O
IZOTJLS,X,O,X,O,O,X,X,O,O,O,X,X,X,O
IZOTJSL,O,X,X,O,X,X,X,O,X,O,X,X,X,O
IZOTSLJ,O,O,X,X,X,X,X,O,X,O,X,X,X,O
IZOTSJL,O,X,X,O,X,X,X,O,X,O,X,X,X,O
IZOLTJS,X,O,X,O,O,X,X,O,X,O,X,X,X,O
IZOLTSJ,X,O,X,O,X,X,X,O,X,X,O,X,X,O
IZOLJTS,X,O,X,O,O,X,X,X,X,O,X,X,X,O
IZOLJST,O,O,X,O,X,X,X,O,X,O,O,O,X,O
IZOLSTJ,O,O,X,O,X,X,X,O,X,X,O,X,X,O
IZOLSJT,O,O,X,O,X,X,X,O,X,O,O,X,X,O
IZOJTLS,X,O,X,X,O,X,X,O,X,O,X,X,X,O
IZOJTSL,O,X,X,X,X,X,X,O,X,X,X,X,X,O
IZOJLTS,X,O,X,X,O,X,X,X,X,O,X,X,X,O
IZOJLST,O,O,X,X,X,X,X,O,X,O,O,O,X,O
IZOJSTL,O,X,X,X,X,X,X,O,X,X,X,O,X,O
IZOJSLT,O,O,X,X,X,X,X,O,X,O,X,O,X,O
IZOSTLJ,O,O,X,O,X,X,X,O,X,X,X,X,X,O
IZOSTJL,O,X,X,O,X,X,X,O,X,X,X,X,X,O
IZOSLTJ,O,O,X,O,X,X,X,O,X,X,O,X,X,O
IZOSLJT,O,O,X,O,X,X,X,O,X,O,O,X,X,O
IZOSJTL,O,X,X,X,X,X,X,O,X,X,X,X,X,O
IZOSJLT,O,O,X,X,X,X,X,O,X,O,X,X,X,O
IOTLJSZ,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IOTLJZS,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOTLSJZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTLSZJ,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IOTLZJS,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOTLZSJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTJLSZ,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IOTJLZS,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOTJSLZ,X,X,O,X,X,X,X,O,X,X,X,O,X,X
IOTJSZL,X,X,O,X,X,X,X,O,X,X,X,O,X,O
IOTJZLS,X,X,X,X,X,X,X,O,X,O,X,X,X,O
IOTJZSL,X,X,X,X,X,X,X,O,X,O,X,X,X,O
IOTSLJZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X
IOTSLZJ,X,X,O,X,X,X,O,O,X,O,X,X,X,X
IOTSJLZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X
IOTSJZL,X,X,O,X,X,X,X,O,X,X,X,X,X,O
IOTSZLJ,X,X,O,X,X,X,O,O,X,O,X,X,X,O
IOTSZJL,X,X,O,X,X,X,X,O,X,O,X,X,X,O
IOTZLJS,X,X,X,X,X,X,X,O,O,O,X,X,X,O
IOTZLSJ,X,X,X,X,X,X,X,O,X,O,X,X,X,O
IOTZJLS,X,X,X,X,X,X,X,O,O,O,X,X,X,O
IOTZJSL,X,X,X,X,X,X,X,O,X,O,X,X,X,O
IOTZSLJ,X,X,X,X,X,X,X,O,X,O,X,X,X,O
IOTZSJL,X,X,X,X,X,X,X,O,X,O,X,X,X,O
IOLTJSZ,X,O,X,X,X,X,X,X,O,X,X,O,X,X
IOLTJZS,X,O,X,X,X,X,X,X,O,O,X,X,X,X
IOLTSJZ,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLTSZJ,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IOLTZJS,X,O,X,X,X,X,X,X,O,O,X,X,X,X
IOLTZSJ,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IOLJTSZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IOLJTZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJSTZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IOLJSZT,X,X,X,X,X,X,X,X,X,X,X,O,X,O
IOLJZTS,X,O,X,X,O,X,X,X,X,O,X,X,X,O
IOLJZST,X,O,X,X,X,X,X,X,X,O,X,O,X,O
IOLSTJZ,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLSTZJ,X,O,X,X,X,X,O,X,X,X,O,X,X,X
IOLSJTZ,X,O,X,X,X,X,O,X,X,X,X,O,X,X
IOLSJZT,X,X,X,X,X,X,O,X,X,X,X,O,X,O
IOLSZTJ,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IOLSZJT,X,X,X,X,X,X,O,X,X,O,O,X,X,O
IOLZTJS,X,O,X,X,O,X,X,X,X,O,X,X,X,O
IOLZTSJ,X,O,X,X,X,X,X,X,X,X,O,X,X,O
IOLZJTS,X,O,X,X,O,X,X,X,X,O,X,X,X,O
IOLZJST,X,O,X,X,X,X,X,X,X,O,O,O,X,O
IOLZSTJ,X,O,X,X,X,X,X,X,X,X,O,X,X,O
IOLZSJT,X,O,X,X,X,X,X,X,X,O,O,X,X,O
IOJTLSZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOJTLZS,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJTSLZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IOJTSZL,X,X,O,X,X,X,X,X,X,X,X,O,X,O
IOJTZLS,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IOJTZSL,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IOJLTSZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IOJLTZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLSTZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IOJLSZT,X,X,X,X,X,X,X,X,X,X,X,O,X,O
IOJLZTS,X,O,X,X,O,X,X,X,X,O,X,X,X,O
IOJLZST,X,O,X,X,X,X,X,X,X,O,X,O,X,O
IOJSTLZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IOJSTZL,X,X,O,X,X,X,X,X,X,X,X,O,X,O
IOJSLTZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X
IOJSLZT,X,X,O,X,X,X,X,O,X,X,X,O,X,O
IOJSZTL,O,X,X,X,X,X,X,O,X,X,X,O,X,O
IOJSZLT,O,X,X,X,X,X,X,O,X,O,X,O,X,O
IOJZTLS,X,O,X,X,O,X,X,X,X,O,X,X,X,O
IOJZTSL,O,X,X,X,X,X,X,O,X,O,X,X,X,O
IOJZLTS,X,O,X,X,O,X,X,X,X,O,X,X,X,O
IOJZLST,O,O,X,X,X,X,X,O,X,O,X,O,X,O
IOJZSTL,O,X,X,X,X,X,X,O,X,X,X,O,X,O
IOJZSLT,O,O,X,X,X,X,X,O,X,O,X,O,X,O
IOSTLJZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X
IOSTLZJ,X,X,O,X,X,X,O,O,X,O,X,X,X,X
IOSTJLZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X
IOSTJZL,X,X,O,X,X,X,X,O,X,X,X,X,X,O
IOSTZLJ,X,X,O,X,X,X,O,O,X,O,X,X,X,O
IOSTZJL,X,X,O,X,X,X,X,O,X,O,X,X,X,O
IOSLTJZ,X,O,O,X,X,X,O,O,X,X,X,X,X,X
IOSLTZJ,X,O,O,X,X,X,O,O,X,X,X,X,X,X
IOSLJTZ,X,O,O,X,X,X,O,X,X,X,X,O,X,X
IOSLJZT,X,X,O,X,X,X,O,O,X,X,X,O,X,O
IOSLZTJ,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IOSLZJT,X,X,O,X,X,X,O,O,X,O,X,X,X,O
IOSJTLZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IOSJTZL,X,X,O,X,X,X,X,X,X,X,X,O,X,O
IOSJLTZ,X,O,O,X,X,X,O,X,X,X,X,O,X,X
IOSJLZT,X,X,O,X,X,X,O,O,X,X,X,O,X,O
IOSJZTL,O,X,X,X,X,X,X,O,X,X,X,O,X,O
IOSJZLT,O,X,X,X,X,X,X,O,X,O,X,O,X,O
IOSZTLJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O
IOSZTJL,O,X,X,X,X,X,X,O,X,X,X,X,X,O
IOSZLTJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O
IOSZLJT,O,X,X,X,X,X,O,O,X,O,X,X,X,O
IOSZJTL,O,X,X,X,X,X,X,O,X,X,X,X,X,O
IOSZJLT,O,X,X,X,X,X,X,O,X,O,X,X,X,O
IOZTLJS,X,O,X,X,O,X,X,O,O,O,X,X,X,O
IOZTLSJ,X,O,X,X,X,X,X,O,X,O,O,X,X,O
IOZTJLS,X,O,X,X,O,X,X,O,O,O,X,X,X,O
IOZTJSL,O,X,X,X,X,X,X,O,X,O,X,X,X,O
IOZTSLJ,O,O,X,X,X,X,X,O,X,O,X,X,X,O
IOZTSJL,O,X,X,X,X,X,X,O,X,O,X,X,X,O
IOZLTJS,X,O,X,X,O,X,X,O,X,O,X,X,X,O
IOZLTSJ,X,O,X,X,X,X,X,O,X,X,O,X,X,O
IOZLJTS,X,O,X,X,O,X,X,X,X,O,X,X,X,O
IOZLJST,O,O,X,X,X,X,X,O,X,O,O,O,X,O
IOZLSTJ,O,O,X,X,X,X,X,O,X,X,O,X,X,O
IOZLSJT,O,O,X,X,X,X,X,O,X,O,O,X,X,O
IOZJTLS,X,O,X,X,O,X,X,O,X,O,X,X,X,O
IOZJTSL,O,X,X,X,X,X,X,O,X,O,X,X,X,O
IOZJLTS,X,O,X,X,O,X,X,X,X,O,X,X,X,O
IOZJLST,O,O,X,X,X,X,X,O,X,O,O,O,X,O
IOZJSTL,O,X,X,X,X,X,X,O,X,X,X,O,X,O
IOZJSLT,O,O,X,X,X,X,X,O,X,O,X,O,X,O
IOZSTLJ,O,O,X,X,X,X,X,O,X,X,X,X,X,O
IOZSTJL,O,X,X,X,X,X,X,O,X,X,X,X,X,O
IOZSLTJ,O,O,X,X,X,X,X,O,X,X,O,X,X,O
IOZSLJT,O,O,X,X,X,X,X,O,X,O,O,X,X,O
IOZSJTL,O,X,X,X,X,X,X,O,X,X,X,X,X,O
IOZSJLT,O,O,X,X,X,X,X,O,X,O,X,X,X,O
LTIJSZO,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTIJSOZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTIJZSO,X,O,X,O,X,X,X,X,O,O,X,X,X,X
LTIJZOS,X,O,X,O,X,X,X,X,O,O,X,X,X,X
LTIJOSZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTIJOZS,X,O,X,O,X,X,X,X,O,X,X,X,X,X
LTISJZO,X,O,X,X,X,X,O,X,O,X,X,X,O,X
LTISJOZ,X,O,X,X,X,X,O,X,O,X,X,X,O,X
LTISZJO,X,O,X,X,X,X,O,X,O,O,X,X,O,X
LTISZOJ,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LTISOJZ,X,O,X,X,X,X,O,X,X,X,X,X,O,X
LTISOZJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTIZJSO,X,O,X,O,X,O,X,X,O,O,X,X,X,X
LTIZJOS,X,O,X,O,X,O,X,X,O,O,X,X,X,X
LTIZSJO,X,O,X,O,X,O,X,X,O,O,X,X,X,X
LTIZSOJ,X,O,X,O,X,O,X,X,X,X,X,X,X,X
LTIZOJS,X,O,X,O,X,O,X,X,O,O,X,X,X,X
LTIZOSJ,X,O,X,O,X,O,X,X,X,X,X,X,X,X
LTIOJSZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTIOJZS,X,O,X,O,X,X,X,X,O,X,X,X,X,X
LTIOSJZ,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LTIOSZJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTIOZJS,X,O,X,O,X,X,X,X,O,O,X,X,X,X
LTIOZSJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJISZO,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTJISOZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTJIZSO,X,O,X,O,X,X,X,X,O,O,X,X,X,X
LTJIZOS,X,O,X,O,X,X,X,X,O,O,X,X,X,X
LTJIOSZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTJIOZS,X,O,X,O,X,X,X,X,O,X,X,X,X,X
LTJSIZO,X,O,O,O,X,X,O,O,O,X,X,X,O,X
LTJSIOZ,X,O,O,O,X,X,O,X,O,X,X,X,O,X
LTJSZIO,O,O,O,O,X,X,O,O,X,X,X,X,O,X
LTJSZOI,O,O,X,O,X,X,O,O,X,X,X,X,X,X
LTJSOIZ,X,O,O,O,X,X,O,X,X,X,X,X,O,X
LTJSOZI,X,O,X,O,X,X,O,O,X,X,X,X,X,X
LTJZISO,X,O,X,O,O,X,X,O,O,O,X,X,X,X
LTJZIOS,X,O,X,O,O,X,X,X,O,O,X,X,X,X
LTJZSIO,O,O,X,O,O,X,X,O,O,O,X,X,X,X
LTJZSOI,O,O,X,O,O,X,X,O,X,X,X,X,X,X
LTJZOIS,X,O,X,O,O,X,X,X,O,O,X,X,X,X
LTJZOSI,O,O,X,O,O,X,X,X,X,X,X,X,X,X
LTJOISZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTJOIZS,X,O,X,O,X,X,X,X,O,X,X,X,X,X
LTJOSIZ,X,O,O,X,X,X,O,X,X,X,X,X,X,X
LTJOSZI,X,O,O,O,X,X,O,X,X,X,X,X,X,X
LTJOZIS,X,O,X,O,O,X,X,X,X,X,X,X,X,X
LTJOZSI,X,O,X,O,O,X,X,X,X,X,X,X,X,X
LTSIJZO,X,O,O,O,X,X,O,O,O,X,X,X,O,X
LTSIJOZ,X,O,O,O,X,X,O,X,O,X,X,X,O,X
LTSIZJO,X,O,O,O,X,O,O,O,O,O,X,X,O,X
LTSIZOJ,X,O,O,O,X,O,O,O,X,X,O,X,X,X
LTSIOJZ,X,O,O,O,X,X,O,X,X,X,X,X,O,X
LTSIOZJ,X,O,O,O,X,O,O,X,X,X,O,X,X,X
LTSJIZO,X,O,O,O,X,X,O,O,O,X,X,X,O,X
LTSJIOZ,X,O,O,O,X,X,O,X,O,X,X,X,O,X
LTSJZIO,X,O,O,O,X,X,O,O,X,X,X,X,O,X
LTSJZOI,X,O,X,O,X,X,O,O,X,X,O,X,X,X
LTSJOIZ,X,O,O,O,X,X,O,X,X,X,X,X,O,X
LTSJOZI,X,O,O,O,X,X,O,O,X,X,O,X,X,X
LTSZIJO,X,O,O,O,X,O,O,O,O,O,X,X,O,X
LTSZIOJ,X,O,O,O,X,O,O,O,X,X,O,X,X,X
LTSZJIO,X,O,O,O,X,O,O,O,O,O,X,X,O,X
LTSZJOI,X,O,X,O,X,O,O,O,X,X,O,X,X,X
LTSZOIJ,X,O,O,O,X,O,O,O,X,X,O,X,X,X
LTSZOJI,X,O,O,O,X,O,O,O,X,X,O,X,X,X
LTSOIJZ,X,O,O,O,X,X,O,X,X,X,X,X,O,X
LTSOIZJ,X,O,O,O,X,O,O,X,X,X,O,X,X,X
LTSOJIZ,X,O,O,O,X,X,O,X,X,X,X,X,O,X
LTSOJZI,X,O,O,O,X,X,O,O,X,X,O,X,X,X
LTSOZIJ,X,O,O,O,X,O,O,O,X,X,O,X,X,X
LTSOZJI,X,O,O,O,X,O,O,O,X,X,O,X,X,X
LTZIJSO,X,O,X,O,O,O,X,O,O,O,X,X,X,X
LTZIJOS,X,O,X,O,O,O,X,X,O,O,X,X,X,X
LTZISJO,X,O,X,O,X,O,X,O,O,O,X,X,X,X
LTZISOJ,X,O,X,O,X,O,X,O,X,X,X,X,X,X
LTZIOJS,X,O,X,O,O,O,X,X,O,O,X,X,X,X
LTZIOSJ,X,O,X,O,X,O,X,X,X,X,X,X,X,X
LTZJISO,X,O,X,O,O,O,X,O,O,O,X,X,X,X
LTZJIOS,X,O,X,O,O,O,X,X,O,O,X,X,X,X
LTZJSIO,O,O,X,O,O,O,X,O,O,O,X,X,X,X
LTZJSOI,O,O,X,O,O,O,X,O,X,X,X,X,X,X
LTZJOIS,X,O,X,O,O,O,X,X,O,O,X,X,X,X
LTZJOSI,O,O,X,O,O,O,X,X,X,X,X,X,X,X
LTZSIJO,X,O,X,O,X,O,O,O,O,O,X,X,O,X
LTZSIOJ,X,O,X,O,X,O,O,O,X,X,O,X,X,X
LTZSJIO,X,O,X,O,O,O,O,O,O,O,X,X,O,X
LTZSJOI,X,O,X,O,O,O,O,O,X,X,O,X,X,X
LTZSOIJ,X,O,X,O,X,O,O,O,X,X,O,X,X,X
LTZSOJI,X,O,X,O,O,O,O,O,X,X,O,X,X,X
LTZOIJS,X,O,X,O,O,O,X,X,O,O,X,X,X,X
LTZOISJ,X,O,X,O,X,O,X,X,X,X,O,X,X,X
LTZOJIS,X,O,X,O,O,O,X,X,O,O,X,X,X,X
LTZOJSI,O,O,X,O,O,O,X,X,X,X,X,X,X,X
LTZOSIJ,X,O,X,O,X,O,O,X,X,X,O,X,X,X
LTZOSJI,X,O,X,O,O,O,O,X,X,X,O,X,X,X
LTOIJSZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTOIJZS,X,O,X,O,X,X,X,X,O,X,X,X,X,X
LTOISJZ,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LTOISZJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOIZJS,X,O,X,O,X,X,X,X,O,O,X,X,X,X
LTOIZSJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOJISZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTOJIZS,X,O,X,O,X,X,X,X,O,X,X,X,X,X
LTOJSIZ,X,O,O,X,X,X,O,X,X,X,X,X,X,X
LTOJSZI,X,O,O,O,X,X,O,X,X,X,X,X,X,X
LTOJZIS,X,O,X,O,O,X,X,X,X,X,X,X,X,X
LTOJZSI,X,O,X,O,O,X,X,X,X,X,X,X,X,X
LTOSIJZ,X,O,O,X,X,X,O,X,X,X,X,X,O,X
LTOSIZJ,X,O,O,X,X,O,O,X,X,X,O,X,X,X
LTOSJIZ,X,O,O,X,X,X,O,X,X,X,X,X,O,X
LTOSJZI,X,O,O,O,X,X,O,X,X,X,O,X,X,X
LTOSZIJ,X,O,O,O,X,O,O,X,X,X,O,X,X,X
LTOSZJI,X,O,O,O,X,O,O,X,X,X,O,X,X,X
LTOZIJS,X,O,X,O,O,O,X,X,O,O,X,X,X,X
LTOZISJ,X,O,X,O,X,O,X,X,X,X,O,X,X,X
LTOZJIS,X,O,X,O,O,O,X,X,O,O,X,X,X,X
LTOZJSI,X,O,X,O,O,O,X,X,X,X,X,X,X,X
LTOZSIJ,X,O,X,O,X,O,O,X,X,X,O,X,X,X
LTOZSJI,X,O,X,O,O,O,O,X,X,X,O,X,X,X
LITJSZO,X,O,X,X,X,X,X,X,O,X,X,O,X,X
LITJSOZ,X,O,X,X,X,X,X,X,O,X,X,O,X,X
LITJZSO,X,O,X,O,X,X,X,X,O,O,X,X,X,X
LITJZOS,X,O,X,O,X,X,X,X,O,O,X,X,X,X
LITJOSZ,X,O,X,X,X,X,X,X,O,X,X,O,X,X
LITJOZS,X,O,X,O,X,X,X,X,O,X,X,X,X,X
LITSJZO,X,O,X,X,X,X,O,X,O,X,X,X,O,X
LITSJOZ,X,O,X,X,X,X,O,X,O,X,X,X,O,X
LITSZJO,X,O,X,X,X,X,O,X,O,O,X,X,O,X
LITSZOJ,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LITSOJZ,X,O,X,X,X,X,O,X,X,X,X,X,O,X
LITSOZJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LITZJSO,X,O,X,O,X,X,X,X,O,O,X,X,X,X
LITZJOS,X,O,X,O,X,X,X,X,O,O,X,X,X,X
LITZSJO,X,O,X,O,X,X,X,X,O,O,X,X,X,X
LITZSOJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LITZOJS,X,O,X,O,X,X,X,X,O,O,X,X,X,X
LITZOSJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LITOJSZ,X,O,X,X,X,X,X,X,O,X,X,O,X,X
LITOJZS,X,O,X,O,X,X,X,X,O,X,X,X,X,X
LITOSJZ,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LITOSZJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LITOZJS,X,O,X,O,X,X,X,X,O,O,X,X,X,X
LITOZSJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LIJTSZO,X,O,X,X,X,X,X,X,O,X,X,O,X,X
LIJTSOZ,X,O,X,X,X,X,X,X,O,X,X,O,X,X
LIJTZSO,X,O,X,O,X,X,X,X,O,O,X,X,X,X
LIJTZOS,X,O,X,O,X,X,X,X,O,O,X,X,X,X
LIJTOSZ,X,O,X,X,X,X,X,X,O,X,X,O,X,X
LIJTOZS,X,O,X,O,X,X,X,X,O,X,X,X,X,X
LIJSTZO,X,O,X,O,X,X,X,X,X,X,X,O,X,X
LIJSTOZ,X,O,X,O,X,X,X,X,X,X,X,O,X,X
LIJSZTO,X,O,X,O,X,X,X,X,X,X,X,O,X,X
LIJSZOT,X,O,X,O,X,X,X,X,X,X,X,O,X,X
LIJSOTZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LIJSOZT,X,X,X,X,X,X,X,X,X,X,X,O,X,O
LIJZTSO,X,O,X,O,O,X,X,X,X,X,X,X,X,X
LIJZTOS,X,O,X,O,O,X,X,X,X,X,X,X,X,X
LIJZSTO,X,O,X,O,X,X,X,X,X,X,X,O,X,X
LIJZSOT,X,O,X,O,X,X,X,X,X,X,X,O,X,X
LIJZOTS,X,O,X,O,O,X,X,X,X,X,X,X,X,X
LIJZOST,X,O,X,O,X,X,X,X,X,X,X,O,X,X
LIJOTSZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LIJOTZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X
