sequence,v115@8gB8HeC8EeF8CeG8CeD8Jex6IvhFmdBUgBFhBXiB6r?BzqB,v115@8gB8HeC8EeF8CeG8CeD8Jex6IvhFeiBzdBUgBFhBXm?BSwB,v115@8gB8HeC8EeF8CeG8CeD8Je06IvhFxbBmdBXiBllBTr?BCrB,v115@8gB8HeC8EeF8CeG8CeD8Jex6IvhFXcBmdBUgBFiB6r?BzqB,v115@8gB8HeC8EeF8CeG8CeD8Jex6IvhFmdBUgBFhBXiBCr?BTrB,v115@8gB8HeC8EeF8CeG8CeD8Je06IvhFmdBxhBllB3mB6q?BTrB,v115@8gB8HeC8EeF8CeG8CeD8Je06IvhFxbByhBzdBllB3m?BWwB,v115@8gB8HeC8EeF8CeG8CeD8Jex6IvhFXcBmdBUgBFiBCr?BTrB,v115@8gB8HeC8EeF8CeG8CeD8Je06IvhFxbBmdB3gBFiB6r?BzqB,v115@8gB8HeC8EeF8CeG8CeD8Je06IvhFxbBmdB3gBlmBzq?BCsB,v115@8gB8HeC8EeF8CeG8CeD8Je06IvhFXcBmdBFiBxlB6q?BTrB,v115@8gB8HeC8EeF8CeG8CeD8Jex6IvhFmcBzdBUgBFhBCr?B3rB
TSLZJIO,O,X,O,O,O,O,O,O,O,X,O,X
TSLZJOI,O,X,O,O,O,O,O,O,O,X,X,X
TSLZOIJ,X,X,O,O,O,O,O,O,O,X,X,X
TSLZOJI,X,X,O,O,O,O,O,O,O,X,X,X
TSLOIJZ,X,X,O,O,X,O,O,O,O,X,X,X
TSLOIZJ,X,X,O,X,X,O,O,X,O,X,X,X
TSLOJIZ,X,X,O,O,X,O,O,O,O,X,X,X
TSLOJZI,X,X,O,O,O,O,O,O,O,X,X,X
TSLOZIJ,X,X,O,O,O,O,O,O,O,X,X,X
TSLOZJI,X,X,O,O,O,O,O,O,O,X,X,X
TSJILZO,X,X,X,O,O,O,O,O,O,X,O,X
TSJILOZ,X,X,X,O,X,O,O,O,X,X,X,X
TSJIZLO,O,X,O,O,O,O,O,O,O,X,O,X
TSJIZOL,O,X,O,O,O,O,O,O,O,X,O,X
TSJIOLZ,X,X,O,X,X,O,O,X,X,X,O,X
TSJIOZL,X,X,O,O,X,O,O,O,O,X,O,X
TSJLIZO,X,X,X,O,O,O,O,O,O,X,O,X
TSJLIOZ,X,X,X,O,X,O,O,O,O,X,X,X
TSJLZIO,O,X,O,O,O,O,O,O,O,X,O,X
TSJLZOI,O,X,O,O,O,O,O,O,O,X,X,X
TSJLOIZ,X,X,O,O,X,O,O,O,O,X,X,X
TSJLOZI,X,X,O,O,O,O,O,O,O,X,X,X
TSJZILO,O,X,O,O,O,O,O,O,O,X,O,X
TSJZIOL,O,X,O,O,O,O,O,O,O,X,O,X
TSJZLIO,O,X,O,O,O,O,O,O,O,X,O,X
TSJZLOI,O,X,O,O,O,O,O,O,O,X,X,X
TSJZOIL,O,X,O,O,O,O,O,O,O,X,O,X
TSJZOLI,O,X,O,X,O,O,O,X,O,X,O,X
TSJOILZ,X,X,O,O,X,O,O,X,O,X,O,X
TSJOIZL,O,X,O,O,X,O,O,O,O,X,O,X
TSJOLIZ,X,X,O,O,X,O,O,X,O,X,O,X
TSJOLZI,O,X,O,O,X,O,O,X,O,X,O,X
TSJOZIL,O,X,O,O,O,O,O,O,O,X,O,X
TSJOZLI,O,X,O,O,O,O,O,X,O,X,O,X
TSZILJO,O,X,O,O,O,O,O,O,O,X,O,X
TSZILOJ,X,X,X,X,X,O,O,X,X,X,X,X
TSZIJLO,O,X,O,O,O,O,O,O,O,X,O,X
TSZIJOL,O,X,O,O,O,O,O,O,O,X,O,X
TSZIOLJ,X,X,O,X,X,O,O,X,X,X,O,X
TSZIOJL,O,X,O,O,O,O,O,O,O,X,O,X
TSZLIJO,O,X,O,O,O,O,O,O,O,X,X,X
TSZLIOJ,X,X,X,O,O,O,O,O,O,X,X,X
TSZLJIO,O,X,O,O,O,O,O,O,O,X,O,X
TSZLJOI,O,X,O,O,O,O,O,O,O,X,X,X
TSZLOIJ,X,X,O,O,O,O,O,O,O,X,X,X
TSZLOJI,X,X,O,O,O,O,O,O,O,X,X,X
TSZJILO,O,X,O,O,O,O,O,O,O,X,O,X
TSZJIOL,O,X,O,O,O,O,O,O,O,X,O,X
TSZJLIO,O,X,O,O,O,O,O,O,O,X,O,X
TSZJLOI,O,X,O,O,O,O,O,O,O,X,X,X
TSZJOIL,O,X,O,O,O,O,O,O,O,X,O,X
TSZJOLI,O,X,O,X,O,O,O,X,O,X,O,X
TSZOILJ,X,X,O,X,X,O,O,X,O,X,O,X
TSZOIJL,O,X,O,O,O,O,O,O,O,X,O,X
TSZOLIJ,X,X,O,X,X,O,O,X,O,X,X,X
TSZOLJI,X,X,O,X,X,O,O,X,O,X,O,X
TSZOJIL,O,X,O,O,O,O,O,O,O,X,O,X
TSZOJLI,O,X,O,X,O,O,O,X,O,X,O,X
TSOILJZ,X,X,O,O,X,O,O,X,O,X,O,X
TSOILZJ,X,X,O,X,X,O,O,X,O,X,O,X
TSOIJLZ,X,X,O,O,X,O,O,X,O,X,O,X
TSOIJZL,O,X,O,O,X,O,O,O,O,X,O,X
TSOIZLJ,O,X,O,O,X,O,O,X,O,X,O,X
TSOIZJL,O,X,O,O,X,O,O,X,O,X,O,X
TSOLIJZ,X,X,O,O,X,O,O,X,O,X,O,X
TSOLIZJ,X,X,O,X,X,O,O,X,O,X,O,X
TSOLJIZ,X,X,O,O,X,O,O,X,O,X,O,X
TSOLJZI,O,X,O,O,X,O,O,X,O,X,O,X
TSOLZIJ,O,X,O,O,X,O,O,X,O,X,X,X
TSOLZJI,O,X,O,O,X,O,O,X,O,X,O,X
TSOJILZ,X,X,O,O,X,O,O,X,O,X,O,X
TSOJIZL,O,X,O,O,X,O,O,O,O,X,O,X
TSOJLIZ,X,X,O,O,X,O,O,X,O,X,O,X
TSOJLZI,O,X,O,O,X,O,O,X,O,X,O,X
TSOJZIL,O,X,O,O,O,O,O,O,O,X,O,X
TSOJZLI,O,X,O,O,O,O,O,X,O,X,O,X
TSOZILJ,O,X,O,O,X,O,O,X,O,X,O,X
TSOZIJL,O,X,O,O,O,O,O,O,O,X,O,X
TSOZLIJ,O,X,O,O,X,O,O,X,O,X,X,X
TSOZLJI,O,X,O,O,X,O,O,X,O,X,O,X
TSOZJIL,O,X,O,O,O,O,O,O,O,X,O,X
TSOZJLI,O,X,O,O,O,O,O,X,O,X,O,X
TZILJSO,X,O,O,O,O,X,X,O,O,X,O,O
TZILJOS,X,O,X,O,X,X,X,O,O,X,O,O
TZILSJO,O,O,O,O,O,X,X,O,O,X,O,O
TZILSOJ,X,X,X,O,O,X,X,O,O,X,X,O
TZILOJS,X,O,X,O,X,X,X,O,O,X,O,O
TZILOSJ,X,X,X,O,O,X,X,O,X,X,O,O
TZIJLSO,X,O,O,O,O,X,X,O,O,X,O,X
TZIJLOS,X,O,X,O,X,X,X,O,O,X,O,O
TZIJSLO,O,X,O,O,O,O,X,O,O,X,O,X
TZIJSOL,O,O,O,O,O,O,X,O,O,X,O,O
TZIJOLS,X,O,O,O,X,X,X,X,O,O,O,O
TZIJOSL,O,O,O,O,X,X,X,O,O,O,O,O
TZISLJO,O,X,O,O,O,O,O,O,O,X,O,X
TZISLOJ,X,X,X,X,X,O,O,X,X,X,X,X
TZISJLO,O,X,O,O,O,O,O,O,O,X,O,X
TZISJOL,O,O,O,O,O,O,O,O,O,X,O,O
TZISOLJ,X,X,O,X,X,O,O,X,X,X,O,X
TZISOJL,O,X,O,O,O,O,O,O,O,X,O,O
TZIOLJS,X,O,X,O,X,X,X,X,O,X,O,O
TZIOLSJ,O,X,X,O,X,X,X,X,X,X,O,O
TZIOJLS,X,O,X,O,X,X,X,X,O,X,O,O
TZIOJSL,O,O,O,O,X,X,X,O,O,X,O,O
TZIOSLJ,O,X,X,O,X,X,O,X,O,X,O,X
TZIOSJL,O,X,O,O,O,X,O,O,O,X,O,O
TZLIJSO,X,O,O,O,O,X,X,O,O,X,O,O
TZLIJOS,X,O,X,O,X,X,X,O,O,X,O,O
TZLISJO,O,O,O,O,O,X,X,O,O,X,O,O
TZLISOJ,X,X,X,O,O,X,X,O,O,X,X,O
TZLIOJS,X,O,X,O,X,X,X,O,O,X,O,O
TZLIOSJ,X,X,X,O,O,X,X,O,X,X,O,O
TZLJISO,X,O,O,O,O,X,X,O,O,X,O,O
TZLJIOS,X,O,X,O,X,X,X,O,O,X,O,O
TZLJSIO,X,O,O,O,O,O,X,O,O,X,O,O
TZLJSOI,X,O,O,O,O,O,X,O,O,X,X,O
TZLJOIS,X,O,X,O,X,X,X,O,O,X,O,O
TZLJOSI,X,O,X,O,X,X,X,O,O,X,O,O
TZLSIJO,O,O,O,O,O,O,O,O,O,X,X,O
TZLSIOJ,X,X,X,O,O,O,O,O,O,X,X,O
TZLSJIO,O,O,O,O,O,O,O,O,O,X,O,O
TZLSJOI,O,O,O,O,O,O,O,O,O,X,X,O
TZLSOIJ,X,X,O,O,O,O,O,O,O,X,X,O
TZLSOJI,X,X,O,O,O,O,O,O,O,X,X,O
TZLOIJS,X,O,X,O,X,X,X,O,O,X,O,O
TZLOISJ,X,X,X,O,O,X,X,O,X,X,O,O
TZLOJIS,X,O,X,O,X,X,X,O,O,X,O,O
TZLOJSI,X,O,X,O,X,X,X,O,O,X,O,O
TZLOSIJ,X,X,X,O,O,X,O,O,O,X,X,O
TZLOSJI,X,X,X,O,O,X,O,O,O,X,O,O
TZJILSO,X,O,O,O,O,X,X,O,O,X,O,X
TZJILOS,X,O,X,O,X,X,X,O,O,X,O,O
TZJISLO,O,X,O,O,O,O,X,O,O,X,O,X
TZJISOL,O,O,O,O,O,O,X,O,O,X,O,O
TZJIOLS,X,O,O,O,X,X,X,X,O,O,O,O
TZJIOSL,O,O,O,O,X,X,X,O,O,O,O,O
TZJLISO,X,O,O,O,O,X,X,O,O,X,O,X
TZJLIOS,X,O,X,O,X,X,X,O,O,X,O,O
TZJLSIO,X,O,O,O,O,O,X,O,O,X,O,X
TZJLSOI,X,O,O,O,O,O,X,O,O,X,X,X
TZJLOIS,X,O,X,O,X,X,X,O,O,X,O,O
TZJLOSI,X,O,X,O,X,X,X,O,O,X,O,X
TZJSILO,O,X,O,O,O,O,O,O,O,X,O,X
TZJSIOL,O,O,O,O,O,O,O,O,O,X,O,O
TZJSLIO,O,X,O,O,O,O,O,O,O,X,O,X
TZJSLOI,O,X,O,O,O,O,O,O,O,X,X,X
TZJSOIL,O,O,O,O,O,O,O,O,O,X,O,O
TZJSOLI,O,O,O,X,O,O,O,X,O,X,O,X
TZJOILS,X,O,O,O,X,X,X,X,O,O,O,O
TZJOISL,O,O,O,O,X,X,X,O,O,O,O,O
TZJOLIS,X,O,O,O,X,X,X,O,O,O,O,O
TZJOLSI,X,O,O,O,X,X,X,O,O,O,O,X
TZJOSIL,O,O,O,O,X,O,O,O,O,O,O,O
TZJOSLI,O,O,O,O,X,O,O,X,O,O,O,X
TZSILJO,O,X,O,O,O,O,O,O,O,X,O,X
TZSILOJ,X,X,X,X,X,O,O,X,X,X,X,X
TZSIJLO,O,X,O,O,O,O,O,O,O,X,O,X
TZSIJOL,O,O,O,O,O,O,O,O,O,X,O,O
TZSIOLJ,X,X,O,X,X,O,O,X,X,X,O,X
TZSIOJL,O,X,O,O,O,O,O,O,O,X,O,O
TZSLIJO,O,X,O,O,O,O,O,O,O,X,X,X
TZSLIOJ,X,X,X,O,O,O,O,O,O,X,X,X
TZSLJIO,O,X,O,O,O,O,O,O,O,X,O,X
TZSLJOI,O,X,O,O,O,O,O,O,O,X,X,X
TZSLOIJ,X,X,O,O,O,O,O,O,O,X,X,X
TZSLOJI,X,X,O,O,O,O,O,O,O,X,X,X
TZSJILO,O,X,O,O,O,O,O,O,O,X,O,X
TZSJIOL,O,O,O,O,O,O,O,O,O,X,O,O
TZSJLIO,O,X,O,O,O,O,O,O,O,X,O,X
TZSJLOI,O,X,O,O,O,O,O,O,O,X,X,X
TZSJOIL,O,O,O,O,O,O,O,O,O,X,O,O
TZSJOLI,O,O,O,X,O,O,O,X,O,X,O,X
TZSOILJ,X,X,O,X,X,O,O,X,O,X,O,X
TZSOIJL,O,X,O,O,O,O,O,O,O,X,O,O
TZSOLIJ,X,X,O,X,X,O,O,X,O,X,X,X
TZSOLJI,X,X,O,X,X,O,O,X,O,X,O,X
TZSOJIL,O,X,O,O,O,O,O,O,O,X,O,O
TZSOJLI,O,X,O,X,O,O,O,X,O,X,O,X
TZOILJS,X,O,O,O,X,X,X,X,O,O,O,O
TZOILSJ,O,X,O,O,X,X,X,X,O,X,O,O
TZOIJLS,X,O,O,O,X,X,X,X,O,O,O,O
TZOIJSL,O,O,O,O,X,X,X,O,O,O,O,O
TZOISLJ,O,X,O,O,X,X,O,X,O,O,O,X
TZOISJL,O,X,O,O,O,X,O,O,O,O,O,O
TZOLIJS,X,O,O,O,X,X,X,O,O,O,O,O
TZOLISJ,O,X,O,O,X,X,X,O,O,X,O,O
TZOLJIS,X,O,O,O,X,X,X,O,O,O,O,O
TZOLJSI,X,O,O,O,X,X,X,O,O,O,O,O
TZOLSIJ,O,X,O,O,X,X,O,O,O,O,X,O
TZOLSJI,O,X,O,O,X,X,O,O,O,O,O,O
TZOJILS,X,O,O,O,X,X,X,X,O,O,O,O
TZOJISL,O,O,O,O,X,X,X,O,O,O,O,O
TZOJLIS,X,O,O,O,X,X,X,O,O,O,O,O
TZOJLSI,X,O,O,O,X,X,X,O,O,O,O,X
TZOJSIL,O,O,O,O,X,O,O,O,O,O,O,O
TZOJSLI,O,O,O,O,X,O,O,X,O,O,O,X
TZOSILJ,O,X,O,O,X,O,O,X,O,O,O,X
TZOSIJL,O,X,O,O,O,O,O,O,O,O,O,O
TZOSLIJ,O,X,O,O,X,O,O,X,O,O,X,X
TZOSLJI,O,X,O,O,X,O,O,X,O,O,O,X
TZOSJIL,O,X,O,O,O,O,O,O,O,O,O,O
TZOSJLI,O,X,O,O,O,O,O,X,O,O,O,X
TOILJSZ,X,X,X,O,X,X,X,O,X,X,O,X
TOILJZS,X,O,X,O,X,X,X,O,O,X,O,X
TOILSJZ,X,X,X,O,X,X,X,O,X,X,O,O
TOILSZJ,X,X,X,O,X,X,X,X,X,X,O,O
TOILZJS,X,O,X,O,X,X,X,O,O,X,O,O
TOILZSJ,X,X,X,O,X,X,X,O,X,X,O,O
TOIJLSZ,X,X,X,O,X,X,X,O,X,X,O,X
TOIJLZS,X,O,X,O,X,X,X,O,O,X,O,X
TOIJSLZ,X,X,O,O,X,X,X,X,O,O,O,X
TOIJSZL,O,X,O,O,X,X,X,O,O,O,O,X
TOIJZLS,X,O,O,O,X,X,X,X,O,O,O,X
TOIJZSL,O,O,O,O,X,X,X,O,O,O,O,X
TOISLJZ,X,X,O,O,X,X,O,X,O,O,O,X
TOISLZJ,X,X,O,X,X,X,O,X,O,O,O,X
TOISJLZ,X,X,O,O,X,X,O,X,O,O,O,X
TOISJZL,O,X,O,O,X,X,O,O,O,O,O,X
TOISZLJ,O,X,O,O,X,X,O,X,O,O,O,X
TOISZJL,O,X,O,O,X,X,O,X,O,O,O,X
TOIZLJS,X,O,O,O,X,X,X,X,O,O,O,O
TOIZLSJ,O,X,O,O,X,X,X,X,X,X,O,O
TOIZJLS,X,O,O,O,X,X,X,X,O,O,O,O
TOIZJSL,O,O,O,O,X,X,X,O,O,O,O,O
TOIZSLJ,O,X,O,O,X,X,O,X,O,O,O,X
TOIZSJL,O,X,O,O,X,X,O,O,O,O,O,O
TOLIJSZ,X,X,X,O,X,X,X,O,O,X,O,X
TOLIJZS,X,O,X,O,X,X,X,O,O,X,O,X
TOLISJZ,X,X,X,O,X,X,X,O,O,X,O,O
TOLISZJ,X,X,X,O,X,X,X,X,O,X,O,O
TOLIZJS,X,O,X,O,X,X,X,O,O,X,O,O
TOLIZSJ,X,X,X,O,X,X,X,O,O,X,O,O
TOLJISZ,X,X,X,O,X,X,X,O,O,X,O,X
TOLJIZS,X,O,X,O,X,X,X,O,O,X,O,X
TOLJSIZ,X,X,O,O,X,X,X,O,O,O,O,X
TOLJSZI,X,O,O,O,X,X,X,O,O,O,O,X
TOLJZIS,X,O,O,O,X,X,X,O,O,O,O,X
TOLJZSI,X,O,O,O,X,X,X,O,O,O,O,X
TOLSIJZ,X,X,O,O,X,X,O,O,O,O,O,O
TOLSIZJ,X,X,O,O,X,X,O,X,O,O,O,O
TOLSJIZ,X,X,O,O,X,X,O,O,O,O,O,O
TOLSJZI,O,X,O,O,X,X,O,O,O,O,O,O
TOLSZIJ,O,X,O,O,X,X,O,O,O,O,X,O
TOLSZJI,O,X,O,O,X,X,O,O,O,O,O,O
TOLZIJS,X,O,O,O,X,X,X,O,O,O,O,O
TOLZISJ,O,X,O,O,X,X,X,O,O,X,O,O
TOLZJIS,X,O,O,O,X,X,X,O,O,O,O,O
TOLZJSI,X,O,O,O,X,X,X,O,O,O,O,O
TOLZSIJ,O,X,O,O,X,X,O,O,O,O,X,O
TOLZSJI,O,X,O,O,X,X,O,O,O,O,O,O
TOJILSZ,X,X,X,O,X,X,X,O,X,X,O,X
TOJILZS,X,O,X,O,X,X,X,O,O,X,O,X
TOJISLZ,X,X,O,O,X,X,X,X,O,O,O,X
TOJISZL,O,X,O,O,X,X,X,O,O,O,O,X
TOJIZLS,X,O,O,O,X,X,X,X,O,O,O,X
TOJIZSL,O,O,O,O,X,X,X,O,O,O,O,X
TOJLISZ,X,X,X,O,X,X,X,O,X,X,O,X
TOJLIZS,X,O,X,O,X,X,X,O,O,X,O,X
TOJLSIZ,X,X,O,O,X,X,X,O,O,O,O,X
TOJLSZI,X,O,O,O,X,X,X,O,O,O,O,X
TOJLZIS,X,O,O,O,X,X,X,O,O,O,O,X
TOJLZSI,X,O,O,O,X,X,X,O,O,O,O,X
TOJSILZ,X,X,O,O,X,O,O,X,O,O,O,X
TOJSIZL,O,X,O,O,X,O,O,O,O,O,O,X
TOJSLIZ,X,X,O,O,X,O,O,X,O,O,O,X
TOJSLZI,O,X,O,O,X,O,O,X,O,O,O,X
TOJSZIL,O,O,O,O,X,O,O,O,O,O,O,X
TOJSZLI,O,O,O,O,X,O,O,X,O,O,O,X
TOJZILS,X,O,O,O,X,X,X,X,O,O,O,X
TOJZISL,O,O,O,O,X,X,X,O,O,O,O,X
TOJZLIS,X,O,O,O,X,X,X,O,O,O,O,X
TOJZLSI,X,O,O,O,X,X,X,O,O,O,O,X
TOJZSIL,O,O,O,O,X,O,O,O,O,O,O,X
TOJZSLI,O,O,O,O,X,O,O,X,O,O,O,X
TOSILJZ,X,X,O,O,X,O,O,X,O,O,O,X
TOSILZJ,X,X,O,X,X,O,O,X,O,O,O,X
TOSIJLZ,X,X,O,O,X,O,O,X,O,O,O,X
TOSIJZL,O,X,O,O,X,O,O,O,O,O,O,X
TOSIZLJ,O,X,O,O,X,O,O,X,O,O,O,X
TOSIZJL,O,X,O,O,X,O,O,X,O,O,O,X
TOSLIJZ,X,X,O,O,X,O,O,X,O,O,O,X
TOSLIZJ,X,X,O,X,X,O,O,X,O,O,O,X
TOSLJIZ,X,X,O,O,X,O,O,X,O,O,O,X
TOSLJZI,O,X,O,O,X,O,O,X,O,O,O,X
TOSLZIJ,O,X,O,O,X,O,O,X,O,O,X,X
TOSLZJI,O,X,O,O,X,O,O,X,O,O,O,X
TOSJILZ,X,X,O,O,X,O,O,X,O,O,O,X
TOSJIZL,O,X,O,O,X,O,O,O,O,O,O,X
TOSJLIZ,X,X,O,O,X,O,O,X,O,O,O,X
TOSJLZI,O,X,O,O,X,O,O,X,O,O,O,X
TOSJZIL,O,X,O,O,X,O,O,O,O,O,O,X
TOSJZLI,O,X,O,O,X,O,O,X,O,O,O,X
TOSZILJ,O,X,O,O,X,O,O,X,O,O,O,X
TOSZIJL,O,X,O,O,X,O,O,O,O,O,O,X
TOSZLIJ,O,X,O,O,X,O,O,X,O,O,X,X
TOSZLJI,O,X,O,O,X,O,O,X,O,O,O,X
TOSZJIL,O,X,O,O,X,O,O,O,O,O,O,X
TOSZJLI,O,X,O,O,X,O,O,X,O,O,O,X
TOZILJS,X,O,O,O,X,X,X,X,O,O,O,O
TOZILSJ,O,X,O,O,X,X,X,X,O,X,O,O
TOZIJLS,X,O,O,O,X,X,X,X,O,O,O,O
TOZIJSL,O,O,O,O,X,X,X,O,O,O,O,O
TOZISLJ,O,X,O,O,X,X,O,X,O,O,O,X
TOZISJL,O,X,O,O,X,X,O,O,O,O,O,O
TOZLIJS,X,O,O,O,X,X,X,O,O,O,O,O
TOZLISJ,O,X,O,O,X,X,X,O,O,X,O,O
TOZLJIS,X,O,O,O,X,X,X,O,O,O,O,O
TOZLJSI,X,O,O,O,X,X,X,O,O,O,O,O
TOZLSIJ,O,X,O,O,X,X,O,O,O,O,X,O
TOZLSJI,O,X,O,O,X,X,O,O,O,O,O,O
TOZJILS,X,O,O,O,X,X,X,X,O,O,O,O
TOZJISL,O,O,O,O,X,X,X,O,O,O,O,O
TOZJLIS,X,O,O,O,X,X,X,O,O,O,O,O
TOZJLSI,X,O,O,O,X,X,X,O,O,O,O,X
TOZJSIL,O,O,O,O,X,O,O,O,O,O,O,O
TOZJSLI,O,O,O,O,X,O,O,X,O,O,O,X
TOZSILJ,O,X,O,O,X,O,O,X,O,O,O,X
TOZSIJL,O,X,O,O,X,O,O,O,O,O,O,O
TOZSLIJ,O,X,O,O,X,O,O,X,O,O,X,X
TOZSLJI,O,X,O,O,X,O,O,X,O,O,O,X
TOZSJIL,O,X,O,O,X,O,O,O,O,O,O,O
TOZSJLI,O,X,O,O,X,O,O,X,O,O,O,X
ITLJSZO,X,X,X,O,O,X,X,O,O,X,O,X
ITLJSOZ,X,X,X,O,X,X,X,O,O,X,X,X
ITLJZSO,X,O,X,O,O,X,X,O,O,X,O,X
ITLJZOS,X,O,X,O,X,X,X,O,O,X,O,X
ITLJOSZ,X,X,X,O,X,X,X,O,X,X,O,X
ITLJOZS,X,O,X,X,X,X,X,O,O,X,O,X
ITLSJZO,X,X,X,O,O,X,X,O,O,X,O,O
ITLSJOZ,X,X,X,O,X,X,X,O,O,X,X,O
ITLSZJO,X,X,X,O,O,X,X,O,O,X,O,O
ITLSZOJ,X,X,X,O,O,X,X,O,O,X,X,O
ITLSOJZ,X,X,X,O,X,X,X,O,O,X,X,O
ITLSOZJ,X,X,X,X,X,X,X,X,O,X,X,O
ITLZJSO,X,O,X,O,O,X,X,O,O,X,O,O
ITLZJOS,X,O,X,O,X,X,X,O,O,X,O,O
ITLZSJO,X,O,X,O,O,X,X,O,O,X,O,O
ITLZSOJ,X,X,X,O,O,X,X,O,O,X,X,O
ITLZOJS,X,O,X,O,X,X,X,O,O,X,O,O
ITLZOSJ,X,X,X,O,O,X,X,O,X,X,O,O
ITLOJSZ,X,X,X,O,X,X,X,O,X,X,O,X
ITLOJZS,X,O,X,X,X,X,X,O,O,X,O,X
ITLOSJZ,X,X,X,O,X,X,X,O,X,X,O,O
ITLOSZJ,X,X,X,X,X,X,X,O,X,X,O,O
ITLOZJS,X,O,X,X,X,X,X,O,O,X,O,O
ITLOZSJ,X,X,X,X,X,X,X,O,X,X,O,O
ITJLSZO,X,X,X,O,O,X,X,O,O,X,O,X
ITJLSOZ,X,X,X,O,X,X,X,O,O,X,X,X
ITJLZSO,X,O,X,O,O,X,X,O,O,X,O,X
ITJLZOS,X,O,X,O,X,X,X,O,O,X,O,X
ITJLOSZ,X,X,X,O,X,X,X,O,X,X,O,X
ITJLOZS,X,O,X,X,X,X,X,O,O,X,O,X
ITJSLZO,X,X,X,O,O,O,X,O,O,X,O,X
ITJSLOZ,X,X,X,O,X,O,X,O,X,X,X,X
ITJSZLO,O,X,O,O,O,O,X,O,O,X,O,X
ITJSZOL,O,X,O,O,O,O,X,O,O,X,O,X
ITJSOLZ,X,X,O,X,X,O,X,X,X,X,O,X
ITJSOZL,X,X,O,O,X,O,X,O,O,X,O,X
ITJZLSO,X,O,O,O,O,X,X,O,O,X,O,X
ITJZLOS,X,O,X,O,X,X,X,O,O,X,O,X
ITJZSLO,O,X,O,O,O,O,X,O,O,X,O,X
ITJZSOL,O,O,O,O,O,O,X,O,O,X,O,X
ITJZOLS,X,O,X,O,X,X,X,X,O,X,O,X
ITJZOSL,O,O,O,O,X,X,X,O,O,X,O,X
ITJOLSZ,X,X,X,O,X,X,X,O,X,X,O,X
ITJOLZS,X,O,X,O,X,X,X,O,O,X,O,X
ITJOSLZ,X,X,X,O,X,X,X,X,O,X,O,X
ITJOSZL,O,X,X,O,X,X,X,O,O,X,O,X
ITJOZLS,X,O,X,O,X,X,X,X,O,X,O,X
ITJOZSL,O,O,X,O,X,X,X,O,O,X,O,X
ITSLJZO,X,X,X,O,O,O,O,O,O,X,O,X
ITSLJOZ,X,X,X,O,X,O,O,O,X,X,X,X
ITSLZJO,X,X,X,O,O,O,O,O,O,X,O,X
ITSLZOJ,X,X,X,X,O,O,O,O,X,X,X,X
ITSLOJZ,X,X,X,O,X,O,O,O,X,X,X,X
ITSLOZJ,X,X,X,X,X,O,O,X,X,X,X,X
ITSJLZO,X,X,X,O,O,O,O,O,O,X,O,X
ITSJLOZ,X,X,X,O,X,O,O,O,X,X,X,X
ITSJZLO,O,X,O,O,O,O,O,O,O,X,O,X
ITSJZOL,O,X,O,O,O,O,O,O,O,X,O,X
ITSJOLZ,X,X,O,X,X,O,O,X,X,X,O,X
ITSJOZL,X,X,O,O,X,O,O,O,O,X,O,X
ITSZLJO,O,X,O,O,O,O,O,O,O,X,O,X
ITSZLOJ,X,X,X,X,X,O,O,X,X,X,X,X
ITSZJLO,O,X,O,O,O,O,O,O,O,X,O,X
ITSZJOL,O,X,O,O,O,O,O,O,O,X,O,X
ITSZOLJ,X,X,O,X,X,O,O,X,X,X,O,X
ITSZOJL,O,X,O,O,O,O,O,O,O,X,O,X
ITSOLJZ,X,X,O,X,X,O,O,X,X,X,O,X
ITSOLZJ,X,X,O,X,X,O,O,X,X,X,O,X
ITSOJLZ,X,X,O,X,X,O,O,X,X,X,O,X
ITSOJZL,X,X,O,O,X,O,O,O,O,X,O,X
ITSOZLJ,X,X,O,X,X,O,O,X,X,X,O,X
ITSOZJL,X,X,O,X,X,O,O,X,O,X,O,X
ITZLJSO,X,O,O,O,O,X,X,O,O,X,O,O
ITZLJOS,X,O,X,O,X,X,X,O,O,X,O,O
ITZLSJO,O,O,O,O,O,X,X,O,O,X,O,O
ITZLSOJ,X,X,X,O,O,X,X,O,O,X,X,O
ITZLOJS,X,O,X,O,X,X,X,O,O,X,O,O
ITZLOSJ,X,X,X,O,O,X,X,O,X,X,O,O
ITZJLSO,X,O,O,O,O,X,X,O,O,X,O,X
ITZJLOS,X,O,X,O,X,X,X,O,O,X,O,O
ITZJSLO,O,X,O,O,O,O,X,O,O,X,O,X
ITZJSOL,O,O,O,O,O,O,X,O,O,X,O,O
ITZJOLS,X,O,X,O,X,X,X,X,O,X,O,O
ITZJOSL,O,O,O,O,X,X,X,O,O,X,O,O
ITZSLJO,O,X,O,O,O,O,O,O,O,X,O,X
ITZSLOJ,X,X,X,X,X,O,O,X,X,X,X,X
ITZSJLO,O,X,O,O,O,O,O,O,O,X,O,X
ITZSJOL,O,O,O,O,O,O,O,O,O,X,O,O
ITZSOLJ,X,X,O,X,X,O,O,X,X,X,O,X
ITZSOJL,O,X,O,O,O,O,O,O,O,X,O,O
ITZOLJS,X,O,X,O,X,X,X,X,O,X,O,O
ITZOLSJ,O,X,X,O,X,X,X,X,X,X,O,O
ITZOJLS,X,O,X,O,X,X,X,X,O,X,O,O
ITZOJSL,O,O,O,O,X,X,X,O,O,X,O,O
