sequence,v115@HhD8BeB8BeG8CeH8AeA8JeT6IvhFxbB8hBfjB6jBmg?BFtB,v115@HhD8BeB8BeG8CeH8AeA8Je2/IvhFRbBzcBfjB6jBUh?BFtB,v115@HhD8BeB8BeG8CeH8AeA8JeT6IvhF2gBRcBSjB3hBUj?BFtB,v115@HhD8BeB8BeG8CeH8AeA8JeT6IvhFibBGeBRhBUjB3h?BFtB
JSIZOTL,O,O,O,X
JSIZOLT,O,O,O,X
JSIOTLZ,X,O,O,X
JSIOTZL,X,O,O,X
JSIOLTZ,X,O,O,X
JSIOLZT,O,O,O,X
JSIOZTL,O,O,O,X
JSIOZLT,O,O,O,X
JSLTIZO,X,O,O,X
JSLTIOZ,X,O,O,X
JSLTZIO,O,O,O,X
JSLTZOI,O,O,O,X
JSLTOIZ,X,O,O,X
JSLTOZI,O,X,O,X
JSLITZO,X,O,O,X
JSLITOZ,X,O,O,X
JSLIZTO,O,O,X,X
JSLIZOT,O,O,O,X
JSLIOTZ,X,O,O,X
JSLIOZT,O,O,O,X
JSLZTIO,O,O,X,X
JSLZTOI,O,O,X,X
JSLZITO,O,O,X,X
JSLZIOT,O,O,O,X
JSLZOTI,O,O,O,X
JSLZOIT,O,O,O,X
JSLOTIZ,X,O,O,X
JSLOTZI,O,X,O,X
JSLOITZ,X,O,O,X
JSLOIZT,O,O,O,X
JSLOZTI,O,O,O,X
JSLOZIT,O,O,O,X
JSZTILO,O,O,O,X
JSZTIOL,O,O,O,X
JSZTLIO,O,O,O,X
JSZTLOI,O,O,O,X
JSZTOIL,O,O,O,X
JSZTOLI,O,O,O,X
JSZITLO,O,O,O,X
JSZITOL,O,O,O,X
JSZILTO,O,O,X,X
JSZILOT,O,O,O,X
JSZIOTL,O,O,O,X
JSZIOLT,O,O,O,X
JSZLTIO,O,O,X,X
JSZLTOI,O,O,X,X
JSZLITO,O,O,X,X
JSZLIOT,O,O,O,X
JSZLOTI,O,O,O,X
JSZLOIT,O,O,O,X
JSZOTIL,O,O,O,X
JSZOTLI,O,O,O,X
JSZOITL,O,O,O,X
JSZOILT,O,O,O,X
JSZOLTI,O,O,O,X
JSZOLIT,O,O,O,X
JSOTILZ,O,O,O,X
JSOTIZL,O,O,O,X
JSOTLIZ,O,O,O,X
JSOTLZI,O,O,O,X
JSOTZIL,O,O,O,X
JSOTZLI,O,O,O,X
JSOITLZ,X,O,O,X
JSOITZL,X,O,O,X
JSOILTZ,X,O,O,X
JSOILZT,O,O,O,X
JSOIZTL,O,O,O,X
JSOIZLT,O,O,O,X
JSOLTIZ,X,O,O,X
JSOLTZI,O,X,O,X
JSOLITZ,X,O,O,X
JSOLIZT,O,O,O,X
JSOLZTI,O,O,O,X
JSOLZIT,O,O,O,X
JSOZTIL,O,O,O,X
JSOZTLI,O,O,O,X
JSOZITL,O,O,O,X
JSOZILT,O,O,O,X
JSOZLTI,O,O,O,X
JSOZLIT,O,O,O,X
JZTILSO,O,O,X,X
JZTILOS,O,O,X,O
JZTISLO,O,O,X,X
JZTISOL,O,O,X,X
JZTIOLS,O,O,X,O
JZTIOSL,O,O,X,X
JZTLISO,O,O,X,X
JZTLIOS,O,O,X,O
JZTLSIO,O,O,O,X
JZTLSOI,O,O,O,X
JZTLOIS,O,O,X,O
JZTLOSI,O,O,O,X
JZTSILO,O,O,O,X
JZTSIOL,O,O,O,X
JZTSLIO,O,O,O,X
JZTSLOI,O,O,O,X
JZTSOIL,O,O,O,X
JZTSOLI,O,O,O,X
JZTOILS,O,O,X,O
JZTOISL,O,O,X,X
JZTOLIS,O,O,X,O
JZTOLSI,O,O,O,X
JZTOSIL,O,O,O,X
JZTOSLI,O,O,O,X
JZITLSO,O,O,X,X
JZITLOS,O,O,X,O
JZITSLO,O,O,X,X
JZITSOL,O,O,X,X
JZITOLS,O,O,X,O
JZITOSL,O,O,X,X
JZILTSO,O,O,X,X
JZILTOS,O,O,X,O
JZILSTO,O,O,X,X
JZILSOT,O,O,X,O
JZILOTS,O,O,X,O
JZILOST,O,O,X,O
JZISTLO,O,O,X,X
JZISTOL,O,O,X,X
JZISLTO,O,O,X,X
JZISLOT,O,O,X,O
JZISOTL,O,O,X,X
JZISOLT,O,O,X,O
JZIOTLS,O,O,X,O
JZIOTSL,O,O,X,X
JZIOLTS,O,O,X,O
JZIOLST,O,O,X,O
JZIOSTL,O,O,X,X
JZIOSLT,O,O,X,O
JZLTISO,O,O,X,X
JZLTIOS,O,O,X,O
JZLTSIO,O,O,X,X
JZLTSOI,O,O,X,X
JZLTOIS,O,O,X,O
JZLTOSI,O,O,X,X
JZLITSO,O,O,X,X
JZLITOS,O,O,X,O
JZLISTO,O,O,X,X
JZLISOT,O,O,X,O
JZLIOTS,O,O,X,O
JZLIOST,O,O,X,O
JZLSTIO,O,O,X,X
JZLSTOI,O,O,X,X
JZLSITO,O,O,X,X
JZLSIOT,O,O,O,O
JZLSOTI,O,O,O,X
JZLSOIT,O,O,O,O
JZLOTIS,O,O,X,O
JZLOTSI,O,O,X,X
JZLOITS,O,O,X,O
JZLOIST,O,O,X,O
JZLOSTI,O,O,O,X
JZLOSIT,O,O,O,O
JZSTILO,O,O,O,X
JZSTIOL,O,O,O,X
JZSTLIO,O,O,O,X
JZSTLOI,O,O,O,X
JZSTOIL,O,O,O,X
JZSTOLI,O,O,O,X
JZSITLO,O,O,O,X
JZSITOL,O,O,O,X
JZSILTO,O,O,X,X
JZSILOT,O,O,O,O
JZSIOTL,O,O,O,X
JZSIOLT,O,O,O,O
JZSLTIO,O,O,X,X
JZSLTOI,O,O,X,X
JZSLITO,O,O,X,X
JZSLIOT,O,O,O,O
JZSLOTI,O,O,O,X
JZSLOIT,O,O,O,O
JZSOTIL,O,O,O,X
JZSOTLI,O,O,O,X
JZSOITL,O,O,O,X
JZSOILT,O,O,O,O
JZSOLTI,O,O,O,X
JZSOLIT,O,O,O,O
JZOTILS,O,O,X,O
JZOTISL,O,O,X,X
JZOTLIS,O,O,X,O
JZOTLSI,O,O,O,X
JZOTSIL,O,O,O,X
JZOTSLI,O,O,O,X
JZOITLS,O,O,X,O
JZOITSL,O,O,X,X
JZOILTS,O,O,X,O
JZOILST,O,O,X,O
JZOISTL,O,O,X,X
JZOISLT,O,O,X,O
JZOLTIS,O,O,X,O
JZOLTSI,O,O,X,X
JZOLITS,O,O,X,O
JZOLIST,O,O,X,O
JZOLSTI,O,O,O,X
JZOLSIT,O,O,O,O
JZOSTIL,O,O,O,X
JZOSTLI,O,O,O,X
JZOSITL,O,O,O,X
JZOSILT,O,O,O,O
JZOSLTI,O,O,O,X
JZOSLIT,O,O,O,O
JOTILSZ,X,O,O,X
JOTILZS,X,X,X,O
JOTISLZ,O,O,O,X
JOTISZL,O,O,O,X
JOTIZLS,O,O,X,O
JOTIZSL,O,O,X,O
JOTLISZ,X,O,O,X
JOTLIZS,X,X,X,O
JOTLSIZ,O,O,O,X
JOTLSZI,O,O,O,X
JOTLZIS,O,X,X,O
JOTLZSI,O,X,O,O
JOTSILZ,O,O,O,X
JOTSIZL,O,O,O,X
JOTSLIZ,O,O,O,X
JOTSLZI,O,O,O,X
JOTSZIL,O,O,O,X
JOTSZLI,O,O,O,X
JOTZILS,O,O,X,O
JOTZISL,O,O,X,O
JOTZLIS,O,O,X,O
JOTZLSI,O,O,O,O
JOTZSIL,O,O,O,O
JOTZSLI,O,O,O,O
JOITLSZ,X,O,O,X
JOITLZS,X,X,X,O
JOITSLZ,O,O,O,X
JOITSZL,O,O,O,X
JOITZLS,O,O,X,O
JOITZSL,O,O,X,O
JOILTSZ,X,O,X,X
JOILTZS,X,X,X,O
JOILSTZ,X,O,O,X
JOILSZT,X,O,O,X
JOILZTS,X,X,X,O
JOILZST,X,X,X,O
JOISTLZ,X,O,O,X
JOISTZL,X,O,O,X
JOISLTZ,X,O,O,X
JOISLZT,O,O,O,X
JOISZTL,O,O,O,X
JOISZLT,O,O,O,X
JOIZTLS,O,O,X,O
JOIZTSL,O,O,X,X
JOIZLTS,O,O,X,O
JOIZLST,O,O,X,O
JOIZSTL,O,O,X,X
JOIZSLT,O,O,X,O
JOLTISZ,X,O,O,X
JOLTIZS,X,X,X,O
JOLTSIZ,O,O,O,X
JOLTSZI,O,O,O,X
JOLTZIS,O,X,X,O
JOLTZSI,O,X,O,O
JOLITSZ,X,O,X,X
JOLITZS,X,X,X,O
JOLISTZ,X,O,O,X
JOLISZT,X,O,O,X
JOLIZTS,X,X,X,O
JOLIZST,X,X,X,O
JOLSTIZ,X,O,O,X
JOLSTZI,O,X,O,X
JOLSITZ,X,O,O,X
JOLSIZT,O,O,O,X
JOLSZTI,O,X,O,X
JOLSZIT,O,O,O,X
JOLZTIS,O,X,X,O
JOLZTSI,O,X,X,X
JOLZITS,O,X,X,O
JOLZIST,O,X,X,O
JOLZSTI,O,X,O,X
JOLZSIT,O,X,O,O
JOSTILZ,O,O,O,X
JOSTIZL,O,O,O,X
JOSTLIZ,O,O,O,X
JOSTLZI,O,O,O,X
JOSTZIL,O,O,O,X
JOSTZLI,O,O,O,X
JOSITLZ,X,O,O,X
JOSITZL,X,O,O,X
JOSILTZ,X,O,O,X
JOSILZT,O,O,O,X
JOSIZTL,O,O,O,X
JOSIZLT,O,O,O,X
JOSLTIZ,X,O,O,X
JOSLTZI,O,X,O,X
JOSLITZ,X,O,O,X
JOSLIZT,O,O,O,X
JOSLZTI,O,O,O,X
JOSLZIT,O,O,O,X
JOSZTIL,O,O,O,X
JOSZTLI,O,O,O,X
JOSZITL,O,O,O,X
JOSZILT,O,O,O,X
JOSZLTI,O,O,O,X
JOSZLIT,O,O,O,X
JOZTILS,O,O,X,O
JOZTISL,O,O,X,X
JOZTLIS,O,O,X,O
JOZTLSI,O,O,O,X
JOZTSIL,O,O,O,X
JOZTSLI,O,O,O,X
JOZITLS,O,O,X,O
JOZITSL,O,O,X,X
JOZILTS,O,O,X,O
JOZILST,O,O,X,O
JOZISTL,O,O,X,X
JOZISLT,O,O,X,O
JOZLTIS,O,O,X,O
JOZLTSI,O,O,X,X
JOZLITS,O,O,X,O
JOZLIST,O,O,X,O
JOZLSTI,O,O,O,X
JOZLSIT,O,O,O,O
JOZSTIL,O,O,O,X
JOZSTLI,O,O,O,X
JOZSITL,O,O,O,X
JOZSILT,O,O,O,O
JOZSLTI,O,O,O,X
JOZSLIT,O,O,O,O
STILJZO,O,O,O,X
STILJOZ,O,O,O,X
STILZJO,O,O,O,O
STILZOJ,O,O,O,O
STILOJZ,O,O,O,X
STILOZJ,O,X,O,O
STIJLZO,O,O,O,X
STIJLOZ,O,O,O,X
STIJZLO,O,O,O,X
STIJZOL,O,O,O,X
STIJOLZ,O,O,O,X
STIJOZL,O,O,O,X
STIZLJO,O,O,O,O
STIZLOJ,O,O,O,O
STIZJLO,O,O,O,O
STIZJOL,O,O,O,O
STIZOLJ,O,O,O,O
STIZOJL,O,O,O,O
STIOLJZ,O,O,O,X
STIOLZJ,O,X,O,O
STIOJLZ,O,O,O,X
STIOJZL,O,O,O,X
STIOZLJ,O,X,O,O
STIOZJL,O,X,O,O
STLIJZO,O,O,O,X
STLIJOZ,O,O,O,X
STLIZJO,O,O,O,O
STLIZOJ,O,O,O,O
STLIOJZ,O,O,O,X
STLIOZJ,O,X,O,O
STLJIZO,O,O,O,X
STLJIOZ,O,O,O,X
STLJZIO,O,O,O,X
STLJZOI,O,O,O,X
STLJOIZ,O,O,O,X
STLJOZI,O,O,O,X
STLZIJO,O,O,O,O
STLZIOJ,O,O,O,O
STLZJIO,O,O,O,O
STLZJOI,O,O,O,O
STLZOIJ,O,O,O,O
STLZOJI,O,O,O,O
STLOIJZ,O,O,O,X
STLOIZJ,O,X,O,O
STLOJIZ,O,O,O,X
STLOJZI,O,O,O,X
STLOZIJ,O,O,O,O
STLOZJI,O,O,O,O
STJILZO,O,O,O,X
STJILOZ,O,O,O,X
STJIZLO,O,O,O,X
STJIZOL,O,O,O,X
STJIOLZ,O,O,O,X
STJIOZL,O,O,O,X
STJLIZO,O,O,O,X
STJLIOZ,O,O,O,X
STJLZIO,O,O,O,X
STJLZOI,O,O,O,X
STJLOIZ,O,O,O,X
STJLOZI,O,O,O,X
STJZILO,O,O,O,X
STJZIOL,O,O,O,X
STJZLIO,O,O,O,X
STJZLOI,O,O,O,X
STJZOIL,O,O,O,X
STJZOLI,O,O,O,X
STJOILZ,O,O,O,X
STJOIZL,O,O,O,X
STJOLIZ,O,O,O,X
STJOLZI,O,O,O,X
STJOZIL,O,O,O,X
STJOZLI,O,O,O,X
STZILJO,O,O,O,O
STZILOJ,O,O,O,O
STZIJLO,O,O,O,O
STZIJOL,O,O,O,O
STZIOLJ,O,O,O,O
STZIOJL,O,O,O,O
STZLIJO,O,O,O,O
STZLIOJ,O,O,O,O
STZLJIO,O,O,O,O
STZLJOI,O,O,O,O
STZLOIJ,O,O,O,O
STZLOJI,O,O,O,O
STZJILO,O,O,O,O
STZJIOL,O,O,O,O
STZJLIO,O,O,O,O
STZJLOI,O,O,O,O
STZJOIL,O,O,O,O
STZJOLI,O,O,O,O
STZOILJ,O,O,O,O
STZOIJL,O,O,O,O
STZOLIJ,O,O,O,O
STZOLJI,O,O,O,O
STZOJIL,O,O,O,O
STZOJLI,O,O,O,O
STOILJZ,O,O,O,X
STOILZJ,O,X,O,O
STOIJLZ,O,O,O,X
STOIJZL,O,O,O,X
STOIZLJ,O,X,O,O
STOIZJL,O,X,O,O
STOLIJZ,O,O,O,X
STOLIZJ,O,X,O,O
STOLJIZ,O,O,O,X
STOLJZI,O,O,O,X
STOLZIJ,O,O,O,O
STOLZJI,O,O,O,O
STOJILZ,O,O,O,X
STOJIZL,O,O,O,X
STOJLIZ,O,O,O,X
STOJLZI,O,O,O,X
STOJZIL,O,O,O,X
STOJZLI,O,O,O,X
STOZILJ,O,O,O,O
STOZIJL,O,O,O,O
STOZLIJ,O,O,O,O
STOZLJI,O,O,O,O
STOZJIL,O,O,O,O
STOZJLI,O,O,O,O
SITLJZO,X,X,O,X
SITLJOZ,X,X,O,X
SITLZJO,X,X,O,O
SITLZOJ,X,X,O,O
SITLOJZ,X,X,O,X
SITLOZJ,X,X,O,O
SITJLZO,X,X,O,X
SITJLOZ,X,X,O,X
SITJZLO,X,X,O,X
SITJZOL,X,X,O,X
SITJOLZ,X,X,O,X
SITJOZL,X,X,O,X
SITZLJO,X,X,O,O
SITZLOJ,X,X,O,O
SITZJLO,X,X,O,O
SITZJOL,X,X,O,O
SITZOLJ,X,X,O,O
SITZOJL,X,X,O,O
SITOLJZ,X,X,O,X
SITOLZJ,X,X,O,O
SITOJLZ,X,X,O,X
SITOJZL,X,X,O,X
SITOZLJ,X,X,O,O
SITOZJL,X,X,O,O
SILTJZO,X,X,O,X
SILTJOZ,X,X,O,X
SILTZJO,X,X,O,O
SILTZOJ,X,X,O,O
SILTOJZ,X,X,O,X
SILTOZJ,X,X,O,O
SILJTZO,X,O,O,X
SILJTOZ,X,O,O,X
SILJZTO,O,O,X,X
SILJZOT,O,O,O,X
SILJOTZ,X,O,O,X
SILJOZT,O,O,O,X
SILZTJO,O,O,X,X
SILZTOJ,O,O,X,X
SILZJTO,O,O,X,X
SILZJOT,O,O,O,O
SILZOTJ,O,O,X,X
SILZOJT,O,O,O,O
SILOTJZ,X,X,O,X
SILOTZJ,X,X,O,O
SILOJTZ,X,O,O,X
SILOJZT,O,O,O,X
SILOZTJ,O,X,X,X
SILOZJT,O,X,O,O
SIJTLZO,X,O,O,X
SIJTLOZ,X,O,O,X
SIJTZLO,X,O,O,X
SIJTZOL,X,O,O,X
SIJTOLZ,X,O,O,X
SIJTOZL,X,X,O,X
SIJLTZO,X,O,O,X
SIJLTOZ,X,O,O,X
SIJLZTO,O,O,X,X
SIJLZOT,O,O,O,X
SIJLOTZ,X,O,O,X
SIJLOZT,O,O,O,X
SIJZTLO,O,O,O,X
SIJZTOL,O,O,O,X
SIJZLTO,O,O,X,X
SIJZLOT,O,O,O,X
SIJZOTL,O,O,O,X
SIJZOLT,O,O,O,X
SIJOTLZ,X,O,O,X
SIJOTZL,X,X,O,X
SIJOLTZ,X,O,O,X
SIJOLZT,O,O,O,X
SIJOZTL,O,O,O,X
SIJOZLT,O,O,O,X
SIZTLJO,O,O,O,X
SIZTLOJ,O,O,O,X
SIZTJLO,O,O,O,X
SIZTJOL,O,O,O,X
SIZTOLJ,O,O,O,X
SIZTOJL,X,O,O,X
SIZLTJO,O,O,X,X
SIZLTOJ,O,O,X,X
SIZLJTO,O,O,X,X
SIZLJOT,O,O,O,O
SIZLOTJ,O,O,X,X
SIZLOJT,O,O,O,O
SIZJTLO,O,O,O,X
SIZJTOL,O,O,O,X
SIZJLTO,O,O,X,X
SIZJLOT,O,O,O,O
SIZJOTL,O,O,O,X
SIZJOLT,O,O,O,O
SIZOTLJ,O,O,O,X
SIZOTJL,X,O,O,X
SIZOLTJ,O,O,X,X
SIZOLJT,O,O,O,O
SIZOJTL,O,O,O,X
SIZOJLT,O,O,O,O
SIOTLJZ,X,X,O,X
SIOTLZJ,X,X,O,O
SIOTJLZ,X,X,O,X
SIOTJZL,X,X,O,X
SIOTZLJ,X,X,O,O
SIOTZJL,X,X,O,O
SIOLTJZ,X,X,O,X
SIOLTZJ,X,X,O,O
SIOLJTZ,X,O,O,X
SIOLJZT,O,O,O,X
SIOLZTJ,O,X,X,X
SIOLZJT,O,X,O,O
SIOJTLZ,X,O,O,X
SIOJTZL,X,X,O,X
SIOJLTZ,X,O,O,X
SIOJLZT,O,O,O,X
SIOJZTL,O,X,O,X
SIOJZLT,O,O,O,X
SIOZTLJ,O,X,O,X
SIOZTJL,X,X,O,X
SIOZLTJ,O,X,X,X
SIOZLJT,O,X,O,O
SIOZJTL,O,X,O,X
SIOZJLT,O,X,O,O
SLTIJZO,X,X,O,X
SLTIJOZ,X,X,O,X
SLTIZJO,X,X,O,O
SLTIZOJ,X,X,O,O
SLTIOJZ,X,X,O,X
SLTIOZJ,X,X,O,O
SLTJIZO,X,O,O,X
SLTJIOZ,X,O,O,X
SLTJZIO,O,O,O,X
SLTJZOI,O,O,O,X
SLTJOIZ,X,O,O,X
SLTJOZI,O,X,O,X
SLTZIJO,O,O,O,O
SLTZIOJ,O,O,O,O
SLTZJIO,O,O,O,O
SLTZJOI,O,O,O,O
SLTZOIJ,O,O,O,O
SLTZOJI,O,O,O,O
SLTOIJZ,X,X,O,X
SLTOIZJ,X,X,O,O
SLTOJIZ,X,O,O,X
SLTOJZI,O,X,O,X
SLTOZIJ,O,X,O,O
SLTOZJI,O,X,O,O
SLITJZO,X,X,O,X
SLITJOZ,X,X,O,X
SLITZJO,X,X,O,O
SLITZOJ,X,X,O,O
SLITOJZ,X,X,O,X
SLITOZJ,X,X,O,O
SLIJTZO,X,O,O,X
SLIJTOZ,X,O,O,X
SLIJZTO,O,O,X,X
SLIJZOT,O,O,O,X
SLIJOTZ,X,O,O,X
SLIJOZT,O,O,O,X
SLIZTJO,O,O,X,X
SLIZTOJ,O,O,X,X
SLIZJTO,O,O,X,X
SLIZJOT,O,O,O,O
SLIZOTJ,O,O,X,X
SLIZOJT,O,O,O,O
SLIOTJZ,X,X,O,X
SLIOTZJ,X,X,O,O
SLIOJTZ,X,O,O,X
SLIOJZT,O,O,O,X
SLIOZTJ,O,X,X,X
SLIOZJT,O,X,O,O
SLJTIZO,X,O,O,X
SLJTIOZ,X,O,O,X
SLJTZIO,O,O,O,X
SLJTZOI,O,O,O,X
SLJTOIZ,X,O,O,X
SLJTOZI,O,X,O,X
SLJITZO,X,O,O,X
SLJITOZ,X,O,O,X
SLJIZTO,O,O,X,X
SLJIZOT,O,O,O,X
SLJIOTZ,X,O,O,X
SLJIOZT,O,O,O,X
SLJZTIO,O,O,X,X
SLJZTOI,O,O,X,X
SLJZITO,O,O,X,X
SLJZIOT,O,O,O,X
SLJZOTI,O,O,O,X
SLJZOIT,O,O,O,X
SLJOTIZ,X,O,O,X
SLJOTZI,O,X,O,X
SLJOITZ,X,O,O,X
SLJOIZT,O,O,O,X
SLJOZTI,O,O,O,X
SLJOZIT,O,O,O,X
SLZTIJO,O,O,X,X
SLZTIOJ,O,O,X,X
SLZTJIO,O,O,X,X
SLZTJOI,O,O,X,X
SLZTOIJ,O,O,X,X
SLZTOJI,O,O,X,X
SLZITJO,O,O,X,X
SLZITOJ,O,O,X,X
SLZIJTO,O,O,X,X
SLZIJOT,O,O,O,O
SLZIOTJ,O,O,X,X
SLZIOJT,O,O,O,O
SLZJTIO,O,O,X,X
SLZJTOI,O,O,X,X
SLZJITO,O,O,X,X
SLZJIOT,O,O,O,O
SLZJOTI,O,O,O,X
SLZJOIT,O,O,O,O
SLZOTIJ,O,O,X,X
SLZOTJI,O,O,X,X
SLZOITJ,O,O,X,X
SLZOIJT,O,O,O,O
SLZOJTI,O,O,O,X
SLZOJIT,O,O,O,O
SLOTIJZ,X,X,O,X
SLOTIZJ,X,X,O,O
SLOTJIZ,X,O,O,X
SLOTJZI,O,X,O,X
SLOTZIJ,O,X,O,O
SLOTZJI,O,X,O,O
SLOITJZ,X,X,O,X
SLOITZJ,X,X,O,O
SLOIJTZ,X,O,O,X
SLOIJZT,O,O,O,X
SLOIZTJ,O,X,X,X
SLOIZJT,O,X,O,O
SLOJTIZ,X,O,O,X
SLOJTZI,O,X,O,X
SLOJITZ,X,O,O,X
SLOJIZT,O,O,O,X
SLOJZTI,O,O,O,X
SLOJZIT,O,O,O,X
SLOZTIJ,O,O,X,X
SLOZTJI,O,O,X,X
SLOZITJ,O,O,X,X
SLOZIJT,O,O,O,O
SLOZJTI,O,O,O,X
SLOZJIT,O,O,O,O
SJTILZO,O,O,O,X
SJTILOZ,O,O,O,X
SJTIZLO,O,O,O,X
SJTIZOL,O,O,O,X
SJTIOLZ,O,O,O,X
SJTIOZL,O,O,O,X
SJTLIZO,O,O,O,X
SJTLIOZ,O,O,O,X
SJTLZIO,O,O,O,X
SJTLZOI,O,O,O,X
SJTLOIZ,O,O,O,X
SJTLOZI,O,O,O,X
SJTZILO,O,O,O,X
SJTZIOL,O,O,O,X
SJTZLIO,O,O,O,X
SJTZLOI,O,O,O,X
SJTZOIL,O,O,O,X
SJTZOLI,O,O,O,X
SJTOILZ,O,O,O,X
SJTOIZL,O,O,O,X
SJTOLIZ,O,O,O,X
SJTOLZI,O,O,O,X
SJTOZIL,O,O,O,X
SJTOZLI,O,O,O,X
SJITLZO,X,O,O,X
SJITLOZ,X,O,O,X
SJITZLO,X,O,O,X
SJITZOL,X,O,O,X
SJITOLZ,X,O,O,X
SJITOZL,X,O,O,X
SJILTZO,X,O,O,X
SJILTOZ,X,O,O,X
SJILZTO,O,O,X,X
SJILZOT,O,O,O,X
SJILOTZ,X,O,O,X
SJILOZT,O,O,O,X
SJIZTLO,O,O,O,X
SJIZTOL,O,O,O,X
SJIZLTO,O,O,X,X
SJIZLOT,O,O,O,X
SJIZOTL,O,O,O,X
SJIZOLT,O,O,O,X
SJIOTLZ,X,O,O,X
SJIOTZL,X,O,O,X
SJIOLTZ,X,O,O,X
SJIOLZT,O,O,O,X
SJIOZTL,O,O,O,X
SJIOZLT,O,O,O,X
SJLTIZO,X,O,O,X
SJLTIOZ,X,O,O,X
SJLTZIO,O,O,O,X
SJLTZOI,O,O,O,X
SJLTOIZ,X,O,O,X
SJLTOZI,O,X,O,X
SJLITZO,X,O,O,X
SJLITOZ,X,O,O,X
SJLIZTO,O,O,X,X
SJLIZOT,O,O,O,X
SJLIOTZ,X,O,O,X
SJLIOZT,O,O,O,X
SJLZTIO,O,O,X,X
SJLZTOI,O,O,X,X
SJLZITO,O,O,X,X
SJLZIOT,O,O,O,X
SJLZOTI,O,O,O,X
SJLZOIT,O,O,O,X
SJLOTIZ,X,O,O,X
SJLOTZI,O,X,O,X
SJLOITZ,X,O,O,X
SJLOIZT,O,O,O,X
SJLOZTI,O,O,O,X
SJLOZIT,O,O,O,X
SJZTILO,O,O,O,X
SJZTIOL,O,O,O,X
SJZTLIO,O,O,O,X
SJZTLOI,O,O,O,X
SJZTOIL,O,O,O,X
SJZTOLI,O,O,O,X
SJZITLO,O,O,O,X
SJZITOL,O,O,O,X
SJZILTO,O,O,X,X
SJZILOT,O,O,O,X
SJZIOTL,O,O,O,X
SJZIOLT,O,O,O,X
SJZLTIO,O,O,X,X
SJZLTOI,O,O,X,X
SJZLITO,O,O,X,X
SJZLIOT,O,O,O,X
SJZLOTI,O,O,O,X
SJZLOIT,O,O,O,X
SJZOTIL,O,O,O,X
SJZOTLI,O,O,O,X
SJZOITL,O,O,O,X
SJZOILT,O,O,O,X
SJZOLTI,O,O,O,X
SJZOLIT,O,O,O,X
SJOTILZ,O,O,O,X
SJOTIZL,O,O,O,X
SJOTLIZ,O,O,O,X
SJOTLZI,O,O,O,X
SJOTZIL,O,O,O,X
SJOTZLI,O,O,O,X
SJOITLZ,X,O,O,X
SJOITZL,X,O,O,X
SJOILTZ,X,O,O,X
SJOILZT,O,O,O,X
SJOIZTL,O,O,O,X
SJOIZLT,O,O,O,X
SJOLTIZ,X,O,O,X
SJOLTZI,O,X,O,X
SJOLITZ,X,O,O,X
SJOLIZT,O,O,O,X
SJOLZTI,O,O,O,X
SJOLZIT,O,O,O,X
SJOZTIL,O,O,O,X
SJOZTLI,O,O,O,X
SJOZITL,O,O,O,X
SJOZILT,O,O,O,X
SJOZLTI,O,O,O,X
SJOZLIT,O,O,O,X
SZTILJO,O,O,O,X
SZTILOJ,O,O,O,X
SZTIJLO,O,O,O,X
SZTIJOL,O,O,O,X
SZTIOLJ,O,O,O,X
SZTIOJL,O,O,O,X
SZTLIJO,O,O,O,X
SZTLIOJ,O,O,O,X
SZTLJIO,O,O,O,X
SZTLJOI,O,O,O,X
SZTLOIJ,O,O,O,X
SZTLOJI,O,O,O,X
SZTJILO,O,O,O,X
SZTJIOL,O,O,O,X
SZTJLIO,O,O,O,X
SZTJLOI,O,O,O,X
SZTJOIL,O,O,O,X
SZTJOLI,O,O,O,X
SZTOILJ,O,O,O,X
SZTOIJL,O,O,O,X
SZTOLIJ,O,O,O,X
SZTOLJI,O,O,O,X
SZTOJIL,O,O,O,X
SZTOJLI,O,O,O,X
SZITLJO,O,O,O,X
SZITLOJ,O,O,O,X
SZITJLO,O,O,O,X
SZITJOL,O,O,O,X
SZITOLJ,O,O,O,X
SZITOJL,O,O,O,X
SZILTJO,O,O,X,X
SZILTOJ,O,O,X,X
SZILJTO,O,O,X,X
SZILJOT,O,O,O,O
SZILOTJ,O,O,X,X
SZILOJT,O,O,O,O
SZIJTLO,O,O,O,X
SZIJTOL,O,O,O,X
SZIJLTO,O,O,X,X
SZIJLOT,O,O,O,O
SZIJOTL,O,O,O,X
SZIJOLT,O,O,O,O
SZIOTLJ,O,O,O,X
SZIOTJL,O,O,O,X
SZIOLTJ,O,O,X,X
SZIOLJT,O,O,O,O
SZIOJTL,O,O,O,X
SZIOJLT,O,O,O,O
SZLTIJO,O,O,X,X
SZLTIOJ,O,O,X,X
SZLTJIO,O,O,X,X
SZLTJOI,O,O,X,X
SZLTOIJ,O,O,X,X
SZLTOJI,O,O,X,X
SZLITJO,O,O,X,X
SZLITOJ,O,O,X,X
SZLIJTO,O,O,X,X
SZLIJOT,O,O,O,O
SZLIOTJ,O,O,X,X
SZLIOJT,O,O,O,O
SZLJTIO,O,O,X,X
SZLJTOI,O,O,X,X
SZLJITO,O,O,X,X
SZLJIOT,O,O,O,O
SZLJOTI,O,O,O,X
SZLJOIT,O,O,O,O
SZLOTIJ,O,O,X,X
SZLOTJI,O,O,X,X
SZLOITJ,O,O,X,X
SZLOIJT,O,O,O,O
SZLOJTI,O,O,O,X
SZLOJIT,O,O,O,O
