sequence,v115@1gD8GeB8HeC8DeA8BeD8EeH8Je06IvhFxdB2kBFiB6?oBznB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeT6IvhF5jBykBFiB8?nBmnB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jem9IvhF5jBifBFiB0?fBznB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeT6IvhFxdBykBFiB8?nB+oB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Je06IvhFxdB2kBFiBC?oBToB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeT6IvhFldB5jBykBU?iBeoB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhFifBFiBTjB0?fBWtB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhF3fBFiB6oB8?pBznBOpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Je5DJvhF/kBalBFiB8?nBmnBTpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeO/IvhF5jBzfBUiBa?oBlnB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeVCJvhFTeBifB0fBx?nBWtB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeO/IvhFViBajB5jBz?kB0nB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeO/IvhFxdBUiBFjBz?kBStB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeX9IvhFVjBmfB0kBx?nBStBTpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhFykBFiBGoB0?kBXoBTpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhF/kBalBFiB8?nB+oBTpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhFmfBFiBXjB0?kBStBTpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhF3fBFiB8pBC?oBToBOpB
IJSLZTO,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJSLZOT,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IJSLOTZ,X,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X
IJSLOZT,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IJSZTLO,X,O,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X
IJSZTOL,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IJSZLTO,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJSZLOT,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IJSZOTL,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IJSZOLT,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IJSOTLZ,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
IJSOTZL,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IJSOLTZ,X,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X
IJSOLZT,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IJSOZTL,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IJSOZLT,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IJZTLSO,O,O,X,O,O,O,X,X,O,X,X,O,O,O,X,O,X,X
IJZTLOS,O,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
IJZTSLO,O,O,X,O,O,O,X,X,X,X,X,O,X,O,X,O,X,X
IJZTSOL,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IJZTOLS,O,X,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
IJZTOSL,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IJZLTSO,O,O,X,O,O,O,X,X,O,X,X,O,O,X,X,O,X,X
IJZLTOS,O,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
IJZLSTO,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X,O,X,X
IJZLSOT,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
IJZLOTS,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IJZLOST,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IJZSTLO,X,O,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X
IJZSTOL,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IJZSLTO,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IJZSLOT,X,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
IJZSOTL,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IJZSOLT,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
IJZOTLS,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
IJZOTSL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJZOLTS,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IJZOLST,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IJZOSTL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJZOSLT,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IJOTLSZ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IJOTLZS,O,X,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X
IJOTSLZ,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
IJOTSZL,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IJOTZLS,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IJOTZSL,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IJOLTSZ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IJOLTZS,O,X,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
IJOLSTZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOLSZT,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOLZTS,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IJOLZST,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOSTLZ,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
IJOSTZL,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IJOSLTZ,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
IJOSLZT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOSZTL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IJOSZLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOZTLS,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IJOZTSL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IJOZLTS,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IJOZLST,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOZSTL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IJOZSLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISTLJZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISTLJOZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
ISTLZJO,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ISTLZOJ,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ISTLOJZ,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ISTLOZJ,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ISTJLZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISTJLOZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
ISTJZLO,O,X,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
ISTJZOL,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
ISTJOLZ,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
ISTJOZL,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ISTZLJO,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
ISTZLOJ,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ISTZJLO,O,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
ISTZJOL,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ISTZOLJ,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ISTZOJL,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ISTOLJZ,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ISTOLZJ,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ISTOJLZ,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ISTOJZL,O,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
ISTOZLJ,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ISTOZJL,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ISLTJZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLTJOZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
ISLTZJO,O,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ISLTZOJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
ISLTOJZ,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ISLTOZJ,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ISLJTZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLJTOZ,O,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
ISLJZTO,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ISLJZOT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISLJOTZ,X,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X
ISLJOZT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISLZTJO,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ISLZTOJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
ISLZJTO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ISLZJOT,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISLZOTJ,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
ISLZOJT,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISLOTJZ,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
ISLOTZJ,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ISLOJTZ,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
ISLOJZT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISLOZTJ,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
ISLOZJT,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISJTLZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJTLOZ,O,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
ISJTZLO,O,X,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
ISJTZOL,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
ISJTOLZ,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
ISJTOZL,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ISJLTZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJLTOZ,O,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
ISJLZTO,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJLZOT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISJLOTZ,X,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X
ISJLOZT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISJZTLO,O,O,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X
ISJZTOL,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
ISJZLTO,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJZLOT,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISJZOTL,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISJZOLT,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISJOTLZ,O,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
ISJOTZL,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ISJOLTZ,O,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X
ISJOLZT,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISJOZTL,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISJOZLT,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISZTLJO,X,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
ISZTLOJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
ISZTJLO,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
ISZTJOL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISZTOLJ,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ISZTOJL,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ISZLTJO,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ISZLTOJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
ISZLJTO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ISZLJOT,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISZLOTJ,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
ISZLOJT,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISZJTLO,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
ISZJTOL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ISZJLTO,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZJLOT,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISZJOTL,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISZJOLT,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISZOTLJ,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ISZOTJL,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ISZOLTJ,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ISZOLJT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISZOJTL,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISZOJLT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOTLJZ,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ISOTLZJ,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ISOTJLZ,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ISOTJZL,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
ISOTZLJ,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ISOTZJL,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ISOLTJZ,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
ISOLTZJ,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ISOLJTZ,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
ISOLJZT,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISOLZTJ,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ISOLZJT,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISOJTLZ,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
ISOJTZL,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
ISOJLTZ,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
ISOJLZT,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISOJZTL,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
ISOJZLT,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ISOZTLJ,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ISOZTJL,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ISOZLTJ,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ISOZLJT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOZJTL,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOZJLT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZTLJSO,X,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X
IZTLJOS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZTLSJO,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X
IZTLSOJ,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
IZTLOJS,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IZTLOSJ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IZTJLSO,X,O,O,X,X,X,X,X,O,X,X,O,O,O,X,X,O,X
IZTJLOS,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IZTJSLO,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IZTJSOL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZTJOLS,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IZTJOSL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZTSLJO,X,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
IZTSLOJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O
IZTSJLO,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IZTSJOL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZTSOLJ,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IZTSOJL,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZTOLJS,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
IZTOLSJ,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
IZTOJLS,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IZTOJSL,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IZTOSLJ,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IZTOSJL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLTJSO,X,O,O,X,X,X,X,X,O,X,X,O,O,O,X,X,O,X
IZLTJOS,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IZLTSJO,X,O,X,X,X,X,X,X,O,X,X,O,O,O,X,X,O,X
IZLTSOJ,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
IZLTOJS,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
IZLTOSJ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IZLJTSO,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,O,X
IZLJTOS,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
IZLJSTO,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X
IZLJSOT,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
IZLJOTS,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZLJOST,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZLSTJO,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
IZLSTOJ,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
IZLSJTO,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
IZLSJOT,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZLSOTJ,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZLSOJT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLOTJS,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZLOTSJ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IZLOJTS,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZLOJST,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZLOSTJ,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZLOSJT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJTLSO,X,O,X,X,X,O,X,X,O,X,X,O,O,O,X,X,O,X
IZJTLOS,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
IZJTSLO,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
IZJTSOL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IZJTOLS,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
IZJTOSL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IZJLTSO,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,O,X
IZJLTOS,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
IZJLSTO,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X
IZJLSOT,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
IZJLOTS,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZJLOST,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZJSTLO,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
IZJSTOL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IZJSLTO,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZJSLOT,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
IZJSOTL,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZJSOLT,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
IZJOTLS,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
IZJOTSL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJOLTS,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZJOLST,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZJOSTL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJOSLT,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZSTLJO,X,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
IZSTLOJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O
IZSTJLO,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IZSTJOL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSTOLJ,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IZSTOJL,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZSLTJO,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IZSLTOJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O
IZSLJTO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZSLJOT,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSLOTJ,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IZSLOJT,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSJTLO,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
IZSJTOL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IZSJLTO,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZSJLOT,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
IZSJOTL,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSJOLT,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
IZSOTLJ,X,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IZSOTJL,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZSOLTJ,X,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IZSOLJT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSOJTL,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSOJLT,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZOTLJS,X,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
IZOTLSJ,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
IZOTJLS,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IZOTJSL,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IZOTSLJ,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IZOTSJL,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOLTJS,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IZOLTSJ,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
IZOLJTS,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOLJST,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOLSTJ,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
IZOLSJT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOJTLS,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IZOJTSL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
