sequence,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jex7IvhFXdBOjBSnBl?lB0rBzqB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jel7IvhFCdBOjB/mBT?iB0lBRwB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jex7IvhF6iBOjB3gBz?hB8qB1wB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je07IvhFxcBOjBSnBl?lBXrBzrB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je08IvhFxdBziBllB3?mB6qB2wB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je08IvhFxdB3gBziBl?mB6qB2wB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je07IvhFxcBOjBTiBl?lBXrBqrB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je38IvhFFeB5lB0iBi?gBTrBmrB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je07IvhF6hBxdBziBl?lBXrBesB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jex7IvhFTdBOjBllBc?rBXsBCrB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je07IvhFzcB3iBFjBx?lBCrB2wB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je07IvhFXdBOjBSnBl?lBTmBRwB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jex7IvhFOjBTiBllBc?rBCrBXsB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jex9IvhF3gBziBGrBa?sBcrBlqB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jem7IvhFXeB1lBzhB0?iBSrBRwB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jem7IvhF0dB1lBzhBX?jBSrBRwB
IZJTSLO,O,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X
IZJTSOL,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
IZJTOLS,O,X,O,X,X,X,X,O,X,X,X,O,O,X,X,O
IZJTOSL,X,O,O,X,X,X,X,O,X,O,X,X,X,X,O,O
IZJLTSO,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZJLTOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZJLSTO,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZJLSOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLOTS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLOST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSTLO,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZJSTOL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZJSLTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSLOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSOTL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZJSOLT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOTLS,O,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X
IZJOTSL,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IZJOLTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJOLST,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IZJOSTL,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZJOSLT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSTLJO,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X
IZSTLOJ,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X
IZSTJLO,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X
IZSTJOL,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IZSTOLJ,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
IZSTOJL,X,O,X,X,X,X,X,O,O,X,O,X,X,X,O,X
IZSLTJO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSLTOJ,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZSLJTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLJOT,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSLOTJ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSLOJT,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSJTLO,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZSJTOL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSJLTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJLOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOTL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSJOLT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOTLJ,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZSOTJL,X,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X
IZSOLTJ,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZSOLJT,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSOJTL,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZSOJLT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOTLJS,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O
IZOTLSJ,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
IZOTJLS,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,O
IZOTJSL,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,O
IZOTSLJ,X,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X
IZOTSJL,X,O,X,X,O,O,X,O,X,X,O,X,X,X,O,O
IZOLTJS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IZOLTSJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOLJTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOLJST,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOLSTJ,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZOLSJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJTLS,O,X,X,X,X,O,X,O,X,X,X,O,O,X,X,O
IZOJTSL,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O
IZOJLTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOJLST,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IZOJSTL,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZOJSLT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOSTLJ,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IZOSTJL,X,O,X,X,O,X,X,O,X,X,O,X,X,X,O,O
IZOSLTJ,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZOSLJT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJTL,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZOSJLT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTLJSZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X
IOTLJZS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
IOTLSJZ,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X
IOTLSZJ,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IOTLZJS,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
IOTLZSJ,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
IOTJLSZ,X,O,O,X,X,O,X,X,X,X,X,O,X,O,O,X
IOTJLZS,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O
IOTJSLZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X
IOTJSZL,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,O
IOTJZLS,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,O
IOTJZSL,X,O,O,X,X,O,X,O,X,O,X,X,X,X,O,O
IOTSLJZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
IOTSLZJ,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOTSJLZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
IOTSJZL,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,O
IOTSZLJ,X,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X
IOTSZJL,X,O,X,X,O,O,X,O,X,X,O,X,X,X,O,O
IOTZLJS,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
IOTZLSJ,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
IOTZJLS,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
IOTZJSL,X,O,O,X,X,O,X,O,X,O,X,X,X,X,O,O
IOTZSLJ,X,O,O,X,O,O,X,O,X,X,O,X,X,X,X,X
IOTZSJL,X,O,O,X,O,O,X,O,X,X,O,X,X,X,O,O
IOLTJSZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X
IOLTJZS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
IOLTSJZ,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X
IOLTSZJ,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IOLTZJS,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
IOLTZSJ,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
IOLJTSZ,X,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X
IOLJTZS,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOLJSTZ,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IOLJSZT,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IOLJZTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLJZST,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IOLSTJZ,X,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X
IOLSTZJ,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOLSJTZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLSJZT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLSZJT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZTJS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOLZTSJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLZJTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLZJST,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLZSTJ,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOLZSJT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTLSZ,X,O,O,X,X,O,X,X,X,X,X,O,X,O,O,X
IOJTLZS,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O
IOJTSLZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X
IOJTSZL,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,O
IOJTZLS,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,O
IOJTZSL,X,O,O,X,X,O,X,O,X,O,X,X,X,X,O,O
IOJLTSZ,X,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X
IOJLTZS,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOJLSTZ,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IOJLSZT,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IOJLZTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJLZST,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IOJSTLZ,X,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
IOJSTZL,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,X
IOJSLTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOJSLZT,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IOJSZTL,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOJSZLT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJZTLS,O,X,X,X,X,O,X,O,X,X,X,O,O,X,X,O
IOJZTSL,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O
IOJZLTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJZLST,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IOJZSTL,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOJZSLT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSTLJZ,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X
IOSTLZJ,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IOSTJLZ,X,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X
IOSTJZL,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O,O
IOSTZLJ,X,O,X,X,O,O,X,O,O,X,O,X,X,X,X,X
IOSTZJL,X,O,X,X,O,O,X,O,O,X,O,X,X,X,O,O
IOSLTJZ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IOSLTZJ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSLJTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLJZT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSLZJT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJTLZ,X,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
IOSJTZL,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,X
IOSJLTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOSJLZT,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IOSJZTL,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOSJZLT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSZTLJ,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOSZTJL,X,O,X,X,O,X,X,O,X,X,O,X,X,X,O,O
IOSZLTJ,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOSZLJT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZJTL,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOSZJLT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZTLJS,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O
IOZTLSJ,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
IOZTJLS,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,O
IOZTJSL,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,O
IOZTSLJ,X,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X
IOZTSJL,X,O,X,X,O,O,X,O,X,X,O,X,X,X,O,O
IOZLTJS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOZLTSJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZLJTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZLJST,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZLSTJ,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOZLSJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJTLS,O,X,X,X,X,O,X,O,X,X,X,O,O,X,X,O
IOZJTSL,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O
IOZJLTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZJLST,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IOZJSTL,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOZJSLT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZSTLJ,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOZSTJL,X,O,X,X,O,X,X,O,X,X,O,X,X,X,O,O
IOZSLTJ,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOZSLJT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSJTL,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOZSJLT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIJSZO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LTIJSOZ,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LTIJZSO,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTIJZOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTIJOSZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTIJOZS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTISJZO,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTISJOZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTISZJO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTISZOJ,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
LTISOJZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTISOZJ,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
LTIZJSO,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTIZJOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTIZSJO,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
LTIZSOJ,O,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X
LTIZOJS,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
LTIZOSJ,O,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X
LTIOJSZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTIOJZS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTIOSJZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTIOSZJ,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
LTIOZJS,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
LTIOZSJ,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X
LTJISZO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LTJISOZ,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LTJIZSO,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LTJIZOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTJIOSZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTJIOZS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LTJSIZO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LTJSIOZ,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LTJSZIO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJSZOI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJSOIZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJSOZI,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJZISO,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJZIOS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZSIO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LTJZSOI,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LTJZOIS,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTJZOSI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTJOISZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOIZS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOSIZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJOSZI,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJOZIS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOZSI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIJZO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LTSIJOZ,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LTSIZJO,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
LTSIZOJ,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
LTSIOJZ,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
LTSIOZJ,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
LTSJIZO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LTSJIOZ,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LTSJZIO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSJZOI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSJOIZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSJOZI,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSZIJO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSZIOJ,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
LTSZJIO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSZJOI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSZOIJ,O,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X
LTSZOJI,O,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X
LTSOIJZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSOIZJ,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTSOJIZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSOJZI,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSOZIJ,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X
LTSOZJI,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZIJSO,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTZIJOS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZISJO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZISOJ,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
LTZIOJS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZIOSJ,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
LTZJISO,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTZJIOS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJSIO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LTZJSOI,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LTZJOIS,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTZJOSI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTZSIJO,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
LTZSIOJ,O,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X
LTZSJIO,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTZSJOI,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTZSOIJ,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
LTZSOJI,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
LTZOIJS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZOISJ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTZOJIS,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTZOJSI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTZOSIJ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTZOSJI,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTOIJSZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOIJZS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOISJZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOISZJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTOIZJS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTOIZSJ,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTOJISZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOJIZS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOJSIZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTOJSZI,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTOJZIS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOJZSI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOSIJZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOSIZJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTOSJIZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOSJZI,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOSZIJ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LTOSZJI,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
LTOZIJS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTOZISJ,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTOZJIS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOZJSI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOZSIJ,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTOZSJI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LITJSZO,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LITJSOZ,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X
LITJZSO,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LITJZOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LITJOSZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
LITJOZS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
LITSJZO,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LITSJOZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X
LITSZJO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LITSZOJ,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
LITSOJZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X
LITSOZJ,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X
LITZJSO,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
LITZJOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
LITZSJO,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
LITZSOJ,O,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X
