sequence,v115@zgA8FeB8AeA8GeA8AeA8AeA8EeA8AeC8DeB8AeE8Ae?D8Jeu/IvhF3bBzcB5jB8lBSnBlrB,v115@zgA8FeB8AeA8GeA8AeA8AeA8EeA8AeC8DeB8AeE8Ae?D8Jeu/IvhF3cB5jB6lBTiBUhBlrB,v115@zgA8FeB8AeA8GeA8AeA8AeA8EeA8AeC8DeB8AeE8Ae?D8Jeu/IvhF3bBUdB5jBzlBFnB6rB,v115@zgA8FeB8AeA8GeA8AeA8AeA8EeA8AeC8DeB8AeE8Ae?D8Jeu/IvhF/iB5jB6lBThB8rBFrB
ITOSJLZ,X,O,O,X
ITOSJZL,X,X,O,X
ITOSZLJ,X,O,O,X
ITOSZJL,X,X,O,X
ITOZLJS,O,O,O,X
ITOZLSJ,O,O,O,X
ITOZJLS,O,X,O,X
ITOZJSL,O,X,O,X
ITOZSLJ,O,O,O,X
ITOZSJL,O,X,O,X
ILTJSZO,O,X,X,O
ILTJSOZ,O,O,X,X
ILTJZSO,O,X,X,X
ILTJZOS,O,O,O,X
ILTJOSZ,O,O,O,X
ILTJOZS,O,O,O,X
ILTSJZO,O,X,X,O
ILTSJOZ,O,O,X,X
ILTSZJO,O,X,X,O
ILTSZOJ,O,X,X,O
ILTSOJZ,O,O,X,X
ILTSOZJ,O,O,X,X
ILTZJSO,O,X,X,X
ILTZJOS,O,O,O,X
ILTZSJO,O,X,X,X
ILTZSOJ,O,X,X,X
ILTZOJS,O,O,O,X
ILTZOSJ,O,O,O,X
ILTOJSZ,O,O,O,X
ILTOJZS,O,O,O,X
ILTOSJZ,O,O,O,X
ILTOSZJ,O,O,O,X
ILTOZJS,O,O,O,X
ILTOZSJ,O,O,O,X
ILJTSZO,O,X,X,O
ILJTSOZ,O,O,X,X
ILJTZSO,O,X,X,X
ILJTZOS,O,O,O,X
ILJTOSZ,O,O,O,X
ILJTOZS,O,O,O,X
ILJSTZO,O,X,X,O
ILJSTOZ,O,O,X,X
ILJSZTO,O,X,X,O
ILJSZOT,O,X,X,O
ILJSOTZ,O,O,O,X
ILJSOZT,O,O,X,O
ILJZTSO,O,X,X,X
ILJZTOS,O,O,X,X
ILJZSTO,O,X,X,O
ILJZSOT,O,X,X,O
ILJZOTS,O,O,X,X
ILJZOST,O,O,X,X
ILJOTSZ,O,O,O,X
ILJOTZS,O,O,O,X
ILJOSTZ,O,O,O,X
ILJOSZT,O,O,X,O
ILJOZTS,O,O,X,X
ILJOZST,O,O,X,X
ILSTJZO,O,X,X,O
ILSTJOZ,O,O,X,X
ILSTZJO,O,X,X,O
ILSTZOJ,O,X,X,O
ILSTOJZ,O,O,X,X
ILSTOZJ,O,O,X,X
ILSJTZO,O,X,X,O
ILSJTOZ,O,O,X,X
ILSJZTO,O,X,X,O
ILSJZOT,O,X,X,O
ILSJOTZ,O,O,O,X
ILSJOZT,O,O,X,O
ILSZTJO,O,X,X,O
ILSZTOJ,O,X,X,O
ILSZJTO,O,X,X,O
ILSZJOT,O,X,X,O
ILSZOTJ,O,X,X,O
ILSZOJT,O,X,X,O
ILSOTJZ,O,O,O,X
ILSOTZJ,O,O,O,X
ILSOJTZ,O,O,O,X
ILSOJZT,O,O,X,O
ILSOZTJ,O,X,X,O
ILSOZJT,O,O,X,O
ILZTJSO,O,X,X,X
ILZTJOS,O,O,X,X
ILZTSJO,O,X,X,X
ILZTSOJ,O,X,X,X
ILZTOJS,O,O,X,X
ILZTOSJ,O,O,X,X
ILZJTSO,O,X,X,X
ILZJTOS,O,O,X,X
ILZJSTO,O,X,X,O
ILZJSOT,O,X,X,O
ILZJOTS,O,O,X,X
ILZJOST,O,O,X,X
ILZSTJO,O,X,X,O
ILZSTOJ,O,X,X,O
ILZSJTO,O,X,X,O
ILZSJOT,O,X,X,O
ILZSOTJ,O,X,X,O
ILZSOJT,O,X,X,O
ILZOTJS,O,O,X,X
ILZOTSJ,O,O,X,X
ILZOJTS,O,O,X,X
ILZOJST,O,O,X,X
ILZOSTJ,O,X,X,X
ILZOSJT,O,O,X,X
ILOTJSZ,O,O,O,X
ILOTJZS,O,O,O,X
ILOTSJZ,O,O,O,X
ILOTSZJ,O,O,O,X
ILOTZJS,O,O,O,X
ILOTZSJ,O,O,O,X
ILOJTSZ,O,O,O,X
ILOJTZS,O,O,O,X
ILOJSTZ,O,O,O,X
ILOJSZT,O,O,X,O
ILOJZTS,O,O,X,X
ILOJZST,O,O,X,X
ILOSTJZ,O,O,O,X
ILOSTZJ,O,O,O,X
ILOSJTZ,O,O,O,X
ILOSJZT,O,O,X,O
ILOSZTJ,O,X,X,O
ILOSZJT,O,O,X,O
ILOZTJS,O,O,X,X
ILOZTSJ,O,O,X,X
ILOZJTS,O,O,X,X
ILOZJST,O,O,X,X
ILOZSTJ,O,X,X,X
ILOZSJT,O,O,X,X
IJTLSZO,O,X,X,O
IJTLSOZ,O,O,X,X
IJTLZSO,O,X,X,X
IJTLZOS,O,O,O,X
IJTLOSZ,O,O,O,X
IJTLOZS,O,O,O,X
IJTSLZO,O,X,X,O
IJTSLOZ,O,X,X,X
IJTSZLO,O,X,X,O
IJTSZOL,O,X,O,X
IJTSOLZ,X,X,O,X
IJTSOZL,X,X,O,X
IJTZLSO,O,X,X,X
IJTZLOS,O,X,O,X
IJTZSLO,O,X,X,X
IJTZSOL,O,X,O,X
IJTZOLS,O,X,O,X
IJTZOSL,O,X,O,X
IJTOLSZ,O,O,O,X
IJTOLZS,O,O,O,X
IJTOSLZ,X,O,O,X
IJTOSZL,X,X,O,X
IJTOZLS,O,X,O,X
IJTOZSL,O,X,O,X
IJLTSZO,O,X,X,O
IJLTSOZ,O,O,X,X
IJLTZSO,O,X,X,X
IJLTZOS,O,O,O,X
IJLTOSZ,O,O,O,X
IJLTOZS,O,O,O,X
IJLSTZO,O,X,X,O
IJLSTOZ,O,O,X,X
IJLSZTO,O,X,X,O
IJLSZOT,O,X,X,O
IJLSOTZ,O,O,O,X
IJLSOZT,O,O,X,O
IJLZTSO,O,X,X,X
IJLZTOS,O,O,X,X
IJLZSTO,O,X,X,O
IJLZSOT,O,X,X,O
IJLZOTS,O,O,X,X
IJLZOST,O,O,X,X
IJLOTSZ,O,O,O,X
IJLOTZS,O,O,O,X
IJLOSTZ,O,O,O,X
IJLOSZT,O,O,X,O
IJLOZTS,O,O,X,X
IJLOZST,O,O,X,X
IJSTLZO,O,X,X,O
IJSTLOZ,O,X,X,X
IJSTZLO,O,X,X,O
IJSTZOL,O,X,O,X
IJSTOLZ,X,X,O,X
IJSTOZL,X,X,O,X
IJSLTZO,O,X,X,O
IJSLTOZ,O,O,X,X
IJSLZTO,O,X,X,O
IJSLZOT,O,X,X,O
IJSLOTZ,O,O,O,X
IJSLOZT,O,O,X,O
IJSZTLO,O,X,X,O
IJSZTOL,O,X,X,X
IJSZLTO,O,X,X,O
IJSZLOT,O,X,X,O
IJSZOTL,O,X,O,X
IJSZOLT,O,X,X,O
IJSOTLZ,X,X,O,X
IJSOTZL,X,X,O,X
IJSOLTZ,X,O,O,X
IJSOLZT,X,O,X,O
IJSOZTL,O,X,O,X
IJSOZLT,O,X,X,O
IJZTLSO,O,X,X,X
IJZTLOS,O,X,O,X
IJZTSLO,O,X,X,X
IJZTSOL,O,X,O,X
IJZTOLS,O,X,O,X
IJZTOSL,O,X,O,X
IJZLTSO,O,X,X,X
IJZLTOS,O,O,X,X
IJZLSTO,O,X,X,O
IJZLSOT,O,X,X,O
IJZLOTS,O,O,X,X
IJZLOST,O,O,X,X
IJZSTLO,O,X,X,O
IJZSTOL,O,X,X,X
IJZSLTO,O,X,X,O
IJZSLOT,O,X,X,O
IJZSOTL,O,X,O,X
IJZSOLT,O,X,X,O
IJZOTLS,O,X,O,X
IJZOTSL,O,X,O,X
IJZOLTS,O,O,X,X
IJZOLST,O,O,X,X
IJZOSTL,O,X,O,X
IJZOSLT,O,X,X,X
IJOTLSZ,O,O,O,X
IJOTLZS,O,O,O,X
IJOTSLZ,X,O,O,X
IJOTSZL,X,X,O,X
IJOTZLS,O,X,O,X
IJOTZSL,O,X,O,X
IJOLTSZ,O,O,O,X
IJOLTZS,O,O,O,X
IJOLSTZ,O,O,O,X
IJOLSZT,O,O,X,O
IJOLZTS,O,O,X,X
IJOLZST,O,O,X,X
IJOSTLZ,X,X,O,X
IJOSTZL,X,X,O,X
IJOSLTZ,X,O,O,X
IJOSLZT,X,O,X,O
IJOSZTL,O,X,O,X
IJOSZLT,O,X,X,O
IJOZTLS,O,X,O,X
IJOZTSL,O,X,O,X
IJOZLTS,O,O,X,X
IJOZLST,O,O,X,X
IJOZSTL,O,X,O,X
IJOZSLT,O,X,X,X
ISTLJZO,O,X,X,O
ISTLJOZ,O,O,X,X
ISTLZJO,O,X,X,O
ISTLZOJ,O,X,X,O
ISTLOJZ,O,O,X,X
ISTLOZJ,O,O,X,X
ISTJLZO,O,X,X,O
ISTJLOZ,O,X,X,X
ISTJZLO,O,X,X,O
ISTJZOL,O,X,O,X
ISTJOLZ,X,X,O,X
ISTJOZL,X,X,O,X
ISTZLJO,O,X,X,O
ISTZLOJ,O,X,X,O
ISTZJLO,O,X,X,O
ISTZJOL,O,X,O,X
ISTZOLJ,O,X,O,O
ISTZOJL,O,X,O,X
ISTOLJZ,X,O,O,X
ISTOLZJ,X,O,O,X
ISTOJLZ,X,O,O,X
ISTOJZL,X,X,O,X
ISTOZLJ,X,O,O,X
ISTOZJL,X,X,O,X
ISLTJZO,O,X,X,O
ISLTJOZ,O,O,X,X
ISLTZJO,O,X,X,O
ISLTZOJ,O,X,X,O
ISLTOJZ,O,O,X,X
ISLTOZJ,O,O,X,X
ISLJTZO,O,X,X,O
ISLJTOZ,O,O,X,X
ISLJZTO,O,X,X,O
ISLJZOT,O,X,X,O
ISLJOTZ,O,O,O,X
ISLJOZT,O,O,X,O
ISLZTJO,O,X,X,O
ISLZTOJ,O,X,X,O
ISLZJTO,O,X,X,O
ISLZJOT,O,X,X,O
ISLZOTJ,O,X,X,O
ISLZOJT,O,X,X,O
ISLOTJZ,O,O,O,X
ISLOTZJ,O,O,O,X
ISLOJTZ,O,O,O,X
ISLOJZT,O,O,X,O
ISLOZTJ,O,X,X,O
ISLOZJT,O,O,X,O
ISJTLZO,O,X,X,O
ISJTLOZ,O,X,X,X
ISJTZLO,O,X,X,O
ISJTZOL,O,X,O,X
ISJTOLZ,X,X,O,X
ISJTOZL,X,X,O,X
ISJLTZO,O,X,X,O
ISJLTOZ,O,O,X,X
ISJLZTO,O,X,X,O
ISJLZOT,O,X,X,O
ISJLOTZ,O,O,O,X
ISJLOZT,O,O,X,O
ISJZTLO,O,X,X,O
ISJZTOL,O,X,X,X
ISJZLTO,O,X,X,O
ISJZLOT,O,X,X,O
ISJZOTL,O,X,O,X
ISJZOLT,O,X,X,O
ISJOTLZ,X,X,O,X
ISJOTZL,X,X,O,X
ISJOLTZ,X,O,O,X
ISJOLZT,X,O,X,O
ISJOZTL,O,X,O,X
ISJOZLT,O,X,X,O
ISZTLJO,O,X,X,O
ISZTLOJ,O,X,X,O
ISZTJLO,O,X,X,O
ISZTJOL,O,X,X,X
ISZTOLJ,O,X,X,O
ISZTOJL,O,X,X,X
ISZLTJO,O,X,X,O
ISZLTOJ,O,X,X,O
ISZLJTO,O,X,X,O
ISZLJOT,O,X,X,O
ISZLOTJ,O,X,X,O
ISZLOJT,O,X,X,O
ISZJTLO,O,X,X,O
ISZJTOL,O,X,X,X
ISZJLTO,O,X,X,O
ISZJLOT,O,X,X,O
ISZJOTL,O,X,O,X
ISZJOLT,O,X,X,O
ISZOTLJ,O,X,O,O
ISZOTJL,O,X,O,X
ISZOLTJ,O,X,X,O
ISZOLJT,O,X,X,O
ISZOJTL,O,X,O,X
ISZOJLT,O,X,X,O
ISOTLJZ,X,O,O,X
ISOTLZJ,X,O,O,X
ISOTJLZ,X,O,O,X
ISOTJZL,X,X,O,X
ISOTZLJ,X,O,O,X
ISOTZJL,X,X,O,X
ISOLTJZ,X,O,O,X
ISOLTZJ,X,O,O,X
ISOLJTZ,X,O,O,X
ISOLJZT,X,O,X,O
ISOLZTJ,X,X,X,O
ISOLZJT,X,O,X,O
ISOJTLZ,X,X,O,X
ISOJTZL,X,X,O,X
ISOJLTZ,X,O,O,X
ISOJLZT,X,O,X,O
ISOJZTL,O,X,O,X
ISOJZLT,O,X,X,O
ISOZTLJ,O,X,O,O
ISOZTJL,O,X,O,X
ISOZLTJ,O,X,X,O
ISOZLJT,O,O,X,O
ISOZJTL,O,X,O,X
ISOZJLT,O,X,X,O
IZTLJSO,O,X,X,X
IZTLJOS,O,O,O,X
IZTLSJO,O,X,X,X
IZTLSOJ,O,X,X,X
IZTLOJS,O,O,O,X
IZTLOSJ,O,O,O,X
IZTJLSO,O,X,X,X
IZTJLOS,O,X,O,X
IZTJSLO,O,X,X,X
IZTJSOL,O,X,O,X
IZTJOLS,O,X,O,X
IZTJOSL,O,X,O,X
IZTSLJO,O,X,X,X
IZTSLOJ,O,X,X,X
IZTSJLO,O,X,X,X
IZTSJOL,O,X,O,X
IZTSOLJ,O,X,O,X
IZTSOJL,O,X,O,X
IZTOLJS,O,O,O,X
IZTOLSJ,O,O,O,X
IZTOJLS,O,X,O,X
IZTOJSL,O,X,O,X
IZTOSLJ,O,O,O,X
IZTOSJL,O,X,O,X
IZLTJSO,O,X,X,X
IZLTJOS,O,O,X,X
IZLTSJO,O,X,X,X
IZLTSOJ,O,X,X,X
IZLTOJS,O,O,X,X
IZLTOSJ,O,O,X,X
IZLJTSO,O,X,X,X
IZLJTOS,O,O,X,X
IZLJSTO,O,X,X,O
IZLJSOT,O,X,X,O
IZLJOTS,O,O,X,X
IZLJOST,O,O,X,X
IZLSTJO,O,X,X,O
IZLSTOJ,O,X,X,O
IZLSJTO,O,X,X,O
IZLSJOT,O,X,X,O
IZLSOTJ,O,X,X,O
IZLSOJT,O,X,X,O
IZLOTJS,O,O,X,X
IZLOTSJ,O,O,X,X
IZLOJTS,O,O,X,X
IZLOJST,O,O,X,X
IZLOSTJ,O,X,X,X
IZLOSJT,O,O,X,X
IZJTLSO,O,X,X,X
IZJTLOS,O,X,O,X
IZJTSLO,O,X,X,X
IZJTSOL,O,X,O,X
IZJTOLS,O,X,O,X
IZJTOSL,O,X,O,X
IZJLTSO,O,X,X,X
IZJLTOS,O,O,X,X
IZJLSTO,O,X,X,O
IZJLSOT,O,X,X,O
IZJLOTS,O,O,X,X
IZJLOST,O,O,X,X
IZJSTLO,O,X,X,O
IZJSTOL,O,X,X,X
IZJSLTO,O,X,X,O
IZJSLOT,O,X,X,O
IZJSOTL,O,X,O,X
IZJSOLT,O,X,X,O
IZJOTLS,O,X,O,X
IZJOTSL,O,X,O,X
IZJOLTS,O,O,X,X
IZJOLST,O,O,X,X
IZJOSTL,O,X,O,X
IZJOSLT,O,X,X,X
IZSTLJO,O,X,X,O
IZSTLOJ,O,X,X,O
IZSTJLO,O,X,X,O
IZSTJOL,O,X,X,X
IZSTOLJ,O,X,X,O
IZSTOJL,O,X,X,X
IZSLTJO,O,X,X,O
IZSLTOJ,O,X,X,O
IZSLJTO,O,X,X,O
IZSLJOT,O,X,X,O
IZSLOTJ,O,X,X,O
IZSLOJT,O,X,X,O
IZSJTLO,O,X,X,O
IZSJTOL,O,X,X,X
IZSJLTO,O,X,X,O
IZSJLOT,O,X,X,O
IZSJOTL,O,X,O,X
IZSJOLT,O,X,X,O
IZSOTLJ,O,X,O,O
IZSOTJL,O,X,O,X
IZSOLTJ,O,X,X,O
IZSOLJT,O,X,X,O
IZSOJTL,O,X,O,X
IZSOJLT,O,X,X,O
IZOTLJS,O,O,O,X
IZOTLSJ,O,O,O,X
IZOTJLS,O,X,O,X
IZOTJSL,O,X,O,X
IZOTSLJ,O,O,O,X
IZOTSJL,O,X,O,X
IZOLTJS,O,O,X,X
IZOLTSJ,O,O,X,X
IZOLJTS,O,O,X,X
IZOLJST,O,O,X,X
IZOLSTJ,O,X,X,X
IZOLSJT,O,O,X,X
IZOJTLS,O,X,O,X
IZOJTSL,O,X,O,X
IZOJLTS,O,O,X,X
IZOJLST,O,O,X,X
IZOJSTL,O,X,O,X
IZOJSLT,O,X,X,X
IZOSTLJ,O,X,O,X
IZOSTJL,O,X,O,X
IZOSLTJ,O,X,X,X
IZOSLJT,O,O,X,X
IZOSJTL,O,X,O,X
IZOSJLT,O,X,X,X
IOTLJSZ,O,O,O,X
IOTLJZS,O,O,O,X
IOTLSJZ,O,O,O,X
IOTLSZJ,O,O,O,X
IOTLZJS,O,O,O,X
IOTLZSJ,O,O,O,X
IOTJLSZ,O,O,O,X
IOTJLZS,O,O,O,X
IOTJSLZ,X,O,O,X
IOTJSZL,X,X,O,X
IOTJZLS,O,X,O,X
IOTJZSL,O,X,O,X
IOTSLJZ,X,O,O,X
IOTSLZJ,X,O,O,X
IOTSJLZ,X,O,O,X
IOTSJZL,X,X,O,X
IOTSZLJ,X,O,O,X
IOTSZJL,X,X,O,X
IOTZLJS,O,O,O,X
IOTZLSJ,O,O,O,X
IOTZJLS,O,X,O,X
IOTZJSL,O,X,O,X
IOTZSLJ,O,O,O,X
IOTZSJL,O,X,O,X
IOLTJSZ,O,O,O,X
IOLTJZS,O,O,O,X
IOLTSJZ,O,O,O,X
IOLTSZJ,O,O,O,X
IOLTZJS,O,O,O,X
IOLTZSJ,O,O,O,X
IOLJTSZ,O,O,O,X
IOLJTZS,O,O,O,X
IOLJSTZ,O,O,O,X
IOLJSZT,O,O,X,O
IOLJZTS,O,O,X,X
IOLJZST,O,O,X,X
IOLSTJZ,O,O,O,X
IOLSTZJ,O,O,O,X
IOLSJTZ,O,O,O,X
IOLSJZT,O,O,X,O
IOLSZTJ,O,X,X,O
IOLSZJT,O,O,X,O
IOLZTJS,O,O,X,X
IOLZTSJ,O,O,X,X
IOLZJTS,O,O,X,X
IOLZJST,O,O,X,X
IOLZSTJ,O,X,X,X
IOLZSJT,O,O,X,X
IOJTLSZ,O,O,O,X
IOJTLZS,O,O,O,X
IOJTSLZ,X,O,O,X
IOJTSZL,X,X,O,X
IOJTZLS,O,X,O,X
IOJTZSL,O,X,O,X
IOJLTSZ,O,O,O,X
IOJLTZS,O,O,O,X
IOJLSTZ,O,O,O,X
IOJLSZT,O,O,X,O
IOJLZTS,O,O,X,X
IOJLZST,O,O,X,X
IOJSTLZ,X,X,O,X
IOJSTZL,X,X,O,X
IOJSLTZ,X,O,O,X
IOJSLZT,X,O,X,O
IOJSZTL,O,X,O,X
IOJSZLT,O,X,X,O
IOJZTLS,O,X,O,X
IOJZTSL,O,X,O,X
IOJZLTS,O,O,X,X
IOJZLST,O,O,X,X
IOJZSTL,O,X,O,X
IOJZSLT,O,X,X,X
IOSTLJZ,X,O,O,X
IOSTLZJ,X,O,O,X
IOSTJLZ,X,O,O,X
IOSTJZL,X,X,O,X
IOSTZLJ,X,O,O,X
IOSTZJL,X,X,O,X
IOSLTJZ,X,O,O,X
IOSLTZJ,X,O,O,X
IOSLJTZ,X,O,O,X
IOSLJZT,X,O,X,O
IOSLZTJ,X,X,X,O
IOSLZJT,X,O,X,O
IOSJTLZ,X,X,O,X
IOSJTZL,X,X,O,X
IOSJLTZ,X,O,O,X
IOSJLZT,X,O,X,O
IOSJZTL,O,X,O,X
IOSJZLT,O,X,X,O
IOSZTLJ,O,X,O,O
IOSZTJL,O,X,O,X
IOSZLTJ,O,X,X,O
IOSZLJT,O,O,X,O
IOSZJTL,O,X,O,X
IOSZJLT,O,X,X,O
IOZTLJS,O,O,O,X
IOZTLSJ,O,O,O,X
IOZTJLS,O,X,O,X
IOZTJSL,O,X,O,X
IOZTSLJ,O,O,O,X
IOZTSJL,O,X,O,X
IOZLTJS,O,O,X,X
IOZLTSJ,O,O,X,X
IOZLJTS,O,O,X,X
IOZLJST,O,O,X,X
IOZLSTJ,O,X,X,X
IOZLSJT,O,O,X,X
IOZJTLS,O,X,O,X
IOZJTSL,O,X,O,X
IOZJLTS,O,O,X,X
IOZJLST,O,O,X,X
IOZJSTL,O,X,O,X
IOZJSLT,O,X,X,X
IOZSTLJ,O,X,O,X
IOZSTJL,O,X,O,X
IOZSLTJ,O,X,X,X
IOZSLJT,O,O,X,X
IOZSJTL,O,X,O,X
IOZSJLT,O,X,X,X
LTIJSZO,O,X,X,O
LTIJSOZ,O,O,X,X
LTIJZSO,O,X,X,X
LTIJZOS,O,O,O,X
LTIJOSZ,O,O,O,X
LTIJOZS,O,O,O,X
LTISJZO,O,X,X,O
LTISJOZ,O,O,X,X
LTISZJO,O,X,X,O
LTISZOJ,O,X,X,O
LTISOJZ,O,O,X,X
LTISOZJ,O,O,X,X
LTIZJSO,O,X,X,X
LTIZJOS,O,O,O,X
LTIZSJO,O,X,X,X
LTIZSOJ,O,X,X,X
LTIZOJS,O,O,O,X
LTIZOSJ,O,O,O,X
LTIOJSZ,O,O,O,X
LTIOJZS,O,O,O,X
LTIOSJZ,O,O,O,X
LTIOSZJ,O,O,O,X
LTIOZJS,O,O,O,X
LTIOZSJ,O,O,O,X
LTJISZO,O,X,X,O
LTJISOZ,O,O,X,X
LTJIZSO,O,X,X,X
LTJIZOS,O,O,O,X
LTJIOSZ,O,O,O,X
LTJIOZS,O,O,O,X
LTJSIZO,O,X,X,O
LTJSIOZ,O,O,X,X
LTJSZIO,O,X,X,O
LTJSZOI,O,X,X,O
LTJSOIZ,O,O,X,X
LTJSOZI,O,O,X,X
LTJZISO,O,X,X,X
LTJZIOS,O,O,O,X
LTJZSIO,O,X,X,X
LTJZSOI,O,X,X,X
LTJZOIS,O,O,O,X
LTJZOSI,O,O,O,X
LTJOISZ,O,O,O,X
LTJOIZS,O,O,O,X
LTJOSIZ,O,O,O,X
LTJOSZI,O,O,O,X
LTJOZIS,O,O,O,X
LTJOZSI,O,O,O,X
LTSIJZO,O,X,X,O
LTSIJOZ,O,O,X,X
LTSIZJO,O,X,X,O
LTSIZOJ,O,X,X,O
LTSIOJZ,O,O,X,X
LTSIOZJ,O,O,X,X
LTSJIZO,O,X,X,O
LTSJIOZ,O,O,X,X
LTSJZIO,O,X,X,O
LTSJZOI,O,X,X,O
LTSJOIZ,O,O,X,X
LTSJOZI,O,O,X,X
LTSZIJO,O,X,X,O
LTSZIOJ,O,X,X,O
LTSZJIO,O,X,X,O
LTSZJOI,O,X,X,O
LTSZOIJ,O,X,X,O
LTSZOJI,O,X,X,O
LTSOIJZ,O,O,X,X
LTSOIZJ,O,O,X,X
LTSOJIZ,O,O,X,X
LTSOJZI,O,O,X,X
LTSOZIJ,O,O,X,X
LTSOZJI,O,O,X,X
LTZIJSO,O,X,X,X
LTZIJOS,O,O,O,X
LTZISJO,O,X,X,X
LTZISOJ,O,X,X,X
LTZIOJS,O,O,O,X
LTZIOSJ,O,O,O,X
LTZJISO,O,X,X,X
LTZJIOS,O,O,O,X
LTZJSIO,O,X,X,X
LTZJSOI,O,X,X,X
LTZJOIS,O,O,O,X
LTZJOSI,O,O,O,X
LTZSIJO,O,X,X,X
LTZSIOJ,O,X,X,X
LTZSJIO,O,X,X,X
LTZSJOI,O,X,X,X
LTZSOIJ,O,X,X,X
LTZSOJI,O,X,X,X
LTZOIJS,O,O,O,X
LTZOISJ,O,O,O,X
LTZOJIS,O,O,O,X
LTZOJSI,O,O,O,X
LTZOSIJ,O,O,O,X
LTZOSJI,O,O,O,X
LTOIJSZ,O,O,O,X
LTOIJZS,O,O,O,X
LTOISJZ,O,O,O,X
LTOISZJ,O,O,O,X
LTOIZJS,O,O,O,X
LTOIZSJ,O,O,O,X
LTOJISZ,O,O,O,X
LTOJIZS,O,O,O,X
LTOJSIZ,O,O,O,X
LTOJSZI,O,O,O,X
LTOJZIS,O,O,O,X
LTOJZSI,O,O,O,X
LTOSIJZ,O,O,O,X
LTOSIZJ,O,O,O,X
LTOSJIZ,O,O,O,X
LTOSJZI,O,O,O,X
LTOSZIJ,O,O,O,X
LTOSZJI,O,O,O,X
LTOZIJS,O,O,O,X
LTOZISJ,O,O,O,X
LTOZJIS,O,O,O,X
LTOZJSI,O,O,O,X
LTOZSIJ,O,O,O,X
LTOZSJI,O,O,O,X
LITJSZO,O,X,X,O
LITJSOZ,O,O,X,X
LITJZSO,O,X,X,X
LITJZOS,O,O,O,X
LITJOSZ,O,O,O,X
LITJOZS,O,O,O,X
LITSJZO,O,X,X,O
LITSJOZ,O,O,X,X
LITSZJO,O,X,X,O
LITSZOJ,O,X,X,O
LITSOJZ,O,O,X,X
LITSOZJ,O,O,X,X
LITZJSO,O,X,X,X
LITZJOS,O,O,O,X
LITZSJO,O,X,X,X
LITZSOJ,O,X,X,X
LITZOJS,O,O,O,X
LITZOSJ,O,O,O,X
LITOJSZ,O,O,O,X
LITOJZS,O,O,O,X
LITOSJZ,O,O,O,X
LITOSZJ,O,O,O,X
LITOZJS,O,O,O,X
LITOZSJ,O,O,O,X
LIJTSZO,O,X,X,O
LIJTSOZ,O,O,X,X
LIJTZSO,O,X,X,X
LIJTZOS,O,O,O,X
LIJTOSZ,O,O,O,X
LIJTOZS,O,O,O,X
LIJSTZO,O,X,X,O
LIJSTOZ,O,O,X,X
LIJSZTO,O,X,X,O
LIJSZOT,O,X,X,O
LIJSOTZ,O,O,O,X
LIJSOZT,O,O,X,O
LIJZTSO,O,X,X,X
LIJZTOS,O,O,X,X
LIJZSTO,O,X,X,O
LIJZSOT,O,X,X,O
LIJZOTS,O,O,X,X
LIJZOST,O,O,X,X
LIJOTSZ,O,O,O,X
LIJOTZS,O,O,O,X
LIJOSTZ,O,O,O,X
LIJOSZT,O,O,X,O
LIJOZTS,O,O,X,X
LIJOZST,O,O,X,X
LISTJZO,O,X,X,O
LISTJOZ,O,O,X,X
LISTZJO,O,X,X,O
LISTZOJ,O,X,X,O
LISTOJZ,O,O,X,X
LISTOZJ,O,O,X,X
LISJTZO,O,X,X,O
LISJTOZ,O,O,X,X
LISJZTO,O,X,X,O
LISJZOT,O,X,X,O
LISJOTZ,O,O,O,X
LISJOZT,O,O,X,O
LISZTJO,O,X,X,O
LISZTOJ,O,X,X,O
LISZJTO,O,X,X,O
LISZJOT,O,X,X,O
LISZOTJ,O,X,X,O
LISZOJT,O,X,X,O
LISOTJZ,O,O,O,X
LISOTZJ,O,O,O,X
LISOJTZ,O,O,O,X
LISOJZT,O,O,X,O
LISOZTJ,O,X,X,O
LISOZJT,O,O,X,O
LIZTJSO,O,X,X,X
LIZTJOS,O,O,X,X
LIZTSJO,O,X,X,X
LIZTSOJ,O,X,X,X
LIZTOJS,O,O,X,X
LIZTOSJ,O,O,X,X
LIZJTSO,O,X,X,X
LIZJTOS,O,O,X,X
LIZJSTO,O,X,X,O
LIZJSOT,O,X,X,O
LIZJOTS,O,O,X,X
LIZJOST,O,O,X,X
LIZSTJO,O,X,X,O
LIZSTOJ,O,X,X,O
LIZSJTO,O,X,X,O
LIZSJOT,O,X,X,O
LIZSOTJ,O,X,X,O
LIZSOJT,O,X,X,O
LIZOTJS,O,O,X,X
LIZOTSJ,O,O,X,X
LIZOJTS,O,O,X,X
LIZOJST,O,O,X,X
LIZOSTJ,O,X,X,X
LIZOSJT,O,O,X,X
LIOTJSZ,O,O,O,X
LIOTJZS,O,O,O,X
LIOTSJZ,O,O,O,X
LIOTSZJ,O,O,O,X
LIOTZJS,O,O,O,X
LIOTZSJ,O,O,O,X
LIOJTSZ,O,O,O,X
LIOJTZS,O,O,O,X
LIOJSTZ,O,O,O,X
LIOJSZT,O,O,X,O
LIOJZTS,O,O,X,X
LIOJZST,O,O,X,X
LIOSTJZ,O,O,O,X
LIOSTZJ,O,O,O,X
LIOSJTZ,O,O,O,X
LIOSJZT,O,O,X,O
LIOSZTJ,O,X,X,O
