sequence,v115@8gA8HeB8HeG8AeD8BeH8Jex6IvhF8gBzcBuiBifBlm?B3pB,v115@8gA8HeB8HeG8AeD8BeH8Jem6IvhFfhB0cBldBxkBCn?BTpB,v115@8gA8HeB8HeG8AeD8BeH8Jex6IvhF0cBldB2kBzgBCn?B3pB,v115@8gA8HeB8HeG8AeD8BeH8Jei6IvhFRcBuiBFgBXhB8m?BTpB,v115@8gA8HeB8HeG8AeD8BeH8Jex6IvhFlcB3dBzgBCnBOp?B8pB,v115@8gA8HeB8HeG8AeD8BeH8JeU8IvhFRdBFgBTiBGmB/p?BipB,v115@8gA8HeB8HeG8AeD8BeH8Jel7IvhF3cBuiBifB8mBRq?BTpB,v115@8gA8HeB8HeG8AeD8BeH8Je8AJvhFRdBifBGiBXgBlm?BTpB,v115@8gA8HeB8HeG8AeD8BeH8JeK/IvhFUcBRdBFgBTiBGm?B3pB,v115@8gA8HeB8HeG8AeD8BeH8Jex7IvhFldBTgB/mBOpBUn?B6pB,v115@8gA8HeB8HeG8AeD8BeH8JeVBJvhF3dBzfBGmBZkBUn?BCqB,v115@8gA8HeB8HeG8AeD8BeH8JeK/IvhFzbBRdBUgBGiBlm?B3pB,v115@8gA8HeB8HeG8AeD8BeH8Jez7IvhFRdBUgBGiBlmB/p?BipB
TSIZLJO,O,O,X,X,X,X,X,X,X,X,X,X,O
TSIZLOJ,O,O,X,X,X,X,X,X,X,O,X,X,X
TSIZJLO,O,O,X,X,X,X,X,X,X,X,X,X,O
TSIZJOL,O,X,X,X,X,X,X,X,X,O,X,X,O
TSIZOLJ,O,X,X,X,X,X,X,X,X,O,X,X,X
TSIZOJL,O,X,X,X,X,X,X,X,X,O,X,X,O
TSIOLJZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TSIOLZJ,O,O,X,X,X,X,X,X,X,X,X,X,X
TSIOJLZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TSIOJZL,O,X,X,X,X,X,X,X,X,O,X,X,O
TSIOZLJ,O,X,X,X,X,X,X,X,X,O,X,X,X
TSIOZJL,O,X,X,X,X,X,X,X,X,O,X,X,O
TSLIJZO,O,O,X,O,X,X,X,X,X,X,X,X,O
TSLIJOZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TSLIZJO,O,O,X,X,O,X,X,X,X,X,X,X,O
TSLIZOJ,O,O,X,X,O,X,X,X,X,X,X,X,X
TSLIOJZ,O,O,X,X,O,X,X,X,X,X,X,X,X
TSLIOZJ,O,O,X,X,O,X,X,X,X,X,X,X,X
TSLJIZO,O,O,X,O,X,X,X,X,X,X,X,X,O
TSLJIOZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TSLJZIO,O,O,X,O,O,X,X,X,X,X,X,X,O
TSLJZOI,O,X,X,O,O,X,X,X,X,X,X,X,O
TSLJOIZ,O,X,X,X,O,X,X,X,X,X,X,X,X
TSLJOZI,O,X,X,X,O,X,X,X,X,X,X,X,X
TSLZIJO,O,O,X,O,O,X,X,X,X,X,X,X,O
TSLZIOJ,O,O,X,O,O,X,X,X,X,X,X,X,X
TSLZJIO,O,O,X,O,O,X,X,X,X,X,X,X,O
TSLZJOI,O,X,X,O,O,X,X,X,X,X,X,X,O
TSLZOIJ,O,O,X,O,O,X,X,X,X,X,X,X,X
TSLZOJI,O,X,X,O,O,X,X,X,X,X,X,X,O
TSLOIJZ,O,O,X,X,O,X,X,X,X,X,X,X,X
TSLOIZJ,O,O,X,X,O,X,X,X,X,X,X,X,X
TSLOJIZ,O,X,X,X,O,X,X,X,X,X,X,X,X
TSLOJZI,O,X,X,X,O,X,X,X,X,X,X,X,X
TSLOZIJ,O,O,X,X,O,X,X,X,X,X,X,X,X
TSLOZJI,O,X,X,X,O,X,X,X,X,X,X,X,X
TSJILZO,O,O,X,O,X,X,X,X,X,X,X,X,O
TSJILOZ,O,O,X,X,X,X,X,X,X,X,O,X,X
TSJIZLO,O,O,X,X,X,X,X,X,X,X,X,X,O
TSJIZOL,O,X,X,X,X,X,X,X,X,X,O,X,O
TSJIOLZ,O,O,O,X,X,X,X,X,X,X,O,X,X
TSJIOZL,O,X,X,X,X,X,X,X,X,X,O,X,O
TSJLIZO,O,O,X,O,X,X,X,X,X,X,X,X,O
TSJLIOZ,O,O,X,X,X,X,X,X,X,X,O,X,X
TSJLZIO,O,O,X,O,X,X,X,X,X,X,X,X,O
TSJLZOI,O,X,X,O,X,X,X,X,X,X,X,X,O
TSJLOIZ,O,X,X,X,X,X,X,X,X,X,O,X,X
TSJLOZI,O,X,X,X,X,X,X,X,X,X,X,X,X
TSJZILO,O,X,X,O,X,X,X,X,X,X,X,X,O
TSJZIOL,O,X,X,O,X,X,X,X,X,O,O,X,O
TSJZLIO,O,X,X,O,X,X,X,X,X,X,X,X,O
TSJZLOI,O,X,X,O,X,X,X,X,X,O,X,X,O
TSJZOIL,O,X,X,O,X,X,X,X,X,O,O,X,O
TSJZOLI,O,X,X,O,X,X,X,X,X,O,X,X,O
TSJOILZ,O,X,O,X,X,X,X,X,X,X,O,X,X
TSJOIZL,O,X,X,X,X,X,X,X,X,O,O,X,O
TSJOLIZ,O,X,O,X,X,X,X,X,X,X,O,X,X
TSJOLZI,O,X,O,X,X,X,X,X,X,X,X,X,X
TSJOZIL,O,X,X,X,X,X,X,X,X,O,O,X,O
TSJOZLI,O,X,X,X,X,X,X,X,X,O,X,X,O
TSZILJO,O,O,X,O,X,X,X,X,X,X,X,X,O
TSZILOJ,O,O,X,O,X,X,X,X,X,O,X,X,X
TSZIJLO,O,O,X,O,X,X,X,X,X,X,X,X,O
TSZIJOL,O,X,X,O,X,X,X,X,X,O,X,X,O
TSZIOLJ,O,X,X,O,X,X,X,X,X,O,X,X,X
TSZIOJL,O,X,X,O,X,X,X,X,X,O,X,X,O
TSZLIJO,O,O,X,O,X,X,X,X,X,X,X,X,O
TSZLIOJ,O,O,X,O,X,X,X,X,X,O,X,X,X
TSZLJIO,O,O,X,O,X,X,X,X,X,X,X,X,O
TSZLJOI,O,X,X,O,X,X,X,X,X,O,X,X,O
TSZLOIJ,O,O,X,O,X,X,X,X,X,O,X,X,X
TSZLOJI,O,X,X,O,X,X,X,X,X,O,X,X,O
TSZJILO,O,X,X,O,X,X,X,X,X,X,X,X,O
TSZJIOL,O,X,X,O,X,X,X,X,X,O,X,X,O
TSZJLIO,O,X,X,O,X,X,X,X,X,X,X,X,O
TSZJLOI,O,X,X,O,X,X,X,X,X,O,X,X,O
TSZJOIL,O,X,X,O,X,X,X,X,X,O,X,X,O
TSZJOLI,O,X,X,O,X,X,X,X,X,O,X,X,O
TSZOILJ,O,X,X,O,X,X,X,X,X,O,X,X,X
TSZOIJL,O,X,X,O,X,X,X,X,X,O,X,X,O
TSZOLIJ,O,X,X,O,X,X,X,X,X,O,X,X,X
TSZOLJI,O,X,X,O,X,X,X,X,X,O,X,X,O
TSZOJIL,O,X,X,O,X,X,X,X,X,O,X,X,O
TSZOJLI,O,X,X,O,X,X,X,X,X,O,X,X,O
TSOILJZ,O,O,X,X,O,X,X,X,X,X,X,X,X
TSOILZJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TSOIJLZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TSOIJZL,O,X,X,X,X,X,X,X,X,O,X,X,O
TSOIZLJ,O,X,X,X,X,X,X,X,X,O,X,X,X
TSOIZJL,O,X,X,X,X,X,X,X,X,O,X,X,O
TSOLIJZ,O,O,X,X,O,X,X,X,X,X,X,X,X
TSOLIZJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TSOLJIZ,O,X,O,X,O,X,X,X,X,X,X,X,X
TSOLJZI,O,X,O,X,O,X,X,X,X,X,X,X,X
TSOLZIJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TSOLZJI,O,X,O,X,O,X,X,X,X,X,X,X,X
TSOJILZ,O,X,O,X,X,X,X,X,X,X,O,X,X
TSOJIZL,O,X,X,X,X,X,X,X,X,O,O,X,O
TSOJLIZ,O,X,O,X,X,X,X,X,X,X,O,X,X
TSOJLZI,O,X,O,X,X,X,X,X,X,X,X,X,X
TSOJZIL,O,X,X,X,X,X,X,X,X,O,O,X,O
TSOJZLI,O,X,X,X,X,X,X,X,X,O,X,X,O
TSOZILJ,O,X,X,X,X,X,X,X,X,O,X,X,X
TSOZIJL,O,X,X,X,X,X,X,X,X,O,X,X,O
TSOZLIJ,O,X,X,X,X,X,X,X,X,O,X,X,X
TSOZLJI,O,X,X,X,X,X,X,X,X,O,X,X,O
TSOZJIL,O,X,X,X,X,X,X,X,X,O,X,X,O
TSOZJLI,O,X,X,X,X,X,X,X,X,O,X,X,O
TZILJSO,X,X,X,O,X,X,O,X,X,X,X,X,X
TZILJOS,O,X,X,O,X,X,O,X,X,X,X,X,X
TZILSJO,X,X,X,O,X,X,O,X,X,X,X,X,X
TZILSOJ,X,X,X,O,X,X,O,X,X,X,X,X,X
TZILOJS,O,X,X,O,X,X,O,X,X,X,X,X,X
TZILOSJ,X,X,X,X,X,X,O,X,X,X,X,X,X
TZIJLSO,X,X,X,O,X,X,O,X,X,X,X,X,X
TZIJLOS,O,X,X,O,X,X,O,X,X,X,X,X,X
TZIJSLO,O,O,X,O,X,X,O,X,X,X,X,X,O
TZIJSOL,O,X,X,O,X,X,O,X,X,X,X,X,O
TZIJOLS,O,X,X,O,X,X,O,X,X,X,X,X,X
TZIJOSL,O,X,X,O,X,X,O,X,X,X,X,X,X
TZISLJO,O,O,X,O,X,X,O,X,X,X,X,X,O
TZISLOJ,O,O,X,O,X,X,O,X,X,O,X,X,X
TZISJLO,O,O,X,O,X,X,O,X,X,X,X,X,O
TZISJOL,O,X,X,O,X,X,O,X,X,O,X,X,O
TZISOLJ,O,X,X,O,X,X,O,X,X,O,X,X,X
TZISOJL,O,X,X,O,X,X,O,X,X,O,X,X,O
TZIOLJS,O,X,X,O,X,X,O,X,X,X,X,X,X
TZIOLSJ,X,X,X,O,X,X,O,X,X,X,X,X,X
TZIOJLS,O,X,X,O,X,X,O,X,X,X,X,X,X
TZIOJSL,O,X,X,O,X,X,O,X,X,X,X,X,X
TZIOSLJ,O,X,X,O,X,X,O,X,X,O,X,X,X
TZIOSJL,O,X,X,O,X,X,O,X,X,O,X,X,X
TZLIJSO,O,X,X,O,X,X,X,O,X,X,X,X,X
TZLIJOS,O,X,X,O,X,X,X,O,X,X,X,X,X
TZLISJO,O,X,X,O,X,X,X,X,X,X,X,X,X
TZLISOJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TZLIOJS,O,X,X,O,X,X,X,X,X,X,X,X,X
TZLIOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X
TZLJISO,O,X,X,O,X,X,X,O,X,X,X,X,X
TZLJIOS,O,X,X,O,X,X,X,O,X,X,X,X,X
TZLJSIO,O,X,X,O,X,X,X,O,X,X,X,X,X
TZLJSOI,O,X,X,O,X,X,X,O,X,X,X,X,X
TZLJOIS,O,X,X,O,X,X,X,O,X,X,X,X,X
TZLJOSI,O,X,X,O,X,X,X,O,X,X,X,X,X
TZLSIJO,O,X,X,O,X,X,X,X,X,X,X,X,X
TZLSIOJ,O,X,X,O,X,X,X,X,X,O,X,X,X
TZLSJIO,O,X,X,O,X,X,X,O,X,X,X,X,X
TZLSJOI,O,X,X,O,X,X,X,O,X,O,X,X,X
TZLSOIJ,O,X,X,O,X,X,X,X,X,O,X,X,X
TZLSOJI,O,X,X,O,X,X,X,X,X,O,X,X,X
TZLOIJS,O,X,X,O,X,X,X,X,X,X,X,X,X
TZLOISJ,O,X,X,X,X,X,X,X,X,X,X,X,X
TZLOJIS,O,X,X,O,X,X,X,O,X,X,X,X,X
TZLOJSI,O,X,X,O,X,X,X,O,X,X,X,X,X
TZLOSIJ,O,X,X,O,X,X,X,X,X,O,X,X,X
TZLOSJI,O,X,X,O,X,X,X,X,X,O,X,X,X
TZJILSO,X,X,X,O,X,X,O,X,X,X,X,X,X
TZJILOS,O,X,X,O,X,X,O,X,X,X,X,X,X
TZJISLO,O,X,X,O,X,X,O,X,X,X,X,X,O
TZJISOL,O,X,X,O,X,X,O,X,X,X,X,X,O
TZJIOLS,O,X,O,O,X,X,O,X,X,X,X,X,X
TZJIOSL,O,X,X,O,X,X,O,X,X,X,X,X,X
TZJLISO,O,X,X,O,X,X,X,O,X,X,X,X,X
TZJLIOS,O,X,X,O,X,X,X,O,X,X,X,X,X
TZJLSIO,O,X,X,O,X,X,X,O,X,X,X,X,X
TZJLSOI,O,X,X,O,X,X,X,O,X,X,X,X,X
TZJLOIS,O,X,X,O,X,X,X,O,X,X,X,X,X
TZJLOSI,O,X,X,O,X,X,X,O,X,X,X,X,X
TZJSILO,O,X,X,O,X,X,O,X,X,X,X,X,O
TZJSIOL,O,X,X,O,X,X,O,X,X,O,X,X,O
TZJSLIO,O,X,X,O,X,X,O,X,X,X,X,X,O
TZJSLOI,O,X,X,O,X,X,X,X,X,O,X,X,O
TZJSOIL,O,X,X,O,X,X,O,X,X,O,X,X,O
TZJSOLI,O,X,X,O,X,X,X,X,X,O,X,X,O
TZJOILS,O,X,O,O,X,X,X,X,X,X,X,X,X
TZJOISL,O,X,X,O,X,X,X,X,X,X,X,X,X
TZJOLIS,O,X,O,O,X,X,X,X,X,X,X,X,X
TZJOLSI,O,X,O,O,X,X,X,X,X,X,X,X,X
TZJOSIL,O,X,X,O,X,X,X,X,X,O,X,X,X
TZJOSLI,O,X,X,O,X,X,X,X,X,O,X,X,X
TZSILJO,O,O,X,O,X,X,O,X,X,X,X,X,O
TZSILOJ,O,O,X,O,X,X,O,X,X,O,X,X,X
TZSIJLO,O,O,X,O,X,X,O,X,X,X,X,X,O
TZSIJOL,O,X,X,O,X,X,O,X,X,O,X,X,O
TZSIOLJ,O,X,X,O,X,X,O,X,X,O,X,X,X
TZSIOJL,O,X,X,O,X,X,O,X,X,O,X,X,O
TZSLIJO,O,O,X,O,X,X,O,X,X,X,X,X,O
TZSLIOJ,O,O,X,O,X,X,O,X,X,O,X,X,X
TZSLJIO,O,O,X,O,X,X,O,X,X,X,X,X,O
TZSLJOI,O,X,X,O,X,X,X,X,X,O,X,X,O
TZSLOIJ,O,O,X,O,X,X,X,X,X,O,X,X,X
TZSLOJI,O,X,X,O,X,X,X,X,X,O,X,X,O
TZSJILO,O,X,X,O,X,X,O,X,X,X,X,X,O
TZSJIOL,O,X,X,O,X,X,O,X,X,O,X,X,O
TZSJLIO,O,X,X,O,X,X,O,X,X,X,X,X,O
TZSJLOI,O,X,X,O,X,X,X,X,X,O,X,X,O
TZSJOIL,O,X,X,O,X,X,O,X,X,O,X,X,O
TZSJOLI,O,X,X,O,X,X,X,X,X,O,X,X,O
TZSOILJ,O,X,X,O,X,X,O,X,X,O,X,X,X
TZSOIJL,O,X,X,O,X,X,O,X,X,O,X,X,O
TZSOLIJ,O,X,X,O,X,X,X,X,X,O,X,X,X
TZSOLJI,O,X,X,O,X,X,X,X,X,O,X,X,O
TZSOJIL,O,X,X,O,X,X,O,X,X,O,X,X,O
TZSOJLI,O,X,X,O,X,X,X,X,X,O,X,X,O
TZOILJS,O,X,O,O,X,X,X,X,X,X,X,X,X
TZOILSJ,X,X,O,O,X,X,X,X,X,X,X,X,X
TZOIJLS,O,X,X,O,X,X,X,X,X,X,X,X,X
TZOIJSL,O,X,X,O,X,X,X,X,X,X,X,X,X
TZOISLJ,O,X,X,O,X,X,X,X,X,O,X,X,X
TZOISJL,O,X,X,O,X,X,X,X,X,O,X,X,X
TZOLIJS,O,X,O,O,X,X,X,X,X,X,X,X,X
TZOLISJ,X,X,O,O,X,X,X,X,X,X,X,X,X
TZOLJIS,O,X,O,O,X,X,X,X,X,X,X,X,X
TZOLJSI,O,X,O,O,X,X,X,X,X,X,X,X,X
TZOLSIJ,O,X,O,O,X,X,X,X,X,O,X,X,X
TZOLSJI,O,X,O,O,X,X,X,X,X,O,X,X,X
TZOJILS,O,X,O,O,X,X,X,X,X,X,X,X,X
TZOJISL,O,X,X,O,X,X,X,X,X,X,X,X,X
TZOJLIS,O,X,O,O,X,X,X,X,X,X,X,X,X
TZOJLSI,O,X,O,O,X,X,X,X,X,X,X,X,X
TZOJSIL,O,X,X,O,X,X,X,X,X,O,X,X,X
TZOJSLI,O,X,X,O,X,X,X,X,X,O,X,X,X
TZOSILJ,O,X,X,O,X,X,X,X,X,O,X,X,X
TZOSIJL,O,X,X,O,X,X,X,X,X,O,X,X,X
TZOSLIJ,O,X,X,O,X,X,X,X,X,O,X,X,X
TZOSLJI,O,X,X,O,X,X,X,X,X,O,X,X,X
TZOSJIL,O,X,X,O,X,X,X,X,X,O,X,X,X
TZOSJLI,O,X,X,O,X,X,X,X,X,O,X,X,X
TOILJSZ,X,X,O,X,O,X,X,X,O,X,X,X,X
TOILJZS,X,X,O,O,X,X,X,X,O,X,X,X,X
TOILSJZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TOILSZJ,X,X,O,X,O,X,X,X,X,X,X,X,X
TOILZJS,X,X,O,X,X,X,X,X,X,X,X,X,X
TOILZSJ,X,X,O,X,O,X,X,X,X,X,X,X,X
TOIJLSZ,X,X,O,X,X,X,X,X,X,X,X,X,X
TOIJLZS,X,X,O,O,X,X,X,X,X,X,X,X,X
TOIJSLZ,O,O,O,X,X,O,X,X,X,X,X,X,X
TOIJSZL,O,X,X,X,X,O,X,X,X,X,X,X,O
TOIJZLS,O,X,O,X,X,X,X,X,X,X,X,X,X
TOIJZSL,O,X,X,X,X,O,X,X,X,X,X,X,X
TOISLJZ,O,O,X,X,O,X,X,X,X,X,X,X,X
TOISLZJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TOISJLZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TOISJZL,O,X,X,X,X,X,X,X,X,O,X,X,O
TOISZLJ,O,X,X,X,X,X,X,X,X,O,X,X,X
TOISZJL,O,X,X,X,X,X,X,X,X,O,X,X,O
TOIZLJS,O,X,O,X,X,X,X,X,X,X,X,X,X
TOIZLSJ,X,X,O,X,X,X,X,X,X,X,X,X,X
TOIZJLS,O,X,X,X,X,X,X,X,X,X,X,X,X
TOIZJSL,O,X,X,X,X,X,X,X,X,X,X,X,X
TOIZSLJ,O,X,X,X,X,X,X,X,X,O,X,X,X
TOIZSJL,O,X,X,X,X,X,X,X,X,O,X,X,X
TOLIJSZ,X,X,O,X,O,X,X,X,O,X,X,X,X
TOLIJZS,X,X,O,O,X,X,X,X,O,X,X,X,X
TOLISJZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TOLISZJ,X,X,O,X,O,X,X,X,X,X,X,X,X
TOLIZJS,X,X,O,X,O,X,X,X,O,X,X,X,X
TOLIZSJ,X,X,O,X,O,X,X,X,X,X,X,X,X
TOLJISZ,X,X,O,X,O,X,X,X,O,X,X,X,X
TOLJIZS,X,X,O,O,X,X,X,X,O,X,X,X,X
TOLJSIZ,O,X,O,X,O,X,X,X,O,X,X,X,X
TOLJSZI,O,X,O,X,O,X,X,X,O,X,X,X,X
TOLJZIS,O,X,O,O,O,X,X,X,O,X,X,X,X
TOLJZSI,O,X,O,O,O,X,X,X,O,X,X,X,X
TOLSIJZ,O,X,X,X,O,X,X,X,X,X,X,X,X
TOLSIZJ,O,X,O,X,O,X,X,X,X,X,X,X,X
TOLSJIZ,O,X,O,X,O,X,X,X,O,X,X,X,X
TOLSJZI,O,X,O,X,O,X,X,X,O,X,X,X,X
TOLSZIJ,O,X,O,X,O,X,X,X,X,X,X,X,X
TOLSZJI,O,X,O,X,O,X,X,X,O,X,X,X,X
TOLZIJS,O,X,O,O,O,X,X,X,O,X,X,X,X
TOLZISJ,X,X,O,X,O,X,X,X,X,X,X,X,X
TOLZJIS,O,X,O,O,O,X,X,X,O,X,X,X,X
TOLZJSI,O,X,O,O,O,X,X,X,O,X,X,X,X
TOLZSIJ,O,X,O,O,O,X,X,X,X,O,X,X,X
TOLZSJI,O,X,O,O,O,X,X,X,O,O,X,X,X
TOJILSZ,X,X,O,X,X,X,X,X,X,X,O,X,X
TOJILZS,X,X,O,O,X,X,X,X,X,X,X,X,X
TOJISLZ,O,X,O,X,X,O,X,X,X,X,O,X,X
TOJISZL,O,X,X,X,X,O,X,X,X,X,O,X,O
TOJIZLS,O,X,O,X,X,X,X,X,X,X,X,X,X
TOJIZSL,O,X,X,X,X,O,X,X,X,X,O,X,X
TOJLISZ,X,X,O,X,X,X,X,X,X,X,O,X,X
TOJLIZS,X,X,O,O,X,X,X,X,X,X,X,X,X
TOJLSIZ,O,X,O,X,X,X,X,X,X,X,O,X,X
TOJLSZI,O,X,O,X,X,X,X,X,X,X,X,X,X
TOJLZIS,O,X,O,O,X,X,X,X,X,X,X,X,X
TOJLZSI,O,X,O,O,X,X,X,X,X,X,X,X,X
TOJSILZ,O,X,O,X,X,O,X,X,X,X,O,X,X
TOJSIZL,O,X,X,X,X,O,X,X,X,X,O,X,O
TOJSLIZ,O,X,O,X,X,O,X,X,X,X,O,X,X
TOJSLZI,O,X,O,X,X,O,X,X,X,X,X,X,X
TOJSZIL,O,X,X,X,X,O,X,X,X,X,O,X,O
TOJSZLI,O,X,X,X,X,O,X,X,X,X,X,X,O
TOJZILS,O,X,O,O,X,X,X,X,X,X,X,X,X
TOJZISL,O,X,X,X,X,O,X,X,X,X,O,X,X
TOJZLIS,O,X,O,O,X,X,X,X,X,X,X,X,X
TOJZLSI,O,X,O,O,X,X,X,X,X,X,X,X,X
TOJZSIL,O,X,X,O,X,O,X,X,X,O,O,X,X
TOJZSLI,O,X,X,O,X,O,X,X,X,O,X,X,X
TOSILJZ,O,O,X,X,O,X,X,X,X,X,X,X,X
TOSILZJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TOSIJLZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TOSIJZL,O,X,X,X,X,X,X,X,X,O,X,X,O
TOSIZLJ,O,X,X,X,X,X,X,X,X,O,X,X,X
TOSIZJL,O,X,X,X,X,X,X,X,X,O,X,X,O
TOSLIJZ,O,O,X,X,O,X,X,X,X,X,X,X,X
TOSLIZJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TOSLJIZ,O,X,O,X,O,X,X,X,X,X,X,X,X
TOSLJZI,O,X,O,X,O,X,X,X,X,X,X,X,X
TOSLZIJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TOSLZJI,O,X,O,X,O,X,X,X,X,X,X,X,X
TOSJILZ,O,X,O,X,X,X,X,X,X,X,O,X,X
TOSJIZL,O,X,X,X,X,X,X,X,X,O,O,X,O
TOSJLIZ,O,X,O,X,X,X,X,X,X,X,O,X,X
TOSJLZI,O,X,O,X,X,X,X,X,X,X,X,X,X
TOSJZIL,O,X,X,X,X,X,X,X,X,O,O,X,O
TOSJZLI,O,X,X,X,X,X,X,X,X,O,X,X,O
TOSZILJ,O,X,X,X,X,X,X,X,X,O,X,X,X
TOSZIJL,O,X,X,X,X,X,X,X,X,O,X,X,O
TOSZLIJ,O,X,X,X,X,X,X,X,X,O,X,X,X
TOSZLJI,O,X,X,X,X,X,X,X,X,O,X,X,O
TOSZJIL,O,X,X,X,X,X,X,X,X,O,X,X,O
TOSZJLI,O,X,X,X,X,X,X,X,X,O,X,X,O
TOZILJS,O,X,O,O,X,X,X,X,X,X,X,X,X
TOZILSJ,X,X,O,X,X,X,X,X,X,X,X,X,X
TOZIJLS,O,X,X,O,X,X,X,X,X,X,X,X,X
TOZIJSL,O,X,X,X,X,X,X,X,X,X,X,X,X
TOZISLJ,O,X,X,X,X,X,X,X,X,O,X,X,X
TOZISJL,O,X,X,X,X,X,X,X,X,O,X,X,X
TOZLIJS,O,X,O,O,X,X,X,X,X,X,X,X,X
TOZLISJ,X,X,O,X,X,X,X,X,X,X,X,X,X
TOZLJIS,O,X,O,O,X,X,X,X,X,X,X,X,X
TOZLJSI,O,X,O,O,X,X,X,X,X,X,X,X,X
TOZLSIJ,O,X,O,O,X,X,X,X,X,O,X,X,X
TOZLSJI,O,X,O,O,X,X,X,X,X,O,X,X,X
TOZJILS,O,X,O,O,X,X,X,X,X,X,X,X,X
TOZJISL,O,X,X,X,X,X,X,X,X,X,X,X,X
TOZJLIS,O,X,O,O,X,X,X,X,X,X,X,X,X
TOZJLSI,O,X,O,O,X,X,X,X,X,X,X,X,X
TOZJSIL,O,X,X,O,X,X,X,X,X,O,X,X,X
TOZJSLI,O,X,X,O,X,X,X,X,X,O,X,X,X
TOZSILJ,O,X,X,O,X,X,X,X,X,O,X,X,X
TOZSIJL,O,X,X,O,X,X,X,X,X,O,X,X,X
TOZSLIJ,O,X,X,O,X,X,X,X,X,O,X,X,X
TOZSLJI,O,X,X,O,X,X,X,X,X,O,X,X,X
TOZSJIL,O,X,X,O,X,X,X,X,X,O,X,X,X
TOZSJLI,O,X,X,O,X,X,X,X,X,O,X,X,X
ITLJSZO,X,O,X,O,X,X,O,O,X,X,X,O,O
ITLJSOZ,X,O,X,X,X,X,X,X,X,X,X,O,X
ITLJZSO,X,O,X,O,X,X,O,O,X,X,X,O,X
ITLJZOS,X,X,X,O,X,X,O,O,X,X,X,O,X
ITLJOSZ,X,O,X,X,X,X,X,X,X,X,X,O,X
ITLJOZS,X,X,X,O,X,X,O,O,X,X,X,O,X
ITLSJZO,X,O,X,O,X,X,O,O,X,X,X,O,O
ITLSJOZ,X,O,X,X,X,X,X,X,X,X,X,O,X
ITLSZJO,X,O,X,X,X,X,O,X,X,X,X,O,O
ITLSZOJ,X,O,X,X,X,X,O,X,X,X,X,X,X
ITLSOJZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ITLSOZJ,X,O,X,X,X,X,X,X,X,X,X,X,X
ITLZJSO,X,O,X,O,X,X,O,O,X,X,X,O,X
ITLZJOS,X,X,X,O,X,X,O,O,X,X,X,O,X
ITLZSJO,X,O,X,O,X,X,O,X,X,X,X,O,X
ITLZSOJ,X,O,X,O,X,X,O,X,X,X,X,X,X
ITLZOJS,X,X,X,O,X,X,O,X,X,X,X,O,X
ITLZOSJ,X,X,X,X,X,X,O,X,X,X,X,X,X
ITLOJSZ,X,O,X,X,X,X,X,X,O,X,X,O,X
ITLOJZS,X,X,X,O,X,X,O,O,O,X,X,O,X
ITLOSJZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ITLOSZJ,X,O,X,X,X,X,X,X,X,X,X,X,X
ITLOZJS,X,X,X,X,X,X,O,X,X,X,X,O,X
ITLOZSJ,X,X,X,X,X,X,O,X,X,X,X,X,X
ITJLSZO,X,O,X,O,X,X,O,O,X,X,X,X,O
ITJLSOZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ITJLZSO,X,O,X,O,X,X,O,O,X,X,X,X,X
ITJLZOS,X,X,X,O,X,X,O,O,X,X,X,X,X
ITJLOSZ,X,O,O,X,X,X,X,X,X,X,X,X,X
ITJLOZS,X,X,O,O,X,X,O,O,X,X,X,X,X
ITJSLZO,O,O,X,O,X,X,O,X,X,X,X,X,O
ITJSLOZ,O,O,X,X,X,X,X,X,X,X,X,X,X
ITJSZLO,O,O,X,X,X,X,O,X,X,X,X,X,O
ITJSZOL,O,X,X,X,X,X,O,X,X,X,X,X,O
ITJSOLZ,O,O,O,X,X,X,X,X,X,X,X,X,X
ITJSOZL,O,X,X,X,X,X,X,X,X,X,X,X,O
ITJZLSO,X,X,X,O,X,X,O,X,X,X,X,X,X
ITJZLOS,O,X,X,O,X,X,O,X,X,X,X,X,X
ITJZSLO,O,O,X,O,X,X,O,X,X,X,X,X,O
ITJZSOL,O,X,X,O,X,X,O,X,X,X,X,X,O
ITJZOLS,O,X,O,O,X,X,O,X,X,X,X,X,X
ITJZOSL,O,X,X,X,X,X,O,X,X,X,X,X,X
ITJOLSZ,X,X,O,X,X,X,X,X,X,X,X,X,X
