sequence,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFTbBOhBfjB6jB0lBFtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFOgBXcBSjBUjBzlBFtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFOhBfjB6jBTgB0lBFtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFTbBGeBylBUjBXmBFtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFXcBCeB2lBTjB0lBFtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFOgBXcBFjBzlBctBCtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhF0bBCeB/lBTjBOmBFtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFWjBigBXhBTjB0lBFtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFWjBigB0gBTjBXmBFtB
TZIJLSO,O,O,X,O,X,X,X,O,O
TZIJLOS,O,X,X,O,X,X,X,O,O
TZIJSLO,O,O,O,O,X,X,X,X,X
TZIJSOL,O,X,O,X,O,X,X,X,X
TZIJOLS,O,X,X,O,O,O,X,X,X
TZIJOSL,O,X,O,X,O,O,X,X,X
TZISLJO,O,O,O,O,X,X,X,X,X
TZISLOJ,O,X,O,O,X,X,O,X,X
TZISJLO,O,O,O,O,X,X,X,X,X
TZISJOL,O,X,O,X,O,X,O,X,X
TZISOLJ,O,X,O,X,O,O,O,X,X
TZISOJL,O,X,O,X,O,O,O,X,X
TZIOLJS,O,O,X,O,O,O,X,X,X
TZIOLSJ,O,O,X,O,O,O,O,X,X
TZIOJLS,O,O,X,O,O,O,X,X,X
TZIOJSL,O,O,O,X,O,O,X,X,X
TZIOSLJ,O,O,O,X,O,O,O,X,X
TZIOSJL,O,O,O,X,O,O,O,X,X
TZLIJSO,O,O,X,O,X,X,X,O,O
TZLIJOS,O,X,X,O,X,X,X,O,O
TZLISJO,O,O,X,O,X,X,X,X,X
TZLISOJ,O,X,X,O,X,X,X,X,X
TZLIOJS,O,O,X,O,X,O,X,X,X
TZLIOSJ,O,O,X,O,X,O,X,X,X
TZLJISO,O,O,X,O,X,X,X,O,O
TZLJIOS,O,X,X,O,X,X,X,O,O
TZLJSIO,O,O,X,O,X,X,X,X,X
TZLJSOI,O,X,X,O,X,X,X,X,X
TZLJOIS,O,X,X,O,X,X,X,X,X
TZLJOSI,O,X,X,O,X,X,X,X,X
TZLSIJO,O,O,X,O,X,X,X,X,X
TZLSIOJ,O,X,X,O,X,X,X,X,X
TZLSJIO,O,O,X,O,X,X,X,X,X
TZLSJOI,O,X,X,O,X,X,X,X,X
TZLSOIJ,O,X,X,O,X,X,X,X,X
TZLSOJI,O,X,X,O,X,X,X,X,X
TZLOIJS,O,O,X,O,X,O,X,X,X
TZLOISJ,O,O,X,O,X,O,X,X,X
TZLOJIS,O,O,X,O,X,O,X,X,X
TZLOJSI,O,O,X,O,X,O,X,X,X
TZLOSIJ,O,O,X,O,X,O,X,X,X
TZLOSJI,O,O,X,O,X,O,X,X,X
TZJILSO,O,O,X,O,X,X,X,O,O
TZJILOS,O,X,X,O,X,X,X,O,O
TZJISLO,O,O,O,O,X,X,X,X,X
TZJISOL,O,X,O,X,O,X,X,X,X
TZJIOLS,O,X,X,O,O,O,X,X,X
TZJIOSL,O,X,O,X,O,O,X,X,X
TZJLISO,O,O,X,O,X,X,X,O,O
TZJLIOS,O,X,X,O,X,X,X,O,O
TZJLSIO,O,O,X,O,X,X,X,X,X
TZJLSOI,O,X,X,O,X,X,X,X,X
TZJLOIS,O,X,X,O,X,X,X,X,X
TZJLOSI,O,X,X,O,X,X,X,X,X
TZJSILO,O,O,O,O,X,X,X,X,X
TZJSIOL,O,X,O,X,O,X,X,X,X
TZJSLIO,O,O,O,O,X,X,X,X,X
TZJSLOI,O,X,O,O,X,X,X,X,X
TZJSOIL,O,X,O,X,O,X,X,X,X
TZJSOLI,O,X,O,X,O,X,X,X,X
TZJOILS,O,X,X,O,O,O,X,X,X
TZJOISL,O,X,O,X,O,O,X,X,X
TZJOLIS,O,X,X,O,O,O,X,X,X
TZJOLSI,O,X,X,O,O,O,X,X,X
TZJOSIL,O,X,O,X,O,O,X,X,X
TZJOSLI,O,X,O,X,O,O,X,X,X
TZSILJO,O,O,O,O,X,X,X,X,X
TZSILOJ,O,X,O,O,X,X,O,X,X
TZSIJLO,O,O,O,O,X,X,X,X,X
TZSIJOL,O,X,O,X,O,X,O,X,X
TZSIOLJ,O,X,O,X,O,O,O,X,X
TZSIOJL,O,X,O,X,O,O,O,X,X
TZSLIJO,O,O,O,O,X,X,X,X,X
TZSLIOJ,O,X,O,O,X,X,O,X,X
TZSLJIO,O,O,O,O,X,X,X,X,X
TZSLJOI,O,X,O,O,X,X,X,X,X
TZSLOIJ,O,X,O,O,X,X,O,X,X
TZSLOJI,O,X,O,O,X,X,O,X,X
TZSJILO,O,O,O,O,X,X,X,X,X
TZSJIOL,O,X,O,X,O,X,O,X,X
TZSJLIO,O,O,O,O,X,X,X,X,X
TZSJLOI,O,X,O,O,X,X,X,X,X
TZSJOIL,O,X,O,X,O,X,O,X,X
TZSJOLI,O,X,O,X,O,X,O,X,X
TZSOILJ,O,X,O,X,O,O,O,X,X
TZSOIJL,O,X,O,X,O,O,O,X,X
TZSOLIJ,O,X,O,X,O,O,O,X,X
TZSOLJI,O,X,O,X,O,O,O,X,X
TZSOJIL,O,X,O,X,O,O,O,X,X
TZSOJLI,O,X,O,X,O,O,O,X,X
TZOILJS,O,O,X,O,O,O,X,X,X
TZOILSJ,O,O,X,O,O,O,O,X,X
TZOIJLS,O,O,X,O,O,O,X,X,X
TZOIJSL,O,O,O,X,O,O,X,X,X
TZOISLJ,O,O,O,X,O,O,O,X,X
TZOISJL,O,O,O,X,O,O,O,X,X
TZOLIJS,O,O,X,O,O,O,X,X,X
TZOLISJ,O,O,X,O,O,O,O,X,X
TZOLJIS,O,O,X,O,O,O,X,X,X
TZOLJSI,O,O,X,O,O,O,X,X,X
TZOLSIJ,O,O,X,O,O,O,O,X,X
TZOLSJI,O,O,X,O,O,O,O,X,X
TZOJILS,O,O,X,O,O,O,X,X,X
TZOJISL,O,O,O,X,O,O,X,X,X
TZOJLIS,O,O,X,O,O,O,X,X,X
TZOJLSI,O,O,X,O,O,O,X,X,X
TZOJSIL,O,O,O,X,O,O,X,X,X
TZOJSLI,O,O,O,X,O,O,X,X,X
TZOSILJ,O,O,O,X,O,O,O,X,X
TZOSIJL,O,O,O,X,O,O,O,X,X
TZOSLIJ,O,O,O,X,O,O,O,X,X
TZOSLJI,O,O,O,X,O,O,O,X,X
TZOSJIL,O,O,O,X,O,O,O,X,X
TZOSJLI,O,O,O,X,O,O,O,X,X
TOILJSZ,X,O,O,X,O,X,O,O,O
TOILJZS,X,O,X,O,O,X,X,O,O
TOILSJZ,X,O,O,X,O,X,O,X,X
TOILSZJ,X,O,O,O,O,X,O,X,X
TOILZJS,X,O,X,O,O,X,X,X,X
TOILZSJ,X,O,X,O,O,X,O,X,X
TOIJLSZ,X,O,O,X,O,X,O,O,O
TOIJLZS,X,O,X,X,O,X,X,O,O
TOIJSLZ,O,O,O,X,O,X,O,X,X
TOIJSZL,O,O,O,X,O,O,O,X,X
TOIJZLS,O,O,X,X,O,O,X,X,X
TOIJZSL,O,O,O,X,O,O,X,X,X
TOISLJZ,O,O,O,X,O,X,O,X,X
TOISLZJ,O,O,O,X,O,X,O,X,X
TOISJLZ,O,O,O,X,O,X,O,X,X
TOISJZL,O,O,O,X,O,O,O,X,X
TOISZLJ,O,O,O,X,O,O,O,X,X
TOISZJL,O,O,O,X,O,O,O,X,X
TOIZLJS,O,O,X,O,O,O,X,X,X
TOIZLSJ,O,O,X,O,O,O,O,X,X
TOIZJLS,O,O,X,O,O,O,X,X,X
TOIZJSL,O,O,O,X,O,O,X,X,X
TOIZSLJ,O,O,O,X,O,O,O,X,X
TOIZSJL,O,O,O,X,O,O,O,X,X
TOLIJSZ,X,O,O,X,O,X,O,O,O
TOLIJZS,X,O,X,O,O,X,X,O,O
TOLISJZ,X,O,O,X,O,X,O,X,X
TOLISZJ,X,O,O,O,O,X,O,X,X
TOLIZJS,X,O,X,O,O,X,X,X,X
TOLIZSJ,X,O,X,O,O,X,O,X,X
TOLJISZ,X,O,O,X,O,X,O,O,O
TOLJIZS,X,O,X,O,O,X,X,O,O
TOLJSIZ,X,O,O,X,O,X,O,X,X
TOLJSZI,X,O,O,X,O,X,O,X,X
TOLJZIS,X,O,X,O,O,X,X,X,X
TOLJZSI,X,O,X,O,O,X,X,X,X
TOLSIJZ,X,O,O,X,O,X,O,X,X
TOLSIZJ,X,O,O,O,O,X,O,X,X
TOLSJIZ,X,O,O,X,O,X,O,X,X
TOLSJZI,X,O,O,X,O,X,O,X,X
TOLSZIJ,X,O,O,O,O,X,O,X,X
TOLSZJI,X,O,O,O,O,X,O,X,X
TOLZIJS,X,O,X,O,O,X,X,X,X
TOLZISJ,X,O,X,O,O,X,O,X,X
TOLZJIS,X,O,X,O,O,X,X,X,X
TOLZJSI,X,O,X,O,O,X,X,X,X
TOLZSIJ,X,O,X,O,O,X,O,X,X
TOLZSJI,X,O,X,O,O,X,O,X,X
TOJILSZ,X,O,O,X,O,X,O,O,O
TOJILZS,X,O,X,X,O,X,X,O,O
TOJISLZ,O,O,O,X,O,X,O,X,X
TOJISZL,O,O,O,X,O,O,O,X,X
TOJIZLS,O,O,X,X,O,O,X,X,X
TOJIZSL,O,O,O,X,O,O,X,X,X
TOJLISZ,X,O,O,X,O,X,O,O,O
TOJLIZS,X,O,X,X,O,X,X,O,O
TOJLSIZ,X,O,O,X,O,X,O,X,X
TOJLSZI,X,O,O,X,O,X,O,X,X
TOJLZIS,X,O,X,X,O,X,X,X,X
TOJLZSI,X,O,X,X,O,X,X,X,X
TOJSILZ,O,O,O,X,O,X,O,X,X
TOJSIZL,O,O,O,X,O,O,O,X,X
TOJSLIZ,O,O,O,X,O,X,O,X,X
TOJSLZI,O,O,O,X,O,X,O,X,X
TOJSZIL,O,O,O,X,O,O,O,X,X
TOJSZLI,O,O,O,X,O,O,O,X,X
TOJZILS,O,O,X,X,O,O,X,X,X
TOJZISL,O,O,O,X,O,O,X,X,X
TOJZLIS,O,O,X,X,O,O,X,X,X
TOJZLSI,O,O,X,X,O,O,X,X,X
TOJZSIL,O,O,O,X,O,O,X,X,X
TOJZSLI,O,O,O,X,O,O,X,X,X
TOSILJZ,O,O,O,X,O,X,O,X,X
TOSILZJ,O,O,O,X,O,X,O,X,X
TOSIJLZ,O,O,O,X,O,X,O,X,X
TOSIJZL,O,O,O,X,O,O,O,X,X
TOSIZLJ,O,O,O,X,O,O,O,X,X
TOSIZJL,O,O,O,X,O,O,O,X,X
TOSLIJZ,O,O,O,X,O,X,O,X,X
TOSLIZJ,O,O,O,X,O,X,O,X,X
TOSLJIZ,O,O,O,X,O,X,O,X,X
TOSLJZI,O,O,O,X,O,X,O,X,X
TOSLZIJ,O,O,O,X,O,X,O,X,X
TOSLZJI,O,O,O,X,O,X,O,X,X
TOSJILZ,O,O,O,X,O,X,O,X,X
TOSJIZL,O,O,O,X,O,O,O,X,X
TOSJLIZ,O,O,O,X,O,X,O,X,X
TOSJLZI,O,O,O,X,O,X,O,X,X
TOSJZIL,O,O,O,X,O,O,O,X,X
TOSJZLI,O,O,O,X,O,O,O,X,X
TOSZILJ,O,O,O,X,O,O,O,X,X
TOSZIJL,O,O,O,X,O,O,O,X,X
TOSZLIJ,O,O,O,X,O,O,O,X,X
TOSZLJI,O,O,O,X,O,O,O,X,X
TOSZJIL,O,O,O,X,O,O,O,X,X
TOSZJLI,O,O,O,X,O,O,O,X,X
TOZILJS,O,O,X,O,O,O,X,X,X
TOZILSJ,O,O,X,O,O,O,O,X,X
TOZIJLS,O,O,X,O,O,O,X,X,X
TOZIJSL,O,O,O,X,O,O,X,X,X
TOZISLJ,O,O,O,X,O,O,O,X,X
TOZISJL,O,O,O,X,O,O,O,X,X
TOZLIJS,O,O,X,O,O,O,X,X,X
TOZLISJ,O,O,X,O,O,O,O,X,X
TOZLJIS,O,O,X,O,O,O,X,X,X
TOZLJSI,O,O,X,O,O,O,X,X,X
TOZLSIJ,O,O,X,O,O,O,O,X,X
TOZLSJI,O,O,X,O,O,O,O,X,X
TOZJILS,O,O,X,O,O,O,X,X,X
TOZJISL,O,O,O,X,O,O,X,X,X
TOZJLIS,O,O,X,O,O,O,X,X,X
TOZJLSI,O,O,X,O,O,O,X,X,X
TOZJSIL,O,O,O,X,O,O,X,X,X
TOZJSLI,O,O,O,X,O,O,X,X,X
TOZSILJ,O,O,O,X,O,O,O,X,X
TOZSIJL,O,O,O,X,O,O,O,X,X
TOZSLIJ,O,O,O,X,O,O,O,X,X
TOZSLJI,O,O,O,X,O,O,O,X,X
TOZSJIL,O,O,O,X,O,O,O,X,X
TOZSJLI,O,O,O,X,O,O,O,X,X
ITLJSZO,O,O,O,X,X,X,X,O,O
ITLJSOZ,O,O,O,X,O,X,X,O,O
ITLJZSO,O,O,X,O,X,X,X,O,O
ITLJZOS,O,X,X,O,X,X,X,O,O
ITLJOSZ,X,O,O,X,O,X,X,O,O
ITLJOZS,X,O,X,O,O,X,X,O,O
ITLSJZO,O,O,O,X,X,X,X,O,O
ITLSJOZ,O,O,O,X,O,X,X,O,O
ITLSZJO,O,O,O,O,X,X,X,X,X
ITLSZOJ,O,X,O,O,X,X,O,X,X
ITLSOJZ,O,O,O,X,O,X,O,X,X
ITLSOZJ,O,O,O,O,O,X,O,X,X
ITLZJSO,O,O,X,O,X,X,X,O,O
ITLZJOS,O,X,X,O,X,X,X,O,O
ITLZSJO,O,O,X,O,X,X,X,X,X
ITLZSOJ,O,X,X,O,X,X,X,X,X
ITLZOJS,O,O,X,O,X,X,X,X,X
ITLZOSJ,O,O,X,O,X,X,X,X,X
ITLOJSZ,X,O,O,X,O,X,O,O,O
ITLOJZS,X,O,X,O,O,X,X,O,O
ITLOSJZ,X,O,O,X,O,X,O,X,X
ITLOSZJ,X,O,O,O,O,X,O,X,X
ITLOZJS,X,O,X,O,O,X,X,X,X
ITLOZSJ,X,O,X,O,O,X,O,X,X
ITJLSZO,O,O,O,X,X,X,X,O,O
ITJLSOZ,O,O,O,X,O,X,X,O,O
ITJLZSO,O,O,X,O,X,X,X,O,O
ITJLZOS,O,X,X,O,X,X,X,O,O
ITJLOSZ,X,O,O,X,O,X,X,O,O
ITJLOZS,X,O,X,O,O,X,X,O,O
ITJSLZO,O,O,O,X,X,X,X,O,O
ITJSLOZ,O,O,O,X,O,X,X,O,O
ITJSZLO,O,O,O,X,X,X,X,X,X
ITJSZOL,O,X,O,X,O,X,O,X,X
ITJSOLZ,O,O,O,X,O,X,O,X,X
ITJSOZL,O,X,O,X,O,X,O,X,X
ITJZLSO,O,O,X,O,X,X,X,O,O
ITJZLOS,O,X,X,O,X,X,X,O,O
ITJZSLO,O,O,O,O,X,X,X,X,X
ITJZSOL,O,X,O,X,O,X,X,X,X
ITJZOLS,O,X,X,O,O,X,X,X,X
ITJZOSL,O,X,O,X,O,X,X,X,X
ITJOLSZ,X,O,O,X,O,X,O,O,O
ITJOLZS,X,O,X,X,O,X,X,O,O
ITJOSLZ,O,O,O,X,O,X,O,X,X
ITJOSZL,O,O,O,X,O,X,O,X,X
ITJOZLS,O,O,X,X,O,X,X,X,X
ITJOZSL,O,O,O,X,O,X,X,X,X
ITSLJZO,O,O,O,X,X,X,X,O,O
ITSLJOZ,O,O,O,X,O,X,X,O,O
ITSLZJO,O,O,O,O,X,X,X,X,X
ITSLZOJ,O,X,O,O,X,X,O,X,X
ITSLOJZ,O,O,O,X,O,X,O,X,X
ITSLOZJ,O,O,O,O,O,X,O,X,X
ITSJLZO,O,O,O,X,X,X,X,O,O
ITSJLOZ,O,O,O,X,O,X,X,O,O
ITSJZLO,O,O,O,X,X,X,X,X,X
ITSJZOL,O,X,O,X,O,X,O,X,X
ITSJOLZ,O,O,O,X,O,X,O,X,X
ITSJOZL,O,X,O,X,O,X,O,X,X
ITSZLJO,O,O,O,O,X,X,X,X,X
ITSZLOJ,O,X,O,O,X,X,O,X,X
ITSZJLO,O,O,O,O,X,X,X,X,X
ITSZJOL,O,X,O,X,O,X,O,X,X
ITSZOLJ,O,X,O,X,O,X,O,X,X
ITSZOJL,O,X,O,X,O,X,O,X,X
ITSOLJZ,O,O,O,X,O,X,O,X,X
ITSOLZJ,O,O,O,X,O,X,O,X,X
ITSOJLZ,O,O,O,X,O,X,O,X,X
ITSOJZL,O,O,O,X,O,X,O,X,X
ITSOZLJ,O,O,O,X,O,X,O,X,X
ITSOZJL,O,O,O,X,O,X,O,X,X
ITZLJSO,O,O,X,O,X,X,X,O,O
ITZLJOS,O,X,X,O,X,X,X,O,O
ITZLSJO,O,O,X,O,X,X,X,X,X
ITZLSOJ,O,X,X,O,X,X,X,X,X
ITZLOJS,O,O,X,O,X,O,X,X,X
ITZLOSJ,O,O,X,O,X,O,X,X,X
ITZJLSO,O,O,X,O,X,X,X,O,O
ITZJLOS,O,X,X,O,X,X,X,O,O
ITZJSLO,O,O,O,O,X,X,X,X,X
ITZJSOL,O,X,O,X,O,X,X,X,X
ITZJOLS,O,X,X,O,O,O,X,X,X
ITZJOSL,O,X,O,X,O,O,X,X,X
ITZSLJO,O,O,O,O,X,X,X,X,X
ITZSLOJ,O,X,O,O,X,X,O,X,X
ITZSJLO,O,O,O,O,X,X,X,X,X
ITZSJOL,O,X,O,X,O,X,O,X,X
ITZSOLJ,O,X,O,X,O,O,O,X,X
ITZSOJL,O,X,O,X,O,O,O,X,X
ITZOLJS,O,O,X,O,O,O,X,X,X
ITZOLSJ,O,O,X,O,O,O,O,X,X
ITZOJLS,O,O,X,O,O,O,X,X,X
ITZOJSL,O,O,O,X,O,O,X,X,X
ITZOSLJ,O,O,O,X,O,O,O,X,X
ITZOSJL,O,O,O,X,O,O,O,X,X
ITOLJSZ,X,O,O,X,O,X,O,O,O
ITOLJZS,X,O,X,O,O,X,X,O,O
ITOLSJZ,X,O,O,X,O,X,O,X,X
ITOLSZJ,X,O,O,O,O,X,O,X,X
ITOLZJS,X,O,X,O,O,X,X,X,X
ITOLZSJ,X,O,X,O,O,X,O,X,X
ITOJLSZ,X,O,O,X,O,X,O,O,O
ITOJLZS,X,O,X,X,O,X,X,O,O
ITOJSLZ,O,O,O,X,O,X,O,X,X
ITOJSZL,O,O,O,X,O,O,O,X,X
ITOJZLS,O,O,X,X,O,O,X,X,X
ITOJZSL,O,O,O,X,O,O,X,X,X
ITOSLJZ,O,O,O,X,O,X,O,X,X
ITOSLZJ,O,O,O,X,O,X,O,X,X
ITOSJLZ,O,O,O,X,O,X,O,X,X
ITOSJZL,O,O,O,X,O,O,O,X,X
ITOSZLJ,O,O,O,X,O,O,O,X,X
ITOSZJL,O,O,O,X,O,O,O,X,X
ITOZLJS,O,O,X,O,O,O,X,X,X
ITOZLSJ,O,O,X,O,O,O,O,X,X
ITOZJLS,O,O,X,O,O,O,X,X,X
ITOZJSL,O,O,O,X,O,O,X,X,X
ITOZSLJ,O,O,O,X,O,O,O,X,X
ITOZSJL,O,O,O,X,O,O,O,X,X
ILTJSZO,O,O,O,X,X,X,X,O,O
ILTJSOZ,O,O,O,X,O,X,X,O,O
ILTJZSO,O,O,X,O,X,X,X,O,O
ILTJZOS,O,X,X,O,X,X,X,O,O
ILTJOSZ,X,O,O,X,O,X,X,O,O
ILTJOZS,X,O,X,O,O,X,X,O,O
ILTSJZO,O,O,O,X,X,X,X,O,O
ILTSJOZ,O,O,O,X,O,X,X,O,O
ILTSZJO,O,O,O,O,X,X,X,X,X
ILTSZOJ,O,X,O,O,X,X,O,X,X
ILTSOJZ,O,O,O,X,O,X,O,X,X
ILTSOZJ,O,O,O,O,O,X,O,X,X
ILTZJSO,O,O,X,O,X,X,X,O,O
ILTZJOS,O,X,X,O,X,X,X,O,O
ILTZSJO,O,O,X,O,X,X,X,X,X
ILTZSOJ,O,X,X,O,X,X,X,X,X
ILTZOJS,O,O,X,O,X,X,X,X,X
ILTZOSJ,O,O,X,O,X,X,X,X,X
ILTOJSZ,X,O,O,X,O,X,O,O,O
ILTOJZS,X,O,X,O,O,X,X,O,O
ILTOSJZ,X,O,O,X,O,X,O,X,X
ILTOSZJ,X,O,O,O,O,X,O,X,X
ILTOZJS,X,O,X,O,O,X,X,X,X
ILTOZSJ,X,O,X,O,O,X,O,X,X
ILJTSZO,O,O,O,X,X,X,X,O,O
ILJTSOZ,O,O,O,X,O,X,X,O,O
ILJTZSO,O,O,X,O,X,X,X,O,O
ILJTZOS,O,X,X,O,X,X,X,O,O
ILJTOSZ,X,O,O,X,O,X,X,O,O
ILJTOZS,X,X,X,O,O,X,X,O,O
ILJSTZO,O,O,X,X,X,X,X,O,O
ILJSTOZ,X,O,O,X,O,X,X,O,O
ILJSZTO,O,O,X,X,X,X,X,O,O
ILJSZOT,O,O,O,X,X,X,X,X,X
ILJSOTZ,X,X,O,X,X,X,X,O,X
ILJSOZT,O,O,O,X,X,X,X,X,X
ILJZTSO,O,X,X,X,X,X,X,O,O
ILJZTOS,O,X,X,O,X,X,X,O,O
ILJZSTO,O,O,X,X,X,X,X,O,O
ILJZSOT,O,O,X,O,X,X,X,X,X
ILJZOTS,O,X,X,O,X,X,X,X,O
ILJZOST,O,X,X,O,X,X,X,X,X
ILJOTSZ,X,O,O,X,X,X,X,O,O
ILJOTZS,X,X,X,O,X,X,X,O,O
ILJOSTZ,X,O,O,X,X,X,X,O,X
ILJOSZT,X,O,O,X,X,X,X,X,X
ILJOZTS,X,X,X,O,X,X,X,X,O
ILJOZST,X,O,X,O,X,X,X,X,X
ILSTJZO,O,O,X,X,X,X,X,O,O
ILSTJOZ,X,O,O,X,O,X,X,O,O
ILSTZJO,O,O,X,O,X,X,X,X,X
ILSTZOJ,O,X,X,O,X,X,O,X,X
ILSTOJZ,X,O,O,X,O,X,O,X,X
ILSTOZJ,X,X,X,O,O,X,O,X,X
ILSJTZO,O,O,X,X,X,X,X,O,O
ILSJTOZ,X,O,O,X,O,X,X,O,O
ILSJZTO,O,O,X,X,X,X,X,O,O
ILSJZOT,O,O,O,X,X,X,X,X,X
ILSJOTZ,X,X,O,X,X,X,X,O,X
ILSJOZT,O,O,O,X,X,X,X,X,X
ILSZTJO,O,X,X,X,X,X,X,X,X
ILSZTOJ,O,X,X,X,X,X,O,X,X
ILSZJTO,O,O,X,X,X,X,X,X,X
ILSZJOT,O,O,O,O,X,X,X,X,X
ILSZOTJ,O,X,X,X,X,X,X,X,X
ILSZOJT,O,X,O,O,X,X,X,X,X
ILSOTJZ,X,O,O,X,X,X,X,X,X
ILSOTZJ,X,X,X,O,X,X,X,X,X
ILSOJTZ,X,O,O,X,X,X,X,X,X
ILSOJZT,O,O,O,X,X,X,X,X,X
ILSOZTJ,O,X,X,X,X,X,X,X,X
ILSOZJT,O,O,O,O,X,X,X,X,X
ILZTJSO,O,X,X,O,X,X,X,O,O
ILZTJOS,O,X,X,O,X,X,X,O,O
ILZTSJO,O,X,X,O,X,X,X,X,X
ILZTSOJ,O,X,X,O,X,X,X,X,X
ILZTOJS,O,X,X,O,X,O,X,X,X
ILZTOSJ,O,X,X,O,X,O,X,X,X
ILZJTSO,O,X,X,X,X,X,X,O,O
ILZJTOS,O,X,X,O,X,X,X,O,O
ILZJSTO,O,O,X,X,X,X,X,O,O
ILZJSOT,O,O,X,O,X,X,X,X,X
ILZJOTS,O,X,X,O,X,X,X,X,O
ILZJOST,O,X,X,O,X,X,X,X,X
ILZSTJO,O,X,X,X,X,X,X,X,X
ILZSTOJ,O,X,X,X,X,X,X,X,X
ILZSJTO,O,O,X,X,X,X,X,X,X
ILZSJOT,O,O,X,O,X,X,X,X,X
ILZSOTJ,O,X,X,X,X,X,X,X,X
ILZSOJT,O,X,X,O,X,X,X,X,X
ILZOTJS,O,X,X,O,X,O,X,X,X
ILZOTSJ,O,X,X,O,X,O,X,X,X
ILZOJTS,O,X,X,O,X,O,X,X,X
ILZOJST,O,O,X,O,X,O,X,X,X
ILZOSTJ,O,X,X,X,X,O,X,X,X
ILZOSJT,O,O,X,O,X,O,X,X,X
ILOTJSZ,X,O,O,X,X,X,X,O,O
ILOTJZS,X,O,X,O,X,X,X,O,O
ILOTSJZ,X,O,O,X,X,X,X,X,X
ILOTSZJ,X,O,O,O,X,X,X,X,X
ILOTZJS,X,O,X,O,X,X,X,X,X
ILOTZSJ,X,O,X,O,X,X,X,X,X
ILOJTSZ,X,O,O,X,X,X,X,O,O
ILOJTZS,X,O,X,O,X,X,X,O,O
ILOJSTZ,X,O,O,X,X,X,X,O,X
ILOJSZT,X,O,O,X,X,O,X,X,X
ILOJZTS,X,X,X,O,X,O,X,X,O
ILOJZST,X,O,X,O,X,O,X,X,X
ILOSTJZ,X,O,O,X,X,X,X,X,X
ILOSTZJ,X,O,X,O,X,X,X,X,X
ILOSJTZ,X,O,O,X,X,X,X,X,X
ILOSJZT,X,O,O,X,X,O,X,X,X
ILOSZTJ,X,X,X,X,X,O,X,X,X
ILOSZJT,X,O,O,O,X,O,X,X,X
ILOZTJS,X,X,X,O,X,O,X,X,X
ILOZTSJ,X,X,X,O,X,O,X,X,X
ILOZJTS,X,X,X,O,X,O,X,X,X
ILOZJST,X,O,X,O,X,O,X,X,X
ILOZSTJ,X,X,X,X,X,O,X,X,X
ILOZSJT,X,O,X,O,X,O,X,X,X
IJTLSZO,O,O,O,X,X,X,X,O,O
IJTLSOZ,O,O,O,X,O,X,X,O,O
IJTLZSO,O,O,X,O,X,X,X,O,O
IJTLZOS,O,X,X,O,X,X,X,O,O
IJTLOSZ,X,O,O,X,O,X,X,O,O
IJTLOZS,X,O,X,O,O,X,X,O,O
IJTSLZO,O,O,O,X,X,X,X,O,O
IJTSLOZ,O,O,O,X,O,X,X,O,O
IJTSZLO,O,O,O,X,X,X,X,X,X
IJTSZOL,O,X,O,X,O,X,O,X,X
IJTSOLZ,O,O,O,X,O,X,O,X,X
IJTSOZL,O,X,O,X,O,X,O,X,X
IJTZLSO,O,O,X,O,X,X,X,O,O
IJTZLOS,O,X,X,O,X,X,X,O,O
IJTZSLO,O,O,O,O,X,X,X,X,X
IJTZSOL,O,X,O,X,O,X,X,X,X
IJTZOLS,O,X,X,O,O,X,X,X,X
IJTZOSL,O,X,O,X,O,X,X,X,X
IJTOLSZ,X,O,O,X,O,X,O,O,O
IJTOLZS,X,O,X,X,O,X,X,O,O
IJTOSLZ,O,O,O,X,O,X,O,X,X
IJTOSZL,O,O,O,X,O,X,O,X,X
IJTOZLS,O,O,X,X,O,X,X,X,X
IJTOZSL,O,O,O,X,O,X,X,X,X
IJLTSZO,O,O,O,X,X,X,X,O,O
IJLTSOZ,O,O,O,X,O,X,X,O,O
IJLTZSO,O,O,X,O,X,X,X,O,O
IJLTZOS,O,X,X,O,X,X,X,O,O
IJLTOSZ,X,O,O,X,O,X,X,O,O
IJLTOZS,X,X,X,O,O,X,X,O,O
IJLSTZO,O,O,X,X,X,X,X,O,O
IJLSTOZ,X,O,O,X,O,X,X,O,O
IJLSZTO,O,O,X,X,X,X,X,O,O
IJLSZOT,O,O,O,X,X,X,X,X,X
IJLSOTZ,X,X,O,X,X,X,X,O,X
