sequence,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeaBJvhFzcBGeBUjBF?nB3sBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeF8IvhF0dB6jB3hBm?nBTsBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JecBJvhFTdB6jBeoBF?nB3qBxwB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeU8IvhFFdB6jBziBm?mB3sBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeaBJvhFGdBTeBFnBX?oBUsBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeaBJvhFFdBXeBWnBc?oBTsBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeU8IvhFGeBiiB3hBF?oBTsBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeG9IvhFTeBihBUnBF?oB3qBxwB,v115@zgC8GeD8FeD8FeF8CeC8FeB8Jex9IvhFlhBcnBTjB3?sByvBGrB,v115@zgC8GeD8FeD8FeF8CeC8FeB8Jex9IvhFlhB3iBcoBT?sByvBGrB
TSOIJZL,X,O,X,X,O,X,X,X,X,X
TSOIZLJ,O,O,X,O,O,X,X,O,O,X
TSOIZJL,O,O,X,X,O,X,X,O,O,X
TSOLIJZ,X,X,X,X,O,X,X,X,X,X
TSOLIZJ,O,O,X,O,O,X,X,X,X,X
TSOLJIZ,X,X,X,O,O,X,X,X,X,X
TSOLJZI,O,O,X,O,O,X,X,X,X,X
TSOLZIJ,O,O,X,O,O,X,X,X,X,X
TSOLZJI,O,O,X,O,O,X,X,X,X,X
TSOJILZ,X,X,O,O,O,X,X,X,X,X
TSOJIZL,X,X,O,O,O,X,X,X,X,X
TSOJLIZ,X,O,O,O,O,X,X,X,X,X
TSOJLZI,O,O,O,O,O,X,X,X,X,X
TSOJZIL,O,X,X,O,O,X,X,X,X,X
TSOJZLI,O,O,O,O,O,X,X,X,X,X
TSOZILJ,O,O,X,O,O,X,X,O,O,O
TSOZIJL,O,X,X,X,O,X,X,O,O,O
TSOZLIJ,O,O,X,O,O,X,X,O,O,O
TSOZLJI,O,O,X,O,O,X,X,O,O,O
TSOZJIL,O,X,X,O,O,X,X,O,O,O
TSOZJLI,O,O,O,O,O,X,X,O,O,O
TZILJSO,O,O,O,O,X,O,O,O,X,X
TZILJOS,O,O,O,O,X,O,O,O,X,X
TZILSJO,O,O,X,O,X,O,O,O,X,X
TZILSOJ,O,O,X,O,X,O,X,O,X,X
TZILOJS,O,O,O,O,X,O,O,O,X,X
TZILOSJ,O,O,X,O,X,O,X,O,X,X
TZIJLSO,O,O,O,O,X,O,O,O,X,X
TZIJLOS,O,O,O,O,X,O,O,O,X,X
TZIJSLO,O,O,O,O,X,O,O,O,X,X
TZIJSOL,O,X,O,O,X,O,X,O,X,X
TZIJOLS,O,O,O,O,X,O,O,O,X,X
TZIJOSL,O,X,O,X,X,O,X,O,X,X
TZISLJO,O,O,X,O,X,O,O,O,X,X
TZISLOJ,O,O,X,O,X,O,X,O,X,X
TZISJLO,O,O,O,O,X,O,O,O,X,X
TZISJOL,O,O,O,O,X,O,X,O,X,X
TZISOLJ,O,O,X,O,X,O,X,O,X,X
TZISOJL,O,O,O,O,X,X,X,O,X,X
TZIOLJS,O,O,O,O,X,O,O,O,X,X
TZIOLSJ,O,O,X,O,X,O,O,O,X,X
TZIOJLS,O,O,O,O,X,O,O,O,X,X
TZIOJSL,O,O,O,X,X,O,O,O,X,X
TZIOSLJ,O,O,X,O,X,O,O,O,X,O
TZIOSJL,O,O,O,O,X,O,O,O,X,O
TZLIJSO,O,O,O,O,X,O,O,O,X,X
TZLIJOS,O,O,O,O,X,O,O,O,X,X
TZLISJO,O,O,X,O,X,O,O,O,X,X
TZLISOJ,O,O,X,O,X,O,X,O,X,X
TZLIOJS,O,O,X,O,X,O,O,O,X,X
TZLIOSJ,O,O,X,O,X,O,X,O,X,X
TZLJISO,O,O,O,O,X,O,O,O,X,X
TZLJIOS,O,X,O,O,X,O,O,O,X,X
TZLJSIO,O,O,O,O,X,O,O,X,X,X
TZLJSOI,O,O,X,O,O,O,O,O,X,X
TZLJOIS,O,X,O,O,X,O,X,O,X,X
TZLJOSI,O,O,O,O,X,O,O,O,X,X
TZLSIJO,O,O,X,O,O,O,X,O,X,X
TZLSIOJ,O,O,X,O,O,O,X,O,X,X
TZLSJIO,O,O,X,O,O,O,O,X,X,X
TZLSJOI,O,O,X,O,O,O,O,O,X,X
TZLSOIJ,O,O,X,O,O,X,X,O,X,X
TZLSOJI,O,O,X,O,O,O,X,O,X,X
TZLOIJS,O,X,X,O,X,X,X,O,X,X
TZLOISJ,X,X,X,O,X,X,X,O,X,X
TZLOJIS,O,O,O,O,X,O,X,O,X,X
TZLOJSI,O,O,O,O,X,O,O,O,X,X
TZLOSIJ,X,O,X,O,X,O,X,O,X,X
TZLOSJI,O,O,X,O,X,O,X,O,X,X
TZJILSO,O,O,O,O,X,O,O,O,X,X
TZJILOS,O,X,O,O,X,X,O,O,X,X
TZJISLO,O,X,O,O,X,O,O,O,X,X
TZJISOL,O,X,O,O,X,X,X,O,X,X
TZJIOLS,O,X,O,O,X,X,O,O,X,X
TZJIOSL,O,X,O,X,X,X,X,O,X,X
TZJLISO,O,O,O,O,X,O,O,O,X,X
TZJLIOS,O,X,O,O,X,O,O,O,X,X
TZJLSIO,O,O,O,O,X,O,O,X,X,X
TZJLSOI,O,O,X,O,O,O,O,O,X,X
TZJLOIS,O,X,O,O,X,O,X,O,X,X
TZJLOSI,O,O,O,O,X,O,O,O,X,X
TZJSILO,O,X,X,X,O,O,O,O,X,X
TZJSIOL,O,X,X,X,O,X,X,O,X,X
TZJSLIO,O,O,O,O,X,O,O,X,X,X
TZJSLOI,O,O,X,O,O,O,O,O,X,X
TZJSOIL,O,X,X,X,O,X,X,O,X,X
TZJSOLI,O,X,O,O,O,O,X,O,X,X
TZJOILS,O,X,O,X,X,X,O,O,X,X
TZJOISL,X,X,O,X,X,X,X,O,X,X
TZJOLIS,O,X,O,O,X,X,X,O,X,X
TZJOLSI,O,O,O,O,X,O,O,O,X,X
TZJOSIL,X,X,X,X,X,X,X,O,X,X
TZJOSLI,O,X,O,X,X,O,X,O,X,X
TZSILJO,O,O,X,O,O,O,O,O,X,X
TZSILOJ,O,O,X,O,O,O,X,O,X,X
TZSIJLO,O,O,X,O,O,O,O,O,X,X
TZSIJOL,O,O,X,O,O,O,X,O,X,X
TZSIOLJ,O,O,X,O,O,O,X,O,X,X
TZSIOJL,O,O,X,O,O,X,X,O,X,X
TZSLIJO,O,O,X,O,O,O,X,O,X,X
TZSLIOJ,O,O,X,O,O,O,X,O,X,X
TZSLJIO,O,O,X,O,O,O,O,X,X,X
TZSLJOI,O,O,X,O,O,O,O,O,X,X
TZSLOIJ,O,O,X,O,O,X,X,O,X,X
TZSLOJI,O,O,X,O,O,O,X,O,X,X
TZSJILO,O,O,X,O,O,O,O,O,X,X
TZSJIOL,O,X,X,O,O,X,X,O,X,X
TZSJLIO,O,O,O,O,X,O,O,X,X,X
TZSJLOI,O,O,X,O,O,O,O,O,X,X
TZSJOIL,O,X,X,O,O,X,X,O,X,X
TZSJOLI,O,O,O,O,O,O,X,O,X,X
TZSOILJ,O,O,X,O,O,X,X,O,X,X
TZSOIJL,O,X,X,X,O,X,X,O,X,X
TZSOLIJ,O,O,X,O,O,X,X,O,X,X
TZSOLJI,O,O,X,O,O,O,X,O,X,X
TZSOJIL,O,X,X,O,O,X,X,O,X,X
TZSOJLI,O,O,O,O,O,X,X,O,X,X
TZOILJS,O,X,X,O,X,X,O,O,X,X
TZOILSJ,X,X,X,O,X,X,X,O,X,X
TZOIJLS,O,X,O,O,X,X,O,O,X,X
TZOIJSL,X,X,X,X,X,X,X,O,X,X
TZOISLJ,X,X,X,O,X,X,X,O,X,O
TZOISJL,X,X,X,O,X,X,X,O,X,O
TZOLIJS,O,X,X,O,X,X,O,O,X,X
TZOLISJ,X,X,X,O,X,X,X,O,X,X
TZOLJIS,O,O,O,O,X,O,O,O,X,X
TZOLJSI,O,O,O,O,X,O,O,O,X,X
TZOLSIJ,X,O,X,O,X,O,X,O,X,O
TZOLSJI,O,O,X,O,X,O,O,O,X,O
TZOJILS,O,O,O,X,X,O,O,O,X,X
TZOJISL,X,X,O,X,X,O,X,O,X,X
TZOJLIS,O,O,O,O,X,O,O,O,X,X
TZOJLSI,O,O,O,O,X,O,O,O,X,X
TZOJSIL,X,X,X,X,X,O,X,O,X,O
TZOJSLI,O,O,O,X,X,O,O,O,X,O
TZOSILJ,X,O,X,O,X,O,X,O,X,O
TZOSIJL,X,X,X,X,X,O,X,O,X,O
TZOSLIJ,X,O,X,O,X,O,X,O,X,O
TZOSLJI,O,O,X,O,X,O,O,O,X,O
TZOSJIL,X,X,X,X,X,O,X,O,X,O
TZOSJLI,O,O,O,O,X,O,O,O,X,O
TOILJSZ,X,O,X,X,X,X,O,X,X,X
TOILJZS,X,O,X,X,X,X,O,X,X,X
TOILSJZ,X,O,X,X,X,X,O,X,X,X
TOILSZJ,X,O,X,X,X,X,O,X,X,X
TOILZJS,O,O,X,X,X,X,O,O,X,X
TOILZSJ,X,O,X,X,X,X,O,O,X,X
TOIJLSZ,X,O,O,X,X,X,O,X,X,X
TOIJLZS,X,O,O,X,X,X,O,X,X,X
TOIJSLZ,X,O,O,X,X,X,O,X,X,X
TOIJSZL,X,O,O,X,X,X,O,X,X,X
TOIJZLS,X,O,O,X,X,X,O,O,X,X
TOIJZSL,X,O,O,X,X,X,O,O,X,X
TOISLJZ,X,O,X,X,X,X,X,X,X,X
TOISLZJ,X,O,X,X,X,X,X,X,X,X
TOISJLZ,X,O,X,X,X,X,X,X,X,X
TOISJZL,X,O,X,X,X,X,X,X,X,X
TOISZLJ,X,O,X,X,X,X,X,O,O,X
TOISZJL,X,O,X,X,X,X,X,O,O,X
TOIZLJS,O,O,X,X,X,X,O,O,X,X
TOIZLSJ,X,O,X,X,X,X,X,O,X,X
TOIZJLS,O,O,O,X,X,X,O,O,X,X
TOIZJSL,X,O,X,X,X,X,X,O,X,X
TOIZSLJ,X,O,X,X,X,X,X,O,X,O
TOIZSJL,X,O,X,X,X,X,X,O,X,O
TOLIJSZ,X,O,X,X,X,X,O,X,X,X
TOLIJZS,X,O,X,X,X,X,O,X,X,X
TOLISJZ,X,O,X,X,X,X,O,X,X,X
TOLISZJ,X,O,X,X,X,X,O,X,X,X
TOLIZJS,O,O,X,X,X,X,O,O,X,X
TOLIZSJ,X,O,X,X,X,X,O,O,X,X
TOLJISZ,X,O,O,X,X,X,O,X,X,X
TOLJIZS,X,O,O,X,X,O,O,X,X,X
TOLJSIZ,X,O,O,X,O,X,O,X,X,X
TOLJSZI,X,O,O,X,O,O,O,X,X,X
TOLJZIS,O,O,O,X,X,O,O,X,X,X
TOLJZSI,O,O,O,X,X,O,O,X,X,X
TOLSIJZ,X,X,X,X,O,X,O,X,X,X
TOLSIZJ,X,O,X,X,O,X,O,X,X,X
TOLSJIZ,X,X,X,X,O,X,O,X,X,X
TOLSJZI,X,O,X,X,O,X,O,X,X,X
TOLSZIJ,X,O,X,X,O,X,X,X,X,X
TOLSZJI,O,O,X,X,O,X,O,X,X,X
TOLZIJS,O,X,X,X,X,X,O,O,X,X
TOLZISJ,X,X,X,X,X,X,O,O,X,X
TOLZJIS,O,O,O,X,X,O,O,O,X,X
TOLZJSI,O,O,O,X,X,O,O,O,X,X
TOLZSIJ,X,O,X,X,X,O,X,O,X,O
TOLZSJI,O,O,X,X,X,O,O,O,X,O
TOJILSZ,X,X,O,X,X,X,O,X,X,X
TOJILZS,X,O,O,X,X,O,O,X,X,X
TOJISLZ,X,X,O,X,X,X,O,X,X,X
TOJISZL,X,X,O,X,X,X,O,X,X,X
TOJIZLS,X,O,O,X,X,O,O,O,X,X
TOJIZSL,X,X,O,X,X,O,O,O,X,X
TOJLISZ,X,O,O,X,X,X,O,X,X,X
TOJLIZS,X,O,O,X,X,O,O,X,X,X
TOJLSIZ,X,O,O,X,O,X,O,X,X,X
TOJLSZI,X,O,O,X,O,O,O,X,X,X
TOJLZIS,O,O,O,X,X,O,O,X,X,X
TOJLZSI,O,O,O,X,X,O,O,X,X,X
TOJSILZ,X,O,O,X,O,X,O,X,X,X
TOJSIZL,X,O,O,X,O,X,O,X,X,X
TOJSLIZ,X,O,O,X,O,X,O,X,X,X
TOJSLZI,X,O,O,X,O,O,O,X,X,X
TOJSZIL,X,O,X,X,O,O,X,X,X,X
TOJSZLI,X,O,O,X,O,O,O,X,X,X
TOJZILS,O,O,O,X,X,O,O,O,X,X
TOJZISL,X,O,O,X,X,O,O,O,X,X
TOJZLIS,O,O,O,X,X,O,O,O,X,X
TOJZLSI,O,O,O,X,X,O,O,O,X,X
TOJZSIL,X,O,X,X,X,O,X,O,X,O
TOJZSLI,O,O,O,X,X,O,O,O,X,O
TOSILJZ,X,O,X,X,O,X,X,X,X,X
TOSILZJ,X,O,X,X,O,X,X,X,X,X
TOSIJLZ,X,O,X,X,O,X,X,X,X,X
TOSIJZL,X,O,X,X,O,X,X,X,X,X
TOSIZLJ,X,O,X,X,O,X,X,O,O,X
TOSIZJL,X,O,X,X,O,X,X,O,O,X
TOSLIJZ,X,X,X,X,O,X,O,X,X,X
TOSLIZJ,X,O,X,X,O,X,O,X,X,X
TOSLJIZ,X,X,X,X,O,X,O,X,X,X
TOSLJZI,X,O,X,X,O,X,O,X,X,X
TOSLZIJ,X,O,X,X,O,X,X,X,X,X
TOSLZJI,O,O,X,X,O,X,O,X,X,X
TOSJILZ,X,X,O,X,O,X,O,X,X,X
TOSJIZL,X,X,O,X,O,X,O,X,X,X
TOSJLIZ,X,O,O,X,O,X,O,X,X,X
TOSJLZI,X,O,O,X,O,X,O,X,X,X
TOSJZIL,X,X,X,X,O,X,X,X,X,X
TOSJZLI,X,O,O,X,O,X,O,X,X,X
TOSZILJ,X,O,X,X,O,X,X,O,O,O
TOSZIJL,X,X,X,X,O,X,X,O,O,O
TOSZLIJ,X,O,X,X,O,X,X,O,O,O
TOSZLJI,O,O,X,X,O,X,O,O,O,O
TOSZJIL,X,X,X,X,O,X,X,O,O,O
TOSZJLI,O,O,O,X,O,X,O,O,O,O
TOZILJS,O,X,X,X,X,X,O,O,X,X
TOZILSJ,X,X,X,X,X,X,X,O,X,X
TOZIJLS,O,X,O,X,X,X,O,O,X,X
TOZIJSL,X,X,X,X,X,X,X,O,X,X
TOZISLJ,X,X,X,X,X,X,X,O,X,O
TOZISJL,X,X,X,X,X,X,X,O,X,O
TOZLIJS,O,X,X,X,X,X,O,O,X,X
TOZLISJ,X,X,X,X,X,X,O,O,X,X
TOZLJIS,O,O,O,X,X,O,O,O,X,X
TOZLJSI,O,O,O,X,X,O,O,O,X,X
TOZLSIJ,X,O,X,X,X,O,X,O,X,O
TOZLSJI,O,O,X,X,X,O,O,O,X,O
TOZJILS,O,O,O,X,X,O,O,O,X,X
TOZJISL,X,X,O,X,X,O,O,O,X,X
TOZJLIS,O,O,O,X,X,O,O,O,X,X
TOZJLSI,O,O,O,X,X,O,O,O,X,X
TOZJSIL,X,X,X,X,X,O,X,O,X,O
TOZJSLI,O,O,O,X,X,O,O,O,X,O
TOZSILJ,X,O,X,X,X,O,X,O,X,O
TOZSIJL,X,X,X,X,X,O,X,O,X,O
TOZSLIJ,X,O,X,X,X,O,X,O,X,O
TOZSLJI,O,O,X,X,X,O,O,O,X,O
TOZSJIL,X,X,X,X,X,O,X,O,X,O
TOZSJLI,O,O,O,X,X,O,O,O,X,O
ITLJSZO,X,O,O,O,O,O,O,X,X,X
ITLJSOZ,X,O,O,O,O,X,X,X,X,X
ITLJZSO,O,O,O,O,O,O,O,O,X,X
ITLJZOS,O,O,O,O,X,O,O,O,X,X
ITLJOSZ,X,O,O,X,O,X,X,X,X,X
ITLJOZS,O,O,O,O,X,O,O,X,X,X
ITLSJZO,O,O,X,O,O,X,O,X,X,X
ITLSJOZ,O,O,X,O,O,X,X,X,X,X
ITLSZJO,O,O,X,O,O,X,O,X,X,X
ITLSZOJ,O,O,X,O,O,X,X,X,X,X
ITLSOJZ,O,O,X,O,O,X,X,X,X,X
ITLSOZJ,O,O,X,O,O,X,X,X,X,X
ITLZJSO,O,O,O,O,O,O,O,O,X,X
ITLZJOS,O,O,O,O,X,O,O,O,X,X
ITLZSJO,O,O,X,O,O,O,O,O,X,X
ITLZSOJ,O,O,X,O,O,O,X,O,X,X
ITLZOJS,O,O,O,O,X,O,O,O,X,X
ITLZOSJ,O,O,X,O,X,O,X,O,X,X
ITLOJSZ,X,O,O,X,O,O,X,X,X,X
ITLOJZS,O,O,O,X,X,O,O,X,X,X
ITLOSJZ,X,O,X,X,O,X,X,X,X,X
ITLOSZJ,O,O,X,X,O,X,X,X,X,X
ITLOZJS,O,O,O,X,X,O,O,O,X,X
ITLOZSJ,O,O,X,X,X,O,X,O,X,X
ITJLSZO,X,O,O,O,O,O,O,X,X,X
ITJLSOZ,X,O,O,O,O,X,X,X,X,X
ITJLZSO,O,O,O,O,O,O,O,X,X,X
ITJLZOS,O,O,O,O,X,O,O,X,X,X
ITJLOSZ,X,O,O,X,O,X,X,X,X,X
ITJLOZS,O,O,O,O,X,O,O,X,X,X
ITJSLZO,X,O,O,O,O,O,O,X,X,X
ITJSLOZ,X,O,O,X,O,X,X,X,X,X
ITJSZLO,X,O,O,O,O,O,O,X,X,X
ITJSZOL,X,O,O,X,O,O,X,X,X,X
ITJSOLZ,X,O,O,X,O,X,X,X,X,X
ITJSOZL,X,O,O,X,O,X,X,X,X,X
ITJZLSO,O,O,O,O,O,O,O,O,X,X
ITJZLOS,O,O,O,O,X,O,O,O,X,X
ITJZSLO,O,O,O,O,O,O,O,O,X,X
ITJZSOL,O,O,O,X,O,O,X,O,X,X
ITJZOLS,O,O,O,O,X,O,O,O,X,X
ITJZOSL,O,X,O,X,X,O,X,O,X,X
ITJOLSZ,X,O,O,X,O,X,X,X,X,X
ITJOLZS,O,O,O,O,X,O,O,X,X,X
ITJOSLZ,X,O,O,X,O,X,X,X,X,X
ITJOSZL,X,O,O,X,O,X,X,X,X,X
ITJOZLS,O,O,O,O,X,O,O,O,X,X
ITJOZSL,O,O,O,X,X,O,X,O,X,X
ITSLJZO,O,O,X,O,O,X,O,X,X,X
ITSLJOZ,O,O,X,O,O,X,X,X,X,X
ITSLZJO,O,O,X,O,O,X,O,X,X,X
ITSLZOJ,O,O,X,O,O,X,X,X,X,X
ITSLOJZ,O,O,X,O,O,X,X,X,X,X
ITSLOZJ,O,O,X,O,O,X,X,X,X,X
ITSJLZO,O,O,O,O,O,X,O,X,X,X
ITSJLOZ,O,O,O,O,O,X,X,X,X,X
ITSJZLO,O,O,O,O,O,X,O,X,X,X
ITSJZOL,O,O,O,O,O,X,X,X,X,X
ITSJOLZ,O,O,O,O,O,X,X,X,X,X
ITSJOZL,O,O,O,O,O,X,X,X,X,X
ITSZLJO,O,O,X,O,O,X,O,O,X,X
ITSZLOJ,O,O,X,O,O,X,X,O,X,X
ITSZJLO,O,O,O,O,O,X,O,O,X,X
ITSZJOL,O,O,O,O,O,X,X,O,X,X
ITSZOLJ,O,O,X,O,O,X,X,O,X,X
ITSZOJL,O,O,O,O,O,X,X,O,X,X
ITSOLJZ,O,O,X,O,O,X,X,X,X,X
ITSOLZJ,O,O,X,O,O,X,X,X,X,X
ITSOJLZ,O,O,O,O,O,X,X,X,X,X
ITSOJZL,O,O,O,O,O,X,X,X,X,X
ITSOZLJ,O,O,X,O,O,X,X,O,X,X
ITSOZJL,O,O,O,O,O,X,X,O,X,X
ITZLJSO,O,O,O,O,O,O,O,O,X,X
ITZLJOS,O,O,O,O,X,O,O,O,X,X
ITZLSJO,O,O,X,O,O,O,O,O,X,X
ITZLSOJ,O,O,X,O,O,O,X,O,X,X
ITZLOJS,O,O,O,O,X,O,O,O,X,X
ITZLOSJ,O,O,X,O,X,O,X,O,X,X
ITZJLSO,O,O,O,O,O,O,O,O,X,X
ITZJLOS,O,O,O,O,X,O,O,O,X,X
ITZJSLO,O,O,O,O,O,O,O,O,X,X
ITZJSOL,O,X,O,O,O,O,X,O,X,X
ITZJOLS,O,O,O,O,X,O,O,O,X,X
ITZJOSL,O,X,O,X,X,O,X,O,X,X
ITZSLJO,O,O,X,O,O,O,O,O,X,X
ITZSLOJ,O,O,X,O,O,O,X,O,X,X
ITZSJLO,O,O,O,O,O,O,O,O,X,X
ITZSJOL,O,O,O,O,O,O,X,O,X,X
ITZSOLJ,O,O,X,O,O,O,X,O,X,X
ITZSOJL,O,O,O,O,O,X,X,O,X,X
ITZOLJS,O,O,O,O,X,O,O,O,X,X
ITZOLSJ,O,O,X,O,X,O,O,O,X,X
ITZOJLS,O,O,O,O,X,O,O,O,X,X
ITZOJSL,O,O,O,X,X,O,O,O,X,X
ITZOSLJ,O,O,X,O,X,O,O,O,X,X
ITZOSJL,O,O,O,O,X,O,O,O,X,X
ITOLJSZ,X,O,O,X,O,O,O,X,X,X
ITOLJZS,O,O,O,X,X,O,O,X,X,X
ITOLSJZ,X,O,X,X,O,X,O,X,X,X
ITOLSZJ,O,O,X,X,O,X,O,X,X,X
ITOLZJS,O,O,O,X,X,O,O,O,X,X
ITOLZSJ,O,O,X,X,X,O,O,O,X,X
ITOJLSZ,X,O,O,X,O,O,O,X,X,X
ITOJLZS,O,O,O,X,X,O,O,X,X,X
ITOJSLZ,X,O,O,X,O,O,O,X,X,X
ITOJSZL,X,O,O,X,O,O,O,X,X,X
ITOJZLS,O,O,O,X,X,O,O,O,X,X
ITOJZSL,O,O,O,X,X,O,O,O,X,X
ITOSLJZ,X,O,X,X,O,X,O,X,X,X
ITOSLZJ,O,O,X,X,O,X,O,X,X,X
ITOSJLZ,X,O,O,X,O,X,O,X,X,X
ITOSJZL,X,O,O,X,O,X,O,X,X,X
ITOSZLJ,O,O,X,X,O,X,O,O,X,X
ITOSZJL,O,O,O,X,O,X,O,O,X,X
ITOZLJS,O,O,O,X,X,O,O,O,X,X
ITOZLSJ,O,O,X,X,X,O,O,O,X,X
ITOZJLS,O,O,O,X,X,O,O,O,X,X
ITOZJSL,O,O,O,X,X,O,O,O,X,X
ITOZSLJ,O,O,X,X,X,O,O,O,X,O
ITOZSJL,O,O,O,X,X,O,O,O,X,O
ILTJSZO,X,O,O,O,O,O,O,X,X,X
ILTJSOZ,X,O,O,O,O,X,X,X,X,X
ILTJZSO,O,O,O,O,O,O,O,O,X,X
ILTJZOS,O,O,O,O,X,O,O,O,X,X
ILTJOSZ,X,O,O,X,O,X,X,X,X,X
ILTJOZS,O,O,O,O,X,O,O,X,X,X
ILTSJZO,O,O,X,O,O,X,O,X,X,X
ILTSJOZ,O,O,X,O,O,X,X,X,X,X
ILTSZJO,O,O,X,O,O,X,O,X,X,X
ILTSZOJ,O,O,X,O,O,X,X,X,X,X
ILTSOJZ,O,O,X,O,O,X,X,X,X,X
ILTSOZJ,O,O,X,O,O,X,X,X,X,X
ILTZJSO,O,O,O,O,O,O,O,O,X,X
ILTZJOS,O,O,O,O,X,O,O,O,X,X
ILTZSJO,O,O,X,O,O,O,O,O,X,X
ILTZSOJ,O,O,X,O,O,O,X,O,X,X
ILTZOJS,O,O,O,O,X,O,O,O,X,X
ILTZOSJ,O,O,X,O,X,O,X,O,X,X
ILTOJSZ,X,O,O,X,O,O,X,X,X,X
ILTOJZS,O,O,O,X,X,O,O,X,X,X
ILTOSJZ,X,O,X,X,O,X,X,X,X,X
ILTOSZJ,O,O,X,X,O,X,X,X,X,X
ILTOZJS,O,O,O,X,X,O,O,O,X,X
ILTOZSJ,O,O,X,X,X,O,X,O,X,X
ILJTSZO,X,O,O,O,O,O,X,X,X,X
ILJTSOZ,X,O,O,O,O,X,X,X,X,X
ILJTZSO,O,O,O,O,O,O,X,O,X,X
ILJTZOS,O,O,O,O,X,O,X,O,X,X
ILJTOSZ,X,O,O,X,O,X,X,X,X,X
ILJTOZS,O,O,O,O,X,O,X,X,X,X
ILJSTZO,O,O,O,O,O,O,X,X,X,X
ILJSTOZ,O,O,O,O,O,X,X,X,X,X
ILJSZTO,O,O,O,O,X,O,X,O,X,X
ILJSZOT,O,O,X,O,X,O,X,X,X,X
ILJSOTZ,X,O,X,O,O,X,X,X,X,X
ILJSOZT,X,O,X,O,X,X,X,X,X,X
ILJZTSO,O,O,O,O,X,O,X,O,X,X
ILJZTOS,O,O,O,O,X,O,X,O,X,X
ILJZSTO,O,O,O,O,X,O,X,O,X,X
ILJZSOT,O,O,X,O,X,O,X,X,X,X
ILJZOTS,O,O,O,O,X,O,X,O,X,X
ILJZOST,O,O,X,O,X,O,X,X,X,X
ILJOTSZ,X,O,O,X,X,O,X,X,X,X
ILJOTZS,X,O,O,O,X,O,X,X,X,X
ILJOSTZ,X,O,X,O,X,O,X,X,X,X
ILJOSZT,X,O,X,O,X,O,X,X,X,X
ILJOZTS,X,O,O,O,X,O,X,O,X,X
ILJOZST,X,O,X,O,X,O,X,X,X,X
ILSTJZO,O,O,X,O,O,X,X,X,X,X
ILSTJOZ,O,O,X,O,O,X,X,X,X,X
ILSTZJO,O,O,X,O,O,X,X,X,X,X
ILSTZOJ,O,O,X,O,O,X,X,X,X,X
ILSTOJZ,O,O,X,O,O,X,X,X,X,X
ILSTOZJ,O,O,X,O,O,X,X,X,X,X
ILSJTZO,O,O,O,O,O,O,X,X,X,X
ILSJTOZ,O,O,O,O,O,X,X,X,X,X
ILSJZTO,O,O,O,O,X,O,X,O,X,X
ILSJZOT,O,O,X,O,X,O,X,X,X,X
ILSJOTZ,X,O,X,O,O,X,X,X,X,X
ILSJOZT,X,O,X,O,X,X,X,X,X,X
ILSZTJO,O,O,X,O,O,O,X,O,X,X
ILSZTOJ,O,O,X,O,O,O,X,O,X,X
ILSZJTO,O,O,O,O,X,O,X,O,X,X
ILSZJOT,O,X,X,O,X,O,X,X,X,X
ILSZOTJ,O,O,X,O,O,O,X,X,X,X
ILSZOJT,O,X,X,O,X,O,X,X,X,X
ILSOTJZ,O,O,X,O,O,X,X,X,X,X
ILSOTZJ,O,O,X,O,O,X,X,X,X,X
ILSOJTZ,X,O,X,O,O,O,X,X,X,X
ILSOJZT,X,O,X,O,X,O,X,X,X,X
ILSOZTJ,O,O,X,O,O,O,X,X,X,X
ILSOZJT,O,O,X,O,X,O,X,X,X,X
ILZTJSO,O,O,O,O,O,O,O,O,X,X
ILZTJOS,O,O,O,O,X,O,O,O,X,X
ILZTSJO,O,O,X,O,O,O,O,O,X,X
ILZTSOJ,O,O,X,O,O,O,X,O,X,X
ILZTOJS,O,O,O,O,X,O,O,O,X,X
ILZTOSJ,O,O,X,O,X,O,X,O,X,X
ILZJTSO,O,O,O,O,X,O,X,O,X,X
ILZJTOS,O,O,O,O,X,O,X,O,X,X
ILZJSTO,O,O,O,O,X,O,X,O,X,X
ILZJSOT,O,O,X,O,X,O,X,X,X,X
ILZJOTS,O,O,O,O,X,O,X,O,X,X
ILZJOST,O,O,X,O,X,O,X,X,X,X
ILZSTJO,O,O,X,O,O,O,X,O,X,X
ILZSTOJ,O,O,X,O,O,O,X,O,X,X
ILZSJTO,O,O,O,O,X,O,X,O,X,X
ILZSJOT,O,X,X,O,X,O,X,X,X,X
ILZSOTJ,O,O,X,O,O,O,X,X,X,X
ILZSOJT,O,X,X,O,X,O,X,X,X,X
ILZOTJS,O,O,X,O,X,O,O,O,X,X
ILZOTSJ,O,O,X,O,X,O,O,O,X,X
ILZOJTS,O,O,O,O,X,O,O,O,X,X
ILZOJST,O,O,X,O,X,O,O,X,X,X
ILZOSTJ,O,O,X,O,X,O,X,X,X,X
ILZOSJT,O,O,X,O,X,O,O,X,X,X
