sequence,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeZ/IvhFqfBTbBmcB1?qBXrB0rB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeZ/IvhFFbBmcBflBC?hBzqB0rB,v115@6gC8GeC8FeD8AeA8CeH8DeC8Jex6IvhFicBOkBXgBF?mB0qBzrB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeZ/IvhFCbB2hBXgBF?mB0qBzrB,v115@6gC8GeC8FeD8AeA8CeH8DeC8Jei6IvhF3bBzcBckBV?mB2qBRwB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeZ/IvhFGbBzfBFmB0?qB/rBasB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeT6IvhF2gB8hBikB3?lBFmBRwB,v115@6gC8GeC8FeD8AeA8CeH8DeC8Jex6IvhFicBOkBFlBX?mB0qBzrB,v115@6gC8GeC8FeD8AeA8CeH8DeC8Jei6IvhFRcBckB3hBT?lB2wBlqB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeZ/IvhFFbBzcBflBC?mB2wB8qB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeZ/IvhFzaB3cBUlBF?mBuqBywB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeT6IvhFxbB8hBikB3?lB2wBlqB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeZ/IvhFufB3bBlhBy?qB0qBzrB,v115@6gC8GeC8FeD8AeA8CeH8DeC8Je2/IvhFRbBfmBlhBi?kB0qBzrB,v115@6gC8GeC8FeD8AeA8CeH8DeC8Jei6IvhFRcBckBlgB/?qBOrBzrB,v115@6gC8GeC8FeD8AeA8CeH8DeC8Jei8IvhFxkBXmBOkBF?lBzrB0qB
IZLOTSJ,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X
IZLOJTS,O,X,X,X,O,O,O,X,X,X,X,O,O,X,X,X
IZLOJST,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X,X
IZLOSTJ,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
IZLOSJT,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X
IZJTLSO,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
IZJTLOS,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IZJTSLO,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
IZJTSOL,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
IZJTOLS,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X
IZJTOSL,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
IZJLTSO,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
IZJLTOS,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X
IZJLSTO,X,X,O,X,O,X,X,X,O,O,X,X,O,X,O,X
IZJLSOT,X,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X
IZJLOTS,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
IZJLOST,X,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X
IZJSTLO,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X
IZJSTOL,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X
IZJSLTO,X,X,O,O,O,X,X,X,O,O,X,X,X,X,O,X
IZJSLOT,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IZJSOTL,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJSOLT,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IZJOTLS,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X
IZJOTSL,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IZJOLTS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZJOLST,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IZJOSTL,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
IZJOSLT,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IZSTLJO,X,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X
IZSTLOJ,X,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X
IZSTJLO,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
IZSTJOL,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O
IZSTOLJ,X,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X
IZSTOJL,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
IZSLTJO,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X
IZSLTOJ,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X
IZSLJTO,X,X,X,O,O,X,X,X,X,O,X,X,X,O,O,X
IZSLJOT,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X,X
IZSLOTJ,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
IZSLOJT,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X
IZSJTLO,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X
IZSJTOL,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,O
IZSJLTO,X,X,O,O,O,X,X,X,X,O,X,X,X,X,O,X
IZSJLOT,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZSJOTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOLT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZSOTLJ,X,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X
IZSOTJL,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
IZSOLTJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZSOLJT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJTL,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZSOJLT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOTLJS,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IZOTLSJ,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IZOTJLS,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IZOTJSL,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
IZOTSLJ,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
IZOTSJL,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
IZOLTJS,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X
IZOLTSJ,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IZOLJTS,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IZOLJST,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IZOLSTJ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOLSJT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOJTLS,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IZOJTSL,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IZOJLTS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZOJLST,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IZOJSTL,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IZOJSLT,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IZOSTLJ,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
IZOSTJL,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
IZOSLTJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZOSLJT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJTL,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOSJLT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTLJSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLJZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLSJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLSZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLZJS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTLZSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTJLSZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTJLZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJSLZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTJSZL,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTJZLS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOTJZSL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOTSLJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSLZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSJLZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTSJZL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSZLJ,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOTSZJL,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOTZLJS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOTZLSJ,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOTZJLS,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOTZJSL,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOTZSLJ,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOTZSJL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOLTJSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTJZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTSJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTSZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTZJS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLTZSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLJTSZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLJTZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJSTZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLJSZT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLJZTS,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IOLJZST,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IOLSTJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSTZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSJTZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLSJZT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLSZTJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZJT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZTJS,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IOLZTSJ,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IOLZJTS,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IOLZJST,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOLZSTJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOLZSJT,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOJTLSZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJTLZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTSLZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJTSZL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTZLS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJTZSL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJLTSZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJLTZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLSTZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJLSZT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJLZTS,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IOJLZST,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IOJSTLZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJSTZL,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJSLTZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJSLZT,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOJSZTL,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IOJSZLT,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOJZTLS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJZTSL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJZLTS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJZLST,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOJZSTL,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IOJZSLT,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOSTLJZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTLZJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTJLZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IOSTJZL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOSTZLJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSTZJL,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSLTJZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLTZJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLJTZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSLJZT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSLZTJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSLZJT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJTLZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IOSJTZL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOSJLTZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSJLZT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSJZTL,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSJZLT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSZTLJ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOSZTJL,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOSZLTJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSZLJT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZJTL,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSZJLT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZTLJS,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOZTLSJ,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOZTJLS,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOZTJSL,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
IOZTSLJ,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
IOZTSJL,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
IOZLTJS,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOZLTSJ,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOZLJTS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOZLJST,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOZLSTJ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZLSJT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJTLS,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOZJTSL,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOZJLTS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOZJLST,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOZJSTL,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IOZJSLT,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOZSTLJ,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
IOZSTJL,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
IOZSLTJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOZSLJT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSJTL,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZSJLT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIJSZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJSOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJZSO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTIJZOS,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
LTIJOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJOZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTISJZO,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTISJOZ,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTISZJO,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
LTISZOJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
LTISOJZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTISOZJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIZJSO,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
LTIZJOS,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
LTIZSJO,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
LTIZSOJ,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
LTIZOJS,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
LTIZOSJ,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
LTIOJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOJZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIOSJZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIOSZJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIOZJS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTIOZSJ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTJISZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJISOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJIZSO,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
LTJIZOS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTJIOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJIOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSIZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJSIOZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJSZIO,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
LTJSZOI,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
LTJSOIZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJSOZI,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
LTJZISO,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
LTJZIOS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTJZSIO,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X
LTJZSOI,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X
LTJZOIS,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LTJZOSI,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
LTJOISZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOSIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOSZI,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
LTJOZIS,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
LTJOZSI,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
LTSIJZO,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTSIJOZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTSIZJO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTSIZOJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTSIOJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIOZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJIZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSJIOZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSJZIO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSJZOI,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LTSJOIZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSJOZI,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LTSZIJO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTSZIOJ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LTSZJIO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSZJOI,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTSZOIJ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LTSZOJI,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTSOIJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOIZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOJIZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSOJZI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTSOZIJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSOZJI,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTZIJSO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTZIJOS,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
LTZISJO,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
LTZISOJ,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
LTZIOJS,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
LTZIOSJ,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
LTZJISO,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
LTZJIOS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTZJSIO,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X
LTZJSOI,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X
LTZJOIS,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LTZJOSI,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
LTZSIJO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
LTZSIOJ,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X
LTZSJIO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTZSJOI,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X
LTZSOIJ,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X
LTZSOJI,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X
LTZOIJS,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
LTZOISJ,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
LTZOJIS,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
LTZOJSI,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
LTZOSIJ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LTZOSJI,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTOIJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOIJZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOISJZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOISZJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOIZJS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTOIZSJ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTOJISZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOJIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOJSIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOJSZI,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
LTOJZIS,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
LTOJZSI,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
LTOSIJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOSIZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOSJIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOSJZI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOSZIJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOSZJI,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTOZIJS,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LTOZISJ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTOZJIS,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
LTOZJSI,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
LTOZSIJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOZSJI,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LITJSZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITJSOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITJZSO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LITJZOS,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
LITJOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITJOZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LITSJZO,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LITSJOZ,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LITSZJO,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
