sequence,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFXcBFiB8nB6rBOs?BzqB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFXcBTdBcmBynBWw?BFsB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFXdBamBziB0hBWw?BFsB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFTdBFhB8nBasBGr?BXrB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFFhBXiB8nB6rBOs?BzqB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFeiBfjBFhBcsB6r?BzqB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFTdBFhB8nBSrBes?BXrB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFKiBfjBFhBWsBzq?B0rB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFeiBfjBFhBcsBCr?BTrB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhF6hB0dB2nBVrBXs?BzqB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhF0dB3hBlnBuqBTm?BywB
TSJOLIZ,X,X,X,X,X,X,X,O,X,O,X
TSJOLZI,X,X,X,X,X,X,X,O,X,O,X
TSJOZIL,X,X,X,X,X,X,X,X,X,O,O
TSJOZLI,X,X,X,X,X,X,X,X,X,O,O
TSZILJO,O,O,X,X,O,X,X,X,O,O,O
TSZILOJ,O,O,X,X,O,X,X,X,X,X,X
TSZIJLO,X,O,X,X,O,O,X,X,O,O,O
TSZIJOL,X,X,X,X,O,O,O,X,O,O,O
TSZIOLJ,X,O,X,O,O,X,X,X,X,X,X
TSZIOJL,X,X,X,X,O,O,X,X,X,X,O
TSZLIJO,O,O,X,X,O,X,X,X,O,O,O
TSZLIOJ,O,O,X,X,O,X,X,X,X,X,X
TSZLJIO,O,O,X,X,O,X,X,X,O,O,O
TSZLJOI,O,O,X,X,O,X,X,X,O,O,O
TSZLOIJ,O,O,X,X,O,X,X,X,X,X,X
TSZLOJI,O,O,X,X,O,X,X,X,X,X,O
TSZJILO,X,O,X,X,O,O,X,X,O,O,O
TSZJIOL,X,X,X,X,O,O,O,X,O,O,O
TSZJLIO,X,O,X,X,O,O,X,X,O,O,O
TSZJLOI,X,O,X,X,O,O,X,X,O,O,O
TSZJOIL,X,X,X,X,O,O,O,X,O,O,O
TSZJOLI,X,X,X,X,O,O,O,X,O,O,O
TSZOILJ,X,O,X,O,O,X,X,X,X,X,X
TSZOIJL,X,X,X,X,O,O,X,X,X,X,O
TSZOLIJ,X,O,X,O,O,X,X,X,X,X,X
TSZOLJI,X,O,X,O,O,X,X,X,X,X,O
TSZOJIL,X,X,X,X,O,O,X,X,X,X,O
TSZOJLI,X,X,X,X,O,O,X,X,X,X,O
TSOILJZ,X,X,O,X,X,X,X,X,X,O,X
TSOILZJ,O,X,O,X,X,X,X,X,X,X,X
TSOIJLZ,X,X,X,X,X,X,X,O,X,O,X
TSOIJZL,X,X,X,X,X,X,X,O,X,O,O
TSOIZLJ,O,X,X,X,O,X,X,X,X,X,X
TSOIZJL,X,X,X,X,O,O,X,X,X,X,O
TSOLIJZ,X,X,O,X,X,X,X,X,X,O,X
TSOLIZJ,O,X,O,X,X,X,X,X,X,X,X
TSOLJIZ,X,X,O,X,X,X,X,X,X,O,O
TSOLJZI,X,X,O,X,X,X,X,X,X,O,O
TSOLZIJ,O,X,O,X,X,X,X,X,X,X,X
TSOLZJI,O,X,O,X,X,X,X,X,X,X,O
TSOJILZ,X,X,X,X,X,X,X,O,X,O,X
TSOJIZL,X,X,X,X,X,X,X,O,X,O,O
TSOJLIZ,X,X,O,X,X,X,X,O,X,O,X
TSOJLZI,X,X,O,X,X,X,X,O,X,O,X
TSOJZIL,X,X,X,X,X,X,X,O,X,O,O
TSOJZLI,X,X,X,X,X,X,X,O,X,O,O
TSOZILJ,O,X,X,X,O,X,X,X,X,X,X
TSOZIJL,X,X,X,X,O,O,X,X,X,X,O
TSOZLIJ,O,X,O,X,O,X,X,X,X,X,X
TSOZLJI,O,X,O,X,O,X,X,X,X,X,O
TSOZJIL,X,X,X,X,O,O,X,X,X,X,O
TSOZJLI,X,X,X,X,O,O,X,X,X,X,O
TZILJSO,O,O,X,O,X,X,X,X,X,X,X
TZILJOS,X,O,X,O,X,X,O,X,X,X,X
TZILSJO,O,O,X,X,O,X,X,X,X,X,O
TZILSOJ,O,O,X,O,O,X,X,X,X,X,X
TZILOJS,O,O,X,O,X,X,X,X,X,X,X
TZILOSJ,O,O,X,O,X,X,X,X,X,X,X
TZIJLSO,X,O,X,O,X,X,O,X,X,X,X
TZIJLOS,X,O,X,O,X,X,O,X,X,X,X
TZIJSLO,X,O,X,X,O,X,X,X,X,X,O
TZIJSOL,X,X,X,X,O,X,O,X,X,X,O
TZIJOLS,X,X,X,O,X,X,O,X,X,X,X
TZIJOSL,X,X,X,X,X,X,O,X,X,X,X
TZISLJO,O,O,X,X,O,X,X,X,X,X,O
TZISLOJ,O,O,X,X,O,X,X,X,X,X,X
TZISJLO,X,O,X,X,O,X,X,X,X,X,O
TZISJOL,X,X,X,X,O,X,O,X,X,X,O
TZISOLJ,X,O,X,O,O,X,X,X,X,X,X
TZISOJL,X,X,X,X,O,X,X,X,X,X,O
TZIOLJS,O,O,X,O,X,X,X,X,X,X,X
TZIOLSJ,O,O,X,O,O,X,X,X,X,X,X
TZIOJLS,X,X,X,O,X,X,O,X,X,X,X
TZIOJSL,X,X,X,X,O,X,O,O,X,X,X
TZIOSLJ,O,O,X,O,O,X,X,X,X,X,X
TZIOSJL,X,X,X,X,O,X,X,X,X,X,O
TZLIJSO,O,O,X,O,X,X,X,X,X,X,X
TZLIJOS,X,O,X,O,X,X,O,X,X,X,X
TZLISJO,O,O,X,X,O,X,X,X,X,X,O
TZLISOJ,O,O,X,O,O,X,X,X,X,X,X
TZLIOJS,O,O,X,O,X,X,X,X,X,X,X
TZLIOSJ,O,O,O,O,X,X,X,X,X,X,X
TZLJISO,O,O,X,O,X,X,X,X,X,X,X
TZLJIOS,X,O,X,O,X,X,O,X,X,X,X
TZLJSIO,O,O,X,O,X,X,X,X,X,X,O
TZLJSOI,O,O,X,O,X,X,X,X,X,X,O
TZLJOIS,O,O,X,O,X,X,O,X,X,X,X
TZLJOSI,O,O,X,O,X,X,O,X,X,X,X
TZLSIJO,O,O,X,X,O,X,X,X,X,X,O
TZLSIOJ,O,O,X,O,O,X,X,X,X,X,X
TZLSJIO,O,O,X,X,O,X,X,X,X,X,O
TZLSJOI,O,O,X,X,O,X,X,X,X,X,O
TZLSOIJ,O,O,X,O,O,X,X,X,X,X,X
TZLSOJI,O,O,X,O,O,X,X,X,X,X,O
TZLOIJS,O,O,X,O,X,X,X,X,X,X,X
TZLOISJ,O,O,O,O,X,X,X,X,X,X,X
TZLOJIS,O,O,X,O,X,X,X,X,X,X,X
TZLOJSI,O,O,X,O,X,X,X,X,X,X,X
TZLOSIJ,O,O,O,O,X,X,X,X,X,X,X
TZLOSJI,O,O,O,O,X,X,X,X,X,X,O
TZJILSO,X,O,X,O,X,X,O,X,X,X,X
TZJILOS,X,O,X,O,X,X,O,X,X,X,X
TZJISLO,X,O,X,X,O,X,X,X,X,X,O
TZJISOL,X,X,X,X,O,X,O,X,X,X,O
TZJIOLS,X,X,X,O,X,X,O,X,X,X,X
TZJIOSL,X,X,X,X,X,X,O,X,X,X,X
TZJLISO,O,O,X,O,X,X,O,X,X,X,X
TZJLIOS,X,O,X,O,X,X,O,X,X,X,X
TZJLSIO,O,O,X,O,X,X,O,X,X,X,O
TZJLSOI,O,O,X,O,X,X,O,X,X,X,O
TZJLOIS,O,O,X,O,X,X,O,X,X,X,X
TZJLOSI,O,O,X,O,X,X,O,X,X,X,X
TZJSILO,X,O,X,X,O,X,X,X,X,X,O
TZJSIOL,X,X,X,X,O,X,O,X,X,X,O
TZJSLIO,X,O,X,X,O,X,X,X,X,X,O
TZJSLOI,X,O,X,X,O,X,X,O,X,X,O
TZJSOIL,X,X,X,X,O,X,O,X,X,X,O
TZJSOLI,X,X,X,X,O,X,O,X,X,X,O
TZJOILS,X,X,X,O,X,X,O,X,X,X,X
TZJOISL,X,X,X,X,X,X,O,X,X,X,X
TZJOLIS,X,X,X,O,X,X,O,X,X,X,X
TZJOLSI,X,X,X,O,X,X,O,X,X,X,X
TZJOSIL,X,X,X,X,X,X,O,X,X,X,X
TZJOSLI,X,X,X,X,X,X,O,X,X,X,X
TZSILJO,O,O,X,X,O,X,X,X,X,X,O
TZSILOJ,O,O,X,X,O,X,X,X,X,X,X
TZSIJLO,X,O,X,X,O,X,X,X,X,X,O
TZSIJOL,X,X,X,X,O,X,O,X,X,X,O
TZSIOLJ,X,O,X,O,O,X,X,X,X,X,X
TZSIOJL,X,X,X,X,O,X,X,X,X,X,O
TZSLIJO,O,O,X,X,O,X,X,X,X,X,O
TZSLIOJ,O,O,X,X,O,X,X,X,X,X,X
TZSLJIO,O,O,X,X,O,X,X,X,X,X,O
TZSLJOI,O,O,X,X,O,X,X,X,X,X,O
TZSLOIJ,O,O,X,X,O,X,X,X,X,X,X
TZSLOJI,O,O,X,X,O,X,X,X,X,X,O
TZSJILO,X,O,X,X,O,X,X,X,X,X,O
TZSJIOL,X,X,X,X,O,X,O,X,X,X,O
TZSJLIO,X,O,X,X,O,X,X,X,X,X,O
TZSJLOI,X,O,X,X,O,X,X,X,X,X,O
TZSJOIL,X,X,X,X,O,X,O,X,X,X,O
TZSJOLI,X,X,X,X,O,X,O,X,X,X,O
TZSOILJ,X,O,X,O,O,X,X,X,X,X,X
TZSOIJL,X,X,X,X,O,X,X,X,X,X,O
TZSOLIJ,X,O,X,O,O,X,X,X,X,X,X
TZSOLJI,X,O,X,O,O,X,X,X,X,X,O
TZSOJIL,X,X,X,X,O,X,X,X,X,X,O
TZSOJLI,X,X,X,X,O,X,X,X,X,X,O
TZOILJS,O,O,X,O,X,X,X,X,X,X,X
TZOILSJ,O,O,X,O,O,X,X,X,X,X,X
TZOIJLS,X,X,X,O,X,X,O,X,X,X,X
TZOIJSL,X,X,X,X,O,X,O,O,X,X,X
TZOISLJ,O,O,X,O,O,X,X,X,X,X,X
TZOISJL,X,X,X,X,O,X,X,X,X,X,O
TZOLIJS,O,O,X,O,X,X,X,X,X,X,X
TZOLISJ,O,O,O,O,O,X,X,X,X,X,X
TZOLJIS,O,O,X,O,X,X,X,X,X,X,X
TZOLJSI,O,O,X,O,X,X,X,X,X,X,X
TZOLSIJ,O,O,O,O,O,X,X,X,X,X,X
TZOLSJI,O,O,O,O,O,X,X,X,X,X,O
TZOJILS,X,X,X,O,X,X,O,X,X,X,X
TZOJISL,X,X,X,X,O,X,O,O,X,X,X
TZOJLIS,X,X,X,O,X,X,O,X,X,X,X
TZOJLSI,X,X,X,O,X,X,O,X,X,X,X
TZOJSIL,X,X,X,X,O,X,O,O,X,X,X
TZOJSLI,X,X,X,X,O,X,O,O,X,X,X
TZOSILJ,O,O,X,O,O,X,X,X,X,X,X
TZOSIJL,X,X,X,X,O,X,X,X,X,X,O
TZOSLIJ,O,O,O,O,O,X,X,X,X,X,X
TZOSLJI,O,O,O,O,O,X,X,X,X,X,O
TZOSJIL,X,X,X,X,O,X,X,X,X,X,O
TZOSJLI,X,X,X,X,O,X,X,X,X,X,O
TOILJSZ,X,X,O,X,X,X,X,O,X,X,X
TOILJZS,X,O,O,X,X,X,X,X,X,X,X
TOILSJZ,X,X,O,X,X,X,X,X,X,X,X
TOILSZJ,O,O,O,X,X,X,X,X,X,X,X
TOILZJS,O,O,X,O,X,X,X,X,X,X,X
TOILZSJ,O,O,O,O,O,X,X,X,X,X,X
TOIJLSZ,X,X,O,X,X,X,X,O,X,X,X
TOIJLZS,X,X,O,X,X,X,X,X,X,X,X
TOIJSLZ,X,X,X,X,X,X,X,O,X,X,X
TOIJSZL,X,X,X,X,X,X,X,O,X,X,X
TOIJZLS,X,X,X,X,X,X,O,X,X,X,X
TOIJZSL,X,X,X,X,O,X,O,O,X,X,X
TOISLJZ,X,X,O,X,X,X,X,X,X,X,X
TOISLZJ,O,X,O,X,X,X,X,X,X,X,X
TOISJLZ,X,X,X,X,X,X,X,O,X,X,X
TOISJZL,X,X,X,X,X,X,X,O,X,X,O
TOISZLJ,O,X,X,X,O,X,X,X,X,X,X
TOISZJL,X,X,X,X,O,O,X,X,X,X,O
TOIZLJS,O,O,X,O,X,X,X,X,X,X,X
TOIZLSJ,O,O,X,O,O,X,X,X,X,X,X
TOIZJLS,X,X,X,O,X,X,O,X,X,X,X
TOIZJSL,X,X,X,X,O,X,O,O,X,X,X
TOIZSLJ,O,O,X,O,O,X,X,X,X,X,X
TOIZSJL,X,X,X,X,O,X,X,X,X,X,O
TOLIJSZ,X,X,O,X,X,X,X,O,X,X,X
TOLIJZS,X,O,O,X,X,X,X,X,X,X,X
TOLISJZ,X,X,O,X,X,X,X,X,X,X,X
TOLISZJ,O,O,O,X,X,X,X,X,X,X,X
TOLIZJS,O,O,X,O,X,X,X,X,X,X,X
TOLIZSJ,O,O,O,O,O,X,X,X,X,X,X
TOLJISZ,X,X,O,X,X,X,X,O,X,X,X
TOLJIZS,X,O,O,X,X,X,X,X,X,X,X
TOLJSIZ,X,X,O,X,X,X,X,O,X,X,X
TOLJSZI,X,X,O,X,X,X,X,O,X,X,X
TOLJZIS,X,O,O,X,X,X,X,X,X,X,X
TOLJZSI,X,O,O,X,X,X,X,X,X,X,X
TOLSIJZ,X,X,O,X,X,X,X,X,X,X,X
TOLSIZJ,O,O,O,X,X,X,X,X,X,X,X
TOLSJIZ,X,X,O,X,X,X,X,X,X,X,O
TOLSJZI,X,X,O,X,X,X,X,X,X,X,O
TOLSZIJ,O,O,O,X,X,X,X,X,X,X,X
TOLSZJI,O,O,O,X,X,X,X,X,X,X,O
TOLZIJS,O,O,X,O,X,X,X,X,X,X,X
TOLZISJ,O,O,O,O,O,X,X,X,X,X,X
TOLZJIS,O,O,X,O,X,X,X,X,X,X,X
TOLZJSI,O,O,X,O,X,X,X,X,X,X,X
TOLZSIJ,O,O,O,O,O,X,X,X,X,X,X
TOLZSJI,O,O,O,O,O,X,X,X,X,X,O
TOJILSZ,X,X,O,X,X,X,X,O,X,X,X
TOJILZS,X,X,O,X,X,X,X,X,X,X,X
TOJISLZ,X,X,O,X,X,X,X,O,X,X,X
TOJISZL,X,X,X,X,X,X,X,O,X,X,X
TOJIZLS,X,X,X,X,X,X,O,X,X,X,X
TOJIZSL,X,X,X,X,O,X,O,O,X,X,X
TOJLISZ,X,X,O,X,X,X,X,O,X,X,X
TOJLIZS,X,X,O,X,X,X,X,X,X,X,X
TOJLSIZ,X,X,O,X,X,X,X,O,X,X,X
TOJLSZI,X,X,O,X,X,X,X,O,X,X,X
TOJLZIS,X,X,O,X,X,X,X,X,X,X,X
TOJLZSI,X,X,O,X,X,X,X,X,X,X,X
TOJSILZ,X,X,O,X,X,X,X,O,X,X,X
TOJSIZL,X,X,X,X,X,X,X,O,X,X,X
TOJSLIZ,X,X,O,X,X,X,X,O,X,X,X
TOJSLZI,X,X,O,X,X,X,X,O,X,X,X
TOJSZIL,X,X,X,X,X,X,X,O,X,X,X
TOJSZLI,X,X,O,X,X,X,X,O,X,X,X
TOJZILS,X,X,X,X,X,X,O,X,X,X,X
TOJZISL,X,X,X,X,O,X,O,O,X,X,X
TOJZLIS,X,X,O,X,X,X,O,X,X,X,X
TOJZLSI,X,X,O,X,X,X,O,X,X,X,X
TOJZSIL,X,X,X,X,O,X,O,O,X,X,X
TOJZSLI,X,X,O,X,O,X,O,O,X,X,X
TOSILJZ,X,X,O,X,X,X,X,X,X,X,X
TOSILZJ,O,X,O,X,X,X,X,X,X,X,X
TOSIJLZ,X,X,X,X,X,X,X,O,X,X,X
TOSIJZL,X,X,X,X,X,X,X,O,X,X,O
TOSIZLJ,O,X,X,X,O,X,X,X,X,X,X
TOSIZJL,X,X,X,X,O,O,X,X,X,X,O
TOSLIJZ,X,X,O,X,X,X,X,X,X,X,X
TOSLIZJ,O,X,O,X,X,X,X,X,X,X,X
TOSLJIZ,X,X,O,X,X,X,X,X,X,X,O
TOSLJZI,X,X,O,X,X,X,X,X,X,X,O
TOSLZIJ,O,X,O,X,X,X,X,X,X,X,X
TOSLZJI,O,X,O,X,X,X,X,X,X,X,O
TOSJILZ,X,X,X,X,X,X,X,O,X,X,X
TOSJIZL,X,X,X,X,X,X,X,O,X,X,O
TOSJLIZ,X,X,O,X,X,X,X,O,X,X,X
TOSJLZI,X,X,O,X,X,X,X,O,X,X,X
TOSJZIL,X,X,X,X,X,X,X,O,X,X,O
TOSJZLI,X,X,X,X,X,X,X,O,X,X,O
TOSZILJ,O,X,X,X,O,X,X,X,X,X,X
TOSZIJL,X,X,X,X,O,O,X,X,X,X,O
TOSZLIJ,O,X,O,X,O,X,X,X,X,X,X
TOSZLJI,O,X,O,X,O,X,X,X,X,X,O
TOSZJIL,X,X,X,X,O,O,X,X,X,X,O
TOSZJLI,X,X,X,X,O,O,X,X,X,X,O
TOZILJS,O,O,X,O,X,X,X,X,X,X,X
TOZILSJ,O,O,X,O,O,X,X,X,X,X,X
TOZIJLS,X,X,X,O,X,X,O,X,X,X,X
TOZIJSL,X,X,X,X,O,X,O,O,X,X,X
TOZISLJ,O,O,X,O,O,X,X,X,X,X,X
TOZISJL,X,X,X,X,O,X,X,X,X,X,O
TOZLIJS,O,O,X,O,X,X,X,X,X,X,X
TOZLISJ,O,O,O,O,O,X,X,X,X,X,X
TOZLJIS,O,O,X,O,X,X,X,X,X,X,X
TOZLJSI,O,O,X,O,X,X,X,X,X,X,X
TOZLSIJ,O,O,O,O,O,X,X,X,X,X,X
TOZLSJI,O,O,O,O,O,X,X,X,X,X,O
TOZJILS,X,X,X,O,X,X,O,X,X,X,X
TOZJISL,X,X,X,X,O,X,O,O,X,X,X
TOZJLIS,X,X,X,O,X,X,O,X,X,X,X
TOZJLSI,X,X,X,O,X,X,O,X,X,X,X
TOZJSIL,X,X,X,X,O,X,O,O,X,X,X
TOZJSLI,X,X,X,X,O,X,O,O,X,X,X
TOZSILJ,O,O,X,O,O,X,X,X,X,X,X
TOZSIJL,X,X,X,X,O,X,X,X,X,X,O
TOZSLIJ,O,O,O,O,O,X,X,X,X,X,X
TOZSLJI,O,O,O,O,O,X,X,X,X,X,O
TOZSJIL,X,X,X,X,O,X,X,X,X,X,O
TOZSJLI,X,X,X,X,O,X,X,X,X,X,O
ITLJSZO,X,O,X,O,X,X,X,X,X,X,X
ITLJSOZ,X,O,O,X,X,X,X,X,X,X,X
ITLJZSO,X,O,X,O,X,X,X,X,X,X,X
ITLJZOS,X,O,O,O,X,X,O,X,X,X,X
ITLJOSZ,X,O,O,X,X,X,X,X,X,X,X
ITLJOZS,X,O,O,O,X,X,X,X,X,X,X
ITLSJZO,X,X,X,X,X,X,X,X,X,X,O
ITLSJOZ,X,X,X,X,X,X,X,X,X,X,O
ITLSZJO,O,O,X,X,X,X,X,X,O,X,O
ITLSZOJ,O,O,X,O,X,X,X,X,X,X,X
ITLSOJZ,X,X,O,X,X,X,X,X,X,X,X
ITLSOZJ,X,O,O,X,X,X,X,X,X,X,X
ITLZJSO,O,O,X,O,X,X,X,X,X,X,X
ITLZJOS,X,O,X,O,X,X,O,X,X,X,X
ITLZSJO,O,O,X,X,O,X,X,X,X,X,O
ITLZSOJ,O,O,X,O,O,X,X,X,X,X,X
ITLZOJS,X,O,X,O,X,X,X,X,X,X,X
ITLZOSJ,O,O,O,O,X,X,X,X,X,X,X
ITLOJSZ,X,O,O,X,X,X,X,O,X,X,X
ITLOJZS,X,O,O,X,X,X,X,X,X,X,X
ITLOSJZ,X,X,O,X,X,X,X,X,X,X,X
ITLOSZJ,X,O,O,X,X,X,X,X,X,X,X
ITLOZJS,X,O,X,O,X,X,X,X,X,X,X
ITLOZSJ,X,O,O,O,O,X,X,X,X,X,X
ITJLSZO,X,O,X,O,X,X,O,X,X,X,X
ITJLSOZ,X,O,O,X,X,X,X,X,X,X,X
ITJLZSO,X,O,X,O,X,X,O,X,X,X,X
ITJLZOS,X,O,O,O,X,X,O,X,X,X,X
ITJLOSZ,X,O,O,X,X,X,X,X,X,X,X
ITJLOZS,X,O,O,O,X,X,O,X,X,X,X
ITJSLZO,X,O,X,X,X,X,X,X,X,O,O
ITJSLOZ,X,O,X,X,X,X,X,O,X,O,X
ITJSZLO,X,O,X,X,X,X,X,X,X,O,O
ITJSZOL,X,O,X,X,X,X,O,X,X,O,O
ITJSOLZ,X,X,X,X,X,X,X,X,X,O,X
ITJSOZL,X,X,X,X,X,X,X,X,X,O,O
ITJZLSO,X,O,X,O,X,X,O,X,X,X,X
ITJZLOS,X,O,X,O,X,X,O,X,X,X,X
ITJZSLO,X,O,X,X,O,X,X,X,X,O,O
ITJZSOL,X,O,X,X,O,X,O,X,X,O,O
ITJZOLS,X,O,X,O,X,X,O,X,X,X,X
ITJZOSL,X,O,X,X,X,X,O,X,X,X,X
ITJOLSZ,X,O,O,X,X,X,X,O,X,X,X
ITJOLZS,X,O,O,X,X,X,X,X,X,X,X
ITJOSLZ,X,X,X,X,X,X,X,O,X,X,X
ITJOSZL,X,X,X,X,X,X,X,O,X,X,X
ITJOZLS,X,O,X,X,X,X,O,X,X,X,X
ITJOZSL,X,O,X,X,O,X,O,O,X,X,X
ITSLJZO,X,X,X,X,X,X,X,X,X,O,O
ITSLJOZ,X,X,X,X,X,X,X,X,X,O,O
ITSLZJO,O,O,X,X,X,X,X,X,O,O,O
ITSLZOJ,O,O,X,O,X,X,X,X,X,X,X
ITSLOJZ,X,X,X,X,X,X,X,X,X,O,X
ITSLOZJ,X,O,X,X,X,X,X,X,X,X,X
ITSJLZO,X,X,X,X,X,X,X,X,X,O,O
ITSJLOZ,X,X,X,X,X,X,X,X,X,O,X
ITSJZLO,X,O,X,X,X,X,X,X,X,O,O
ITSJZOL,X,O,X,X,X,X,O,X,X,O,O
ITSJOLZ,X,X,X,X,X,X,X,X,X,O,X
ITSJOZL,X,X,X,X,X,X,X,X,X,O,O
ITSZLJO,O,O,X,X,O,X,X,X,O,O,O
ITSZLOJ,O,O,X,X,O,X,X,X,X,X,X
ITSZJLO,X,O,X,X,O,O,X,X,O,O,O
ITSZJOL,X,X,X,X,O,O,O,X,O,O,O
ITSZOLJ,X,O,X,O,O,X,X,X,X,X,X
ITSZOJL,X,X,X,X,O,O,X,X,X,X,O
ITSOLJZ,X,X,X,X,X,X,X,X,X,O,X
ITSOLZJ,O,X,X,X,X,X,X,X,X,X,X
ITSOJLZ,X,X,X,X,X,X,X,O,X,O,X
ITSOJZL,X,X,X,X,X,X,X,O,X,O,O
ITSOZLJ,O,X,X,X,O,X,X,X,X,X,X
ITSOZJL,X,X,X,X,O,O,X,X,X,X,O
ITZLJSO,O,O,X,O,X,X,X,X,X,X,X
ITZLJOS,X,O,X,O,X,X,O,X,X,X,X
ITZLSJO,O,O,X,X,O,X,X,X,X,X,O
ITZLSOJ,O,O,X,O,O,X,X,X,X,X,X
ITZLOJS,X,O,X,O,X,X,X,X,X,X,X
ITZLOSJ,O,O,X,O,X,X,X,X,X,X,X
ITZJLSO,X,O,X,O,X,X,O,X,X,X,X
ITZJLOS,X,O,X,O,X,X,O,X,X,X,X
ITZJSLO,X,O,X,X,O,X,X,X,X,X,O
ITZJSOL,X,X,X,X,O,X,O,X,X,X,O
ITZJOLS,X,X,X,O,X,X,O,X,X,X,X
ITZJOSL,X,X,X,X,X,X,O,X,X,X,X
ITZSLJO,O,O,X,X,O,X,X,X,X,X,O
ITZSLOJ,O,O,X,X,O,X,X,X,X,X,X
ITZSJLO,X,O,X,X,O,X,X,X,X,X,O
ITZSJOL,X,X,X,X,O,X,O,X,X,X,O
ITZSOLJ,X,O,X,O,O,X,X,X,X,X,X
ITZSOJL,X,X,X,X,O,X,X,X,X,X,O
ITZOLJS,O,O,X,O,X,X,X,X,X,X,X
ITZOLSJ,O,O,X,O,O,X,X,X,X,X,X
ITZOJLS,X,X,X,O,X,X,O,X,X,X,X
ITZOJSL,X,X,X,X,O,X,O,O,X,X,X
ITZOSLJ,O,O,X,O,O,X,X,X,X,X,X
ITZOSJL,X,X,X,X,O,X,X,X,X,X,O
ITOLJSZ,X,X,O,X,X,X,X,O,X,X,X
ITOLJZS,X,O,O,X,X,X,X,X,X,X,X
ITOLSJZ,X,X,O,X,X,X,X,X,X,X,X
ITOLSZJ,O,O,O,X,X,X,X,X,X,X,X
ITOLZJS,O,O,X,O,X,X,X,X,X,X,X
ITOLZSJ,O,O,O,O,O,X,X,X,X,X,X
ITOJLSZ,X,X,O,X,X,X,X,O,X,X,X
ITOJLZS,X,X,O,X,X,X,X,X,X,X,X
ITOJSLZ,X,X,X,X,X,X,X,O,X,X,X
ITOJSZL,X,X,X,X,X,X,X,O,X,X,X
ITOJZLS,X,X,X,X,X,X,O,X,X,X,X
ITOJZSL,X,X,X,X,O,X,O,O,X,X,X
ITOSLJZ,X,X,O,X,X,X,X,X,X,X,X
ITOSLZJ,O,X,O,X,X,X,X,X,X,X,X
ITOSJLZ,X,X,X,X,X,X,X,O,X,X,X
ITOSJZL,X,X,X,X,X,X,X,O,X,X,O
ITOSZLJ,O,X,X,X,O,X,X,X,X,X,X
ITOSZJL,X,X,X,X,O,O,X,X,X,X,O
ITOZLJS,O,O,X,O,X,X,X,X,X,X,X
ITOZLSJ,O,O,X,O,O,X,X,X,X,X,X
ITOZJLS,X,X,X,O,X,X,O,X,X,X,X
ITOZJSL,X,X,X,X,O,X,O,O,X,X,X
ITOZSLJ,O,O,X,O,O,X,X,X,X,X,X
ITOZSJL,X,X,X,X,O,X,X,X,X,X,O
ILTJSZO,X,O,X,O,X,X,X,X,X,X,X
ILTJSOZ,X,O,O,X,X,X,X,X,X,X,X
ILTJZSO,X,O,X,O,X,X,X,X,X,X,X
ILTJZOS,X,O,O,O,X,X,O,X,X,X,X
ILTJOSZ,X,O,O,X,X,X,X,X,X,X,X
ILTJOZS,X,O,O,O,X,X,X,X,X,X,X
ILTSJZO,X,X,X,X,X,X,X,X,X,X,O
ILTSJOZ,X,X,X,X,X,X,X,X,X,X,O
ILTSZJO,O,O,X,X,X,X,X,X,O,X,O
ILTSZOJ,O,O,X,O,X,X,X,X,X,X,X
ILTSOJZ,X,X,O,X,X,X,X,X,X,X,X
ILTSOZJ,X,O,O,X,X,X,X,X,X,X,X
ILTZJSO,O,O,X,O,X,X,X,X,X,X,X
ILTZJOS,X,O,X,O,X,X,O,X,X,X,X
ILTZSJO,O,O,X,X,O,X,X,X,X,X,O
ILTZSOJ,O,O,X,O,O,X,X,X,X,X,X
ILTZOJS,X,O,X,O,X,X,X,X,X,X,X
ILTZOSJ,O,O,O,O,X,X,X,X,X,X,X
ILTOJSZ,X,O,O,X,X,X,X,O,X,X,X
ILTOJZS,X,O,O,X,X,X,X,X,X,X,X
ILTOSJZ,X,X,O,X,X,X,X,X,X,X,X
ILTOSZJ,X,O,O,X,X,X,X,X,X,X,X
ILTOZJS,X,O,X,O,X,X,X,X,X,X,X
ILTOZSJ,X,O,O,O,O,X,X,X,X,X,X
ILJTSZO,X,O,X,O,X,X,O,X,X,X,X
ILJTSOZ,X,O,O,X,X,X,X,X,X,X,X
ILJTZSO,X,O,X,O,X,X,O,X,X,X,X
ILJTZOS,X,O,O,O,X,X,O,X,X,X,X
ILJTOSZ,X,O,O,X,X,X,X,X,X,X,X
ILJTOZS,X,O,O,O,X,X,O,X,X,X,X
ILJSTZO,X,O,X,O,X,X,O,X,X,O,X
ILJSTOZ,X,O,O,X,X,X,X,X,X,O,X
ILJSZTO,O,O,X,O,X,X,O,X,O,O,X
