sequence,v115@RhB8GeF8AeD8Je2EJvhFRgBCiBTjB3lB0nBlrB,v115@RhB8GeF8AeD8Jex/IvhF8lBzhBCjBmkBXoBlrB,v115@RhB8GeF8AeD8JeT/IvhFigBRiBcoB3lBGnBlrB,v115@RhB8GeF8AeD8JeT/IvhFOlB8lBCiBxnBXoBlrB,v115@RhB8GeF8AeD8Jei/IvhFzhBunBcoBRlB3lBlrB,v115@RhB8GeF8AeD8Jei/IvhFzgBWnBxiBUlBXoBlrB,v115@RhB8GeF8AeD8Jei/IvhFWnBTjBRlB3lB0nBlrB,v115@RhB8GeF8AeD8Jei/IvhFRhBGjBFlBXmB8rBzsB,v115@RhB8GeF8AeD8Je2EJvhFzgBCiBxnBUlBXoBlrB,v115@RhB8GeF8AeD8Jex/IvhFlhB3iBcoBmkBzlBCsB,v115@RhB8GeF8AeD8JeT/IvhFOlBCmBxnB/rBUsBFtB
TJISOZL,O,O,O,X,X,O,X,X,X,X,X
TJIZLSO,O,O,O,O,O,O,X,O,X,O,X
TJIZLOS,O,O,O,O,O,O,O,O,O,O,X
TJIZSLO,O,O,O,O,O,O,X,O,X,O,X
TJIZSOL,O,O,O,O,O,O,X,O,X,O,X
TJIZOLS,O,O,O,O,O,O,O,O,O,O,X
TJIZOSL,O,O,O,O,O,O,X,O,X,O,X
TJIOLSZ,O,X,X,X,X,O,O,O,O,O,O
TJIOLZS,O,X,X,O,O,O,O,O,O,O,O
TJIOSLZ,O,O,O,X,X,O,O,O,O,O,X
TJIOSZL,O,O,O,X,X,O,X,X,X,O,X
TJIOZLS,O,O,O,O,O,O,O,O,O,O,X
TJIOZSL,O,O,O,O,O,O,X,O,X,O,X
TJLISZO,O,X,X,X,X,O,X,O,X,O,X
TJLISOZ,O,X,X,X,X,O,O,O,O,X,X
TJLIZSO,O,X,X,O,O,O,X,O,X,O,X
TJLIZOS,O,X,X,O,O,O,O,O,O,O,X
TJLIOSZ,O,X,X,X,X,O,O,O,O,X,O
TJLIOZS,O,X,X,O,O,O,O,O,O,O,O
TJLSIZO,O,O,O,X,X,O,X,O,X,O,X
TJLSIOZ,O,O,O,X,X,O,O,O,O,X,X
TJLSZIO,O,O,O,X,X,O,X,O,X,O,X
TJLSZOI,O,O,O,X,X,O,X,O,X,O,X
TJLSOIZ,O,O,O,X,X,O,O,O,O,X,X
TJLSOZI,O,O,O,X,X,O,X,O,X,X,X
TJLZISO,O,O,O,O,O,O,X,O,X,O,X
TJLZIOS,O,O,O,O,O,O,O,O,O,O,X
TJLZSIO,O,O,O,O,O,O,X,O,X,O,X
TJLZSOI,O,O,O,O,O,O,X,O,X,O,X
TJLZOIS,O,O,O,O,O,O,O,O,O,O,X
TJLZOSI,O,O,O,O,O,O,X,O,X,O,X
TJLOISZ,O,X,X,X,X,O,O,O,O,O,O
TJLOIZS,O,X,X,O,O,O,O,O,O,O,O
TJLOSIZ,O,O,O,X,X,O,O,O,O,O,X
TJLOSZI,O,O,O,X,X,O,X,O,X,O,X
TJLOZIS,O,O,O,O,O,O,O,O,O,O,X
TJLOZSI,O,O,O,O,O,O,X,O,X,O,X
TJSILZO,O,O,O,X,X,O,X,O,X,X,X
TJSILOZ,O,O,O,X,X,O,O,O,O,X,X
TJSIZLO,O,O,O,X,X,O,X,X,X,X,X
TJSIZOL,O,O,O,X,X,O,X,X,X,X,X
TJSIOLZ,O,O,O,X,X,O,O,X,O,X,X
TJSIOZL,O,O,O,X,X,O,X,X,X,X,X
TJSLIZO,O,O,O,X,X,O,X,O,X,X,X
TJSLIOZ,O,O,O,X,X,O,O,O,O,X,X
TJSLZIO,O,O,O,X,X,O,X,O,X,X,X
TJSLZOI,O,O,O,X,X,O,X,O,X,X,X
TJSLOIZ,O,O,O,X,X,O,O,O,O,X,X
TJSLOZI,O,O,O,X,X,O,X,O,X,X,X
TJSZILO,O,O,O,X,X,O,X,O,X,X,X
TJSZIOL,O,O,O,X,X,O,X,O,X,X,X
TJSZLIO,O,O,O,X,X,O,X,O,X,X,X
TJSZLOI,O,O,O,X,X,O,X,O,X,X,X
TJSZOIL,O,O,O,X,X,O,X,O,X,X,X
TJSZOLI,O,O,O,X,X,O,X,O,X,X,X
TJSOILZ,O,O,O,X,X,O,O,O,O,X,X
TJSOIZL,O,O,O,X,X,O,X,X,X,X,X
TJSOLIZ,O,O,O,X,X,O,O,O,O,X,X
TJSOLZI,O,O,O,X,X,O,X,O,X,X,X
TJSOZIL,O,O,O,X,X,O,X,O,X,X,X
TJSOZLI,O,O,O,X,X,O,X,O,X,X,X
TJZILSO,O,O,O,O,O,O,X,O,X,O,X
TJZILOS,O,O,O,O,O,O,O,O,O,O,X
TJZISLO,O,O,O,O,O,O,X,O,X,O,X
TJZISOL,O,O,O,O,O,O,X,O,X,O,X
TJZIOLS,O,O,O,O,O,O,O,O,O,O,X
TJZIOSL,O,O,O,O,O,O,X,O,X,O,X
TJZLISO,O,O,O,O,O,O,X,O,X,O,X
TJZLIOS,O,O,O,O,O,O,O,O,O,O,X
TJZLSIO,O,O,O,O,O,O,X,O,X,O,X
TJZLSOI,O,O,O,O,O,O,X,O,X,O,X
TJZLOIS,O,O,O,O,O,O,O,O,O,O,X
TJZLOSI,O,O,O,O,O,O,X,O,X,O,X
TJZSILO,O,O,O,O,O,O,X,O,X,O,X
TJZSIOL,O,O,O,O,O,O,X,O,X,O,X
TJZSLIO,O,O,O,O,O,O,X,O,X,O,X
TJZSLOI,O,O,O,O,O,O,X,O,X,O,X
TJZSOIL,O,O,O,O,O,O,X,O,X,O,X
TJZSOLI,O,O,O,O,O,O,X,O,X,O,X
TJZOILS,O,O,O,O,O,O,O,O,O,O,X
TJZOISL,O,O,O,O,O,O,X,O,X,O,X
TJZOLIS,O,O,O,O,O,O,O,O,O,O,X
TJZOLSI,O,O,O,O,O,O,X,O,X,O,X
TJZOSIL,O,O,O,O,O,O,X,O,X,O,X
TJZOSLI,O,O,O,O,O,O,X,O,X,O,X
TJOILSZ,O,X,X,X,X,O,O,O,O,O,O
TJOILZS,O,X,X,O,O,O,O,O,O,O,O
TJOISLZ,O,O,O,X,X,O,O,O,O,O,X
TJOISZL,O,O,O,X,X,O,X,X,X,O,X
TJOIZLS,O,O,O,O,O,O,O,O,O,O,X
TJOIZSL,O,O,O,O,O,O,X,O,X,O,X
TJOLISZ,O,X,X,X,X,O,O,O,O,O,O
TJOLIZS,O,X,X,O,O,O,O,O,O,O,O
TJOLSIZ,O,O,O,X,X,O,O,O,O,O,X
TJOLSZI,O,O,O,X,X,O,X,O,X,O,X
TJOLZIS,O,O,O,O,O,O,O,O,O,O,X
TJOLZSI,O,O,O,O,O,O,X,O,X,O,X
TJOSILZ,O,O,O,X,X,O,O,O,O,O,X
TJOSIZL,O,O,O,X,X,O,X,X,X,O,X
TJOSLIZ,O,O,O,X,X,O,O,O,O,O,X
TJOSLZI,O,O,O,X,X,O,X,O,X,O,X
TJOSZIL,O,O,O,X,X,O,X,O,X,O,X
TJOSZLI,O,O,O,X,X,O,X,O,X,O,X
TJOZILS,O,O,O,O,O,O,O,O,O,O,X
TJOZISL,O,O,O,O,O,O,X,O,X,O,X
TJOZLIS,O,O,O,O,O,O,O,O,O,O,X
TJOZLSI,O,O,O,O,O,O,X,O,X,O,X
TJOZSIL,O,O,O,O,O,O,X,O,X,O,X
TJOZSLI,O,O,O,O,O,O,X,O,X,O,X
TSILJZO,O,O,O,X,X,O,X,O,X,X,X
TSILJOZ,O,O,O,X,X,O,O,O,O,X,X
TSILZJO,O,O,O,O,O,O,X,O,X,X,X
TSILZOJ,O,O,O,O,O,O,X,O,X,X,X
TSILOJZ,O,O,O,X,X,O,O,O,O,X,X
TSILOZJ,O,O,O,O,O,O,X,X,X,X,X
TSIJLZO,O,O,O,X,X,O,X,O,X,X,X
TSIJLOZ,O,O,O,X,X,O,O,O,O,X,X
TSIJZLO,O,O,O,X,X,O,X,X,X,X,X
TSIJZOL,O,O,O,X,X,O,X,X,X,X,X
TSIJOLZ,O,O,O,X,X,O,O,X,O,X,X
TSIJOZL,O,O,O,X,X,O,X,X,X,X,X
TSIZLJO,O,O,O,O,O,O,X,O,X,X,X
TSIZLOJ,O,O,O,O,O,O,X,O,X,X,X
TSIZJLO,O,O,O,O,O,O,X,O,X,X,X
TSIZJOL,O,O,O,O,O,O,X,X,X,X,X
TSIZOLJ,O,O,O,O,O,O,X,O,X,X,X
TSIZOJL,O,O,O,O,O,O,X,O,X,X,X
TSIOLJZ,O,O,O,X,X,O,O,O,O,X,X
TSIOLZJ,O,O,O,O,O,O,X,X,X,X,X
TSIOJLZ,O,O,O,X,X,O,O,O,O,X,X
TSIOJZL,O,O,O,X,X,O,X,X,X,X,X
TSIOZLJ,O,O,O,O,O,O,X,X,X,X,X
TSIOZJL,O,O,O,O,O,O,X,X,X,X,X
TSLIJZO,O,O,O,X,X,O,X,O,X,X,X
