sequence,v115@7gB8GeE8FeD8FeG8AeD8JeT6IvhFZgBCcBXdB8lBGn?BlrB,v115@7gB8GeE8FeD8FeG8AeD8Je2/IvhFRbBCdBUhB/nBTl?BlrB,v115@7gB8GeE8FeD8FeG8AeD8JeT6IvhFZgBCdBulB/nBUh?BlrB,v115@7gB8GeE8FeD8FeG8AeD8JeT6IvhFxcBKlBGhB/nB0g?BlrB,v115@7gB8GeE8FeD8FeG8AeD8Je2/IvhFRbBclBXmBTnBlm?BCsB,v115@7gB8GeE8FeD8FeG8AeD8JeT6IvhFOgB8gB5mB/sByv?BFsB,v115@7gB8GeE8FeD8FeG8AeD8Jei6IvhFxcBUgBThB/nB+l?BlrB,v115@7gB8GeE8FeD8FeG8AeD8Jex6IvhFXcBmfBUiB1qB6r?BTsB
TZJOISL,O,O,O,X,O,X,X,X
TZJOLIS,O,X,X,X,X,X,X,X
TZJOLSI,O,X,X,X,X,X,O,X
TZJOSIL,O,O,O,X,O,X,O,X
TZJOSLI,O,O,O,X,O,X,O,X
TZSILJO,O,O,O,O,X,X,X,X
TZSILOJ,O,O,O,O,X,X,O,X
TZSIJLO,O,O,O,O,X,X,X,X
TZSIJOL,O,O,O,X,X,X,X,X
TZSIOLJ,O,O,O,O,X,X,O,X
TZSIOJL,O,O,O,X,X,X,O,X
TZSLIJO,O,O,O,O,X,X,X,X
TZSLIOJ,O,O,O,O,X,X,O,X
TZSLJIO,O,O,O,O,X,X,X,X
TZSLJOI,O,O,O,O,X,X,O,X
TZSLOIJ,O,O,O,O,X,X,O,X
TZSLOJI,O,O,O,O,X,X,O,X
TZSJILO,O,O,O,O,X,X,X,X
TZSJIOL,O,O,O,X,X,X,X,X
TZSJLIO,O,O,O,O,X,X,X,X
TZSJLOI,O,O,O,O,X,X,O,X
TZSJOIL,O,O,O,X,X,X,O,X
TZSJOLI,O,O,O,X,X,X,O,X
TZSOILJ,O,O,O,O,X,X,O,X
TZSOIJL,O,O,O,X,X,X,O,X
TZSOLIJ,O,O,O,O,X,X,O,X
TZSOLJI,O,O,O,O,X,X,O,X
TZSOJIL,O,O,O,X,X,X,O,X
TZSOJLI,O,O,O,X,X,X,O,X
TZOILJS,O,O,X,X,X,X,X,X
TZOILSJ,O,O,X,X,X,X,O,X
TZOIJLS,O,O,X,X,X,X,X,X
TZOIJSL,O,O,O,X,O,X,X,X
TZOISLJ,O,O,O,X,O,X,O,X
TZOISJL,O,O,O,X,O,X,O,X
TZOLIJS,O,O,X,X,X,X,X,X
TZOLISJ,O,O,X,X,X,X,O,X
TZOLJIS,O,O,X,X,X,X,X,X
TZOLJSI,O,O,X,O,X,X,O,X
TZOLSIJ,O,O,X,O,X,X,O,X
TZOLSJI,O,O,X,O,X,X,O,X
TZOJILS,O,O,X,X,X,X,X,X
TZOJISL,O,O,O,X,O,X,X,X
TZOJLIS,O,O,X,X,X,X,X,X
TZOJLSI,O,O,X,X,X,X,O,X
TZOJSIL,O,O,O,X,O,X,O,X
TZOJSLI,O,O,O,X,O,X,O,X
TZOSILJ,O,O,O,O,O,X,O,X
TZOSIJL,O,O,O,X,O,X,O,X
TZOSLIJ,O,O,O,O,O,X,O,X
TZOSLJI,O,O,O,O,O,X,O,X
TZOSJIL,O,O,O,X,O,X,O,X
TZOSJLI,O,O,O,X,O,X,O,X
TOILJSZ,O,X,O,O,X,X,X,X
TOILJZS,O,X,X,X,X,X,X,X
TOILSJZ,O,X,O,O,X,X,X,X
TOILSZJ,O,X,O,O,X,O,X,X
TOILZJS,O,X,X,X,X,O,X,X
TOILZSJ,O,X,X,X,X,O,X,X
TOIJLSZ,O,O,O,X,X,X,X,X
TOIJLZS,O,O,X,X,X,X,X,X
TOIJSLZ,O,O,O,X,X,X,X,X
TOIJSZL,O,O,O,X,X,X,X,X
TOIJZLS,O,O,X,X,X,X,X,X
TOIJZSL,O,O,O,X,X,X,X,X
TOISLJZ,O,O,O,O,X,X,X,X
TOISLZJ,O,X,O,O,X,O,X,X
TOISJLZ,O,O,O,O,X,X,X,X
TOISJZL,O,O,O,X,X,X,X,X
TOISZLJ,O,O,O,O,X,X,O,X
TOISZJL,O,O,O,X,X,X,O,X
TOIZLJS,O,O,X,X,X,X,X,X
TOIZLSJ,O,O,X,X,X,X,O,X
TOIZJLS,O,O,X,X,X,X,X,X
TOIZJSL,O,O,O,X,X,X,X,X
TOIZSLJ,O,O,O,X,X,X,O,X
TOIZSJL,O,O,O,X,X,X,O,X
TOLIJSZ,O,X,O,O,X,X,X,X
TOLIJZS,O,X,X,X,X,X,X,X
TOLISJZ,O,X,O,O,X,X,X,X
TOLISZJ,O,X,O,O,X,O,X,X
TOLIZJS,O,X,X,X,X,O,X,X
TOLIZSJ,O,X,X,X,X,O,X,X
TOLJISZ,O,O,O,O,X,X,X,O
TOLJIZS,O,O,X,X,X,X,X,O
TOLJSIZ,O,O,O,O,X,X,X,O
TOLJSZI,O,O,O,O,X,X,X,O
TOLJZIS,O,O,X,X,X,X,X,O
TOLJZSI,O,O,X,O,X,X,X,O
TOLSIJZ,O,O,O,O,X,X,X,X
TOLSIZJ,O,X,O,O,X,O,X,X
TOLSJIZ,O,O,O,O,X,X,X,O
TOLSJZI,O,O,O,O,X,X,X,O
TOLSZIJ,O,O,O,O,X,O,O,X
TOLSZJI,O,O,O,O,X,O,O,O
TOLZIJS,O,O,X,X,X,O,X,X
TOLZISJ,O,O,X,X,X,O,O,X
TOLZJIS,O,O,X,X,X,O,X,O
TOLZJSI,O,O,X,O,X,O,O,O
TOLZSIJ,O,O,X,O,X,O,O,X
TOLZSJI,O,O,X,O,X,O,O,O
TOJILSZ,O,O,O,X,X,X,X,O
TOJILZS,O,O,X,X,X,X,X,O
TOJISLZ,O,O,O,X,X,X,X,X
TOJISZL,O,O,O,X,X,X,X,X
TOJIZLS,O,O,X,X,X,X,X,X
TOJIZSL,O,O,O,X,O,X,X,X
TOJLISZ,O,O,O,O,X,X,X,O
TOJLIZS,O,O,X,X,X,X,X,O
TOJLSIZ,O,O,O,O,X,X,X,O
TOJLSZI,O,O,O,O,X,X,X,O
TOJLZIS,O,O,X,X,X,X,X,O
TOJLZSI,O,O,X,O,X,X,X,O
TOJSILZ,O,O,O,O,X,X,X,X
TOJSIZL,O,O,O,X,X,X,X,X
TOJSLIZ,O,O,O,O,X,X,X,X
TOJSLZI,O,O,O,O,X,X,X,X
TOJSZIL,O,O,O,X,X,X,O,X
TOJSZLI,O,O,O,X,X,X,O,X
TOJZILS,O,O,X,X,X,X,X,X
TOJZISL,O,O,O,X,O,X,X,X
TOJZLIS,O,O,X,X,X,X,X,X
TOJZLSI,O,O,X,X,X,X,O,X
TOJZSIL,O,O,O,X,O,X,O,X
TOJZSLI,O,O,O,X,O,X,O,X
TOSILJZ,O,O,O,O,X,X,X,X
TOSILZJ,O,X,O,O,X,O,X,X
TOSIJLZ,O,O,O,O,X,X,X,X
TOSIJZL,O,O,O,X,X,X,X,X
TOSIZLJ,O,O,O,O,X,X,O,X
TOSIZJL,O,O,O,X,X,X,O,X
TOSLIJZ,O,O,O,O,X,X,X,X
TOSLIZJ,O,X,O,O,X,O,X,X
TOSLJIZ,O,O,O,O,X,X,X,X
TOSLJZI,O,O,O,O,X,X,X,X
TOSLZIJ,O,O,O,O,X,O,O,X
TOSLZJI,O,O,O,O,X,O,O,X
TOSJILZ,O,O,O,O,X,X,X,X
TOSJIZL,O,O,O,X,X,X,X,X
TOSJLIZ,O,O,O,O,X,X,X,X
TOSJLZI,O,O,O,O,X,X,X,X
TOSJZIL,O,O,O,X,X,X,O,X
TOSJZLI,O,O,O,X,X,X,O,X
TOSZILJ,O,O,O,O,O,X,O,X
TOSZIJL,O,O,O,X,O,X,O,X
TOSZLIJ,O,O,O,O,O,X,O,X
TOSZLJI,O,O,O,O,O,X,O,X
TOSZJIL,O,O,O,X,O,X,O,X
TOSZJLI,O,O,O,X,O,X,O,X
TOZILJS,O,O,X,X,X,X,X,X
TOZILSJ,O,O,X,X,X,X,O,X
TOZIJLS,O,O,X,X,X,X,X,X
TOZIJSL,O,O,O,X,O,X,X,X
TOZISLJ,O,O,O,X,O,X,O,X
TOZISJL,O,O,O,X,O,X,O,X
TOZLIJS,O,O,X,X,X,X,X,X
TOZLISJ,O,O,X,X,X,X,O,X
TOZLJIS,O,O,X,X,X,X,X,X
TOZLJSI,O,O,X,O,X,X,O,X
TOZLSIJ,O,O,X,O,X,X,O,X
TOZLSJI,O,O,X,O,X,X,O,X
TOZJILS,O,O,X,X,X,X,X,X
TOZJISL,O,O,O,X,O,X,X,X
TOZJLIS,O,O,X,X,X,X,X,X
TOZJLSI,O,O,X,X,X,X,O,X
TOZJSIL,O,O,O,X,O,X,O,X
TOZJSLI,O,O,O,X,O,X,O,X
TOZSILJ,O,O,O,O,O,X,O,X
TOZSIJL,O,O,O,X,O,X,O,X
TOZSLIJ,O,O,O,O,O,X,O,X
TOZSLJI,O,O,O,O,O,X,O,X
TOZSJIL,O,O,O,X,O,X,O,X
TOZSJLI,O,O,O,X,O,X,O,X
ITLJSZO,O,X,O,O,X,X,X,O
ITLJSOZ,O,X,O,O,X,X,X,O
ITLJZSO,O,X,X,X,X,X,X,O
ITLJZOS,O,X,X,X,X,X,X,O
ITLJOSZ,O,X,O,O,X,X,X,O
ITLJOZS,O,X,X,X,X,X,X,O
ITLSJZO,O,X,O,O,X,X,X,O
ITLSJOZ,O,X,O,O,X,X,X,O
ITLSZJO,O,X,O,O,X,O,X,O
ITLSZOJ,O,X,O,O,X,O,O,X
ITLSOJZ,O,X,O,O,X,X,X,X
ITLSOZJ,O,X,O,O,X,O,X,X
ITLZJSO,O,X,X,X,X,O,X,O
ITLZJOS,O,X,X,X,X,O,X,O
ITLZSJO,O,X,X,X,X,O,X,O
ITLZSOJ,O,X,X,X,X,O,O,X
ITLZOJS,O,X,X,X,X,O,X,X
ITLZOSJ,O,X,X,X,X,O,O,X
ITLOJSZ,O,X,O,O,X,X,X,X
ITLOJZS,O,X,X,X,X,X,X,X
ITLOSJZ,O,X,O,O,X,X,X,X
ITLOSZJ,O,X,O,O,X,O,X,X
ITLOZJS,O,X,X,X,X,O,X,X
ITLOZSJ,O,X,X,X,X,O,X,X
ITJLSZO,O,O,O,O,X,X,X,O
ITJLSOZ,O,O,O,O,X,X,X,O
ITJLZSO,O,O,X,X,X,X,X,O
ITJLZOS,O,X,X,X,X,X,X,O
ITJLOSZ,O,X,O,O,X,X,X,O
ITJLOZS,O,X,X,X,X,X,X,O
ITJSLZO,O,O,O,O,X,X,X,O
ITJSLOZ,O,O,O,O,X,X,X,O
ITJSZLO,O,O,O,O,X,X,X,X
ITJSZOL,O,O,O,X,X,X,X,X
ITJSOLZ,O,O,O,O,X,X,X,X
ITJSOZL,O,X,O,X,X,X,X,X
ITJZLSO,O,O,X,X,X,X,X,O
ITJZLOS,O,X,X,X,X,X,X,O
ITJZSLO,O,O,O,X,X,X,X,X
ITJZSOL,O,O,O,X,X,X,X,X
ITJZOLS,O,X,X,X,X,X,X,X
ITJZOSL,O,O,O,X,X,X,X,X
ITJOLSZ,O,X,O,X,X,X,X,O
ITJOLZS,O,X,X,X,X,X,X,O
ITJOSLZ,O,O,O,X,X,X,X,X
ITJOSZL,O,X,O,X,X,X,X,X
ITJOZLS,O,X,X,X,X,X,X,X
ITJOZSL,O,O,O,X,X,X,X,X
ITSLJZO,O,O,O,O,X,X,X,X
ITSLJOZ,O,O,O,O,X,X,X,X
ITSLZJO,O,O,O,O,X,O,X,X
ITSLZOJ,O,O,O,O,X,O,O,X
ITSLOJZ,O,O,O,O,X,X,X,X
ITSLOZJ,O,X,O,O,X,O,X,X
ITSJLZO,O,O,O,O,X,X,X,X
ITSJLOZ,O,O,O,O,X,X,X,X
ITSJZLO,O,O,O,O,X,X,X,X
ITSJZOL,O,O,O,X,X,X,X,X
ITSJOLZ,O,O,O,O,X,X,X,X
ITSJOZL,O,X,O,X,X,X,X,X
ITSZLJO,O,O,O,O,X,X,X,X
ITSZLOJ,O,O,O,O,X,X,O,X
ITSZJLO,O,O,O,O,X,X,X,X
ITSZJOL,O,O,O,X,X,X,X,X
ITSZOLJ,O,O,O,O,X,X,O,X
ITSZOJL,O,O,O,X,X,X,O,X
ITSOLJZ,O,O,O,O,X,X,X,X
ITSOLZJ,O,X,O,O,X,O,X,X
ITSOJLZ,O,O,O,O,X,X,X,X
ITSOJZL,O,O,O,X,X,X,X,X
ITSOZLJ,O,O,O,O,X,X,O,X
ITSOZJL,O,O,O,X,X,X,O,X
ITZLJSO,O,O,X,X,X,X,X,X
ITZLJOS,O,X,X,X,X,X,X,X
ITZLSJO,O,O,X,X,X,X,X,X
ITZLSOJ,O,O,X,X,X,X,O,X
ITZLOJS,O,X,X,X,X,X,X,X
ITZLOSJ,O,X,X,X,X,X,O,X
ITZJLSO,O,O,X,X,X,X,X,X
ITZJLOS,O,X,X,X,X,X,X,X
ITZJSLO,O,O,O,X,X,X,X,X
ITZJSOL,O,O,O,X,X,X,X,X
ITZJOLS,O,X,X,X,X,X,X,X
ITZJOSL,O,O,O,X,X,X,X,X
ITZSLJO,O,O,O,X,X,X,X,X
ITZSLOJ,O,O,O,X,X,X,O,X
ITZSJLO,O,O,O,X,X,X,X,X
ITZSJOL,O,O,O,X,X,X,X,X
ITZSOLJ,O,O,O,X,X,X,O,X
ITZSOJL,O,O,O,X,X,X,O,X
ITZOLJS,O,X,X,X,X,X,X,X
ITZOLSJ,O,X,X,X,X,X,O,X
ITZOJLS,O,X,X,X,X,X,X,X
ITZOJSL,O,O,O,X,X,X,X,X
ITZOSLJ,O,O,O,X,X,X,O,X
ITZOSJL,O,O,O,X,X,X,O,X
ITOLJSZ,O,X,O,O,X,X,X,X
ITOLJZS,O,X,X,X,X,X,X,X
ITOLSJZ,O,X,O,O,X,X,X,X
ITOLSZJ,O,X,O,O,X,O,X,X
ITOLZJS,O,X,X,X,X,O,X,X
ITOLZSJ,O,X,X,X,X,O,X,X
ITOJLSZ,O,O,O,X,X,X,X,X
ITOJLZS,O,O,X,X,X,X,X,X
ITOJSLZ,O,O,O,X,X,X,X,X
ITOJSZL,O,O,O,X,X,X,X,X
ITOJZLS,O,O,X,X,X,X,X,X
ITOJZSL,O,O,O,X,X,X,X,X
ITOSLJZ,O,O,O,O,X,X,X,X
ITOSLZJ,O,X,O,O,X,O,X,X
ITOSJLZ,O,O,O,O,X,X,X,X
ITOSJZL,O,O,O,X,X,X,X,X
ITOSZLJ,O,O,O,O,X,X,O,X
ITOSZJL,O,O,O,X,X,X,O,X
ITOZLJS,O,O,X,X,X,X,X,X
ITOZLSJ,O,O,X,X,X,X,O,X
ITOZJLS,O,O,X,X,X,X,X,X
ITOZJSL,O,O,O,X,X,X,X,X
ITOZSLJ,O,O,O,X,X,X,O,X
ITOZSJL,O,O,O,X,X,X,O,X
ILTJSZO,O,X,O,O,X,X,X,O
ILTJSOZ,O,X,O,O,X,X,X,O
ILTJZSO,O,X,X,X,X,X,X,O
ILTJZOS,O,X,X,X,X,X,X,O
ILTJOSZ,O,X,O,O,X,X,X,O
ILTJOZS,O,X,X,X,X,X,X,O
ILTSJZO,O,X,O,O,X,X,X,O
ILTSJOZ,O,X,O,O,X,X,X,O
ILTSZJO,O,X,O,O,X,O,X,O
ILTSZOJ,O,X,O,O,X,O,O,X
ILTSOJZ,O,X,O,O,X,X,X,X
ILTSOZJ,O,X,O,O,X,O,X,X
ILTZJSO,O,X,X,X,X,O,X,O
ILTZJOS,O,X,X,X,X,O,X,O
ILTZSJO,O,X,X,X,X,O,X,O
ILTZSOJ,O,X,X,X,X,O,O,X
ILTZOJS,O,X,X,X,X,O,X,X
ILTZOSJ,O,X,X,X,X,O,O,X
ILTOJSZ,O,X,O,O,X,X,X,X
ILTOJZS,O,X,X,X,X,X,X,X
ILTOSJZ,O,X,O,O,X,X,X,X
ILTOSZJ,O,X,O,O,X,O,X,X
ILTOZJS,O,X,X,X,X,O,X,X
ILTOZSJ,O,X,X,X,X,O,X,X
ILJTSZO,O,O,O,X,X,X,X,X
ILJTSOZ,O,O,O,X,X,X,X,X
ILJTZSO,O,X,X,X,X,X,X,X
ILJTZOS,O,X,X,X,X,X,X,X
ILJTOSZ,O,X,O,X,X,X,X,X
ILJTOZS,O,X,X,X,X,X,X,X
ILJSTZO,O,O,O,X,X,X,X,X
ILJSTOZ,O,O,O,X,X,X,X,X
ILJSZTO,O,O,X,X,X,O,X,X
ILJSZOT,O,O,O,X,X,O,X,X
ILJSOTZ,O,O,O,X,X,X,X,X
ILJSOZT,O,O,O,X,X,O,X,X
ILJZTSO,O,X,X,X,X,O,X,X
ILJZTOS,O,X,X,X,X,O,X,X
ILJZSTO,O,O,X,X,X,O,X,X
ILJZSOT,O,O,X,X,X,O,X,X
ILJZOTS,O,X,X,X,X,O,X,X
ILJZOST,O,X,X,X,X,O,X,X
ILJOTSZ,O,X,O,X,X,X,X,X
ILJOTZS,O,X,X,X,X,X,X,X
ILJOSTZ,O,O,O,X,X,X,X,X
ILJOSZT,O,O,O,X,X,O,X,X
ILJOZTS,O,X,X,X,X,O,X,X
ILJOZST,O,X,X,X,X,O,X,X
ILSTJZO,O,O,O,O,X,X,X,X
ILSTJOZ,O,O,O,O,X,X,X,X
ILSTZJO,O,O,O,O,X,O,X,X
ILSTZOJ,O,O,O,O,X,O,O,X
ILSTOJZ,O,O,O,O,X,X,X,X
ILSTOZJ,O,X,O,O,X,O,X,X
ILSJTZO,O,O,O,X,X,X,X,X
ILSJTOZ,O,O,O,X,X,X,X,X
ILSJZTO,O,O,X,X,X,O,X,X
ILSJZOT,O,O,O,X,X,O,X,X
ILSJOTZ,O,O,O,X,X,X,X,X
ILSJOZT,O,O,O,X,X,O,X,X
ILSZTJO,X,X,O,X,X,O,X,X
ILSZTOJ,O,X,O,X,X,O,O,X
ILSZJTO,X,X,X,X,X,O,X,X
ILSZJOT,O,X,O,X,X,O,X,X
ILSZOTJ,O,X,O,X,X,O,X,X
ILSZOJT,O,X,O,X,X,O,X,X
ILSOTJZ,O,X,O,O,X,X,X,X
ILSOTZJ,O,X,O,O,X,O,X,X
ILSOJTZ,O,O,O,X,X,X,X,X
ILSOJZT,O,O,O,X,X,O,X,X
ILSOZTJ,O,X,O,X,X,O,X,X
ILSOZJT,O,X,O,X,X,O,X,X
ILZTJSO,O,X,X,X,X,O,X,O
ILZTJOS,O,X,X,X,X,O,X,O
ILZTSJO,O,X,X,X,X,O,X,O
ILZTSOJ,O,X,X,X,X,O,O,X
ILZTOJS,O,X,X,X,X,O,X,X
ILZTOSJ,O,X,X,X,X,O,O,X
ILZJTSO,O,X,X,X,X,O,X,X
ILZJTOS,O,X,X,X,X,O,X,X
ILZJSTO,O,X,X,X,X,O,X,X
ILZJSOT,O,X,X,X,X,O,X,X
ILZJOTS,O,X,X,X,X,O,X,X
ILZJOST,O,X,X,X,X,O,X,X
ILZSTJO,X,X,O,X,X,O,X,X
ILZSTOJ,O,X,O,X,X,O,O,X
ILZSJTO,O,X,X,X,X,O,X,X
ILZSJOT,O,X,O,X,X,O,X,X
ILZSOTJ,O,X,O,X,X,O,X,X
ILZSOJT,O,X,O,X,X,O,X,X
ILZOTJS,O,X,X,X,X,O,X,X
ILZOTSJ,O,X,X,X,X,O,X,X
ILZOJTS,O,X,X,X,X,O,X,X
ILZOJST,O,X,X,X,X,O,X,X
ILZOSTJ,O,X,O,X,X,O,X,X
ILZOSJT,O,X,O,X,X,O,X,X
ILOTJSZ,O,X,O,O,X,X,X,X
ILOTJZS,O,X,X,X,X,X,X,X
ILOTSJZ,O,X,O,O,X,X,X,X
ILOTSZJ,O,X,O,O,X,O,X,X
ILOTZJS,O,X,X,X,X,O,X,X
ILOTZSJ,O,X,X,X,X,O,X,X
ILOJTSZ,O,X,O,X,X,X,X,X
ILOJTZS,O,X,X,X,X,X,X,X
ILOJSTZ,O,X,O,X,X,X,X,X
ILOJSZT,O,X,O,X,X,O,X,X
ILOJZTS,O,X,X,X,X,O,X,X
ILOJZST,O,X,X,X,X,O,X,X
ILOSTJZ,O,X,O,O,X,X,X,X
ILOSTZJ,O,X,O,O,X,O,X,X
ILOSJTZ,O,X,O,X,X,X,X,X
ILOSJZT,O,X,O,X,X,O,X,X
ILOSZTJ,O,X,O,X,X,O,X,X
ILOSZJT,O,X,O,X,X,O,X,X
ILOZTJS,O,X,X,X,X,O,X,X
ILOZTSJ,O,X,X,X,X,O,X,X
ILOZJTS,O,X,X,X,X,O,X,X
ILOZJST,O,X,X,X,X,O,X,X
ILOZSTJ,O,X,O,X,X,O,X,X
ILOZSJT,O,X,O,X,X,O,X,X
IJTLSZO,O,O,O,X,X,X,X,O
IJTLSOZ,O,O,O,X,X,X,X,O
IJTLZSO,O,O,X,X,X,X,X,O
IJTLZOS,O,X,X,X,X,X,X,O
IJTLOSZ,O,X,O,X,X,X,X,O
IJTLOZS,O,X,X,X,X,X,X,O
IJTSLZO,O,O,O,X,X,X,X,O
IJTSLOZ,O,O,O,X,X,X,X,O
IJTSZLO,O,O,O,X,X,X,X,X
IJTSZOL,O,O,O,X,X,X,X,X
IJTSOLZ,O,O,O,X,X,X,X,X
IJTSOZL,O,X,O,X,X,X,X,X
IJTZLSO,O,O,X,X,X,X,X,O
IJTZLOS,O,X,X,X,X,X,X,O
IJTZSLO,O,O,O,X,X,X,X,X
IJTZSOL,O,O,O,X,X,X,X,X
IJTZOLS,O,X,X,X,X,X,X,X
IJTZOSL,O,O,O,X,O,X,X,X
IJTOLSZ,O,O,O,X,X,X,X,O
IJTOLZS,O,O,X,X,X,X,X,O
IJTOSLZ,O,O,O,X,X,X,X,X
IJTOSZL,O,O,O,X,X,X,X,X
IJTOZLS,O,O,X,X,X,X,X,X
IJTOZSL,O,O,O,X,O,X,X,X
IJLTSZO,O,O,O,X,X,X,X,O
IJLTSOZ,O,O,O,X,X,X,X,O
IJLTZSO,O,O,X,X,X,X,X,O
IJLTZOS,O,X,X,X,X,X,X,O
IJLTOSZ,O,X,O,X,X,X,X,O
IJLTOZS,O,X,X,X,X,X,X,O
IJLSTZO,O,O,O,X,X,X,X,X
IJLSTOZ,O,O,O,X,X,X,X,X
IJLSZTO,O,O,X,X,X,O,X,X
IJLSZOT,O,O,O,X,X,O,X,X
IJLSOTZ,O,O,O,X,X,X,X,X
IJLSOZT,O,O,O,X,X,O,X,X
IJLZTSO,O,X,X,X,X,O,X,X
IJLZTOS,O,X,X,X,X,O,X,X
IJLZSTO,O,O,X,X,X,O,X,X
IJLZSOT,O,O,X,X,X,O,X,X
IJLZOTS,O,X,X,X,X,O,X,X
IJLZOST,O,X,X,X,O,O,X,X
IJLOTSZ,O,O,O,X,X,X,X,X
IJLOTZS,O,O,X,X,X,X,X,X
IJLOSTZ,O,O,O,X,X,X,X,X
IJLOSZT,O,O,O,X,X,O,X,X
IJLOZTS,O,X,X,X,X,O,X,X
IJLOZST,O,O,X,X,O,O,X,X
IJSTLZO,O,O,O,O,X,X,X,O
IJSTLOZ,O,O,O,O,X,X,X,O
IJSTZLO,O,O,O,O,X,X,X,X
IJSTZOL,O,O,O,X,X,X,X,X
IJSTOLZ,O,O,O,O,X,X,X,X
IJSTOZL,O,X,O,X,X,X,X,X
IJSLTZO,O,O,O,X,X,X,X,X
IJSLTOZ,O,O,O,X,X,X,X,X
IJSLZTO,O,O,X,X,X,O,X,X
IJSLZOT,O,O,O,X,X,O,X,X
IJSLOTZ,O,O,O,X,X,X,X,X
IJSLOZT,O,O,O,X,X,O,X,X
IJSZTLO,O,X,X,X,X,X,X,X
IJSZTOL,O,X,X,X,X,X,X,X
IJSZLTO,O,O,X,X,X,X,X,X
IJSZLOT,O,O,O,X,X,X,X,X
IJSZOTL,O,X,X,X,O,X,X,X
IJSZOLT,O,X,O,X,O,X,X,X
IJSOTLZ,O,O,O,O,X,X,X,X
IJSOTZL,O,O,O,X,X,X,X,X
IJSOLTZ,O,O,O,X,X,X,X,X
IJSOLZT,O,O,O,X,X,O,X,X
IJSOZTL,O,O,X,X,O,X,X,X
IJSOZLT,O,O,O,X,O,X,X,X
IJZTLSO,O,O,X,X,X,X,X,O
IJZTLOS,O,X,X,X,X,X,X,O
IJZTSLO,O,O,O,X,X,X,X,X
IJZTSOL,O,O,O,X,X,X,X,X
IJZTOLS,O,X,X,X,X,X,X,X
IJZTOSL,O,O,O,X,O,X,X,X
IJZLTSO,O,X,X,X,X,X,X,X
IJZLTOS,O,X,X,X,X,X,X,X
IJZLSTO,O,O,X,X,X,X,X,X
IJZLSOT,O,O,X,X,X,X,X,X
IJZLOTS,O,X,X,X,X,X,X,X
IJZLOST,O,X,X,X,O,X,X,X
IJZSTLO,O,X,X,X,X,X,X,X
IJZSTOL,O,X,X,X,X,X,X,X
IJZSLTO,O,O,X,X,X,X,X,X
IJZSLOT,O,O,O,X,X,X,X,X
IJZSOTL,O,X,X,X,O,X,X,X
IJZSOLT,O,X,O,X,O,X,X,X
IJZOTLS,O,O,X,X,X,X,X,X
IJZOTSL,O,O,O,X,O,X,X,X
IJZOLTS,O,X,X,X,X,X,X,X
IJZOLST,O,O,X,X,O,X,X,X
IJZOSTL,O,O,X,X,O,X,X,X
IJZOSLT,O,O,O,X,O,X,X,X
IJOTLSZ,O,O,O,X,X,X,X,O
IJOTLZS,O,O,X,X,X,X,X,O
IJOTSLZ,O,O,O,X,X,X,X,X
IJOTSZL,O,O,O,X,X,X,X,X
IJOTZLS,O,O,X,X,X,X,X,X
IJOTZSL,O,O,O,X,O,X,X,X
IJOLTSZ,O,O,O,X,X,X,X,X
IJOLTZS,O,O,X,X,X,X,X,X
IJOLSTZ,O,O,O,X,X,X,X,X
IJOLSZT,O,O,O,X,X,O,X,X
IJOLZTS,O,X,X,X,X,O,X,X
IJOLZST,O,O,X,X,O,O,X,X
IJOSTLZ,O,O,O,O,X,X,X,X
IJOSTZL,O,O,O,X,X,X,X,X
IJOSLTZ,O,O,O,X,X,X,X,X
IJOSLZT,O,O,O,X,X,O,X,X
IJOSZTL,O,O,X,X,O,X,X,X
IJOSZLT,O,O,O,X,O,X,X,X
IJOZTLS,O,O,X,X,X,X,X,X
IJOZTSL,O,O,O,X,O,X,X,X
IJOZLTS,O,X,X,X,X,X,X,X
IJOZLST,O,O,X,X,O,X,X,X
IJOZSTL,O,O,X,X,O,X,X,X
IJOZSLT,O,O,O,X,O,X,X,X
ISTLJZO,O,O,O,O,X,X,X,X
ISTLJOZ,O,O,O,O,X,X,X,X
ISTLZJO,O,O,O,O,X,O,X,X
ISTLZOJ,O,O,O,O,X,O,O,X
ISTLOJZ,O,O,O,O,X,X,X,X
ISTLOZJ,O,X,O,O,X,O,X,X
ISTJLZO,O,O,O,O,X,X,X,X
ISTJLOZ,O,O,O,O,X,X,X,X
ISTJZLO,O,O,O,O,X,X,X,X
ISTJZOL,O,O,O,X,X,X,X,X
ISTJOLZ,O,O,O,O,X,X,X,X
ISTJOZL,O,X,O,X,X,X,X,X
ISTZLJO,O,O,O,O,X,X,X,X
ISTZLOJ,O,O,O,O,X,X,O,X
ISTZJLO,O,O,O,O,X,X,X,X
ISTZJOL,O,O,O,X,X,X,X,X
ISTZOLJ,O,O,O,O,X,X,O,X
ISTZOJL,O,O,O,X,X,X,O,X
ISTOLJZ,O,O,O,O,X,X,X,X
ISTOLZJ,O,X,O,O,X,O,X,X
ISTOJLZ,O,O,O,O,X,X,X,X
ISTOJZL,O,O,O,X,X,X,X,X
ISTOZLJ,O,O,O,O,X,X,O,X
ISTOZJL,O,O,O,X,X,X,O,X
ISLTJZO,O,O,O,O,X,X,X,X
ISLTJOZ,O,O,O,O,X,X,X,X
ISLTZJO,O,O,O,O,X,O,X,X
