sequence,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF3gBcmB6nBT?jBdsBWwB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeOCJvhF6jB9lBziBx?rB0rBXrB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeOCJvhF6jB9lBziBx?rBXrB0rB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF9lB2mBTjBc?sBXrBCsB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF9lBymB+nBT?jBXrB0rB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF9lBymB+nBT?jB0rBXrB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF9lB6nBTjBm?mBXrB0rB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF9lB6nBTjBm?mB0rBXrB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF3gBumB9nBT?jB8qBywB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF9lBOmBXiBT?jBcsBSwB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeKCJvhFzdB+jB9lBx?rBXrB0rB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeX9IvhF6jBziBxlBN?sBUmBWwB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeKCJvhFzdB+jB9lBx?rB0rBXrB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhFUhB9nBTjB6?qBmrB3rB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF3hB9nBTjB6?qBmrBUrB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhFihB9nBTjB0?lBfsBWwB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF3gBtmB+nBT?jB8qBywB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeT+IvhF9lBxhBOnBC?oB0rBXrB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeT+IvhF9lBxhBOnBC?oBXrB0rB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF3gB9nBTjB8?qB+rBasB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jez9IvhF+jB9lBxmBK?nBXrB0rB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JedCJvhFfjB6jBxlBc?sBGrBzqB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jez9IvhF+jB9lBxmBK?nB0rBXrB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Je6DJvhF3gBRiB0iBT?mBNsBWwB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeT+IvhF3gBcmBxnB6?nBdsBWwB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Je09IvhF6jB9lBmhBT?mB3nBRwB
ISZJTOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ISZJLTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ISZJLOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZJOTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ISZJOLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ISZOTLJ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOTJL,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ISZOLTJ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISZOLJT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ISZOJTL,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ISZOJLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ISOTLJZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISOTLZJ,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
ISOTJLZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISOTJZL,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O
ISOTZLJ,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
ISOTZJL,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
ISOLTJZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISOLTZJ,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
ISOLJTZ,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLJZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOLZTJ,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
ISOLZJT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ISOJTLZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJTZL,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ISOJLTZ,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJLZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOJZTL,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
ISOJZLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ISOZTLJ,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ISOZTJL,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
ISOZLTJ,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
ISOZLJT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ISOZJTL,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
ISOZJLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZTLJSO,X,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IZTLJOS,X,O,X,X,X,O,X,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
IZTLSJO,X,O,X,X,X,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O
IZTLSOJ,X,O,O,X,X,X,X,O,O,O,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,O
IZTLOJS,X,O,O,X,X,O,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O
IZTLOSJ,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O
IZTJLSO,X,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IZTJLOS,X,O,X,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IZTJSLO,X,O,X,X,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X
IZTJSOL,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTJOLS,X,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IZTJOSL,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTSLJO,X,O,X,X,X,X,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O
IZTSLOJ,X,O,O,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O
IZTSJLO,X,O,X,X,X,X,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X,O,O,X,X,O
IZTSJOL,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IZTSOLJ,X,O,O,O,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O
IZTSOJL,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTOLJS,X,O,O,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZTOLSJ,X,O,X,O,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IZTOJLS,X,O,O,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O
IZTOJSL,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IZTOSLJ,X,O,X,O,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O
IZTOSJL,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IZLTJSO,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTJOS,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLTSJO,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
IZLTSOJ,X,O,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,O
IZLTOJS,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IZLTOSJ,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IZLJTSO,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJTOS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJSTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLJSOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJOTS,X,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJOST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSTJO,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IZLSTOJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IZLSJTO,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IZLSJOT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSOTJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IZLSOJT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOTJS,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLOTSJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLOJTS,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOJST,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSTJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLOSJT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTLSO,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,O,O,X,X,X
IZJTLOS,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X
IZJTSLO,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,O,X,X,O,X,O,O,X,X,X
IZJTSOL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X
IZJTOLS,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X,X
IZJTOSL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X
IZJLTSO,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IZJLTOS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJLSTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJLSOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJLOTS,X,O,O,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJLOST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJSTLO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IZJSTOL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IZJSLTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJSLOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJSOTL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJSOLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJOTLS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZJOTSL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
IZJOLTS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZJOLST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZJOSTL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZJOSLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZSTLJO,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
IZSTLOJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
IZSTJLO,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
IZSTJOL,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IZSTOLJ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
IZSTOJL,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZSLTJO,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IZSLTOJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IZSLJTO,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IZSLJOT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IZSLOJT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJTLO,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJTOL,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJLTO,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZSJLOT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOTL,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOLT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOTLJ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZSOTJL,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZSOLTJ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IZSOLJT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJTL,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZSOJLT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTLJS,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTLSJ,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOTJLS,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOTJSL,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
IZOTSLJ,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZOTSJL,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
IZOLTJS,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLTSJ,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOLJTS,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOLJST,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOLSTJ,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOLSJT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOJTLS,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOJTSL,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
IZOJLTS,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOJLST,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOJSTL,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
IZOJSLT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOSTLJ,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOSTJL,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
IZOSLTJ,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOSLJT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOSJTL,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
IZOSJLT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IOTLJSZ,O,O,O,X,O,O,O,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
IOTLJZS,O,O,O,X,O,O,X,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O
IOTLSJZ,O,O,O,X,O,X,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
IOTLSZJ,O,X,O,O,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O
IOTLZJS,O,O,O,X,X,O,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O
IOTLZSJ,O,O,X,O,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O
IOTJLSZ,O,O,O,X,O,O,O,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
IOTJLZS,O,O,O,X,O,O,X,O,O,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,O
IOTJSLZ,O,O,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOTJSZL,O,X,X,O,O,O,O,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,O
IOTJZLS,O,O,O,X,O,O,X,O,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O
IOTJZSL,O,X,X,O,O,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,O
IOTSLJZ,O,O,O,X,O,X,O,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
IOTSLZJ,O,X,O,O,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O
IOTSJLZ,O,O,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOTSJZL,O,X,O,O,O,O,O,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,O
IOTSZLJ,O,X,O,O,X,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IOTSZJL,O,X,O,O,O,O,O,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,O
IOTZLJS,O,O,O,X,X,O,X,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O
IOTZLSJ,O,O,X,O,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O
IOTZJLS,O,O,O,X,O,O,X,O,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O
IOTZJSL,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,O
IOTZSLJ,O,O,X,O,X,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IOTZSJL,O,O,X,O,O,O,O,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,O
IOLTJSZ,O,O,O,X,O,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O
IOLTJZS,O,O,O,X,O,O,X,O,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O
IOLTSJZ,O,O,O,X,O,X,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
IOLTSZJ,O,X,O,O,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O
IOLTZJS,O,O,O,X,X,O,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O
IOLTZSJ,O,O,X,O,X,X,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O
IOLJTSZ,O,O,O,X,O,O,O,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IOLJTZS,O,O,O,X,O,O,X,O,O,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X
IOLJSTZ,O,O,O,X,O,X,O,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IOLJSZT,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLJZTS,O,O,O,X,X,O,X,O,O,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X
IOLJZST,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IOLSTJZ,O,X,X,X,O,X,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
IOLSTZJ,O,X,X,O,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O
IOLSJTZ,O,O,O,X,O,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOLSJZT,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLSZTJ,X,X,X,O,X,X,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O
IOLSZJT,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IOLZTJS,O,X,X,X,X,O,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOLZTSJ,O,X,X,O,X,X,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOLZJTS,O,O,O,X,X,O,X,O,O,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X
IOLZJST,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IOLZSTJ,X,X,X,O,X,X,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLZSJT,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IOJTLSZ,O,O,O,X,O,O,O,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IOJTLZS,O,O,O,X,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X
IOJTSLZ,O,X,X,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTSZL,O,X,X,O,O,O,O,X,O,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
IOJTZLS,O,X,X,X,O,O,X,O,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
