sequence,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF3cBSjB8mBziB+t?BlsB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF3cBciBTeBWsBFo?BSyB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhFUdBGeB6mB/oBTn?BVyB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF8iB+jBlhB/sBCn?BTtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhFUdBGeB6mBVoB/s?BTtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF3cBFeBTiBcoBWs?BSyB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhFFdBXeB0hBSoBGs?BTtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF3cBliBzmBCtBct?BGtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhFGdBlhB6oBXnB8s?BTtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhFXeBSoBUnBlmBTt?BGsB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF3cBliBzmBGtBct?BCtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhFlhBcnBTjBCnBGt?BXtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF+jBlhB3iBzmBCt?BUtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF3cB+jBliBzmBCt?BUtB
IZLJSTO,O,O,X,X,O,O,O,X,O,X,X,X,O,X
IZLJSOT,O,O,X,X,O,O,O,X,X,X,X,X,X,X
IZLJOTS,X,O,O,X,X,O,O,X,X,X,X,O,X,O
IZLJOST,O,O,X,X,X,O,O,X,X,X,X,X,X,O
IZLSTJO,X,X,O,X,O,O,X,X,O,X,X,X,X,X
IZLSTOJ,X,X,O,X,O,O,X,X,O,X,X,X,X,X
IZLSJTO,O,O,X,X,O,O,X,X,O,X,X,X,X,X
IZLSJOT,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IZLSOTJ,X,X,O,X,O,O,X,X,O,X,X,X,X,X
IZLSOJT,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZLOTJS,X,X,O,X,X,O,O,O,X,O,X,X,X,X
IZLOTSJ,X,X,O,X,O,O,O,O,X,O,X,X,X,X
IZLOJTS,X,X,O,X,X,O,O,O,X,O,X,X,X,X
IZLOJST,X,X,X,X,X,O,O,O,X,O,X,X,X,X
IZLOSTJ,X,X,O,X,O,O,O,O,O,O,X,X,X,X
IZLOSJT,X,X,X,X,O,O,O,O,X,O,X,X,X,X
IZJTLSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZJTLOS,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IZJTSLO,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZJTSOL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IZJTOLS,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IZJTOSL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IZJLTSO,O,O,X,X,X,O,O,X,X,X,X,X,X,X
IZJLTOS,O,O,X,X,X,O,O,X,X,X,X,O,X,X
IZJLSTO,O,O,X,X,X,O,O,X,O,X,X,X,X,X
IZJLSOT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
IZJLOTS,X,O,X,X,X,O,O,X,X,X,X,O,X,X
IZJLOST,O,O,X,X,X,O,O,X,X,X,X,X,X,X
IZJSTLO,O,O,X,X,X,X,O,X,O,X,X,X,X,X
IZJSTOL,O,O,X,X,X,X,O,X,O,X,X,O,X,X
IZJSLTO,O,O,X,X,X,O,O,X,O,X,X,X,X,X
IZJSLOT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
IZJSOTL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
IZJSOLT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
IZJOTLS,O,O,X,X,X,X,O,X,X,X,O,O,X,X
IZJOTSL,O,O,X,X,X,X,O,X,X,X,O,O,X,X
IZJOLTS,X,O,X,X,X,O,O,X,X,O,O,O,X,X
IZJOLST,O,O,X,X,X,O,O,X,X,O,O,X,X,X
IZJOSTL,O,O,X,X,X,X,O,X,X,X,O,O,X,X
IZJOSLT,O,O,X,X,X,O,O,X,X,X,O,X,X,X
IZSTLJO,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IZSTLOJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSTJLO,O,X,X,X,O,X,O,X,O,X,X,X,X,X
IZSTJOL,O,X,X,X,O,X,O,X,O,X,X,O,X,X
IZSTOLJ,X,X,X,X,O,X,O,X,O,X,X,X,X,X
IZSTOJL,X,X,X,O,O,X,O,X,O,X,X,X,X,X
IZSLTJO,X,X,X,X,O,O,X,X,O,X,X,X,X,X
IZSLTOJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZSLJTO,O,O,X,X,X,O,X,X,O,X,X,X,X,X
IZSLJOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSLOTJ,X,X,X,X,O,O,X,X,O,X,X,X,X,X
IZSLOJT,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSJTLO,O,O,X,X,O,X,O,X,O,X,X,X,X,X
IZSJTOL,O,O,X,X,O,X,O,X,O,X,X,O,X,X
IZSJLTO,O,O,X,X,X,O,O,X,O,X,X,X,X,X
IZSJLOT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
IZSJOTL,O,O,X,X,O,X,O,X,X,X,X,O,X,X
IZSJOLT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
IZSOTLJ,X,X,X,X,O,X,O,X,O,X,X,X,X,X
IZSOTJL,X,X,X,O,O,X,O,X,O,X,X,X,X,X
IZSOLTJ,X,X,X,X,O,X,O,O,O,O,X,X,X,X
IZSOLJT,X,X,X,X,X,X,O,O,X,O,X,X,X,X
IZSOJTL,O,X,X,O,O,X,O,X,X,X,O,X,X,X
IZSOJLT,O,X,X,O,X,X,O,X,X,X,O,X,X,X
IZOTLJS,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IZOTLSJ,X,X,O,X,O,X,O,X,X,O,X,X,X,X
IZOTJLS,X,X,X,O,X,X,O,X,X,X,X,O,X,X
IZOTJSL,X,X,O,O,X,X,O,X,X,X,X,O,X,X
IZOTSLJ,X,X,O,X,O,X,O,X,X,X,X,X,X,X
IZOTSJL,X,X,O,O,O,X,O,X,X,X,X,X,X,X
IZOLTJS,X,X,X,X,X,X,O,O,X,O,X,X,X,X
IZOLTSJ,X,X,O,X,O,X,O,O,X,O,X,X,X,X
IZOLJTS,X,X,X,X,X,X,O,O,X,O,X,X,X,X
IZOLJST,X,X,X,X,X,X,O,O,X,O,X,X,X,X
IZOLSTJ,X,X,X,X,O,X,O,O,O,O,X,X,X,X
IZOLSJT,X,X,X,X,O,X,O,O,X,O,X,X,X,X
IZOJTLS,O,X,X,O,X,X,O,X,X,X,O,O,X,X
IZOJTSL,O,X,O,O,X,X,O,X,X,X,O,O,X,X
IZOJLTS,X,X,X,O,X,X,O,X,X,O,O,O,X,X
IZOJLST,O,X,X,X,X,X,O,X,X,O,O,X,X,X
IZOJSTL,O,X,X,O,X,X,O,X,X,X,O,O,X,X
IZOJSLT,O,X,X,O,X,X,O,X,X,X,O,X,X,X
IZOSTLJ,X,X,O,X,O,X,O,X,O,X,X,X,X,X
IZOSTJL,X,X,O,O,O,X,O,X,O,X,X,X,X,X
IZOSLTJ,X,X,X,X,O,X,O,O,O,O,X,X,X,X
IZOSLJT,X,X,X,X,X,X,O,O,X,O,X,X,X,X
IZOSJTL,O,X,X,O,O,X,O,X,X,X,O,X,X,X
IZOSJLT,O,X,X,O,X,X,O,X,X,X,O,X,X,X
IOTLJSZ,X,X,O,X,O,X,O,X,X,X,X,X,O,X
IOTLJZS,X,X,O,O,X,X,O,X,X,X,X,X,X,X
IOTLSJZ,X,X,O,O,O,X,O,X,X,X,X,X,X,X
IOTLSZJ,X,X,O,X,O,X,O,O,X,O,X,X,X,X
IOTLZJS,X,X,O,X,X,X,O,O,X,O,X,X,X,X
IOTLZSJ,X,X,O,X,O,X,O,O,X,O,X,X,X,X
IOTJLSZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOTJLZS,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IOTJSLZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IOTJSZL,X,X,O,O,O,X,X,X,O,X,O,X,X,X
IOTJZLS,X,X,X,O,X,X,O,X,X,X,O,X,X,X
IOTJZSL,X,X,O,O,X,X,O,X,X,X,O,X,X,X
IOTSLJZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IOTSLZJ,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IOTSJLZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IOTSJZL,X,X,O,O,O,X,X,X,O,X,O,X,X,X
IOTSZLJ,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOTSZJL,X,X,O,O,O,X,X,X,O,X,X,X,X,X
IOTZLJS,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IOTZLSJ,X,X,O,X,O,X,O,X,X,O,X,X,X,X
IOTZJLS,X,X,X,O,X,X,O,X,X,X,X,O,X,X
IOTZJSL,X,X,O,O,X,X,O,X,X,X,X,O,X,X
IOTZSLJ,X,X,O,X,O,X,O,X,X,X,X,X,X,X
IOTZSJL,X,X,O,O,O,X,O,X,X,X,X,X,X,X
IOLTJSZ,X,O,O,X,O,X,O,X,X,X,X,X,O,X
IOLTJZS,X,O,O,O,X,X,O,X,X,X,X,X,X,X
IOLTSJZ,X,O,O,O,O,X,O,X,X,X,X,X,X,X
IOLTSZJ,X,O,O,X,O,X,O,O,X,O,X,X,X,X
IOLTZJS,X,O,O,X,X,X,O,O,X,O,X,X,X,X
IOLTZSJ,X,O,O,X,O,X,O,O,X,O,X,X,X,X
IOLJTSZ,X,O,O,X,O,O,O,X,X,X,X,X,O,O
IOLJTZS,X,O,O,O,X,O,O,X,X,X,X,X,X,O
IOLJSTZ,X,X,X,O,O,O,O,X,X,X,X,X,O,O
IOLJSZT,X,O,X,O,O,O,O,O,X,O,O,X,X,O
IOLJZTS,X,O,O,O,X,O,O,O,X,O,O,X,X,O
IOLJZST,X,O,X,X,X,O,O,O,X,O,O,X,X,O
IOLSTJZ,X,X,O,O,O,X,O,X,X,X,X,X,X,X
IOLSTZJ,X,X,O,X,O,X,O,O,X,O,X,X,X,X
IOLSJTZ,X,X,X,O,O,O,O,X,X,X,X,X,X,X
IOLSJZT,X,O,X,O,O,O,O,O,X,O,O,X,X,X
IOLSZTJ,X,X,O,X,O,O,O,O,X,O,X,X,X,X
IOLSZJT,X,X,X,X,O,O,O,O,X,O,X,X,X,X
IOLZTJS,X,X,O,X,X,O,O,O,X,O,X,X,X,X
IOLZTSJ,X,X,O,X,O,O,O,O,X,O,X,X,X,X
IOLZJTS,X,X,O,X,X,O,O,O,X,O,X,X,X,X
IOLZJST,X,X,X,X,X,O,O,O,X,O,X,X,X,X
IOLZSTJ,X,X,O,X,O,O,O,O,X,O,X,X,X,X
IOLZSJT,X,X,X,X,O,O,O,O,X,O,X,X,X,X
IOJTLSZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
IOJTLZS,O,O,X,O,X,O,O,X,X,X,X,X,X,X
IOJTSLZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X
IOJTSZL,X,O,O,O,O,X,X,X,X,X,O,X,X,X
IOJTZLS,O,O,X,O,X,X,O,X,X,X,O,O,X,X
IOJTZSL,O,O,O,O,X,X,O,X,X,X,O,O,X,X
IOJLTSZ,X,O,X,X,O,O,O,X,X,X,X,X,X,X
IOJLTZS,O,O,X,O,X,O,O,X,X,X,X,X,X,X
IOJLSTZ,X,X,X,O,O,O,O,X,X,X,X,X,X,X
IOJLSZT,X,O,X,O,O,O,O,O,X,O,O,X,X,X
IOJLZTS,X,O,X,O,X,O,O,O,X,O,O,O,X,X
IOJLZST,O,O,X,X,X,O,O,O,X,O,O,X,X,X
IOJSTLZ,X,X,X,O,O,O,X,X,X,X,X,X,X,X
IOJSTZL,X,X,X,O,O,X,X,X,X,X,O,X,X,X
IOJSLTZ,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOJSLZT,X,O,X,O,X,O,O,O,X,X,O,X,X,X
IOJSZTL,O,O,X,O,O,X,O,X,X,X,O,O,X,X
IOJSZLT,O,O,X,O,X,O,O,X,X,X,O,X,X,X
IOJZTLS,O,O,X,O,X,X,O,X,X,X,O,O,X,X
IOJZTSL,O,O,O,O,X,X,O,X,X,X,O,O,X,X
IOJZLTS,X,O,X,O,X,O,O,X,X,O,O,O,X,X
IOJZLST,O,O,X,X,X,O,O,X,X,O,O,X,X,X
IOJZSTL,O,O,X,O,X,X,O,X,X,X,O,O,X,X
IOJZSLT,O,O,X,O,X,O,O,X,X,X,O,X,X,X
IOSTLJZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IOSTLZJ,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IOSTJLZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X
IOSTJZL,X,X,O,O,O,X,X,X,O,X,O,X,X,X
IOSTZLJ,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOSTZJL,X,X,O,O,O,X,X,X,O,X,X,X,X,X
IOSLTJZ,X,X,X,O,O,X,O,X,X,X,X,X,X,X
IOSLTZJ,X,X,X,X,O,X,O,O,X,O,X,X,X,X
IOSLJTZ,X,X,X,O,O,O,O,X,X,X,X,X,X,X
IOSLJZT,X,O,X,O,O,O,O,O,X,O,O,X,X,X
IOSLZTJ,X,X,X,X,O,O,O,O,X,O,X,X,X,X
IOSLZJT,X,X,X,X,O,O,O,O,X,O,X,X,X,X
IOSJTLZ,X,X,X,O,O,O,X,X,X,X,X,X,X,X
IOSJTZL,X,X,X,O,O,X,X,X,X,X,O,X,X,X
IOSJLTZ,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOSJLZT,X,O,X,O,X,O,O,O,X,X,O,X,X,X
IOSJZTL,O,O,X,O,O,X,O,X,X,X,O,X,X,X
IOSJZLT,O,O,X,O,X,O,O,X,X,X,O,X,X,X
IOSZTLJ,X,X,O,X,O,X,O,X,O,X,X,X,X,X
IOSZTJL,X,X,O,O,O,X,O,X,O,X,X,X,X,X
IOSZLTJ,X,X,X,X,O,X,O,O,O,O,X,X,X,X
IOSZLJT,X,X,X,X,X,X,O,O,X,O,X,X,X,X
IOSZJTL,O,X,X,O,O,X,O,X,X,X,O,X,X,X
IOSZJLT,O,X,X,O,X,X,O,X,X,X,O,X,X,X
IOZTLJS,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IOZTLSJ,X,X,O,X,O,X,O,X,X,O,X,X,X,X
IOZTJLS,X,X,X,O,X,X,O,X,X,X,X,O,X,X
IOZTJSL,X,X,O,O,X,X,O,X,X,X,X,O,X,X
IOZTSLJ,X,X,O,X,O,X,O,X,X,X,X,X,X,X
IOZTSJL,X,X,O,O,O,X,O,X,X,X,X,X,X,X
IOZLTJS,X,X,X,X,X,X,O,O,X,O,X,X,X,X
IOZLTSJ,X,X,O,X,O,X,O,O,X,O,X,X,X,X
IOZLJTS,X,X,X,X,X,X,O,O,X,O,X,X,X,X
IOZLJST,X,X,X,X,X,X,O,O,X,O,X,X,X,X
IOZLSTJ,X,X,X,X,O,X,O,O,O,O,X,X,X,X
IOZLSJT,X,X,X,X,O,X,O,O,X,O,X,X,X,X
IOZJTLS,O,X,X,O,X,X,O,X,X,X,O,O,X,X
IOZJTSL,O,X,O,O,X,X,O,X,X,X,O,O,X,X
IOZJLTS,X,X,X,O,X,X,O,X,X,O,O,O,X,X
IOZJLST,O,X,X,X,X,X,O,X,X,O,O,X,X,X
IOZJSTL,O,X,X,O,X,X,O,X,X,X,O,O,X,X
IOZJSLT,O,X,X,O,X,X,O,X,X,X,O,X,X,X
IOZSTLJ,X,X,O,X,O,X,O,X,O,X,X,X,X,X
IOZSTJL,X,X,O,O,O,X,O,X,O,X,X,X,X,X
IOZSLTJ,X,X,X,X,O,X,O,O,O,O,X,X,X,X
IOZSLJT,X,X,X,X,X,X,O,O,X,O,X,X,X,X
IOZSJTL,O,X,X,O,O,X,O,X,X,X,O,X,X,X
IOZSJLT,O,X,X,O,X,X,O,X,X,X,O,X,X,X
LTIJSZO,X,O,O,X,X,O,X,X,O,X,X,X,O,X
LTIJSOZ,X,O,O,X,X,O,X,X,X,X,X,X,O,X
LTIJZSO,X,O,O,X,X,O,X,X,X,X,X,X,O,X
LTIJZOS,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTIJOSZ,X,O,O,X,X,O,X,X,X,X,X,X,O,O
LTIJOZS,X,O,O,X,X,O,X,X,X,X,X,X,X,O
LTISJZO,X,O,O,X,O,O,X,X,O,X,X,X,O,X
LTISJOZ,X,O,O,X,O,O,X,X,X,X,X,X,O,X
LTISZJO,X,O,O,X,O,O,X,X,O,X,X,X,X,X
LTISZOJ,X,O,O,X,O,O,X,X,O,X,X,X,X,X
LTISOJZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTISOZJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LTIZJSO,X,O,O,X,X,O,X,X,X,X,X,X,O,X
LTIZJOS,X,O,X,X,X,O,X,X,X,X,X,O,X,X
LTIZSJO,X,O,O,X,O,O,X,X,X,X,X,X,X,X
LTIZSOJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
LTIZOJS,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTIZOSJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTIOJSZ,X,O,O,X,O,X,X,X,X,X,X,X,O,X
LTIOJZS,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTIOSJZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTIOSZJ,X,O,O,X,O,X,X,O,X,X,X,X,X,X
LTIOZJS,X,O,O,X,X,X,X,O,X,X,X,X,X,X
LTIOZSJ,X,O,O,X,O,X,X,O,X,X,X,X,X,X
LTJISZO,X,O,O,X,X,O,X,X,O,X,X,X,O,X
LTJISOZ,X,O,O,X,X,O,X,X,X,X,X,X,O,X
LTJIZSO,X,O,O,X,X,O,X,X,X,X,X,X,O,X
LTJIZOS,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTJIOSZ,X,O,O,X,X,O,X,X,X,X,X,X,O,O
LTJIOZS,X,O,O,X,X,O,X,X,X,X,X,X,X,O
LTJSIZO,X,O,O,X,X,O,X,X,O,X,X,X,O,X
LTJSIOZ,X,O,O,X,X,O,X,X,X,X,X,X,O,X
LTJSZIO,X,O,O,X,X,O,X,X,O,X,X,X,O,X
LTJSZOI,X,O,O,X,X,O,X,X,O,X,X,X,O,X
LTJSOIZ,X,O,O,X,X,O,X,X,X,X,X,X,O,X
LTJSOZI,X,O,O,X,X,O,X,X,X,X,X,X,O,X
LTJZISO,X,O,O,X,X,O,X,X,X,X,X,X,O,X
LTJZIOS,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTJZSIO,X,O,O,X,X,O,X,X,X,X,X,X,O,X
LTJZSOI,X,O,O,X,X,O,X,X,X,X,X,X,O,X
LTJZOIS,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTJZOSI,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTJOISZ,X,O,O,X,X,O,X,X,X,X,X,X,O,O
LTJOIZS,X,O,O,X,X,O,X,X,X,X,X,X,X,O
LTJOSIZ,X,O,O,X,X,O,X,X,X,X,X,X,O,O
LTJOSZI,X,O,O,X,X,O,X,X,X,X,X,X,O,O
LTJOZIS,X,O,O,X,X,O,X,X,X,X,X,X,X,O
LTJOZSI,X,O,O,X,X,O,X,X,X,X,X,X,X,O
LTSIJZO,X,O,O,X,O,O,X,X,O,X,X,X,O,X
LTSIJOZ,X,O,O,X,O,O,X,X,X,X,X,X,O,X
LTSIZJO,X,O,O,X,O,O,X,X,O,X,X,X,X,X
LTSIZOJ,X,O,O,X,O,O,X,X,O,X,X,X,X,X
LTSIOJZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTSIOZJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LTSJIZO,X,O,O,X,O,O,X,X,O,X,X,X,O,X
LTSJIOZ,X,O,O,X,O,O,X,X,X,X,X,X,O,X
LTSJZIO,X,O,O,X,O,O,X,X,O,X,X,X,O,X
LTSJZOI,X,O,O,X,O,O,X,X,O,X,X,X,O,X
LTSJOIZ,X,O,O,X,O,O,X,X,X,X,X,X,O,X
LTSJOZI,X,O,O,X,O,O,X,X,X,X,X,X,O,X
LTSZIJO,X,O,O,X,O,O,X,X,O,X,X,X,X,X
LTSZIOJ,X,O,O,X,O,O,X,X,O,X,X,X,X,X
LTSZJIO,X,O,O,X,O,O,X,X,O,X,X,X,X,X
LTSZJOI,X,O,O,X,O,O,X,X,O,X,X,X,X,X
LTSZOIJ,X,O,O,X,O,O,X,X,O,X,X,X,X,X
LTSZOJI,X,O,O,X,O,X,X,X,O,X,X,X,X,X
LTSOIJZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTSOIZJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LTSOJIZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTSOJZI,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTSOZIJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LTSOZJI,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LTZIJSO,X,O,O,X,X,O,X,X,X,X,X,X,O,X
LTZIJOS,X,O,X,X,X,O,X,X,X,X,X,O,X,X
LTZISJO,X,O,O,X,O,O,X,X,X,X,X,X,X,X
LTZISOJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
LTZIOJS,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTZIOSJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTZJISO,X,O,O,X,X,O,X,X,X,X,X,X,O,X
LTZJIOS,X,O,X,X,X,O,X,X,X,X,X,O,X,X
LTZJSIO,X,O,O,X,X,O,X,X,X,X,X,X,O,X
LTZJSOI,X,O,O,X,X,O,X,X,X,X,X,X,O,X
LTZJOIS,X,O,X,X,X,O,X,X,X,X,X,O,X,X
LTZJOSI,X,O,X,X,X,O,X,X,X,X,X,O,X,X
LTZSIJO,X,O,O,X,O,O,X,X,X,X,X,X,X,X
LTZSIOJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
LTZSJIO,X,O,O,X,O,O,X,X,X,X,X,X,X,X
LTZSJOI,X,O,O,X,O,O,X,X,X,X,X,X,X,X
LTZSOIJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
LTZSOJI,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LTZOIJS,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTZOISJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTZOJIS,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTZOJSI,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTZOSIJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTZOSJI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTOIJSZ,X,O,O,X,O,X,X,X,X,X,X,X,O,X
LTOIJZS,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTOISJZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTOISZJ,X,O,O,X,O,X,X,O,X,X,X,X,X,X
LTOIZJS,X,O,O,X,X,X,X,O,X,X,X,X,X,X
LTOIZSJ,X,O,O,X,O,X,X,O,X,X,X,X,X,X
LTOJISZ,X,O,O,X,O,X,X,X,X,X,X,X,O,X
LTOJIZS,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTOJSIZ,X,O,O,X,O,X,X,X,X,X,X,X,O,X
LTOJSZI,X,O,O,X,O,X,X,X,X,X,X,X,O,X
LTOJZIS,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTOJZSI,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTOSIJZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTOSIZJ,X,O,O,X,O,X,X,O,X,X,X,X,X,X
LTOSJIZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTOSJZI,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTOSZIJ,X,O,O,X,O,X,X,O,X,X,X,X,X,X
LTOSZJI,X,O,O,X,O,X,X,O,X,X,X,X,X,X
LTOZIJS,X,O,O,X,X,X,X,O,X,X,X,X,X,X
LTOZISJ,X,O,O,X,O,X,X,O,X,X,X,X,X,X
LTOZJIS,X,O,O,X,X,X,X,O,X,X,X,X,X,X
LTOZJSI,X,O,O,X,X,X,X,O,X,X,X,X,X,X
LTOZSIJ,X,O,O,X,O,X,X,O,X,X,X,X,X,X
LTOZSJI,X,O,O,X,O,X,X,O,X,X,X,X,X,X
LITJSZO,X,O,O,X,X,O,X,X,O,X,X,X,O,X
LITJSOZ,X,O,O,X,X,O,X,X,X,X,X,X,O,X
LITJZSO,X,O,O,X,X,O,X,X,X,X,X,X,O,X
LITJZOS,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LITJOSZ,X,O,O,X,X,O,X,X,X,X,X,X,O,O
LITJOZS,X,O,O,X,X,O,X,X,X,X,X,X,X,O
LITSJZO,X,O,O,X,O,O,X,X,O,X,X,X,O,X
LITSJOZ,X,O,O,X,O,O,X,X,X,X,X,X,O,X
LITSZJO,X,O,O,X,O,O,X,X,O,X,X,X,X,X
LITSZOJ,X,O,O,X,O,O,X,X,O,X,X,X,X,X
LITSOJZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LITSOZJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LITZJSO,X,O,O,X,X,O,X,X,X,X,X,X,O,X
LITZJOS,X,O,X,X,X,O,X,X,X,X,X,O,X,X
LITZSJO,X,O,O,X,O,O,X,X,X,X,X,X,X,X
LITZSOJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
LITZOJS,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LITZOSJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LITOJSZ,X,O,O,X,O,X,X,X,X,X,X,X,O,X
LITOJZS,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LITOSJZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LITOSZJ,X,O,O,X,O,X,X,O,X,X,X,X,X,X
LITOZJS,X,O,O,X,X,X,X,O,X,X,X,X,X,X
LITOZSJ,X,O,O,X,O,X,X,O,X,X,X,X,X,X
LIJTSZO,O,O,O,X,X,O,O,X,X,X,X,X,O,X
LIJTSOZ,X,O,O,X,X,O,O,X,X,X,X,X,O,X
LIJTZSO,O,O,O,X,X,O,O,X,X,X,X,X,O,X
LIJTZOS,O,O,X,X,X,O,O,X,X,X,X,X,X,X
LIJTOSZ,X,O,O,X,X,O,X,X,X,X,X,X,O,O
LIJTOZS,O,O,O,X,X,O,X,X,X,X,X,X,X,O
LIJSTZO,O,O,X,X,O,O,O,X,X,X,X,X,O,X
LIJSTOZ,X,O,X,X,O,O,O,X,X,X,X,X,O,X
LIJSZTO,O,O,X,X,O,O,O,X,X,X,X,X,O,X
LIJSZOT,O,O,X,X,O,O,O,X,X,X,X,X,X,X
LIJSOTZ,X,X,X,X,O,O,O,X,X,X,X,X,O,O
LIJSOZT,X,O,X,X,O,O,O,X,X,X,X,X,X,O
LIJZTSO,O,O,O,X,X,O,O,X,X,X,X,X,O,X
LIJZTOS,O,O,X,X,X,O,O,X,X,X,X,O,X,X
LIJZSTO,O,O,X,X,O,O,O,X,X,X,X,X,O,X
