sequence,v115@2gA8IeA8HeD8BeA8DeF8AeA8AeH8JeO/IvhF8fBTcB?idB5jB3iBlpB,v115@2gA8IeA8HeD8BeA8DeF8AeA8AeH8Jei6IvhFTcBOiB?8iB5jB3fBlpB,v115@2gA8IeA8HeD8BeA8DeF8AeA8AeH8Je2/IvhFicBzdB?5jBUiB3fBlpB,v115@2gA8IeA8HeD8BeA8DeF8AeA8AeH8Jei6IvhF2hBzdB?5jB3fBUiBlpB,v115@2gA8IeA8HeD8BeA8DeF8AeA8AeH8Jei8IvhFzdB5jB?lfBUiB/pBmpB
TSJZIOL,O,O,O,O,O
TSJZLIO,O,O,O,O,O
TSJZLOI,O,O,O,O,O
TSJZOIL,O,O,O,O,O
TSJZOLI,O,O,O,O,O
TSJOILZ,O,O,X,O,X
TSJOIZL,O,O,X,O,X
TSJOLIZ,O,O,X,O,X
TSJOLZI,O,O,X,O,X
TSJOZIL,O,O,X,O,X
TSJOZLI,O,O,X,O,X
TSZILJO,O,O,O,O,O
TSZILOJ,O,O,O,O,O
TSZIJLO,O,O,O,O,O
TSZIJOL,O,O,O,O,O
TSZIOLJ,O,O,O,O,O
TSZIOJL,O,O,O,O,O
TSZLIJO,O,O,O,O,O
TSZLIOJ,O,O,O,O,O
TSZLJIO,O,O,O,O,O
TSZLJOI,O,O,O,O,O
TSZLOIJ,O,O,O,O,O
TSZLOJI,O,O,O,O,O
TSZJILO,O,O,O,O,O
TSZJIOL,O,O,O,O,O
TSZJLIO,O,O,O,O,O
TSZJLOI,O,O,O,O,O
TSZJOIL,O,O,O,O,O
TSZJOLI,O,O,O,O,O
TSZOILJ,O,O,O,O,O
TSZOIJL,O,O,O,O,O
TSZOLIJ,O,O,O,O,O
TSZOLJI,O,O,O,O,O
TSZOJIL,O,O,O,O,O
TSZOJLI,O,O,O,O,O
TSOILJZ,O,O,X,O,X
TSOILZJ,O,O,X,O,O
TSOIJLZ,O,O,X,O,X
TSOIJZL,O,O,X,O,X
TSOIZLJ,O,O,X,O,O
TSOIZJL,O,O,X,O,O
TSOLIJZ,O,O,X,O,X
TSOLIZJ,O,O,X,O,O
TSOLJIZ,O,O,X,O,X
TSOLJZI,O,O,X,O,X
TSOLZIJ,O,O,X,O,O
TSOLZJI,O,O,X,O,O
TSOJILZ,O,O,X,O,X
TSOJIZL,O,O,X,O,X
TSOJLIZ,O,O,X,O,X
TSOJLZI,O,O,X,O,X
TSOJZIL,O,O,X,O,X
TSOJZLI,O,O,X,O,X
TSOZILJ,O,O,X,O,O
TSOZIJL,O,O,X,O,O
TSOZLIJ,O,O,X,O,O
TSOZLJI,O,O,X,O,O
TSOZJIL,O,O,X,O,O
TSOZJLI,O,O,X,O,O
TZILJSO,O,O,O,X,X
TZILJOS,O,O,O,X,X
TZILSJO,O,O,O,X,O
TZILSOJ,O,O,O,X,O
TZILOJS,O,O,O,X,X
TZILOSJ,O,O,O,X,O
TZIJLSO,O,O,O,X,X
TZIJLOS,O,O,O,X,X
TZIJSLO,O,O,O,O,X
TZIJSOL,O,O,O,O,X
TZIJOLS,O,O,O,X,X
TZIJOSL,O,O,O,O,X
TZISLJO,O,O,O,O,O
TZISLOJ,O,O,O,O,O
TZISJLO,O,O,O,O,O
TZISJOL,O,O,O,O,O
TZISOLJ,O,O,O,O,O
TZISOJL,O,O,O,O,O
TZIOLJS,O,O,O,X,X
TZIOLSJ,O,O,O,X,O
TZIOJLS,O,O,O,X,X
TZIOJSL,O,O,O,O,X
TZIOSLJ,O,O,O,O,O
TZIOSJL,O,O,O,O,O
TZLIJSO,O,O,O,X,X
TZLIJOS,O,O,O,X,X
TZLISJO,O,O,O,X,O
TZLISOJ,O,O,O,X,O
TZLIOJS,O,O,O,X,X
TZLIOSJ,O,O,O,X,O
TZLJISO,O,O,O,X,X
TZLJIOS,O,O,O,X,X
TZLJSIO,O,O,O,X,X
TZLJSOI,O,O,O,X,X
TZLJOIS,O,O,O,X,X
TZLJOSI,O,O,O,X,X
TZLSIJO,O,O,O,X,O
TZLSIOJ,O,O,O,X,O
TZLSJIO,O,O,O,X,O
TZLSJOI,O,O,O,X,O
TZLSOIJ,O,O,O,X,O
TZLSOJI,O,O,O,X,O
TZLOIJS,O,O,O,X,X
TZLOISJ,O,O,O,X,O
TZLOJIS,O,O,O,X,X
TZLOJSI,O,O,O,X,X
TZLOSIJ,O,O,O,X,O
TZLOSJI,O,O,O,X,O
TZJILSO,O,O,O,X,X
TZJILOS,O,O,O,X,X
TZJISLO,O,O,O,O,X
TZJISOL,O,O,O,O,X
TZJIOLS,O,O,O,X,X
TZJIOSL,O,O,O,O,X
TZJLISO,O,O,O,X,X
TZJLIOS,O,O,O,X,X
TZJLSIO,O,O,O,X,X
TZJLSOI,O,O,O,X,X
TZJLOIS,O,O,O,X,X
TZJLOSI,O,O,O,X,X
TZJSILO,O,O,O,O,X
TZJSIOL,O,O,O,O,X
TZJSLIO,O,O,O,O,X
TZJSLOI,O,O,O,O,X
TZJSOIL,O,O,O,O,X
TZJSOLI,O,O,O,O,X
TZJOILS,O,O,O,X,X
TZJOISL,O,O,O,O,X
TZJOLIS,O,O,O,X,X
TZJOLSI,O,O,O,X,X
TZJOSIL,O,O,O,O,X
TZJOSLI,O,O,O,O,X
TZSILJO,O,O,O,O,O
TZSILOJ,O,O,O,O,O
TZSIJLO,O,O,O,O,O
TZSIJOL,O,O,O,O,O
TZSIOLJ,O,O,O,O,O
TZSIOJL,O,O,O,O,O
TZSLIJO,O,O,O,O,O
TZSLIOJ,O,O,O,O,O
TZSLJIO,O,O,O,O,O
TZSLJOI,O,O,O,O,O
TZSLOIJ,O,O,O,O,O
TZSLOJI,O,O,O,O,O
TZSJILO,O,O,O,O,O
TZSJIOL,O,O,O,O,O
TZSJLIO,O,O,O,O,O
TZSJLOI,O,O,O,O,O
TZSJOIL,O,O,O,O,O
TZSJOLI,O,O,O,O,O
TZSOILJ,O,O,O,O,O
TZSOIJL,O,O,O,O,O
TZSOLIJ,O,O,O,O,O
TZSOLJI,O,O,O,O,O
TZSOJIL,O,O,O,O,O
TZSOJLI,O,O,O,O,O
TZOILJS,O,O,O,X,X
TZOILSJ,O,O,O,X,O
TZOIJLS,O,O,O,X,X
TZOIJSL,O,O,O,O,X
TZOISLJ,O,O,O,O,O
TZOISJL,O,O,O,O,O
TZOLIJS,O,O,O,X,X
TZOLISJ,O,O,O,X,O
TZOLJIS,O,O,O,X,X
TZOLJSI,O,O,O,X,X
TZOLSIJ,O,O,O,X,O
TZOLSJI,O,O,O,X,O
TZOJILS,O,O,O,X,X
TZOJISL,O,O,O,O,X
TZOJLIS,O,O,O,X,X
TZOJLSI,O,O,O,X,X
TZOJSIL,O,O,O,O,X
TZOJSLI,O,O,O,O,X
TZOSILJ,O,O,O,O,O
TZOSIJL,O,O,O,O,O
TZOSLIJ,O,O,O,O,O
TZOSLJI,O,O,O,O,O
TZOSJIL,O,O,O,O,O
TZOSJLI,O,O,O,O,O
TOILJSZ,X,X,X,O,X
TOILJZS,X,X,O,X,X
TOILSJZ,O,O,X,O,X
TOILSZJ,O,O,X,O,X
TOILZJS,O,O,O,X,X
TOILZSJ,O,O,O,X,X
TOIJLSZ,X,X,X,O,X
TOIJLZS,X,X,O,X,X
TOIJSLZ,O,O,X,O,X
TOIJSZL,O,O,X,O,X
TOIJZLS,O,O,O,X,X
TOIJZSL,O,O,O,O,X
TOISLJZ,O,O,X,O,X
TOISLZJ,O,O,X,O,X
TOISJLZ,O,O,X,O,X
TOISJZL,O,O,X,O,X
TOISZLJ,O,O,X,O,X
TOISZJL,O,O,X,O,X
TOIZLJS,O,O,O,X,X
TOIZLSJ,O,O,O,X,X
TOIZJLS,O,O,O,X,X
TOIZJSL,O,O,O,O,X
TOIZSLJ,O,O,O,O,X
TOIZSJL,O,O,O,O,X
TOLIJSZ,X,X,X,O,X
TOLIJZS,X,X,O,X,X
TOLISJZ,O,O,X,O,X
TOLISZJ,O,O,X,O,X
TOLIZJS,O,O,O,X,X
TOLIZSJ,O,O,O,X,X
TOLJISZ,X,X,X,O,X
