sequence,v115@EhC8BeA8CeH8CeG8CeC8Jei6IvhFtgB0cBxdB3fBOr?BzrB,v115@EhC8BeA8CeH8CeG8CeC8Jem6IvhFtgB0cBxdBTfBKr?BfsB,v115@EhC8BeA8CeH8CeG8CeC8JeK/IvhFzaBtgBxdB3hB0m?B2wB,v115@EhC8BeA8CeH8CeG8CeC8Jei6IvhFzbBthBxdB3fBmr?BUrB,v115@EhC8BeA8CeH8CeG8CeC8JeO/IvhF8fBthBxdBfmBzr?BarB,v115@EhC8BeA8CeH8CeG8CeC8Jei6IvhFtgB0cBxdB3fBmr?BTrB,v115@EhC8BeA8CeH8CeG8CeC8Je2/IvhFzbBthB3fBxiBUm?BywB,v115@EhC8BeA8CeH8CeG8CeC8Jei6IvhFthBxdB3fBzgBmr?BUrB,v115@EhC8BeA8CeH8CeG8CeC8JeO/IvhF8fBzbBxdBarBfs?BtrB,v115@EhC8BeA8CeH8CeG8CeC8Je2/IvhFtgB0cB3fBxiBTm?BywB,v115@EhC8BeA8CeH8CeG8CeC8JeO/IvhF8fBtgBxdB3hBTm?BywB
TSJOLIZ,O,X,O,O,X,O,X,O,X,X,X
TSJOLZI,O,X,O,O,X,O,X,O,X,X,X
TSJOZIL,O,X,X,O,X,O,X,O,X,X,X
TSJOZLI,O,X,X,O,X,O,X,O,X,X,X
TSZILJO,O,X,X,X,X,O,X,X,O,X,O
TSZILOJ,O,X,O,X,X,O,X,O,X,X,X
TSZIJLO,O,X,X,X,X,O,X,X,O,O,O
TSZIJOL,X,X,X,X,X,X,X,X,X,O,O
TSZIOLJ,O,X,X,X,X,O,X,O,X,X,X
TSZIOJL,X,X,X,X,X,X,X,X,X,X,O
TSZLIJO,O,X,X,X,X,O,X,X,O,X,O
TSZLIOJ,O,X,O,X,X,O,X,O,X,X,X
TSZLJIO,O,X,X,X,X,O,X,X,O,X,O
TSZLJOI,O,X,X,X,X,O,X,X,O,X,O
TSZLOIJ,O,X,O,X,X,O,X,O,X,X,X
TSZLOJI,X,X,O,X,X,X,X,O,O,X,X
TSZJILO,O,X,X,X,X,O,X,X,O,O,O
TSZJIOL,O,X,X,X,X,O,X,X,X,O,O
TSZJLIO,O,X,X,X,X,O,X,X,O,O,O
TSZJLOI,O,X,X,X,X,O,X,X,O,X,O
TSZJOIL,O,X,X,X,X,O,X,X,X,O,O
TSZJOLI,O,X,X,X,X,O,X,X,X,X,O
TSZOILJ,O,X,X,X,X,O,X,O,X,X,X
TSZOIJL,X,X,X,X,X,X,X,X,X,X,O
TSZOLIJ,O,X,X,X,X,O,X,O,X,X,X
TSZOLJI,X,X,X,X,X,X,X,O,X,X,X
TSZOJIL,X,X,X,X,X,X,X,X,X,X,O
TSZOJLI,X,X,X,X,X,X,X,X,X,X,O
TSOILJZ,O,O,O,X,X,X,X,O,X,X,X
TSOILZJ,O,O,O,X,X,O,X,O,X,X,X
TSOIJLZ,O,O,X,X,X,X,X,O,X,X,X
TSOIJZL,O,X,X,X,X,X,X,X,X,X,X
TSOIZLJ,O,X,X,X,X,O,X,O,X,X,X
TSOIZJL,O,X,X,X,X,X,X,X,X,X,O
TSOLIJZ,O,O,O,X,X,X,X,O,X,X,X
TSOLIZJ,O,O,O,X,X,O,X,O,X,X,X
TSOLJIZ,O,O,O,X,X,O,X,O,X,X,X
TSOLJZI,O,O,O,X,X,O,X,O,X,X,X
TSOLZIJ,O,O,O,X,X,O,X,O,X,X,X
TSOLZJI,O,O,O,X,X,X,X,O,X,X,X
TSOJILZ,O,O,X,X,X,O,X,O,X,X,X
TSOJIZL,O,X,X,X,X,O,X,O,X,X,X
TSOJLIZ,O,O,X,X,X,O,X,O,X,X,X
TSOJLZI,O,O,X,X,X,O,X,O,X,X,X
TSOJZIL,O,X,X,X,X,O,X,O,X,X,X
TSOJZLI,O,X,X,X,X,O,X,O,X,X,X
TSOZILJ,O,X,X,X,X,O,X,O,X,X,X
TSOZIJL,O,X,X,X,X,X,X,X,X,X,O
TSOZLIJ,O,X,X,X,X,O,X,O,X,X,X
TSOZLJI,O,X,X,X,X,X,X,O,X,X,X
TSOZJIL,O,X,X,X,X,X,X,X,X,X,O
TSOZJLI,O,X,X,X,X,X,X,X,X,X,O
TZILJSO,X,X,X,X,X,X,O,X,X,O,O
TZILJOS,X,X,X,X,X,X,O,X,X,X,O
TZILSJO,O,X,X,X,X,O,X,X,X,X,O
TZILSOJ,O,X,O,X,X,O,X,X,X,X,O
TZILOJS,X,X,X,X,X,X,O,X,X,X,O
TZILOSJ,X,X,O,X,X,X,X,X,X,X,O
TZIJLSO,X,X,X,X,X,X,O,X,X,O,O
TZIJLOS,X,X,X,X,X,X,O,X,X,X,O
TZIJSLO,O,X,X,X,X,O,X,X,O,O,O
TZIJSOL,X,X,X,X,X,X,O,X,X,O,O
TZIJOLS,X,X,X,X,O,X,O,X,X,X,X
TZIJOSL,X,X,X,X,O,X,O,X,X,O,O
TZISLJO,O,X,X,X,X,O,X,X,O,X,O
TZISLOJ,O,X,O,X,X,O,X,O,X,X,X
TZISJLO,O,X,X,X,X,O,X,X,O,O,O
TZISJOL,X,X,X,X,X,X,O,X,X,O,O
TZISOLJ,O,X,X,X,X,O,X,O,X,X,X
TZISOJL,X,X,X,X,X,X,O,X,X,X,O
TZIOLJS,X,X,X,X,O,X,O,X,X,X,X
TZIOLSJ,X,X,X,X,O,X,X,X,X,X,X
TZIOJLS,X,X,X,X,O,X,O,X,X,X,X
TZIOJSL,X,X,X,X,O,X,O,X,X,O,O
TZIOSLJ,O,X,X,X,O,O,X,O,X,X,X
TZIOSJL,X,X,X,X,O,X,O,X,X,X,O
TZLIJSO,X,X,X,X,X,X,O,X,X,O,O
TZLIJOS,X,X,X,X,X,X,O,X,X,X,O
TZLISJO,O,X,X,X,X,O,X,X,X,X,O
TZLISOJ,O,X,O,X,X,O,X,X,X,X,O
TZLIOJS,X,X,X,X,X,X,O,X,X,X,O
TZLIOSJ,X,X,O,X,X,X,X,X,X,X,O
TZLJISO,X,X,O,X,X,X,O,X,X,O,O
TZLJIOS,X,X,O,X,X,X,O,X,X,X,O
TZLJSIO,X,X,O,X,X,X,O,X,O,O,O
TZLJSOI,X,X,O,X,X,X,O,X,O,X,O
TZLJOIS,X,X,O,X,X,X,O,X,X,X,O
TZLJOSI,X,X,O,X,X,X,O,X,O,X,O
TZLSIJO,O,X,X,X,X,O,X,X,O,X,O
TZLSIOJ,O,X,O,X,X,O,X,X,X,X,O
TZLSJIO,O,X,X,X,X,O,X,X,O,X,O
TZLSJOI,X,X,X,X,X,X,X,X,O,X,O
TZLSOIJ,O,X,O,X,X,O,X,X,X,X,O
TZLSOJI,X,X,O,X,X,X,X,X,O,X,O
TZLOIJS,X,X,X,X,X,X,O,X,X,X,O
TZLOISJ,X,X,O,X,X,X,X,X,X,X,O
TZLOJIS,X,X,O,X,X,X,O,X,X,X,O
TZLOJSI,X,X,O,X,X,X,O,X,O,X,O
TZLOSIJ,X,X,O,X,X,X,X,X,X,X,O
TZLOSJI,X,X,O,X,X,X,X,X,O,X,O
TZJILSO,O,X,O,X,X,O,O,X,X,O,O
TZJILOS,X,X,O,X,X,X,O,X,X,X,O
TZJISLO,O,X,O,X,X,O,X,X,O,O,O
TZJISOL,O,X,X,X,X,O,O,X,X,O,O
TZJIOLS,X,X,X,X,O,X,O,X,X,X,X
TZJIOSL,O,X,X,X,O,O,O,X,X,O,O
TZJLISO,O,X,O,X,X,O,O,X,X,O,O
TZJLIOS,X,X,O,X,X,X,O,X,X,X,O
TZJLSIO,O,X,O,X,X,O,O,X,O,O,O
TZJLSOI,O,X,O,X,X,O,O,X,O,X,O
TZJLOIS,X,X,O,X,X,X,O,X,X,X,O
TZJLOSI,X,X,O,X,X,X,O,X,O,X,O
TZJSILO,O,X,O,X,X,O,X,X,O,O,O
TZJSIOL,O,X,X,X,X,O,O,X,X,O,O
TZJSLIO,O,X,O,X,X,O,X,X,O,O,O
TZJSLOI,O,X,O,X,X,O,X,X,O,X,O
TZJSOIL,O,X,X,X,X,O,O,X,X,O,O
TZJSOLI,O,X,X,X,X,O,O,X,X,X,O
TZJOILS,X,X,X,X,O,X,O,X,X,X,X
TZJOISL,O,X,X,X,O,O,O,X,X,O,O
TZJOLIS,X,X,X,X,O,X,O,X,X,X,X
TZJOLSI,X,X,X,X,O,X,O,X,X,X,X
TZJOSIL,O,X,X,X,O,O,O,X,X,O,O
TZJOSLI,O,X,X,X,O,O,O,X,X,X,O
TZSILJO,O,X,X,X,X,O,X,X,O,X,O
TZSILOJ,O,X,O,X,X,O,X,O,X,X,X
TZSIJLO,O,X,X,X,X,O,X,X,O,O,O
TZSIJOL,X,X,X,X,X,X,O,X,X,O,O
TZSIOLJ,O,X,X,X,X,O,X,O,X,X,X
TZSIOJL,X,X,X,X,X,X,O,X,X,X,O
TZSLIJO,O,X,X,X,X,O,X,X,O,X,O
TZSLIOJ,O,X,O,X,X,O,X,O,X,X,X
TZSLJIO,O,X,X,X,X,O,X,X,O,X,O
TZSLJOI,O,X,X,X,X,O,X,X,O,X,O
TZSLOIJ,O,X,O,X,X,O,X,O,X,X,X
TZSLOJI,X,X,O,X,X,X,X,O,O,X,X
TZSJILO,O,X,X,X,X,O,X,X,O,O,O
TZSJIOL,O,X,X,X,X,O,O,X,X,O,O
TZSJLIO,O,X,X,X,X,O,X,X,O,O,O
TZSJLOI,O,X,X,X,X,O,X,X,O,X,O
TZSJOIL,O,X,X,X,X,O,O,X,X,O,O
TZSJOLI,O,X,X,X,X,O,O,X,X,X,O
TZSOILJ,O,X,X,X,X,O,X,O,X,X,X
TZSOIJL,X,X,X,X,X,X,O,X,X,X,O
TZSOLIJ,O,X,X,X,X,O,X,O,X,X,X
TZSOLJI,X,X,X,X,X,X,X,O,X,X,X
TZSOJIL,X,X,X,X,X,X,O,X,X,X,O
TZSOJLI,X,X,X,X,X,X,O,X,X,X,O
TZOILJS,X,X,X,X,O,X,O,X,X,X,X
TZOILSJ,X,X,X,X,O,X,X,X,X,X,X
TZOIJLS,X,X,X,X,O,X,O,X,X,X,X
TZOIJSL,X,X,X,X,O,X,O,X,X,O,O
TZOISLJ,O,X,X,X,O,O,X,O,X,X,X
TZOISJL,X,X,X,X,O,X,O,X,X,X,O
TZOLIJS,X,X,X,X,O,X,O,X,X,X,X
TZOLISJ,X,X,X,X,O,X,X,X,X,X,X
TZOLJIS,X,X,X,X,O,X,O,X,X,X,X
TZOLJSI,X,X,X,X,O,X,O,X,X,X,X
TZOLSIJ,X,X,X,X,O,X,X,X,X,X,X
TZOLSJI,X,X,X,X,O,X,X,X,X,X,X
TZOJILS,X,X,X,X,O,X,O,X,X,X,X
TZOJISL,X,X,X,X,O,X,O,X,X,O,O
TZOJLIS,X,X,X,X,O,X,O,X,X,X,X
TZOJLSI,X,X,X,X,O,X,O,X,X,X,X
TZOJSIL,X,X,X,X,O,X,O,X,X,O,O
TZOJSLI,X,X,X,X,O,X,O,X,X,X,O
TZOSILJ,O,X,X,X,O,O,X,O,X,X,X
TZOSIJL,X,X,X,X,O,X,O,X,X,X,O
TZOSLIJ,O,X,X,X,O,O,X,O,X,X,X
TZOSLJI,X,X,X,X,O,X,X,O,X,X,X
TZOSJIL,X,X,X,X,O,X,O,X,X,X,O
TZOSJLI,X,X,X,X,O,X,O,X,X,X,O
TOILJSZ,X,X,O,X,X,X,X,X,X,X,X
TOILJZS,X,X,X,X,X,X,O,X,X,X,X
TOILSJZ,O,X,O,X,X,X,X,O,X,X,X
TOILSZJ,O,X,O,X,O,X,X,O,X,X,X
TOILZJS,X,X,X,X,O,X,X,X,X,X,X
TOILZSJ,O,X,O,X,O,X,X,X,X,X,X
TOIJLSZ,O,X,X,X,X,X,X,X,X,X,X
TOIJLZS,O,X,X,X,X,X,O,X,X,X,X
TOIJSLZ,O,O,X,X,X,X,X,O,X,X,X
TOIJSZL,O,X,X,X,O,X,X,X,X,X,X
TOIJZLS,O,X,X,X,O,X,O,X,X,X,X
TOIJZSL,O,X,X,X,O,X,O,X,X,O,X
TOISLJZ,O,O,O,X,X,X,X,O,X,X,X
TOISLZJ,O,O,O,X,O,O,X,O,X,X,X
TOISJLZ,O,O,X,X,X,X,X,O,X,X,X
TOISJZL,O,X,X,X,O,X,X,X,X,X,X
TOISZLJ,O,X,X,X,O,O,X,O,X,X,X
TOISZJL,O,X,X,X,O,X,X,X,X,X,O
TOIZLJS,X,X,X,X,O,X,X,X,X,X,X
TOIZLSJ,O,X,X,X,O,X,X,X,X,X,X
TOIZJLS,X,X,X,X,O,X,X,X,X,X,X
TOIZJSL,O,X,X,X,O,X,X,X,X,O,O
TOIZSLJ,O,X,X,X,O,O,X,O,X,X,X
TOIZSJL,O,X,X,X,O,X,X,X,X,X,O
TOLIJSZ,X,O,O,X,X,X,X,X,X,X,X
TOLIJZS,X,X,O,X,X,X,O,X,X,X,X
TOLISJZ,O,O,O,X,X,X,X,O,X,X,X
TOLISZJ,O,O,O,X,O,X,X,O,X,X,X
TOLIZJS,X,X,X,X,O,X,X,X,X,X,X
TOLIZSJ,O,X,O,X,O,X,X,X,X,X,X
TOLJISZ,X,O,O,X,X,X,X,X,X,X,X
TOLJIZS,X,X,O,X,X,X,O,X,X,X,X
TOLJSIZ,X,O,O,X,X,X,X,X,X,X,X
TOLJSZI,X,O,O,X,X,X,X,X,X,X,X
TOLJZIS,X,X,O,X,X,X,O,X,X,X,X
TOLJZSI,X,O,O,X,X,X,O,X,X,X,X
TOLSIJZ,O,O,O,X,X,X,X,O,X,X,X
TOLSIZJ,O,O,O,X,O,X,X,O,X,X,X
TOLSJIZ,O,O,O,X,X,X,X,O,X,X,X
TOLSJZI,O,O,O,X,X,X,X,O,X,X,X
TOLSZIJ,O,O,O,X,O,X,X,O,X,X,X
TOLSZJI,O,O,O,X,O,X,X,O,X,X,X
TOLZIJS,X,X,X,X,O,X,X,X,X,X,X
TOLZISJ,O,X,O,X,O,X,X,X,X,X,X
TOLZJIS,X,X,O,X,O,X,X,X,X,X,X
TOLZJSI,X,O,O,X,O,X,X,X,X,X,X
TOLZSIJ,O,O,O,X,O,X,X,X,X,X,X
TOLZSJI,O,O,O,X,O,X,X,X,X,X,X
TOJILSZ,O,X,O,X,X,X,X,O,X,X,X
TOJILZS,O,X,O,X,X,X,O,X,X,X,X
TOJISLZ,O,O,O,X,X,O,X,O,X,X,X
TOJISZL,O,X,X,X,O,O,X,O,X,X,X
TOJIZLS,O,X,X,X,O,X,O,X,X,X,X
TOJIZSL,O,X,X,X,O,O,O,O,X,O,X
TOJLISZ,O,O,O,X,X,X,X,O,X,X,X
TOJLIZS,O,X,O,X,X,X,O,X,X,X,X
TOJLSIZ,O,O,O,X,X,X,X,O,X,X,X
TOJLSZI,O,O,O,X,X,X,X,O,X,X,X
TOJLZIS,O,X,O,X,X,X,O,X,X,X,X
TOJLZSI,O,O,O,X,X,X,O,X,X,X,X
TOJSILZ,O,O,O,X,X,O,X,O,X,X,X
TOJSIZL,O,X,X,X,O,O,X,O,X,X,X
TOJSLIZ,O,O,O,X,X,O,X,O,X,X,X
TOJSLZI,O,O,O,X,X,O,X,O,X,X,X
TOJSZIL,O,X,X,X,O,O,X,O,X,X,X
TOJSZLI,O,X,X,X,O,O,X,O,X,X,X
TOJZILS,O,X,X,X,O,X,O,X,X,X,X
TOJZISL,O,X,X,X,O,O,O,O,X,O,X
TOJZLIS,O,X,X,X,O,X,O,X,X,X,X
TOJZLSI,O,X,X,X,O,X,O,X,X,X,X
TOJZSIL,O,X,X,X,O,O,O,O,X,O,X
TOJZSLI,O,X,X,X,O,O,O,O,X,X,X
TOSILJZ,O,O,O,X,X,X,X,O,X,X,X
TOSILZJ,O,O,O,X,O,O,X,O,X,X,X
TOSIJLZ,O,O,X,X,X,X,X,O,X,X,X
TOSIJZL,O,X,X,X,O,X,X,X,X,X,X
TOSIZLJ,O,X,X,X,O,O,X,O,X,X,X
TOSIZJL,O,X,X,X,O,X,X,X,X,X,O
TOSLIJZ,O,O,O,X,X,X,X,O,X,X,X
TOSLIZJ,O,O,O,X,O,O,X,O,X,X,X
TOSLJIZ,O,O,O,X,X,O,X,O,X,X,X
TOSLJZI,O,O,O,X,X,O,X,O,X,X,X
TOSLZIJ,O,O,O,X,O,O,X,O,X,X,X
TOSLZJI,O,O,O,X,O,X,X,O,X,X,X
TOSJILZ,O,O,X,X,X,O,X,O,X,X,X
TOSJIZL,O,X,X,X,O,O,X,O,X,X,X
TOSJLIZ,O,O,X,X,X,O,X,O,X,X,X
TOSJLZI,O,O,X,X,X,O,X,O,X,X,X
TOSJZIL,O,X,X,X,O,O,X,O,X,X,X
TOSJZLI,O,X,X,X,O,O,X,O,X,X,X
TOSZILJ,O,X,X,X,O,O,X,O,X,X,X
TOSZIJL,O,X,X,X,O,X,X,X,X,X,O
TOSZLIJ,O,X,X,X,O,O,X,O,X,X,X
TOSZLJI,O,X,X,X,O,X,X,O,X,X,X
TOSZJIL,O,X,X,X,O,X,X,X,X,X,O
TOSZJLI,O,X,X,X,O,X,X,X,X,X,O
TOZILJS,X,X,X,X,O,X,X,X,X,X,X
TOZILSJ,O,X,X,X,O,X,X,X,X,X,X
TOZIJLS,X,X,X,X,O,X,X,X,X,X,X
TOZIJSL,O,X,X,X,O,X,X,X,X,O,O
TOZISLJ,O,X,X,X,O,O,X,O,X,X,X
TOZISJL,O,X,X,X,O,X,X,X,X,X,O
TOZLIJS,X,X,X,X,O,X,X,X,X,X,X
TOZLISJ,O,X,X,X,O,X,X,X,X,X,X
TOZLJIS,X,X,X,X,O,X,X,X,X,X,X
TOZLJSI,X,X,X,X,O,X,X,X,X,X,X
TOZLSIJ,O,X,X,X,O,X,X,X,X,X,X
TOZLSJI,O,X,X,X,O,X,X,X,X,X,X
TOZJILS,X,X,X,X,O,X,X,X,X,X,X
TOZJISL,O,X,X,X,O,X,X,X,X,O,O
TOZJLIS,X,X,X,X,O,X,X,X,X,X,X
TOZJLSI,X,X,X,X,O,X,X,X,X,X,X
TOZJSIL,O,X,X,X,O,X,X,X,X,O,O
TOZJSLI,O,X,X,X,O,X,X,X,X,X,O
TOZSILJ,O,X,X,X,O,O,X,O,X,X,X
TOZSIJL,O,X,X,X,O,X,X,X,X,X,O
TOZSLIJ,O,X,X,X,O,O,X,O,X,X,X
TOZSLJI,O,X,X,X,O,X,X,O,X,X,X
TOZSJIL,O,X,X,X,O,X,X,X,X,X,O
TOZSJLI,O,X,X,X,O,X,X,X,X,X,O
ITLJSZO,X,X,O,X,X,X,O,X,X,O,O
ITLJSOZ,X,X,O,X,X,X,X,X,X,X,X
ITLJZSO,X,X,O,X,X,X,O,X,X,O,O
ITLJZOS,X,X,O,X,X,X,O,X,X,O,O
ITLJOSZ,X,X,O,X,X,X,X,X,X,O,X
ITLJOZS,X,X,O,X,X,X,O,X,X,O,X
ITLSJZO,O,X,X,X,X,O,O,X,X,O,O
ITLSJOZ,X,X,O,X,X,X,X,O,X,X,X
ITLSZJO,O,X,X,X,X,O,X,X,X,O,O
ITLSZOJ,O,X,O,X,X,O,X,O,X,X,O
ITLSOJZ,X,X,O,X,X,X,X,O,X,X,X
ITLSOZJ,O,X,O,X,X,O,X,O,X,X,O
ITLZJSO,X,X,X,X,X,X,O,X,X,O,O
ITLZJOS,X,X,X,X,X,X,O,X,X,O,O
ITLZSJO,O,X,X,X,X,O,O,X,X,O,O
ITLZSOJ,O,X,O,X,X,O,O,X,X,X,O
ITLZOJS,X,X,X,X,X,X,O,X,X,O,O
ITLZOSJ,X,X,O,X,X,X,O,X,X,X,O
ITLOJSZ,X,X,O,X,X,X,X,X,X,O,X
ITLOJZS,X,X,O,X,X,X,O,X,X,O,X
ITLOSJZ,X,X,O,X,X,X,X,O,X,O,X
ITLOSZJ,X,X,O,X,X,X,X,O,X,O,O
ITLOZJS,X,X,X,X,X,X,X,X,X,O,O
ITLOZSJ,X,X,O,X,X,X,X,X,X,O,O
ITJLSZO,O,X,O,O,X,O,O,O,X,O,X
ITJLSOZ,O,X,O,O,X,O,X,O,X,X,X
ITJLZSO,O,X,O,X,X,O,O,X,X,O,X
ITJLZOS,X,X,O,X,X,X,O,X,X,O,X
ITJLOSZ,X,X,O,X,X,X,X,O,X,O,X
ITJLOZS,X,X,O,X,X,X,O,X,X,O,X
ITJSLZO,O,O,O,O,X,O,O,O,X,X,X
ITJSLOZ,O,O,O,O,X,O,X,O,X,X,X
ITJSZLO,O,X,O,O,X,O,X,O,X,O,O
ITJSZOL,O,X,X,O,X,O,O,O,X,O,O
ITJSOLZ,O,X,O,O,X,O,X,O,X,X,X
ITJSOZL,O,X,X,O,X,O,X,O,X,X,X
ITJZLSO,O,X,O,O,X,O,O,X,X,O,O
ITJZLOS,X,X,O,O,X,X,O,X,X,X,X
ITJZSLO,O,X,O,O,X,O,X,O,X,O,O
ITJZSOL,O,X,X,O,X,O,O,O,X,O,O
ITJZOLS,X,X,X,O,X,X,O,X,X,X,X
ITJZOSL,O,X,X,O,X,O,O,O,X,O,O
ITJOLSZ,X,X,O,X,X,O,X,O,X,X,X
ITJOLZS,X,X,O,X,X,O,O,X,X,X,X
ITJOSLZ,O,X,O,O,X,O,X,O,X,X,X
ITJOSZL,O,X,X,O,X,O,X,O,X,X,X
ITJOZLS,X,X,X,X,X,O,O,X,X,X,X
ITJOZSL,O,X,X,X,X,O,O,O,X,O,X
ITSLJZO,O,O,X,O,X,O,O,O,X,X,X
ITSLJOZ,O,O,O,O,X,O,X,O,X,X,X
ITSLZJO,O,O,X,X,X,O,X,X,O,X,O
ITSLZOJ,O,O,O,X,X,O,X,O,X,X,X
ITSLOJZ,O,O,O,X,X,X,X,O,X,X,X
ITSLOZJ,O,O,O,X,X,O,X,O,X,X,X
ITSJLZO,O,O,X,O,X,O,O,O,X,X,X
ITSJLOZ,O,O,O,O,X,O,X,O,X,X,X
ITSJZLO,O,X,X,O,X,O,X,O,X,O,O
ITSJZOL,O,X,X,O,X,O,O,O,X,O,O
ITSJOLZ,O,X,X,O,X,O,X,O,X,X,X
ITSJOZL,O,X,X,O,X,O,X,O,X,X,X
ITSZLJO,O,X,X,X,X,O,X,X,O,X,O
ITSZLOJ,O,X,O,X,X,O,X,O,X,X,X
ITSZJLO,O,X,X,X,X,O,X,X,O,O,O
ITSZJOL,X,X,X,X,X,X,X,X,X,O,O
ITSZOLJ,O,X,X,X,X,O,X,O,X,X,X
ITSZOJL,X,X,X,X,X,X,X,X,X,X,O
ITSOLJZ,O,O,O,X,X,X,X,O,X,X,X
ITSOLZJ,O,O,O,X,X,O,X,O,X,X,X
ITSOJLZ,O,O,X,X,X,X,X,O,X,X,X
ITSOJZL,O,X,X,X,X,X,X,X,X,X,X
ITSOZLJ,O,X,X,X,X,O,X,O,X,X,X
ITSOZJL,O,X,X,X,X,X,X,X,X,X,O
ITZLJSO,X,X,X,X,X,X,O,X,X,O,O
ITZLJOS,X,X,X,X,X,X,O,X,X,X,O
ITZLSJO,O,X,X,X,X,O,X,X,X,X,O
ITZLSOJ,O,X,O,X,X,O,X,X,X,X,O
ITZLOJS,X,X,X,X,X,X,O,X,X,X,O
ITZLOSJ,X,X,O,X,X,X,X,X,X,X,O
ITZJLSO,X,X,X,X,X,X,O,X,X,O,O
ITZJLOS,X,X,X,X,X,X,O,X,X,X,O
ITZJSLO,O,X,X,X,X,O,X,X,O,O,O
ITZJSOL,X,X,X,X,X,X,O,X,X,O,O
ITZJOLS,X,X,X,X,O,X,O,X,X,X,X
ITZJOSL,X,X,X,X,O,X,O,X,X,O,O
ITZSLJO,O,X,X,X,X,O,X,X,O,X,O
ITZSLOJ,O,X,O,X,X,O,X,O,X,X,X
ITZSJLO,O,X,X,X,X,O,X,X,O,O,O
ITZSJOL,X,X,X,X,X,X,O,X,X,O,O
ITZSOLJ,O,X,X,X,X,O,X,O,X,X,X
ITZSOJL,X,X,X,X,X,X,O,X,X,X,O
ITZOLJS,X,X,X,X,O,X,O,X,X,X,X
ITZOLSJ,X,X,X,X,O,X,X,X,X,X,X
ITZOJLS,X,X,X,X,O,X,O,X,X,X,X
ITZOJSL,X,X,X,X,O,X,O,X,X,O,O
ITZOSLJ,O,X,X,X,O,O,X,O,X,X,X
ITZOSJL,X,X,X,X,O,X,O,X,X,X,O
ITOLJSZ,X,X,O,X,X,X,X,X,X,X,X
ITOLJZS,X,X,X,X,X,X,O,X,X,X,X
ITOLSJZ,O,X,O,X,X,X,X,O,X,X,X
ITOLSZJ,O,X,O,X,O,X,X,O,X,X,X
ITOLZJS,X,X,X,X,O,X,X,X,X,X,X
ITOLZSJ,O,X,O,X,O,X,X,X,X,X,X
ITOJLSZ,O,X,X,X,X,X,X,X,X,X,X
ITOJLZS,O,X,X,X,X,X,O,X,X,X,X
ITOJSLZ,O,O,X,X,X,X,X,O,X,X,X
ITOJSZL,O,X,X,X,O,X,X,X,X,X,X
ITOJZLS,O,X,X,X,O,X,O,X,X,X,X
ITOJZSL,O,X,X,X,O,X,O,X,X,O,X
ITOSLJZ,O,O,O,X,X,X,X,O,X,X,X
ITOSLZJ,O,O,O,X,O,O,X,O,X,X,X
ITOSJLZ,O,O,X,X,X,X,X,O,X,X,X
ITOSJZL,O,X,X,X,O,X,X,X,X,X,X
ITOSZLJ,O,X,X,X,O,O,X,O,X,X,X
ITOSZJL,O,X,X,X,O,X,X,X,X,X,O
ITOZLJS,X,X,X,X,O,X,X,X,X,X,X
ITOZLSJ,O,X,X,X,O,X,X,X,X,X,X
ITOZJLS,X,X,X,X,O,X,X,X,X,X,X
ITOZJSL,O,X,X,X,O,X,X,X,X,O,O
ITOZSLJ,O,X,X,X,O,O,X,O,X,X,X
ITOZSJL,O,X,X,X,O,X,X,X,X,X,O
ILTJSZO,X,O,O,X,X,X,O,X,X,O,O
ILTJSOZ,X,O,O,X,X,X,X,X,X,X,X
ILTJZSO,X,X,O,X,X,X,O,X,X,O,O
ILTJZOS,X,X,O,X,X,X,O,X,X,O,O
ILTJOSZ,X,X,O,X,X,X,X,X,X,O,X
ILTJOZS,X,X,O,X,X,X,O,X,X,O,X
ILTSJZO,O,O,X,X,X,O,O,X,X,O,O
ILTSJOZ,X,O,O,X,X,X,X,O,X,X,X
ILTSZJO,O,O,X,X,X,O,X,X,X,O,O
ILTSZOJ,O,O,O,X,X,O,X,O,X,X,O
ILTSOJZ,X,O,O,X,X,X,X,O,X,X,X
ILTSOZJ,O,O,O,X,X,O,X,O,X,X,O
ILTZJSO,X,X,X,X,X,X,O,X,X,O,O
ILTZJOS,X,X,X,X,X,X,O,X,X,O,O
ILTZSJO,O,X,X,X,X,O,O,X,X,O,O
ILTZSOJ,O,X,O,X,X,O,O,X,X,X,O
ILTZOJS,X,X,X,X,X,X,O,X,X,O,O
ILTZOSJ,X,X,O,X,X,X,O,X,X,X,O
ILTOJSZ,X,O,O,X,X,X,X,X,X,O,X
ILTOJZS,X,X,O,X,X,X,O,X,X,O,X
ILTOSJZ,X,O,O,X,X,X,X,O,X,O,X
ILTOSZJ,X,O,O,X,X,X,X,O,X,O,O
ILTOZJS,X,X,X,X,X,X,X,X,X,O,O
ILTOZSJ,X,X,O,X,X,X,X,X,X,O,O
ILJTSZO,O,O,O,O,X,O,O,O,X,O,O
ILJTSOZ,O,O,O,O,X,O,X,O,X,X,X
ILJTZSO,O,X,O,X,X,O,O,X,X,O,O
ILJTZOS,X,X,O,X,X,X,O,X,X,O,O
ILJTOSZ,X,X,O,X,X,X,X,O,X,O,X
ILJTOZS,X,X,O,X,X,X,O,X,X,O,X
ILJSTZO,O,O,O,O,X,O,O,O,X,O,O
ILJSTOZ,O,O,O,O,X,O,X,O,X,X,X
ILJSZTO,O,O,O,O,X,O,O,O,X,X,O
