sequence,v115@7gB8GeC8HeD8DeG8AeF8JeO/IvhF6gBxcBzfB/mBUi?BlqB,v115@7gB8GeC8HeD8DeG8AeF8JeK/IvhFzaB+gBxcB/mBUi?BlqB,v115@7gB8GeC8HeD8DeG8AeF8Je06IvhFxbBXdB2kBzgBCn?BlqB,v115@7gB8GeC8HeD8DeG8AeF8JeO/IvhFxcBCgB/mBUiBTg?BlqB,v115@7gB8GeC8HeD8DeG8AeF8JeK/IvhFWgBxcB/mBUiBTg?BlqB,v115@7gB8GeC8HeD8DeG8AeF8JeO/IvhFxcBflBlgBUiBTm?B6qB,v115@7gB8GeC8HeD8DeG8AeF8Jem6IvhFFcBXdBTfBclBxm?BCrB,v115@7gB8GeC8HeD8DeG8AeF8JeT6IvhF/gBUcBFdBmkBxm?BCrB,v115@7gB8GeC8HeD8DeG8AeF8JeT6IvhFxbBXdBlgBmkB8q?BCsB,v115@7gB8GeC8HeD8DeG8AeF8JeO/IvhFXbBRhB6mBTiBFl?B8qB
TSOLIJZ,O,O,O,X,X,X,X,X,X,X
TSOLIZJ,O,O,O,X,X,X,O,X,X,X
TSOLJIZ,O,O,O,X,X,X,X,X,X,X
TSOLJZI,O,O,O,O,O,O,X,X,X,X
TSOLZIJ,O,O,O,O,O,O,O,X,X,X
TSOLZJI,O,O,O,O,O,O,O,X,X,X
TSOJILZ,O,O,O,X,X,X,X,X,X,X
TSOJIZL,O,X,O,X,X,O,O,X,X,X
TSOJLIZ,O,O,O,X,X,X,X,X,X,X
TSOJLZI,O,O,O,O,X,O,X,X,X,X
TSOJZIL,O,O,O,O,X,O,O,X,X,X
TSOJZLI,O,O,O,O,X,O,O,X,X,X
TSOZILJ,O,O,X,O,O,O,O,X,X,X
TSOZIJL,O,O,O,O,X,O,O,X,X,X
TSOZLIJ,O,O,X,O,O,O,O,X,X,X
TSOZLJI,O,O,X,O,O,O,O,X,X,X
TSOZJIL,O,O,O,O,X,O,O,X,X,X
TSOZJLI,O,O,O,O,X,O,O,X,X,X
TZILJSO,O,X,X,X,X,X,O,O,O,O
TZILJOS,O,O,X,X,X,X,X,O,O,X
TZILSJO,X,O,X,X,O,X,O,O,O,O
TZILSOJ,X,O,X,X,O,X,O,O,O,X
TZILOJS,O,X,X,X,X,X,O,X,O,X
TZILOSJ,X,X,X,X,X,X,O,O,O,X
TZIJLSO,O,X,X,X,X,X,O,O,O,O
TZIJLOS,O,O,X,X,X,X,X,O,O,X
TZIJSLO,O,X,X,O,X,X,O,O,O,O
TZIJSOL,O,X,X,O,X,X,O,O,O,O
TZIJOLS,O,X,X,X,X,X,O,O,O,X
TZIJOSL,X,X,X,X,X,O,O,O,O,O
TZISLJO,O,O,X,O,O,X,O,O,O,O
TZISLOJ,O,O,X,O,O,X,O,O,X,X
TZISJLO,O,O,X,O,O,X,O,X,O,O
TZISJOL,O,O,X,O,X,X,O,X,O,O
TZISOLJ,O,O,X,O,O,X,O,X,X,X
TZISOJL,O,O,X,O,X,X,O,X,O,O
TZIOLJS,O,X,X,X,X,X,O,X,X,X
TZIOLSJ,X,X,X,X,X,X,O,O,X,X
TZIOJLS,O,X,X,X,X,X,O,X,O,X
TZIOJSL,X,X,X,X,X,O,O,X,O,O
TZIOSLJ,X,X,X,X,X,O,O,X,X,X
TZIOSJL,X,X,X,X,X,O,O,X,O,O
TZLIJSO,O,X,X,X,X,X,X,O,O,O
TZLIJOS,O,O,X,X,X,X,X,O,O,X
TZLISJO,X,O,X,X,O,X,X,O,O,O
TZLISOJ,X,O,X,X,O,X,X,O,O,X
TZLIOJS,O,X,X,X,X,X,X,X,O,X
TZLIOSJ,X,X,X,X,X,X,X,O,O,X
TZLJISO,O,X,X,X,X,X,X,X,O,O
TZLJIOS,O,O,X,X,X,X,X,X,O,X
TZLJSIO,O,O,X,O,O,X,X,O,O,O
TZLJSOI,O,O,X,O,O,X,O,O,O,X
TZLJOIS,X,O,X,X,X,X,X,O,O,X
TZLJOSI,X,O,X,X,X,X,X,O,O,X
TZLSIJO,O,O,X,O,O,X,X,O,O,O
TZLSIOJ,O,O,X,O,O,X,X,O,O,X
TZLSJIO,O,O,X,O,O,X,X,O,O,O
TZLSJOI,O,O,X,O,O,X,O,O,O,X
TZLSOIJ,O,O,X,O,O,X,X,X,O,X
TZLSOJI,O,O,X,O,O,X,O,O,O,X
TZLOIJS,O,X,X,X,X,X,X,X,O,X
TZLOISJ,X,X,X,X,X,X,X,X,O,X
TZLOJIS,O,O,X,X,X,X,X,X,O,X
TZLOJSI,O,O,X,X,X,X,O,X,O,X
TZLOSIJ,O,O,X,X,X,X,X,X,O,X
TZLOSJI,O,O,X,X,X,X,O,X,O,X
TZJILSO,O,X,O,X,X,X,O,O,O,O
TZJILOS,O,O,X,X,X,X,X,O,O,X
TZJISLO,O,X,O,O,X,X,O,O,O,O
TZJISOL,O,X,O,O,X,X,O,O,O,O
TZJIOLS,O,X,O,X,X,X,X,O,O,X
TZJIOSL,X,X,O,X,X,O,O,O,O,O
TZJLISO,O,X,O,X,X,X,X,X,O,O
TZJLIOS,O,O,X,X,X,X,X,X,O,X
TZJLSIO,O,O,O,O,X,X,X,O,O,O
TZJLSOI,O,O,O,O,X,X,O,O,O,X
TZJLOIS,X,O,O,X,X,X,X,O,O,X
TZJLOSI,X,O,O,X,X,X,X,O,O,X
TZJSILO,O,O,O,O,X,X,O,O,O,O
TZJSIOL,O,O,O,O,X,O,O,O,O,O
TZJSLIO,O,O,O,O,X,X,O,O,O,O
TZJSLOI,O,O,O,O,X,O,O,O,O,X
TZJSOIL,O,O,O,O,X,O,O,O,O,O
TZJSOLI,O,O,O,O,X,O,O,O,O,X
TZJOILS,O,X,O,X,X,X,X,O,O,X
TZJOISL,X,X,O,X,X,O,O,O,O,O
TZJOLIS,O,X,O,X,X,X,X,O,O,X
TZJOLSI,O,X,O,X,X,X,O,O,O,X
TZJOSIL,O,X,O,X,X,O,O,O,O,O
TZJOSLI,O,X,O,X,X,O,O,O,O,X
TZSILJO,O,O,X,O,O,X,O,X,O,O
TZSILOJ,O,O,X,O,O,X,O,X,X,X
TZSIJLO,O,O,O,O,O,X,O,X,O,O
TZSIJOL,O,O,O,O,X,O,O,X,O,O
TZSIOLJ,O,O,X,O,O,X,O,X,X,X
TZSIOJL,O,O,O,O,X,X,O,X,O,O
TZSLIJO,O,O,X,O,O,X,O,X,O,O
TZSLIOJ,O,O,X,O,O,X,O,X,O,X
TZSLJIO,O,O,X,O,O,X,O,X,O,O
TZSLJOI,O,O,X,O,O,O,O,X,O,X
TZSLOIJ,O,O,X,O,O,X,O,X,O,X
TZSLOJI,O,O,X,O,O,X,O,X,O,X
TZSJILO,O,O,O,O,O,X,O,X,O,O
TZSJIOL,O,O,O,O,X,O,O,X,O,O
TZSJLIO,O,O,O,O,O,X,O,X,O,O
TZSJLOI,O,O,O,O,O,O,O,X,O,X
TZSJOIL,O,O,O,O,X,O,O,X,O,O
TZSJOLI,O,O,O,O,X,O,O,X,O,X
TZSOILJ,O,O,X,O,O,O,O,X,X,X
TZSOIJL,O,O,O,O,X,O,O,X,O,O
TZSOLIJ,O,O,X,O,O,O,O,X,X,X
TZSOLJI,O,O,X,O,O,O,O,X,X,X
TZSOJIL,O,O,O,O,X,O,O,X,O,O
TZSOJLI,O,O,O,O,X,O,O,X,O,X
TZOILJS,O,X,X,X,X,X,O,X,X,X
TZOILSJ,X,X,X,X,X,X,O,X,X,X
TZOIJLS,O,X,O,X,X,X,O,X,O,X
TZOIJSL,X,X,O,X,X,O,O,X,O,O
TZOISLJ,X,X,X,X,X,O,O,X,X,X
TZOISJL,X,X,O,X,X,O,O,X,O,O
TZOLIJS,O,X,O,X,X,X,X,X,O,X
TZOLISJ,X,X,O,X,X,X,X,X,O,X
TZOLJIS,O,X,O,X,X,X,X,X,O,X
TZOLJSI,O,X,O,X,X,X,O,X,O,X
TZOLSIJ,O,X,O,X,X,X,X,X,O,X
TZOLSJI,O,X,O,X,X,X,O,X,O,X
TZOJILS,O,X,O,X,X,X,O,X,O,X
TZOJISL,X,X,O,X,X,O,O,X,O,O
TZOJLIS,O,X,O,X,X,X,X,X,O,X
TZOJLSI,O,X,O,X,X,X,O,X,O,X
TZOJSIL,O,X,O,X,X,O,O,X,O,O
TZOJSLI,O,X,O,X,X,O,O,X,O,X
TZOSILJ,O,X,X,X,X,O,O,X,X,X
TZOSIJL,O,X,O,X,X,O,O,X,O,O
TZOSLIJ,O,X,X,X,X,O,O,X,X,X
TZOSLJI,O,X,X,X,X,O,O,X,X,X
TZOSJIL,O,X,O,X,X,O,O,X,O,O
TZOSJLI,O,X,O,X,X,O,O,X,O,X
TOILJSZ,O,O,O,X,X,X,X,O,X,X
TOILJZS,O,O,O,X,X,X,X,O,X,X
TOILSJZ,O,O,O,X,X,X,X,O,X,X
TOILSZJ,O,X,O,X,X,X,O,O,X,X
TOILZJS,O,X,O,X,X,X,O,X,X,X
TOILZSJ,X,X,O,X,X,X,O,O,X,X
TOIJLSZ,O,O,O,X,X,X,X,O,X,X
TOIJLZS,O,O,O,X,X,X,X,O,X,X
TOIJSLZ,O,X,O,X,X,X,X,O,X,X
TOIJSZL,O,X,O,X,X,X,O,O,X,X
TOIJZLS,O,X,O,X,X,X,O,O,X,X
TOIJZSL,X,X,O,X,X,X,O,O,X,X
TOISLJZ,O,O,O,X,X,X,X,X,X,X
TOISLZJ,O,X,X,X,X,X,O,X,X,X
TOISJLZ,O,O,O,X,X,X,X,X,X,X
TOISJZL,O,X,O,X,X,X,O,X,X,X
TOISZLJ,O,X,X,X,X,X,O,X,X,X
TOISZJL,O,X,O,X,X,X,O,X,X,X
TOIZLJS,O,X,X,X,X,X,O,X,X,X
TOIZLSJ,X,X,X,X,X,X,O,O,X,X
TOIZJLS,O,X,O,X,X,X,O,X,X,X
TOIZJSL,X,X,O,X,X,X,O,X,X,X
TOIZSLJ,X,X,X,X,X,X,O,X,X,X
TOIZSJL,X,X,O,X,X,X,O,X,X,X
TOLIJSZ,O,O,O,X,X,X,X,O,X,X
TOLIJZS,O,O,O,X,X,X,X,O,X,X
TOLISJZ,O,O,O,X,X,X,X,O,X,X
TOLISZJ,O,O,O,X,X,X,O,O,X,X
TOLIZJS,O,X,O,X,X,X,O,X,X,X
TOLIZSJ,X,X,O,X,X,X,O,O,X,X
TOLJISZ,O,O,O,X,X,X,X,O,X,X
TOLJIZS,O,O,O,X,X,X,X,O,X,X
TOLJSIZ,O,O,O,X,X,X,X,O,X,X
TOLJSZI,O,O,O,O,O,X,X,O,X,X
TOLJZIS,O,O,O,X,X,X,X,O,X,X
TOLJZSI,O,O,O,X,X,X,X,O,X,X
TOLSIJZ,O,O,O,X,X,X,X,O,X,X
TOLSIZJ,O,O,O,X,X,X,O,O,X,X
TOLSJIZ,O,O,O,X,X,X,X,O,X,X
TOLSJZI,O,O,O,O,O,X,X,O,X,X
TOLSZIJ,O,O,O,O,O,X,O,X,X,X
TOLSZJI,O,O,O,O,O,X,O,O,X,X
TOLZIJS,O,X,O,X,X,X,O,X,X,X
TOLZISJ,X,X,O,X,X,X,O,X,X,X
TOLZJIS,O,O,O,X,X,X,O,X,X,X
TOLZJSI,O,O,O,X,X,X,O,X,X,X
TOLZSIJ,O,O,O,X,X,X,O,X,X,X
TOLZSJI,O,O,O,X,X,X,O,X,X,X
TOJILSZ,O,O,O,X,X,X,X,O,X,X
TOJILZS,O,O,O,X,X,X,X,O,X,X
TOJISLZ,O,X,O,X,X,X,X,O,X,X
TOJISZL,O,X,O,X,X,X,O,O,X,X
TOJIZLS,O,X,O,X,X,X,O,O,X,X
TOJIZSL,X,X,O,X,X,X,O,O,X,X
TOJLISZ,O,O,O,X,X,X,X,O,X,X
TOJLIZS,O,O,O,X,X,X,X,O,X,X
TOJLSIZ,O,O,O,X,X,X,X,O,X,X
TOJLSZI,O,O,O,O,X,X,X,O,X,X
TOJLZIS,O,O,O,X,X,X,X,O,X,X
TOJLZSI,O,O,O,X,X,X,X,O,X,X
TOJSILZ,O,O,O,X,X,X,X,O,X,X
TOJSIZL,O,X,O,X,X,O,O,O,X,X
TOJSLIZ,O,O,O,X,X,X,X,O,X,X
TOJSLZI,O,O,O,O,X,O,X,O,X,X
TOJSZIL,O,O,O,O,X,O,O,O,X,X
TOJSZLI,O,O,O,O,X,O,O,O,X,X
TOJZILS,O,X,O,X,X,X,O,O,X,X
TOJZISL,X,X,O,X,X,O,O,O,X,X
TOJZLIS,O,X,O,X,X,X,X,O,X,X
TOJZLSI,O,X,O,X,X,X,O,O,X,X
TOJZSIL,O,X,O,X,X,O,O,O,X,X
TOJZSLI,O,X,O,X,X,O,O,O,X,X
TOSILJZ,O,O,O,X,X,X,X,X,X,X
TOSILZJ,O,X,X,X,X,X,O,X,X,X
TOSIJLZ,O,O,O,X,X,X,X,X,X,X
TOSIJZL,O,X,O,X,X,O,O,X,X,X
TOSIZLJ,O,X,X,X,X,O,O,X,X,X
TOSIZJL,O,X,O,X,X,O,O,X,X,X
TOSLIJZ,O,O,O,X,X,X,X,X,X,X
TOSLIZJ,O,O,O,X,X,X,O,X,X,X
TOSLJIZ,O,O,O,X,X,X,X,X,X,X
TOSLJZI,O,O,O,O,O,O,X,X,X,X
TOSLZIJ,O,O,O,O,O,O,O,X,X,X
TOSLZJI,O,O,O,O,O,O,O,X,X,X
TOSJILZ,O,O,O,X,X,X,X,X,X,X
TOSJIZL,O,X,O,X,X,O,O,X,X,X
TOSJLIZ,O,O,O,X,X,X,X,X,X,X
TOSJLZI,O,O,O,O,X,O,X,X,X,X
TOSJZIL,O,O,O,O,X,O,O,X,X,X
TOSJZLI,O,O,O,O,X,O,O,X,X,X
TOSZILJ,O,O,X,O,O,O,O,X,X,X
TOSZIJL,O,O,O,O,X,O,O,X,X,X
TOSZLIJ,O,O,X,O,O,O,O,X,X,X
TOSZLJI,O,O,X,O,O,O,O,X,X,X
TOSZJIL,O,O,O,O,X,O,O,X,X,X
TOSZJLI,O,O,O,O,X,O,O,X,X,X
TOZILJS,O,X,X,X,X,X,O,X,X,X
TOZILSJ,X,X,X,X,X,X,O,X,X,X
TOZIJLS,O,X,O,X,X,X,O,X,X,X
TOZIJSL,X,X,O,X,X,O,O,X,X,X
TOZISLJ,X,X,X,X,X,O,O,X,X,X
TOZISJL,X,X,O,X,X,O,O,X,X,X
TOZLIJS,O,X,O,X,X,X,X,X,X,X
TOZLISJ,X,X,O,X,X,X,X,X,X,X
TOZLJIS,O,X,O,X,X,X,X,X,X,X
TOZLJSI,O,X,O,X,X,X,O,X,X,X
TOZLSIJ,O,X,O,X,X,X,X,X,X,X
TOZLSJI,O,X,O,X,X,X,O,X,X,X
TOZJILS,O,X,O,X,X,X,O,X,X,X
TOZJISL,X,X,O,X,X,O,O,X,X,X
TOZJLIS,O,X,O,X,X,X,X,X,X,X
TOZJLSI,O,X,O,X,X,X,O,X,X,X
TOZJSIL,O,X,O,X,X,O,O,X,X,X
TOZJSLI,O,X,O,X,X,O,O,X,X,X
TOZSILJ,O,X,X,X,X,O,O,X,X,X
TOZSIJL,O,X,O,X,X,O,O,X,X,X
TOZSLIJ,O,X,X,X,X,O,O,X,X,X
TOZSLJI,O,X,X,X,X,O,O,X,X,X
TOZSJIL,O,X,O,X,X,O,O,X,X,X
TOZSJLI,O,X,O,X,X,O,O,X,X,X
ITLJSZO,O,O,X,O,O,X,O,O,X,X
ITLJSOZ,O,O,X,X,X,X,X,O,X,X
ITLJZSO,O,X,X,X,X,X,O,O,X,X
ITLJZOS,O,O,X,X,X,X,O,O,X,X
ITLJOSZ,O,O,X,X,X,X,X,O,X,X
ITLJOZS,O,O,X,X,X,X,X,O,X,X
ITLSJZO,O,O,X,O,O,X,O,O,X,X
ITLSJOZ,O,O,X,X,X,X,X,O,X,X
ITLSZJO,O,O,X,O,O,X,O,O,X,X
ITLSZOJ,O,O,X,O,O,X,O,O,X,X
ITLSOJZ,O,O,X,X,X,X,X,O,X,X
ITLSOZJ,O,O,X,X,X,X,O,O,X,X
ITLZJSO,O,X,X,X,X,X,O,O,X,X
ITLZJOS,O,O,X,X,X,X,O,O,X,X
ITLZSJO,X,O,X,X,O,X,O,O,X,X
ITLZSOJ,X,O,X,X,O,X,O,O,X,X
ITLZOJS,O,X,X,X,X,X,O,X,X,X
ITLZOSJ,X,X,X,X,X,X,O,O,X,X
ITLOJSZ,O,O,X,X,X,X,X,O,X,X
ITLOJZS,O,O,X,X,X,X,X,O,X,X
ITLOSJZ,O,O,X,X,X,X,X,O,X,X
ITLOSZJ,O,O,X,X,X,X,O,O,X,X
ITLOZJS,O,X,X,X,X,X,O,X,X,X
ITLOZSJ,X,X,X,X,X,X,O,O,X,X
ITJLSZO,O,O,X,O,X,X,O,O,X,X
ITJLSOZ,O,O,X,X,X,X,X,O,X,X
ITJLZSO,O,X,X,X,X,X,O,O,X,X
ITJLZOS,O,O,X,X,X,X,O,O,X,X
ITJLOSZ,O,O,X,X,X,X,X,O,X,X
ITJLOZS,O,O,X,X,X,X,X,O,X,X
ITJSLZO,O,O,O,O,X,X,O,O,X,X
ITJSLOZ,O,O,X,X,X,X,X,O,X,X
ITJSZLO,O,O,O,O,X,X,O,O,X,X
ITJSZOL,O,O,O,O,X,X,O,O,X,X
ITJSOLZ,O,O,O,X,X,X,X,O,X,X
ITJSOZL,O,X,O,X,X,X,X,O,X,X
ITJZLSO,O,X,O,X,X,X,O,O,X,X
ITJZLOS,O,O,X,X,X,X,X,O,X,X
ITJZSLO,O,X,O,O,X,X,O,O,X,X
ITJZSOL,O,X,O,O,X,X,O,O,X,X
ITJZOLS,O,X,O,X,X,X,O,O,X,X
ITJZOSL,X,X,O,X,X,O,O,O,X,X
ITJOLSZ,O,O,O,X,X,X,X,O,X,X
ITJOLZS,O,O,O,X,X,X,X,O,X,X
ITJOSLZ,O,X,O,X,X,X,X,O,X,X
ITJOSZL,O,X,O,X,X,X,X,O,X,X
ITJOZLS,O,X,O,X,X,X,X,O,X,X
ITJOZSL,X,X,O,X,X,X,X,O,X,X
ITSLJZO,O,O,O,O,O,X,O,O,X,X
ITSLJOZ,O,O,X,X,X,X,X,O,X,X
ITSLZJO,O,O,X,O,O,X,O,O,X,X
ITSLZOJ,O,O,X,O,O,X,O,O,X,X
ITSLOJZ,O,O,O,X,X,X,X,O,X,X
ITSLOZJ,O,O,X,X,X,X,O,O,X,X
ITSJLZO,O,O,O,O,X,X,O,O,X,X
ITSJLOZ,O,O,X,X,X,X,X,O,X,X
ITSJZLO,O,O,O,O,X,X,O,O,X,X
ITSJZOL,O,O,O,O,X,X,O,O,X,X
ITSJOLZ,O,O,O,X,X,X,X,O,X,X
ITSJOZL,O,X,O,X,X,X,X,O,X,X
ITSZLJO,O,O,X,O,O,X,O,O,X,X
ITSZLOJ,O,O,X,O,O,X,O,O,X,X
ITSZJLO,O,O,O,O,O,X,O,X,X,X
ITSZJOL,O,O,O,O,X,X,O,X,X,X
ITSZOLJ,O,O,X,O,O,X,O,X,X,X
ITSZOJL,O,O,O,O,X,X,O,X,X,X
ITSOLJZ,O,O,O,X,X,X,X,X,X,X
ITSOLZJ,O,X,X,X,X,X,O,X,X,X
ITSOJLZ,O,O,O,X,X,X,X,X,X,X
ITSOJZL,O,X,O,X,X,X,O,X,X,X
ITSOZLJ,O,X,X,X,X,X,O,X,X,X
ITSOZJL,O,X,O,X,X,X,O,X,X,X
ITZLJSO,O,X,X,X,X,X,O,O,X,X
ITZLJOS,O,O,X,X,X,X,O,O,X,X
ITZLSJO,X,O,X,X,O,X,O,O,X,X
ITZLSOJ,X,O,X,X,O,X,O,O,X,X
ITZLOJS,O,X,X,X,X,X,O,X,X,X
ITZLOSJ,X,X,X,X,X,X,O,O,X,X
ITZJLSO,O,X,X,X,X,X,O,O,X,X
ITZJLOS,O,O,X,X,X,X,X,O,X,X
ITZJSLO,O,X,X,O,X,X,O,O,X,X
ITZJSOL,O,X,X,O,X,X,O,O,X,X
ITZJOLS,O,X,X,X,X,X,O,O,X,X
ITZJOSL,X,X,X,X,X,O,O,O,X,X
ITZSLJO,O,O,X,O,O,X,O,O,X,X
ITZSLOJ,O,O,X,O,O,X,O,O,X,X
ITZSJLO,O,O,X,O,O,X,O,X,X,X
ITZSJOL,O,O,X,O,X,X,O,X,X,X
ITZSOLJ,O,O,X,O,O,X,O,X,X,X
ITZSOJL,O,O,X,O,X,X,O,X,X,X
ITZOLJS,O,X,X,X,X,X,O,X,X,X
ITZOLSJ,X,X,X,X,X,X,O,O,X,X
ITZOJLS,O,X,X,X,X,X,O,X,X,X
ITZOJSL,X,X,X,X,X,O,O,X,X,X
ITZOSLJ,X,X,X,X,X,O,O,X,X,X
ITZOSJL,X,X,X,X,X,O,O,X,X,X
ITOLJSZ,O,O,O,X,X,X,X,O,X,X
ITOLJZS,O,O,O,X,X,X,X,O,X,X
ITOLSJZ,O,O,O,X,X,X,X,O,X,X
ITOLSZJ,O,X,O,X,X,X,O,O,X,X
ITOLZJS,O,X,O,X,X,X,O,X,X,X
ITOLZSJ,X,X,O,X,X,X,O,O,X,X
ITOJLSZ,O,O,O,X,X,X,X,O,X,X
ITOJLZS,O,O,O,X,X,X,X,O,X,X
ITOJSLZ,O,X,O,X,X,X,X,O,X,X
ITOJSZL,O,X,O,X,X,X,O,O,X,X
ITOJZLS,O,X,O,X,X,X,O,O,X,X
ITOJZSL,X,X,O,X,X,X,O,O,X,X
ITOSLJZ,O,O,O,X,X,X,X,X,X,X
ITOSLZJ,O,X,X,X,X,X,O,X,X,X
ITOSJLZ,O,O,O,X,X,X,X,X,X,X
ITOSJZL,O,X,O,X,X,X,O,X,X,X
ITOSZLJ,O,X,X,X,X,X,O,X,X,X
ITOSZJL,O,X,O,X,X,X,O,X,X,X
ITOZLJS,O,X,X,X,X,X,O,X,X,X
ITOZLSJ,X,X,X,X,X,X,O,O,X,X
ITOZJLS,O,X,O,X,X,X,O,X,X,X
ITOZJSL,X,X,O,X,X,X,O,X,X,X
ITOZSLJ,X,X,X,X,X,X,O,X,X,X
ITOZSJL,X,X,O,X,X,X,O,X,X,X
ILTJSZO,O,O,O,O,O,X,O,O,X,X
ILTJSOZ,O,O,O,X,X,X,X,O,X,X
ILTJZSO,O,X,O,X,X,X,O,O,X,X
ILTJZOS,O,O,O,X,X,X,O,O,X,X
ILTJOSZ,O,O,O,X,X,X,X,O,X,X
ILTJOZS,O,O,O,X,X,X,X,O,X,X
ILTSJZO,O,O,O,O,O,X,O,O,X,X
ILTSJOZ,O,O,O,X,X,X,X,O,X,X
ILTSZJO,O,O,O,O,O,X,O,O,X,X
ILTSZOJ,O,O,O,O,O,X,O,O,X,X
ILTSOJZ,O,O,O,X,X,X,X,O,X,X
ILTSOZJ,O,O,O,X,X,X,O,O,X,X
ILTZJSO,O,X,X,X,X,X,O,O,X,X
ILTZJOS,O,O,X,X,X,X,O,O,X,X
ILTZSJO,X,O,X,X,O,X,O,O,X,X
ILTZSOJ,X,O,X,X,O,X,O,O,X,X
ILTZOJS,O,X,X,X,X,X,O,X,X,X
ILTZOSJ,X,X,X,X,X,X,O,O,X,X
ILTOJSZ,O,O,O,X,X,X,X,O,X,X
ILTOJZS,O,O,O,X,X,X,X,O,X,X
ILTOSJZ,O,O,O,X,X,X,X,O,X,X
ILTOSZJ,X,O,O,X,X,X,O,O,X,X
ILTOZJS,O,X,O,X,X,X,O,X,X,X
ILTOZSJ,X,X,O,X,X,X,O,O,X,X
ILJTSZO,O,O,O,O,O,X,O,O,X,X
ILJTSOZ,O,O,O,X,X,X,X,O,X,X
ILJTZSO,O,X,O,X,X,X,O,O,X,X
ILJTZOS,O,O,O,X,X,X,O,O,X,X
ILJTOSZ,O,O,O,X,X,X,X,O,X,X
ILJTOZS,O,O,O,X,X,X,X,O,X,X
ILJSTZO,O,O,O,X,X,X,O,O,X,X
ILJSTOZ,O,O,O,X,X,X,X,O,O,X
ILJSZTO,X,X,O,O,O,X,O,O,O,X
ILJSZOT,X,X,O,O,O,X,O,O,O,X
ILJSOTZ,O,X,X,X,X,X,X,O,O,X
ILJSOZT,O,X,O,X,X,X,O,O,O,X
ILJZTSO,X,X,O,X,X,X,O,O,O,X
ILJZTOS,X,X,O,X,X,X,O,O,O,X
ILJZSTO,O,O,O,O,O,X,O,O,O,X
ILJZSOT,O,X,O,O,O,X,O,O,O,X
ILJZOTS,X,X,X,X,X,X,O,O,O,X
ILJZOST,X,X,O,X,X,O,O,O,O,X
ILJOTSZ,O,X,X,X,X,X,X,O,X,X
ILJOTZS,X,X,X,X,X,X,X,O,X,X
ILJOSTZ,O,X,X,X,X,X,X,O,O,X
ILJOSZT,O,X,X,X,X,X,O,O,O,X
ILJOZTS,X,X,X,X,X,X,O,O,O,X
ILJOZST,O,X,X,X,X,X,O,O,O,X
ILSTJZO,O,O,O,X,O,X,O,O,X,X
ILSTJOZ,O,O,O,X,X,X,X,O,O,X
ILSTZJO,O,O,O,X,O,X,O,O,O,X
ILSTZOJ,O,O,O,X,O,X,O,O,O,X
ILSTOJZ,O,O,O,X,X,X,X,O,X,X
ILSTOZJ,O,O,O,X,X,X,O,O,X,X
ILSJTZO,O,O,O,X,X,X,O,O,X,X
ILSJTOZ,O,O,O,X,X,X,X,O,O,X
ILSJZTO,X,X,O,O,O,X,O,O,O,X
ILSJZOT,X,X,O,O,O,X,O,O,O,X
ILSJOTZ,O,X,X,X,X,X,X,O,O,X
ILSJOZT,O,X,O,X,X,X,O,O,O,X
ILSZTJO,X,O,O,O,O,X,O,O,O,X
ILSZTOJ,X,O,O,X,O,X,O,O,O,X
ILSZJTO,X,O,O,O,O,X,O,O,O,X
ILSZJOT,X,X,O,O,O,X,O,O,O,X
ILSZOTJ,X,O,X,X,O,X,O,O,O,X
ILSZOJT,X,X,X,O,O,X,O,O,O,X
ILSOTJZ,O,O,O,X,X,X,X,O,X,X
ILSOTZJ,X,X,O,X,X,X,O,O,X,X
ILSOJTZ,O,X,X,X,X,X,X,O,O,X
ILSOJZT,O,X,O,X,X,X,O,O,O,X
ILSOZTJ,X,X,X,X,X,X,O,O,O,X
ILSOZJT,O,X,X,X,X,X,O,O,O,X
ILZTJSO,X,X,X,X,X,X,O,O,O,X
ILZTJOS,X,O,X,X,X,X,O,O,O,X
ILZTSJO,X,O,X,X,O,X,O,O,O,X
ILZTSOJ,X,O,X,X,O,X,O,O,O,X
ILZTOJS,X,X,X,X,X,X,O,X,O,X
ILZTOSJ,X,X,X,X,X,X,O,O,O,X
ILZJTSO,X,X,X,X,X,X,O,O,O,X
ILZJTOS,X,X,X,X,X,X,O,O,O,X
ILZJSTO,O,O,X,O,O,X,O,O,O,X
ILZJSOT,O,X,X,O,O,X,O,O,O,X
ILZJOTS,X,X,X,X,X,X,O,O,O,X
ILZJOST,X,X,X,X,X,O,O,O,O,X
ILZSTJO,O,O,X,O,O,X,O,O,O,X
ILZSTOJ,O,O,X,O,O,X,O,O,O,X
ILZSJTO,O,O,X,O,O,X,O,O,O,X
ILZSJOT,O,X,X,O,O,X,O,O,O,X
ILZSOTJ,O,O,X,X,O,X,O,O,O,X
ILZSOJT,O,X,X,O,O,X,O,O,O,X
ILZOTJS,X,X,X,X,X,X,O,X,X,X
ILZOTSJ,X,X,X,X,X,X,O,O,X,X
ILZOJTS,X,X,X,X,X,X,O,X,X,X
ILZOJST,X,X,X,X,X,O,O,X,X,X
ILZOSTJ,X,O,X,X,O,O,O,O,X,X
ILZOSJT,X,X,X,X,O,O,O,O,X,X
ILOTJSZ,O,O,X,X,X,X,X,O,X,X
ILOTJZS,X,O,X,X,X,X,X,O,X,X
ILOTSJZ,X,O,X,X,X,X,X,O,X,X
ILOTSZJ,X,O,X,X,X,X,O,O,X,X
