sequence,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFxcBTeBGiBl?mBXoBSyB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFxcBTeBlmBf?tB6tBGsB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Mel7IvhFCdBTeB/mBx?nBGtB0sB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Mel7IvhFWiBTeB/mBx?nB0nBSyB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Mel7IvhFzcBGeB/mBx?nBCtBUtB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFxcBGiB/oBl?mBzsB6tB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Mel7IvhFGeB/mBRiBU?iB6tBzsB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFxcBGiBTjBl?mBXoBSyB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFumB3iB5oBi?hBFjBzsB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFzdBumBlnBX?tB5oBirB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhF+iBKjB3hB5?oBlmBzsB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFSiBTjBxmBl?mBGtBXtB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFSjB3hBxnBl?mBusBTtB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFTjBxmB6mB/?nBGoBVyB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhF6jBRiB/mBF?iBusBTtB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFTjBxmB6mBG?tB/sBFtB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhF6jBRiB/mBl?nBTtBGsB
ISOJLTZ,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
ISOJLZT,X,X,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X
ISOJZTL,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
ISOJZLT,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X
ISOZTLJ,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
ISOZTJL,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
ISOZLTJ,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
ISOZLJT,X,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X
ISOZJTL,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
ISOZJLT,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
IZTLJSO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZTLJOS,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IZTLSJO,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IZTLSOJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZTLOJS,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
IZTLOSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZTJLSO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZTJLOS,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IZTJSLO,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZTJSOL,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IZTJOLS,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X
IZTJOSL,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
IZTSLJO,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZTSLOJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZTSJLO,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IZTSJOL,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZTSOLJ,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X
IZTSOJL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZTOLJS,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
IZTOLSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZTOJLS,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
IZTOJSL,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
IZTOSLJ,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IZTOSJL,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X
IZLTJSO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLTJOS,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IZLTSJO,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IZLTSOJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLTOJS,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
IZLTOSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZLJTSO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLJTOS,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IZLJSTO,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZLJSOT,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
IZLJOTS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IZLJOST,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
IZLSTJO,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IZLSTOJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLSJTO,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZLSJOT,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
IZLSOTJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLSOJT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLOTJS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZLOTSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOJTS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZLOJST,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IZLOSTJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLOSJT,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZJTLSO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
IZJTLOS,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IZJTSLO,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJTSOL,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
IZJTOLS,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X
IZJTOSL,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
IZJLTSO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
IZJLTOS,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IZJLSTO,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X
IZJLSOT,O,O,X,X,X,X,X,X,O,X,X,O,O,X,O,X,X
IZJLOTS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IZJLOST,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X
IZJSTLO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZJSTOL,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
IZJSLTO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IZJSLOT,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X
IZJSOTL,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZJSOLT,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,X
IZJOTLS,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X
IZJOTSL,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJOLTS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IZJOLST,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O,X
IZJOSTL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJOSLT,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X
IZSTLJO,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZSTLOJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSTJLO,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X
IZSTJOL,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IZSTOLJ,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X
IZSTOJL,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X
IZSLTJO,O,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
IZSLTOJ,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZSLJTO,O,X,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X
IZSLJOT,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X
IZSLOTJ,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZSLOJT,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZSJTLO,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X
IZSJTOL,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZSJLTO,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSJLOT,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
IZSJOTL,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSJOLT,X,X,O,X,X,X,X,X,O,X,O,O,O,X,X,O,X
IZSOTLJ,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IZSOTJL,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZSOLTJ,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IZSOLJT,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
IZSOJTL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSOJLT,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
IZOTLJS,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O
IZOTLSJ,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O
IZOTJLS,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O
IZOTJSL,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
IZOTSLJ,X,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O
IZOTSJL,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X
IZOLTJS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
IZOLTSJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IZOLJTS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZOLJST,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,X,X
IZOLSTJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOLSJT,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZOJTLS,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X
IZOJTSL,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZOJLTS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
IZOJLST,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,O,X
IZOJSTL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOJSLT,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,O,X
IZOSTLJ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOSTJL,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IZOSLTJ,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOSLJT,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IZOSJTL,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOSJLT,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
IOTLJSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IOTLJZS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IOTLSJZ,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IOTLSZJ,X,X,O,O,X,X,O,X,X,X,X,X,O,O,X,X,O
IOTLZJS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IOTLZSJ,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O
IOTJLSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOTJLZS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
IOTJSLZ,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
IOTJSZL,X,X,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X
IOTJZLS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
IOTJZSL,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
IOTSLJZ,X,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X
IOTSLZJ,X,X,O,O,O,X,O,X,X,X,X,X,O,O,X,X,O
IOTSJLZ,X,X,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X
IOTSJZL,X,X,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X
IOTSZLJ,X,X,O,O,O,X,X,X,X,X,X,X,O,O,X,X,O
IOTSZJL,X,X,X,O,X,O,O,X,O,X,X,X,X,O,X,X,X
IOTZLJS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
IOTZLSJ,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O
IOTZJLS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
IOTZJSL,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
IOTZSLJ,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O
IOTZSJL,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X
IOLTJSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLTJZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOLTSJZ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLTSZJ,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,O
IOLTZJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOLTZSJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IOLJTSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLJTZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IOLJSTZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IOLJSZT,X,X,X,X,X,X,O,X,O,X,O,O,O,X,O,X,X
IOLJZTS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IOLJZST,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,X,X
IOLSTJZ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLSTZJ,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOLSJTZ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLSJZT,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
IOLSZTJ,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOLSZJT,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
IOLZTJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOLZTSJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IOLZJTS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IOLZJST,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,X,X
IOLZSTJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLZSJT,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IOJTLSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJTLZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
IOJTSLZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJTSZL,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOJTZLS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
IOJTZSL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJLTSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJLTZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
IOJLSTZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
IOJLSZT,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,O,X
IOJLZTS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
IOJLZST,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,O,X
IOJSTLZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJSTZL,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOJSLTZ,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
IOJSLZT,X,X,X,O,X,X,X,X,O,X,O,O,O,X,O,O,X
IOJSZTL,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOJSZLT,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,O,X
IOJZTLS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
IOJZTSL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJZLTS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
IOJZLST,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,O,X
IOJZSTL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJZSLT,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,O,X
IOSTLJZ,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IOSTLZJ,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
IOSTJLZ,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
IOSTJZL,X,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
IOSTZLJ,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IOSTZJL,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
IOSLTJZ,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IOSLTZJ,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
IOSLJTZ,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IOSLJZT,X,X,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X
IOSLZTJ,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
IOSLZJT,X,X,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X
IOSJTLZ,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IOSJTZL,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
IOSJLTZ,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
IOSJLZT,X,X,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X
IOSJZTL,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
IOSJZLT,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X
IOSZTLJ,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IOSZTJL,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
IOSZLTJ,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IOSZLJT,X,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X
IOSZJTL,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
IOSZJLT,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
IOZTLJS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
IOZTLSJ,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O
IOZTJLS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
IOZTJSL,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
IOZTSLJ,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O
IOZTSJL,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X
IOZLTJS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOZLTSJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IOZLJTS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IOZLJST,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,X,X
IOZLSTJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZLSJT,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IOZJTLS,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X
IOZJTSL,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOZJLTS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
IOZJLST,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,O,X
IOZJSTL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZJSLT,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,O,X
IOZSTLJ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZSTJL,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IOZSLTJ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZSLJT,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOZSJTL,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZSJLT,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
LTIJSZO,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
LTIJSOZ,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
LTIJZSO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTIJZOS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIJOSZ,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LTIJOZS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTISJZO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTISJOZ,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTISZJO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTISZOJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTISOJZ,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTISOZJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIZJSO,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTIZJOS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIZSJO,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LTIZSOJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIZOJS,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
LTIZOSJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTIOJSZ,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
LTIOJZS,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
LTIOSJZ,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
LTIOSZJ,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
LTIOZJS,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
LTIOZSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTJISZO,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
LTJISOZ,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
LTJIZSO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTJIZOS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTJIOSZ,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
LTJIOZS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTJSIZO,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
LTJSIOZ,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
LTJSZIO,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
LTJSZOI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTJSOIZ,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
LTJSOZI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTJZISO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTJZIOS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTJZSIO,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTJZSOI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTJZOIS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTJZOSI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTJOISZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTJOIZS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTJOSIZ,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
LTJOSZI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTJOZIS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTJOZSI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTSIJZO,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSIJOZ,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSIZJO,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSIZOJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSIOJZ,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSIOZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSJIZO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
LTSJIOZ,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
LTSJZIO,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
LTSJZOI,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTSJOIZ,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
