sequence,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeaBJvhFWiBxdB?TgBXjBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8Je37IvhFRdBcjB?ylBzhB+nBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeR9IvhFcjBmgB?CiB3gBTnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8Jez7IvhFRdBcjB?2lBfnB6nBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8Je37IvhFGdBTeB?ylBRnBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8Jez7IvhFCdB2lB?xiBXjBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8Je37IvhFqiBTeB?mhBxlBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JecAJvhFehBRdB?SjBzhB3nBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeR9IvhFSjBTgB?mhBUhB3nBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeC8IvhFxdB2lB?0hBXjBTnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeSCJvhFTeBmgB?3gBRnBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeR8IvhFCeBTgB?2mBXjBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeG+IvhFxgBymB?ziB3gBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JecAJvhFehBzcB?SjBRnB3nBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JecAJvhFehBTeB?RnBfnB6nBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeC8IvhF2lB0hB?xiBXjBTnBFqB
ISZTJLO,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ISZTJOL,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ISZTOLJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISZTOJL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZLTJO,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ISZLTOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZLJTO,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ISZLJOT,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
ISZLOTJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZLOJT,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
ISZJTLO,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ISZJTOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZJLTO,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O
ISZJLOT,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,O
ISZJOTL,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ISZJOLT,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
ISZOTLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOTJL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZOLTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOLJT,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ISZOJTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZOJLT,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
ISOTLJZ,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
ISOTLZJ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ISOTJLZ,O,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X
ISOTJZL,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOTZLJ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
ISOTZJL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
ISOLTJZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ISOLTZJ,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ISOLJTZ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ISOLJZT,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
ISOLZTJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ISOLZJT,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ISOJTLZ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ISOJTZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJLTZ,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
ISOJLZT,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X
ISOJZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJZLT,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ISOZTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZLTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZLJT,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ISOZJTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZJLT,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZTLJSO,O,O,O,X,O,O,X,X,X,X,X,X,X,O,O,X
IZTLJOS,O,O,O,O,O,O,X,X,X,X,O,X,X,O,O,X
IZTLSJO,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X
IZTLSOJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTLOJS,X,X,O,X,O,O,X,X,X,X,O,X,X,O,O,X
IZTLOSJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTJLSO,O,O,O,X,O,O,X,X,X,X,X,X,X,O,O,O
IZTJLOS,O,O,O,O,O,O,X,X,X,X,O,X,X,O,O,O
IZTJSLO,O,O,X,O,X,O,X,X,X,X,X,X,X,O,O,O
IZTJSOL,O,O,X,O,X,O,X,X,X,X,X,X,X,O,O,X
IZTJOLS,O,O,O,O,O,O,X,X,X,X,O,X,X,O,O,O
IZTJOSL,O,O,X,O,X,O,X,X,X,X,X,X,X,O,O,X
IZTSLJO,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X
IZTSLOJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZTSJLO,O,O,X,O,X,O,X,X,X,X,X,X,X,O,O,X
IZTSJOL,O,O,X,O,X,O,X,X,X,X,X,X,X,O,O,X
IZTSOLJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSOJL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IZTOLJS,O,X,O,X,O,O,X,X,X,X,O,X,X,O,O,X
IZTOLSJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTOJLS,O,O,O,O,O,O,X,X,X,X,O,X,X,O,O,X
IZTOJSL,O,O,X,O,X,O,X,X,X,X,X,X,X,O,O,X
IZTOSLJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOSJL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IZLTJSO,X,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X
IZLTJOS,X,O,O,O,O,O,X,X,X,X,O,X,X,O,X,X
IZLTSJO,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X
IZLTSOJ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLTOJS,X,X,O,X,O,O,X,X,X,X,O,X,X,O,X,X
IZLTOSJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLJTSO,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O
IZLJTOS,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IZLJSTO,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O
IZLJSOT,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O
IZLJOTS,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IZLJOST,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,O
IZLSTJO,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
IZLSTOJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLSJTO,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
IZLSJOT,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X
IZLSOTJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLSOJT,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IZLOTJS,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X
IZLOTSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLOJTS,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IZLOJST,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
IZLOSTJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLOSJT,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IZJTLSO,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O
IZJTLOS,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
IZJTSLO,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZJTSOL,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZJTOLS,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
IZJTOSL,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZJLTSO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O
IZJLTOS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJLSTO,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O
IZJLSOT,O,O,O,X,O,O,O,X,X,O,X,X,X,X,X,O
IZJLOTS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJLOST,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,O
IZJSTLO,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IZJSTOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJSLTO,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O
IZJSLOT,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X,O
IZJSOTL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IZJSOLT,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X
IZJOTLS,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IZJOTSL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJOLTS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJOLST,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,O
IZJOSTL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJOSLT,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IZSTLJO,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
IZSTLOJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSTJLO,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IZSTJOL,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZSTOLJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTOJL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSLTJO,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
IZSLTOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSLJTO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IZSLJOT,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
IZSLOTJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOJT,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IZSJTLO,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IZSJTOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSJLTO,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O
IZSJLOT,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X,O
IZSJOTL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IZSJOLT,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X
IZSOTLJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOTJL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLTJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLJT,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
IZSOJTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJLT,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IZOTLJS,X,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X
IZOTLSJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOTJLS,X,O,O,O,O,O,X,X,X,X,O,X,X,X,O,X
IZOTJSL,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X
IZOTSLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTSJL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IZOLTJS,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X
IZOLTSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOLJTS,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IZOLJST,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
IZOLSTJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOLSJT,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOJTLS,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IZOJTSL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOJLTS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOJLST,X,O,O,O,O,O,O,X,X,X,O,X,X,X,X,O
IZOJSTL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOJSLT,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IZOSTLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSTJL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOSLTJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSLJT,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOSJTL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJLT,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTLJSZ,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
IOTLJZS,X,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X
IOTLSJZ,X,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X
IOTLSZJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOTLZJS,X,X,O,X,O,X,O,O,X,X,O,X,O,O,O,X
IOTLZSJ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IOTJLSZ,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
IOTJLZS,X,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X
IOTJSLZ,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
IOTJSZL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTJZLS,X,O,O,X,O,O,O,X,X,X,O,X,X,X,O,O
IOTJZSL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTSLJZ,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOTSLZJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOTSJLZ,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOTSJZL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTSZLJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTSZJL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTZLJS,X,X,O,X,O,X,O,O,X,X,O,X,X,O,O,X
IOTZLSJ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IOTZJLS,X,X,O,X,O,X,O,O,X,X,O,X,X,O,O,X
IOTZJSL,X,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X
IOTZSLJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTZSJL,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOLTJSZ,X,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X
IOLTJZS,X,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X
IOLTSJZ,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
IOLTSZJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLTZJS,X,X,O,X,O,X,O,O,X,X,O,X,O,O,O,X
IOLTZSJ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLJTSZ,X,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X
IOLJTZS,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
IOLJSTZ,X,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X
IOLJSZT,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
IOLJZTS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLJZST,X,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X
IOLSTJZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOLSTZJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLSJTZ,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
IOLSJZT,X,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X
IOLSZTJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLSZJT,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLZTJS,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IOLZTSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLZJTS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLZJST,X,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
IOLZSTJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLZSJT,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IOJTLSZ,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
IOJTLZS,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X
IOJTSLZ,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOJTSZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTZLS,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O,X
IOJTZSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJLTSZ,X,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X
IOJLTZS,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
IOJLSTZ,X,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X
IOJLSZT,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
IOJLZTS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJLZST,X,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X
IOJSTLZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOJSTZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSLTZ,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
IOJSLZT,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
IOJSZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSZLT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJZTLS,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJZTSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZLTS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZLST,X,O,O,X,O,O,O,X,X,X,O,X,X,X,X,O
IOJZSTL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZSLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSTLJZ,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOSTLZJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSTJLZ,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOSTJZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTZLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTZJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSLTJZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOSLTZJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSLJTZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOSLJZT,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOSLZTJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSLZJT,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOSJTLZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOSJTZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJLTZ,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOSJLZT,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOSJZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJZLT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSZTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZLTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZLJT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSZJTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZJLT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZTLJS,X,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X
IOZTLSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZTJLS,X,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X
IOZTJSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOZTSLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTSJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOZLTJS,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IOZLTSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZLJTS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZLJST,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
IOZLSTJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZLSJT,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IOZJTLS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZJTSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJLTS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJLST,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,O
IOZJSTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJSLT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZSTLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSLTJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSLJT,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZSJTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSJLT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIJSZO,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTIJSOZ,X,O,X,X,O,O,O,X,O,X,O,X,X,X,X,X
LTIJZSO,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,O
LTIJZOS,X,O,O,X,O,O,O,X,X,X,O,X,X,O,X,O
LTIJOSZ,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
LTIJOZS,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
LTISJZO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTISJOZ,O,O,X,X,O,O,O,X,O,X,O,X,X,X,X,X
LTISZJO,O,O,X,X,O,X,O,O,X,X,X,X,X,O,X,X
LTISZOJ,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X
LTISOJZ,O,O,X,X,O,X,O,X,O,X,O,X,O,X,X,X
LTISOZJ,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
LTIZJSO,O,O,O,X,O,X,O,O,X,X,X,X,X,O,O,X
LTIZJOS,O,O,O,X,O,O,O,O,X,X,O,X,X,O,O,X
LTIZSJO,O,O,O,X,O,X,O,O,X,X,X,X,X,O,X,X
LTIZSOJ,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X
LTIZOJS,X,X,O,X,O,X,O,O,X,X,O,X,O,O,O,X
LTIZOSJ,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTIOJSZ,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
LTIOJZS,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
LTIOSJZ,X,O,X,X,O,X,O,X,O,X,O,X,O,X,X,X
LTIOSZJ,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
LTIOZJS,X,X,X,X,O,X,O,O,X,X,O,X,O,O,O,X
LTIOZSJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTJISZO,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X
LTJISOZ,X,O,X,X,O,O,O,X,O,O,O,O,X,X,X,X
LTJIZSO,X,O,O,X,O,X,O,X,X,O,X,X,X,O,X,O
LTJIZOS,X,O,O,X,O,O,O,X,X,X,O,X,X,O,X,O
LTJIOSZ,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
LTJIOZS,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
LTJSIZO,O,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X
LTJSIOZ,O,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X
LTJSZIO,O,O,O,O,X,X,X,O,X,O,X,O,X,X,X,O
LTJSZOI,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
LTJSOIZ,O,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X
LTJSOZI,X,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
LTJZISO,O,O,O,X,X,O,X,O,X,O,X,X,X,O,X,O
LTJZIOS,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,O
