sequence,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeU7IvhFqh?BTdBejB5jB3gBlsB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeR7IvhFGe?BTgBCiB/oBUiBlsB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8Je37IvhFqh?BTdBejB5jBUgBlsB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeU7IvhFqh?B2iB5jB3gBziBlsB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeR7IvhFuh?B1iB6jBTgB/sBUtB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8Je37IvhFqh?B2iB5jBUgBziBlsB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeU7IvhFRd?BSjBzhB3gBGoBlsB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8Je37IvhFuh?BajB5jBTiBUgBlsB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8Je37IvhFRd?BSjBzhBUgBGoBlsB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeR7IvhF6j?BTgBfnBUoBlnBGsB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeR7IvhFuh?BTgB0iB6oB/sBFtB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeU7IvhFzc?B5jBaoB3gBFnBusB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeR7IvhFFd?B6jBTgBfnBUoBusB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeaAJvhFug?BFdB5jBfnBznB8sB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeR7IvhFFd?B8iB+jBTgBfnBCtB
IZLOTJS,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZLOTSJ,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X
IZLOJTS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLOJST,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X
IZLOSTJ,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZLOSJT,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
IZJTLSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJTLOS,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZJTSLO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJTSOL,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IZJTOLS,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IZJTOSL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJLTSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJLTOS,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZJLSTO,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X
IZJLSOT,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IZJLOTS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJLOST,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X
IZJSTLO,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IZJSTOL,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IZJSLTO,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IZJSLOT,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZJSOTL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJSOLT,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IZJOTLS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJOTSL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJOLTS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJOLST,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X
IZJOSTL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJOSLT,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X
IZSTLJO,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X
IZSTLOJ,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X
IZSTJLO,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X
IZSTJOL,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IZSTOLJ,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X
IZSTOJL,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X
IZSLTJO,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X
IZSLTOJ,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X
IZSLJTO,X,X,X,O,O,O,X,X,X,X,X,X,O,X,O
IZSLJOT,X,X,X,O,X,O,X,X,X,X,X,X,X,O,O
IZSLOTJ,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X
IZSLOJT,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
IZSJTLO,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IZSJTOL,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IZSJLTO,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IZSJLOT,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSJOTL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZSJOLT,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSOTLJ,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X
IZSOTJL,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IZSOLTJ,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X
IZSOLJT,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
IZSOJTL,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IZSOJLT,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
IZOTLJS,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZOTLSJ,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X
IZOTJLS,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IZOTJSL,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IZOTSLJ,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X
IZOTSJL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZOLTJS,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IZOLTSJ,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X
IZOLJTS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOLJST,X,X,X,O,O,X,X,X,X,O,X,X,O,O,X
IZOLSTJ,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZOLSJT,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
IZOJTLS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOJTSL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOJLTS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOJLST,X,X,X,X,O,X,O,X,X,O,X,X,O,O,X
IZOJSTL,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IZOJSLT,X,X,X,X,O,X,O,X,X,O,X,X,O,O,X
IZOSTLJ,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZOSTJL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZOSLTJ,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZOSLJT,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
IZOSJTL,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IZOSJLT,X,X,X,X,O,X,X,X,X,O,X,X,O,O,X
IOTLJSZ,O,O,O,X,X,O,X,O,X,X,O,X,X,O,O
IOTLJZS,O,X,O,O,X,X,X,O,X,X,X,O,X,X,O
IOTLSJZ,X,O,O,X,X,O,X,O,X,X,O,X,X,O,O
IOTLSZJ,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X
IOTLZJS,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X
IOTLZSJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
IOTJLSZ,O,O,O,X,X,X,O,O,O,X,O,X,X,O,X
IOTJLZS,O,X,O,X,X,X,O,O,O,X,X,O,X,X,X
IOTJSLZ,O,O,O,X,O,X,O,O,O,X,O,X,X,O,X
IOTJSZL,O,O,X,X,O,X,O,O,O,X,O,X,X,X,X
IOTJZLS,O,X,O,X,X,X,O,O,O,X,X,O,X,X,X
IOTJZSL,O,X,X,X,O,X,O,O,O,X,X,X,X,X,X
IOTSLJZ,X,O,O,X,O,O,X,O,X,X,O,X,X,O,O
IOTSLZJ,X,O,X,X,O,X,X,O,X,X,O,O,O,X,X
IOTSJLZ,X,O,O,X,O,X,X,O,O,X,O,X,X,O,X
IOTSJZL,X,O,X,X,O,X,X,O,O,X,O,X,O,X,X
IOTSZLJ,X,O,X,X,O,X,X,O,X,O,O,O,O,X,X
IOTSZJL,X,O,X,X,O,X,X,O,X,X,O,X,O,X,X
IOTZLJS,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X
IOTZLSJ,X,O,X,X,X,X,X,O,X,O,X,O,O,X,X
IOTZJLS,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IOTZJSL,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOTZSLJ,X,O,X,X,X,X,X,O,X,O,X,O,O,X,X
IOTZSJL,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
IOLTJSZ,O,O,O,X,X,O,X,X,X,X,O,X,X,O,O
IOLTJZS,O,X,O,O,X,X,X,X,X,X,X,O,X,X,O
IOLTSJZ,X,O,O,X,X,O,X,X,X,X,O,X,X,O,O
IOLTSZJ,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
IOLTZJS,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOLTZSJ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IOLJTSZ,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
IOLJTZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOLJSTZ,X,O,X,X,O,O,X,X,X,X,O,X,X,O,O
IOLJSZT,X,O,X,X,O,O,X,X,X,X,O,X,X,O,O
IOLJZTS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOLJZST,X,X,X,O,O,X,X,X,X,X,O,X,X,O,O
IOLSTJZ,X,O,O,X,O,O,X,X,X,X,O,X,X,O,O
IOLSTZJ,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
IOLSJTZ,X,O,X,X,O,O,X,X,X,X,O,X,X,O,O
IOLSJZT,X,O,X,X,O,O,X,X,X,X,O,X,X,O,O
IOLSZTJ,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X
IOLSZJT,X,O,X,X,O,X,X,X,X,O,O,X,O,O,O
IOLZTJS,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOLZTSJ,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X
IOLZJTS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOLZJST,X,X,X,O,O,X,X,X,X,O,O,X,O,O,O
IOLZSTJ,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
IOLZSJT,X,O,X,X,X,X,X,X,X,O,O,X,O,O,O
IOJTLSZ,X,O,X,X,X,X,X,O,O,X,O,X,X,O,X
IOJTLZS,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOJTSLZ,X,O,X,X,O,X,X,O,O,X,O,X,X,O,X
IOJTSZL,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X
IOJTZLS,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOJTZSL,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
IOJLTSZ,X,O,X,X,X,X,X,X,O,X,O,X,X,O,O
IOJLTZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOJLSTZ,X,O,X,X,O,X,X,X,O,X,O,X,X,O,O
IOJLSZT,X,O,X,X,O,X,O,X,O,X,O,X,X,O,O
IOJLZTS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOJLZST,X,X,X,X,O,X,O,X,O,X,O,X,X,O,O
IOJSTLZ,X,O,X,X,O,X,X,O,O,X,O,X,X,O,X
IOJSTZL,X,O,X,X,O,X,X,O,X,X,O,X,O,X,X
IOJSLTZ,X,O,X,X,O,X,X,X,O,X,O,X,X,O,O
IOJSLZT,X,O,X,X,O,X,O,X,O,X,O,X,X,O,O
IOJSZTL,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
IOJSZLT,X,O,X,X,O,X,O,X,O,O,O,X,O,O,X
IOJZTLS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJZTSL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJZLTS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJZLST,X,X,X,X,O,X,O,X,O,O,O,X,O,O,X
IOJZSTL,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X
IOJZSLT,X,X,X,X,O,X,O,X,O,O,O,X,O,O,X
IOSTLJZ,X,O,O,X,O,O,X,O,X,X,O,X,X,O,O
IOSTLZJ,X,O,X,X,O,X,X,O,X,X,O,X,O,X,X
IOSTJLZ,X,O,O,X,O,X,X,O,O,X,O,X,X,O,X
IOSTJZL,X,O,X,X,O,X,X,O,O,X,O,X,O,X,X
IOSTZLJ,X,O,X,X,O,X,X,O,X,O,O,X,O,X,X
IOSTZJL,X,O,X,X,O,X,X,O,X,X,O,X,O,X,X
IOSLTJZ,X,O,O,X,O,O,X,X,X,X,O,X,X,O,O
IOSLTZJ,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
IOSLJTZ,X,O,X,X,O,O,X,X,X,X,O,X,X,O,O
IOSLJZT,X,O,X,X,O,O,X,X,X,X,O,X,X,O,O
IOSLZTJ,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X
IOSLZJT,X,O,X,X,O,X,X,X,X,O,O,X,O,O,O
IOSJTLZ,X,O,X,X,O,X,X,O,O,X,O,X,X,O,X
IOSJTZL,X,O,X,X,O,X,X,O,X,X,O,X,O,X,X
IOSJLTZ,X,O,X,X,O,X,X,X,O,X,O,X,X,O,O
IOSJLZT,X,O,X,X,O,X,X,X,O,X,O,X,X,O,O
IOSJZTL,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
IOSJZLT,X,O,X,X,O,X,X,X,O,O,O,X,O,O,X
IOSZTLJ,X,O,X,X,O,X,X,X,X,O,O,X,O,X,X
IOSZTJL,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
IOSZLTJ,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X
IOSZLJT,X,O,X,X,O,X,X,X,X,O,O,X,O,O,O
IOSZJTL,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
IOSZJLT,X,O,X,X,O,X,X,X,X,O,O,X,O,O,X
IOZTLJS,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOZTLSJ,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X
IOZTJLS,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOZTJSL,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOZTSLJ,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X
IOZTSJL,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOZLTJS,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOZLTSJ,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X
IOZLJTS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOZLJST,X,X,X,O,O,X,X,X,X,O,O,X,O,O,O
IOZLSTJ,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X
IOZLSJT,X,O,X,X,X,X,X,X,X,O,O,X,O,O,O
IOZJTLS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZJTSL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZJLTS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZJLST,X,X,X,X,O,X,O,X,X,O,O,X,O,O,X
IOZJSTL,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X
IOZJSLT,X,X,X,X,O,X,O,X,X,O,O,X,O,O,X
IOZSTLJ,X,O,X,X,O,X,X,X,X,O,O,X,O,X,X
IOZSTJL,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
IOZSLTJ,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X
IOZSLJT,X,O,X,X,O,X,X,X,X,O,O,X,O,O,O
IOZSJTL,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X
IOZSJLT,X,O,X,X,O,X,X,X,X,O,O,X,O,O,X
LTIJSZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
LTIJSOZ,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
LTIJZSO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
LTIJZOS,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
LTIJOSZ,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
LTIJOZS,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X
LTISJZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
LTISJOZ,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X
LTISZJO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LTISZOJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
LTISOJZ,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X
LTISOZJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
LTIZJSO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LTIZJOS,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
LTIZSJO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LTIZSOJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
LTIZOJS,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X
LTIZOSJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
LTIOJSZ,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X
LTIOJZS,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X
LTIOSJZ,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X
LTIOSZJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
LTIOZJS,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X
LTIOZSJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
LTJISZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
LTJISOZ,O,X,O,X,X,O,X,O,O,X,X,X,X,O,X
LTJIZSO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
LTJIZOS,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
LTJIOSZ,O,X,O,X,X,O,O,O,O,X,X,X,X,O,X
LTJIOZS,O,X,O,O,X,X,O,O,O,X,X,O,X,X,X
LTJSIZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
LTJSIOZ,O,O,O,X,X,O,X,O,O,X,X,X,X,O,X
LTJSZIO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
LTJSZOI,O,O,O,X,X,X,O,X,O,X,O,X,X,X,O
LTJSOIZ,O,O,O,X,X,O,O,O,O,X,O,X,X,O,O
LTJSOZI,O,O,O,X,X,X,O,O,O,X,O,X,X,X,O
LTJZISO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
LTJZIOS,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
LTJZSIO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
LTJZSOI,O,X,O,X,X,X,O,X,O,X,X,X,X,X,O
LTJZOIS,O,X,O,O,X,X,O,X,O,X,X,O,X,X,O
LTJZOSI,O,X,O,X,X,X,O,X,O,X,X,X,X,X,O
LTJOISZ,O,O,O,X,X,O,O,O,O,X,O,X,X,O,O
LTJOIZS,O,X,O,O,X,X,O,O,O,X,X,O,X,X,O
LTJOSIZ,O,O,O,X,X,O,O,O,O,X,O,X,X,O,O
LTJOSZI,O,O,O,X,X,X,O,O,O,X,O,X,X,X,O
LTJOZIS,O,X,O,O,X,X,O,O,O,X,X,O,X,X,O
LTJOZSI,O,X,O,X,X,X,O,O,O,X,X,X,X,X,O
LTSIJZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
LTSIJOZ,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X
LTSIZJO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LTSIZOJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
LTSIOJZ,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X
LTSIOZJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
LTSJIZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
LTSJIOZ,O,O,O,X,X,O,X,O,O,X,X,X,X,O,X
LTSJZIO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
LTSJZOI,O,O,O,X,X,X,X,X,O,X,O,X,X,X,O
LTSJOIZ,O,O,O,X,X,O,X,O,O,X,O,X,X,O,O
LTSJOZI,O,O,O,X,X,X,X,O,O,X,O,X,X,X,O
LTSZIJO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LTSZIOJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
LTSZJIO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LTSZJOI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
LTSZOIJ,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X
LTSZOJI,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X
LTSOIJZ,X,O,O,X,X,O,X,O,X,X,O,X,X,O,O
LTSOIZJ,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X
LTSOJIZ,O,O,O,X,X,O,X,O,O,X,O,X,X,O,O
LTSOJZI,O,O,O,X,X,X,X,O,O,X,O,X,X,X,O
LTSOZIJ,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X
LTSOZJI,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X
LTZIJSO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LTZIJOS,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
LTZISJO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LTZISOJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
LTZIOJS,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X
LTZIOSJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
LTZJISO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LTZJIOS,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
LTZJSIO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LTZJSOI,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTZJOIS,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
LTZJOSI,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTZSIJO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LTZSIOJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
LTZSJIO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LTZSJOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZSOIJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
LTZSOJI,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
LTZOIJS,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X
LTZOISJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
LTZOJIS,O,X,O,O,X,X,O,O,X,X,X,O,X,X,X
LTZOJSI,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
LTZOSIJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
LTZOSJI,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
LTOIJSZ,O,O,O,X,X,O,X,O,X,X,O,X,X,O,O
LTOIJZS,O,X,O,O,X,X,X,O,X,X,X,O,X,X,O
LTOISJZ,X,O,O,X,X,O,X,O,X,X,O,X,X,O,O
LTOISZJ,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X
LTOIZJS,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X
LTOIZSJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
LTOJISZ,O,O,O,X,X,O,O,O,O,X,O,X,X,O,O
LTOJIZS,O,X,O,O,X,X,O,O,O,X,X,O,X,X,O
LTOJSIZ,O,O,O,X,X,O,O,O,O,X,O,X,X,O,O
LTOJSZI,O,O,O,X,X,X,O,O,O,X,O,X,X,X,O
LTOJZIS,O,X,O,O,X,X,O,O,O,X,X,O,X,X,O
LTOJZSI,O,X,O,X,X,X,O,O,O,X,X,X,X,X,O
LTOSIJZ,X,O,O,X,X,O,X,O,X,X,O,X,X,O,O
LTOSIZJ,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X
LTOSJIZ,O,O,O,X,X,O,X,O,O,X,O,X,X,O,O
LTOSJZI,O,O,O,X,X,X,X,O,O,X,O,X,X,X,O
LTOSZIJ,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X
LTOSZJI,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X
LTOZIJS,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X
LTOZISJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
LTOZJIS,O,X,O,O,X,X,O,O,X,X,X,O,X,X,X
LTOZJSI,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
LTOZSIJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
LTOZSJI,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
LITJSZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
LITJSOZ,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
LITJZSO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
LITJZOS,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
LITJOSZ,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
LITJOZS,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X
LITSJZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
LITSJOZ,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X
LITSZJO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LITSZOJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
LITSOJZ,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X
LITSOZJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
LITZJSO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LITZJOS,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
LITZSJO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LITZSOJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
LITZOJS,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X
LITZOSJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
LITOJSZ,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X
LITOJZS,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X
LITOSJZ,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X
LITOSZJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
LITOZJS,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X
