sequence,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhF0cBxdB2mBf?oB6oBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8Jei7IvhFfiBxdBUhBz?iB+oBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFOhB6jBRiBX?iBUoBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFKhBfiBxdBG?jBUoBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFmdB5jBihBf?oB0hBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8Jei7IvhFfiB5jBUhBz?iBmnBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFajB5jB/mB0?nBFnBmrB,v115@zgB8HeB8HeD8FeE8EeF8AeC8Je2AJvhFfiBxdBCjBU?hBToBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFlcBciBejB5?jB/mBisB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFicBcoBxmBf?sBlsBGtB
TJISOLZ,O,O,X,X,O,X,X,O,X,X
TJISOZL,O,O,X,X,O,X,X,X,X,X
TJIZLSO,X,O,O,X,X,O,X,X,X,X
TJIZLOS,O,O,O,X,X,O,X,X,X,X
TJIZSLO,O,O,O,X,X,O,X,X,X,X
TJIZSOL,O,O,O,X,X,O,X,X,X,X
TJIZOLS,O,O,O,X,X,O,X,X,X,X
TJIZOSL,O,O,O,X,X,O,X,X,X,X
TJIOLSZ,X,O,X,X,O,X,X,O,X,X
TJIOLZS,X,O,X,X,X,O,X,O,X,X
TJIOSLZ,O,O,X,X,O,X,X,O,X,X
TJIOSZL,O,O,X,X,O,X,X,X,X,X
TJIOZLS,O,O,O,X,X,O,X,X,X,X
TJIOZSL,O,O,O,X,X,O,X,X,X,X
TJLISZO,X,O,X,X,O,X,X,O,X,X
TJLISOZ,X,O,X,X,O,X,X,O,X,X
TJLIZSO,X,O,X,X,X,O,X,O,X,X
TJLIZOS,X,O,X,X,X,O,X,X,X,X
TJLIOSZ,X,O,X,X,O,X,X,O,X,X
TJLIOZS,X,O,X,X,X,O,X,X,X,X
TJLSIZO,O,O,X,X,O,X,X,O,X,X
TJLSIOZ,O,O,X,O,O,X,X,O,X,X
TJLSZIO,O,O,X,O,O,X,X,O,X,X
TJLSZOI,O,O,X,O,O,X,X,O,X,X
TJLSOIZ,O,O,X,O,O,X,X,O,X,X
TJLSOZI,O,O,X,O,O,X,X,O,X,X
TJLZISO,X,O,O,O,X,O,X,O,X,X
TJLZIOS,O,O,O,O,X,O,X,X,X,X
TJLZSIO,O,O,O,O,X,O,X,O,X,X
TJLZSOI,O,O,O,O,X,O,X,O,X,X
TJLZOIS,O,O,O,O,X,O,X,X,X,X
TJLZOSI,O,O,O,O,X,O,X,X,X,X
TJLOISZ,X,O,X,X,O,X,X,O,X,X
TJLOIZS,X,O,X,X,X,O,X,O,X,X
TJLOSIZ,O,O,X,O,O,X,X,O,X,X
TJLOSZI,O,O,X,O,O,X,X,O,X,X
TJLOZIS,O,O,O,O,X,O,X,O,X,X
TJLOZSI,O,O,O,O,X,O,X,O,X,X
TJSILZO,O,O,X,X,O,X,X,O,X,X
TJSILOZ,O,O,X,O,O,X,X,O,X,X
TJSIZLO,O,O,X,X,O,X,X,X,X,X
TJSIZOL,O,X,X,X,O,X,X,X,X,X
TJSIOLZ,O,O,X,X,O,X,X,O,X,X
TJSIOZL,O,O,X,X,O,X,X,X,X,X
TJSLIZO,O,O,X,X,O,X,X,O,X,X
TJSLIOZ,O,O,X,O,O,X,X,O,X,X
TJSLZIO,O,O,X,O,O,X,X,O,X,X
TJSLZOI,O,O,X,O,O,X,X,O,X,X
TJSLOIZ,O,O,X,O,O,X,X,O,X,X
TJSLOZI,O,O,X,O,O,X,X,O,X,X
