sequence,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhF0cBxdB2mBf?oB6oBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8Jei7IvhFfiBxdBUhBz?iB+oBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFOhB6jBRiBX?iBUoBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFKhBfiBxdBG?jBUoBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFmdB5jBihBf?oB0hBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8Jei7IvhFfiB5jBUhBz?iBmnBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFajB5jB/mB0?nBFnBmrB,v115@zgB8HeB8HeD8FeE8EeF8AeC8Je2AJvhFfiBxdBCjBU?hBToBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFlcBciBejB5?jB/mBisB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFicBcoBxmBf?sBlsBGtB
IOLJSZT,O,X,X,X,O,X,X,X,O,X
IOLJZTS,X,X,X,X,X,X,X,X,O,X
IOLJZST,X,X,X,X,X,X,X,X,O,O
IOLSTJZ,O,X,X,X,O,X,X,O,O,X
IOLSTZJ,O,X,X,O,O,X,X,O,O,X
IOLSJTZ,O,X,X,X,O,X,X,X,O,X
IOLSJZT,O,X,X,O,O,X,X,X,O,X
IOLSZTJ,O,X,X,O,X,X,O,X,O,O
IOLSZJT,O,X,X,O,O,X,O,X,O,O
IOLZTJS,X,X,X,X,X,O,X,O,X,X
IOLZTSJ,X,X,X,X,O,O,O,O,X,O
IOLZJTS,X,X,X,X,X,X,X,X,O,X
IOLZJST,X,X,X,O,X,X,O,X,O,O
IOLZSTJ,O,X,X,O,X,O,O,X,O,O
IOLZSJT,O,X,X,O,O,X,O,X,O,O
IOJTLSZ,X,X,X,X,O,X,X,O,X,X
IOJTLZS,X,X,X,X,X,X,X,O,X,X
IOJTSLZ,X,X,X,X,O,X,X,O,X,X
IOJTSZL,X,X,X,X,O,X,X,X,X,X
IOJTZLS,X,X,O,X,X,X,X,X,X,X
IOJTZSL,X,X,O,X,X,X,X,X,X,X
IOJLTSZ,X,X,X,X,O,X,X,O,O,X
IOJLTZS,X,X,X,X,X,X,X,O,O,X
IOJLSTZ,O,X,X,X,O,X,X,X,O,X
IOJLSZT,O,X,X,X,O,X,X,X,O,X
IOJLZTS,X,X,X,X,X,X,X,X,O,X
IOJLZST,X,X,X,X,X,X,X,X,O,O
IOJSTLZ,X,X,X,X,O,X,X,X,X,X
IOJSTZL,O,X,X,X,O,X,X,X,X,X
IOJSLTZ,O,X,X,X,O,X,X,X,O,X
IOJSLZT,O,X,X,X,O,X,X,X,O,X
IOJSZTL,O,X,X,X,O,X,X,X,X,X
IOJSZLT,O,X,X,X,O,X,O,X,X,X
IOJZTLS,X,X,O,X,X,X,X,X,X,X
IOJZTSL,O,X,O,X,X,X,X,X,X,X
IOJZLTS,X,X,O,X,X,X,X,X,X,X
IOJZLST,O,X,O,X,X,X,O,X,X,O
IOJZSTL,O,X,X,X,X,X,X,X,X,O
IOJZSLT,O,X,O,X,X,X,O,X,X,O
IOSTLJZ,O,X,X,X,O,X,X,X,O,X
IOSTLZJ,O,X,X,X,O,X,X,X,O,X
IOSTJLZ,O,X,X,X,O,X,X,X,X,X
IOSTJZL,O,X,X,X,O,X,X,X,X,X
IOSTZLJ,X,X,X,X,O,X,O,X,X,X
IOSTZJL,O,X,X,X,O,X,X,X,X,X
IOSLTJZ,O,X,X,X,O,X,X,X,O,X
IOSLTZJ,O,X,X,X,O,X,X,X,O,X
IOSLJTZ,O,X,X,X,O,X,X,X,O,X
IOSLJZT,O,X,X,X,O,X,X,X,O,X
IOSLZTJ,O,X,X,X,X,X,O,X,O,O
IOSLZJT,O,X,X,X,O,X,O,X,O,O
IOSJTLZ,O,X,X,X,O,X,X,X,X,X
IOSJTZL,O,X,X,X,O,X,X,X,X,X
IOSJLTZ,O,X,X,X,O,X,X,X,O,X
IOSJLZT,O,X,X,X,O,X,X,X,O,X
IOSJZTL,O,X,X,X,O,X,X,X,X,X
IOSJZLT,O,X,X,X,O,X,O,X,X,X
IOSZTLJ,X,X,X,X,O,X,O,X,X,O
IOSZTJL,O,X,X,X,O,X,X,X,X,O
IOSZLTJ,X,X,X,X,X,X,O,X,X,O
IOSZLJT,X,X,X,X,O,X,O,X,O,O
IOSZJTL,O,X,X,X,O,X,X,X,X,O
IOSZJLT,O,X,X,X,O,X,O,X,X,O
IOZTLJS,X,X,O,O,X,O,X,X,X,X
IOZTLSJ,X,X,O,O,O,O,O,X,X,O
IOZTJLS,X,X,O,O,X,O,X,X,X,X
IOZTJSL,X,X,O,X,X,O,X,X,X,X
IOZTSLJ,X,X,O,X,O,O,O,X,X,O
IOZTSJL,X,X,O,X,O,O,X,X,X,O
IOZLTJS,X,X,O,X,X,O,X,X,X,X
IOZLTSJ,X,X,O,X,O,O,O,X,X,O
IOZLJTS,X,X,O,X,X,X,X,X,O,X
IOZLJST,X,X,O,O,X,X,O,X,O,O
IOZLSTJ,X,X,X,O,X,O,O,X,X,O
IOZLSJT,X,X,O,O,O,X,O,X,O,O
IOZJTLS,X,X,O,O,X,X,X,X,X,X
IOZJTSL,X,X,O,X,X,X,X,X,X,X
IOZJLTS,X,X,O,X,X,X,X,X,X,X
IOZJLST,X,X,O,O,X,X,O,X,X,O
IOZJSTL,X,X,X,X,X,X,X,X,X,O
IOZJSLT,X,X,O,X,X,X,O,X,X,O
IOZSTLJ,X,X,X,X,O,O,O,X,X,O
IOZSTJL,X,X,X,X,O,O,X,X,X,O
IOZSLTJ,X,X,X,X,X,O,O,X,X,O
IOZSLJT,X,X,O,X,O,X,O,X,O,O
IOZSJTL,X,X,X,X,O,X,X,X,X,O
IOZSJLT,X,X,O,X,O,X,O,X,X,O
LTIJSZO,X,O,X,X,O,X,X,O,O,X
LTIJSOZ,X,O,X,X,O,X,X,O,O,X
LTIJZSO,X,O,X,X,X,O,X,O,O,X
LTIJZOS,X,O,X,X,X,O,X,X,O,X
LTIJOSZ,X,O,X,X,O,X,X,O,O,X
LTIJOZS,X,O,X,X,X,O,X,X,O,X
LTISJZO,O,O,X,X,O,X,X,O,O,X
LTISJOZ,O,O,X,O,O,X,X,O,O,X
LTISZJO,O,O,X,O,O,O,X,O,X,X
LTISZOJ,O,O,X,O,O,O,X,X,X,X
LTISOJZ,O,O,X,O,O,X,X,O,O,X
LTISOZJ,O,O,X,O,O,O,X,X,X,X
LTIZJSO,X,O,X,O,X,O,X,O,X,X
LTIZJOS,X,O,X,O,X,O,X,X,X,X
LTIZSJO,X,O,X,O,O,O,X,O,X,X
LTIZSOJ,X,O,X,O,O,O,X,X,X,X
LTIZOJS,X,X,X,O,X,O,X,X,X,X
LTIZOSJ,X,X,X,O,O,O,X,X,X,X
LTIOJSZ,X,X,X,X,O,X,X,O,O,X
LTIOJZS,X,X,X,X,X,O,X,X,O,X
LTIOSJZ,O,X,X,O,O,X,X,O,O,X
LTIOSZJ,O,X,X,O,O,O,X,X,X,X
LTIOZJS,X,X,X,O,X,O,X,X,X,X
LTIOZSJ,X,X,X,O,O,O,X,X,X,X
LTJISZO,X,O,X,X,O,X,X,O,O,X
LTJISOZ,X,O,X,X,O,X,X,O,O,X
LTJIZSO,X,O,X,X,X,O,X,O,O,X
LTJIZOS,X,O,X,X,X,O,X,X,O,X
LTJIOSZ,X,O,X,X,O,X,X,O,O,X
LTJIOZS,X,O,X,X,X,O,X,X,O,X
LTJSIZO,O,O,X,X,O,X,X,O,O,X
LTJSIOZ,O,O,X,O,O,X,X,O,O,X
LTJSZIO,O,O,X,O,O,X,X,O,O,X
LTJSZOI,O,O,X,O,O,X,X,O,O,X
LTJSOIZ,O,O,X,O,O,X,X,O,O,X
LTJSOZI,O,O,X,O,O,X,X,O,O,X
LTJZISO,X,O,O,O,X,O,X,O,O,X
LTJZIOS,O,O,O,O,X,O,X,X,O,X
LTJZSIO,O,O,O,O,X,O,X,O,O,X
LTJZSOI,O,O,O,O,X,O,X,O,O,X
LTJZOIS,O,O,O,O,X,O,X,X,O,X
LTJZOSI,O,O,O,O,X,O,X,X,O,X
LTJOISZ,X,O,X,X,O,X,X,O,O,X
LTJOIZS,X,O,X,X,X,O,X,O,O,X
LTJOSIZ,O,O,X,O,O,X,X,O,O,X
LTJOSZI,O,O,X,O,O,X,X,O,O,X
LTJOZIS,O,O,O,O,X,O,X,O,O,X
LTJOZSI,O,O,O,O,X,O,X,O,O,X
LTSIJZO,O,O,X,X,O,X,X,O,O,X
LTSIJOZ,O,O,X,O,O,X,X,O,O,X
LTSIZJO,O,O,X,O,O,O,X,O,O,X
LTSIZOJ,O,O,X,O,O,O,X,X,O,X
LTSIOJZ,O,O,X,O,O,X,X,O,O,X
LTSIOZJ,O,O,X,O,O,O,X,X,O,X
LTSJIZO,O,O,X,X,O,X,X,O,O,X
LTSJIOZ,O,O,X,O,O,X,X,O,O,X
LTSJZIO,O,O,X,O,O,X,X,O,O,X
LTSJZOI,O,O,X,O,O,X,X,O,O,X
LTSJOIZ,O,O,X,O,O,X,X,O,O,X
LTSJOZI,O,O,X,O,O,X,X,O,O,X
LTSZIJO,O,O,X,O,O,O,X,O,O,X
LTSZIOJ,O,O,X,O,O,O,X,X,O,X
LTSZJIO,O,O,X,O,O,O,X,O,O,X
LTSZJOI,O,O,X,O,O,O,X,O,O,X
LTSZOIJ,O,O,X,O,O,O,X,X,O,X
LTSZOJI,O,O,X,O,O,O,X,X,O,X
LTSOIJZ,O,O,X,O,O,X,X,O,O,X
LTSOIZJ,O,O,X,O,O,O,X,O,O,X
LTSOJIZ,O,O,X,O,O,X,X,O,O,X
LTSOJZI,O,O,X,O,O,X,X,O,O,X
LTSOZIJ,O,X,X,O,O,O,X,O,O,X
LTSOZJI,O,X,X,O,O,O,X,O,O,X
LTZIJSO,X,O,O,O,X,O,X,O,X,X
LTZIJOS,X,O,O,O,X,O,X,X,X,X
LTZISJO,X,O,O,O,O,O,X,O,X,X
LTZISOJ,X,O,O,O,O,O,X,X,X,X
LTZIOJS,X,X,O,O,X,O,X,X,X,X
LTZIOSJ,X,X,O,O,O,O,X,X,X,X
LTZJISO,X,O,O,O,X,O,X,O,O,X
LTZJIOS,X,O,O,O,X,O,X,X,O,X
LTZJSIO,X,O,O,O,X,O,X,O,O,X
LTZJSOI,X,O,O,O,X,O,X,O,O,X
LTZJOIS,X,O,O,O,X,O,X,X,O,X
LTZJOSI,X,O,O,O,X,O,X,X,O,X
LTZSIJO,X,O,O,O,O,O,X,O,O,X
LTZSIOJ,X,O,O,O,O,O,X,X,O,X
LTZSJIO,X,O,O,O,O,O,X,O,O,X
LTZSJOI,X,O,O,O,O,O,X,O,O,X
LTZSOIJ,X,O,O,O,O,O,X,X,O,X
LTZSOJI,X,O,O,O,O,O,X,X,O,X
LTZOIJS,X,X,O,O,X,O,X,X,X,X
LTZOISJ,X,X,O,O,O,O,X,X,X,X
LTZOJIS,X,O,O,O,X,O,X,X,O,X
LTZOJSI,X,O,O,O,X,O,X,X,O,X
LTZOSIJ,X,O,O,O,O,O,X,X,O,X
LTZOSJI,X,O,O,O,O,O,X,X,O,X
LTOIJSZ,X,X,X,X,O,X,X,O,O,X
LTOIJZS,X,X,X,X,X,O,X,O,O,X
LTOISJZ,O,X,X,O,O,X,X,O,O,X
LTOISZJ,O,X,X,O,O,O,X,O,X,X
LTOIZJS,X,X,X,O,X,O,X,O,X,X
LTOIZSJ,X,X,X,O,O,O,X,O,X,X
LTOJISZ,X,O,X,X,O,X,X,O,O,X
LTOJIZS,X,O,X,X,X,O,X,O,O,X
LTOJSIZ,O,O,X,O,O,X,X,O,O,X
LTOJSZI,O,O,X,O,O,X,X,O,O,X
LTOJZIS,O,O,O,O,X,O,X,O,O,X
LTOJZSI,O,O,O,O,X,O,X,O,O,X
LTOSIJZ,O,O,X,O,O,X,X,O,O,X
LTOSIZJ,O,O,X,O,O,O,X,O,O,X
LTOSJIZ,O,O,X,O,O,X,X,O,O,X
LTOSJZI,O,O,X,O,O,X,X,O,O,X
LTOSZIJ,O,X,X,O,O,O,X,O,O,X
LTOSZJI,O,X,X,O,O,O,X,O,O,X
LTOZIJS,X,X,O,O,X,O,X,O,X,X
LTOZISJ,X,X,O,O,O,O,X,O,X,X
LTOZJIS,X,O,O,O,X,O,X,O,O,X
LTOZJSI,X,O,O,O,X,O,X,O,O,X
LTOZSIJ,X,O,O,O,O,O,X,O,O,X
LTOZSJI,X,O,O,O,O,O,X,O,O,X
LITJSZO,X,O,X,X,O,X,X,X,O,X
LITJSOZ,X,O,X,X,O,X,X,X,O,X
LITJZSO,X,O,X,X,X,O,X,X,O,X
LITJZOS,X,O,X,X,X,O,X,X,O,X
LITJOSZ,X,O,X,X,O,X,X,X,O,X
LITJOZS,X,O,X,X,X,O,X,X,O,X
LITSJZO,O,O,X,X,O,X,X,X,O,X
LITSJOZ,O,O,X,O,O,X,X,X,O,X
LITSZJO,O,O,X,O,O,O,X,X,X,X
LITSZOJ,O,O,X,O,O,O,X,X,X,X
LITSOJZ,O,O,X,O,O,X,X,X,O,X
LITSOZJ,O,O,X,O,O,O,X,X,X,X
LITZJSO,X,O,X,O,X,O,X,X,X,X
LITZJOS,X,O,X,O,X,O,X,X,X,X
LITZSJO,X,O,X,O,O,O,X,X,X,O
LITZSOJ,X,O,X,O,O,O,X,X,X,O
LITZOJS,X,X,X,O,X,O,X,X,X,X
LITZOSJ,X,X,X,O,O,O,X,X,X,O
LITOJSZ,X,X,X,X,O,X,X,X,O,X
LITOJZS,X,X,X,X,X,O,X,X,O,X
LITOSJZ,O,X,X,O,O,X,X,X,O,X
LITOSZJ,O,X,X,O,O,O,X,X,X,X
LITOZJS,X,X,X,O,X,O,X,X,X,X
LITOZSJ,X,X,X,O,O,O,X,X,X,O
LIJTSZO,X,O,X,X,O,X,X,X,O,X
LIJTSOZ,X,O,X,X,O,X,X,X,O,X
LIJTZSO,X,O,X,X,X,O,X,X,O,X
LIJTZOS,X,O,X,X,X,O,X,X,O,X
LIJTOSZ,X,O,X,X,O,X,X,X,O,X
LIJTOZS,X,O,X,X,X,O,X,X,O,X
LIJSTZO,O,X,X,X,X,X,X,X,O,X
LIJSTOZ,O,X,X,X,O,X,X,X,O,X
LIJSZTO,O,X,X,X,X,X,X,X,O,X
LIJSZOT,O,X,X,X,O,X,X,X,O,X
LIJSOTZ,O,X,X,X,O,X,X,X,O,X
LIJSOZT,O,X,X,X,O,X,X,X,O,X
LIJZTSO,X,O,X,X,X,O,X,X,O,X
LIJZTOS,X,O,X,X,X,O,X,X,O,X
LIJZSTO,X,O,X,X,X,O,X,X,O,O
LIJZSOT,X,O,X,X,X,X,X,X,O,O
LIJZOTS,X,X,X,X,X,X,X,X,O,X
LIJZOST,X,O,X,X,X,X,X,X,O,O
LIJOTSZ,X,O,X,X,O,X,X,X,O,X
LIJOTZS,X,O,X,X,X,X,X,X,O,X
LIJOSTZ,O,X,X,X,O,X,X,X,O,X
LIJOSZT,O,X,X,X,O,X,X,X,O,X
LIJOZTS,X,X,X,X,X,X,X,X,O,X
LIJOZST,X,O,X,X,X,X,X,X,O,O
LISTJZO,O,X,X,X,O,X,X,X,O,X
LISTJOZ,O,X,X,X,O,X,X,X,O,X
LISTZJO,O,X,X,X,O,O,X,X,O,X
LISTZOJ,O,X,X,X,O,O,X,X,O,X
LISTOJZ,O,X,X,X,O,X,X,X,O,X
LISTOZJ,O,X,X,O,O,O,X,X,O,X
LISJTZO,O,X,X,X,O,X,X,X,O,X
LISJTOZ,O,X,X,X,O,X,X,X,O,X
LISJZTO,O,X,X,X,X,X,X,X,O,X
LISJZOT,O,X,X,X,O,X,X,X,O,X
LISJOTZ,O,X,X,X,O,X,X,X,O,X
LISJOZT,O,X,X,O,O,X,X,X,O,X
LISZTJO,O,X,X,X,X,O,O,X,O,O
LISZTOJ,O,X,X,O,X,O,O,X,O,O
LISZJTO,O,X,X,O,X,O,O,X,O,O
LISZJOT,O,X,X,O,O,X,O,X,O,O
LISZOTJ,O,X,X,O,X,O,O,X,O,O
LISZOJT,O,X,X,O,O,X,O,X,O,O
LISOTJZ,O,X,X,X,O,X,X,X,O,X
LISOTZJ,O,X,X,O,O,X,X,X,O,X
LISOJTZ,O,X,X,X,O,X,X,X,O,X
LISOJZT,O,X,X,O,O,X,X,X,O,X
LISOZTJ,O,X,X,O,X,X,O,X,O,O
LISOZJT,O,X,X,O,O,X,O,X,O,O
LIZTJSO,X,O,X,X,X,O,X,X,X,X
LIZTJOS,X,O,X,X,X,O,X,X,X,X
LIZTSJO,X,O,X,X,O,O,O,X,X,O
LIZTSOJ,X,O,X,X,O,O,O,X,X,O
LIZTOJS,X,X,X,X,X,O,X,X,X,X
LIZTOSJ,X,X,X,X,O,O,O,X,X,O
LIZJTSO,X,O,X,X,X,O,X,X,O,X
LIZJTOS,X,O,X,X,X,O,X,X,O,X
LIZJSTO,X,O,X,O,X,O,O,X,O,O
LIZJSOT,X,O,X,O,X,X,O,X,O,O
LIZJOTS,X,X,X,X,X,X,X,X,O,X
LIZJOST,X,O,X,O,X,X,O,X,O,O
LIZSTJO,O,O,X,X,X,O,O,X,O,O
LIZSTOJ,O,X,X,O,X,O,O,X,O,O
LIZSJTO,O,O,X,O,X,O,O,X,O,O
LIZSJOT,O,O,X,O,O,X,O,X,O,O
LIZSOTJ,O,X,X,O,X,O,O,X,O,O
LIZSOJT,O,O,X,O,O,X,O,X,O,O
LIZOTJS,X,X,X,X,X,O,X,X,X,X
LIZOTSJ,X,X,X,X,O,O,O,X,X,O
LIZOJTS,X,X,X,X,X,X,X,X,O,X
LIZOJST,X,X,X,O,X,X,O,X,O,O
LIZOSTJ,O,X,X,O,X,O,O,X,O,O
LIZOSJT,O,X,X,O,O,X,O,X,O,O
LIOTJSZ,X,X,X,X,O,X,X,X,O,X
LIOTJZS,X,X,X,X,X,O,X,X,O,X
LIOTSJZ,O,X,X,O,O,X,X,X,O,X
LIOTSZJ,O,X,X,O,O,O,X,X,X,X
LIOTZJS,X,X,X,O,X,O,X,X,X,X
LIOTZSJ,X,X,X,O,O,O,X,X,X,O
LIOJTSZ,X,X,X,X,O,X,X,X,O,X
LIOJTZS,X,X,X,X,X,X,X,X,O,X
LIOJSTZ,O,X,X,X,O,X,X,X,O,X
LIOJSZT,O,X,X,X,O,X,X,X,O,X
LIOJZTS,X,X,X,X,X,X,X,X,O,X
LIOJZST,X,X,X,X,X,X,X,X,O,O
LIOSTJZ,O,X,X,X,O,X,X,X,O,X
LIOSTZJ,O,X,X,O,O,X,X,X,O,X
LIOSJTZ,O,X,X,X,O,X,X,X,O,X
LIOSJZT,O,X,X,O,O,X,X,X,O,X
LIOSZTJ,O,X,X,O,X,X,O,X,O,O
LIOSZJT,O,X,X,O,O,X,O,X,O,O
LIOZTJS,X,X,X,X,X,O,X,X,X,X
LIOZTSJ,X,X,X,X,O,O,O,X,X,O
LIOZJTS,X,X,X,X,X,X,X,X,O,X
LIOZJST,X,X,X,O,X,X,O,X,O,O
LIOZSTJ,O,X,X,O,X,O,O,X,O,O
LIOZSJT,O,X,X,O,O,X,O,X,O,O
LJTISZO,X,O,X,X,O,X,X,O,O,X
LJTISOZ,X,O,X,X,O,X,X,O,O,X
LJTIZSO,X,O,X,X,X,O,X,O,O,X
LJTIZOS,X,O,X,X,X,O,X,X,O,X
LJTIOSZ,X,O,X,X,O,X,X,O,O,X
LJTIOZS,X,O,X,X,X,O,X,X,O,X
LJTSIZO,O,O,X,X,O,X,X,O,O,X
LJTSIOZ,O,O,X,O,O,X,X,O,O,X
LJTSZIO,O,O,X,O,O,X,X,O,O,X
LJTSZOI,O,O,X,O,O,X,X,O,O,X
LJTSOIZ,O,O,X,O,O,X,X,O,O,X
LJTSOZI,O,O,X,O,O,X,X,O,O,X
LJTZISO,X,O,O,O,X,O,X,O,O,X
LJTZIOS,X,O,O,O,X,O,X,X,O,X
LJTZSIO,X,O,O,O,X,O,X,O,O,X
LJTZSOI,X,O,O,O,X,O,X,O,O,X
LJTZOIS,X,O,O,O,X,O,X,X,O,X
LJTZOSI,X,O,O,O,X,O,X,X,O,X
LJTOISZ,X,O,X,X,O,X,X,O,O,X
LJTOIZS,X,O,X,X,X,O,X,O,O,X
LJTOSIZ,O,O,X,O,O,X,X,O,O,X
LJTOSZI,O,O,X,O,O,X,X,O,O,X
LJTOZIS,X,O,O,O,X,O,X,O,O,X
LJTOZSI,X,O,O,O,X,O,X,O,O,X
LJITSZO,X,O,X,X,O,X,X,X,O,X
LJITSOZ,X,O,X,X,O,X,X,X,O,X
LJITZSO,X,O,X,X,X,O,X,X,O,X
LJITZOS,X,O,X,X,X,O,X,X,O,X
LJITOSZ,X,O,X,X,O,X,X,X,O,X
LJITOZS,X,O,X,X,X,O,X,X,O,X
LJISTZO,O,X,X,X,X,X,X,X,O,X
LJISTOZ,O,X,X,X,O,X,X,X,O,X
LJISZTO,O,X,X,X,X,X,X,X,O,X
LJISZOT,O,X,X,X,O,X,X,X,O,X
LJISOTZ,O,X,X,X,O,X,X,X,O,X
LJISOZT,O,X,X,X,O,X,X,X,O,X
LJIZTSO,X,O,X,X,X,O,X,X,O,X
LJIZTOS,X,O,X,X,X,O,X,X,O,X
LJIZSTO,X,O,X,X,X,O,X,X,O,X
LJIZSOT,X,O,X,X,X,X,X,X,O,X
LJIZOTS,X,X,X,X,X,X,X,X,O,X
LJIZOST,X,O,X,X,X,X,X,X,O,X
LJIOTSZ,X,O,X,X,O,X,X,X,O,X
LJIOTZS,X,O,X,X,X,X,X,X,O,X
LJIOSTZ,O,X,X,X,O,X,X,X,O,X
LJIOSZT,O,X,X,X,O,X,X,X,O,X
LJIOZTS,X,X,X,X,X,X,X,X,O,X
LJIOZST,X,O,X,X,X,X,X,X,O,X
LJSTIZO,O,O,X,X,X,X,X,X,O,X
LJSTIOZ,O,O,X,X,O,X,X,X,O,X
LJSTZIO,O,O,X,X,X,X,X,X,O,X
LJSTZOI,O,O,X,X,X,X,X,X,O,X
LJSTOIZ,O,O,X,X,O,X,X,X,O,X
LJSTOZI,O,O,X,X,X,X,X,X,O,X
LJSITZO,O,X,X,X,X,X,X,X,O,X
LJSITOZ,O,X,X,X,O,X,X,X,O,X
LJSIZTO,O,X,X,X,X,X,X,X,O,X
LJSIZOT,O,X,X,X,O,X,X,X,O,X
LJSIOTZ,O,X,X,X,O,X,X,X,O,X
LJSIOZT,O,X,X,O,O,X,X,X,O,X
LJSZTIO,O,O,X,O,X,X,X,X,O,X
LJSZTOI,O,O,X,O,X,X,X,X,O,X
LJSZITO,O,O,X,O,X,X,X,X,O,X
LJSZIOT,O,O,X,O,O,X,X,X,O,X
LJSZOTI,O,O,X,O,X,X,X,X,O,X
LJSZOIT,O,O,X,O,O,X,X,X,O,X
LJSOTIZ,O,O,X,X,O,X,X,X,O,X
LJSOTZI,O,O,X,X,X,X,X,X,O,X
LJSOITZ,O,X,X,X,O,X,X,X,O,X
LJSOIZT,O,X,X,O,O,X,X,X,O,X
LJSOZTI,O,O,X,O,X,X,X,X,O,X
LJSOZIT,O,O,X,O,O,X,X,X,O,X
LJZTISO,X,O,O,X,X,O,X,X,O,X
LJZTIOS,X,O,O,X,X,O,X,X,O,X
LJZTSIO,X,O,O,O,X,O,X,X,O,X
LJZTSOI,X,O,O,O,X,O,X,X,O,X
LJZTOIS,X,O,O,X,X,O,X,X,O,X
LJZTOSI,X,O,O,O,X,O,X,X,O,X
LJZITSO,X,O,O,X,X,O,X,X,O,X
LJZITOS,X,O,O,X,X,O,X,X,O,X
LJZISTO,X,O,X,O,X,O,X,X,O,X
LJZISOT,X,O,O,O,X,X,X,X,O,X
LJZIOTS,X,X,O,X,X,X,X,X,O,X
LJZIOST,O,O,O,O,X,X,X,X,O,X
LJZSTIO,O,O,O,O,X,X,X,X,O,X
LJZSTOI,O,O,O,O,X,X,X,X,O,X
LJZSITO,O,O,X,O,X,O,X,X,O,X
LJZSIOT,O,O,O,O,X,X,X,X,O,X
LJZSOTI,O,O,O,O,X,X,X,X,O,X
LJZSOIT,O,O,O,O,X,X,X,X,O,X
LJZOTIS,X,O,O,X,X,X,X,X,O,X
LJZOTSI,X,O,O,O,X,X,X,X,O,X
LJZOITS,X,X,O,X,X,X,X,X,O,X
LJZOIST,O,O,O,O,X,X,X,X,O,X
LJZOSTI,O,O,O,O,X,X,X,X,O,X
LJZOSIT,O,O,O,O,X,X,X,X,O,X
LJOTISZ,X,O,X,X,O,X,X,O,O,X
LJOTIZS,X,O,X,X,X,X,X,O,O,X
LJOTSIZ,O,O,X,O,O,X,X,O,O,X
LJOTSZI,O,O,X,O,O,X,X,O,O,X
LJOTZIS,X,O,O,O,X,X,X,O,O,X
LJOTZSI,X,O,O,O,X,X,X,O,O,X
LJOITSZ,X,O,X,X,O,X,X,O,O,X
LJOITZS,X,O,X,X,X,X,X,O,O,X
LJOISTZ,O,X,X,X,O,X,X,X,O,X
LJOISZT,O,X,X,X,O,X,X,X,O,X
LJOIZTS,X,X,X,X,X,X,X,X,O,X
LJOIZST,X,O,X,X,X,X,X,X,O,X
LJOSTIZ,O,O,X,X,O,X,X,O,O,X
LJOSTZI,O,O,X,X,X,X,X,O,O,X
LJOSITZ,O,X,X,X,O,X,X,X,O,X
LJOSIZT,O,X,X,O,O,X,X,X,O,X
LJOSZTI,O,O,X,O,X,X,X,X,O,X
LJOSZIT,O,O,X,O,O,X,X,X,O,X
LJOZTIS,X,O,O,X,X,X,X,O,O,X
LJOZTSI,X,O,O,O,X,X,X,O,O,X
LJOZITS,X,X,O,X,X,X,X,X,O,X
LJOZIST,O,O,O,O,X,X,X,X,O,X
LJOZSTI,O,O,O,O,X,X,X,X,O,X
LJOZSIT,O,O,O,O,X,X,X,X,O,X
LSTIJZO,O,O,X,X,O,X,X,X,O,X
LSTIJOZ,O,O,X,O,O,X,X,X,O,X
LSTIZJO,O,O,X,O,O,O,X,X,O,X
LSTIZOJ,O,O,X,O,O,O,X,X,O,X
LSTIOJZ,O,O,X,O,O,X,X,X,O,X
LSTIOZJ,O,O,X,O,O,O,X,X,O,X
LSTJIZO,O,O,X,X,O,X,X,X,O,X
LSTJIOZ,O,O,X,O,O,X,X,X,O,X
LSTJZIO,O,O,X,O,O,X,X,X,O,X
LSTJZOI,O,O,X,O,O,X,X,X,O,X
LSTJOIZ,O,O,X,O,O,X,X,X,O,X
LSTJOZI,O,O,X,O,O,X,X,X,O,X
LSTZIJO,O,O,X,O,O,O,X,X,O,X
LSTZIOJ,O,O,X,O,O,O,X,X,O,X
LSTZJIO,O,O,X,O,O,O,X,X,O,X
LSTZJOI,O,O,X,O,O,O,X,X,O,X
LSTZOIJ,O,O,X,O,O,O,X,X,O,X
LSTZOJI,O,O,X,O,O,O,X,X,O,X
LSTOIJZ,O,O,X,O,O,X,X,X,O,X
LSTOIZJ,O,O,X,O,O,O,X,X,O,X
LSTOJIZ,O,O,X,O,O,X,X,X,O,X
LSTOJZI,O,O,X,O,O,X,X,X,O,X
LSTOZIJ,O,X,X,O,O,O,X,X,O,X
LSTOZJI,O,X,X,O,O,O,X,X,O,X
LSITJZO,O,X,X,X,O,X,X,X,O,X
LSITJOZ,O,X,X,X,O,X,X,X,O,X
LSITZJO,O,X,X,X,O,O,X,X,O,X
LSITZOJ,O,X,X,X,O,O,X,X,O,X
LSITOJZ,O,X,X,X,O,X,X,X,O,X
LSITOZJ,O,X,X,O,O,O,X,X,O,X
LSIJTZO,O,X,X,X,O,X,X,X,O,X
