sequence,v115@8gA8IeA8FeD8AeC8AeJ8BeC8Jex6IvhFyhBzdBOkBX?gBFmB0rB,v115@8gA8IeA8FeD8AeC8AeJ8BeC8JeZ/IvhFCbBmcBzdBX?gBFmB0rB,v115@8gA8IeA8FeD8AeC8AeJ8BeC8JeZ/IvhFufBcgBTcBy?iBFmBXsB,v115@8gA8IeA8FeD8AeC8AeJ8BeC8JeZ/IvhFufBcgBzdBF?mB/rBasB,v115@8gA8IeA8FeD8AeC8AeJ8BeC8JeZ/IvhFufBFcByiBT?gBcmBXsB,v115@8gA8IeA8FeD8AeC8AeJ8BeC8JeZ/IvhFzaBFcBmdBS?lBcmBXsB
IOTSZLJ,X,O,O,X,X,X
IOTSZJL,X,O,O,O,X,X
IOTZLJS,X,X,O,O,O,X
IOTZLSJ,X,X,O,X,O,X
IOTZJLS,X,X,O,O,O,X
IOTZJSL,X,O,O,O,O,X
IOTZSLJ,X,O,O,X,O,X
IOTZSJL,X,O,O,O,O,X
IOLTJSZ,X,O,X,X,X,X
IOLTJZS,X,X,O,X,O,O
IOLTSJZ,X,O,X,X,X,X
IOLTSZJ,X,O,O,X,X,X
IOLTZJS,X,X,O,O,O,O
IOLTZSJ,X,X,O,X,O,O
IOLJTSZ,O,O,X,X,X,X
IOLJTZS,X,X,X,X,O,O
IOLJSTZ,O,O,X,X,X,X
IOLJSZT,O,O,X,X,O,O
IOLJZTS,X,X,O,O,O,O
IOLJZST,X,X,X,X,O,O
IOLSTJZ,X,O,X,X,X,X
IOLSTZJ,X,O,X,X,X,X
IOLSJTZ,O,O,X,X,X,X
IOLSJZT,O,O,X,X,O,O
IOLSZTJ,X,O,X,X,O,O
IOLSZJT,X,O,X,X,O,O
IOLZTJS,X,X,O,O,O,O
IOLZTSJ,X,X,O,X,O,O
IOLZJTS,X,X,O,O,O,O
IOLZJST,X,X,X,X,O,O
IOLZSTJ,X,X,X,X,O,O
IOLZSJT,X,X,X,X,O,O
IOJTLSZ,O,O,X,X,X,X
IOJTLZS,X,X,X,X,O,X
IOJTSLZ,O,O,X,X,X,X
IOJTSZL,O,O,X,X,X,X
IOJTZLS,X,X,X,O,O,X
IOJTZSL,X,O,X,O,O,X
IOJLTSZ,O,O,X,X,X,X
IOJLTZS,X,X,X,X,O,O
IOJLSTZ,O,O,X,X,X,X
IOJLSZT,O,O,X,X,O,O
IOJLZTS,X,X,O,O,O,O
IOJLZST,X,X,X,X,O,O
IOJSTLZ,O,O,X,X,X,X
IOJSTZL,O,O,X,X,X,X
IOJSLTZ,O,O,X,X,X,X
IOJSLZT,O,O,X,X,O,X
IOJSZTL,O,X,X,O,O,X
IOJSZLT,O,O,X,X,O,X
IOJZTLS,X,X,O,O,O,O
IOJZTSL,X,O,O,O,O,X
IOJZLTS,X,X,O,O,O,O
IOJZLST,X,X,X,X,O,O
IOJZSTL,O,X,X,O,O,X
IOJZSLT,O,O,X,X,O,X
IOSTLJZ,O,O,X,X,X,X
IOSTLZJ,X,O,X,X,X,X
IOSTJLZ,O,O,X,X,X,X
IOSTJZL,O,O,X,X,X,X
IOSTZLJ,X,O,X,X,X,X
IOSTZJL,X,O,X,O,X,X
IOSLTJZ,X,O,X,X,X,X
IOSLTZJ,X,O,X,X,X,X
IOSLJTZ,O,O,X,X,X,X
IOSLJZT,O,O,X,X,O,X
IOSLZTJ,X,O,X,X,O,X
IOSLZJT,X,O,X,X,O,X
IOSJTLZ,O,O,X,X,X,X
IOSJTZL,O,O,X,X,X,X
IOSJLTZ,O,O,X,X,X,X
IOSJLZT,O,O,X,X,O,X
IOSJZTL,O,X,X,O,O,X
IOSJZLT,O,O,X,X,O,X
IOSZTLJ,X,O,X,X,O,X
IOSZTJL,X,O,X,O,O,X
IOSZLTJ,X,O,X,X,O,X
IOSZLJT,X,O,X,X,O,X
IOSZJTL,X,X,X,O,O,X
IOSZJLT,X,O,X,X,O,X
IOZTLJS,X,X,O,O,O,O
IOZTLSJ,X,X,O,X,O,O
IOZTJLS,X,X,O,O,O,O
IOZTJSL,X,O,O,O,O,X
IOZTSLJ,X,O,O,X,O,X
IOZTSJL,X,O,O,O,O,X
IOZLTJS,X,X,O,O,O,O
IOZLTSJ,X,X,O,X,O,O
IOZLJTS,X,X,O,O,O,O
IOZLJST,X,X,X,X,O,O
IOZLSTJ,X,X,X,X,O,O
IOZLSJT,X,X,X,X,O,O
IOZJTLS,X,X,O,O,O,O
IOZJTSL,X,O,O,O,O,X
IOZJLTS,X,X,O,O,O,O
IOZJLST,X,X,X,X,O,O
IOZJSTL,X,X,X,O,O,X
IOZJSLT,X,O,X,X,O,X
IOZSTLJ,X,O,X,X,O,X
IOZSTJL,X,O,X,O,O,X
IOZSLTJ,X,O,X,X,O,X
IOZSLJT,X,O,X,X,O,X
IOZSJTL,X,X,X,O,O,X
IOZSJLT,X,O,X,X,O,X
LTIJSZO,O,O,X,X,X,X
LTIJSOZ,O,O,X,X,X,X
LTIJZSO,X,X,O,X,X,O
LTIJZOS,X,X,O,X,X,O
LTIJOSZ,O,O,X,X,X,X
LTIJOZS,X,X,O,X,O,O
LTISJZO,O,O,X,X,X,X
LTISJOZ,O,O,X,X,X,X
LTISZJO,X,O,O,X,X,X
LTISZOJ,X,O,O,X,X,X
LTISOJZ,O,O,X,X,X,X
LTISOZJ,X,O,O,X,X,X
LTIZJSO,X,X,O,O,X,O
LTIZJOS,X,X,O,O,O,O
LTIZSJO,X,X,O,X,X,O
LTIZSOJ,X,X,O,X,O,O
LTIZOJS,X,X,O,O,O,O
LTIZOSJ,X,X,O,X,O,O
LTIOJSZ,O,O,X,X,X,X
LTIOJZS,X,X,O,X,O,O
LTIOSJZ,O,O,X,X,X,X
LTIOSZJ,X,O,O,X,X,X
LTIOZJS,X,X,O,O,O,O
LTIOZSJ,X,X,O,X,O,O
LTJISZO,O,O,X,X,X,X
LTJISOZ,O,O,X,X,X,X
LTJIZSO,X,X,O,X,X,O
LTJIZOS,X,X,O,X,X,O
LTJIOSZ,O,O,X,X,X,X
LTJIOZS,X,X,O,X,O,O
LTJSIZO,O,O,X,X,X,X
LTJSIOZ,O,O,X,X,X,X
LTJSZIO,O,O,X,X,X,X
LTJSZOI,O,O,X,X,X,X
LTJSOIZ,O,O,X,X,X,X
LTJSOZI,O,O,X,X,X,X
LTJZISO,X,X,O,X,X,O
LTJZIOS,X,X,O,X,X,O
LTJZSIO,O,X,O,X,X,O
LTJZSOI,O,X,O,X,X,O
LTJZOIS,X,X,O,X,X,O
LTJZOSI,O,X,O,X,X,O
LTJOISZ,O,O,X,X,X,X
LTJOIZS,X,X,O,X,O,O
LTJOSIZ,O,O,X,X,X,X
LTJOSZI,O,O,X,X,X,X
LTJOZIS,X,X,O,X,O,O
LTJOZSI,O,X,O,X,O,O
LTSIJZO,O,O,X,X,X,X
LTSIJOZ,O,O,X,X,X,X
LTSIZJO,X,O,O,X,X,X
LTSIZOJ,X,O,O,X,X,X
LTSIOJZ,O,O,X,X,X,X
LTSIOZJ,X,O,O,X,X,X
LTSJIZO,O,O,X,X,X,X
LTSJIOZ,O,O,X,X,X,X
LTSJZIO,O,O,X,X,X,X
LTSJZOI,O,O,X,X,X,X
LTSJOIZ,O,O,X,X,X,X
LTSJOZI,O,O,X,X,X,X
LTSZIJO,X,O,O,X,X,X
LTSZIOJ,X,O,O,X,X,X
LTSZJIO,O,O,O,X,X,X
LTSZJOI,O,O,O,X,X,X
LTSZOIJ,X,O,O,X,X,X
LTSZOJI,O,O,O,X,X,X
LTSOIJZ,O,O,X,X,X,X
LTSOIZJ,X,O,O,X,X,X
LTSOJIZ,O,O,X,X,X,X
LTSOJZI,O,O,X,X,X,X
LTSOZIJ,X,O,O,X,X,X
LTSOZJI,O,O,O,X,X,X
LTZIJSO,X,X,O,O,X,O
LTZIJOS,X,X,O,O,O,O
LTZISJO,X,X,O,X,X,O
LTZISOJ,X,X,O,X,O,O
LTZIOJS,X,X,O,O,O,O
LTZIOSJ,X,X,O,X,O,O
LTZJISO,X,X,O,O,X,O
LTZJIOS,X,X,O,O,O,O
LTZJSIO,O,X,O,X,X,O
LTZJSOI,O,X,O,X,X,O
LTZJOIS,X,X,O,O,O,O
LTZJOSI,O,X,O,X,O,O
LTZSIJO,X,X,O,X,X,O
LTZSIOJ,X,X,O,X,O,O
LTZSJIO,O,X,O,X,X,O
LTZSJOI,O,X,O,X,X,O
LTZSOIJ,X,X,O,X,O,O
LTZSOJI,O,X,O,X,O,O
LTZOIJS,X,X,O,O,O,O
LTZOISJ,X,X,O,X,O,O
LTZOJIS,X,X,O,O,O,O
LTZOJSI,O,X,O,X,O,O
LTZOSIJ,X,X,O,X,O,O
LTZOSJI,O,X,O,X,O,O
LTOIJSZ,O,O,X,X,X,X
LTOIJZS,X,X,O,X,O,O
LTOISJZ,O,O,X,X,X,X
LTOISZJ,X,O,O,X,X,X
LTOIZJS,X,X,O,O,O,O
LTOIZSJ,X,X,O,X,O,O
LTOJISZ,O,O,X,X,X,X
LTOJIZS,X,X,O,X,O,O
LTOJSIZ,O,O,X,X,X,X
LTOJSZI,O,O,X,X,X,X
LTOJZIS,X,X,O,X,O,O
LTOJZSI,O,X,O,X,O,O
LTOSIJZ,O,O,X,X,X,X
LTOSIZJ,X,O,O,X,X,X
LTOSJIZ,O,O,X,X,X,X
LTOSJZI,O,O,X,X,X,X
LTOSZIJ,X,O,O,X,X,X
LTOSZJI,O,O,O,X,X,X
LTOZIJS,X,X,O,O,O,O
LTOZISJ,X,X,O,X,O,O
LTOZJIS,X,X,O,O,O,O
LTOZJSI,O,X,O,X,O,O
LTOZSIJ,X,X,O,X,O,O
LTOZSJI,O,X,O,X,O,O
LITJSZO,X,O,X,X,X,X
LITJSOZ,X,O,X,X,X,X
LITJZSO,X,X,O,X,X,O
LITJZOS,X,X,O,X,X,O
LITJOSZ,X,O,X,X,X,X
LITJOZS,X,X,O,X,O,O
LITSJZO,X,O,X,X,X,X
LITSJOZ,X,O,X,X,X,X
LITSZJO,X,O,O,X,X,X
LITSZOJ,X,O,O,X,X,X
LITSOJZ,X,O,X,X,X,X
LITSOZJ,X,O,O,X,X,X
LITZJSO,X,X,O,O,X,O
LITZJOS,X,X,O,O,O,O
LITZSJO,X,X,O,X,X,O
LITZSOJ,X,X,O,X,O,O
LITZOJS,X,X,O,O,O,O
LITZOSJ,X,X,O,X,O,O
LITOJSZ,X,O,X,X,X,X
LITOJZS,X,X,O,X,O,O
LITOSJZ,X,O,X,X,X,X
LITOSZJ,X,O,O,X,X,X
LITOZJS,X,X,O,O,O,O
LITOZSJ,X,X,O,X,O,O
LIJTSZO,O,O,X,X,X,X
LIJTSOZ,O,O,X,X,X,X
LIJTZSO,X,X,O,X,X,O
LIJTZOS,X,X,O,X,X,O
LIJTOSZ,O,O,X,X,X,X
LIJTOZS,X,X,O,X,O,O
LIJSTZO,X,X,X,X,X,X
LIJSTOZ,O,O,X,X,X,X
LIJSZTO,X,X,O,X,X,O
LIJSZOT,O,O,X,X,X,O
LIJSOTZ,O,O,X,X,X,X
LIJSOZT,O,O,X,X,O,O
LIJZTSO,X,X,O,O,X,O
LIJZTOS,X,X,O,O,O,O
LIJZSTO,X,X,O,X,X,O
LIJZSOT,X,X,X,X,X,O
LIJZOTS,X,X,O,O,O,O
LIJZOST,X,X,X,X,O,O
LIJOTSZ,O,O,X,X,X,X
LIJOTZS,X,X,X,X,O,O
LIJOSTZ,O,O,X,X,X,X
LIJOSZT,O,O,X,X,O,O
LIJOZTS,X,X,O,O,O,O
LIJOZST,X,X,X,X,O,O
LISTJZO,X,O,X,X,X,X
LISTJOZ,X,O,X,X,X,X
LISTZJO,X,O,O,X,X,X
LISTZOJ,X,O,O,X,X,X
LISTOJZ,X,O,X,X,X,X
LISTOZJ,X,O,O,X,X,X
LISJTZO,X,O,X,X,X,X
LISJTOZ,O,O,X,X,X,X
LISJZTO,X,X,O,X,X,O
LISJZOT,O,O,X,X,X,O
LISJOTZ,O,O,X,X,X,X
LISJOZT,O,O,X,X,O,O
LISZTJO,X,O,O,X,X,O
LISZTOJ,X,O,O,X,O,O
LISZJTO,X,X,O,X,X,O
LISZJOT,X,O,X,X,X,O
LISZOTJ,X,O,X,X,O,O
LISZOJT,X,O,X,X,O,O
LISOTJZ,X,O,X,X,X,X
LISOTZJ,X,O,X,X,X,X
LISOJTZ,O,O,X,X,X,X
LISOJZT,O,O,X,X,O,O
LISOZTJ,X,O,X,X,O,O
LISOZJT,X,O,X,X,O,O
LIZTJSO,X,X,O,O,X,O
LIZTJOS,X,X,O,O,O,O
LIZTSJO,X,X,O,X,X,O
LIZTSOJ,X,X,O,X,O,O
LIZTOJS,X,X,O,O,O,O
LIZTOSJ,X,X,O,X,O,O
LIZJTSO,X,X,O,O,X,O
LIZJTOS,X,X,O,O,O,O
LIZJSTO,X,X,O,X,X,O
LIZJSOT,X,X,X,X,X,O
LIZJOTS,X,X,O,O,O,O
LIZJOST,X,X,X,X,O,O
LIZSTJO,X,X,O,X,X,O
LIZSTOJ,X,X,O,X,O,O
LIZSJTO,X,X,O,X,X,O
LIZSJOT,X,X,X,X,X,O
LIZSOTJ,X,X,X,X,O,O
LIZSOJT,X,X,X,X,O,O
LIZOTJS,X,X,O,O,O,O
LIZOTSJ,X,X,O,X,O,O
LIZOJTS,X,X,O,O,O,O
LIZOJST,X,X,X,X,O,O
LIZOSTJ,X,X,X,X,O,O
LIZOSJT,X,X,X,X,O,O
LIOTJSZ,X,O,X,X,X,X
LIOTJZS,X,X,O,X,O,O
LIOTSJZ,X,O,X,X,X,X
LIOTSZJ,X,O,O,X,X,X
LIOTZJS,X,X,O,O,O,O
LIOTZSJ,X,X,O,X,O,O
LIOJTSZ,O,O,X,X,X,X
LIOJTZS,X,X,X,X,O,O
LIOJSTZ,O,O,X,X,X,X
LIOJSZT,O,O,X,X,O,O
LIOJZTS,X,X,O,O,O,O
LIOJZST,X,X,X,X,O,O
LIOSTJZ,X,O,X,X,X,X
LIOSTZJ,X,O,X,X,X,X
LIOSJTZ,O,O,X,X,X,X
LIOSJZT,O,O,X,X,O,O
LIOSZTJ,X,O,X,X,O,O
LIOSZJT,X,O,X,X,O,O
LIOZTJS,X,X,O,O,O,O
LIOZTSJ,X,X,O,X,O,O
LIOZJTS,X,X,O,O,O,O
LIOZJST,X,X,X,X,O,O
LIOZSTJ,X,X,X,X,O,O
LIOZSJT,X,X,X,X,O,O
LJTISZO,O,O,X,X,X,X
LJTISOZ,O,O,X,X,X,X
LJTIZSO,X,X,O,X,X,O
LJTIZOS,X,X,O,X,X,O
LJTIOSZ,O,O,X,X,X,X
LJTIOZS,X,X,O,X,O,O
LJTSIZO,O,O,X,X,X,X
LJTSIOZ,O,O,X,X,X,X
LJTSZIO,O,O,X,X,X,X
LJTSZOI,O,O,X,X,X,X
LJTSOIZ,O,O,X,X,X,X
LJTSOZI,O,O,X,X,X,X
LJTZISO,X,X,O,X,X,O
LJTZIOS,X,X,O,X,X,O
LJTZSIO,O,X,O,X,X,O
LJTZSOI,O,X,O,X,X,O
LJTZOIS,X,X,O,X,X,O
LJTZOSI,O,X,O,X,X,O
LJTOISZ,O,O,X,X,X,X
LJTOIZS,X,X,O,X,O,O
LJTOSIZ,O,O,X,X,X,X
LJTOSZI,O,O,X,X,X,X
LJTOZIS,X,X,O,X,O,O
LJTOZSI,O,X,O,X,O,O
LJITSZO,O,O,X,X,X,X
LJITSOZ,O,O,X,X,X,X
LJITZSO,X,X,O,X,X,O
LJITZOS,X,X,O,X,X,O
LJITOSZ,O,O,X,X,X,X
LJITOZS,X,X,O,X,O,O
LJISTZO,O,X,X,X,X,X
LJISTOZ,O,O,X,X,X,X
LJISZTO,X,X,O,X,X,O
LJISZOT,O,O,X,X,X,O
LJISOTZ,O,O,X,X,X,X
LJISOZT,O,O,X,X,O,O
LJIZTSO,X,X,O,O,X,O
LJIZTOS,X,X,O,O,O,O
LJIZSTO,X,X,O,X,X,O
LJIZSOT,X,X,X,X,X,O
LJIZOTS,X,X,O,O,O,O
LJIZOST,X,X,X,X,O,O
LJIOTSZ,O,O,X,X,X,X
LJIOTZS,X,X,X,X,O,O
LJIOSTZ,O,O,X,X,X,X
LJIOSZT,O,O,X,X,O,O
LJIOZTS,X,X,O,O,O,O
LJIOZST,X,X,X,X,O,O
LJSTIZO,O,X,X,X,X,X
LJSTIOZ,O,O,X,X,X,X
LJSTZIO,O,X,X,X,X,X
LJSTZOI,O,X,X,X,X,X
LJSTOIZ,O,O,X,X,X,X
LJSTOZI,O,X,X,X,X,X
LJSITZO,O,X,X,X,X,X
LJSITOZ,O,O,X,X,X,X
LJSIZTO,X,X,O,X,X,O
LJSIZOT,O,O,X,X,X,O
LJSIOTZ,O,O,X,X,X,X
LJSIOZT,O,O,X,X,O,O
LJSZTIO,X,X,O,X,X,O
LJSZTOI,X,X,O,X,X,O
LJSZITO,X,X,O,X,X,O
LJSZIOT,O,O,X,X,X,O
LJSZOTI,O,X,X,X,X,O
LJSZOIT,O,O,X,X,X,O
LJSOTIZ,O,O,X,X,X,X
LJSOTZI,O,X,X,X,X,X
LJSOITZ,O,O,X,X,X,X
LJSOIZT,O,O,X,X,O,O
LJSOZTI,O,X,X,X,O,O
LJSOZIT,O,O,X,X,O,O
LJZTISO,X,X,O,O,X,O
LJZTIOS,X,X,O,O,O,O
LJZTSIO,O,X,O,X,X,O
LJZTSOI,O,X,O,X,X,O
LJZTOIS,X,X,O,O,O,O
LJZTOSI,O,X,O,X,O,O
LJZITSO,X,X,O,O,X,O
LJZITOS,X,X,O,O,O,O
LJZISTO,X,X,O,X,X,O
LJZISOT,X,X,X,X,X,O
LJZIOTS,X,X,O,O,O,O
LJZIOST,X,X,X,X,O,O
LJZSTIO,X,X,O,X,X,O
LJZSTOI,X,X,O,X,X,O
LJZSITO,X,X,O,X,X,O
LJZSIOT,O,X,X,X,X,O
LJZSOTI,O,X,X,X,X,O
LJZSOIT,O,X,X,X,X,O
LJZOTIS,X,X,O,O,O,O
LJZOTSI,O,X,O,X,O,O
LJZOITS,X,X,O,O,O,O
LJZOIST,X,X,X,X,O,O
LJZOSTI,O,X,X,X,O,O
LJZOSIT,O,X,X,X,O,O
LJOTISZ,O,O,X,X,X,X
LJOTIZS,X,X,X,X,O,O
LJOTSIZ,O,O,X,X,X,X
LJOTSZI,O,O,X,X,X,X
LJOTZIS,X,X,X,X,O,O
LJOTZSI,O,X,X,X,O,O
LJOITSZ,O,O,X,X,X,X
LJOITZS,X,X,X,X,O,O
LJOISTZ,O,O,X,X,X,X
LJOISZT,O,O,X,X,O,O
LJOIZTS,X,X,O,O,O,O
LJOIZST,X,X,X,X,O,O
LJOSTIZ,O,O,X,X,X,X
LJOSTZI,O,X,X,X,X,X
LJOSITZ,O,O,X,X,X,X
LJOSIZT,O,O,X,X,O,O
LJOSZTI,O,X,X,X,O,O
LJOSZIT,O,O,X,X,O,O
LJOZTIS,X,X,O,O,O,O
LJOZTSI,O,X,O,X,O,O
LJOZITS,X,X,O,O,O,O
LJOZIST,X,X,X,X,O,O
LJOZSTI,O,X,X,X,O,O
LJOZSIT,O,X,X,X,O,O
LSTIJZO,O,O,X,X,X,X
LSTIJOZ,O,O,X,X,X,X
LSTIZJO,X,O,O,X,X,X
LSTIZOJ,X,O,O,X,X,X
LSTIOJZ,O,O,X,X,X,X
LSTIOZJ,X,O,O,X,X,X
LSTJIZO,O,O,X,X,X,X
LSTJIOZ,O,O,X,X,X,X
LSTJZIO,O,O,X,X,X,X
LSTJZOI,O,O,X,X,X,X
LSTJOIZ,O,O,X,X,X,X
LSTJOZI,O,O,X,X,X,X
LSTZIJO,X,O,O,X,X,X
LSTZIOJ,X,O,O,X,X,X
LSTZJIO,O,O,O,X,X,X
LSTZJOI,O,O,O,X,X,X
LSTZOIJ,X,O,O,X,X,X
LSTZOJI,O,O,O,X,X,X
LSTOIJZ,O,O,X,X,X,X
LSTOIZJ,X,O,O,X,X,X
LSTOJIZ,O,O,X,X,X,X
LSTOJZI,O,O,X,X,X,X
LSTOZIJ,X,O,O,X,X,X
LSTOZJI,O,O,O,X,X,X
LSITJZO,X,O,X,X,X,X
LSITJOZ,X,O,X,X,X,X
LSITZJO,X,O,O,X,X,X
LSITZOJ,X,O,O,X,X,X
LSITOJZ,X,O,X,X,X,X
LSITOZJ,X,O,O,X,X,X
LSIJTZO,X,O,X,X,X,X
LSIJTOZ,O,O,X,X,X,X
LSIJZTO,X,X,O,X,X,O
LSIJZOT,O,O,X,X,X,O
LSIJOTZ,O,O,X,X,X,X
LSIJOZT,O,O,X,X,O,O
LSIZTJO,X,O,O,X,X,O
LSIZTOJ,X,O,O,X,O,O
LSIZJTO,X,X,O,X,X,O
LSIZJOT,X,O,X,X,X,O
LSIZOTJ,X,O,X,X,O,O
LSIZOJT,X,O,X,X,O,O
LSIOTJZ,X,O,X,X,X,X
LSIOTZJ,X,O,X,X,X,X
LSIOJTZ,O,O,X,X,X,X
LSIOJZT,O,O,X,X,O,O
LSIOZTJ,X,O,X,X,O,O
LSIOZJT,X,O,X,X,O,O
LSJTIZO,O,O,X,X,X,X
LSJTIOZ,O,O,X,X,X,X
LSJTZIO,O,O,X,X,X,X
LSJTZOI,O,O,X,X,X,X
LSJTOIZ,O,O,X,X,X,X
LSJTOZI,O,O,X,X,X,X
LSJITZO,O,O,X,X,X,X
LSJITOZ,O,O,X,X,X,X
LSJIZTO,X,X,O,X,X,O
LSJIZOT,O,O,X,X,X,O
LSJIOTZ,O,O,X,X,X,X
LSJIOZT,O,O,X,X,O,O
LSJZTIO,X,X,O,X,X,O
LSJZTOI,X,X,O,X,X,O
LSJZITO,X,X,O,X,X,O
LSJZIOT,O,O,X,X,X,O
LSJZOTI,O,X,X,X,X,O
LSJZOIT,O,O,X,X,X,O
LSJOTIZ,O,O,X,X,X,X
LSJOTZI,O,O,X,X,X,X
LSJOITZ,O,O,X,X,X,X
LSJOIZT,O,O,X,X,O,O
LSJOZTI,O,X,X,X,O,O
LSJOZIT,O,O,X,X,O,O
LSZTIJO,X,O,O,X,X,O
LSZTIOJ,X,O,O,X,O,O
LSZTJIO,X,O,O,X,X,O
LSZTJOI,X,O,O,X,X,O
LSZTOIJ,X,O,O,X,O,O
LSZTOJI,X,O,O,X,O,O
LSZITJO,X,O,O,X,X,O
LSZITOJ,X,O,O,X,O,O
LSZIJTO,X,X,O,X,X,O
LSZIJOT,X,O,X,X,X,O
LSZIOTJ,X,O,X,X,O,O
LSZIOJT,X,O,X,X,O,O
LSZJTIO,X,X,O,X,X,O
LSZJTOI,X,X,O,X,X,O
LSZJITO,X,X,O,X,X,O
LSZJIOT,O,O,X,X,X,O
LSZJOTI,O,X,X,X,X,O
LSZJOIT,O,O,X,X,X,O
LSZOTIJ,X,O,X,X,O,O
LSZOTJI,X,O,X,X,O,O
LSZOITJ,X,O,X,X,O,O
LSZOIJT,X,O,X,X,O,O
LSZOJTI,O,X,X,X,O,O
LSZOJIT,O,O,X,X,O,O
LSOTIJZ,O,O,X,X,X,X
LSOTIZJ,X,O,X,X,X,X
LSOTJIZ,O,O,X,X,X,X
LSOTJZI,O,O,X,X,X,X
LSOTZIJ,X,O,X,X,X,X
LSOTZJI,O,O,X,X,X,X
LSOITJZ,X,O,X,X,X,X
LSOITZJ,X,O,X,X,X,X
LSOIJTZ,O,O,X,X,X,X
LSOIJZT,O,O,X,X,O,O
LSOIZTJ,X,O,X,X,O,O
LSOIZJT,X,O,X,X,O,O
LSOJTIZ,O,O,X,X,X,X
LSOJTZI,O,O,X,X,X,X
LSOJITZ,O,O,X,X,X,X
LSOJIZT,O,O,X,X,O,O
LSOJZTI,O,X,X,X,O,O
LSOJZIT,O,O,X,X,O,O
LSOZTIJ,X,O,X,X,O,O
LSOZTJI,X,O,X,X,O,O
LSOZITJ,X,O,X,X,O,O
LSOZIJT,X,O,X,X,O,O
LSOZJTI,O,X,X,X,O,O
LSOZJIT,O,O,X,X,O,O
LZTIJSO,X,X,O,O,X,O
LZTIJOS,X,X,O,O,O,O
LZTISJO,X,X,O,X,X,O
LZTISOJ,X,X,O,X,O,O
LZTIOJS,X,X,O,O,O,O
LZTIOSJ,X,X,O,X,O,O
LZTJISO,X,X,O,O,X,O
LZTJIOS,X,X,O,O,O,O
LZTJSIO,X,X,O,X,X,O
LZTJSOI,X,X,O,X,X,O
LZTJOIS,X,X,O,O,O,O
LZTJOSI,X,X,O,X,O,O
LZTSIJO,X,X,O,X,X,O
LZTSIOJ,X,X,O,X,O,O
LZTSJIO,X,X,O,X,X,O
LZTSJOI,X,X,O,X,X,O
LZTSOIJ,X,X,O,X,O,O
LZTSOJI,X,X,O,X,O,O
LZTOIJS,X,X,O,O,O,O
LZTOISJ,X,X,O,X,O,O
LZTOJIS,X,X,O,O,O,O
LZTOJSI,X,X,O,X,O,O
LZTOSIJ,X,X,O,X,O,O
LZTOSJI,X,X,O,X,O,O
LZITJSO,X,X,O,O,X,O
LZITJOS,X,X,O,O,O,O
LZITSJO,X,X,O,X,X,O
LZITSOJ,X,X,O,X,O,O
LZITOJS,X,X,O,O,O,O
LZITOSJ,X,X,O,X,O,O
LZIJTSO,X,X,O,O,X,O
LZIJTOS,X,X,O,O,O,O
LZIJSTO,X,X,O,X,X,O
LZIJSOT,X,X,X,X,X,O
LZIJOTS,X,X,O,O,O,O
LZIJOST,X,X,X,X,O,O
LZISTJO,X,X,O,X,X,O
LZISTOJ,X,X,O,X,O,O
LZISJTO,X,X,O,X,X,O
LZISJOT,X,X,X,X,X,O
LZISOTJ,X,X,X,X,O,O
LZISOJT,X,X,X,X,O,O
LZIOTJS,X,X,O,O,O,O
LZIOTSJ,X,X,O,X,O,O
LZIOJTS,X,X,O,O,O,O
LZIOJST,X,X,X,X,O,O
LZIOSTJ,X,X,X,X,O,O
LZIOSJT,X,X,X,X,O,O
LZJTISO,X,X,O,O,X,O
LZJTIOS,X,X,O,O,O,O
LZJTSIO,O,X,O,X,X,O
LZJTSOI,O,X,O,X,X,O
LZJTOIS,X,X,O,O,O,O
LZJTOSI,O,X,O,X,O,O
LZJITSO,X,X,O,O,X,O
LZJITOS,X,X,O,O,O,O
LZJISTO,X,X,O,X,X,O
LZJISOT,X,X,X,X,X,O
LZJIOTS,X,X,O,O,O,O
LZJIOST,X,X,X,X,O,O
LZJSTIO,X,X,O,X,X,O
LZJSTOI,X,X,O,X,X,O
LZJSITO,X,X,O,X,X,O
LZJSIOT,O,X,X,X,X,O
LZJSOTI,O,X,X,X,X,O
LZJSOIT,O,X,X,X,X,O
LZJOTIS,X,X,O,O,O,O
LZJOTSI,O,X,O,X,O,O
LZJOITS,X,X,O,O,O,O
LZJOIST,X,X,X,X,O,O
LZJOSTI,O,X,X,X,O,O
LZJOSIT,O,X,X,X,O,O
LZSTIJO,X,X,O,X,X,O
LZSTIOJ,X,X,O,X,O,O
LZSTJIO,X,X,O,X,X,O
LZSTJOI,X,X,O,X,X,O
LZSTOIJ,X,X,O,X,O,O
LZSTOJI,X,X,O,X,O,O
LZSITJO,X,X,O,X,X,O
LZSITOJ,X,X,O,X,O,O
LZSIJTO,X,X,O,X,X,O
LZSIJOT,X,X,X,X,X,O
LZSIOTJ,X,X,X,X,O,O
LZSIOJT,X,X,X,X,O,O
LZSJTIO,X,X,O,X,X,O
LZSJTOI,X,X,O,X,X,O
LZSJITO,X,X,O,X,X,O
LZSJIOT,O,X,X,X,X,O
LZSJOTI,O,X,X,X,X,O
LZSJOIT,O,X,X,X,X,O
LZSOTIJ,X,X,X,X,O,O
LZSOTJI,X,X,X,X,O,O
LZSOITJ,X,X,X,X,O,O
LZSOIJT,X,X,X,X,O,O
LZSOJTI,O,X,X,X,O,O
LZSOJIT,O,X,X,X,O,O
