sequence,v115@EhC8HeB8GeC8BeA8DeC8Jex/IvhF/mBUiBmkBtqBTp?BywB,v115@EhC8HeB8GeC8BeA8DeC8JeZEJvhFzfBWmBNnBCqBXr?B0rB,v115@EhC8HeB8GeC8BeA8DeC8Jex/IvhFThBNnB2pBqqB0r?B3pB,v115@EhC8HeB8GeC8BeA8DeC8JeZEJvhFzfBWmBNnBCqB0r?BXrB,v115@EhC8HeB8GeC8BeA8DeC8JeNEJvhFUgBRhB6rBOsB3p?BzqB,v115@EhC8HeB8GeC8BeA8DeC8JeZEJvhFdmBUiBzkBfsBWw?BCqB,v115@EhC8HeB8GeC8BeA8DeC8Jex/IvhFNnBmkBCmBTpBXr?B0rB,v115@EhC8HeB8GeC8BeA8DeC8Je2EJvhFNmBUiBxpBzrBqq?B3pB,v115@EhC8HeB8GeC8BeA8DeC8Je2EJvhFThBNnBxpB0rBqq?B3pB,v115@EhC8HeB8GeC8BeA8DeC8Jem/IvhFChBNnBxpBXrBTp?B0rB,v115@EhC8HeB8GeC8BeA8DeC8JeZEJvhFzfBdmBUiBfsBCq?BWwB,v115@EhC8HeB8GeC8BeA8DeC8Jex/IvhFNnBmkBCmBTpB0r?BXrB,v115@EhC8HeB8GeC8BeA8DeC8Je/GJvhFUiBxkBmkBtqBTp?BywB,v115@EhC8HeB8GeC8BeA8DeC8JezAJvhFNnBxpBXrBOpB8p?BqrB,v115@EhC8HeB8GeC8BeA8DeC8Je0/IvhFThBNnBKpBWrBXl?BRwB,v115@EhC8HeB8GeC8BeA8DeC8Jex/IvhFNmBOpB8pBqqBXn?BzrB,v115@EhC8HeB8GeC8BeA8DeC8JeZEJvhFCgB8pBtqBXnBTr?BmrB
TLIOJSZ,O,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X
TLIOJZS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLIOSJZ,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIOSZJ,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIOZJS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLIOZSJ,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJISZO,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJISOZ,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJIZSO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJIOZS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSIZO,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJSIOZ,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TLJSZIO,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TLJSZOI,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X
TLJSOIZ,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TLJSOZI,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLJZISO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
TLJZIOS,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O,O,X
TLJZSIO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TLJZSOI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TLJZOIS,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TLJZOSI,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TLJOISZ,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJOIZS,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJOSZI,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJOZIS,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZSI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,O,O,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X
TLSIJOZ,O,O,X,O,X,X,O,X,X,O,O,X,X,O,X,X,X
TLSIZJO,O,O,X,O,O,X,X,X,X,O,O,X,X,O,X,O,O
TLSIZOJ,O,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X,O
TLSIOJZ,O,O,X,O,X,X,O,X,X,O,O,X,X,O,X,X,X
TLSIOZJ,O,O,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X
TLSJIZO,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLSJIOZ,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TLSJZIO,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X
TLSJZOI,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X
TLSJOIZ,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TLSJOZI,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLSZIJO,O,O,X,O,O,X,X,X,X,X,O,X,X,X,O,O,O
TLSZIOJ,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O
TLSZJIO,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,O
TLSZJOI,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,O,X
TLSZOIJ,O,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X,O
TLSZOJI,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,O,X
TLSOIJZ,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TLSOIZJ,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
TLSOJIZ,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TLSOJZI,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLSOZIJ,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
TLSOZJI,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X
TLZIJSO,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,O,O
TLZIJOS,X,O,O,O,X,X,X,X,O,X,X,O,X,X,O,O,X
TLZISJO,O,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O,O
TLZISOJ,O,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O
TLZIOJS,X,O,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X
TLZIOSJ,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O
TLZJISO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O
TLZJIOS,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O,O,X
TLZJSIO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
TLZJSOI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TLZJOIS,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TLZJOSI,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TLZSIJO,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,O,O
TLZSIOJ,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O
TLZSJIO,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O
TLZSJOI,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,O,X
TLZSOIJ,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O
TLZSOJI,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,O,X
TLZOIJS,X,O,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X
TLZOISJ,O,O,O,O,X,X,X,X,O,X,O,X,O,X,X,X,O
TLZOJIS,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TLZOJSI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TLZOSIJ,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O
TLZOSJI,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,O,X
TLOIJSZ,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOIJZS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOISJZ,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOISZJ,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLOIZJS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLOJISZ,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TLOJIZS,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOJSIZ,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TLOJSZI,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLOJZIS,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOJZSI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOSIJZ,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TLOSIZJ,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLOSJIZ,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TLOSJZI,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLOSZIJ,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLOSZJI,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X
TLOZIJS,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X
TLOZISJ,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLOZJIS,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TLOZJSI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TLOZSIJ,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLOZSJI,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,O,X
TJILSZO,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TJILSOZ,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
TJILZSO,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TJILZOS,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJILOSZ,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TJILOZS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISLZO,O,O,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X
TJISLOZ,O,O,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X
TJISZLO,O,O,X,X,O,O,X,X,O,O,X,X,X,O,X,X,O
TJISZOL,O,X,O,X,O,O,X,X,O,X,X,X,X,O,X,X,O
