sequence,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8Je5/IvhFOgB8gB?fiB6iBTjBlqB,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8Je5/IvhFibBGdB?TeB3gBUiBlqB,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8Je5/IvhFOgB8gB?zcBSjB3iBlqB,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8Je5/IvhF2gBSiB?TeB3gBUiBlqB,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8Jez7IvhFfiBxdB?ukBCjBUgBlqB,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8JeR7IvhFzcBGeB?qkB3iB0lBlqB,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8JeSCJvhFTeBRgB?ukB3gBUiBlqB,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8JeC7IvhFzcBGeB?VlB3iBRqB8qB
TZJSLIO,O,O,O,X,O,X,X,X
TZJSLOI,O,O,O,X,O,X,X,X
TZJSOIL,O,O,O,X,X,X,X,X
TZJSOLI,O,O,O,X,O,X,X,X
TZJOILS,O,O,O,O,X,X,X,X
TZJOISL,O,O,O,X,X,X,X,X
TZJOLIS,O,O,O,O,X,X,X,X
TZJOLSI,O,O,O,X,O,X,X,X
TZJOSIL,O,O,O,X,X,X,X,X
TZJOSLI,O,O,O,X,O,X,X,X
TZSILJO,O,O,O,X,X,X,X,X
TZSILOJ,O,O,O,X,X,X,X,X
TZSIJLO,O,O,O,X,X,X,X,X
TZSIJOL,O,O,O,X,X,X,X,X
TZSIOLJ,O,O,O,X,X,X,X,X
TZSIOJL,O,O,O,X,X,X,X,X
TZSLIJO,O,O,O,X,O,X,X,X
TZSLIOJ,O,O,O,X,O,X,X,X
TZSLJIO,O,O,O,X,O,X,X,X
TZSLJOI,O,O,O,X,O,X,X,X
TZSLOIJ,O,O,O,X,O,X,X,X
TZSLOJI,O,O,O,X,O,X,X,X
TZSJILO,O,O,O,X,X,X,X,X
TZSJIOL,O,O,O,X,X,X,X,X
TZSJLIO,O,O,O,X,O,X,X,X
TZSJLOI,O,O,O,X,O,X,X,X
TZSJOIL,O,O,O,X,X,X,X,X
TZSJOLI,O,O,O,X,O,X,X,X
TZSOILJ,O,O,O,X,X,X,X,X
TZSOIJL,O,O,O,X,X,X,X,X
TZSOLIJ,O,O,O,X,O,X,X,X
TZSOLJI,O,O,O,X,O,X,X,X
TZSOJIL,O,O,O,X,X,X,X,X
TZSOJLI,O,O,O,X,O,X,X,X
TZOILJS,O,O,O,O,X,X,O,X
TZOILSJ,O,O,O,X,X,X,O,X
TZOIJLS,O,O,O,O,X,X,X,X
TZOIJSL,O,O,O,X,X,X,X,X
TZOISLJ,O,O,O,X,X,X,X,X
TZOISJL,O,O,O,X,X,X,X,X
TZOLIJS,O,O,O,O,X,X,O,X
TZOLISJ,O,O,O,X,X,X,O,X
TZOLJIS,O,O,O,O,X,X,X,X
TZOLJSI,O,O,O,X,O,X,X,X
TZOLSIJ,O,O,O,X,O,X,X,X
TZOLSJI,O,O,O,X,O,X,X,X
TZOJILS,O,O,O,O,X,X,X,X
TZOJISL,O,O,O,X,X,X,X,X
TZOJLIS,O,O,O,O,X,X,X,X
TZOJLSI,O,O,O,X,O,X,X,X
TZOJSIL,O,O,O,X,X,X,X,X
TZOJSLI,O,O,O,X,O,X,X,X
TZOSILJ,O,O,O,X,X,X,X,X
TZOSIJL,O,O,O,X,X,X,X,X
TZOSLIJ,O,O,O,X,O,X,X,X
TZOSLJI,O,O,O,X,O,X,X,X
TZOSJIL,O,O,O,X,X,X,X,X
TZOSJLI,O,O,O,X,O,X,X,X
TOILJSZ,X,X,X,O,O,X,O,X
TOILJZS,X,X,O,O,X,X,O,X
TOILSJZ,O,O,X,O,O,X,O,X
TOILSZJ,O,O,O,X,O,X,O,X
TOILZJS,O,O,O,O,X,X,O,X
TOILZSJ,O,O,O,X,X,X,O,X
TOIJLSZ,X,X,X,O,O,X,O,X
TOIJLZS,X,X,O,O,X,X,O,X
TOIJSLZ,O,O,X,O,O,X,X,X
TOIJSZL,O,O,X,X,X,X,X,X
TOIJZLS,O,O,O,O,X,X,X,X
TOIJZSL,O,O,O,X,X,X,X,X
TOISLJZ,O,O,X,O,O,X,O,X
TOISLZJ,O,O,O,X,O,X,O,X
TOISJLZ,O,O,X,O,O,X,X,X
TOISJZL,O,O,X,X,X,X,X,X
TOISZLJ,O,O,O,X,X,X,X,X
TOISZJL,O,O,O,X,X,X,X,X
TOIZLJS,O,O,O,O,X,X,O,X
TOIZLSJ,O,O,O,X,X,X,O,X
TOIZJLS,O,O,O,O,X,X,X,X
TOIZJSL,O,O,O,X,X,X,X,X
TOIZSLJ,O,O,O,X,X,X,X,X
TOIZSJL,O,O,O,X,X,X,X,X
TOLIJSZ,X,X,X,O,O,O,O,X
TOLIJZS,X,X,O,O,X,O,O,X
TOLISJZ,O,O,X,O,O,X,O,X
TOLISZJ,O,O,O,X,O,X,O,X
TOLIZJS,O,O,O,O,X,X,O,X
TOLIZSJ,O,O,O,X,X,X,O,X
TOLJISZ,X,X,X,O,O,O,O,X
TOLJIZS,X,X,O,O,X,O,O,X
TOLJSIZ,X,X,X,O,O,X,X,X
TOLJSZI,X,X,X,X,O,X,X,X
TOLJZIS,X,X,O,O,X,O,X,X
TOLJZSI,X,X,O,X,O,X,X,X
TOLSIJZ,O,O,X,O,O,X,O,X
TOLSIZJ,O,O,O,X,O,X,O,X
TOLSJIZ,O,O,X,O,O,X,X,X
TOLSJZI,O,O,X,X,O,X,X,X
TOLSZIJ,O,O,O,X,O,X,X,X
TOLSZJI,O,O,O,X,O,X,X,X
TOLZIJS,O,O,O,O,X,O,O,X
TOLZISJ,O,O,O,X,X,X,O,X
TOLZJIS,O,O,O,O,X,O,X,X
TOLZJSI,O,O,O,X,O,X,X,X
TOLZSIJ,O,O,O,X,O,X,X,X
TOLZSJI,O,O,O,X,O,X,X,X
TOJILSZ,X,X,X,O,O,X,O,X
TOJILZS,X,X,O,O,X,X,O,X
TOJISLZ,O,O,X,O,O,X,X,X
TOJISZL,O,O,X,X,X,X,X,X
TOJIZLS,O,O,O,O,X,X,X,X
TOJIZSL,O,O,O,X,X,X,X,X
TOJLISZ,X,X,X,O,O,O,O,X
TOJLIZS,X,X,O,O,X,O,O,X
TOJLSIZ,X,X,X,O,O,X,X,X
TOJLSZI,X,X,X,X,O,X,X,X
TOJLZIS,X,X,O,O,X,O,X,X
TOJLZSI,X,X,O,X,O,X,X,X
TOJSILZ,O,O,X,O,O,X,X,X
TOJSIZL,O,O,X,X,X,X,X,X
TOJSLIZ,O,O,X,O,O,X,X,X
TOJSLZI,O,O,X,X,O,X,X,X
TOJSZIL,O,O,X,X,X,X,X,X
TOJSZLI,O,O,X,X,O,X,X,X
TOJZILS,O,O,O,O,X,X,X,X
TOJZISL,O,O,O,X,X,X,X,X
TOJZLIS,O,O,O,O,X,X,X,X
TOJZLSI,O,O,O,X,O,X,X,X
TOJZSIL,O,O,O,X,X,X,X,X
TOJZSLI,O,O,O,X,O,X,X,X
TOSILJZ,O,O,X,O,O,X,O,X
TOSILZJ,O,O,O,X,O,X,O,X
TOSIJLZ,O,O,X,O,O,X,X,X
TOSIJZL,O,O,X,X,X,X,X,X
TOSIZLJ,O,O,O,X,X,X,X,X
TOSIZJL,O,O,O,X,X,X,X,X
TOSLIJZ,O,O,X,O,O,X,O,X
TOSLIZJ,O,O,O,X,O,X,O,X
TOSLJIZ,O,O,X,O,O,X,X,X
TOSLJZI,O,O,X,X,O,X,X,X
TOSLZIJ,O,O,O,X,O,X,X,X
TOSLZJI,O,O,O,X,O,X,X,X
TOSJILZ,O,O,X,O,O,X,X,X
TOSJIZL,O,O,X,X,X,X,X,X
TOSJLIZ,O,O,X,O,O,X,X,X
TOSJLZI,O,O,X,X,O,X,X,X
TOSJZIL,O,O,X,X,X,X,X,X
TOSJZLI,O,O,X,X,O,X,X,X
TOSZILJ,O,O,O,X,X,X,X,X
TOSZIJL,O,O,O,X,X,X,X,X
TOSZLIJ,O,O,O,X,O,X,X,X
TOSZLJI,O,O,O,X,O,X,X,X
TOSZJIL,O,O,O,X,X,X,X,X
TOSZJLI,O,O,O,X,O,X,X,X
TOZILJS,O,O,O,O,X,X,O,X
TOZILSJ,O,O,O,X,X,X,O,X
TOZIJLS,O,O,O,O,X,X,X,X
TOZIJSL,O,O,O,X,X,X,X,X
TOZISLJ,O,O,O,X,X,X,X,X
TOZISJL,O,O,O,X,X,X,X,X
TOZLIJS,O,O,O,O,X,X,O,X
TOZLISJ,O,O,O,X,X,X,O,X
TOZLJIS,O,O,O,O,X,X,X,X
TOZLJSI,O,O,O,X,O,X,X,X
TOZLSIJ,O,O,O,X,O,X,X,X
TOZLSJI,O,O,O,X,O,X,X,X
TOZJILS,O,O,O,O,X,X,X,X
TOZJISL,O,O,O,X,X,X,X,X
TOZJLIS,O,O,O,O,X,X,X,X
TOZJLSI,O,O,O,X,O,X,X,X
TOZJSIL,O,O,O,X,X,X,X,X
TOZJSLI,O,O,O,X,O,X,X,X
TOZSILJ,O,O,O,X,X,X,X,X
TOZSIJL,O,O,O,X,X,X,X,X
TOZSLIJ,O,O,O,X,O,X,X,X
TOZSLJI,O,O,O,X,O,X,X,X
TOZSJIL,O,O,O,X,X,X,X,X
TOZSJLI,O,O,O,X,O,X,X,X
ITLJSZO,X,X,X,X,O,X,X,O
ITLJSOZ,X,X,X,O,O,X,X,O
ITLJZSO,X,X,O,X,X,X,X,X
ITLJZOS,X,X,O,O,X,X,X,X
ITLJOSZ,X,X,X,O,O,X,O,X
ITLJOZS,X,X,O,O,X,X,O,X
ITLSJZO,O,O,X,X,O,X,X,O
ITLSJOZ,O,O,X,O,O,X,X,O
ITLSZJO,O,O,O,X,O,X,X,O
ITLSZOJ,O,O,O,X,O,X,X,O
ITLSOJZ,O,O,X,O,O,X,O,O
ITLSOZJ,O,O,O,X,O,X,O,O
ITLZJSO,O,O,O,X,X,X,X,X
ITLZJOS,O,O,O,O,X,X,X,X
ITLZSJO,O,O,O,X,X,X,X,X
ITLZSOJ,O,O,O,X,X,X,X,X
ITLZOJS,O,O,O,O,X,X,O,X
ITLZOSJ,O,O,O,X,X,X,O,X
ITLOJSZ,X,X,X,O,O,X,O,X
ITLOJZS,X,X,O,O,X,X,O,X
ITLOSJZ,O,O,X,O,O,X,O,X
ITLOSZJ,O,O,O,X,O,X,O,X
ITLOZJS,O,O,O,O,X,X,O,X
ITLOZSJ,O,O,O,X,X,X,O,X
ITJLSZO,X,X,X,X,O,X,X,O
ITJLSOZ,X,X,X,O,O,X,X,O
ITJLZSO,X,X,O,X,X,X,X,X
ITJLZOS,X,X,O,O,X,X,X,X
ITJLOSZ,X,X,X,O,O,X,O,X
ITJLOZS,X,X,O,O,X,X,O,X
ITJSLZO,O,O,X,X,O,X,X,O
ITJSLOZ,O,O,X,O,O,X,X,O
ITJSZLO,O,O,X,X,X,X,X,O
ITJSZOL,O,O,X,X,X,X,X,O
ITJSOLZ,O,O,X,O,O,X,X,O
ITJSOZL,O,O,X,X,X,X,X,O
ITJZLSO,O,O,O,X,X,X,X,X
ITJZLOS,O,O,O,O,X,X,X,X
ITJZSLO,O,O,O,X,X,X,X,O
ITJZSOL,O,O,O,X,X,X,X,O
ITJZOLS,O,O,O,O,X,X,X,X
ITJZOSL,O,O,O,X,X,X,X,X
ITJOLSZ,X,X,X,O,O,X,O,X
ITJOLZS,X,X,O,O,X,X,O,X
ITJOSLZ,O,O,X,O,O,X,X,O
ITJOSZL,O,O,X,X,X,X,X,O
ITJOZLS,O,O,O,O,X,X,X,X
ITJOZSL,O,O,O,X,X,X,X,X
ITSLJZO,O,O,X,X,O,X,X,O
ITSLJOZ,O,O,X,O,O,X,X,O
ITSLZJO,O,O,O,X,O,X,X,O
ITSLZOJ,O,O,O,X,O,X,X,O
ITSLOJZ,O,O,X,O,O,X,O,O
ITSLOZJ,O,O,O,X,O,X,O,O
ITSJLZO,O,O,X,X,O,X,X,O
ITSJLOZ,O,O,X,O,O,X,X,O
ITSJZLO,O,O,X,X,X,X,X,O
ITSJZOL,O,O,X,X,X,X,X,O
ITSJOLZ,O,O,X,O,O,X,X,O
ITSJOZL,O,O,X,X,X,X,X,O
ITSZLJO,O,O,O,X,X,X,X,O
ITSZLOJ,O,O,O,X,X,X,X,O
ITSZJLO,O,O,O,X,X,X,X,O
ITSZJOL,O,O,O,X,X,X,X,O
ITSZOLJ,O,O,O,X,X,X,X,O
ITSZOJL,O,O,O,X,X,X,X,O
ITSOLJZ,O,O,X,O,O,X,O,O
ITSOLZJ,O,O,O,X,O,X,O,O
ITSOJLZ,O,O,X,O,O,X,X,O
ITSOJZL,O,O,X,X,X,X,X,O
ITSOZLJ,O,O,O,X,X,X,X,O
ITSOZJL,O,O,O,X,X,X,X,O
ITZLJSO,O,O,O,X,X,X,X,X
ITZLJOS,O,O,O,O,X,X,X,X
ITZLSJO,O,O,O,X,X,X,X,X
ITZLSOJ,O,O,O,X,X,X,X,X
ITZLOJS,O,O,O,O,X,X,O,X
ITZLOSJ,O,O,O,X,X,X,O,X
ITZJLSO,O,O,O,X,X,X,X,X
ITZJLOS,O,O,O,O,X,X,X,X
ITZJSLO,O,O,O,X,X,X,X,O
ITZJSOL,O,O,O,X,X,X,X,O
ITZJOLS,O,O,O,O,X,X,X,X
ITZJOSL,O,O,O,X,X,X,X,X
ITZSLJO,O,O,O,X,X,X,X,O
ITZSLOJ,O,O,O,X,X,X,X,O
ITZSJLO,O,O,O,X,X,X,X,O
ITZSJOL,O,O,O,X,X,X,X,O
ITZSOLJ,O,O,O,X,X,X,X,O
ITZSOJL,O,O,O,X,X,X,X,O
ITZOLJS,O,O,O,O,X,X,O,X
ITZOLSJ,O,O,O,X,X,X,O,X
ITZOJLS,O,O,O,O,X,X,X,X
ITZOJSL,O,O,O,X,X,X,X,X
ITZOSLJ,O,O,O,X,X,X,X,X
ITZOSJL,O,O,O,X,X,X,X,X
ITOLJSZ,X,X,X,O,O,X,O,X
ITOLJZS,X,X,O,O,X,X,O,X
ITOLSJZ,O,O,X,O,O,X,O,X
ITOLSZJ,O,O,O,X,O,X,O,X
ITOLZJS,O,O,O,O,X,X,O,X
ITOLZSJ,O,O,O,X,X,X,O,X
ITOJLSZ,X,X,X,O,O,X,O,X
ITOJLZS,X,X,O,O,X,X,O,X
ITOJSLZ,O,O,X,O,O,X,X,O
ITOJSZL,O,O,X,X,X,X,X,O
ITOJZLS,O,O,O,O,X,X,X,X
ITOJZSL,O,O,O,X,X,X,X,X
ITOSLJZ,O,O,X,O,O,X,O,O
ITOSLZJ,O,O,O,X,O,X,O,O
ITOSJLZ,O,O,X,O,O,X,X,O
ITOSJZL,O,O,X,X,X,X,X,O
ITOSZLJ,O,O,O,X,X,X,X,O
ITOSZJL,O,O,O,X,X,X,X,O
ITOZLJS,O,O,O,O,X,X,O,X
ITOZLSJ,O,O,O,X,X,X,O,X
ITOZJLS,O,O,O,O,X,X,X,X
ITOZJSL,O,O,O,X,X,X,X,X
ITOZSLJ,O,O,O,X,X,X,X,X
ITOZSJL,O,O,O,X,X,X,X,X
ILTJSZO,X,X,X,X,O,X,X,O
ILTJSOZ,X,X,X,O,O,O,X,O
ILTJZSO,X,X,O,X,X,X,X,X
ILTJZOS,X,X,O,O,X,X,X,X
ILTJOSZ,X,X,X,O,O,O,O,X
ILTJOZS,X,X,O,O,X,O,O,X
ILTSJZO,O,O,X,X,O,X,X,O
ILTSJOZ,O,O,X,O,O,O,X,O
ILTSZJO,O,O,O,X,O,X,X,O
ILTSZOJ,O,O,O,X,O,X,X,O
ILTSOJZ,O,O,X,O,O,O,O,O
ILTSOZJ,O,O,O,X,O,X,O,O
ILTZJSO,O,O,O,X,X,X,X,X
ILTZJOS,O,O,O,O,X,X,X,X
ILTZSJO,O,O,O,X,X,X,X,X
ILTZSOJ,O,O,O,X,X,X,X,X
ILTZOJS,O,O,O,O,X,X,O,X
ILTZOSJ,O,O,O,X,X,X,O,X
ILTOJSZ,X,X,X,O,O,O,O,X
ILTOJZS,X,X,O,O,X,O,O,X
ILTOSJZ,O,O,X,O,O,X,O,X
ILTOSZJ,O,O,O,X,O,X,O,X
ILTOZJS,O,O,O,O,X,X,O,X
ILTOZSJ,O,O,O,X,X,X,O,X
ILJTSZO,X,X,X,X,X,X,X,O
ILJTSOZ,X,X,X,O,X,O,X,O
ILJTZSO,X,X,O,X,X,X,X,X
ILJTZOS,X,X,O,O,X,X,X,X
ILJTOSZ,X,X,X,O,X,O,X,X
ILJTOZS,X,X,O,O,X,O,X,X
ILJSTZO,X,X,X,X,X,X,X,O
ILJSTOZ,X,X,X,X,O,O,X,O
ILJSZTO,X,X,X,X,X,O,X,X
ILJSZOT,X,X,X,X,O,O,X,X
ILJSOTZ,X,X,X,O,O,O,X,O
ILJSOZT,X,X,X,O,O,O,X,X
ILJZTSO,X,X,X,X,X,O,X,X
ILJZTOS,X,X,O,X,X,O,X,X
ILJZSTO,X,X,X,X,X,O,X,X
ILJZSOT,X,X,O,X,X,O,X,X
ILJZOTS,X,X,O,O,X,O,X,X
ILJZOST,X,X,O,O,X,O,X,X
ILJOTSZ,X,X,X,O,X,O,O,X
ILJOTZS,X,X,O,O,X,O,O,X
ILJOSTZ,X,X,X,O,O,O,O,X
ILJOSZT,X,X,X,O,O,O,O,X
ILJOZTS,X,X,O,O,X,O,O,X
ILJOZST,X,X,O,O,X,O,O,X
ILSTJZO,O,X,X,X,O,X,X,O
ILSTJOZ,O,X,X,O,O,O,X,O
ILSTZJO,O,O,O,X,O,X,X,O
ILSTZOJ,O,O,O,X,O,X,X,O
ILSTOJZ,O,X,X,O,O,O,X,O
ILSTOZJ,O,O,O,X,O,X,X,O
ILSJTZO,O,X,X,X,O,X,X,O
ILSJTOZ,O,X,X,X,O,O,X,O
ILSJZTO,O,O,X,X,X,O,X,X
ILSJZOT,O,O,X,X,O,O,X,X
ILSJOTZ,O,X,X,O,O,O,X,O
ILSJOZT,O,O,X,O,O,O,X,X
ILSZTJO,O,O,X,X,O,O,X,X
ILSZTOJ,O,O,X,X,O,O,X,X
ILSZJTO,O,O,X,X,X,O,X,X
ILSZJOT,O,O,O,X,O,O,X,X
ILSZOTJ,O,O,X,X,O,O,X,X
ILSZOJT,O,O,O,X,O,O,X,X
ILSOTJZ,O,X,X,O,O,O,O,O
ILSOTZJ,O,O,O,X,O,X,O,O
ILSOJTZ,O,X,X,O,O,O,O,O
ILSOJZT,O,O,X,O,O,O,O,X
ILSOZTJ,O,O,X,X,O,O,O,X
ILSOZJT,O,O,O,X,O,O,O,X
ILZTJSO,X,O,O,X,X,O,X,X
ILZTJOS,X,O,O,O,X,O,X,X
ILZTSJO,X,O,O,X,X,O,X,X
ILZTSOJ,X,O,O,X,X,O,X,X
ILZTOJS,X,O,O,O,X,O,X,X
ILZTOSJ,X,O,O,X,X,X,X,X
ILZJTSO,X,O,X,X,X,O,X,X
ILZJTOS,X,O,O,X,X,O,X,X
ILZJSTO,O,O,X,X,X,O,X,X
ILZJSOT,O,O,O,X,X,O,X,X
ILZJOTS,X,O,O,O,X,O,X,X
ILZJOST,O,O,O,O,X,O,X,X
ILZSTJO,O,O,X,X,X,O,X,X
ILZSTOJ,O,O,X,X,X,O,X,X
ILZSJTO,O,O,X,X,X,O,X,X
ILZSJOT,O,O,O,X,X,O,X,X
ILZSOTJ,O,O,X,X,X,O,X,X
ILZSOJT,O,O,O,X,X,O,X,X
ILZOTJS,X,O,O,O,X,O,O,X
ILZOTSJ,X,O,O,X,X,X,O,X
ILZOJTS,X,O,O,O,X,O,O,X
ILZOJST,O,O,O,O,X,O,O,X
ILZOSTJ,O,O,X,X,X,O,O,X
ILZOSJT,O,O,O,X,X,O,O,X
ILOTJSZ,X,X,X,O,O,O,O,X
ILOTJZS,X,X,O,O,X,O,O,X
ILOTSJZ,O,O,X,O,O,X,O,X
ILOTSZJ,O,O,O,X,O,X,O,X
ILOTZJS,O,O,O,O,X,X,O,X
ILOTZSJ,O,O,O,X,X,X,O,X
ILOJTSZ,X,X,X,O,X,O,O,X
ILOJTZS,X,X,O,O,X,O,O,X
ILOJSTZ,X,X,X,O,O,O,O,X
ILOJSZT,X,X,X,O,O,O,O,X
ILOJZTS,X,X,O,O,X,O,O,X
ILOJZST,X,X,O,O,X,O,O,X
ILOSTJZ,O,X,X,O,O,O,O,X
ILOSTZJ,O,O,O,X,O,X,O,X
ILOSJTZ,O,X,X,O,O,O,O,X
ILOSJZT,O,O,X,O,O,O,O,X
ILOSZTJ,O,O,X,X,O,X,O,X
ILOSZJT,O,O,O,X,O,O,O,X
ILOZTJS,X,O,O,O,X,O,O,X
ILOZTSJ,X,O,O,X,X,X,O,X
ILOZJTS,X,O,O,O,X,O,O,X
ILOZJST,O,O,O,O,X,O,O,X
ILOZSTJ,O,O,X,X,X,X,O,X
ILOZSJT,O,O,O,X,X,O,O,X
IJTLSZO,X,X,X,X,X,X,X,O
IJTLSOZ,X,X,X,O,X,X,X,O
IJTLZSO,X,X,O,X,X,X,X,X
IJTLZOS,X,X,O,O,X,X,X,X
IJTLOSZ,X,X,X,O,X,X,X,X
IJTLOZS,X,X,O,O,X,X,X,X
IJTSLZO,O,O,X,X,X,X,X,O
IJTSLOZ,O,O,X,O,X,X,X,O
IJTSZLO,O,O,X,X,X,X,X,O
IJTSZOL,O,O,X,X,X,X,X,O
IJTSOLZ,O,O,X,O,X,X,X,O
IJTSOZL,O,O,X,X,X,X,X,O
IJTZLSO,O,O,O,X,X,X,X,X
IJTZLOS,O,O,O,O,X,X,X,X
IJTZSLO,O,O,O,X,X,X,X,O
IJTZSOL,O,O,O,X,X,X,X,O
IJTZOLS,O,O,O,O,X,X,X,X
IJTZOSL,O,O,O,X,X,X,X,X
IJTOLSZ,X,X,X,O,X,X,X,X
IJTOLZS,X,X,O,O,X,X,X,X
IJTOSLZ,O,O,X,O,X,X,X,O
IJTOSZL,O,O,X,X,X,X,X,O
IJTOZLS,O,O,O,O,X,X,X,X
IJTOZSL,O,O,O,X,X,X,X,X
IJLTSZO,X,X,X,X,X,X,X,O
IJLTSOZ,X,X,X,O,X,O,X,O
IJLTZSO,X,X,O,X,X,X,X,X
IJLTZOS,X,X,O,O,X,X,X,X
IJLTOSZ,X,X,X,O,X,O,X,X
IJLTOZS,X,X,O,O,X,O,X,X
IJLSTZO,X,X,X,X,X,X,X,O
IJLSTOZ,X,X,X,X,O,O,X,O
IJLSZTO,X,X,X,X,X,O,X,X
IJLSZOT,X,X,X,X,O,O,X,X
IJLSOTZ,X,X,X,O,O,O,X,O
IJLSOZT,X,X,X,O,O,O,X,X
IJLZTSO,X,X,X,X,X,O,X,X
IJLZTOS,X,X,O,X,X,O,X,X
IJLZSTO,X,X,X,X,X,O,X,X
IJLZSOT,X,X,O,X,X,O,X,X
IJLZOTS,X,X,O,O,X,O,X,X
IJLZOST,X,X,O,O,X,O,X,X
IJLOTSZ,X,X,X,O,X,O,O,X
IJLOTZS,X,X,O,O,X,O,O,X
IJLOSTZ,X,X,X,O,O,O,O,X
IJLOSZT,X,X,X,O,O,O,O,X
IJLOZTS,X,X,O,O,X,O,O,X
IJLOZST,X,X,O,O,X,O,O,X
IJSTLZO,O,X,X,X,X,X,X,O
IJSTLOZ,O,X,X,X,X,X,X,O
IJSTZLO,O,X,X,X,X,X,X,O
IJSTZOL,O,X,X,X,X,X,X,O
IJSTOLZ,O,X,X,X,X,X,X,O
IJSTOZL,O,X,X,X,X,X,X,O
IJSLTZO,O,X,X,X,X,X,X,O
IJSLTOZ,O,X,X,X,O,O,X,O
IJSLZTO,O,O,X,X,X,O,X,X
IJSLZOT,O,O,X,X,O,O,X,X
IJSLOTZ,O,X,X,O,O,O,X,O
IJSLOZT,O,O,X,O,O,O,X,X
IJSZTLO,O,O,X,X,X,X,X,O
IJSZTOL,O,O,X,X,X,X,X,O
IJSZLTO,O,O,X,X,X,X,X,X
IJSZLOT,O,O,X,X,X,X,X,X
IJSZOTL,O,O,X,X,X,X,X,O
IJSZOLT,O,O,X,X,X,X,X,X
IJSOTLZ,O,X,X,X,X,X,X,O
IJSOTZL,O,X,X,X,X,X,X,O
IJSOLTZ,O,X,X,O,O,O,X,O
IJSOLZT,O,O,X,O,O,O,X,X
IJSOZTL,O,O,X,X,X,X,X,O
IJSOZLT,O,O,X,X,X,X,X,X
IJZTLSO,X,O,X,X,X,X,X,X
IJZTLOS,X,O,O,X,X,X,X,X
IJZTSLO,O,O,X,X,X,X,X,O
IJZTSOL,O,O,X,X,X,X,X,O
IJZTOLS,X,O,O,X,X,X,X,X
IJZTOSL,O,O,X,X,X,X,X,X
IJZLTSO,X,O,X,X,X,X,X,X
IJZLTOS,X,O,O,X,X,X,X,X
IJZLSTO,O,O,X,X,X,X,X,X
IJZLSOT,O,O,O,X,X,X,X,X
IJZLOTS,X,O,O,O,X,X,X,X
IJZLOST,O,O,O,O,X,X,X,X
IJZSTLO,O,O,X,X,X,X,X,O
IJZSTOL,O,O,X,X,X,X,X,O
IJZSLTO,O,O,X,X,X,X,X,X
IJZSLOT,O,O,O,X,X,X,X,X
IJZSOTL,O,O,X,X,X,X,X,O
IJZSOLT,O,O,O,X,X,X,X,X
IJZOTLS,X,O,O,X,X,X,X,X
IJZOTSL,O,O,X,X,X,X,X,X
IJZOLTS,X,O,O,O,X,X,X,X
IJZOLST,O,O,O,O,X,X,X,X
IJZOSTL,O,O,X,X,X,X,X,X
IJZOSLT,O,O,O,X,X,X,X,X
IJOTLSZ,X,X,X,O,X,X,X,X
IJOTLZS,X,X,O,O,X,X,X,X
IJOTSLZ,O,O,X,O,X,X,X,O
IJOTSZL,O,O,X,X,X,X,X,O
IJOTZLS,O,O,O,O,X,X,X,X
IJOTZSL,O,O,O,X,X,X,X,X
IJOLTSZ,X,X,X,O,X,O,O,X
IJOLTZS,X,X,O,O,X,O,O,X
IJOLSTZ,X,X,X,O,O,O,O,X
IJOLSZT,X,X,X,O,O,O,O,X
IJOLZTS,X,X,O,O,X,O,O,X
IJOLZST,X,X,O,O,X,O,O,X
IJOSTLZ,O,X,X,X,X,X,X,O
IJOSTZL,O,X,X,X,X,X,X,O
IJOSLTZ,O,X,X,O,O,X,X,O
IJOSLZT,O,O,X,O,O,X,X,X
IJOSZTL,O,O,X,X,X,X,X,O
IJOSZLT,O,O,X,X,X,X,X,X
IJOZTLS,X,O,O,X,X,X,X,X
IJOZTSL,O,O,X,X,X,X,X,X
IJOZLTS,X,O,O,O,X,X,X,X
IJOZLST,O,O,O,O,X,X,X,X
IJOZSTL,O,O,X,X,X,X,X,X
IJOZSLT,O,O,O,X,X,X,X,X
ISTLJZO,O,O,X,X,O,X,X,O
ISTLJOZ,O,O,X,O,O,X,X,O
ISTLZJO,O,O,O,X,O,X,X,O
ISTLZOJ,O,O,O,X,O,X,X,O
ISTLOJZ,O,O,X,O,O,X,X,O
ISTLOZJ,O,O,O,X,O,X,X,O
ISTJLZO,O,O,X,X,O,X,X,O
ISTJLOZ,O,O,X,O,O,X,X,O
ISTJZLO,O,O,X,X,X,X,X,O
ISTJZOL,O,O,X,X,X,X,X,O
ISTJOLZ,O,O,X,O,O,X,X,O
ISTJOZL,O,O,X,X,X,X,X,O
ISTZLJO,O,O,O,X,X,X,X,O
ISTZLOJ,O,O,O,X,X,X,X,O
ISTZJLO,O,O,O,X,X,X,X,O
ISTZJOL,O,O,O,X,X,X,X,O
ISTZOLJ,O,O,O,X,X,X,X,O
ISTZOJL,O,O,O,X,X,X,X,O
ISTOLJZ,O,O,X,O,O,X,X,O
ISTOLZJ,O,O,O,X,O,X,X,O
