sequence,v115@zgA8IeA8FeA8BeA8FeE8CeH8BeE8JeC7IvhFxcBTeB?XgBmhBFmB0qB,v115@zgA8IeA8FeA8BeA8FeE8CeH8BeE8JeC7IvhFOiBTeB?xgBUlBFmBXrB,v115@zgA8IeA8FeA8BeA8FeE8CeH8BeE8Jeq/IvhFxbBXdB?TeB2mB1qB0qB,v115@zgA8IeA8FeA8BeA8FeE8CeH8BeE8JeR7IvhFOiBTeB?CgB/qBFmBcrB,v115@zgA8IeA8FeA8BeA8FeE8CeH8BeE8JeC7IvhFxcBTeB?mhBFlBXmB0qB,v115@zgA8IeA8FeA8BeA8FeE8CeH8BeE8Jeu/IvhFFdBTeB?xgB3gBimB0qB,v115@zgA8IeA8FeA8BeA8FeE8CeH8BeE8Jeq/IvhF2gBXdB?TeBRmBFmB0qB
IZTLOSJ,O,O,X,X,O,X,O
IZTJLSO,O,O,X,X,X,X,X
IZTJLOS,O,O,X,X,X,X,X
IZTJSLO,O,O,X,X,X,X,X
IZTJSOL,O,O,X,X,X,X,X
IZTJOLS,O,O,X,X,X,X,X
IZTJOSL,O,O,X,X,X,X,X
IZTSLJO,O,O,X,X,X,X,O
IZTSLOJ,O,O,X,X,X,X,O
IZTSJLO,O,O,X,X,X,X,X
IZTSJOL,O,O,X,X,X,X,X
IZTSOLJ,O,O,X,X,X,X,O
IZTSOJL,O,O,X,X,X,X,X
IZTOLJS,O,O,X,X,X,X,O
IZTOLSJ,O,O,X,X,O,X,O
IZTOJLS,O,O,X,X,X,X,X
IZTOJSL,O,O,X,X,X,X,X
IZTOSLJ,O,O,X,X,X,X,O
IZTOSJL,O,O,X,X,X,X,X
IZLTJSO,O,O,X,X,X,O,O
IZLTJOS,O,O,X,X,X,O,O
IZLTSJO,O,O,X,X,X,O,O
IZLTSOJ,O,O,X,X,X,O,O
IZLTOJS,O,O,X,X,X,O,O
IZLTOSJ,O,O,X,X,X,O,O
IZLJTSO,X,O,X,X,X,O,O
IZLJTOS,X,O,X,X,X,O,O
IZLJSTO,O,X,X,X,X,O,O
IZLJSOT,O,O,X,X,X,O,O
IZLJOTS,X,O,X,X,X,O,O
IZLJOST,O,O,X,X,X,O,O
IZLSTJO,X,X,X,X,X,O,O
IZLSTOJ,O,X,X,X,X,O,O
IZLSJTO,X,X,X,X,X,O,O
IZLSJOT,O,O,X,X,X,O,O
IZLSOTJ,O,X,X,X,X,O,O
IZLSOJT,O,O,X,X,X,O,O
IZLOTJS,O,O,X,X,X,O,O
IZLOTSJ,O,O,X,X,X,O,O
IZLOJTS,X,O,X,X,X,O,O
IZLOJST,O,O,X,X,X,O,O
IZLOSTJ,O,X,X,X,X,O,O
IZLOSJT,O,O,X,X,X,O,O
IZJTLSO,O,O,X,X,X,X,X
IZJTLOS,O,O,X,X,X,X,X
IZJTSLO,O,O,X,X,X,X,X
IZJTSOL,O,O,X,X,X,X,X
IZJTOLS,O,O,X,X,X,X,X
IZJTOSL,O,O,X,X,X,X,X
IZJLTSO,X,O,X,X,X,O,O
IZJLTOS,X,O,X,X,X,O,O
IZJLSTO,O,X,X,X,X,O,O
IZJLSOT,O,O,X,X,X,O,O
IZJLOTS,X,O,X,X,X,O,O
IZJLOST,O,O,X,X,X,O,O
IZJSTLO,O,X,X,X,O,X,X
IZJSTOL,O,X,X,X,O,X,X
IZJSLTO,O,X,X,X,X,X,O
IZJSLOT,O,O,X,X,X,X,O
IZJSOTL,O,X,X,X,O,X,X
IZJSOLT,O,O,X,X,X,X,O
IZJOTLS,O,O,X,X,X,X,X
IZJOTSL,O,O,X,X,X,X,X
IZJOLTS,X,O,X,X,X,O,O
IZJOLST,O,O,X,X,X,O,O
IZJOSTL,O,X,X,X,O,X,X
IZJOSLT,O,O,X,X,X,X,O
IZSTLJO,O,X,X,X,X,X,O
IZSTLOJ,O,X,X,X,O,X,O
IZSTJLO,O,X,X,X,O,X,X
IZSTJOL,O,X,X,X,O,X,X
IZSTOLJ,O,X,X,X,O,X,O
IZSTOJL,O,X,X,X,O,X,X
IZSLTJO,O,X,X,X,X,X,O
IZSLTOJ,O,X,X,X,X,X,O
IZSLJTO,O,X,X,X,X,X,O
IZSLJOT,O,O,X,X,X,X,O
IZSLOTJ,O,X,X,X,X,X,O
IZSLOJT,O,O,X,X,X,X,O
IZSJTLO,O,X,X,X,O,X,X
IZSJTOL,O,X,X,X,O,X,X
IZSJLTO,O,X,X,X,X,X,O
IZSJLOT,O,O,X,X,X,X,O
IZSJOTL,O,X,X,X,O,X,X
IZSJOLT,O,O,X,X,X,X,O
IZSOTLJ,O,X,X,X,O,X,O
IZSOTJL,O,X,X,X,O,X,X
IZSOLTJ,O,X,X,X,X,X,O
IZSOLJT,O,O,X,X,X,X,O
IZSOJTL,O,X,X,X,O,X,X
IZSOJLT,O,O,X,X,X,X,O
IZOTLJS,O,O,X,X,X,X,O
IZOTLSJ,O,O,X,X,O,X,O
IZOTJLS,O,O,X,X,X,X,X
IZOTJSL,O,O,X,X,X,X,X
IZOTSLJ,O,O,X,X,X,X,O
IZOTSJL,O,O,X,X,X,X,X
IZOLTJS,O,O,X,X,X,O,O
IZOLTSJ,O,O,X,X,X,O,O
IZOLJTS,X,O,X,X,X,O,O
IZOLJST,O,O,X,X,X,O,O
IZOLSTJ,O,X,X,X,X,O,O
IZOLSJT,O,O,X,X,X,O,O
IZOJTLS,O,O,X,X,X,X,X
IZOJTSL,O,O,X,X,X,X,X
IZOJLTS,X,O,X,X,X,O,O
IZOJLST,O,O,X,X,X,O,O
IZOJSTL,O,X,X,X,O,X,X
IZOJSLT,O,O,X,X,X,X,O
IZOSTLJ,O,X,X,X,O,X,O
IZOSTJL,O,X,X,X,O,X,X
IZOSLTJ,O,X,X,X,X,X,O
IZOSLJT,O,O,X,X,X,X,O
IZOSJTL,O,X,X,X,O,X,X
IZOSJLT,O,O,X,X,X,X,O
IOTLJSZ,O,X,O,X,O,O,X
IOTLJZS,X,X,O,X,X,O,X
IOTLSJZ,O,X,O,X,O,O,X
IOTLSZJ,O,X,O,X,O,X,O
IOTLZJS,X,X,X,X,X,O,O
IOTLZSJ,X,X,X,X,O,X,O
IOTJLSZ,O,X,O,X,O,O,X
IOTJLZS,X,X,O,X,X,O,X
IOTJSLZ,O,X,O,X,O,X,X
IOTJSZL,O,X,O,X,O,X,X
IOTJZLS,X,O,O,X,X,X,X
IOTJZSL,O,O,O,X,X,X,X
IOTSLJZ,O,X,O,X,O,X,X
IOTSLZJ,O,X,O,X,O,X,O
IOTSJLZ,O,X,O,X,O,X,X
IOTSJZL,O,X,O,X,O,X,X
IOTSZLJ,O,X,O,X,O,X,X
IOTSZJL,X,X,X,X,O,X,X
IOTZLJS,O,O,X,X,X,X,X
IOTZLSJ,O,O,X,X,O,X,X
IOTZJLS,O,O,X,X,X,X,X
IOTZJSL,O,O,X,X,X,X,X
IOTZSLJ,O,O,X,X,X,X,X
IOTZSJL,O,O,X,X,X,X,X
IOLTJSZ,O,X,O,X,O,O,X
IOLTJZS,X,X,O,X,X,O,X
IOLTSJZ,O,X,O,X,O,O,X
IOLTSZJ,O,X,O,X,O,X,O
IOLTZJS,X,X,X,X,X,O,O
IOLTZSJ,X,X,X,X,O,X,O
IOLJTSZ,O,X,X,X,X,O,X
IOLJTZS,X,X,X,X,X,O,X
IOLJSTZ,O,X,X,O,O,O,O
IOLJSZT,O,X,X,X,X,X,O
IOLJZTS,X,X,X,X,X,O,O
IOLJZST,O,X,X,X,X,O,O
IOLSTJZ,O,X,O,O,O,O,X
IOLSTZJ,O,X,O,X,O,X,O
IOLSJTZ,O,X,O,O,O,O,O
IOLSJZT,O,X,X,X,X,X,O
IOLSZTJ,O,X,O,X,X,X,O
IOLSZJT,O,X,X,X,X,X,O
IOLZTJS,O,X,X,X,X,O,O
IOLZTSJ,O,X,X,X,X,X,O
IOLZJTS,X,X,X,X,X,O,O
IOLZJST,O,X,X,X,X,X,O
IOLZSTJ,O,X,X,X,X,X,O
IOLZSJT,O,X,X,X,X,X,O
IOJTLSZ,O,X,O,X,O,O,X
IOJTLZS,X,X,O,X,X,O,X
IOJTSLZ,O,X,O,X,O,X,X
IOJTSZL,O,X,O,X,O,X,X
IOJTZLS,X,O,O,X,X,X,X
IOJTZSL,O,O,O,X,X,X,X
IOJLTSZ,O,X,X,X,X,O,X
IOJLTZS,X,X,X,X,X,O,X
IOJLSTZ,O,X,X,O,O,O,X
IOJLSZT,O,X,X,X,X,X,O
IOJLZTS,X,X,X,X,X,O,O
IOJLZST,O,X,X,X,X,O,O
IOJSTLZ,O,X,O,O,O,X,X
IOJSTZL,O,X,O,X,O,X,X
IOJSLTZ,O,X,X,O,O,X,X
IOJSLZT,O,X,X,X,X,X,O
IOJSZTL,O,X,X,X,O,X,X
IOJSZLT,O,X,X,X,X,X,X
IOJZTLS,O,O,X,X,X,X,X
IOJZTSL,O,O,X,X,X,X,X
IOJZLTS,X,O,X,X,X,O,X
IOJZLST,O,O,X,X,X,O,X
IOJZSTL,O,X,X,X,O,X,X
IOJZSLT,O,O,X,X,X,X,X
IOSTLJZ,O,X,O,O,O,X,X
IOSTLZJ,O,X,O,X,O,X,O
IOSTJLZ,O,X,O,O,O,X,X
IOSTJZL,O,X,O,X,O,X,X
IOSTZLJ,O,X,O,X,O,X,X
IOSTZJL,X,X,X,X,O,X,X
IOSLTJZ,O,X,O,O,O,X,X
IOSLTZJ,O,X,O,X,O,X,O
IOSLJTZ,O,X,O,O,O,X,O
IOSLJZT,O,X,X,X,X,X,O
IOSLZTJ,O,X,O,X,X,X,O
IOSLZJT,O,X,X,X,X,X,O
IOSJTLZ,O,X,O,O,O,X,X
IOSJTZL,O,X,O,X,O,X,X
IOSJLTZ,O,X,O,O,O,X,X
IOSJLZT,O,X,X,X,X,X,O
IOSJZTL,O,X,X,X,O,X,X
IOSJZLT,O,X,X,X,X,X,X
IOSZTLJ,O,X,X,X,O,X,O
IOSZTJL,O,X,X,X,O,X,X
IOSZLTJ,O,X,O,X,X,X,O
IOSZLJT,O,X,X,X,X,X,O
IOSZJTL,O,X,X,X,O,X,X
IOSZJLT,O,X,X,X,X,X,O
IOZTLJS,O,O,X,X,X,X,O
IOZTLSJ,O,O,X,X,O,X,O
IOZTJLS,O,O,X,X,X,X,X
IOZTJSL,O,O,X,X,X,X,X
IOZTSLJ,O,O,X,X,X,X,O
IOZTSJL,O,O,X,X,X,X,X
IOZLTJS,O,O,X,X,X,O,O
IOZLTSJ,O,O,X,X,X,O,O
IOZLJTS,X,O,X,X,X,O,O
IOZLJST,O,O,X,X,X,O,O
IOZLSTJ,O,X,X,X,X,O,O
IOZLSJT,O,O,X,X,X,O,O
IOZJTLS,O,O,X,X,X,X,X
IOZJTSL,O,O,X,X,X,X,X
IOZJLTS,X,O,X,X,X,O,O
IOZJLST,O,O,X,X,X,O,O
IOZJSTL,O,X,X,X,O,X,X
IOZJSLT,O,O,X,X,X,X,O
IOZSTLJ,O,X,X,X,O,X,O
IOZSTJL,O,X,X,X,O,X,X
IOZSLTJ,O,X,X,X,X,X,O
IOZSLJT,O,O,X,X,X,X,O
IOZSJTL,O,X,X,X,O,X,X
IOZSJLT,O,O,X,X,X,X,O
LTIJSZO,O,X,O,X,X,X,X
LTIJSOZ,O,X,O,X,X,O,X
LTIJZSO,X,X,O,X,X,O,X
LTIJZOS,X,X,O,X,X,O,X
LTIJOSZ,O,X,O,X,O,O,X
LTIJOZS,X,X,O,X,X,O,X
LTISJZO,X,X,O,X,X,X,X
LTISJOZ,O,X,O,X,X,O,X
LTISZJO,X,X,X,X,X,X,O
LTISZOJ,O,X,O,X,X,X,O
LTISOJZ,O,X,O,X,O,O,X
LTISOZJ,O,X,O,X,O,X,O
LTIZJSO,X,X,X,X,X,X,O
LTIZJOS,X,X,X,X,X,O,O
LTIZSJO,X,X,X,X,X,X,O
LTIZSOJ,X,X,X,X,X,X,O
LTIZOJS,X,X,X,X,X,O,O
LTIZOSJ,X,X,X,X,O,X,O
LTIOJSZ,O,X,O,X,O,O,X
LTIOJZS,X,X,O,X,X,O,X
LTIOSJZ,O,X,O,X,O,O,X
LTIOSZJ,O,X,O,X,O,X,O
LTIOZJS,X,X,X,X,X,O,O
LTIOZSJ,X,X,X,X,O,X,O
LTJISZO,O,X,O,X,X,X,X
LTJISOZ,O,X,O,X,X,O,X
LTJIZSO,X,X,O,X,X,O,X
LTJIZOS,X,X,O,X,X,O,X
LTJIOSZ,O,X,O,X,O,O,X
LTJIOZS,X,X,O,X,X,O,X
LTJSIZO,O,X,O,O,X,X,X
LTJSIOZ,O,X,O,O,X,O,X
LTJSZIO,O,X,O,O,X,O,X
LTJSZOI,O,X,O,O,X,O,X
LTJSOIZ,O,X,O,O,X,O,O
LTJSOZI,O,X,O,O,X,O,O
LTJZISO,X,O,O,X,X,O,X
LTJZIOS,X,O,O,X,X,O,X
LTJZSIO,X,O,O,X,X,O,X
LTJZSOI,X,O,O,X,X,O,X
LTJZOIS,X,O,O,X,X,O,X
LTJZOSI,X,O,O,X,X,O,X
LTJOISZ,O,X,O,X,O,O,X
LTJOIZS,X,X,O,X,X,O,X
LTJOSIZ,O,X,O,O,X,O,O
LTJOSZI,O,X,O,O,X,O,O
LTJOZIS,X,O,O,X,X,O,X
LTJOZSI,X,O,O,X,X,O,X
LTSIJZO,O,X,O,O,O,X,X
LTSIJOZ,O,X,O,O,O,O,X
LTSIZJO,X,X,X,X,X,X,O
LTSIZOJ,O,X,O,X,O,X,O
LTSIOJZ,O,X,O,O,O,O,X
LTSIOZJ,O,X,O,X,O,X,O
LTSJIZO,O,X,O,O,O,X,X
LTSJIOZ,O,X,O,O,O,O,X
LTSJZIO,O,X,O,O,O,O,X
LTSJZOI,O,X,O,O,O,O,X
LTSJOIZ,O,X,O,O,O,O,O
LTSJOZI,O,X,O,O,O,O,O
LTSZIJO,X,X,X,X,X,X,O
LTSZIOJ,O,X,O,X,O,X,O
LTSZJIO,O,X,O,O,O,X,X
LTSZJOI,O,X,O,O,O,X,O
LTSZOIJ,O,X,O,X,O,X,O
LTSZOJI,O,X,O,O,O,X,O
LTSOIJZ,O,X,O,O,O,O,X
LTSOIZJ,O,X,O,X,O,X,O
LTSOJIZ,O,X,O,O,O,O,O
LTSOJZI,O,X,O,O,O,O,O
LTSOZIJ,O,X,O,X,O,X,O
LTSOZJI,O,X,O,O,O,X,O
LTZIJSO,X,O,X,X,X,X,O
LTZIJOS,X,O,X,X,X,O,O
LTZISJO,X,O,X,X,X,X,O
LTZISOJ,X,O,X,X,X,X,O
LTZIOJS,X,O,X,X,X,O,O
LTZIOSJ,X,O,X,X,O,X,O
LTZJISO,X,O,O,X,X,O,X
LTZJIOS,X,O,O,X,X,O,X
LTZJSIO,X,O,O,X,X,O,X
LTZJSOI,X,O,O,X,X,O,O
LTZJOIS,X,O,O,X,X,O,X
LTZJOSI,X,O,O,X,X,O,O
LTZSIJO,X,O,X,X,X,X,O
LTZSIOJ,X,O,O,X,X,X,O
LTZSJIO,X,O,O,X,X,X,X
LTZSJOI,X,O,O,X,X,X,O
LTZSOIJ,X,O,O,X,X,X,O
LTZSOJI,X,O,O,X,X,X,O
LTZOIJS,X,O,X,X,X,O,O
LTZOISJ,X,O,X,X,O,X,O
LTZOJIS,X,O,O,X,X,O,X
LTZOJSI,X,O,O,X,X,O,O
LTZOSIJ,X,O,O,X,X,X,O
LTZOSJI,X,O,O,X,X,X,O
LTOIJSZ,O,X,O,X,O,O,X
LTOIJZS,X,X,O,X,X,O,X
LTOISJZ,O,X,O,X,O,O,X
LTOISZJ,O,X,O,X,O,X,O
LTOIZJS,X,X,X,X,X,O,O
LTOIZSJ,X,X,X,X,O,X,O
LTOJISZ,O,X,O,X,O,O,X
LTOJIZS,X,X,O,X,X,O,X
LTOJSIZ,O,X,O,O,X,O,O
LTOJSZI,O,X,O,O,X,O,O
LTOJZIS,X,O,O,X,X,O,X
LTOJZSI,X,O,O,X,X,O,X
LTOSIJZ,O,X,O,O,O,O,X
LTOSIZJ,O,X,O,X,O,X,O
LTOSJIZ,O,X,O,O,O,O,O
LTOSJZI,O,X,O,O,O,O,O
LTOSZIJ,O,X,O,X,O,X,O
LTOSZJI,O,X,O,O,O,X,O
LTOZIJS,X,O,X,X,X,O,O
LTOZISJ,X,O,X,X,O,X,O
LTOZJIS,X,O,O,X,X,O,X
LTOZJSI,X,O,O,X,X,O,O
LTOZSIJ,X,O,O,X,X,X,O
LTOZSJI,X,O,O,X,X,X,O
LITJSZO,O,X,O,X,X,X,X
LITJSOZ,O,X,O,X,X,O,X
LITJZSO,X,X,O,X,X,O,X
LITJZOS,X,X,O,X,X,O,X
LITJOSZ,O,X,O,X,O,O,X
LITJOZS,X,X,O,X,X,O,X
LITSJZO,X,X,O,X,X,X,X
LITSJOZ,O,X,O,X,X,O,X
LITSZJO,X,X,X,X,X,X,O
LITSZOJ,O,X,O,X,X,X,O
LITSOJZ,O,X,O,X,O,O,X
LITSOZJ,O,X,O,X,O,X,O
LITZJSO,X,X,X,X,X,X,O
LITZJOS,X,X,X,X,X,O,O
LITZSJO,X,X,X,X,X,X,O
LITZSOJ,X,X,X,X,X,X,O
LITZOJS,X,X,X,X,X,O,O
LITZOSJ,X,X,X,X,O,X,O
LITOJSZ,O,X,O,X,O,O,X
LITOJZS,X,X,O,X,X,O,X
LITOSJZ,O,X,O,X,O,O,X
LITOSZJ,O,X,O,X,O,X,O
LITOZJS,X,X,X,X,X,O,O
LITOZSJ,X,X,X,X,O,X,O
LIJTSZO,O,X,X,X,X,X,X
LIJTSOZ,O,X,X,X,X,O,X
LIJTZSO,X,X,X,X,X,O,X
LIJTZOS,X,X,X,X,X,O,X
LIJTOSZ,O,X,X,X,X,O,X
LIJTOZS,X,X,X,X,X,O,X
LIJSTZO,X,X,X,O,O,X,X
LIJSTOZ,O,X,X,O,O,O,X
LIJSZTO,X,X,X,X,X,X,O
LIJSZOT,O,X,X,X,X,X,O
LIJSOTZ,O,X,X,O,O,O,O
LIJSOZT,O,X,X,X,X,X,O
LIJZTSO,X,X,X,X,X,O,O
LIJZTOS,X,X,X,X,X,O,O
LIJZSTO,O,X,X,X,X,O,O
LIJZSOT,O,X,X,X,X,O,O
LIJZOTS,X,X,X,X,X,O,O
LIJZOST,O,X,X,X,X,O,O
LIJOTSZ,O,X,X,X,X,O,X
LIJOTZS,X,X,X,X,X,O,X
LIJOSTZ,O,X,X,O,O,O,O
LIJOSZT,O,X,X,X,X,X,O
LIJOZTS,X,X,X,X,X,O,O
LIJOZST,O,X,X,X,X,O,O
LISTJZO,X,X,O,O,O,X,X
LISTJOZ,X,X,O,O,O,O,X
LISTZJO,X,X,X,X,X,X,O
LISTZOJ,X,X,O,X,O,X,O
LISTOJZ,O,X,O,O,O,O,X
LISTOZJ,O,X,O,X,O,X,O
LISJTZO,X,X,X,O,O,X,X
LISJTOZ,X,X,X,O,O,O,X
LISJZTO,X,X,X,X,X,X,O
LISJZOT,X,X,X,X,X,X,O
LISJOTZ,O,X,O,O,O,O,O
LISJOZT,O,X,X,X,X,X,O
LISZTJO,X,X,X,X,X,X,O
LISZTOJ,X,X,X,X,X,X,O
LISZJTO,X,X,X,X,X,X,O
LISZJOT,X,X,X,X,X,X,O
LISZOTJ,O,X,O,X,X,X,O
LISZOJT,O,X,X,X,X,X,O
LISOTJZ,O,X,O,O,O,O,X
LISOTZJ,O,X,O,X,O,X,O
LISOJTZ,O,X,O,O,O,O,O
LISOJZT,O,X,X,X,X,X,O
LISOZTJ,O,X,O,X,X,X,O
LISOZJT,O,X,X,X,X,X,O
LIZTJSO,O,X,X,X,X,X,O
LIZTJOS,O,X,X,X,X,O,O
LIZTSJO,O,X,X,X,X,X,O
LIZTSOJ,O,X,X,X,X,X,O
LIZTOJS,O,X,X,X,X,O,O
LIZTOSJ,O,X,X,X,X,X,O
LIZJTSO,X,X,X,X,X,X,O
LIZJTOS,X,X,X,X,X,O,O
LIZJSTO,O,X,X,X,X,X,O
LIZJSOT,O,X,X,X,X,X,O
LIZJOTS,X,X,X,X,X,O,O
LIZJOST,O,X,X,X,X,X,O
LIZSTJO,X,X,X,X,X,X,O
LIZSTOJ,O,X,X,X,X,X,O
LIZSJTO,X,X,X,X,X,X,O
LIZSJOT,O,X,X,X,X,X,O
LIZSOTJ,O,X,X,X,X,X,O
LIZSOJT,O,X,X,X,X,X,O
LIZOTJS,O,X,X,X,X,O,O
LIZOTSJ,O,X,X,X,X,X,O
LIZOJTS,X,X,X,X,X,O,O
LIZOJST,O,X,X,X,X,X,O
LIZOSTJ,O,X,X,X,X,X,O
LIZOSJT,O,X,X,X,X,X,O
LIOTJSZ,O,X,O,X,O,O,X
LIOTJZS,X,X,O,X,X,O,X
LIOTSJZ,O,X,O,X,O,O,X
LIOTSZJ,O,X,O,X,O,X,O
LIOTZJS,X,X,X,X,X,O,O
LIOTZSJ,X,X,X,X,O,X,O
LIOJTSZ,O,X,X,X,X,O,X
LIOJTZS,X,X,X,X,X,O,X
LIOJSTZ,O,X,X,O,O,O,O
LIOJSZT,O,X,X,X,X,X,O
LIOJZTS,X,X,X,X,X,O,O
LIOJZST,O,X,X,X,X,O,O
LIOSTJZ,O,X,O,O,O,O,X
LIOSTZJ,O,X,O,X,O,X,O
LIOSJTZ,O,X,O,O,O,O,O
LIOSJZT,O,X,X,X,X,X,O
LIOSZTJ,O,X,O,X,X,X,O
LIOSZJT,O,X,X,X,X,X,O
LIOZTJS,O,X,X,X,X,O,O
LIOZTSJ,O,X,X,X,X,X,O
LIOZJTS,X,X,X,X,X,O,O
LIOZJST,O,X,X,X,X,X,O
LIOZSTJ,O,X,X,X,X,X,O
LIOZSJT,O,X,X,X,X,X,O
LJTISZO,O,X,O,X,X,X,X
LJTISOZ,O,X,O,X,X,O,X
LJTIZSO,X,X,O,X,X,O,X
LJTIZOS,X,X,O,X,X,O,X
LJTIOSZ,O,X,O,X,X,O,X
LJTIOZS,X,X,O,X,X,O,X
LJTSIZO,O,X,O,O,X,X,X
LJTSIOZ,O,X,O,O,X,O,X
LJTSZIO,O,X,O,O,X,O,X
LJTSZOI,O,X,O,O,X,O,X
LJTSOIZ,O,X,O,O,X,O,O
LJTSOZI,O,X,O,O,X,O,O
LJTZISO,X,O,O,X,X,O,X
LJTZIOS,X,O,O,X,X,O,X
LJTZSIO,X,O,O,X,X,O,X
LJTZSOI,X,O,O,X,X,O,X
LJTZOIS,X,O,O,X,X,O,X
LJTZOSI,X,O,O,X,X,O,X
LJTOISZ,O,X,O,X,X,O,X
LJTOIZS,X,X,O,X,X,O,X
LJTOSIZ,O,X,O,O,X,O,O
LJTOSZI,O,X,O,O,X,O,O
LJTOZIS,X,O,O,X,X,O,X
LJTOZSI,X,O,O,X,X,O,X
LJITSZO,O,X,X,X,X,X,X
LJITSOZ,O,X,X,X,X,O,X
LJITZSO,X,X,X,X,X,O,X
LJITZOS,X,X,X,X,X,O,X
LJITOSZ,O,X,X,X,X,O,X
LJITOZS,X,X,X,X,X,O,X
LJISTZO,X,X,X,O,O,X,X
LJISTOZ,O,X,X,O,O,O,X
LJISZTO,X,X,X,X,X,X,O
LJISZOT,O,X,X,X,X,X,O
LJISOTZ,O,X,X,O,O,O,O
LJISOZT,O,X,X,X,X,X,O
LJIZTSO,X,X,X,X,X,O,O
LJIZTOS,X,X,X,X,X,O,O
LJIZSTO,O,X,X,X,X,O,O
LJIZSOT,O,X,X,X,X,O,O
LJIZOTS,X,X,X,X,X,O,O
LJIZOST,O,X,X,X,X,O,O
LJIOTSZ,O,X,X,X,X,O,X
LJIOTZS,X,X,X,X,X,O,X
LJIOSTZ,O,X,X,O,O,O,O
LJIOSZT,O,X,X,X,X,X,O
LJIOZTS,X,X,X,X,X,O,O
LJIOZST,O,X,X,X,X,O,O
LJSTIZO,X,X,O,O,O,X,X
LJSTIOZ,O,X,O,O,O,O,X
LJSTZIO,X,X,O,O,O,O,X
LJSTZOI,X,X,O,O,O,O,X
LJSTOIZ,O,X,O,O,O,O,O
LJSTOZI,O,X,O,O,O,O,O
LJSITZO,X,X,X,O,O,X,X
LJSITOZ,O,X,X,O,O,O,X
LJSIZTO,X,X,X,X,X,X,O
LJSIZOT,O,X,X,X,X,X,O
LJSIOTZ,O,X,O,O,O,O,O
LJSIOZT,O,X,X,X,X,X,O
LJSZTIO,X,X,X,O,X,O,X
LJSZTOI,X,X,X,O,X,O,O
LJSZITO,X,X,X,X,X,O,O
LJSZIOT,O,X,X,X,X,O,O
LJSZOTI,O,X,X,O,X,O,O
LJSZOIT,O,X,X,X,X,O,O
LJSOTIZ,O,X,O,O,O,O,O
LJSOTZI,O,X,O,O,O,O,O
LJSOITZ,O,X,O,O,O,O,O
LJSOIZT,O,X,X,X,X,X,O
LJSOZTI,O,X,X,O,X,O,O
LJSOZIT,O,X,X,X,X,O,O
LJZTISO,X,O,X,X,X,O,X
LJZTIOS,X,O,X,X,X,O,X
LJZTSIO,X,O,X,X,X,O,X
LJZTSOI,X,O,X,X,X,O,O
LJZTOIS,X,O,X,X,X,O,X
LJZTOSI,X,O,X,X,X,O,O
LJZITSO,X,O,X,X,X,O,O
LJZITOS,X,O,X,X,X,O,O
LJZISTO,O,X,X,X,X,O,O
LJZISOT,O,O,X,X,X,O,O
LJZIOTS,X,O,X,X,X,O,O
LJZIOST,O,O,X,X,X,O,O
LJZSTIO,O,O,X,O,X,O,X
LJZSTOI,O,O,X,O,X,O,O
LJZSITO,O,X,X,X,X,O,O
LJZSIOT,O,O,X,X,X,O,O
LJZSOTI,O,O,X,O,X,O,O
LJZSOIT,O,O,X,X,X,O,O
LJZOTIS,X,O,X,X,X,O,X
LJZOTSI,X,O,X,X,X,O,O
LJZOITS,X,O,X,X,X,O,O
LJZOIST,O,O,X,X,X,O,O
LJZOSTI,O,O,X,O,X,O,O
LJZOSIT,O,O,X,X,X,O,O
LJOTISZ,O,X,O,X,X,O,X
LJOTIZS,X,X,O,X,X,O,X
LJOTSIZ,O,X,O,O,X,O,O
LJOTSZI,O,X,O,O,X,O,O
LJOTZIS,X,O,O,X,X,O,X
LJOTZSI,X,O,O,X,X,O,X
LJOITSZ,O,X,X,X,X,O,X
LJOITZS,X,X,X,X,X,O,X
LJOISTZ,O,X,X,O,O,O,O
LJOISZT,O,X,X,X,X,X,O
LJOIZTS,X,X,X,X,X,O,O
LJOIZST,O,X,X,X,X,O,O
LJOSTIZ,O,X,O,O,O,O,O
LJOSTZI,O,X,O,O,O,O,O
LJOSITZ,O,X,O,O,O,O,O
LJOSIZT,O,X,X,X,X,X,O
LJOSZTI,O,X,X,O,X,O,O
LJOSZIT,O,X,X,X,X,O,O
LJOZTIS,X,O,X,X,X,O,X
LJOZTSI,X,O,X,X,X,O,O
LJOZITS,X,O,X,X,X,O,O
LJOZIST,O,O,X,X,X,O,O
LJOZSTI,O,O,X,O,X,O,O
LJOZSIT,O,O,X,X,X,O,O
LSTIJZO,O,X,O,O,O,X,X
LSTIJOZ,O,X,O,O,O,O,X
LSTIZJO,X,X,X,X,X,X,O
LSTIZOJ,O,X,O,X,O,X,O
LSTIOJZ,O,X,O,O,O,O,X
LSTIOZJ,O,X,O,X,O,X,O
LSTJIZO,O,X,O,O,O,X,X
LSTJIOZ,O,X,O,O,O,O,X
LSTJZIO,O,X,O,O,O,O,X
LSTJZOI,O,X,O,O,O,O,X
LSTJOIZ,O,X,O,O,O,O,O
LSTJOZI,O,X,O,O,O,O,O
LSTZIJO,O,X,X,X,X,X,O
LSTZIOJ,O,X,O,X,O,X,O
LSTZJIO,O,X,O,O,O,X,X
LSTZJOI,O,X,O,O,O,X,O
LSTZOIJ,O,X,O,X,O,X,O
LSTZOJI,O,X,O,O,O,X,O
