sequence,v115@9gA8IeA8IeB8HeG8AeA8KeCAJvhFXhB8mBziB5oB2q?BlsB,v115@9gA8IeA8IeB8HeG8AeA8KeGAJvhFihBziB5oBUlB3m?BlsB,v115@9gA8IeA8IeB8HeG8AeA8KefFJvhF6lBOmB8mBziB5o?BlsB,v115@9gA8IeA8IeB8HeG8AeA8KefFJvhF0gBmhBziB5oBSr?BlsB,v115@9gA8IeA8IeB8HeG8AeA8Kez/IvhFWnBxiBUmB6tB3l?BlsB,v115@9gA8IeA8IeB8HeG8AeA8Kez/IvhFWnBxiB3lB6tBUm?BlsB,v115@9gA8IeA8IeB8HeG8AeA8Kez/IvhF+lBihB3iB5oB1r?B8sB,v115@9gA8IeA8IeB8HeG8AeA8KeCAJvhFlhB3iB5oBTlB2r?B8sB,v115@9gA8IeA8IeB8HeG8AeA8Kez/IvhFGhBliB5oB3lByr?B8sB
TZIOSLJ,O,O,O,X,X,X,X,X,X
TZIOSJL,O,O,O,X,X,X,O,X,X
TZLIJSO,O,X,X,X,X,X,O,X,X
TZLIJOS,O,X,X,X,O,X,O,X,X
TZLISJO,X,X,X,X,X,X,O,X,X
TZLISOJ,O,X,X,X,X,X,X,X,X
TZLIOJS,O,X,X,X,O,X,X,X,X
TZLIOSJ,O,X,X,X,X,X,X,X,X
TZLJISO,O,X,X,X,X,X,O,X,X
TZLJIOS,O,X,X,X,O,X,O,X,X
TZLJSIO,O,X,X,X,X,X,O,X,X
TZLJSOI,O,X,X,X,X,X,O,X,X
TZLJOIS,O,X,X,X,O,X,O,X,X
TZLJOSI,O,X,X,X,O,X,O,X,X
TZLSIJO,X,X,X,X,X,X,O,X,X
TZLSIOJ,O,X,X,X,X,X,X,X,X
TZLSJIO,X,X,X,X,X,X,O,X,X
TZLSJOI,X,X,X,X,X,X,O,X,X
TZLSOIJ,O,X,X,X,X,X,X,X,X
TZLSOJI,X,X,X,X,X,X,X,X,X
TZLOIJS,O,X,X,X,O,X,X,X,X
TZLOISJ,O,X,X,X,X,X,X,X,X
TZLOJIS,O,X,X,X,O,X,X,X,X
TZLOJSI,O,X,X,X,O,X,X,X,X
TZLOSIJ,O,X,X,X,X,X,X,X,X
TZLOSJI,X,X,X,X,X,X,X,X,X
TZJILSO,O,X,X,X,X,X,O,X,X
TZJILOS,O,X,X,X,X,X,O,X,X
TZJISLO,O,O,O,X,X,X,O,X,X
TZJISOL,O,O,O,X,X,X,O,X,X
TZJIOLS,O,X,X,X,X,X,O,X,X
TZJIOSL,O,O,O,X,X,X,O,X,X
TZJLISO,O,X,X,X,X,X,O,X,X
TZJLIOS,O,X,X,X,O,X,O,X,X
TZJLSIO,O,X,X,X,X,X,O,X,X
TZJLSOI,O,X,X,X,X,X,O,X,X
TZJLOIS,O,X,X,X,O,X,O,X,X
TZJLOSI,O,X,X,X,O,X,O,X,X
TZJSILO,O,O,O,X,X,X,O,X,X
TZJSIOL,O,O,O,X,X,X,O,X,X
TZJSLIO,O,O,O,X,X,X,O,X,X
TZJSLOI,O,O,O,X,X,X,O,X,X
TZJSOIL,O,O,O,X,X,X,O,X,X
TZJSOLI,O,O,O,X,X,X,O,X,X
TZJOILS,O,X,X,X,X,X,O,X,X
TZJOISL,O,O,O,X,X,X,O,X,X
TZJOLIS,O,X,X,X,O,X,O,X,X
TZJOLSI,O,X,X,X,O,X,O,X,X
TZJOSIL,O,O,O,X,X,X,O,X,X
TZJOSLI,O,O,O,X,X,X,O,X,X
TZSILJO,X,O,O,X,X,X,O,X,X
TZSILOJ,O,O,O,X,X,X,X,X,X
TZSIJLO,O,O,O,X,X,X,O,X,X
TZSIJOL,O,O,O,X,X,X,O,X,X
TZSIOLJ,O,O,O,X,X,X,X,X,X
TZSIOJL,O,O,O,X,X,X,O,X,X
TZSLIJO,X,O,O,X,X,X,O,X,X
TZSLIOJ,O,O,O,X,X,X,X,X,X
TZSLJIO,X,O,O,X,X,X,O,X,X
TZSLJOI,X,O,O,X,X,X,O,X,X
TZSLOIJ,O,O,O,X,X,X,X,X,X
TZSLOJI,X,O,O,X,X,X,X,X,X
TZSJILO,O,O,O,X,X,X,O,X,X
TZSJIOL,O,O,O,X,X,X,O,X,X
TZSJLIO,O,O,O,X,X,X,O,X,X
TZSJLOI,O,O,O,X,X,X,O,X,X
TZSJOIL,O,O,O,X,X,X,O,X,X
TZSJOLI,O,O,O,X,X,X,O,X,X
TZSOILJ,O,O,O,X,X,X,X,X,X
TZSOIJL,O,O,O,X,X,X,O,X,X
TZSOLIJ,O,O,O,X,X,X,X,X,X
TZSOLJI,X,O,O,X,X,X,X,X,X
TZSOJIL,O,O,O,X,X,X,O,X,X
TZSOJLI,O,O,O,X,X,X,O,X,X
TZOILJS,O,X,X,X,X,X,X,X,X
TZOILSJ,O,X,X,X,X,X,X,X,X
TZOIJLS,O,X,X,X,X,X,O,X,X
TZOIJSL,O,O,O,X,X,X,O,X,X
TZOISLJ,O,O,O,X,X,X,X,X,X
TZOISJL,O,O,O,X,X,X,O,X,X
TZOLIJS,O,X,X,X,O,X,X,X,X
TZOLISJ,O,X,X,X,X,X,X,X,X
TZOLJIS,O,X,X,X,O,X,X,X,X
TZOLJSI,O,X,X,X,O,X,X,X,X
TZOLSIJ,O,X,X,X,X,X,X,X,X
TZOLSJI,X,X,X,X,X,X,X,X,X
TZOJILS,O,X,X,X,X,X,O,X,X
TZOJISL,O,O,O,X,X,X,O,X,X
TZOJLIS,O,X,X,X,O,X,O,X,X
TZOJLSI,O,X,X,X,O,X,O,X,X
TZOJSIL,O,O,O,X,X,X,O,X,X
TZOJSLI,O,O,O,X,X,X,O,X,X
TZOSILJ,O,O,O,X,X,X,X,X,X
TZOSIJL,O,O,O,X,X,X,O,X,X
TZOSLIJ,O,O,O,X,X,X,X,X,X
TZOSLJI,X,O,O,X,X,X,X,X,X
TZOSJIL,O,O,O,X,X,X,O,X,X
TZOSJLI,O,O,O,X,X,X,O,X,X
TOILJSZ,X,X,X,O,X,X,X,X,X
TOILJZS,O,X,X,X,X,X,X,X,X
TOILSJZ,X,X,X,O,X,X,X,X,X
TOILSZJ,X,X,X,O,X,X,X,X,X
TOILZJS,O,X,X,X,X,X,X,X,X
TOILZSJ,O,X,X,X,X,X,X,X,X
TOIJLSZ,X,X,X,O,X,X,X,X,X
TOIJLZS,O,X,X,X,X,X,O,X,X
TOIJSLZ,X,X,X,O,X,X,X,X,X
TOIJSZL,X,X,X,O,X,X,X,X,X
TOIJZLS,O,X,X,X,X,X,O,X,X
TOIJZSL,O,X,X,X,X,X,O,X,X
TOISLJZ,X,X,X,O,X,X,X,X,X
TOISLZJ,X,O,O,O,X,X,X,X,X
TOISJLZ,X,X,X,O,X,X,X,X,X
TOISJZL,X,X,X,O,X,X,X,X,X
TOISZLJ,X,O,O,O,X,X,X,X,X
TOISZJL,X,O,O,O,X,X,X,X,X
TOIZLJS,O,X,X,X,X,X,X,X,X
TOIZLSJ,O,X,X,X,X,X,X,X,X
TOIZJLS,O,X,X,X,X,X,O,X,X
TOIZJSL,O,O,O,X,X,X,O,X,X
TOIZSLJ,O,O,O,X,X,X,X,X,X
TOIZSJL,O,O,O,X,X,X,O,X,X
TOLIJSZ,X,X,X,O,X,O,X,X,X
TOLIJZS,O,X,X,X,O,X,X,X,X
TOLISJZ,X,X,X,O,X,O,X,X,X
TOLISZJ,X,X,X,O,X,X,X,X,X
TOLIZJS,O,X,X,X,O,X,X,X,X
TOLIZSJ,O,X,X,X,X,X,X,X,X
TOLJISZ,X,X,X,O,X,O,X,X,X
TOLJIZS,O,X,X,X,O,X,X,X,X
TOLJSIZ,X,X,X,O,X,O,X,X,X
TOLJSZI,X,X,X,O,X,O,X,X,X
TOLJZIS,O,X,X,X,O,X,X,X,X
TOLJZSI,O,X,X,X,O,X,X,X,X
TOLSIJZ,X,X,X,O,X,O,X,X,X
TOLSIZJ,X,X,X,O,X,X,X,X,X
TOLSJIZ,X,X,X,O,X,O,X,X,X
TOLSJZI,X,X,X,O,X,O,X,X,X
TOLSZIJ,X,X,X,O,X,X,X,X,X
TOLSZJI,X,X,X,O,X,X,X,X,X
TOLZIJS,O,X,X,X,O,X,X,X,X
TOLZISJ,O,X,X,X,X,X,X,X,X
TOLZJIS,O,X,X,X,O,X,X,X,X
TOLZJSI,O,X,X,X,O,X,X,X,X
TOLZSIJ,O,X,X,X,X,X,X,X,X
TOLZSJI,X,X,X,X,X,X,X,X,X
TOJILSZ,X,X,X,O,X,X,X,X,X
TOJILZS,O,X,X,X,X,X,O,X,X
TOJISLZ,X,X,X,O,X,X,X,X,X
TOJISZL,X,X,X,O,X,X,X,X,X
TOJIZLS,O,X,X,X,X,X,O,X,X
TOJIZSL,O,X,X,X,X,X,O,X,X
TOJLISZ,X,X,X,O,X,O,X,X,X
TOJLIZS,O,X,X,X,O,X,O,X,X
TOJLSIZ,X,X,X,O,X,O,X,X,X
TOJLSZI,X,X,X,O,X,O,X,X,X
TOJLZIS,O,X,X,X,O,X,O,X,X
TOJLZSI,O,X,X,X,O,X,O,X,X
TOJSILZ,X,X,X,O,X,X,X,X,X
TOJSIZL,X,X,X,O,X,X,X,X,X
TOJSLIZ,X,X,X,O,X,O,X,X,X
TOJSLZI,X,X,X,O,X,O,X,X,X
TOJSZIL,X,X,X,O,X,X,X,X,X
TOJSZLI,X,X,X,X,X,X,X,X,X
TOJZILS,O,X,X,X,X,X,O,X,X
TOJZISL,O,X,X,X,X,X,O,X,X
TOJZLIS,O,X,X,X,O,X,O,X,X
TOJZLSI,O,X,X,X,O,X,O,X,X
TOJZSIL,O,X,X,X,X,X,O,X,X
TOJZSLI,O,X,X,X,X,X,O,X,X
TOSILJZ,X,X,X,O,X,X,X,X,X
TOSILZJ,X,O,O,O,X,X,X,X,X
TOSIJLZ,X,X,X,O,X,X,X,X,X
TOSIJZL,X,X,X,O,X,X,X,X,X
TOSIZLJ,X,O,O,O,X,X,X,X,X
TOSIZJL,X,O,O,O,X,X,X,X,X
TOSLIJZ,X,X,X,O,X,O,X,X,X
TOSLIZJ,X,O,O,O,X,X,X,X,X
TOSLJIZ,X,X,X,O,X,O,X,X,X
TOSLJZI,X,X,X,O,X,O,X,X,X
TOSLZIJ,X,O,O,O,X,X,X,X,X
TOSLZJI,X,O,O,O,X,X,X,X,X
TOSJILZ,X,X,X,O,X,X,X,X,X
TOSJIZL,X,X,X,O,X,X,X,X,X
TOSJLIZ,X,X,X,O,X,O,X,X,X
TOSJLZI,X,X,X,O,X,O,X,X,X
TOSJZIL,X,X,X,O,X,X,X,X,X
TOSJZLI,X,X,X,X,X,X,X,X,X
TOSZILJ,X,O,O,O,X,X,X,X,X
TOSZIJL,X,O,O,O,X,X,X,X,X
TOSZLIJ,X,O,O,O,X,X,X,X,X
TOSZLJI,X,O,O,O,X,X,X,X,X
TOSZJIL,X,O,O,O,X,X,X,X,X
TOSZJLI,X,O,O,X,X,X,X,X,X
TOZILJS,O,X,X,X,X,X,X,X,X
TOZILSJ,O,X,X,X,X,X,X,X,X
TOZIJLS,O,X,X,X,X,X,O,X,X
TOZIJSL,O,O,O,X,X,X,O,X,X
TOZISLJ,O,O,O,X,X,X,X,X,X
TOZISJL,O,O,O,X,X,X,O,X,X
TOZLIJS,O,X,X,X,O,X,X,X,X
TOZLISJ,O,X,X,X,X,X,X,X,X
TOZLJIS,O,X,X,X,O,X,X,X,X
TOZLJSI,O,X,X,X,O,X,X,X,X
TOZLSIJ,O,X,X,X,X,X,X,X,X
TOZLSJI,X,X,X,X,X,X,X,X,X
TOZJILS,O,X,X,X,X,X,O,X,X
TOZJISL,O,O,O,X,X,X,O,X,X
TOZJLIS,O,X,X,X,O,X,O,X,X
TOZJLSI,O,X,X,X,O,X,O,X,X
TOZJSIL,O,O,O,X,X,X,O,X,X
TOZJSLI,O,O,O,X,X,X,O,X,X
TOZSILJ,O,O,O,X,X,X,X,X,X
TOZSIJL,O,O,O,X,X,X,O,X,X
TOZSLIJ,O,O,O,X,X,X,X,X,X
TOZSLJI,X,O,O,X,X,X,X,X,X
TOZSJIL,O,O,O,X,X,X,O,X,X
TOZSJLI,O,O,O,X,X,X,O,X,X
ITLJSZO,X,X,X,O,X,X,X,X,X
ITLJSOZ,X,X,X,O,X,X,X,X,X
ITLJZSO,O,X,X,X,X,X,O,X,X
ITLJZOS,O,X,X,X,X,X,O,X,X
ITLJOSZ,X,X,X,O,X,X,X,X,X
ITLJOZS,O,X,X,X,X,X,O,X,X
ITLSJZO,X,X,X,O,X,X,X,X,X
ITLSJOZ,X,X,X,O,X,X,X,X,X
ITLSZJO,X,X,X,O,X,X,X,X,X
ITLSZOJ,X,X,X,O,X,X,X,X,X
ITLSOJZ,X,X,X,O,X,X,X,X,X
ITLSOZJ,X,X,X,O,X,X,X,X,X
ITLZJSO,O,X,X,X,X,X,O,X,X
ITLZJOS,O,X,X,X,X,X,O,X,X
ITLZSJO,X,X,X,X,X,X,O,X,X
ITLZSOJ,O,X,X,X,X,X,X,X,X
ITLZOJS,O,X,X,X,X,X,X,X,X
ITLZOSJ,O,X,X,X,X,X,X,X,X
ITLOJSZ,X,X,X,O,X,X,X,X,X
ITLOJZS,O,X,X,X,X,X,X,X,X
ITLOSJZ,X,X,X,O,X,X,X,X,X
ITLOSZJ,X,X,X,O,X,X,X,X,X
ITLOZJS,O,X,X,X,X,X,X,X,X
ITLOZSJ,O,X,X,X,X,X,X,X,X
ITJLSZO,X,X,X,O,X,X,X,X,X
ITJLSOZ,X,X,X,O,X,X,X,X,X
ITJLZSO,O,X,X,X,X,X,O,X,X
ITJLZOS,O,X,X,X,X,X,O,X,X
ITJLOSZ,X,X,X,O,X,X,X,X,X
ITJLOZS,O,X,X,X,X,X,O,X,X
ITJSLZO,X,X,X,O,X,X,X,X,X
ITJSLOZ,X,X,X,O,X,X,X,X,X
ITJSZLO,X,X,X,X,X,X,X,X,X
ITJSZOL,X,X,X,O,X,X,X,X,X
ITJSOLZ,X,X,X,O,X,X,X,X,X
ITJSOZL,X,X,X,O,X,X,X,X,X
ITJZLSO,O,X,X,X,X,X,O,X,X
ITJZLOS,O,X,X,X,X,X,O,X,X
ITJZSLO,O,X,X,X,X,X,O,X,X
ITJZSOL,O,X,X,X,X,X,O,X,X
ITJZOLS,O,X,X,X,X,X,O,X,X
ITJZOSL,O,X,X,X,X,X,O,X,X
ITJOLSZ,X,X,X,O,X,X,X,X,X
ITJOLZS,O,X,X,X,X,X,O,X,X
ITJOSLZ,X,X,X,O,X,X,X,X,X
ITJOSZL,X,X,X,O,X,X,X,X,X
ITJOZLS,O,X,X,X,X,X,O,X,X
ITJOZSL,O,X,X,X,X,X,O,X,X
ITSLJZO,X,X,X,O,X,X,X,X,X
ITSLJOZ,X,X,X,O,X,X,X,X,X
ITSLZJO,X,O,O,O,X,X,X,X,X
ITSLZOJ,X,O,O,O,X,X,X,X,X
ITSLOJZ,X,X,X,O,X,X,X,X,X
ITSLOZJ,X,O,O,O,X,X,X,X,X
ITSJLZO,X,X,X,O,X,X,X,X,X
ITSJLOZ,X,X,X,O,X,X,X,X,X
ITSJZLO,X,X,X,X,X,X,X,X,X
ITSJZOL,X,X,X,O,X,X,X,X,X
ITSJOLZ,X,X,X,O,X,X,X,X,X
ITSJOZL,X,X,X,O,X,X,X,X,X
ITSZLJO,X,O,O,O,X,X,X,X,X
ITSZLOJ,X,O,O,O,X,X,X,X,X
ITSZJLO,X,O,O,X,X,X,X,X,X
ITSZJOL,X,O,O,O,X,X,X,X,X
ITSZOLJ,X,O,O,O,X,X,X,X,X
ITSZOJL,X,O,O,O,X,X,X,X,X
ITSOLJZ,X,X,X,O,X,X,X,X,X
ITSOLZJ,X,O,O,O,X,X,X,X,X
ITSOJLZ,X,X,X,O,X,X,X,X,X
ITSOJZL,X,X,X,O,X,X,X,X,X
ITSOZLJ,X,O,O,O,X,X,X,X,X
ITSOZJL,X,O,O,O,X,X,X,X,X
ITZLJSO,O,X,X,X,X,X,O,X,X
ITZLJOS,O,X,X,X,X,X,O,X,X
ITZLSJO,X,X,X,X,X,X,O,X,X
ITZLSOJ,O,X,X,X,X,X,X,X,X
ITZLOJS,O,X,X,X,X,X,X,X,X
ITZLOSJ,O,X,X,X,X,X,X,X,X
ITZJLSO,O,X,X,X,X,X,O,X,X
ITZJLOS,O,X,X,X,X,X,O,X,X
ITZJSLO,O,O,O,X,X,X,O,X,X
ITZJSOL,O,O,O,X,X,X,O,X,X
ITZJOLS,O,X,X,X,X,X,O,X,X
ITZJOSL,O,O,O,X,X,X,O,X,X
ITZSLJO,X,O,O,X,X,X,O,X,X
ITZSLOJ,O,O,O,X,X,X,X,X,X
ITZSJLO,O,O,O,X,X,X,O,X,X
ITZSJOL,O,O,O,X,X,X,O,X,X
ITZSOLJ,O,O,O,X,X,X,X,X,X
ITZSOJL,O,O,O,X,X,X,O,X,X
ITZOLJS,O,X,X,X,X,X,X,X,X
ITZOLSJ,O,X,X,X,X,X,X,X,X
ITZOJLS,O,X,X,X,X,X,O,X,X
ITZOJSL,O,O,O,X,X,X,O,X,X
ITZOSLJ,O,O,O,X,X,X,X,X,X
ITZOSJL,O,O,O,X,X,X,O,X,X
ITOLJSZ,X,X,X,O,X,X,X,X,X
ITOLJZS,O,X,X,X,X,X,X,X,X
ITOLSJZ,X,X,X,O,X,X,X,X,X
ITOLSZJ,X,X,X,O,X,X,X,X,X
ITOLZJS,O,X,X,X,X,X,X,X,X
ITOLZSJ,O,X,X,X,X,X,X,X,X
ITOJLSZ,X,X,X,O,X,X,X,X,X
ITOJLZS,O,X,X,X,X,X,O,X,X
ITOJSLZ,X,X,X,O,X,X,X,X,X
ITOJSZL,X,X,X,O,X,X,X,X,X
ITOJZLS,O,X,X,X,X,X,O,X,X
ITOJZSL,O,X,X,X,X,X,O,X,X
ITOSLJZ,X,X,X,O,X,X,X,X,X
ITOSLZJ,X,O,O,O,X,X,X,X,X
ITOSJLZ,X,X,X,O,X,X,X,X,X
ITOSJZL,X,X,X,O,X,X,X,X,X
ITOSZLJ,X,O,O,O,X,X,X,X,X
ITOSZJL,X,O,O,O,X,X,X,X,X
ITOZLJS,O,X,X,X,X,X,X,X,X
ITOZLSJ,O,X,X,X,X,X,X,X,X
ITOZJLS,O,X,X,X,X,X,O,X,X
ITOZJSL,O,O,O,X,X,X,O,X,X
ITOZSLJ,O,O,O,X,X,X,X,X,X
ITOZSJL,O,O,O,X,X,X,O,X,X
ILTJSZO,X,X,X,O,X,X,X,X,X
ILTJSOZ,X,X,X,O,X,X,X,X,X
ILTJZSO,O,X,X,X,X,X,X,X,X
ILTJZOS,O,X,X,X,X,X,X,X,X
ILTJOSZ,X,X,X,O,X,X,X,X,X
ILTJOZS,O,X,X,X,X,X,X,X,X
ILTSJZO,X,X,X,O,X,X,X,X,X
ILTSJOZ,X,X,X,O,X,X,X,X,X
ILTSZJO,X,X,X,O,X,X,X,X,X
ILTSZOJ,X,X,X,O,X,X,X,X,X
ILTSOJZ,X,X,X,O,X,X,X,X,X
ILTSOZJ,X,X,X,O,X,X,X,X,X
ILTZJSO,O,X,X,X,X,X,X,X,X
ILTZJOS,O,X,X,X,X,X,X,X,X
ILTZSJO,X,X,X,X,X,X,X,X,X
ILTZSOJ,O,X,X,X,X,X,X,X,X
ILTZOJS,O,X,X,X,X,X,X,X,X
ILTZOSJ,O,X,X,X,X,X,X,X,X
ILTOJSZ,X,X,X,O,X,X,X,X,X
ILTOJZS,O,X,X,X,X,X,X,X,X
ILTOSJZ,X,X,X,O,X,X,X,X,X
ILTOSZJ,X,X,X,O,X,X,X,X,X
ILTOZJS,O,X,X,X,X,X,X,X,X
ILTOZSJ,O,X,X,X,X,X,X,X,X
ILJTSZO,X,X,X,O,X,X,X,X,X
ILJTSOZ,X,X,X,O,X,X,X,X,X
ILJTZSO,O,X,X,X,X,X,X,O,X
ILJTZOS,O,X,X,X,X,X,X,X,X
ILJTOSZ,X,X,X,O,X,X,X,X,X
ILJTOZS,O,X,X,X,X,X,X,X,X
ILJSTZO,X,X,X,O,X,X,X,X,X
ILJSTOZ,X,X,X,O,X,X,X,X,X
ILJSZTO,O,X,X,O,X,X,X,X,O
ILJSZOT,X,X,X,X,X,X,X,X,O
ILJSOTZ,X,X,X,X,X,X,X,X,X
ILJSOZT,X,X,X,X,X,X,X,X,O
ILJZTSO,O,X,X,X,X,X,X,O,O
ILJZTOS,O,X,X,X,X,X,X,X,O
ILJZSTO,O,X,X,X,X,X,X,O,O
ILJZSOT,X,X,X,X,X,X,X,X,O
ILJZOTS,X,X,X,X,X,X,X,X,O
ILJZOST,X,X,X,X,X,X,X,X,X
ILJOTSZ,X,X,X,X,X,X,X,X,X
ILJOTZS,X,X,X,X,X,X,X,X,X
ILJOSTZ,X,X,X,X,X,X,X,X,X
ILJOSZT,X,X,X,X,X,X,X,X,X
ILJOZTS,X,X,X,X,X,X,X,X,O
ILJOZST,X,X,X,X,X,X,X,X,X
ILSTJZO,X,X,X,O,X,X,X,X,X
ILSTJOZ,X,X,X,O,X,X,X,X,X
ILSTZJO,X,X,X,O,X,X,X,X,X
ILSTZOJ,X,X,X,O,X,X,X,X,X
ILSTOJZ,X,X,X,O,X,X,X,X,X
ILSTOZJ,X,X,X,O,X,X,X,X,X
ILSJTZO,X,X,X,O,X,X,X,X,X
ILSJTOZ,X,X,X,O,X,X,X,X,X
ILSJZTO,X,X,X,O,X,X,X,X,O
ILSJZOT,X,X,X,X,X,X,X,X,O
ILSJOTZ,X,X,X,X,X,X,X,X,X
ILSJOZT,X,X,X,X,X,X,X,X,O
ILSZTJO,X,X,X,O,X,X,X,X,O
ILSZTOJ,X,X,X,O,X,X,X,X,O
ILSZJTO,X,X,X,O,X,X,X,X,O
ILSZJOT,X,X,X,X,X,X,X,X,O
ILSZOTJ,X,X,X,X,X,X,X,X,O
ILSZOJT,X,X,X,X,X,X,X,X,O
ILSOTJZ,X,X,X,X,X,X,X,X,X
ILSOTZJ,X,X,X,X,X,X,X,X,X
ILSOJTZ,X,X,X,X,X,X,X,X,X
ILSOJZT,X,X,X,X,X,X,X,X,O
ILSOZTJ,X,X,X,X,X,X,X,X,O
ILSOZJT,X,X,X,X,X,X,X,X,O
ILZTJSO,O,X,X,X,X,X,X,X,O
ILZTJOS,O,X,X,X,X,X,X,X,O
ILZTSJO,X,X,X,X,X,X,X,X,O
ILZTSOJ,O,X,X,X,X,X,X,X,O
ILZTOJS,O,X,X,X,X,X,X,X,O
ILZTOSJ,O,X,X,X,X,X,X,X,X
ILZJTSO,O,X,X,X,X,X,X,O,O
ILZJTOS,O,X,X,X,X,X,X,X,O
ILZJSTO,O,X,X,X,X,X,X,O,O
ILZJSOT,X,X,X,X,X,X,X,X,O
ILZJOTS,X,X,X,X,X,X,X,X,O
ILZJOST,X,X,X,X,X,X,X,X,X
ILZSTJO,X,X,X,X,X,X,X,O,O
ILZSTOJ,O,X,X,X,X,X,X,O,O
ILZSJTO,X,X,X,X,X,X,X,O,O
ILZSJOT,X,X,X,X,X,X,X,X,O
ILZSOTJ,X,X,X,X,X,X,X,O,O
ILZSOJT,X,X,X,X,X,X,X,O,O
ILZOTJS,X,X,X,X,X,X,X,X,O
ILZOTSJ,X,X,X,X,X,X,X,X,X
ILZOJTS,X,X,X,X,X,X,X,O,O
ILZOJST,X,X,X,X,X,X,X,O,X
ILZOSTJ,X,X,X,X,X,X,X,O,X
ILZOSJT,X,X,X,X,X,X,X,O,X
ILOTJSZ,X,X,X,X,X,X,X,X,X
ILOTJZS,X,X,X,X,X,X,X,X,X
ILOTSJZ,X,X,X,X,X,X,X,X,X
ILOTSZJ,X,X,X,X,X,X,X,X,X
ILOTZJS,X,X,X,X,X,X,X,X,X
ILOTZSJ,X,X,X,X,X,X,X,X,X
ILOJTSZ,X,X,X,X,X,X,X,X,X
ILOJTZS,X,X,X,X,X,X,X,O,X
ILOJSTZ,X,X,X,X,X,X,X,X,X
ILOJSZT,X,X,X,X,X,X,X,X,X
ILOJZTS,X,X,X,X,X,X,X,O,O
ILOJZST,X,X,X,X,X,X,X,O,X
ILOSTJZ,X,X,X,X,X,X,X,X,X
ILOSTZJ,X,X,X,X,X,X,X,X,X
ILOSJTZ,X,X,X,X,X,X,X,X,X
ILOSJZT,X,X,X,X,X,X,X,X,X
ILOSZTJ,X,X,X,X,X,X,X,X,X
ILOSZJT,X,X,X,X,X,X,X,X,X
ILOZTJS,X,X,X,X,X,X,X,X,O
ILOZTSJ,X,X,X,X,X,X,X,X,X
ILOZJTS,X,X,X,X,X,X,X,O,O
ILOZJST,X,X,X,X,X,X,X,O,X
ILOZSTJ,X,X,X,X,X,X,X,O,X
ILOZSJT,X,X,X,X,X,X,X,O,X
IJTLSZO,X,X,X,X,X,X,X,X,X
IJTLSOZ,X,X,X,X,X,X,X,X,X
IJTLZSO,O,X,X,X,X,X,O,O,X
IJTLZOS,O,X,X,X,X,X,O,X,X
IJTLOSZ,X,X,X,X,X,X,X,X,X
IJTLOZS,O,X,X,X,X,X,O,X,X
IJTSLZO,X,X,X,X,X,X,X,X,X
IJTSLOZ,X,X,X,X,X,X,X,X,X
IJTSZLO,X,X,X,X,X,X,X,X,X
IJTSZOL,X,X,X,X,X,X,X,X,X
IJTSOLZ,X,X,X,X,X,X,X,X,X
IJTSOZL,X,X,X,X,X,X,X,X,X
IJTZLSO,O,X,X,X,X,X,O,O,X
IJTZLOS,O,X,X,X,X,X,O,X,X
IJTZSLO,O,X,X,X,X,X,O,O,X
IJTZSOL,O,X,X,X,X,X,O,O,X
IJTZOLS,O,X,X,X,X,X,O,O,X
IJTZOSL,O,X,X,X,X,X,O,O,X
IJTOLSZ,X,X,X,X,X,X,X,X,X
IJTOLZS,O,X,X,X,X,X,O,O,X
IJTOSLZ,X,X,X,X,X,X,X,X,X
IJTOSZL,X,X,X,X,X,X,X,X,X
IJTOZLS,O,X,X,X,X,X,O,O,X
IJTOZSL,O,X,X,X,X,X,O,O,X
IJLTSZO,X,X,X,X,X,X,X,X,X
IJLTSOZ,X,X,X,X,X,X,X,X,X
IJLTZSO,O,X,X,X,X,X,X,O,X
IJLTZOS,O,X,X,X,X,X,X,X,X
IJLTOSZ,X,X,X,X,X,X,X,X,X
IJLTOZS,O,X,X,X,X,X,X,X,X
IJLSTZO,X,X,X,X,X,X,X,X,X
IJLSTOZ,X,X,X,X,X,X,X,X,X
IJLSZTO,O,X,X,X,X,X,X,X,X
IJLSZOT,X,X,X,X,X,X,X,X,X
IJLSOTZ,X,X,X,X,X,X,X,X,X
IJLSOZT,X,X,X,X,X,X,X,X,X
IJLZTSO,O,X,X,X,X,X,X,O,X
IJLZTOS,O,X,X,X,X,X,X,X,X
IJLZSTO,O,X,X,X,X,X,X,O,X
IJLZSOT,X,X,X,X,X,X,X,X,X
IJLZOTS,X,X,X,X,X,X,X,X,X
IJLZOST,X,X,X,X,X,X,X,X,X
IJLOTSZ,X,X,X,X,X,X,X,X,X
IJLOTZS,X,X,X,X,X,X,X,X,X
IJLOSTZ,X,X,X,X,X,X,X,X,X
IJLOSZT,X,X,X,X,X,X,X,X,X
IJLOZTS,X,X,X,X,X,X,X,X,X
IJLOZST,X,X,X,X,X,X,X,X,X
IJSTLZO,X,X,X,X,X,X,X,X,X
IJSTLOZ,X,X,X,X,X,X,X,X,X
IJSTZLO,X,X,X,X,X,X,X,X,X
IJSTZOL,X,X,X,X,X,X,X,X,X
IJSTOLZ,X,X,X,X,X,X,X,X,X
IJSTOZL,X,X,X,X,X,X,X,X,X
IJSLTZO,X,X,X,X,X,X,X,X,X
IJSLTOZ,X,X,X,X,X,X,X,X,X
IJSLZTO,O,X,O,X,X,X,X,X,X
IJSLZOT,X,X,X,X,X,X,X,X,X
