sequence,v115@3gD8HeA8IeC8AeB8CeD8AeC8AeE8KeK/IvhFGbBXeB?UgBThB5oBlqB,v115@3gD8HeA8IeC8AeB8CeD8AeC8AeE8Ke06IvhF6gBXeB?2kBThB5oBlqB,v115@3gD8HeA8IeC8AeB8CeD8AeC8AeE8KeO/IvhF0bBXeB?zfBSmB5oBlqB,v115@3gD8HeA8IeC8AeB8CeD8AeC8AeE8KeT6IvhFXeBlgB?cmB5oBmkB6qB,v115@3gD8HeA8IeC8AeB8CeD8AeC8AeE8Kex6IvhFTfBlgB?cmBGjB/qB6tB,v115@3gD8HeA8IeC8AeB8CeD8AeC8AeE8KeT6IvhFXeBykB?GhB5oB0gBlqB,v115@3gD8HeA8IeC8AeB8CeD8AeC8AeE8Ke1AJvhFXeBTfB?cmB5oB6qBmpB
IZTJLSO,X,O,O,O,X,O,X
IZTJLOS,X,O,O,O,X,O,X
IZTJSLO,X,O,O,O,X,O,X
IZTJSOL,X,O,O,O,X,X,X
IZTJOLS,X,O,O,O,X,X,X
IZTJOSL,X,O,O,O,O,X,X
IZTSLJO,O,O,O,O,X,O,O
IZTSLOJ,O,X,O,X,X,O,O
IZTSJLO,X,O,O,O,X,O,X
IZTSJOL,X,O,O,O,X,X,X
IZTSOLJ,O,O,O,X,X,X,O
IZTSOJL,X,O,O,O,X,X,X
IZTOLJS,O,O,O,X,X,X,O
IZTOLSJ,O,O,O,X,X,X,O
IZTOJLS,X,O,O,O,X,X,X
IZTOJSL,X,O,O,O,O,X,X
IZTOSLJ,O,O,O,X,X,X,O
IZTOSJL,X,O,O,O,X,X,X
IZLTJSO,O,X,O,O,X,X,O
IZLTJOS,O,X,X,O,X,X,O
IZLTSJO,O,X,O,O,X,X,O
IZLTSOJ,O,X,O,X,X,X,O
IZLTOJS,O,X,O,X,X,X,O
IZLTOSJ,O,X,O,X,X,X,O
IZLJTSO,O,X,O,O,X,X,O
IZLJTOS,X,X,X,O,X,X,O
IZLJSTO,O,X,O,O,X,X,O
IZLJSOT,O,X,O,O,X,O,O
IZLJOTS,X,X,O,O,X,X,O
IZLJOST,O,X,O,O,X,O,O
IZLSTJO,O,X,O,O,X,X,O
IZLSTOJ,O,X,O,X,X,X,O
IZLSJTO,O,X,O,O,X,X,O
IZLSJOT,O,X,O,O,X,O,O
IZLSOTJ,O,X,O,X,X,X,O
IZLSOJT,O,X,O,X,X,O,O
IZLOTJS,O,X,O,X,X,X,O
IZLOTSJ,O,X,O,X,X,X,O
IZLOJTS,O,X,O,X,X,X,O
IZLOJST,O,X,O,X,X,O,O
IZLOSTJ,O,X,O,X,X,X,O
IZLOSJT,O,X,O,X,X,O,O
IZJTLSO,X,O,O,O,X,O,X
IZJTLOS,X,O,O,O,X,O,X
IZJTSLO,X,O,O,O,X,O,X
IZJTSOL,X,O,O,O,X,X,X
IZJTOLS,X,O,O,O,X,X,X
IZJTOSL,X,O,O,O,O,X,X
IZJLTSO,X,O,O,O,X,X,O
IZJLTOS,X,X,X,O,X,X,O
IZJLSTO,X,O,O,O,X,X,O
IZJLSOT,X,O,O,O,X,O,O
IZJLOTS,X,X,X,O,X,X,O
IZJLOST,X,O,O,O,X,O,O
IZJSTLO,X,O,O,O,X,O,X
IZJSTOL,X,O,O,O,O,X,X
IZJSLTO,X,O,O,O,X,X,O
IZJSLOT,X,O,O,O,X,O,O
IZJSOTL,X,X,O,O,O,X,X
IZJSOLT,X,O,O,O,X,X,O
IZJOTLS,X,X,X,O,X,X,X
IZJOTSL,X,X,O,O,O,X,X
IZJOLTS,X,X,O,O,X,X,O
IZJOLST,X,O,O,O,X,X,O
IZJOSTL,X,X,O,O,O,X,X
IZJOSLT,X,O,O,O,X,X,O
IZSTLJO,O,O,O,O,X,O,O
IZSTLOJ,O,X,O,X,X,O,O
IZSTJLO,X,O,O,O,X,O,X
IZSTJOL,X,O,O,O,O,X,X
IZSTOLJ,O,O,O,X,O,X,O
IZSTOJL,X,O,O,O,O,X,X
IZSLTJO,O,X,O,O,X,X,O
IZSLTOJ,O,X,O,X,X,X,O
IZSLJTO,O,X,O,O,X,X,O
IZSLJOT,O,X,O,O,X,O,O
IZSLOTJ,O,X,O,X,X,X,O
IZSLOJT,O,X,O,X,X,O,O
IZSJTLO,X,O,O,O,X,O,X
IZSJTOL,X,O,O,O,O,X,X
IZSJLTO,X,O,O,O,X,X,O
IZSJLOT,X,O,O,O,X,O,O
IZSJOTL,X,X,O,O,O,X,X
IZSJOLT,X,O,O,O,X,X,O
IZSOTLJ,O,O,X,X,O,X,O
IZSOTJL,X,O,O,O,O,X,X
IZSOLTJ,O,X,O,X,X,X,O
IZSOLJT,O,X,O,X,X,X,O
IZSOJTL,X,O,O,O,O,X,X
IZSOJLT,X,O,O,O,X,X,O
IZOTLJS,O,O,X,X,X,X,O
IZOTLSJ,O,O,X,X,X,X,O
IZOTJLS,X,O,X,O,X,X,X
IZOTJSL,X,O,O,O,O,X,X
IZOTSLJ,O,O,X,X,X,X,O
IZOTSJL,X,O,O,O,X,X,X
IZOLTJS,O,X,O,X,X,X,O
IZOLTSJ,O,X,O,X,X,X,O
IZOLJTS,O,X,O,X,X,X,O
IZOLJST,O,X,O,X,X,X,O
IZOLSTJ,O,X,O,X,X,X,O
IZOLSJT,O,X,O,X,X,X,O
IZOJTLS,X,O,X,O,X,X,X
IZOJTSL,X,O,O,O,O,X,X
IZOJLTS,X,O,O,O,X,X,O
IZOJLST,X,O,O,O,X,X,O
IZOJSTL,X,O,O,O,O,X,X
IZOJSLT,X,O,O,O,X,X,O
IZOSTLJ,O,O,X,X,O,X,O
IZOSTJL,X,O,O,O,O,X,X
IZOSLTJ,O,X,O,X,X,X,O
IZOSLJT,O,X,O,X,X,X,O
IZOSJTL,X,O,O,O,O,X,X
IZOSJLT,X,O,O,O,X,X,O
IOTLJSZ,O,O,O,X,X,O,X
IOTLJZS,O,O,O,X,X,O,X
IOTLSJZ,O,O,O,X,X,O,X
IOTLSZJ,O,O,O,X,X,O,X
IOTLZJS,O,O,O,X,X,O,X
IOTLZSJ,O,O,O,X,X,O,X
IOTJLSZ,O,O,O,X,X,O,X
IOTJLZS,O,O,O,X,X,O,X
IOTJSLZ,O,O,O,X,X,O,X
IOTJSZL,X,O,O,X,X,X,X
IOTJZLS,X,O,O,X,X,X,X
IOTJZSL,X,O,O,X,X,X,X
IOTSLJZ,O,O,O,X,X,O,X
IOTSLZJ,O,O,O,X,X,O,X
IOTSJLZ,O,O,O,X,X,O,X
IOTSJZL,X,O,O,X,X,X,X
IOTSZLJ,O,O,O,X,X,X,O
IOTSZJL,X,O,O,X,X,X,X
IOTZLJS,O,O,O,X,X,X,O
IOTZLSJ,O,O,O,X,X,X,O
IOTZJLS,X,O,O,X,X,X,X
IOTZJSL,X,O,O,X,X,X,X
IOTZSLJ,O,O,O,X,X,X,O
IOTZSJL,X,O,O,X,X,X,X
IOLTJSZ,O,O,O,X,X,O,X
IOLTJZS,O,O,O,X,X,X,X
IOLTSJZ,O,O,O,X,X,O,X
IOLTSZJ,O,O,O,X,X,X,X
IOLTZJS,O,O,O,X,X,X,X
IOLTZSJ,O,O,O,X,X,X,X
IOLJTSZ,O,X,O,X,X,O,X
IOLJTZS,O,X,O,X,X,X,X
IOLJSTZ,O,X,O,X,X,O,X
IOLJSZT,O,O,O,X,X,O,X
IOLJZTS,O,O,O,X,X,X,X
IOLJZST,O,O,O,X,X,O,X
IOLSTJZ,O,O,O,X,X,O,X
IOLSTZJ,O,O,O,X,X,X,X
IOLSJTZ,O,X,O,X,X,O,X
IOLSJZT,O,O,O,X,X,O,X
IOLSZTJ,O,X,O,X,X,X,O
IOLSZJT,O,X,O,X,X,O,O
IOLZTJS,O,X,O,X,X,X,O
IOLZTSJ,O,X,O,X,X,X,O
IOLZJTS,O,X,O,X,X,X,O
IOLZJST,O,X,O,X,X,O,O
IOLZSTJ,O,X,O,X,X,X,O
IOLZSJT,O,X,O,X,X,O,O
IOJTLSZ,O,O,O,X,X,O,X
IOJTLZS,O,O,O,X,X,O,X
IOJTSLZ,O,O,O,X,X,O,X
IOJTSZL,X,O,O,O,X,X,X
IOJTZLS,X,O,O,O,X,X,X
IOJTZSL,X,O,O,O,X,X,X
IOJLTSZ,O,X,O,X,X,O,X
IOJLTZS,O,X,O,X,X,X,X
IOJLSTZ,O,X,O,X,X,O,X
IOJLSZT,O,O,O,O,X,O,X
IOJLZTS,O,O,O,O,X,X,X
IOJLZST,O,O,O,O,X,O,X
IOJSTLZ,O,O,O,X,X,O,X
IOJSTZL,X,O,O,O,X,X,X
IOJSLTZ,O,X,O,X,X,O,X
IOJSLZT,O,O,O,O,X,O,X
IOJSZTL,X,O,O,O,O,X,X
IOJSZLT,X,O,O,O,X,X,O
IOJZTLS,X,O,X,O,X,X,X
IOJZTSL,X,O,O,O,O,X,X
IOJZLTS,X,O,O,O,X,X,O
IOJZLST,X,O,O,O,X,X,O
IOJZSTL,X,O,O,O,O,X,X
IOJZSLT,X,O,O,O,X,X,O
IOSTLJZ,O,O,O,X,X,O,X
IOSTLZJ,O,O,O,X,X,O,X
IOSTJLZ,O,O,O,X,X,O,X
IOSTJZL,X,O,O,X,X,X,X
IOSTZLJ,O,O,O,X,X,X,O
IOSTZJL,X,O,O,X,X,X,X
IOSLTJZ,O,O,O,X,X,O,X
IOSLTZJ,O,O,O,X,X,X,X
IOSLJTZ,O,X,O,X,X,O,X
IOSLJZT,O,O,O,X,X,O,X
IOSLZTJ,O,X,O,X,X,X,O
IOSLZJT,O,X,O,X,X,O,O
IOSJTLZ,O,O,O,X,X,O,X
IOSJTZL,X,O,O,O,X,X,X
IOSJLTZ,O,X,O,X,X,O,X
IOSJLZT,O,O,O,O,X,O,X
IOSJZTL,X,O,O,O,O,X,X
IOSJZLT,X,O,O,O,X,X,O
IOSZTLJ,O,O,X,X,O,X,O
IOSZTJL,X,O,O,O,O,X,X
IOSZLTJ,O,X,O,X,X,X,O
IOSZLJT,O,X,O,X,X,X,O
IOSZJTL,X,O,O,O,O,X,X
IOSZJLT,X,O,O,O,X,X,O
IOZTLJS,O,O,X,X,X,X,O
IOZTLSJ,O,O,X,X,X,X,O
IOZTJLS,X,O,X,O,X,X,X
IOZTJSL,X,O,O,O,O,X,X
IOZTSLJ,O,O,X,X,X,X,O
IOZTSJL,X,O,O,O,X,X,X
IOZLTJS,O,X,O,X,X,X,O
IOZLTSJ,O,X,O,X,X,X,O
IOZLJTS,O,X,O,X,X,X,O
IOZLJST,O,X,O,X,X,X,O
IOZLSTJ,O,X,O,X,X,X,O
IOZLSJT,O,X,O,X,X,X,O
IOZJTLS,X,O,X,O,X,X,X
IOZJTSL,X,O,O,O,O,X,X
IOZJLTS,X,O,O,O,X,X,O
IOZJLST,X,O,O,O,X,X,O
IOZJSTL,X,O,O,O,O,X,X
IOZJSLT,X,O,O,O,X,X,O
IOZSTLJ,O,O,X,X,O,X,O
IOZSTJL,X,O,O,O,O,X,X
IOZSLTJ,O,X,O,X,X,X,O
IOZSLJT,O,X,O,X,X,X,O
IOZSJTL,X,O,O,O,O,X,X
IOZSJLT,X,O,O,O,X,X,O
LTIJSZO,O,O,O,X,X,O,X
LTIJSOZ,O,O,O,X,X,O,X
LTIJZSO,O,O,O,X,X,O,X
LTIJZOS,O,O,O,X,X,O,X
LTIJOSZ,O,O,O,X,X,O,X
LTIJOZS,O,O,O,X,X,O,X
LTISJZO,O,O,O,X,X,O,X
LTISJOZ,O,O,O,X,X,O,X
LTISZJO,O,O,O,X,X,O,X
LTISZOJ,O,X,O,X,X,O,X
LTISOJZ,O,O,O,X,X,O,X
LTISOZJ,O,O,O,X,X,O,X
LTIZJSO,O,O,O,X,X,O,X
LTIZJOS,O,O,O,X,X,O,X
LTIZSJO,O,O,O,X,X,O,X
LTIZSOJ,O,X,O,X,X,O,X
LTIZOJS,O,X,O,X,X,O,X
LTIZOSJ,O,X,O,X,X,O,X
LTIOJSZ,O,O,O,X,X,O,X
LTIOJZS,O,O,O,X,X,O,X
LTIOSJZ,O,O,O,X,X,O,X
LTIOSZJ,O,O,O,X,X,O,X
LTIOZJS,O,O,O,X,X,O,X
LTIOZSJ,O,O,O,X,X,O,X
LTJISZO,O,O,O,X,X,O,X
LTJISOZ,O,O,O,X,X,O,X
LTJIZSO,O,O,O,X,X,O,X
LTJIZOS,O,O,O,X,X,O,X
LTJIOSZ,O,O,O,X,X,O,X
LTJIOZS,O,O,O,X,X,O,X
LTJSIZO,X,O,O,X,X,O,X
LTJSIOZ,X,O,O,X,X,O,X
LTJSZIO,O,O,O,X,X,X,X
LTJSZOI,O,O,O,X,X,X,X
LTJSOIZ,X,X,O,X,X,O,X
LTJSOZI,O,O,O,X,X,X,X
LTJZISO,O,O,O,X,X,O,X
LTJZIOS,O,O,O,X,X,O,X
LTJZSIO,O,O,O,X,X,X,X
LTJZSOI,O,O,O,X,X,X,X
LTJZOIS,O,O,O,X,X,O,X
LTJZOSI,O,O,O,X,X,X,X
LTJOISZ,O,O,O,X,X,O,X
LTJOIZS,O,O,O,X,X,O,X
LTJOSIZ,X,X,O,X,X,O,X
LTJOSZI,O,O,O,X,X,X,X
LTJOZIS,O,O,O,X,X,O,X
LTJOZSI,O,O,O,X,X,X,X
LTSIJZO,O,O,O,X,X,O,X
LTSIJOZ,O,O,O,X,X,O,X
LTSIZJO,O,O,O,X,X,O,X
LTSIZOJ,O,X,O,X,X,O,X
LTSIOJZ,O,O,O,X,X,O,X
LTSIOZJ,O,X,O,X,X,O,X
LTSJIZO,X,O,O,X,X,O,X
LTSJIOZ,X,O,O,X,X,O,X
LTSJZIO,O,O,O,X,X,X,X
LTSJZOI,O,O,O,X,X,X,X
LTSJOIZ,X,X,O,X,X,O,X
LTSJOZI,O,O,O,X,X,X,X
LTSZIJO,O,X,O,X,X,X,X
LTSZIOJ,O,X,O,X,X,X,X
LTSZJIO,O,O,O,X,X,X,X
LTSZJOI,O,O,O,X,X,X,X
LTSZOIJ,O,X,O,X,X,X,X
LTSZOJI,O,X,O,X,X,X,X
LTSOIJZ,O,O,O,X,X,O,X
LTSOIZJ,O,X,O,X,X,O,X
LTSOJIZ,X,O,O,X,X,O,X
LTSOJZI,O,O,O,X,X,X,X
LTSOZIJ,O,X,O,X,X,X,X
LTSOZJI,O,O,O,X,X,X,X
LTZIJSO,O,O,O,X,X,O,X
LTZIJOS,O,O,O,X,X,O,X
LTZISJO,O,O,O,X,X,O,X
LTZISOJ,O,X,O,X,X,O,X
LTZIOJS,O,X,O,X,X,O,X
LTZIOSJ,O,X,O,X,X,O,X
LTZJISO,O,O,O,X,X,O,X
LTZJIOS,O,O,O,X,X,O,X
LTZJSIO,O,O,O,X,X,X,X
LTZJSOI,O,O,O,X,X,X,X
LTZJOIS,O,O,O,X,X,O,X
LTZJOSI,O,O,O,X,X,X,X
LTZSIJO,O,X,O,X,X,X,X
LTZSIOJ,O,X,O,X,X,X,X
LTZSJIO,O,O,O,X,X,X,X
LTZSJOI,O,O,O,X,X,X,X
LTZSOIJ,O,X,O,X,X,X,X
LTZSOJI,O,X,O,X,X,X,X
LTZOIJS,O,X,O,X,X,O,X
LTZOISJ,O,X,O,X,X,O,X
LTZOJIS,O,X,O,X,X,O,X
LTZOJSI,O,X,O,X,X,X,X
LTZOSIJ,O,X,O,X,X,X,X
LTZOSJI,O,X,O,X,X,X,X
LTOIJSZ,O,O,O,X,X,O,X
LTOIJZS,O,O,O,X,X,O,X
LTOISJZ,O,O,O,X,X,O,X
LTOISZJ,O,O,O,X,X,O,X
LTOIZJS,O,O,O,X,X,O,X
LTOIZSJ,O,O,O,X,X,O,X
LTOJISZ,O,O,O,X,X,O,X
LTOJIZS,O,O,O,X,X,O,X
LTOJSIZ,X,O,O,X,X,O,X
LTOJSZI,O,O,O,X,X,X,X
LTOJZIS,O,O,O,X,X,O,X
LTOJZSI,O,O,O,X,X,X,X
LTOSIJZ,O,O,O,X,X,O,X
LTOSIZJ,O,O,O,X,X,O,X
LTOSJIZ,X,O,O,X,X,O,X
LTOSJZI,O,O,O,X,X,X,X
LTOSZIJ,O,X,O,X,X,X,X
LTOSZJI,O,O,O,X,X,X,X
LTOZIJS,O,O,O,X,X,O,X
LTOZISJ,O,O,O,X,X,O,X
LTOZJIS,O,O,O,X,X,O,X
LTOZJSI,O,O,O,X,X,X,X
LTOZSIJ,O,X,O,X,X,X,X
LTOZSJI,O,O,O,X,X,X,X
LITJSZO,O,O,O,X,X,O,X
LITJSOZ,O,O,O,X,X,O,X
LITJZSO,O,O,O,X,X,O,X
LITJZOS,O,O,O,X,X,O,X
LITJOSZ,O,O,O,X,X,O,X
LITJOZS,O,O,O,X,X,O,X
LITSJZO,O,O,O,X,X,O,X
LITSJOZ,O,O,O,X,X,O,X
LITSZJO,O,O,O,X,X,O,X
LITSZOJ,O,X,O,X,X,O,X
LITSOJZ,O,O,O,X,X,O,X
LITSOZJ,O,O,O,X,X,O,X
LITZJSO,O,O,O,X,X,O,X
LITZJOS,O,O,O,X,X,O,X
LITZSJO,O,O,O,X,X,O,X
LITZSOJ,O,X,O,X,X,O,X
LITZOJS,O,X,O,X,X,O,X
LITZOSJ,O,X,O,X,X,O,X
LITOJSZ,O,O,O,X,X,O,X
LITOJZS,O,O,O,X,X,O,X
LITOSJZ,O,O,O,X,X,O,X
LITOSZJ,O,O,O,X,X,O,X
LITOZJS,O,O,O,X,X,O,X
LITOZSJ,O,O,O,X,X,O,X
LIJTSZO,O,O,O,X,X,O,X
LIJTSOZ,O,O,O,X,X,O,X
LIJTZSO,O,O,O,X,X,O,X
LIJTZOS,O,O,O,X,X,O,X
LIJTOSZ,O,O,O,X,X,O,X
LIJTOZS,O,O,O,X,X,O,X
LIJSTZO,O,O,O,X,X,O,X
LIJSTOZ,O,O,O,X,X,O,X
LIJSZTO,O,O,O,O,X,X,X
LIJSZOT,O,O,O,O,X,O,X
LIJSOTZ,O,X,O,X,X,O,X
LIJSOZT,O,X,O,O,X,O,X
LIJZTSO,O,O,O,O,X,X,X
LIJZTOS,X,X,X,O,X,X,X
LIJZSTO,O,O,O,O,X,X,X
LIJZSOT,O,O,O,O,X,O,X
LIJZOTS,X,X,O,O,X,X,X
LIJZOST,O,O,O,O,X,O,X
LIJOTSZ,O,X,O,X,X,O,X
LIJOTZS,O,X,O,X,X,X,X
LIJOSTZ,O,X,O,X,X,O,X
LIJOSZT,O,X,O,O,X,O,X
LIJOZTS,O,X,O,O,X,X,X
LIJOZST,O,X,O,O,X,O,X
LISTJZO,O,O,O,X,X,O,X
LISTJOZ,O,O,O,X,X,O,X
LISTZJO,O,O,O,X,X,O,X
LISTZOJ,O,X,O,X,X,O,X
LISTOJZ,O,O,O,X,X,O,X
LISTOZJ,O,O,O,X,X,O,X
LISJTZO,O,O,O,X,X,O,X
LISJTOZ,O,O,O,X,X,O,X
LISJZTO,O,O,O,O,X,X,X
LISJZOT,O,O,O,O,X,O,X
LISJOTZ,O,X,O,X,X,O,X
LISJOZT,O,X,O,O,X,O,X
LISZTJO,O,X,O,O,X,X,O
LISZTOJ,O,X,O,X,X,X,O
LISZJTO,O,X,O,O,X,X,O
LISZJOT,O,X,O,O,X,O,O
LISZOTJ,O,X,O,X,X,X,O
LISZOJT,O,X,O,X,X,O,O
LISOTJZ,O,O,O,X,X,O,X
LISOTZJ,O,O,O,X,X,X,X
LISOJTZ,O,X,O,X,X,O,X
LISOJZT,O,O,O,X,X,O,X
LISOZTJ,O,X,O,X,X,X,O
LISOZJT,O,X,O,X,X,O,O
LIZTJSO,O,X,O,O,X,X,O
LIZTJOS,O,X,X,O,X,X,O
LIZTSJO,O,X,O,O,X,X,O
LIZTSOJ,O,X,O,X,X,X,O
LIZTOJS,O,X,O,X,X,X,O
LIZTOSJ,O,X,O,X,X,X,O
LIZJTSO,O,X,O,O,X,X,O
LIZJTOS,X,X,X,O,X,X,O
LIZJSTO,O,X,O,O,X,X,O
LIZJSOT,O,X,O,O,X,O,O
LIZJOTS,X,X,O,O,X,X,O
LIZJOST,O,X,O,O,X,O,O
LIZSTJO,O,X,O,O,X,X,O
LIZSTOJ,O,X,O,X,X,X,O
LIZSJTO,O,X,O,O,X,X,O
LIZSJOT,O,X,O,O,X,O,O
LIZSOTJ,O,X,O,X,X,X,O
LIZSOJT,O,X,O,X,X,O,O
LIZOTJS,O,X,O,X,X,X,O
LIZOTSJ,O,X,O,X,X,X,O
LIZOJTS,O,X,O,X,X,X,O
LIZOJST,O,X,O,X,X,O,O
LIZOSTJ,O,X,O,X,X,X,O
LIZOSJT,O,X,O,X,X,O,O
LIOTJSZ,O,O,O,X,X,O,X
LIOTJZS,O,O,O,X,X,X,X
LIOTSJZ,O,O,O,X,X,O,X
LIOTSZJ,O,O,O,X,X,X,X
LIOTZJS,O,O,O,X,X,X,X
LIOTZSJ,O,O,O,X,X,X,X
LIOJTSZ,O,X,O,X,X,O,X
LIOJTZS,O,X,O,X,X,X,X
LIOJSTZ,O,X,O,X,X,O,X
LIOJSZT,O,O,O,X,X,O,X
LIOJZTS,O,O,O,X,X,X,X
LIOJZST,O,O,O,X,X,O,X
LIOSTJZ,O,O,O,X,X,O,X
LIOSTZJ,O,O,O,X,X,X,X
LIOSJTZ,O,X,O,X,X,O,X
LIOSJZT,O,O,O,X,X,O,X
LIOSZTJ,O,X,O,X,X,X,O
LIOSZJT,O,X,O,X,X,O,O
LIOZTJS,O,X,O,X,X,X,O
LIOZTSJ,O,X,O,X,X,X,O
LIOZJTS,O,X,O,X,X,X,O
LIOZJST,O,X,O,X,X,O,O
LIOZSTJ,O,X,O,X,X,X,O
LIOZSJT,O,X,O,X,X,O,O
LJTISZO,O,O,O,X,X,O,X
LJTISOZ,O,O,O,X,X,O,X
LJTIZSO,O,O,O,X,X,O,X
LJTIZOS,O,O,O,X,X,O,X
LJTIOSZ,O,O,O,X,X,O,X
LJTIOZS,O,O,O,X,X,O,X
LJTSIZO,X,O,O,X,X,O,X
LJTSIOZ,X,O,O,X,X,O,X
LJTSZIO,O,O,O,X,X,X,X
LJTSZOI,O,O,O,X,X,X,X
LJTSOIZ,X,X,O,X,X,O,X
LJTSOZI,O,O,O,X,X,X,X
LJTZISO,O,O,O,X,X,O,X
LJTZIOS,O,O,O,X,X,O,X
LJTZSIO,O,O,O,X,X,X,X
LJTZSOI,O,O,O,X,X,X,X
LJTZOIS,O,O,O,X,X,O,X
LJTZOSI,O,O,O,X,X,X,X
LJTOISZ,O,O,O,X,X,O,X
LJTOIZS,O,O,O,X,X,O,X
LJTOSIZ,X,X,O,X,X,O,X
LJTOSZI,O,O,O,X,X,X,X
LJTOZIS,O,O,O,X,X,O,X
LJTOZSI,O,O,O,X,X,X,X
LJITSZO,O,O,O,X,X,O,X
LJITSOZ,O,O,O,X,X,O,X
LJITZSO,O,O,O,X,X,O,X
LJITZOS,O,O,O,X,X,O,X
LJITOSZ,O,O,O,X,X,O,X
LJITOZS,O,O,O,X,X,O,X
LJISTZO,O,O,O,X,X,O,X
LJISTOZ,O,O,O,X,X,O,X
LJISZTO,O,O,O,O,X,X,X
LJISZOT,O,O,O,O,X,O,X
LJISOTZ,O,X,O,X,X,O,X
LJISOZT,O,X,O,O,X,O,X
LJIZTSO,O,O,O,O,X,X,X
LJIZTOS,X,X,X,O,X,X,X
LJIZSTO,O,O,O,O,X,X,X
LJIZSOT,O,O,O,O,X,O,X
LJIZOTS,X,X,O,O,X,X,X
LJIZOST,O,O,O,O,X,O,X
LJIOTSZ,O,X,O,X,X,O,X
LJIOTZS,O,X,O,X,X,X,X
LJIOSTZ,O,X,O,X,X,O,X
LJIOSZT,O,X,O,O,X,O,X
LJIOZTS,O,X,O,O,X,X,X
LJIOZST,O,X,O,O,X,O,X
LJSTIZO,X,O,O,X,X,X,X
LJSTIOZ,X,X,X,X,X,X,X
LJSTZIO,O,O,O,X,X,X,X
LJSTZOI,O,O,O,X,X,X,X
LJSTOIZ,X,X,O,X,X,X,X
LJSTOZI,O,O,O,X,X,X,X
LJSITZO,X,X,O,X,X,X,X
LJSITOZ,X,X,X,X,X,O,X
LJSIZTO,X,X,O,X,X,X,X
LJSIZOT,X,X,O,X,X,O,X
LJSIOTZ,X,X,X,X,X,O,X
LJSIOZT,X,X,O,X,X,O,X
LJSZTIO,O,O,O,X,X,X,X
LJSZTOI,O,O,O,X,O,X,X
LJSZITO,O,O,O,X,X,X,X
LJSZIOT,O,O,O,X,X,X,X
LJSZOTI,O,O,O,X,O,X,X
LJSZOIT,O,O,O,X,X,X,X
LJSOTIZ,X,X,X,X,X,X,X
LJSOTZI,O,X,O,X,X,X,X
LJSOITZ,X,X,X,X,X,O,X
LJSOIZT,X,X,O,X,X,O,X
LJSOZTI,O,X,O,X,O,X,X
LJSOZIT,O,X,O,X,X,X,X
LJZTISO,O,O,O,O,X,X,X
LJZTIOS,X,X,X,O,X,X,X
LJZTSIO,O,O,O,X,X,X,X
LJZTSOI,O,O,O,X,X,X,X
LJZTOIS,X,X,X,O,X,X,X
LJZTOSI,X,X,X,X,O,X,X
LJZITSO,O,O,O,O,X,X,X
LJZITOS,X,X,X,O,X,X,X
LJZISTO,O,O,O,O,X,X,X
LJZISOT,O,O,O,O,X,O,X
LJZIOTS,X,X,O,O,X,X,X
LJZIOST,O,O,O,O,X,O,X
LJZSTIO,O,O,O,X,X,X,X
LJZSTOI,O,O,O,X,O,X,X
LJZSITO,O,O,O,X,X,X,X
LJZSIOT,O,O,O,X,X,X,X
LJZSOTI,O,O,O,X,O,X,X
LJZSOIT,O,O,O,X,X,X,X
LJZOTIS,X,X,O,O,X,X,X
LJZOTSI,X,X,O,X,O,X,X
LJZOITS,X,X,O,O,X,X,X
LJZOIST,O,O,O,O,X,O,X
LJZOSTI,O,O,O,X,O,X,X
LJZOSIT,O,O,O,X,X,X,X
LJOTISZ,O,X,O,X,X,O,X
LJOTIZS,O,X,O,X,X,X,X
LJOTSIZ,X,X,X,X,X,X,X
LJOTSZI,O,X,O,X,X,X,X
LJOTZIS,O,X,O,X,X,X,X
LJOTZSI,O,X,O,X,X,X,X
LJOITSZ,O,X,O,X,X,O,X
LJOITZS,O,X,O,X,X,X,X
LJOISTZ,O,X,O,X,X,O,X
LJOISZT,O,X,O,O,X,O,X
LJOIZTS,O,X,O,O,X,X,X
LJOIZST,O,X,O,O,X,O,X
LJOSTIZ,X,X,X,X,X,X,X
LJOSTZI,O,X,O,X,X,X,X
LJOSITZ,X,X,O,X,X,O,X
LJOSIZT,X,X,O,X,X,O,X
LJOSZTI,O,X,O,X,O,X,X
LJOSZIT,O,X,O,X,X,X,X
LJOZTIS,O,X,O,O,X,X,X
LJOZTSI,O,X,O,X,O,X,X
LJOZITS,O,X,O,O,X,X,X
LJOZIST,O,X,O,O,X,O,X
LJOZSTI,O,X,O,X,O,X,X
LJOZSIT,O,X,O,X,X,X,X
LSTIJZO,O,O,O,X,X,X,X
LSTIJOZ,O,X,X,X,X,X,X
LSTIZJO,O,X,O,X,X,X,X
LSTIZOJ,O,X,O,X,X,X,X
LSTIOJZ,O,X,O,X,X,X,X
LSTIOZJ,O,X,O,X,X,X,X
LSTJIZO,X,O,O,X,X,X,X
LSTJIOZ,X,X,X,X,X,X,X
LSTJZIO,O,O,O,X,X,X,X
LSTJZOI,O,O,O,X,X,X,X
LSTJOIZ,X,X,O,X,X,X,X
LSTJOZI,O,O,O,X,X,X,X
LSTZIJO,O,X,O,X,X,X,X
LSTZIOJ,O,X,O,X,X,X,X
LSTZJIO,O,O,O,X,X,X,X
LSTZJOI,O,O,O,X,X,X,X
LSTZOIJ,O,X,O,X,X,X,X
LSTZOJI,O,X,O,X,X,X,X
LSTOIJZ,O,O,O,X,X,X,X
LSTOIZJ,O,X,O,X,X,X,X
