sequence,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex7IvhFTdB3gBcmBy?nBWwBFsB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex7IvhFTdB8nBllBa?sBXrBGrB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex7IvhF3gBFiB8nB6?rBOsBzqB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex7IvhFOiBFhBziB6?qBcrBXsB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Je07IvhFOiBziBllBx?rBqrBXrB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex7IvhFTdB8nBllBm?rB3rBCrB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex7IvhFOiBziBllBc?rBXsBCrB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex7IvhF0dB1lBmhBq?rB3nBzqB,v115@zgB8FeE8FeC8GeD8EeE8DeC8JeX8IvhFFiB8nBxlB6?qBOsBTrB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jem7IvhF5hB1lBiiB0?iBzqBXsB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Je07IvhFmiBllBxrBq?rBTnBXrB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jel7IvhFCdB/mBmiB0?lBTnBRwB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex7IvhFeiBfjBllBc?sBTrBCrB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Je07IvhFxcBmiBllBT?nBXrBqrB,v115@zgB8FeE8FeC8GeD8EeE8DeC8JeX8IvhFmiBllBxrBq?rBTnB0qB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jem7IvhF0dB1lBRnBz?qBCsBfsB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex8IvhFmiBllB3mBc?sB6qBTrB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex7IvhFmiBllBcrBT?nBCrBXsB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jem7IvhFXdB1lBziBU?nBSrBRwB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Je07IvhFzcBfjBylBW?wBxrBFsB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Je/BJvhFGdBZnB8nBl?lBTrB6qB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jem7IvhFaiBfjB1lB5?mBcsBzqB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jem7IvhFTdB1lBfnB8?nBSrBRwB,v115@zgB8FeE8FeC8GeD8EeE8DeC8Jex7IvhFfjBWnBllBK?nB0rBzqB,v115@zgB8FeE8FeC8GeD8EeE8DeC8JeC9IvhF3gB8qBRnBl?nBzrBmqB
IJOZLST,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOZSTL,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,O
IJOZSLT,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTLJZO,X,O,X,O,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
ISTLJOZ,X,X,X,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ISTLZJO,X,O,O,O,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
ISTLZOJ,X,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ISTLOJZ,O,X,X,O,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ISTLOZJ,O,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTJLZO,X,O,X,O,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X
ISTJLOZ,O,X,X,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
ISTJZLO,O,X,X,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
ISTJZOL,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X
ISTJOLZ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
ISTJOZL,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,O,O,X,X
ISTZLJO,X,O,O,X,X,X,X,O,O,O,O,O,O,X,O,X,X,X,X,X,X,O,O,X,X
ISTZLOJ,O,O,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X
ISTZJLO,X,X,X,O,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X
ISTZJOL,X,X,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X
ISTZOLJ,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X
ISTZOJL,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X
ISTOLJZ,X,X,X,O,O,X,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ISTOLZJ,X,O,O,X,O,X,X,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ISTOJLZ,X,X,X,O,O,X,X,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ISTOJZL,X,X,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X
ISTOZLJ,X,X,O,X,O,X,X,O,X,O,X,O,O,X,X,X,X,X,O,X,X,O,O,X,X
ISTOZJL,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,O,O,X,X
ISLTJZO,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ISLTJOZ,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLTZJO,X,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ISLTZOJ,X,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ISLTOJZ,O,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLTOZJ,O,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLJTZO,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
ISLJTOZ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
ISLJZTO,O,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
ISLJZOT,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLJOTZ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLJOZT,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZTJO,X,O,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ISLZTOJ,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ISLZJTO,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZJOT,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZOTJ,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISLZOJT,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOTJZ,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOTZJ,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOJTZ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOJZT,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOZTJ,X,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOZJT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJTLZO,X,O,X,O,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X
ISJTLOZ,O,X,X,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
ISJTZLO,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
ISJTZOL,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X
ISJTOLZ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
ISJTOZL,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,O,O,X,X
ISJLTZO,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
ISJLTOZ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
ISJLZTO,O,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
ISJLZOT,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJLOTZ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJLOZT,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJZTLO,O,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X
ISJZTOL,O,X,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X
ISJZLTO,O,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
ISJZLOT,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJZOTL,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X
ISJZOLT,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOTLZ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
ISJOTZL,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
ISJOLTZ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOLZT,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOZTL,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
ISJOZLT,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZTLJO,X,O,O,O,X,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X
ISZTLOJ,X,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X
ISZTJLO,X,X,X,O,X,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X
ISZTJOL,X,X,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X
ISZTOLJ,X,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,O
ISZTOJL,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,O
ISZLTJO,X,O,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X
ISZLTOJ,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X
ISZLJTO,X,X,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
ISZLJOT,X,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
ISZLOTJ,X,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,O
ISZLOJT,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
ISZJTLO,O,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,O,O,O,X
ISZJTOL,O,X,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,O,O,X,X
ISZJLTO,O,X,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
ISZJLOT,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
ISZJOTL,O,X,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,O,O,X,O
ISZJOLT,O,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
ISZOTLJ,X,O,O,O,X,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,O
ISZOTJL,X,X,X,O,X,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,O
ISZOLTJ,X,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,O
ISZOLJT,X,O,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
ISZOJTL,X,X,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,O
ISZOJLT,X,X,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
ISOTLJZ,X,X,X,O,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ISOTLZJ,X,O,O,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ISOTJLZ,X,X,X,O,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ISOTJZL,X,X,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X
ISOTZLJ,X,X,O,X,O,X,X,O,X,O,X,O,O,X,X,X,X,X,O,X,X,O,O,X,X
ISOTZJL,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,O,O,X,X
ISOLTJZ,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLTZJ,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLJTZ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLJZT,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLZTJ,X,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOLZJT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJTLZ,X,X,X,O,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
ISOJTZL,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
ISOJLTZ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJLZT,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJZTL,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
ISOJZLT,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZTLJ,X,X,O,O,X,X,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,O,O,X,O
ISOZTJL,X,X,X,O,X,X,O,X,O,O,X,O,O,X,X,X,X,X,O,X,X,O,O,X,O
ISOZLTJ,X,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,O
ISOZLJT,X,O,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
ISOZJTL,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,O,X,O
ISOZJLT,X,X,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IZTLJSO,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IZTLJOS,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLSJO,X,O,O,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
IZTLSOJ,O,O,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZTLOJS,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLOSJ,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZTJLSO,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IZTJLOS,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTJSLO,O,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IZTJSOL,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IZTJOLS,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZTJOSL,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
IZTSLJO,X,O,O,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
IZTSLOJ,O,O,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZTSJLO,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IZTSJOL,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IZTSOLJ,X,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O
IZTSOJL,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O
IZTOLJS,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZTOLSJ,O,O,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,X,O,X,O,X,O,X,X
IZTOJLS,X,O,X,O,O,O,X,O,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X
IZTOJSL,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X
IZTOSLJ,X,O,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X
IZTOSJL,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X
IZLTJSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLTJOS,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTSJO,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLTSOJ,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLTOJS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTOSJ,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLJTSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLJTOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJSTO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJSOT,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJOTS,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJOST,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSTJO,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLSTOJ,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLSJTO,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSJOT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSOTJ,X,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O
IZLSOJT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOTJS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOTSJ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IZLOJTS,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOJST,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSTJ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLOSJT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTLSO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IZJTLOS,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTSLO,O,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X
IZJTSOL,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X
IZJTOLS,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZJTOSL,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
IZJLTSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZJLTOS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLSTO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZJLSOT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLOTS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLOST,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSTLO,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X
IZJSTOL,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X
IZJSLTO,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZJSLOT,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSOTL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,O
IZJSOLT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOTLS,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZJOTSL,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X
IZJOLTS,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOLST,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOSTL,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X
IZJOSLT,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTLJO,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZSTLOJ,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZSTJLO,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IZSTJOL,X,X,X,O,X,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IZSTOLJ,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O
IZSTOJL,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O
IZSLTJO,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZSLTOJ,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZSLJTO,X,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLJOT,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,X,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O
IZSLOJT,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJTLO,O,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,O,O,X
IZSJTOL,O,X,X,O,X,O,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X
IZSJLTO,O,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSJLOT,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOTL,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,O
IZSJOLT,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOTLJ,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O
IZSOTJL,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O
IZSOLTJ,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O
