sequence,v115@8gA8HeC8DeA8BeC8CeH8BeF8Jei6IvhFUcBRdBFgBT?iBfqBuqB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Jei6IvhFUcBRdBFgBT?iBWqB3qB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Jex6IvhFXcBldB6kB2?lBUiBTqB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Jei6IvhFUcBRdBTiBf?qBllBGqB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Je2/IvhFRbB3dBFhBU?iBClBTqB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Jei6IvhFRdBUgBFhBT?iBfqBuqB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Je2/IvhFXcBldBUiBR?lBClBTqB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Jem6IvhFRdB0fBFhBT?iBSqB3qB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Je2/IvhFRdBFhBTiBC?lB3lBUqB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Jei6IvhFRdBUgBFhBT?iBWqB3qB
TSOIJZL,O,X,X,O,O,O,X,X,X,O
TSOIZLJ,O,X,X,O,X,O,X,X,X,X
TSOIZJL,O,X,X,O,O,O,X,X,X,X
TSOLIJZ,O,X,O,O,O,X,X,X,O,X
TSOLIZJ,O,X,X,O,O,O,X,O,X,X
TSOLJIZ,O,X,O,O,O,X,X,X,O,X
TSOLJZI,O,X,O,O,O,X,X,X,O,X
TSOLZIJ,O,X,X,O,O,O,X,O,X,X
TSOLZJI,O,X,X,O,O,O,X,O,X,X
TSOJILZ,O,X,O,O,O,X,X,X,O,X
TSOJIZL,O,X,O,O,O,O,X,X,X,O
TSOJLIZ,O,X,O,O,O,X,X,X,O,X
TSOJLZI,O,X,O,O,O,X,X,X,O,X
TSOJZIL,O,X,O,O,O,O,X,X,X,O
TSOJZLI,O,X,O,O,O,O,X,X,X,O
TSOZILJ,O,X,X,O,X,O,X,X,X,X
TSOZIJL,O,X,X,O,O,O,X,X,X,X
TSOZLIJ,O,X,X,O,O,O,X,X,X,X
TSOZLJI,O,X,X,O,O,O,X,X,X,X
TSOZJIL,O,X,X,O,O,O,X,X,X,X
TSOZJLI,O,X,X,O,O,O,X,X,X,X
TZILJSO,O,O,O,X,X,X,O,X,X,X
TZILJOS,O,O,O,X,X,X,X,X,X,X
TZILSJO,O,X,O,O,X,X,O,X,X,X
TZILSOJ,O,X,O,O,X,X,X,X,X,X
TZILOJS,O,O,O,X,X,X,O,X,X,X
TZILOSJ,O,X,O,O,X,X,O,X,X,X
TZIJLSO,O,O,O,X,X,X,O,X,X,X
TZIJLOS,O,O,O,X,X,X,X,X,X,X
TZIJSLO,O,O,O,X,O,X,O,X,X,X
TZIJSOL,O,O,O,X,O,X,O,X,X,X
TZIJOLS,X,O,X,X,X,X,O,X,X,X
TZIJOSL,X,X,O,X,X,X,O,X,X,X
TZISLJO,O,X,O,O,X,X,O,X,X,X
TZISLOJ,O,X,O,O,X,X,X,X,X,X
TZISJLO,O,X,O,X,O,X,O,X,X,X
TZISJOL,X,X,O,X,O,X,O,X,X,X
TZISOLJ,O,X,O,X,X,X,O,X,X,X
TZISOJL,X,X,O,X,X,X,O,X,X,X
TZIOLJS,X,X,O,X,X,X,O,X,X,X
TZIOLSJ,X,X,O,X,X,X,O,X,X,X
TZIOJLS,X,X,O,X,X,X,O,X,X,X
TZIOJSL,X,X,O,X,X,X,O,X,X,X
TZIOSLJ,X,X,O,X,X,X,O,X,X,X
TZIOSJL,X,X,O,X,X,X,O,X,X,X
TZLIJSO,O,O,O,X,O,X,O,X,X,X
TZLIJOS,O,O,O,X,X,X,X,O,X,X
TZLISJO,O,X,O,O,O,X,O,X,X,X
TZLISOJ,O,X,O,O,X,X,X,X,X,X
TZLIOJS,O,O,O,X,X,X,O,O,X,X
TZLIOSJ,O,X,O,O,X,X,O,O,X,X
TZLJISO,X,X,O,X,O,X,O,X,X,X
TZLJIOS,X,X,O,X,X,X,X,O,X,X
TZLJSIO,X,X,O,X,O,X,O,X,X,X
TZLJSOI,X,X,O,X,O,X,O,O,X,X
TZLJOIS,X,X,O,X,X,X,X,O,O,X
TZLJOSI,X,X,O,X,X,X,X,O,O,X
TZLSIJO,X,X,O,X,O,X,O,X,X,X
TZLSIOJ,X,X,O,X,X,X,X,X,X,X
TZLSJIO,X,X,O,X,O,X,O,X,X,X
TZLSJOI,X,X,O,X,O,X,O,O,X,X
TZLSOIJ,X,X,O,X,X,X,O,O,X,X
TZLSOJI,X,X,O,X,X,X,O,O,X,X
TZLOIJS,O,O,O,X,X,X,O,O,O,X
TZLOISJ,O,X,O,O,X,X,O,O,X,X
TZLOJIS,X,X,O,X,X,X,X,O,O,X
TZLOJSI,X,X,O,X,X,X,O,O,O,X
TZLOSIJ,X,X,O,X,X,X,O,O,X,X
TZLOSJI,X,X,O,X,X,X,O,O,X,X
TZJILSO,O,O,O,X,X,X,O,X,X,X
TZJILOS,O,O,O,X,X,X,X,X,X,O
TZJISLO,O,O,O,X,O,X,O,X,X,X
TZJISOL,O,O,O,X,O,X,O,X,X,X
TZJIOLS,X,O,X,X,X,X,O,X,X,O
TZJIOSL,X,O,O,X,X,X,O,X,X,O
TZJLISO,O,O,O,X,X,X,O,X,X,X
TZJLIOS,O,O,O,X,X,X,X,X,X,O
TZJLSIO,X,O,O,X,X,X,O,X,X,X
TZJLSOI,X,O,O,X,X,X,O,X,X,O
TZJLOIS,O,O,O,X,X,X,X,X,X,O
TZJLOSI,X,O,O,X,X,X,X,X,X,O
TZJSILO,O,O,O,X,O,X,O,X,X,X
TZJSIOL,O,O,O,X,O,X,O,X,X,X
TZJSLIO,O,O,O,X,O,X,O,X,X,X
TZJSLOI,O,O,O,X,O,X,O,X,X,O
TZJSOIL,O,O,O,X,O,X,O,X,X,O
TZJSOLI,O,O,O,X,O,X,O,X,X,O
TZJOILS,O,O,O,X,X,X,O,X,O,O
TZJOISL,O,O,O,X,X,X,O,X,X,O
TZJOLIS,O,O,O,X,X,X,X,X,O,O
TZJOLSI,X,O,O,X,X,X,O,X,O,O
TZJOSIL,O,O,O,X,X,X,O,X,X,O
TZJOSLI,O,O,O,X,X,X,O,X,X,O
TZSILJO,O,X,O,O,X,X,O,X,X,X
TZSILOJ,O,X,O,O,X,O,X,X,X,X
TZSIJLO,O,X,O,X,O,X,O,X,X,X
TZSIJOL,X,X,O,X,O,X,O,X,X,X
TZSIOLJ,O,X,O,X,X,O,O,X,X,X
TZSIOJL,O,X,O,X,X,O,O,X,X,X
TZSLIJO,O,X,O,O,O,X,O,X,X,X
TZSLIOJ,O,X,O,O,X,O,X,X,X,X
TZSLJIO,O,X,O,X,O,X,O,X,X,X
TZSLJOI,O,X,O,X,O,O,O,X,X,X
TZSLOIJ,O,X,O,O,X,O,O,X,X,X
TZSLOJI,O,X,O,X,X,O,O,X,X,X
TZSJILO,O,X,O,X,O,X,O,X,X,X
TZSJIOL,X,X,O,X,O,X,O,X,X,X
TZSJLIO,O,X,O,X,O,X,O,X,X,X
TZSJLOI,O,X,O,X,O,O,O,X,X,X
TZSJOIL,O,X,O,X,O,O,O,X,X,X
TZSJOLI,O,X,O,X,O,O,O,X,X,X
TZSOILJ,O,X,O,O,X,O,O,X,X,X
TZSOIJL,O,X,O,X,O,O,O,X,X,X
TZSOLIJ,O,X,O,O,O,O,O,X,X,X
TZSOLJI,O,X,O,X,O,O,O,X,X,X
TZSOJIL,O,X,O,X,O,O,O,X,X,X
TZSOJLI,O,X,O,X,O,O,O,X,X,X
TZOILJS,O,O,O,X,X,X,O,O,O,X
TZOILSJ,O,X,O,O,X,X,O,O,X,X
TZOIJLS,O,O,O,X,X,X,O,X,O,O
TZOIJSL,O,O,O,X,O,X,O,X,X,O
TZOISLJ,O,X,O,O,X,O,O,X,X,X
TZOISJL,O,X,O,X,O,O,O,X,X,X
TZOLIJS,O,O,O,X,O,X,O,O,O,X
TZOLISJ,O,X,O,O,O,X,O,O,X,X
TZOLJIS,X,X,O,X,O,X,X,O,O,X
TZOLJSI,X,X,O,X,O,X,O,O,O,X
TZOLSIJ,X,X,O,X,O,X,O,O,X,X
TZOLSJI,X,X,O,X,O,X,O,O,X,X
TZOJILS,O,O,O,X,X,X,O,X,O,O
TZOJISL,O,O,O,X,O,X,O,X,X,O
TZOJLIS,O,O,O,X,X,X,X,X,O,O
TZOJLSI,X,O,O,X,X,X,O,X,O,O
TZOJSIL,O,O,O,X,O,X,O,X,X,O
TZOJSLI,O,O,O,X,O,X,O,X,X,O
TZOSILJ,O,X,O,O,X,O,O,X,X,X
TZOSIJL,O,X,O,X,O,O,O,X,X,X
TZOSLIJ,O,X,O,O,O,O,O,X,X,X
TZOSLJI,O,X,O,X,O,O,O,X,X,X
TZOSJIL,O,X,O,X,O,O,O,X,X,X
TZOSJLI,O,X,O,X,O,O,O,X,X,X
TOILJSZ,X,O,O,X,O,X,X,X,O,X
TOILJZS,O,O,O,X,O,X,X,O,O,O
TOILSJZ,O,X,O,O,O,X,X,X,O,X
TOILSZJ,O,X,X,O,O,O,X,O,X,X
TOILZJS,O,O,O,X,O,X,X,O,O,X
TOILZSJ,O,X,X,O,O,X,X,O,X,X
TOIJLSZ,X,O,O,X,O,X,X,X,O,X
TOIJLZS,O,O,O,X,X,X,X,O,O,O
TOIJSLZ,O,O,O,X,O,X,X,X,O,X
TOIJSZL,O,O,O,X,O,O,O,X,X,O
TOIJZLS,O,O,X,X,X,X,O,X,O,O
TOIJZSL,O,O,O,X,O,X,O,X,X,O
TOISLJZ,O,X,X,O,O,X,X,X,O,X
TOISLZJ,O,X,X,O,O,O,X,O,X,X
TOISJLZ,O,X,X,O,O,X,X,X,O,X
TOISJZL,O,X,X,O,O,O,O,X,X,O
TOISZLJ,O,X,X,O,X,O,O,X,X,X
TOISZJL,O,X,X,O,O,O,O,X,X,X
TOIZLJS,O,O,X,X,X,X,O,O,O,X
TOIZLSJ,O,X,X,O,X,X,O,O,X,X
TOIZJLS,O,O,X,X,X,X,O,X,O,O
TOIZJSL,O,O,X,X,O,X,O,X,X,O
TOIZSLJ,O,X,X,O,X,O,O,X,X,X
TOIZSJL,O,X,X,X,O,O,O,X,X,X
TOLIJSZ,X,O,O,X,O,X,X,X,O,X
TOLIJZS,O,O,O,X,O,X,X,O,O,O
TOLISJZ,O,X,O,O,O,X,X,X,O,X
TOLISZJ,O,X,X,O,O,O,X,O,X,X
TOLIZJS,O,O,O,X,O,X,X,O,O,X
TOLIZSJ,O,X,O,O,O,X,X,O,X,X
TOLJISZ,X,O,O,X,O,X,X,X,O,X
TOLJIZS,O,O,O,X,O,X,X,O,O,O
TOLJSIZ,X,O,O,X,O,X,X,X,O,X
TOLJSZI,X,O,O,X,O,X,X,X,O,X
TOLJZIS,O,O,O,X,O,X,X,O,O,O
TOLJZSI,X,O,O,X,O,X,X,O,O,O
TOLSIJZ,O,X,O,O,O,X,X,X,O,X
TOLSIZJ,O,X,X,O,O,O,X,O,X,X
TOLSJIZ,O,X,O,O,O,X,X,X,O,X
TOLSJZI,O,X,O,O,O,X,X,X,O,X
TOLSZIJ,O,X,X,O,O,O,X,O,X,X
TOLSZJI,O,X,X,O,O,O,X,O,X,X
TOLZIJS,O,O,O,X,O,X,X,O,O,X
TOLZISJ,O,X,O,O,O,X,X,O,X,X
TOLZJIS,X,X,O,X,O,X,X,O,O,X
TOLZJSI,X,X,O,X,O,X,X,O,O,X
TOLZSIJ,X,X,O,X,O,X,X,O,X,X
TOLZSJI,X,X,O,X,O,X,X,O,X,X
TOJILSZ,X,O,O,X,O,X,X,X,O,X
TOJILZS,O,O,O,X,X,X,X,O,O,O
TOJISLZ,O,O,O,X,O,X,X,X,O,X
TOJISZL,O,O,O,X,O,O,X,X,X,O
TOJIZLS,O,O,O,X,X,X,X,X,O,O
TOJIZSL,O,O,O,X,O,X,X,X,X,O
TOJLISZ,X,O,O,X,O,X,X,X,O,X
TOJLIZS,O,O,O,X,O,X,X,O,O,O
TOJLSIZ,X,O,O,X,O,X,X,X,O,X
TOJLSZI,X,O,O,X,O,X,X,X,O,X
TOJLZIS,O,O,O,X,O,X,X,O,O,O
TOJLZSI,X,O,O,X,O,X,X,O,O,O
TOJSILZ,O,O,O,X,O,X,X,X,O,X
TOJSIZL,O,O,O,X,O,O,X,X,X,O
TOJSLIZ,O,O,O,X,O,X,X,X,O,X
TOJSLZI,O,O,O,X,O,X,X,X,O,X
TOJSZIL,O,O,O,X,O,O,X,X,X,O
TOJSZLI,O,O,O,X,O,O,X,X,X,O
TOJZILS,O,O,O,X,X,X,X,X,O,O
TOJZISL,O,O,O,X,O,X,O,X,X,O
TOJZLIS,O,O,O,X,X,X,X,X,O,O
TOJZLSI,X,O,O,X,X,X,O,X,O,O
TOJZSIL,O,O,O,X,O,X,O,X,X,O
TOJZSLI,O,O,O,X,O,X,O,X,X,O
TOSILJZ,O,X,X,O,O,X,X,X,O,X
TOSILZJ,O,X,X,O,O,O,X,O,X,X
TOSIJLZ,O,X,X,O,O,X,X,X,O,X
TOSIJZL,O,X,X,O,O,O,X,X,X,O
TOSIZLJ,O,X,X,O,X,O,X,X,X,X
TOSIZJL,O,X,X,O,O,O,X,X,X,X
TOSLIJZ,O,X,O,O,O,X,X,X,O,X
TOSLIZJ,O,X,X,O,O,O,X,O,X,X
TOSLJIZ,O,X,O,O,O,X,X,X,O,X
TOSLJZI,O,X,O,O,O,X,X,X,O,X
TOSLZIJ,O,X,X,O,O,O,X,O,X,X
TOSLZJI,O,X,X,O,O,O,X,O,X,X
TOSJILZ,O,X,O,O,O,X,X,X,O,X
TOSJIZL,O,X,O,O,O,O,X,X,X,O
TOSJLIZ,O,X,O,O,O,X,X,X,O,X
TOSJLZI,O,X,O,O,O,X,X,X,O,X
TOSJZIL,O,X,O,O,O,O,X,X,X,O
TOSJZLI,O,X,O,O,O,O,X,X,X,O
TOSZILJ,O,X,X,O,X,O,X,X,X,X
TOSZIJL,O,X,X,O,O,O,X,X,X,X
TOSZLIJ,O,X,X,O,O,O,X,X,X,X
TOSZLJI,O,X,X,O,O,O,X,X,X,X
TOSZJIL,O,X,X,O,O,O,X,X,X,X
TOSZJLI,O,X,X,O,O,O,X,X,X,X
TOZILJS,O,O,O,X,X,X,O,O,O,X
TOZILSJ,O,X,O,O,X,X,O,O,X,X
TOZIJLS,O,O,O,X,X,X,O,X,O,O
TOZIJSL,O,O,O,X,O,X,O,X,X,O
TOZISLJ,O,X,O,O,X,O,O,X,X,X
TOZISJL,O,X,O,X,O,O,O,X,X,X
TOZLIJS,O,O,O,X,O,X,O,O,O,X
TOZLISJ,O,X,O,O,O,X,O,O,X,X
TOZLJIS,X,X,O,X,O,X,X,O,O,X
TOZLJSI,X,X,O,X,O,X,O,O,O,X
TOZLSIJ,X,X,O,X,O,X,O,O,X,X
TOZLSJI,X,X,O,X,O,X,O,O,X,X
TOZJILS,O,O,O,X,X,X,O,X,O,O
TOZJISL,O,O,O,X,O,X,O,X,X,O
TOZJLIS,O,O,O,X,X,X,X,X,O,O
TOZJLSI,X,O,O,X,X,X,O,X,O,O
TOZJSIL,O,O,O,X,O,X,O,X,X,O
TOZJSLI,O,O,O,X,O,X,O,X,X,O
TOZSILJ,O,X,O,O,X,O,O,X,X,X
TOZSIJL,O,X,O,X,O,O,O,X,X,X
TOZSLIJ,O,X,O,O,O,O,O,X,X,X
TOZSLJI,O,X,O,X,O,O,O,X,X,X
TOZSJIL,O,X,O,X,O,O,O,X,X,X
TOZSJLI,O,X,O,X,O,O,O,X,X,X
ITLJSZO,X,O,O,X,O,X,X,X,X,X
ITLJSOZ,X,O,O,X,O,X,X,X,X,X
ITLJZSO,O,O,O,X,O,X,X,X,X,X
ITLJZOS,O,O,X,X,X,X,X,X,X,X
ITLJOSZ,X,X,O,X,O,X,X,X,O,X
ITLJOZS,X,O,X,X,X,X,X,X,O,X
ITLSJZO,O,X,O,O,O,X,X,X,X,X
ITLSJOZ,O,X,O,X,O,X,X,X,X,X
ITLSZJO,O,X,X,O,O,X,X,X,X,X
ITLSZOJ,O,X,X,O,X,X,X,X,X,X
ITLSOJZ,X,X,X,X,O,X,X,X,X,X
ITLSOZJ,O,X,X,O,X,X,X,X,X,X
ITLZJSO,O,O,O,X,O,X,X,X,X,X
ITLZJOS,O,O,X,X,X,X,X,O,X,X
ITLZSJO,O,X,X,O,O,X,X,X,X,X
ITLZSOJ,O,X,X,O,X,X,X,X,X,X
ITLZOJS,O,O,X,X,X,X,X,O,X,X
ITLZOSJ,O,X,X,O,X,X,X,O,X,X
ITLOJSZ,X,X,O,X,O,X,X,X,O,X
ITLOJZS,X,X,O,X,X,X,X,O,O,X
ITLOSJZ,X,X,O,X,O,X,X,X,O,X
ITLOSZJ,X,X,X,X,X,X,X,O,X,X
ITLOZJS,X,X,O,X,X,X,X,O,O,X
ITLOZSJ,X,X,X,X,X,X,X,O,X,X
ITJLSZO,X,O,O,X,O,X,X,X,X,X
ITJLSOZ,X,O,O,X,X,X,X,X,X,X
ITJLZSO,O,O,O,X,X,X,X,X,X,X
ITJLZOS,O,O,X,X,X,X,X,X,X,X
ITJLOSZ,X,X,O,X,X,X,X,X,X,X
ITJLOZS,X,O,X,X,X,X,X,X,X,X
ITJSLZO,O,O,O,X,O,X,X,X,X,X
ITJSLOZ,O,O,O,X,O,X,X,X,X,X
ITJSZLO,O,O,O,X,O,X,O,X,X,X
ITJSZOL,O,O,O,X,O,X,O,X,X,X
ITJSOLZ,O,O,O,X,O,X,X,X,X,X
ITJSOZL,O,O,O,X,O,X,X,X,X,X
ITJZLSO,O,O,X,X,X,X,O,X,X,X
ITJZLOS,O,O,X,X,X,X,X,X,X,O
ITJZSLO,O,O,O,X,O,X,O,X,X,X
ITJZSOL,O,O,O,X,O,X,O,X,X,X
ITJZOLS,X,O,X,X,X,X,X,X,X,O
ITJZOSL,X,X,X,X,X,X,O,X,X,O
ITJOLSZ,X,X,X,X,X,X,X,X,O,X
ITJOLZS,X,O,X,X,X,X,X,X,O,O
ITJOSLZ,X,X,O,X,X,X,X,X,O,X
ITJOSZL,X,X,O,X,O,X,X,X,X,O
ITJOZLS,X,O,X,X,X,X,X,X,O,O
ITJOZSL,X,X,X,X,X,X,X,X,X,O
ITSLJZO,O,X,X,O,O,X,X,X,X,X
ITSLJOZ,O,X,X,X,O,X,X,X,X,X
ITSLZJO,O,X,X,O,O,X,X,X,X,X
ITSLZOJ,O,X,X,O,X,X,X,X,X,X
ITSLOJZ,X,X,X,X,O,X,X,X,X,X
ITSLOZJ,O,X,X,O,X,X,X,X,X,X
ITSJLZO,O,X,X,O,O,X,X,X,X,X
ITSJLOZ,O,X,X,X,O,X,X,X,X,X
ITSJZLO,O,X,X,O,O,X,O,X,X,X
ITSJZOL,O,X,X,X,O,X,O,X,X,X
ITSJOLZ,O,X,X,X,O,X,X,X,X,X
ITSJOZL,O,X,X,X,O,X,X,X,X,X
ITSZLJO,O,X,X,O,X,X,O,X,X,X
ITSZLOJ,O,X,X,O,X,O,X,X,X,X
ITSZJLO,O,X,X,O,O,X,O,X,X,X
ITSZJOL,X,X,X,X,O,X,O,X,X,X
ITSZOLJ,O,X,X,O,X,O,X,X,X,X
ITSZOJL,X,X,X,X,X,O,O,X,X,X
ITSOLJZ,X,X,X,X,O,X,X,X,X,X
ITSOLZJ,O,X,X,O,O,O,X,X,X,X
ITSOJLZ,X,X,X,X,O,X,X,X,X,X
ITSOJZL,X,X,X,X,O,O,X,X,X,X
ITSOZLJ,O,X,X,O,X,O,X,X,X,X
ITSOZJL,X,X,X,X,O,O,X,X,X,X
ITZLJSO,O,O,X,X,X,X,O,X,X,X
ITZLJOS,O,O,X,X,X,X,X,X,X,X
ITZLSJO,O,X,X,O,X,X,O,X,X,X
ITZLSOJ,O,X,X,O,X,X,X,X,X,X
ITZLOJS,O,O,X,X,X,X,O,X,X,X
ITZLOSJ,O,X,X,O,X,X,O,X,X,X
ITZJLSO,O,O,X,X,X,X,O,X,X,X
ITZJLOS,O,O,X,X,X,X,X,X,X,X
ITZJSLO,O,O,X,X,O,X,O,X,X,X
ITZJSOL,O,O,X,X,O,X,O,X,X,X
ITZJOLS,X,O,X,X,X,X,O,X,X,X
ITZJOSL,X,X,X,X,X,X,O,X,X,X
ITZSLJO,O,X,X,O,X,X,O,X,X,X
ITZSLOJ,O,X,X,O,X,X,X,X,X,X
ITZSJLO,O,X,X,X,O,X,O,X,X,X
ITZSJOL,X,X,X,X,O,X,O,X,X,X
ITZSOLJ,O,X,X,X,X,X,O,X,X,X
ITZSOJL,X,X,X,X,X,X,O,X,X,X
ITZOLJS,X,X,X,X,X,X,O,X,X,X
ITZOLSJ,X,X,X,X,X,X,O,X,X,X
ITZOJLS,X,X,X,X,X,X,O,X,X,X
ITZOJSL,X,X,X,X,X,X,O,X,X,X
ITZOSLJ,X,X,X,X,X,X,O,X,X,X
ITZOSJL,X,X,X,X,X,X,O,X,X,X
ITOLJSZ,X,X,O,X,O,X,X,X,O,X
ITOLJZS,X,X,O,X,O,X,X,O,O,O
ITOLSJZ,X,X,O,X,O,X,X,X,O,X
ITOLSZJ,X,X,X,X,O,O,X,O,X,X
ITOLZJS,X,X,O,X,O,X,X,O,O,X
ITOLZSJ,X,X,X,X,O,X,X,O,X,X
ITOJLSZ,X,X,O,X,O,X,X,X,O,X
ITOJLZS,X,X,O,X,X,X,X,O,O,O
ITOJSLZ,X,X,O,X,O,X,X,X,O,X
ITOJSZL,X,X,O,X,O,O,X,X,X,O
ITOJZLS,X,X,X,X,X,X,X,X,O,O
ITOJZSL,X,X,O,X,O,X,X,X,X,O
ITOSLJZ,X,X,X,X,O,X,X,X,O,X
ITOSLZJ,X,X,X,X,O,O,X,O,X,X
ITOSJLZ,X,X,X,X,O,X,X,X,O,X
ITOSJZL,X,X,X,X,O,O,X,X,X,O
ITOSZLJ,X,X,X,X,X,O,X,X,X,X
ITOSZJL,X,X,X,X,O,O,X,X,X,X
ITOZLJS,X,X,X,X,X,X,X,O,O,X
ITOZLSJ,X,X,X,X,X,X,X,O,X,X
ITOZJLS,X,X,X,X,X,X,X,X,O,O
ITOZJSL,X,X,X,X,O,X,X,X,X,O
ITOZSLJ,X,X,X,X,X,O,X,X,X,X
ITOZSJL,X,X,X,X,O,O,X,X,X,X
ILTJSZO,X,O,O,X,O,X,X,X,X,X
ILTJSOZ,X,O,O,X,O,X,X,X,X,X
ILTJZSO,O,O,O,X,O,X,X,X,X,X
ILTJZOS,O,O,O,X,X,X,X,X,X,X
ILTJOSZ,X,X,O,X,O,X,X,X,O,X
ILTJOZS,X,O,X,X,X,X,X,X,O,X
ILTSJZO,O,X,O,O,O,X,X,X,X,X
ILTSJOZ,O,X,O,X,O,X,X,X,X,X
ILTSZJO,O,X,X,O,O,X,X,X,X,X
ILTSZOJ,O,X,X,O,X,X,X,X,X,X
ILTSOJZ,X,X,X,X,O,X,X,X,X,X
ILTSOZJ,O,X,X,O,X,X,X,X,X,X
ILTZJSO,O,O,O,X,O,X,X,X,X,X
ILTZJOS,O,O,O,X,X,X,X,O,X,X
ILTZSJO,O,X,O,O,O,X,X,X,X,X
ILTZSOJ,O,X,O,O,X,X,X,X,X,X
ILTZOJS,O,O,O,X,X,X,X,O,X,X
ILTZOSJ,O,X,O,O,X,X,X,O,X,X
ILTOJSZ,X,X,O,X,O,X,X,X,O,X
ILTOJZS,X,X,O,X,X,X,X,O,O,X
ILTOSJZ,X,X,O,X,O,X,X,X,O,X
ILTOSZJ,X,X,X,X,X,X,X,O,X,X
ILTOZJS,X,X,O,X,X,X,X,O,O,X
ILTOZSJ,X,X,X,X,X,X,X,O,X,X
ILJTSZO,X,O,O,X,O,X,X,X,X,X
ILJTSOZ,X,O,O,X,O,X,X,X,X,X
ILJTZSO,O,O,O,X,O,X,X,X,X,X
ILJTZOS,O,O,O,X,X,X,X,X,X,X
ILJTOSZ,X,O,O,X,O,X,X,X,O,X
ILJTOZS,X,O,X,X,X,X,X,X,O,X
ILJSTZO,O,O,O,O,O,X,X,X,X,X
ILJSTOZ,O,O,O,X,O,X,X,X,X,X
ILJSZTO,O,O,O,O,X,X,O,X,X,X
ILJSZOT,O,O,O,O,X,X,X,X,X,X
ILJSOTZ,O,O,O,X,X,X,X,X,X,X
ILJSOZT,O,O,O,X,X,X,X,X,X,X
ILJZTSO,O,O,O,X,X,X,O,X,X,X
ILJZTOS,O,O,O,X,X,X,X,X,X,O
ILJZSTO,O,O,O,O,X,X,O,X,X,X
ILJZSOT,O,O,O,O,X,X,X,X,X,X
ILJZOTS,O,O,O,X,X,X,X,X,X,O
ILJZOST,O,O,O,O,X,X,X,X,X,O
ILJOTSZ,X,O,O,X,X,X,X,X,O,X
ILJOTZS,O,O,X,X,X,X,X,X,O,O
ILJOSTZ,X,O,O,X,X,X,X,X,O,X
ILJOSZT,O,O,O,X,X,X,X,X,X,O
ILJOZTS,O,O,O,X,X,X,X,X,O,O
ILJOZST,O,O,O,X,X,X,X,X,X,O
ILSTJZO,O,X,O,O,O,X,X,X,X,X
ILSTJOZ,O,X,O,X,O,X,X,X,X,X
ILSTZJO,O,X,X,O,O,X,X,X,X,X
ILSTZOJ,O,X,X,O,X,X,X,X,X,X
ILSTOJZ,O,X,X,O,O,X,X,X,X,X
ILSTOZJ,O,X,X,O,X,X,X,X,X,X
ILSJTZO,O,O,O,O,O,X,X,X,X,X
ILSJTOZ,O,O,O,X,O,X,X,X,X,X
ILSJZTO,O,O,O,O,X,X,O,X,X,X
ILSJZOT,O,O,O,O,X,X,X,X,X,X
ILSJOTZ,O,O,O,X,X,X,X,X,X,X
ILSJOZT,O,O,O,X,X,X,X,X,X,X
ILSZTJO,O,X,O,O,X,X,O,X,X,X
ILSZTOJ,O,X,O,O,X,O,X,X,X,X
ILSZJTO,O,O,O,O,X,X,O,X,X,X
ILSZJOT,O,O,O,O,X,X,X,X,X,X
ILSZOTJ,O,X,O,O,X,O,X,X,X,X
ILSZOJT,O,O,X,O,X,O,X,X,X,X
ILSOTJZ,O,X,X,O,X,X,X,X,X,X
ILSOTZJ,O,X,X,O,X,O,X,X,X,X
ILSOJTZ,O,X,X,O,X,X,X,X,X,X
ILSOJZT,O,X,X,O,X,O,X,X,X,X
ILSOZTJ,O,X,X,O,X,O,X,X,X,X
ILSOZJT,O,X,X,O,X,O,X,X,X,X
ILZTJSO,O,O,O,X,X,X,O,X,X,X
ILZTJOS,O,O,O,X,X,X,X,O,X,X
ILZTSJO,O,X,O,O,X,X,O,X,X,X
ILZTSOJ,O,X,O,O,X,X,X,X,X,X
ILZTOJS,O,O,O,X,X,X,O,O,X,X
ILZTOSJ,O,X,O,O,X,X,O,O,X,X
ILZJTSO,O,O,O,X,X,X,O,X,X,X
ILZJTOS,O,O,O,X,X,X,X,O,X,X
ILZJSTO,O,O,O,O,X,X,O,X,X,X
ILZJSOT,O,O,O,O,X,X,X,X,X,X
ILZJOTS,O,O,O,X,X,X,X,O,X,X
ILZJOST,O,O,O,O,X,X,X,O,X,X
ILZSTJO,O,X,O,O,X,X,O,X,X,X
ILZSTOJ,O,X,O,O,X,X,X,X,X,X
ILZSJTO,O,O,O,O,X,X,O,X,X,X
ILZSJOT,O,O,O,O,X,X,X,X,X,X
ILZSOTJ,O,X,O,O,X,X,X,X,X,X
ILZSOJT,O,O,X,O,X,X,X,X,X,X
ILZOTJS,O,O,O,X,X,X,O,O,X,X
ILZOTSJ,O,X,O,O,X,X,O,O,X,X
ILZOJTS,O,O,O,X,X,X,O,O,X,X
ILZOJST,O,O,O,O,X,X,O,O,X,X
ILZOSTJ,O,X,O,O,X,X,O,O,X,X
ILZOSJT,O,O,O,O,X,X,O,O,X,X
