sequence,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jem6IvhFRdBSjBTfB3?hBlnBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jem6IvhFRdBSjBTfBl?mB3nBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8JeK/IvhFzaBGeBRiBl?mB3nBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jei6IvhFRdBcjB3fBG?iBlmBTsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8JeO/IvhF8fBCdBxiBX?jBlmBTsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jey/IvhFGeBRiBTfBl?mB3nBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jei6IvhFzcBcjB3fBx?mBFsBusB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jem6IvhFcjBTfB5nBl?mBfnBisB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Je2/IvhFzcBFjB3fBx?mBCoBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8JeK/IvhFzaBfiBxdBF?jB0mB+sB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jey/IvhF1mBxiBTfBX?jBGnBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jey/IvhF+hBxiBTfB/?nBFjBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jem6IvhFcjBTfBxmBS?sBfsBlsB
TSIJZOL,X,X,X,O,X,X,O,X,X,X,X,X,X
TSIJOLZ,O,X,O,X,X,O,O,X,O,X,X,X,X
TSIJOZL,O,X,X,X,X,X,O,X,O,X,X,X,X
TSIZLJO,O,X,O,O,O,O,O,X,X,X,X,X,X
TSIZLOJ,O,X,O,O,X,X,O,X,X,X,X,X,X
TSIZJLO,O,X,O,O,O,O,O,X,X,X,X,X,X
TSIZJOL,X,X,X,O,X,X,O,X,X,X,X,X,X
TSIZOLJ,O,X,X,O,X,X,O,O,X,X,X,X,X
TSIZOJL,O,X,X,X,X,X,O,O,X,X,X,X,X
TSIOLJZ,O,O,O,X,X,O,O,X,X,X,X,X,X
TSIOLZJ,O,O,O,X,X,X,O,X,X,X,X,X,X
TSIOJLZ,O,O,O,X,X,O,O,X,O,X,X,X,X
TSIOJZL,O,O,X,X,X,X,O,O,O,X,X,X,X
TSIOZLJ,O,O,X,X,X,X,O,O,X,X,X,X,X
TSIOZJL,O,O,X,X,X,X,O,O,X,X,X,X,X
TSLIJZO,O,O,O,O,X,O,O,X,X,X,X,X,X
TSLIJOZ,O,O,O,X,X,O,O,X,X,X,O,X,X
TSLIZJO,O,O,O,O,O,O,O,X,X,X,X,X,X
TSLIZOJ,O,O,O,O,X,X,O,X,X,X,O,X,X
TSLIOJZ,O,O,O,X,X,O,O,X,X,X,O,X,X
TSLIOZJ,O,O,O,X,X,X,O,X,X,X,O,X,X
TSLJIZO,O,O,O,O,X,O,O,X,X,X,X,X,X
TSLJIOZ,O,O,O,X,X,O,O,X,X,X,X,X,X
TSLJZIO,O,O,O,O,X,X,O,X,X,O,X,X,X
TSLJZOI,X,X,O,O,X,X,X,X,X,O,X,X,X
TSLJOIZ,O,O,O,X,X,X,X,X,X,X,X,X,X
TSLJOZI,O,O,O,O,X,X,X,X,X,O,X,X,X
TSLZIJO,O,O,O,O,O,O,O,X,X,X,O,X,X
TSLZIOJ,O,O,O,O,X,X,O,X,X,X,O,X,X
TSLZJIO,O,O,O,O,O,X,O,X,X,X,X,X,X
TSLZJOI,X,X,O,O,X,X,X,X,X,X,X,X,X
TSLZOIJ,O,O,O,O,X,X,O,X,X,X,X,X,X
TSLZOJI,O,O,O,O,X,X,X,X,X,X,X,X,X
TSLOIJZ,O,O,O,O,X,O,O,X,X,X,X,X,X
TSLOIZJ,O,O,O,O,X,X,O,X,X,X,X,X,X
TSLOJIZ,O,O,O,O,X,X,X,X,X,X,X,X,X
TSLOJZI,O,O,O,O,X,X,X,X,X,O,X,X,X
TSLOZIJ,O,O,O,O,X,X,O,X,X,X,X,X,X
TSLOZJI,O,O,O,O,X,X,X,X,X,X,X,X,X
TSJILZO,O,O,O,O,X,O,O,X,X,X,X,X,X
TSJILOZ,O,O,O,X,X,O,O,X,X,X,X,X,X
TSJIZLO,O,X,O,O,X,O,O,X,X,X,X,X,X
TSJIZOL,X,X,X,O,X,X,O,X,X,X,X,X,X
TSJIOLZ,O,X,O,X,X,O,O,X,O,X,X,X,X
TSJIOZL,O,X,X,X,X,X,O,X,O,X,X,X,X
TSJLIZO,O,O,O,O,X,O,O,X,X,X,X,X,X
TSJLIOZ,O,O,O,X,X,O,O,X,X,X,X,X,X
TSJLZIO,O,O,O,O,X,X,O,X,X,O,X,X,X
TSJLZOI,X,X,O,O,X,X,X,X,X,O,X,X,X
TSJLOIZ,O,O,O,X,X,X,X,X,X,X,X,X,X
TSJLOZI,O,O,O,O,X,X,X,X,X,O,X,X,X
TSJZILO,O,X,X,O,X,X,O,X,X,O,X,X,X
TSJZIOL,O,X,X,O,X,X,O,X,X,O,X,X,X
TSJZLIO,O,O,O,O,X,X,O,X,X,O,X,X,X
TSJZLOI,O,X,O,O,X,X,X,X,X,O,X,X,X
TSJZOIL,O,X,X,O,X,X,X,X,X,O,X,X,X
TSJZOLI,O,X,X,O,X,X,X,X,X,O,X,X,X
TSJOILZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TSJOIZL,O,O,X,X,X,X,X,X,X,X,X,X,X
TSJOLIZ,O,O,O,X,X,X,X,X,X,X,X,X,X
TSJOLZI,O,O,O,O,X,X,X,X,X,X,X,X,X
TSJOZIL,O,O,X,O,X,X,X,X,X,X,X,X,X
TSJOZLI,O,O,X,O,X,X,X,X,X,X,X,X,X
TSZILJO,O,X,O,O,O,O,O,X,X,X,O,X,X
TSZILOJ,O,X,O,O,X,X,O,X,X,X,O,X,X
TSZIJLO,O,X,O,O,O,O,O,X,X,X,X,X,X
TSZIJOL,O,X,X,O,X,X,O,X,X,X,X,X,X
TSZIOLJ,O,X,X,O,X,X,O,O,X,X,X,X,X
TSZIOJL,O,X,X,X,X,X,O,O,X,X,X,X,X
TSZLIJO,O,O,O,O,O,O,O,X,X,X,O,X,X
TSZLIOJ,O,O,O,O,X,X,O,X,X,X,O,X,X
TSZLJIO,O,O,O,O,O,X,O,X,X,X,X,X,X
TSZLJOI,O,X,O,O,X,X,X,X,X,X,X,X,X
TSZLOIJ,O,O,O,O,X,X,O,X,X,X,X,X,X
TSZLOJI,O,O,O,O,X,X,X,X,X,X,X,X,X
TSZJILO,O,X,X,O,O,X,O,X,X,X,X,X,X
TSZJIOL,O,X,X,O,X,X,O,X,X,X,X,X,X
TSZJLIO,O,O,O,O,O,X,O,X,X,X,X,X,X
TSZJLOI,O,X,O,O,X,X,X,X,X,X,X,X,X
TSZJOIL,O,X,X,O,X,X,X,X,X,X,X,X,X
TSZJOLI,O,X,X,O,X,X,X,X,X,X,X,X,X
TSZOILJ,O,O,X,O,X,X,O,O,X,X,X,X,X
TSZOIJL,O,O,X,O,X,X,O,O,X,X,X,X,X
TSZOLIJ,O,O,X,O,X,X,O,X,X,X,X,X,X
TSZOLJI,O,O,X,O,X,X,X,X,X,X,X,X,X
TSZOJIL,O,O,X,O,X,X,X,O,X,X,X,X,X
TSZOJLI,O,O,X,O,X,X,X,X,X,X,X,X,X
TSOILJZ,O,O,O,O,X,O,O,X,X,X,X,X,X
TSOILZJ,O,O,O,O,X,X,O,X,X,X,X,X,X
TSOIJLZ,O,O,O,O,X,O,O,X,X,X,X,X,X
TSOIJZL,O,O,X,O,X,X,O,O,X,X,X,X,X
TSOIZLJ,O,O,X,O,X,X,O,O,X,X,X,X,X
TSOIZJL,O,O,X,O,X,X,O,O,X,X,X,X,X
TSOLIJZ,O,O,O,O,X,O,O,X,X,X,X,X,X
TSOLIZJ,O,O,O,O,X,X,O,X,X,X,X,X,X
TSOLJIZ,O,O,O,O,X,X,X,X,X,X,X,X,X
TSOLJZI,O,O,O,O,X,X,X,X,X,X,X,X,X
TSOLZIJ,O,O,O,O,X,X,O,X,X,X,X,X,X
TSOLZJI,O,O,O,O,X,X,X,X,X,X,X,X,X
TSOJILZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TSOJIZL,O,O,X,O,X,X,X,O,X,X,X,X,X
TSOJLIZ,O,O,O,O,X,X,X,X,X,X,X,X,X
TSOJLZI,O,O,O,O,X,X,X,X,X,X,X,X,X
TSOJZIL,O,O,X,O,X,X,X,O,X,X,X,X,X
TSOJZLI,O,O,X,O,X,X,X,X,X,X,X,X,X
TSOZILJ,O,O,X,O,X,X,O,O,X,X,X,X,X
TSOZIJL,O,O,X,O,X,X,O,O,X,X,X,X,X
TSOZLIJ,O,O,X,O,X,X,O,X,X,X,X,X,X
TSOZLJI,O,O,X,O,X,X,X,X,X,X,X,X,X
TSOZJIL,O,O,X,O,X,X,X,O,X,X,X,X,X
TSOZJLI,O,O,X,O,X,X,X,X,X,X,X,X,X
TZILJSO,O,X,X,X,O,X,X,X,X,X,O,O,X
TZILJOS,O,X,X,X,O,X,X,X,O,X,O,O,X
TZILSJO,O,X,X,O,O,X,O,X,X,X,O,X,X
TZILSOJ,O,X,X,O,X,X,O,X,X,X,O,X,X
TZILOJS,O,X,X,X,O,X,X,O,O,X,O,X,X
TZILOSJ,O,X,X,X,X,X,O,O,X,X,O,X,X
TZIJLSO,O,X,X,O,O,X,X,X,X,X,O,O,X
TZIJLOS,O,X,X,X,O,X,X,X,O,X,O,O,X
TZIJSLO,X,X,X,O,O,X,O,X,X,X,X,X,X
TZIJSOL,X,X,X,O,X,X,O,X,O,X,X,X,X
TZIJOLS,X,X,X,X,O,X,X,O,O,X,X,X,X
TZIJOSL,X,X,X,O,X,X,O,O,O,X,X,X,X
TZISLJO,X,X,X,O,O,X,O,X,X,X,O,X,X
TZISLOJ,X,X,X,O,X,X,O,X,X,X,O,X,X
TZISJLO,X,X,X,O,O,X,O,X,X,X,X,X,X
TZISJOL,X,X,X,O,X,X,O,X,O,X,X,X,X
TZISOLJ,X,X,X,O,X,X,O,O,X,X,X,X,X
TZISOJL,X,X,X,X,X,X,O,O,O,X,X,X,X
TZIOLJS,O,X,X,X,O,X,X,O,O,X,O,X,O
TZIOLSJ,O,X,X,X,X,X,O,O,X,X,O,X,O
TZIOJLS,O,X,X,X,O,X,X,O,O,X,X,X,O
TZIOJSL,X,X,X,X,X,X,O,O,O,X,X,X,X
TZIOSLJ,X,X,X,O,X,X,O,O,X,X,X,X,X
TZIOSJL,X,X,X,X,X,X,O,O,O,X,X,X,X
TZLIJSO,O,X,X,X,O,X,X,X,X,X,O,O,X
TZLIJOS,O,X,X,X,O,X,X,X,X,X,O,O,X
TZLISJO,O,X,X,O,O,X,O,X,X,X,O,X,X
TZLISOJ,O,X,X,O,X,X,O,X,X,X,O,X,X
TZLIOJS,O,X,X,X,O,X,X,O,X,X,O,X,X
TZLIOSJ,O,X,X,X,X,X,O,O,X,X,O,X,X
TZLJISO,O,X,X,O,O,X,X,X,X,O,O,O,X
TZLJIOS,O,X,X,X,O,X,X,X,X,O,O,O,X
TZLJSIO,O,X,X,O,O,X,X,X,X,O,X,X,X
TZLJSOI,X,X,X,O,X,X,X,X,X,O,X,X,X
TZLJOIS,O,X,X,X,O,X,X,X,X,O,X,X,X
TZLJOSI,O,X,X,X,X,X,X,X,X,O,X,X,X
TZLSIJO,O,X,O,O,O,O,O,X,X,X,O,X,X
TZLSIOJ,O,X,O,O,X,X,O,X,X,O,O,X,X
TZLSJIO,O,X,O,O,O,X,O,X,X,O,X,X,X
TZLSJOI,X,X,O,O,X,X,X,X,X,O,X,X,X
TZLSOIJ,O,X,O,O,X,X,O,X,X,O,X,X,X
TZLSOJI,O,X,O,O,X,X,X,X,X,O,X,X,X
TZLOIJS,O,X,X,X,O,X,X,O,X,X,O,X,X
TZLOISJ,O,X,X,X,X,X,X,O,X,X,O,X,X
TZLOJIS,O,X,X,X,O,X,X,O,X,O,X,X,X
TZLOJSI,O,X,X,X,X,X,X,X,X,O,X,X,X
TZLOSIJ,O,X,O,X,X,X,X,X,X,O,X,X,X
TZLOSJI,O,X,O,X,X,X,X,X,X,O,X,X,X
TZJILSO,O,X,X,O,O,X,X,X,X,O,O,O,X
TZJILOS,O,X,X,X,O,X,X,X,O,O,O,O,X
TZJISLO,X,X,X,O,O,X,O,X,X,O,X,X,X
TZJISOL,X,X,X,O,X,X,O,X,O,O,X,X,X
TZJIOLS,X,X,X,X,O,X,X,O,O,X,X,X,X
TZJIOSL,X,X,X,O,X,X,O,O,O,X,X,X,X
TZJLISO,O,X,X,O,O,X,X,X,X,O,O,O,X
TZJLIOS,O,X,X,X,O,X,X,X,X,O,O,O,X
TZJLSIO,O,X,X,O,O,X,X,X,X,O,X,X,X
TZJLSOI,X,X,X,O,X,X,X,X,X,O,X,X,X
TZJLOIS,O,X,X,X,O,X,X,X,X,O,X,X,X
TZJLOSI,O,X,X,X,X,X,X,X,X,O,X,X,X
TZJSILO,O,X,X,O,O,X,O,X,X,O,X,X,X
TZJSIOL,O,X,X,O,X,X,O,X,X,O,X,X,X
TZJSLIO,O,O,X,O,O,X,O,X,X,O,X,X,X
TZJSLOI,O,X,X,O,X,X,X,X,X,O,X,X,X
TZJSOIL,O,X,X,O,X,X,X,X,X,O,X,X,X
TZJSOLI,O,X,X,O,X,X,X,X,X,O,X,X,X
TZJOILS,O,X,X,X,O,X,X,O,X,X,X,X,X
TZJOISL,X,X,X,O,O,X,X,O,X,X,X,X,X
TZJOLIS,O,X,X,X,O,X,X,O,X,O,X,X,X
TZJOLSI,O,X,X,X,O,X,X,X,X,O,X,X,X
TZJOSIL,X,X,X,O,O,X,X,O,X,O,X,X,X
TZJOSLI,O,X,X,O,O,X,X,X,X,O,X,X,X
TZSILJO,O,X,O,O,O,O,O,X,X,X,O,X,X
TZSILOJ,O,X,O,O,X,X,O,X,X,O,O,X,X
TZSIJLO,O,X,O,O,O,O,O,X,X,X,X,X,X
TZSIJOL,O,X,X,O,X,X,O,X,X,X,X,X,X
TZSIOLJ,O,X,X,O,X,X,O,O,X,X,X,X,X
TZSIOJL,O,X,X,X,X,X,O,O,X,X,X,X,X
TZSLIJO,O,O,O,O,O,O,O,X,X,X,O,X,X
TZSLIOJ,O,O,O,O,X,X,O,X,X,O,O,X,X
TZSLJIO,O,O,O,O,O,X,O,X,X,O,X,X,X
TZSLJOI,O,X,O,O,X,X,X,X,X,O,X,X,X
TZSLOIJ,O,O,O,O,X,X,O,X,X,O,X,X,X
TZSLOJI,O,O,O,O,X,X,X,X,X,O,X,X,X
TZSJILO,O,X,X,O,O,X,O,X,X,O,X,X,X
TZSJIOL,O,X,X,O,X,X,O,X,X,O,X,X,X
TZSJLIO,O,O,O,O,O,X,O,X,X,O,X,X,X
TZSJLOI,O,X,O,O,X,X,X,X,X,O,X,X,X
TZSJOIL,O,X,X,O,X,X,X,X,X,O,X,X,X
TZSJOLI,O,X,X,O,X,X,X,X,X,O,X,X,X
TZSOILJ,O,O,X,O,X,X,O,O,X,X,X,X,X
TZSOIJL,O,O,X,O,X,X,O,O,X,X,X,X,X
TZSOLIJ,O,O,X,O,X,X,O,X,X,X,X,X,X
TZSOLJI,O,O,X,O,X,X,X,X,X,X,X,X,X
TZSOJIL,O,O,X,O,X,X,X,O,X,X,X,X,X
TZSOJLI,O,O,X,O,X,X,X,X,X,X,X,X,X
TZOILJS,O,X,X,X,O,X,X,O,X,X,O,X,O
TZOILSJ,O,X,X,O,O,X,O,O,X,X,O,X,O
TZOIJLS,O,X,X,O,O,X,X,O,X,X,X,X,O
TZOIJSL,X,X,X,O,O,X,O,O,X,X,X,X,X
TZOISLJ,X,X,X,O,O,X,O,O,X,X,X,X,X
TZOISJL,X,X,X,O,O,X,O,O,X,X,X,X,X
TZOLIJS,O,X,X,X,O,X,X,O,X,X,O,X,X
TZOLISJ,O,X,X,O,O,X,X,O,X,X,O,X,X
TZOLJIS,O,X,X,O,O,X,X,O,X,X,X,X,X
TZOLJSI,O,X,X,O,O,X,X,X,X,X,X,X,X
TZOLSIJ,O,X,X,O,O,X,X,X,X,X,X,X,X
TZOLSJI,O,X,X,O,O,X,X,X,X,X,X,X,X
TZOJILS,O,X,X,O,O,X,X,O,X,X,X,X,O
TZOJISL,X,X,X,O,O,X,X,O,X,X,X,X,X
TZOJLIS,O,X,X,O,O,X,X,O,X,X,X,X,X
TZOJLSI,O,X,X,O,O,X,X,X,X,X,X,X,X
TZOJSIL,O,O,X,O,O,X,X,O,X,X,X,X,X
TZOJSLI,O,O,X,O,O,X,X,X,X,X,X,X,X
TZOSILJ,O,O,X,O,O,X,O,O,X,X,X,X,X
TZOSIJL,O,O,X,O,O,X,O,O,X,X,X,X,X
TZOSLIJ,O,O,X,O,O,X,O,X,X,X,X,X,X
TZOSLJI,O,O,X,O,O,X,X,X,X,X,X,X,X
TZOSJIL,O,O,X,O,O,X,X,O,X,X,X,X,X
TZOSJLI,O,O,X,O,O,X,X,X,X,X,X,X,X
TOILJSZ,O,X,X,X,X,X,X,X,O,X,O,X,X
TOILJZS,O,X,X,X,O,X,X,O,X,X,X,X,X
TOILSJZ,O,X,X,X,X,X,O,X,X,X,O,X,X
TOILSZJ,O,X,X,X,O,X,O,X,X,X,O,X,X
TOILZJS,O,X,X,X,O,X,X,O,X,X,X,X,X
TOILZSJ,X,X,X,X,O,X,O,O,X,X,O,X,X
TOIJLSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
TOIJLZS,O,X,X,X,O,X,X,O,X,X,X,X,X
TOIJSLZ,X,O,X,O,X,X,O,X,O,X,X,X,X
TOIJSZL,X,O,X,O,X,X,O,O,O,X,X,X,X
TOIJZLS,X,X,X,O,O,X,X,O,X,X,X,X,O
TOIJZSL,X,X,X,O,O,X,O,O,O,X,X,X,X
TOISLJZ,X,O,X,O,X,X,O,X,X,X,X,X,X
TOISLZJ,X,O,X,O,O,X,O,X,X,X,X,X,X
TOISJLZ,X,O,X,O,X,X,O,X,O,X,X,X,X
TOISJZL,X,O,X,O,X,X,O,O,O,X,X,X,X
TOISZLJ,X,O,X,O,O,X,O,O,X,X,X,X,X
TOISZJL,X,O,X,O,O,X,O,O,X,X,X,X,X
TOIZLJS,X,X,X,X,O,X,X,O,X,X,X,X,O
TOIZLSJ,X,X,X,O,O,X,O,O,X,X,X,X,O
TOIZJLS,X,X,X,O,O,X,X,O,X,X,X,X,O
TOIZJSL,X,X,X,O,O,X,O,O,O,X,X,X,X
TOIZSLJ,X,X,X,O,O,X,O,O,X,X,X,X,X
TOIZSJL,X,X,X,O,O,X,O,O,X,X,X,X,X
TOLIJSZ,O,O,X,X,X,X,X,X,X,X,O,X,X
TOLIJZS,O,X,X,X,O,X,X,O,X,O,X,X,X
TOLISJZ,O,X,O,X,X,X,X,X,X,X,O,X,X
TOLISZJ,O,X,O,X,O,X,X,X,X,X,O,X,X
TOLIZJS,O,X,X,X,O,X,X,O,X,X,X,X,X
TOLIZSJ,X,X,X,X,O,X,X,O,X,X,O,X,X
TOLJISZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TOLJIZS,O,X,X,X,O,X,X,O,X,O,X,X,X
TOLJSIZ,O,O,O,O,X,X,X,X,X,X,X,X,X
TOLJSZI,O,O,O,O,X,X,X,X,X,O,X,X,X
TOLJZIS,O,X,X,O,O,X,X,O,X,O,X,X,X
TOLJZSI,O,X,X,O,O,X,X,X,X,O,X,X,X
TOLSIJZ,O,O,O,O,X,O,X,X,X,X,X,X,X
TOLSIZJ,O,O,O,O,O,X,X,X,X,X,X,X,X
TOLSJIZ,O,O,O,O,X,X,X,X,X,X,X,X,X
TOLSJZI,O,O,O,O,X,X,X,X,X,O,X,X,X
TOLSZIJ,O,O,O,O,O,X,X,X,X,X,X,X,X
TOLSZJI,O,O,O,O,O,X,X,X,X,X,X,X,X
TOLZIJS,O,X,X,X,O,X,X,O,X,X,O,X,X
TOLZISJ,O,X,X,O,O,X,X,O,X,X,O,X,X
TOLZJIS,O,X,X,O,O,X,X,O,X,O,X,X,X
TOLZJSI,O,X,X,O,O,X,X,X,X,O,X,X,X
TOLZSIJ,O,X,O,O,O,X,X,X,X,X,X,X,X
TOLZSJI,O,X,O,O,O,X,X,X,X,X,X,X,X
TOJILSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
TOJILZS,O,X,X,X,O,X,X,O,X,X,X,X,X
TOJISLZ,X,O,X,O,X,X,X,X,O,X,X,X,X
TOJISZL,X,O,X,O,X,X,X,O,O,X,X,X,X
TOJIZLS,X,X,X,O,O,X,X,O,X,X,X,X,O
TOJIZSL,X,X,X,O,O,X,X,O,O,X,X,X,X
TOJLISZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TOJLIZS,O,X,X,X,O,X,X,O,X,O,X,X,X
TOJLSIZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TOJLSZI,O,O,X,O,X,X,X,X,X,O,X,X,X
TOJLZIS,O,X,X,O,O,X,X,O,X,O,X,X,X
TOJLZSI,O,X,X,O,O,X,X,X,X,O,X,X,X
TOJSILZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TOJSIZL,O,O,X,O,X,X,X,O,X,X,X,X,X
TOJSLIZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TOJSLZI,O,O,X,O,X,X,X,X,X,X,X,X,X
TOJSZIL,O,O,X,O,X,X,X,O,X,X,X,X,X
TOJSZLI,O,O,X,O,X,X,X,X,X,X,X,X,X
TOJZILS,O,X,X,O,O,X,X,O,X,X,X,X,O
TOJZISL,X,X,X,O,O,X,X,O,X,X,X,X,X
TOJZLIS,O,X,X,O,O,X,X,O,X,O,X,X,X
TOJZLSI,O,X,X,O,O,X,X,X,X,O,X,X,X
TOJZSIL,O,O,X,O,O,X,X,O,X,O,X,X,X
TOJZSLI,O,O,X,O,O,X,X,X,X,O,X,X,X
TOSILJZ,O,O,O,O,X,O,O,X,X,X,X,X,X
TOSILZJ,O,O,O,O,O,X,O,X,X,X,X,X,X
TOSIJLZ,O,O,O,O,X,O,O,X,X,X,X,X,X
TOSIJZL,O,O,X,O,X,X,O,O,X,X,X,X,X
TOSIZLJ,O,O,X,O,O,X,O,O,X,X,X,X,X
TOSIZJL,O,O,X,O,O,X,O,O,X,X,X,X,X
TOSLIJZ,O,O,O,O,X,O,O,X,X,X,X,X,X
TOSLIZJ,O,O,O,O,O,X,O,X,X,X,X,X,X
TOSLJIZ,O,O,O,O,X,X,X,X,X,X,X,X,X
TOSLJZI,O,O,O,O,X,X,X,X,X,X,X,X,X
TOSLZIJ,O,O,O,O,O,X,O,X,X,X,X,X,X
TOSLZJI,O,O,O,O,O,X,X,X,X,X,X,X,X
TOSJILZ,O,O,X,O,X,X,X,X,X,X,X,X,X
TOSJIZL,O,O,X,O,X,X,X,O,X,X,X,X,X
TOSJLIZ,O,O,O,O,X,X,X,X,X,X,X,X,X
TOSJLZI,O,O,O,O,X,X,X,X,X,X,X,X,X
TOSJZIL,O,O,X,O,X,X,X,O,X,X,X,X,X
TOSJZLI,O,O,X,O,X,X,X,X,X,X,X,X,X
TOSZILJ,O,O,X,O,O,X,O,O,X,X,X,X,X
TOSZIJL,O,O,X,O,O,X,O,O,X,X,X,X,X
TOSZLIJ,O,O,X,O,O,X,O,X,X,X,X,X,X
TOSZLJI,O,O,X,O,O,X,X,X,X,X,X,X,X
TOSZJIL,O,O,X,O,O,X,X,O,X,X,X,X,X
TOSZJLI,O,O,X,O,O,X,X,X,X,X,X,X,X
TOZILJS,O,X,X,X,O,X,X,O,X,X,O,X,O
TOZILSJ,O,X,X,O,O,X,O,O,X,X,O,X,O
TOZIJLS,O,X,X,O,O,X,X,O,X,X,X,X,O
TOZIJSL,X,X,X,O,O,X,O,O,X,X,X,X,X
TOZISLJ,X,X,X,O,O,X,O,O,X,X,X,X,X
TOZISJL,X,X,X,O,O,X,O,O,X,X,X,X,X
TOZLIJS,O,X,X,X,O,X,X,O,X,X,O,X,X
TOZLISJ,O,X,X,O,O,X,X,O,X,X,O,X,X
TOZLJIS,O,X,X,O,O,X,X,O,X,X,X,X,X
TOZLJSI,O,X,X,O,O,X,X,X,X,X,X,X,X
TOZLSIJ,O,X,X,O,O,X,X,X,X,X,X,X,X
TOZLSJI,O,X,X,O,O,X,X,X,X,X,X,X,X
TOZJILS,O,X,X,O,O,X,X,O,X,X,X,X,O
TOZJISL,X,X,X,O,O,X,X,O,X,X,X,X,X
TOZJLIS,O,X,X,O,O,X,X,O,X,X,X,X,X
TOZJLSI,O,X,X,O,O,X,X,X,X,X,X,X,X
TOZJSIL,O,O,X,O,O,X,X,O,X,X,X,X,X
TOZJSLI,O,O,X,O,O,X,X,X,X,X,X,X,X
TOZSILJ,O,O,X,O,O,X,O,O,X,X,X,X,X
TOZSIJL,O,O,X,O,O,X,O,O,X,X,X,X,X
TOZSLIJ,O,O,X,O,O,X,O,X,X,X,X,X,X
TOZSLJI,O,O,X,O,O,X,X,X,X,X,X,X,X
TOZSJIL,O,O,X,O,O,X,X,O,X,X,X,X,X
TOZSJLI,O,O,X,O,O,X,X,X,X,X,X,X,X
ITLJSZO,O,X,X,X,X,X,X,X,X,X,X,X,X
ITLJSOZ,O,X,X,X,X,X,X,X,X,X,O,X,X
ITLJZSO,O,X,X,X,O,X,X,X,X,O,X,O,X
ITLJZOS,O,X,X,X,O,X,X,X,X,O,X,O,X
ITLJOSZ,O,X,X,X,X,X,X,X,O,X,O,X,X
ITLJOZS,O,X,X,X,X,X,X,X,X,O,X,O,X
ITLSJZO,O,X,O,X,X,O,O,X,X,X,X,X,X
ITLSJOZ,O,X,O,X,X,O,O,X,X,X,O,X,X
ITLSZJO,O,X,O,X,O,O,O,X,X,X,X,X,X
ITLSZOJ,O,X,O,X,X,X,O,X,X,X,O,X,X
ITLSOJZ,O,X,O,X,X,O,O,X,X,X,O,X,X
ITLSOZJ,O,X,O,X,X,X,O,X,X,X,O,X,X
ITLZJSO,O,X,X,X,O,X,X,X,X,X,O,X,X
ITLZJOS,O,X,X,X,O,X,X,X,X,X,O,X,X
ITLZSJO,X,X,X,X,O,X,O,X,X,X,O,X,X
ITLZSOJ,X,X,X,X,X,X,O,X,X,X,O,X,X
ITLZOJS,O,X,X,X,O,X,X,O,X,X,O,X,X
ITLZOSJ,X,X,X,X,X,X,O,O,X,X,O,X,X
ITLOJSZ,O,X,X,X,X,X,X,X,O,X,O,X,X
ITLOJZS,O,X,X,X,X,X,X,O,X,O,X,X,X
ITLOSJZ,O,X,O,X,X,X,O,X,X,X,O,X,X
ITLOSZJ,O,X,O,X,X,X,O,X,X,X,O,X,X
ITLOZJS,O,X,X,X,O,X,X,O,X,X,X,X,X
ITLOZSJ,X,X,X,X,X,X,O,O,X,X,O,X,X
ITJLSZO,O,X,X,X,X,X,X,X,X,X,X,X,X
ITJLSOZ,O,X,X,X,X,X,X,X,X,X,O,X,X
ITJLZSO,O,X,X,X,O,X,X,X,X,O,X,O,X
ITJLZOS,O,X,X,X,O,X,X,X,X,O,X,O,X
ITJLOSZ,O,X,X,X,X,X,X,X,O,X,O,X,X
ITJLOZS,O,X,X,X,X,X,X,X,X,O,X,O,X
ITJSLZO,X,O,X,O,X,X,O,X,X,X,X,X,X
ITJSLOZ,X,O,X,X,X,X,O,X,X,X,X,X,X
ITJSZLO,X,X,X,O,X,X,O,X,X,X,X,X,X
ITJSZOL,X,X,X,O,X,X,O,X,X,X,X,X,X
ITJSOLZ,X,X,X,X,X,X,O,X,O,X,X,X,X
ITJSOZL,X,X,X,X,X,X,O,X,O,X,X,X,X
ITJZLSO,X,X,X,O,O,X,X,X,X,O,X,X,X
ITJZLOS,X,X,X,X,O,X,X,X,X,O,X,X,X
