sequence,v115@4gA8IeE8FeD8EeG8CeE8Jei6IvhFzbBxdBckBelB3q?BFrB,v115@4gA8IeE8FeD8EeG8CeE8Jez7IvhFxdBifB3kBFmB0q?BmpB,v115@4gA8IeE8FeD8EeG8CeE8JeO/IvhFXbBKhBxdB1pBzq?BcqB,v115@4gA8IeE8FeD8EeG8CeE8Jem6IvhFzbBxdBKkBFmB0q?BfqB,v115@4gA8IeE8FeD8EeG8CeE8Je37IvhFxdB0fBVmBifBmp?BzqB,v115@4gA8IeE8FeD8EeG8CeE8JeK/IvhFfgBxdBUhBlgBmp?BzqB,v115@4gA8IeE8FeD8EeG8CeE8JeO/IvhF8fBzbBxiBypB3q?BFrB,v115@4gA8IeE8FeD8EeG8CeE8Jey/IvhFzbB0fBxiB2pB3q?BFrB,v115@4gA8IeE8FeD8EeG8CeE8Je06IvhFzbBxdBKkBFlBXm?B2vB,v115@4gA8IeE8FeD8EeG8CeE8Jez7IvhFxdBKkBUgBlfBXm?B2vB,v115@4gA8IeE8FeD8EeG8CeE8JeT6IvhFxdBlgBikBXmBUq?BmqB
TSJOLIZ,X,X,O,X,X,X,X,O,X,O,X
TSJOLZI,X,X,O,X,X,X,X,O,X,O,X
TSJOZIL,X,X,O,X,O,X,X,O,X,X,X
TSJOZLI,X,X,O,X,O,X,X,O,X,X,X
TSZILJO,O,O,X,O,X,X,X,X,X,X,O
TSZILOJ,X,O,X,O,X,X,X,X,X,X,O
TSZIJLO,O,O,X,X,O,X,X,X,X,X,O
TSZIJOL,O,O,X,X,O,X,X,X,X,X,X
TSZIOLJ,X,O,X,O,X,X,X,X,X,X,O
TSZIOJL,X,O,X,X,X,X,X,X,X,X,X
TSZLIJO,O,O,X,O,X,X,X,X,X,X,O
TSZLIOJ,X,O,X,O,X,X,X,X,X,X,O
TSZLJIO,O,O,X,O,X,X,X,X,X,X,O
TSZLJOI,O,O,X,O,X,X,X,X,X,X,O
TSZLOIJ,X,O,X,O,X,X,X,X,X,X,O
TSZLOJI,X,O,X,O,X,X,X,X,X,X,O
TSZJILO,O,O,X,X,O,X,X,X,X,X,O
TSZJIOL,O,O,X,X,O,X,X,X,X,X,X
TSZJLIO,O,O,X,X,O,X,X,X,X,X,O
TSZJLOI,O,O,X,X,O,X,X,X,X,X,O
TSZJOIL,O,O,X,X,O,X,X,X,X,X,X
TSZJOLI,O,O,X,X,O,X,X,X,X,X,X
TSZOILJ,X,O,X,O,X,X,X,X,X,X,O
TSZOIJL,X,O,X,X,X,X,X,X,X,X,X
TSZOLIJ,X,O,X,O,X,X,X,X,X,X,O
TSZOLJI,X,O,X,O,X,X,X,X,X,X,O
TSZOJIL,X,O,X,X,X,X,X,X,X,X,X
TSZOJLI,X,O,X,X,X,X,X,X,X,X,X
TSOILJZ,X,X,O,X,X,X,X,X,O,X,O
TSOILZJ,X,O,O,X,X,X,X,X,O,O,O
TSOIJLZ,X,X,O,X,X,X,X,X,X,X,X
TSOIJZL,X,X,O,X,O,X,X,X,X,X,X
TSOIZLJ,X,O,O,O,X,X,X,X,X,X,X
TSOIZJL,X,O,O,X,X,X,X,X,X,X,X
TSOLIJZ,X,X,O,X,X,X,X,X,O,X,O
TSOLIZJ,X,O,O,X,X,X,X,X,O,O,O
TSOLJIZ,X,X,O,X,X,X,X,X,O,X,O
TSOLJZI,X,X,O,X,X,X,X,X,O,X,O
TSOLZIJ,X,O,O,X,X,X,X,X,O,O,O
TSOLZJI,X,O,O,X,X,X,X,X,O,O,O
TSOJILZ,X,X,O,X,X,X,X,X,X,X,X
TSOJIZL,X,X,O,X,O,X,X,X,X,X,X
TSOJLIZ,X,X,O,X,X,X,X,X,X,X,X
TSOJLZI,X,X,O,X,X,X,X,X,X,X,X
TSOJZIL,X,X,O,X,O,X,X,X,X,X,X
TSOJZLI,X,X,O,X,O,X,X,X,X,X,X
TSOZILJ,X,O,O,O,X,X,X,X,X,X,X
TSOZIJL,X,O,O,X,X,X,X,X,X,X,X
TSOZLIJ,X,O,O,O,X,X,X,X,X,X,X
TSOZLJI,X,O,O,O,X,X,X,X,X,X,X
TSOZJIL,X,O,O,X,X,X,X,X,X,X,X
TSOZJLI,X,O,O,X,X,X,X,X,X,X,X
TZILJSO,O,X,X,O,X,X,X,X,X,X,X
TZILJOS,X,X,X,O,X,X,X,X,X,X,O
TZILSJO,O,O,X,O,X,X,X,X,X,X,O
TZILSOJ,X,O,X,O,X,X,X,X,X,X,O
TZILOJS,X,X,X,O,X,X,X,X,X,X,O
TZILOSJ,X,O,X,O,X,X,X,X,X,X,O
TZIJLSO,O,X,X,O,O,O,X,X,X,X,X
TZIJLOS,X,X,X,O,X,X,X,X,X,X,X
TZIJSLO,O,O,X,X,O,X,X,X,X,X,X
TZIJSOL,O,O,X,X,O,X,X,X,X,X,X
TZIJOLS,X,X,O,O,X,X,X,X,X,X,X
TZIJOSL,X,O,O,X,O,X,X,X,X,X,X
TZISLJO,O,O,X,O,X,X,X,X,X,X,O
TZISLOJ,X,O,X,O,X,X,X,X,X,X,O
TZISJLO,O,O,X,X,O,X,X,X,X,X,O
TZISJOL,O,O,X,X,O,X,X,X,X,X,X
TZISOLJ,X,O,X,O,X,X,X,X,X,X,O
TZISOJL,X,O,X,X,X,X,X,X,X,X,X
TZIOLJS,X,X,O,O,X,X,X,X,X,X,X
TZIOLSJ,X,O,O,O,X,X,X,X,X,X,X
TZIOJLS,X,X,O,O,X,O,X,X,X,X,X
TZIOJSL,X,O,O,X,X,X,X,X,X,X,X
TZIOSLJ,X,O,O,O,X,X,X,X,X,X,X
TZIOSJL,X,O,O,X,X,X,X,X,X,X,X
TZLIJSO,O,X,X,O,X,X,X,X,X,X,X
TZLIJOS,X,X,X,O,X,X,X,X,X,X,O
TZLISJO,O,O,X,O,X,X,X,X,X,X,O
TZLISOJ,X,O,X,O,X,X,X,X,X,X,O
TZLIOJS,X,X,X,O,X,X,X,X,X,X,O
TZLIOSJ,X,O,X,O,X,X,X,X,X,X,O
TZLJISO,O,X,X,O,X,X,X,X,X,X,X
TZLJIOS,X,X,X,O,X,X,X,X,X,X,O
TZLJSIO,O,X,X,O,X,X,X,X,X,X,X
TZLJSOI,O,X,X,O,X,X,X,X,X,X,X
TZLJOIS,X,X,X,O,X,X,X,X,X,X,O
TZLJOSI,X,X,X,O,X,X,X,X,X,X,O
TZLSIJO,O,O,X,O,X,X,X,X,X,X,O
TZLSIOJ,X,O,X,O,X,X,X,X,X,X,O
TZLSJIO,O,O,X,O,X,X,X,X,X,X,O
TZLSJOI,O,O,X,O,X,X,X,X,X,X,O
TZLSOIJ,X,O,X,O,X,X,X,X,X,X,O
TZLSOJI,X,O,X,O,X,X,X,X,X,X,O
TZLOIJS,X,X,X,O,X,X,X,X,X,X,O
TZLOISJ,X,O,X,O,X,X,X,X,X,X,O
TZLOJIS,X,X,X,O,X,X,X,X,X,X,O
TZLOJSI,X,X,X,O,X,X,X,X,X,X,O
TZLOSIJ,X,O,X,O,X,X,X,X,X,X,O
TZLOSJI,X,O,X,O,X,X,X,X,X,X,O
TZJILSO,O,X,X,O,O,O,X,X,X,X,X
TZJILOS,X,X,X,O,X,X,X,X,X,X,X
TZJISLO,O,O,X,X,O,X,X,X,X,X,X
TZJISOL,O,O,X,X,O,X,X,X,X,X,X
TZJIOLS,X,X,O,O,X,X,X,X,X,X,X
TZJIOSL,X,O,O,X,O,X,X,X,X,X,X
TZJLISO,O,X,X,O,O,O,X,X,X,X,X
TZJLIOS,X,X,X,O,X,X,X,X,X,X,X
TZJLSIO,O,X,X,O,O,O,X,X,X,X,X
TZJLSOI,O,X,X,O,O,O,X,X,X,X,X
TZJLOIS,X,X,X,O,X,X,X,X,X,X,X
TZJLOSI,X,X,X,O,X,X,X,X,X,X,X
TZJSILO,O,O,X,X,O,X,X,X,X,X,X
TZJSIOL,O,O,X,X,O,X,X,X,X,X,X
TZJSLIO,O,O,X,X,O,X,X,X,X,X,X
TZJSLOI,O,O,X,X,O,X,X,X,X,X,X
TZJSOIL,O,O,X,X,O,X,X,X,X,X,X
TZJSOLI,O,O,X,X,O,X,X,X,X,X,X
TZJOILS,X,X,O,O,X,X,X,X,X,X,X
TZJOISL,X,O,O,X,O,X,X,X,X,X,X
TZJOLIS,X,X,O,O,X,X,X,X,X,X,X
TZJOLSI,X,X,O,O,X,X,X,X,X,X,X
TZJOSIL,X,O,O,X,O,X,X,X,X,X,X
TZJOSLI,X,O,O,X,O,X,X,X,X,X,X
TZSILJO,O,O,X,O,X,X,X,X,X,X,O
TZSILOJ,X,O,X,O,X,X,X,X,X,X,O
TZSIJLO,O,O,X,X,O,X,X,X,X,X,O
TZSIJOL,O,O,X,X,O,X,X,X,X,X,X
TZSIOLJ,X,O,X,O,X,X,X,X,X,X,O
TZSIOJL,X,O,X,X,X,X,X,X,X,X,X
TZSLIJO,O,O,X,O,X,X,X,X,X,X,O
TZSLIOJ,X,O,X,O,X,X,X,X,X,X,O
TZSLJIO,O,O,X,O,X,X,X,X,X,X,O
TZSLJOI,O,O,X,O,X,X,X,X,X,X,O
TZSLOIJ,X,O,X,O,X,X,X,X,X,X,O
TZSLOJI,X,O,X,O,X,X,X,X,X,X,O
TZSJILO,O,O,X,X,O,X,X,X,X,X,O
TZSJIOL,O,O,X,X,O,X,X,X,X,X,X
TZSJLIO,O,O,X,X,O,X,X,X,X,X,O
TZSJLOI,O,O,X,X,O,X,X,X,X,X,O
TZSJOIL,O,O,X,X,O,X,X,X,X,X,X
TZSJOLI,O,O,X,X,O,X,X,X,X,X,X
TZSOILJ,X,O,X,O,X,X,X,X,X,X,O
TZSOIJL,X,O,X,X,X,X,X,X,X,X,X
TZSOLIJ,X,O,X,O,X,X,X,X,X,X,O
TZSOLJI,X,O,X,O,X,X,X,X,X,X,O
TZSOJIL,X,O,X,X,X,X,X,X,X,X,X
TZSOJLI,X,O,X,X,X,X,X,X,X,X,X
TZOILJS,X,X,O,O,X,X,X,X,X,X,X
TZOILSJ,X,O,O,O,X,X,X,X,X,X,X
TZOIJLS,X,X,O,O,X,O,X,X,X,X,X
TZOIJSL,X,O,O,X,X,X,X,X,X,X,X
TZOISLJ,X,O,O,O,X,X,X,X,X,X,X
TZOISJL,X,O,O,X,X,X,X,X,X,X,X
TZOLIJS,X,X,O,O,X,X,X,X,X,X,X
TZOLISJ,X,O,O,O,X,X,X,X,X,X,X
TZOLJIS,X,X,O,O,X,X,X,X,X,X,X
TZOLJSI,X,X,O,O,X,X,X,X,X,X,X
TZOLSIJ,X,O,O,O,X,X,X,X,X,X,X
TZOLSJI,X,O,O,O,X,X,X,X,X,X,X
TZOJILS,X,X,O,O,X,O,X,X,X,X,X
TZOJISL,X,O,O,X,X,X,X,X,X,X,X
TZOJLIS,X,X,O,O,X,O,X,X,X,X,X
TZOJLSI,X,X,O,O,X,O,X,X,X,X,X
TZOJSIL,X,O,O,X,X,X,X,X,X,X,X
TZOJSLI,X,O,O,X,X,X,X,X,X,X,X
TZOSILJ,X,O,O,O,X,X,X,X,X,X,X
TZOSIJL,X,O,O,X,X,X,X,X,X,X,X
TZOSLIJ,X,O,O,O,X,X,X,X,X,X,X
TZOSLJI,X,O,O,O,X,X,X,X,X,X,X
TZOSJIL,X,O,O,X,X,X,X,X,X,X,X
TZOSJLI,X,O,O,X,X,X,X,X,X,X,X
TOILJSZ,X,X,O,X,O,X,X,X,X,X,X
TOILJZS,X,X,O,X,O,X,X,X,X,X,X
TOILSJZ,X,X,O,X,O,X,X,X,X,X,X
TOILSZJ,X,X,O,X,X,X,X,X,X,X,X
TOILZJS,X,X,O,O,X,X,X,X,X,X,X
TOILZSJ,X,O,O,O,X,X,X,X,X,X,X
TOIJLSZ,X,X,O,X,O,O,X,X,X,X,X
TOIJLZS,X,X,O,X,O,O,X,X,X,X,X
TOIJSLZ,X,X,O,X,O,X,X,X,X,X,X
TOIJSZL,X,X,O,X,O,X,X,X,X,X,X
TOIJZLS,X,X,O,O,O,O,X,X,X,X,X
TOIJZSL,X,O,O,X,O,X,X,X,X,X,X
TOISLJZ,X,X,O,X,O,X,X,X,X,X,X
TOISLZJ,X,O,O,X,X,X,X,X,X,X,X
TOISJLZ,X,X,O,X,O,X,X,X,X,X,X
TOISJZL,X,X,O,X,O,X,X,X,X,X,X
TOISZLJ,X,O,O,O,X,X,X,X,X,X,X
TOISZJL,X,O,O,X,O,X,X,X,X,X,X
TOIZLJS,X,X,O,O,X,X,X,X,X,X,X
TOIZLSJ,X,O,O,O,X,X,X,X,X,X,X
TOIZJLS,X,X,O,O,O,O,X,X,X,X,X
TOIZJSL,X,O,O,X,O,X,X,X,X,X,X
TOIZSLJ,X,O,O,O,X,X,X,X,X,X,X
TOIZSJL,X,O,O,X,O,X,X,X,X,X,X
TOLIJSZ,X,X,O,X,O,X,X,X,X,X,X
TOLIJZS,X,X,O,X,O,X,X,X,X,X,X
TOLISJZ,X,X,O,X,O,X,X,X,X,X,X
TOLISZJ,X,X,O,X,X,X,X,X,X,X,X
TOLIZJS,X,X,O,O,X,X,X,X,X,X,X
TOLIZSJ,X,O,O,O,X,X,X,X,X,X,X
TOLJISZ,X,X,O,X,O,X,X,X,X,X,X
TOLJIZS,X,X,O,X,O,X,X,X,X,X,X
TOLJSIZ,X,X,O,X,O,X,X,X,X,X,X
TOLJSZI,X,X,O,X,O,X,X,X,X,X,X
TOLJZIS,X,X,O,X,O,X,X,X,X,X,X
TOLJZSI,X,X,O,X,O,X,X,X,X,X,X
TOLSIJZ,X,X,O,X,O,X,X,X,X,X,X
TOLSIZJ,X,X,O,X,X,X,X,X,X,X,X
TOLSJIZ,X,X,O,X,O,X,X,X,X,X,X
TOLSJZI,X,X,O,X,O,X,X,X,X,X,X
TOLSZIJ,X,X,O,X,X,X,X,X,X,X,X
TOLSZJI,X,X,O,X,X,X,X,X,X,X,X
TOLZIJS,X,X,O,O,X,X,X,X,X,X,X
TOLZISJ,X,O,O,O,X,X,X,X,X,X,X
TOLZJIS,X,X,O,O,X,X,X,X,X,X,X
TOLZJSI,X,X,O,O,X,X,X,X,X,X,X
TOLZSIJ,X,O,O,O,X,X,X,X,X,X,X
TOLZSJI,X,O,O,O,X,X,X,X,X,X,X
TOJILSZ,X,X,O,X,O,O,X,X,X,X,X
TOJILZS,X,X,O,X,O,O,X,X,X,X,X
TOJISLZ,X,X,O,X,O,X,X,X,X,X,X
TOJISZL,X,X,O,X,O,X,X,X,X,X,X
TOJIZLS,X,X,O,O,O,O,X,X,X,X,X
TOJIZSL,X,O,O,X,O,X,X,X,X,X,X
TOJLISZ,X,X,O,X,O,O,X,X,X,X,X
TOJLIZS,X,X,O,X,O,O,X,X,X,X,X
TOJLSIZ,X,X,O,X,O,O,X,X,X,X,X
TOJLSZI,X,X,O,X,O,O,X,X,X,X,X
TOJLZIS,X,X,O,X,O,O,X,X,X,X,X
TOJLZSI,X,X,O,X,O,O,X,X,X,X,X
TOJSILZ,X,X,O,X,O,X,X,X,X,X,X
TOJSIZL,X,X,O,X,O,X,X,X,X,X,X
TOJSLIZ,X,X,O,X,O,X,X,X,X,X,X
TOJSLZI,X,X,O,X,O,X,X,X,X,X,X
TOJSZIL,X,X,O,X,O,X,X,X,X,X,X
TOJSZLI,X,X,O,X,O,X,X,X,X,X,X
TOJZILS,X,X,O,O,O,O,X,X,X,X,X
TOJZISL,X,O,O,X,O,X,X,X,X,X,X
TOJZLIS,X,X,O,O,O,O,X,X,X,X,X
TOJZLSI,X,X,O,O,O,O,X,X,X,X,X
TOJZSIL,X,O,O,X,O,X,X,X,X,X,X
TOJZSLI,X,O,O,X,O,X,X,X,X,X,X
TOSILJZ,X,X,O,X,O,X,X,X,X,X,X
TOSILZJ,X,O,O,X,X,X,X,X,X,X,X
TOSIJLZ,X,X,O,X,O,X,X,X,X,X,X
TOSIJZL,X,X,O,X,O,X,X,X,X,X,X
TOSIZLJ,X,O,O,O,X,X,X,X,X,X,X
TOSIZJL,X,O,O,X,O,X,X,X,X,X,X
TOSLIJZ,X,X,O,X,O,X,X,X,X,X,X
TOSLIZJ,X,O,O,X,X,X,X,X,X,X,X
TOSLJIZ,X,X,O,X,O,X,X,X,X,X,X
TOSLJZI,X,X,O,X,O,X,X,X,X,X,X
TOSLZIJ,X,O,O,X,X,X,X,X,X,X,X
TOSLZJI,X,O,O,X,X,X,X,X,X,X,X
TOSJILZ,X,X,O,X,O,X,X,X,X,X,X
TOSJIZL,X,X,O,X,O,X,X,X,X,X,X
TOSJLIZ,X,X,O,X,O,X,X,X,X,X,X
TOSJLZI,X,X,O,X,O,X,X,X,X,X,X
TOSJZIL,X,X,O,X,O,X,X,X,X,X,X
TOSJZLI,X,X,O,X,O,X,X,X,X,X,X
TOSZILJ,X,O,O,O,X,X,X,X,X,X,X
TOSZIJL,X,O,O,X,O,X,X,X,X,X,X
TOSZLIJ,X,O,O,O,X,X,X,X,X,X,X
TOSZLJI,X,O,O,O,X,X,X,X,X,X,X
TOSZJIL,X,O,O,X,O,X,X,X,X,X,X
TOSZJLI,X,O,O,X,O,X,X,X,X,X,X
TOZILJS,X,X,O,O,X,X,X,X,X,X,X
TOZILSJ,X,O,O,O,X,X,X,X,X,X,X
TOZIJLS,X,X,O,O,O,O,X,X,X,X,X
TOZIJSL,X,O,O,X,O,X,X,X,X,X,X
TOZISLJ,X,O,O,O,X,X,X,X,X,X,X
TOZISJL,X,O,O,X,O,X,X,X,X,X,X
TOZLIJS,X,X,O,O,X,X,X,X,X,X,X
TOZLISJ,X,O,O,O,X,X,X,X,X,X,X
TOZLJIS,X,X,O,O,X,X,X,X,X,X,X
TOZLJSI,X,X,O,O,X,X,X,X,X,X,X
TOZLSIJ,X,O,O,O,X,X,X,X,X,X,X
TOZLSJI,X,O,O,O,X,X,X,X,X,X,X
TOZJILS,X,X,O,O,O,O,X,X,X,X,X
TOZJISL,X,O,O,X,O,X,X,X,X,X,X
TOZJLIS,X,X,O,O,O,O,X,X,X,X,X
TOZJLSI,X,X,O,O,O,O,X,X,X,X,X
TOZJSIL,X,O,O,X,O,X,X,X,X,X,X
TOZJSLI,X,O,O,X,O,X,X,X,X,X,X
TOZSILJ,X,O,O,O,X,X,X,X,X,X,X
TOZSIJL,X,O,O,X,O,X,X,X,X,X,X
TOZSLIJ,X,O,O,O,X,X,X,X,X,X,X
TOZSLJI,X,O,O,O,X,X,X,X,X,X,X
TOZSJIL,X,O,O,X,O,X,X,X,X,X,X
TOZSJLI,X,O,O,X,O,X,X,X,X,X,X
ITLJSZO,X,X,X,X,O,X,X,X,X,O,X
ITLJSOZ,X,X,X,X,X,X,X,X,X,O,X
ITLJZSO,X,X,X,X,O,X,X,X,X,O,X
ITLJZOS,X,X,X,X,X,X,X,X,X,O,X
ITLJOSZ,X,X,O,X,X,X,X,X,X,X,O
ITLJOZS,X,X,O,X,X,X,X,X,X,X,X
ITLSJZO,X,O,X,X,O,X,O,X,X,O,X
ITLSJOZ,X,X,X,X,X,X,O,X,X,O,O
ITLSZJO,X,O,X,X,X,X,O,X,X,X,X
ITLSZOJ,X,O,X,X,X,X,O,X,X,O,O
ITLSOJZ,X,X,X,X,X,X,O,X,O,X,O
ITLSOZJ,X,O,X,X,X,X,O,X,O,O,O
ITLZJSO,X,X,X,O,X,X,O,X,X,X,X
ITLZJOS,X,X,X,O,X,X,X,X,X,X,O
ITLZSJO,X,O,X,O,X,X,O,X,X,X,O
ITLZSOJ,X,O,X,O,X,X,O,X,X,X,O
ITLZOJS,X,X,X,O,X,X,X,X,X,X,O
ITLZOSJ,X,O,X,O,X,X,X,X,X,X,O
ITLOJSZ,X,X,O,X,X,X,X,X,X,X,O
ITLOJZS,X,X,O,X,X,X,X,X,X,X,X
ITLOSJZ,X,X,O,X,X,X,X,X,X,X,O
ITLOSZJ,X,X,O,X,X,X,X,X,X,X,O
ITLOZJS,X,X,O,O,X,X,X,X,X,X,O
ITLOZSJ,X,O,O,O,X,X,X,X,X,X,O
ITJLSZO,X,X,X,X,O,O,X,O,X,O,X
ITJLSOZ,X,X,X,X,X,O,X,O,X,O,X
ITJLZSO,X,X,X,X,O,O,X,X,X,O,X
ITJLZOS,X,X,X,X,X,X,X,X,X,O,X
ITJLOSZ,X,X,O,X,X,O,X,X,X,X,X
ITJLOZS,X,X,O,X,X,O,X,X,X,X,X
ITJSLZO,X,O,X,X,O,X,X,O,X,O,X
ITJSLOZ,X,X,X,X,X,X,X,O,X,O,X
ITJSZLO,O,X,X,X,O,X,X,O,X,X,X
ITJSZOL,O,X,X,X,O,X,X,O,X,X,X
ITJSOLZ,X,X,O,X,X,X,X,O,X,O,X
ITJSOZL,X,X,O,X,O,X,X,O,X,X,X
ITJZLSO,O,X,X,O,O,O,X,X,X,X,X
ITJZLOS,X,X,X,O,X,X,X,X,X,X,X
ITJZSLO,O,O,X,X,O,X,X,X,X,X,X
ITJZSOL,O,O,X,X,O,X,X,X,X,X,X
ITJZOLS,X,X,O,O,X,X,X,X,X,X,X
ITJZOSL,X,O,O,X,O,X,X,X,X,X,X
ITJOLSZ,X,X,O,X,O,O,X,X,X,X,X
ITJOLZS,X,X,O,X,O,O,X,X,X,X,X
ITJOSLZ,X,X,O,X,O,X,X,X,X,X,X
ITJOSZL,X,X,O,X,O,X,X,X,X,X,X
ITJOZLS,X,X,O,O,O,O,X,X,X,X,X
ITJOZSL,X,O,O,X,O,X,X,X,X,X,X
ITSLJZO,X,O,X,X,O,X,O,X,X,O,X
ITSLJOZ,X,X,X,X,X,X,O,X,X,O,O
ITSLZJO,X,O,X,X,X,X,O,X,X,X,X
ITSLZOJ,X,O,X,X,X,X,O,X,X,O,O
ITSLOJZ,X,X,X,X,X,X,O,X,O,X,O
ITSLOZJ,X,O,X,X,X,X,O,X,O,O,O
ITSJLZO,X,O,X,X,O,X,X,O,X,O,X
ITSJLOZ,X,X,X,X,X,X,X,O,X,O,O
ITSJZLO,O,X,X,X,O,X,X,O,X,X,X
ITSJZOL,O,X,X,X,O,X,X,O,X,X,X
ITSJOLZ,X,X,O,X,X,X,X,O,X,O,X
ITSJOZL,X,X,O,X,O,X,X,O,X,X,X
ITSZLJO,O,O,X,O,X,X,X,X,X,X,O
ITSZLOJ,X,O,X,O,X,X,X,X,X,X,O
ITSZJLO,O,O,X,X,O,X,X,X,X,X,O
ITSZJOL,O,O,X,X,O,X,X,X,X,X,X
ITSZOLJ,X,O,X,O,X,X,X,X,X,X,O
ITSZOJL,X,O,X,X,X,X,X,X,X,X,X
ITSOLJZ,X,X,O,X,X,X,X,X,O,X,O
ITSOLZJ,X,O,O,X,X,X,X,X,O,O,O
ITSOJLZ,X,X,O,X,X,X,X,X,X,X,X
ITSOJZL,X,X,O,X,O,X,X,X,X,X,X
ITSOZLJ,X,O,O,O,X,X,X,X,X,X,X
ITSOZJL,X,O,O,X,X,X,X,X,X,X,X
ITZLJSO,O,X,X,O,X,X,X,X,X,X,X
ITZLJOS,X,X,X,O,X,X,X,X,X,X,O
ITZLSJO,O,O,X,O,X,X,X,X,X,X,O
ITZLSOJ,X,O,X,O,X,X,X,X,X,X,O
ITZLOJS,X,X,X,O,X,X,X,X,X,X,O
ITZLOSJ,X,O,X,O,X,X,X,X,X,X,O
ITZJLSO,O,X,X,O,O,O,X,X,X,X,X
ITZJLOS,X,X,X,O,X,X,X,X,X,X,X
ITZJSLO,O,O,X,X,O,X,X,X,X,X,X
ITZJSOL,O,O,X,X,O,X,X,X,X,X,X
ITZJOLS,X,X,O,O,X,X,X,X,X,X,X
ITZJOSL,X,O,O,X,O,X,X,X,X,X,X
ITZSLJO,O,O,X,O,X,X,X,X,X,X,O
ITZSLOJ,X,O,X,O,X,X,X,X,X,X,O
ITZSJLO,O,O,X,X,O,X,X,X,X,X,O
ITZSJOL,O,O,X,X,O,X,X,X,X,X,X
ITZSOLJ,X,O,X,O,X,X,X,X,X,X,O
ITZSOJL,X,O,X,X,X,X,X,X,X,X,X
ITZOLJS,X,X,O,O,X,X,X,X,X,X,X
ITZOLSJ,X,O,O,O,X,X,X,X,X,X,X
ITZOJLS,X,X,O,O,X,O,X,X,X,X,X
ITZOJSL,X,O,O,X,X,X,X,X,X,X,X
ITZOSLJ,X,O,O,O,X,X,X,X,X,X,X
ITZOSJL,X,O,O,X,X,X,X,X,X,X,X
ITOLJSZ,X,X,O,X,O,X,X,X,X,X,X
ITOLJZS,X,X,O,X,O,X,X,X,X,X,X
ITOLSJZ,X,X,O,X,O,X,X,X,X,X,X
ITOLSZJ,X,X,O,X,X,X,X,X,X,X,X
ITOLZJS,X,X,O,O,X,X,X,X,X,X,X
ITOLZSJ,X,O,O,O,X,X,X,X,X,X,X
ITOJLSZ,X,X,O,X,O,O,X,X,X,X,X
ITOJLZS,X,X,O,X,O,O,X,X,X,X,X
ITOJSLZ,X,X,O,X,O,X,X,X,X,X,X
ITOJSZL,X,X,O,X,O,X,X,X,X,X,X
ITOJZLS,X,X,O,O,O,O,X,X,X,X,X
ITOJZSL,X,O,O,X,O,X,X,X,X,X,X
ITOSLJZ,X,X,O,X,O,X,X,X,X,X,X
ITOSLZJ,X,O,O,X,X,X,X,X,X,X,X
ITOSJLZ,X,X,O,X,O,X,X,X,X,X,X
ITOSJZL,X,X,O,X,O,X,X,X,X,X,X
ITOSZLJ,X,O,O,O,X,X,X,X,X,X,X
ITOSZJL,X,O,O,X,O,X,X,X,X,X,X
ITOZLJS,X,X,O,O,X,X,X,X,X,X,X
ITOZLSJ,X,O,O,O,X,X,X,X,X,X,X
ITOZJLS,X,X,O,O,O,O,X,X,X,X,X
ITOZJSL,X,O,O,X,O,X,X,X,X,X,X
ITOZSLJ,X,O,O,O,X,X,X,X,X,X,X
ITOZSJL,X,O,O,X,O,X,X,X,X,X,X
ILTJSZO,X,X,X,X,O,X,X,X,X,O,X
ILTJSOZ,X,X,X,X,X,X,X,X,X,O,X
ILTJZSO,X,X,X,X,O,X,X,X,X,O,X
ILTJZOS,X,X,X,X,X,X,X,X,X,O,X
ILTJOSZ,X,X,O,X,X,X,X,X,X,X,O
ILTJOZS,X,X,O,X,X,X,X,X,X,X,X
ILTSJZO,X,O,X,X,O,X,O,X,X,O,X
ILTSJOZ,X,X,X,X,X,X,O,X,X,O,O
ILTSZJO,X,O,X,X,X,X,O,X,X,X,X
ILTSZOJ,X,O,X,X,X,X,O,X,X,O,O
ILTSOJZ,X,X,X,X,X,X,O,X,O,X,O
ILTSOZJ,X,O,X,X,X,X,O,X,O,O,O
ILTZJSO,X,X,X,O,X,X,O,X,X,X,X
ILTZJOS,X,X,X,O,X,X,X,X,X,X,O
ILTZSJO,X,O,X,O,X,X,O,X,X,X,O
ILTZSOJ,X,O,X,O,X,X,O,X,X,X,O
ILTZOJS,X,X,X,O,X,X,X,X,X,X,O
ILTZOSJ,X,O,X,O,X,X,X,X,X,X,O
ILTOJSZ,X,X,O,X,X,X,X,X,X,X,O
ILTOJZS,X,X,O,X,X,X,X,X,X,X,X
ILTOSJZ,X,X,O,X,X,X,X,X,X,X,O
ILTOSZJ,X,X,O,X,X,X,X,X,X,X,O
ILTOZJS,X,X,O,O,X,X,X,X,X,X,O
ILTOZSJ,X,O,O,O,X,X,X,X,X,X,O
ILJTSZO,X,X,X,X,O,O,X,O,X,O,X
ILJTSOZ,X,X,X,X,X,O,X,O,X,O,X
ILJTZSO,X,X,X,X,O,O,X,X,X,O,X
ILJTZOS,X,X,X,X,X,X,X,X,X,O,X
ILJTOSZ,X,X,X,X,X,O,X,X,X,X,O
ILJTOZS,X,X,X,X,X,O,X,X,X,X,X
ILJSTZO,X,X,X,X,X,O,O,O,X,O,X
ILJSTOZ,X,X,X,X,X,O,O,O,X,O,O
ILJSZTO,O,X,X,X,X,O,O,O,X,O,X
