sequence,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeWAJvhFxbBXdB?ylBFnBTqB0rB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8Jez6IvhF5gBOhB?XdBKqBFnB0rB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeC7IvhFxcBOlB?VmBUiB3qBzrB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeX9IvhFRgBUgB?6rBOsBFmBTqB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeC7IvhFxcBUiB?OqBXmBzrBlqB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8Jez6IvhFXdBKmB?OqBFnB5lB0rB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8Jez6IvhFXdBylB?FnBxqB+qB0rB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeU8IvhFFdBGgB?alBxmB3qBzrB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeR7IvhFShBUgB?/rBFnBTqBOsB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeWAJvhFXdBylB?FnBxqBTqB0rB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeWAJvhF0cBylB?FnBxqBTqBXsB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeC7IvhFXdBmgB?FnBxqBTqB0rB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JefBJvhFxcBalB?WrBFnBzrBUqB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeF9IvhFRgBWnB?3gB8qBaqBzrB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeC7IvhF0cBmgB?FnBxqBTqBXsB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8Je08IvhFzgBFnB?xqBaqBGqBXsB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeT8IvhFUgBVnB?2rB5lBaqBXsB
ISLJTOZ,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLJZTO,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ISLJZOT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLJOTZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLJOZT,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLZTJO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISLZTOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZJTO,X,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ISLZJOT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZOTJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLZOJT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLOTJZ,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ISLOTZJ,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ISLOJTZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLOJZT,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLOZTJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLOZJT,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJTLZO,X,X,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X
ISJTLOZ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJTZLO,X,X,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X
ISJTZOL,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ISJTOLZ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJTOZL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJLTZO,X,X,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X
ISJLTOZ,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ISJLZTO,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ISJLZOT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJLOTZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJLOZT,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJZTLO,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJZTOL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJZLTO,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJZLOT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJZOTL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJZOLT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOTLZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOTZL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJOLTZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOLZT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOZTL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJOZLT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZTLJO,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZTLOJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZTJLO,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZTJOL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZTOLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZTOJL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZLTJO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZLTOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZLJTO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZLJOT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZLOTJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZLOJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJTLO,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
ISZJTOL,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ISZJLTO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZJLOT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJOTL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZJOLT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOTLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOTJL,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZOLTJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOLJT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOJTL,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
ISZOJLT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOTLJZ,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ISOTLZJ,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,O,X
ISOTJLZ,O,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
ISOTJZL,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOTZLJ,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,O,X
ISOTZJL,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ISOLTJZ,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
ISOLTZJ,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
ISOLJTZ,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ISOLJZT,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ISOLZTJ,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ISOLZJT,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ISOJTLZ,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ISOJTZL,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
ISOJLTZ,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ISOJLZT,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ISOJZTL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOJZLT,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ISOZTLJ,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X
ISOZTJL,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
ISOZLTJ,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X
ISOZLJT,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ISOZJTL,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
ISOZJLT,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZTLJSO,O,O,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X
IZTLJOS,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
IZTLSJO,O,O,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
IZTLSOJ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTLOJS,O,O,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X
IZTLOSJ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IZTJLSO,O,O,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X
IZTJLOS,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O
IZTJSLO,O,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
IZTJSOL,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O
IZTJOLS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O
IZTJOSL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O
IZTSLJO,O,O,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
IZTSLOJ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTSJLO,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IZTSJOL,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZTSOLJ,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X
IZTSOJL,O,X,O,X,X,X,X,O,X,X,X,O,X,X,O,X,X
IZTOLJS,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X
IZTOLSJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
IZTOJLS,O,X,X,X,X,X,X,O,X,X,X,O,X,O,O,O,X
IZTOJSL,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X
IZTOSLJ,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X
IZTOSJL,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X
IZLTJSO,O,O,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X
IZLTJOS,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
IZLTSJO,O,O,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
IZLTSOJ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLTOJS,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IZLTOSJ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLJTSO,O,O,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X
IZLJTOS,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZLJSTO,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZLJSOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJOTS,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IZLJOST,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLSTJO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLSTOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSJTO,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZLSJOT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSOTJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSOJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOTJS,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZLOTSJ,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZLOJTS,X,O,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X
IZLOJST,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSTJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSJT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJTLSO,O,X,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X
IZJTLOS,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZJTSLO,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
IZJTSOL,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
IZJTOLS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJTOSL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZJLTSO,O,O,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X
IZJLTOS,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZJLSTO,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IZJLSOT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLOTS,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IZJLOST,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJSTLO,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IZJSTOL,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
IZJSLTO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJSLOT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSOTL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJSOLT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOTLS,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
IZJOTSL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZJOLTS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZJOLST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOSTL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZJOSLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTLJO,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSTLOJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTJLO,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSTJOL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSTOLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTOJL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSLTJO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSLTOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLJTO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSLJOT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJTLO,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IZSJTOL,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
IZSJLTO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSJLOT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOTL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSJOLT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOTLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOTJL,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSOLTJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLJT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJTL,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IZSOJLT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTLJS,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IZOTLSJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IZOTJLS,O,X,O,X,O,X,X,O,X,X,X,X,X,O,X,O,X
IZOTJSL,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOTSLJ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X
IZOTSJL,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOLTJS,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZOLTSJ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZOLJTS,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IZOLJST,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSJT,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOJTLS,O,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X
IZOJTSL,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOJLTS,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IZOJLST,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOJSTL,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
IZOJSLT,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOSTLJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOSTJL,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOSLTJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOSLJT,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJTL,O,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X
IZOSJLT,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTLJSZ,O,O,O,X,O,O,O,X,X,O,X,O,X,X,O,X,X
IOTLJZS,O,X,O,X,O,O,O,O,X,X,O,O,X,X,O,O,X
IOTLSJZ,O,O,O,X,O,O,O,O,X,O,X,O,X,X,O,X,X
IOTLSZJ,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,O,X
IOTLZJS,O,X,O,X,O,X,O,O,X,X,O,O,X,X,O,O,X
IOTLZSJ,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,O,X
IOTJLSZ,O,X,O,X,O,O,X,X,X,O,X,O,X,X,O,X,X
IOTJLZS,O,X,O,X,O,O,X,O,X,X,O,O,X,O,O,O,X
IOTJSLZ,O,X,O,O,X,O,O,O,X,O,X,O,X,X,O,X,X
IOTJSZL,O,X,X,O,X,X,X,O,X,X,X,O,X,O,O,X,X
IOTJZLS,X,X,O,X,O,X,X,O,X,X,X,O,X,O,O,O,X
IOTJZSL,O,X,O,X,X,X,X,O,X,X,X,O,X,O,O,X,X
IOTSLJZ,O,O,O,X,O,O,O,O,X,O,X,O,X,X,O,X,X
IOTSLZJ,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,O,X
IOTSJLZ,O,X,O,O,O,O,O,O,X,O,X,O,X,X,O,X,X
IOTSJZL,O,X,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X
IOTSZLJ,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X,O,X
IOTSZJL,O,X,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X
IOTZLJS,X,X,O,X,O,X,X,O,X,X,O,O,X,X,O,O,X
IOTZLSJ,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,O,X
IOTZJLS,X,X,O,X,O,X,X,O,X,X,X,O,X,X,O,O,X
IOTZJSL,X,X,O,X,X,X,X,O,O,X,X,O,X,X,O,X,X
IOTZSLJ,X,X,O,X,O,X,O,O,O,X,X,O,X,X,X,O,X
IOTZSJL,X,X,O,X,O,X,X,O,O,X,X,O,X,X,O,X,X
IOLTJSZ,O,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
IOLTJZS,O,X,O,X,O,O,O,O,X,X,O,X,X,X,X,O,X
IOLTSJZ,O,O,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X
IOLTSZJ,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X
IOLTZJS,O,O,O,X,O,X,O,O,X,X,O,X,X,X,X,O,X
IOLTZSJ,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X
IOLJTSZ,O,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
IOLJTZS,O,X,O,X,O,O,O,O,X,X,O,X,X,O,X,X,X
IOLJSTZ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJSZT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJZTS,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IOLJZST,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLSTJZ,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IOLSTZJ,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IOLSJTZ,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLSJZT,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLSZTJ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLSZJT,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLZTJS,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IOLZTSJ,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IOLZJTS,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IOLZJST,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLZSTJ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLZSJT,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJTLSZ,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
IOJTLZS,O,X,O,X,O,O,X,O,X,X,O,X,X,O,X,O,X
IOJTSLZ,O,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
IOJTSZL,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IOJTZLS,O,X,O,X,O,X,X,O,X,X,X,X,X,O,X,O,X
IOJTZSL,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
IOJLTSZ,O,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
IOJLTZS,O,X,O,X,O,O,O,O,X,X,O,X,X,O,X,X,X
IOJLSTZ,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLSZT,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLZTS,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IOJLZST,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJSTLZ,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJSTZL,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IOJSLTZ,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJSLZT,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJSZTL,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJSZLT,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJZTLS,O,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X
IOJZTSL,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
IOJZLTS,O,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X
IOJZLST,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJZSTL,O,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X
IOJZSLT,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSTLJZ,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IOSTLZJ,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,O,X
IOSTJLZ,O,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
IOSTJZL,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSTZLJ,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,O,X
IOSTZJL,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOSLTJZ,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IOSLTZJ,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IOSLJTZ,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSLJZT,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSLZTJ,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSLZJT,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSJTLZ,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSJTZL,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IOSJLTZ,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSJLZT,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSJZTL,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSJZLT,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSZTLJ,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOSZTJL,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOSZLTJ,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOSZLJT,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSZJTL,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOSZJLT,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOZTLJS,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X
IOZTLSJ,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X
