sequence,v115@zgA8IeB8HeB8HeD8AeM8LeaAJvhFzbBfiBxdBGjBFm?BUtB,v115@zgA8IeB8HeB8HeD8AeM8LeF7IvhFXcB8hBCeBmlBxs?BTtB,v115@zgA8IeB8HeB8HeD8AeM8LeF7IvhFXcBxdBzhBSoBml?BUtB,v115@zgA8IeB8HeB8HeD8AeM8LeaAJvhFRcBGeBfmB0mBln?BTtB,v115@zgA8IeB8HeB8HeD8AeM8LeU7IvhFFcBxdBzhBmlBft?B6tB,v115@zgA8IeB8HeB8HeD8AeM8LeR7IvhF3cBTgBliBimBct?BGtB,v115@zgA8IeB8HeB8HeD8AeM8LeaAJvhFUcBFdBfmBGoBRs?BTtB,v115@zgA8IeB8HeB8HeD8AeM8LeR7IvhFfiBigBGjB0iBFm?BTtB,v115@zgA8IeB8HeB8HeD8AeM8LeR7IvhF3cB+jBTgBliBim?BUtB,v115@zgA8IeB8HeB8HeD8AeM8LeF7IvhFxcB3gBcmBTnB6t?BOtB,v115@zgA8IeB8HeB8HeD8AeM8LeU7IvhF1hBziBimB5oB3l?BmsB,v115@zgA8IeB8HeB8HeD8AeM8LeR7IvhFzcB+jBigB3iBFm?BUtB,v115@zgA8IeB8HeB8HeD8AeM8LeR7IvhFzcBigB3iBFmBct?BGtB
TSIZLJO,O,O,X,O,X,X,O,X,X,X,X,X,O
TSIZLOJ,O,X,X,O,X,X,O,X,X,O,X,X,O
TSIZJLO,O,O,X,O,X,X,O,X,X,X,X,X,O
TSIZJOL,O,O,X,O,X,X,O,X,X,O,X,X,X
TSIZOLJ,O,X,X,O,X,X,O,X,X,O,X,X,O
TSIZOJL,O,X,X,O,X,X,O,X,X,O,X,X,X
TSIOLJZ,O,X,X,O,X,X,O,X,X,X,X,X,X
TSIOLZJ,O,X,X,O,X,X,O,X,X,X,X,X,X
TSIOJLZ,O,X,X,O,X,X,O,X,X,X,X,X,X
TSIOJZL,X,X,X,O,X,X,O,X,X,X,X,X,X
TSIOZLJ,O,X,X,O,X,X,O,X,X,O,X,X,X
TSIOZJL,O,X,X,O,X,X,O,X,X,O,X,X,X
TSLIJZO,X,X,X,O,X,X,O,X,X,X,X,X,X
TSLIJOZ,O,X,X,O,X,X,O,X,X,X,X,X,X
TSLIZJO,O,X,X,O,X,X,O,X,X,X,X,X,O
TSLIZOJ,O,X,X,O,X,X,O,X,X,X,X,X,O
TSLIOJZ,O,X,O,O,X,X,O,X,X,X,X,X,X
TSLIOZJ,O,X,X,O,X,X,O,X,X,X,X,X,X
TSLJIZO,O,X,X,O,X,X,X,O,X,X,X,X,X
TSLJIOZ,O,X,X,O,X,X,X,O,X,X,X,X,X
TSLJZIO,O,X,X,O,X,X,X,O,X,X,X,X,X
TSLJZOI,O,X,X,O,X,X,X,O,X,X,X,X,X
TSLJOIZ,O,X,X,O,X,X,X,O,X,X,X,X,X
TSLJOZI,O,X,X,O,X,X,X,O,X,X,X,X,X
TSLZIJO,O,X,X,O,X,X,O,X,X,X,X,X,O
TSLZIOJ,O,X,X,O,X,X,O,X,X,O,X,X,O
TSLZJIO,O,X,X,O,X,X,O,X,X,X,X,X,O
TSLZJOI,O,X,X,O,X,X,X,X,X,O,X,X,O
TSLZOIJ,O,X,X,O,X,X,O,X,X,O,X,X,O
TSLZOJI,O,X,X,O,X,X,X,X,X,O,X,X,O
TSLOIJZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TSLOIZJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TSLOJIZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TSLOJZI,O,X,O,O,X,X,X,X,X,X,X,X,X
TSLOZIJ,O,X,X,O,X,X,X,X,X,O,X,X,X
TSLOZJI,O,X,X,O,X,X,X,X,X,O,X,X,X
TSJILZO,O,X,X,O,X,X,X,O,X,X,X,X,X
TSJILOZ,O,X,X,O,X,X,X,O,X,X,X,X,X
TSJIZLO,O,X,X,O,X,X,X,X,X,X,X,X,X
TSJIZOL,O,X,X,O,X,X,X,X,X,X,X,X,X
TSJIOLZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TSJIOZL,O,X,X,X,X,X,X,X,X,X,X,X,X
TSJLIZO,O,X,X,O,X,X,X,O,X,X,X,X,X
TSJLIOZ,O,X,X,O,X,X,X,O,X,X,X,X,X
TSJLZIO,O,X,X,O,X,X,X,O,X,X,X,X,X
TSJLZOI,O,X,X,O,X,X,X,O,X,X,X,X,X
TSJLOIZ,O,X,X,O,X,X,X,O,X,X,X,X,X
TSJLOZI,O,X,X,O,X,X,X,O,X,X,X,X,X
TSJZILO,O,X,X,O,X,X,X,X,X,X,X,X,X
TSJZIOL,O,X,X,O,X,X,X,X,X,O,X,X,X
TSJZLIO,O,X,X,O,X,X,X,O,X,X,X,X,X
TSJZLOI,O,X,X,O,X,X,X,O,X,O,X,X,X
TSJZOIL,O,X,X,O,X,X,X,X,X,O,X,X,X
TSJZOLI,O,X,X,O,X,X,X,X,X,O,X,X,X
TSJOILZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TSJOIZL,O,X,X,X,X,X,X,X,X,X,X,X,X
TSJOLIZ,O,X,X,O,X,X,X,O,X,X,X,X,X
TSJOLZI,O,X,X,O,X,X,X,O,X,X,X,X,X
TSJOZIL,O,X,X,O,X,X,X,X,X,O,X,X,X
TSJOZLI,O,X,X,O,X,X,X,X,X,O,X,X,X
TSZILJO,O,O,X,O,X,X,O,X,X,X,X,X,O
TSZILOJ,O,X,X,O,X,X,O,X,X,O,X,X,O
TSZIJLO,O,O,X,O,X,X,O,X,X,X,X,X,O
TSZIJOL,O,O,X,O,X,X,O,X,X,O,X,X,X
TSZIOLJ,O,X,X,O,X,X,O,X,X,O,X,X,O
TSZIOJL,O,X,X,O,X,X,O,X,X,O,X,X,X
TSZLIJO,O,X,X,O,X,X,O,X,X,X,X,X,O
TSZLIOJ,O,X,X,O,X,X,O,X,X,O,X,X,O
TSZLJIO,O,X,X,O,X,X,O,X,X,X,X,X,O
TSZLJOI,O,X,X,O,X,X,X,X,X,O,X,X,O
TSZLOIJ,O,X,X,O,X,X,O,X,X,O,X,X,O
TSZLOJI,O,X,X,O,X,X,X,X,X,O,X,X,O
TSZJILO,O,O,X,O,X,X,O,X,X,X,X,X,O
TSZJIOL,O,O,X,O,X,X,O,X,X,O,X,X,X
TSZJLIO,O,O,X,O,X,X,O,X,X,X,X,X,O
TSZJLOI,O,X,X,O,X,X,X,X,X,O,X,X,O
TSZJOIL,O,O,X,O,X,X,X,X,X,O,X,X,X
TSZJOLI,O,X,X,O,X,X,X,X,X,O,X,X,O
TSZOILJ,O,X,X,O,X,X,O,X,X,O,X,X,O
TSZOIJL,O,X,X,O,X,X,O,X,X,O,X,X,X
TSZOLIJ,O,X,X,O,X,X,O,X,X,O,X,X,O
TSZOLJI,O,X,X,O,X,X,X,X,X,O,X,X,O
TSZOJIL,O,X,X,O,X,X,X,X,X,O,X,X,X
TSZOJLI,O,X,X,O,X,X,X,X,X,O,X,X,O
TSOILJZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TSOILZJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TSOIJLZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TSOIJZL,X,X,O,O,X,X,X,X,X,X,X,X,X
TSOIZLJ,O,X,X,O,X,X,X,X,X,O,X,X,X
TSOIZJL,O,X,X,O,X,X,X,X,X,O,X,X,X
TSOLIJZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TSOLIZJ,O,X,X,O,X,X,X,X,X,X,X,X,X
TSOLJIZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TSOLJZI,O,X,O,O,X,X,X,X,X,X,X,X,X
TSOLZIJ,O,X,X,O,X,X,X,X,X,O,X,X,X
TSOLZJI,O,X,X,O,X,X,X,X,X,O,X,X,X
TSOJILZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TSOJIZL,X,X,O,O,X,X,X,X,X,X,X,X,X
TSOJLIZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TSOJLZI,O,X,O,O,X,X,X,X,X,X,X,X,X
TSOJZIL,O,X,O,O,X,X,X,X,X,O,X,X,X
TSOJZLI,O,X,O,O,X,X,X,X,X,O,X,X,X
TSOZILJ,O,X,X,O,X,X,X,X,X,O,X,X,X
TSOZIJL,O,X,X,O,X,X,X,X,X,O,X,X,X
TSOZLIJ,O,X,X,O,X,X,X,X,X,O,X,X,X
TSOZLJI,O,X,X,O,X,X,X,X,X,O,X,X,X
TSOZJIL,O,X,X,O,X,X,X,X,X,O,X,X,X
TSOZJLI,O,X,X,O,X,X,X,X,X,O,X,X,X
TZILJSO,O,O,X,O,X,X,X,X,X,X,X,X,O
TZILJOS,O,O,X,X,X,X,X,X,X,X,X,X,X
TZILSJO,O,O,X,X,X,X,X,X,X,X,X,X,O
TZILSOJ,O,X,X,X,X,X,X,X,X,X,X,X,O
TZILOJS,O,O,X,X,X,X,X,X,X,X,X,X,X
TZILOSJ,O,X,X,X,X,X,X,X,X,X,X,X,O
TZIJLSO,O,O,X,O,X,X,X,X,X,X,X,X,O
TZIJLOS,O,O,X,X,X,X,X,X,X,X,X,X,X
TZIJSLO,O,O,X,X,X,X,X,X,X,X,X,X,O
TZIJSOL,O,O,X,X,X,X,X,X,X,X,X,X,X
TZIJOLS,O,O,X,X,X,X,X,X,X,X,X,X,X
TZIJOSL,O,O,X,X,X,X,X,X,X,X,X,X,X
TZISLJO,O,O,X,X,X,X,X,X,X,X,X,X,O
TZISLOJ,O,X,X,X,X,X,X,X,X,O,X,X,O
TZISJLO,O,O,X,X,X,X,X,X,X,X,X,X,O
TZISJOL,O,O,X,X,X,X,X,X,X,O,X,X,X
TZISOLJ,O,X,X,X,X,X,X,X,X,O,X,X,O
TZISOJL,O,X,X,X,X,X,X,X,X,O,X,X,X
TZIOLJS,O,O,X,X,X,X,X,X,X,X,X,X,X
TZIOLSJ,O,X,X,X,X,X,X,X,X,O,X,X,O
TZIOJLS,O,O,X,X,X,X,X,X,X,X,X,X,X
TZIOJSL,O,O,X,X,X,X,X,X,X,X,X,X,X
TZIOSLJ,O,X,X,X,X,X,X,X,X,O,X,X,O
TZIOSJL,O,X,X,X,X,X,X,X,X,O,X,X,X
TZLIJSO,O,O,X,O,X,X,X,X,X,X,X,X,O
TZLIJOS,O,O,X,X,X,X,X,X,X,X,O,X,X
TZLISJO,O,O,X,X,X,X,X,X,X,X,X,X,O
TZLISOJ,O,X,X,X,X,X,X,X,X,X,O,X,O
TZLIOJS,O,O,O,X,X,X,X,X,X,X,O,X,X
TZLIOSJ,O,X,X,X,X,X,X,X,X,X,O,X,O
TZLJISO,O,O,X,O,X,X,X,X,X,X,X,X,O
TZLJIOS,O,O,X,X,X,X,X,X,X,X,O,X,X
TZLJSIO,O,O,X,O,X,X,X,X,X,X,X,X,O
TZLJSOI,O,X,X,O,X,X,X,X,X,X,X,X,O
TZLJOIS,O,X,X,X,X,X,X,X,X,X,O,X,X
TZLJOSI,O,X,X,X,X,X,X,X,X,X,X,X,X
TZLSIJO,O,X,X,O,X,X,X,X,X,X,X,X,O
TZLSIOJ,O,X,X,O,X,X,X,X,X,O,O,X,O
TZLSJIO,O,X,X,O,X,X,X,X,X,X,X,X,O
TZLSJOI,O,X,X,O,X,X,X,X,X,O,X,X,O
TZLSOIJ,O,X,X,O,X,X,X,X,X,O,O,X,O
TZLSOJI,O,X,X,O,X,X,X,X,X,O,X,X,O
TZLOIJS,O,X,O,X,X,X,X,X,X,X,O,X,X
TZLOISJ,O,X,X,X,X,X,X,X,X,O,O,X,O
TZLOJIS,O,X,O,X,X,X,X,X,X,X,O,X,X
TZLOJSI,O,X,O,X,X,X,X,X,X,X,X,X,X
TZLOSIJ,O,X,X,X,X,X,X,X,X,O,O,X,O
TZLOSJI,O,X,X,X,X,X,X,X,X,O,X,X,O
TZJILSO,O,O,X,O,X,X,X,X,X,X,X,X,O
TZJILOS,O,O,X,X,X,X,X,X,X,X,X,X,X
TZJISLO,O,O,X,X,O,X,X,X,X,X,X,X,O
TZJISOL,O,O,X,X,O,X,X,X,X,X,X,X,X
TZJIOLS,O,O,X,X,O,X,X,X,X,X,X,X,X
TZJIOSL,O,O,X,X,O,X,X,X,X,X,X,X,X
TZJLISO,O,O,X,O,X,X,X,X,X,X,X,X,O
TZJLIOS,O,O,X,X,X,X,X,X,X,X,X,X,X
TZJLSIO,O,O,X,O,O,X,X,X,X,X,X,X,O
TZJLSOI,O,X,X,O,O,X,X,X,X,X,X,X,O
TZJLOIS,O,X,X,X,O,X,X,X,X,X,X,X,X
TZJLOSI,O,X,X,X,O,X,X,X,X,X,X,X,X
TZJSILO,O,O,X,O,O,X,X,X,X,X,X,X,O
TZJSIOL,O,O,X,O,O,X,X,X,X,X,X,X,X
TZJSLIO,O,O,X,O,O,X,X,X,X,X,X,X,O
TZJSLOI,O,X,X,O,O,X,X,X,X,X,X,X,O
TZJSOIL,O,O,X,O,O,X,X,X,X,X,X,X,X
TZJSOLI,O,X,X,O,O,X,X,X,X,X,X,X,O
TZJOILS,O,O,X,X,O,X,X,X,X,X,X,X,X
TZJOISL,O,O,X,X,O,X,X,X,X,X,X,X,X
TZJOLIS,O,X,X,X,O,X,X,X,X,X,X,X,X
TZJOLSI,O,X,X,X,O,X,X,X,X,X,X,X,X
TZJOSIL,O,O,X,X,O,X,X,X,X,X,X,X,X
TZJOSLI,O,X,X,X,O,X,X,X,X,X,X,X,X
TZSILJO,O,O,X,O,X,X,X,X,X,X,X,X,O
TZSILOJ,O,X,X,O,X,X,X,X,X,O,X,X,O
TZSIJLO,O,O,X,O,X,X,X,X,X,X,X,X,O
TZSIJOL,O,O,X,O,X,X,X,X,X,O,X,X,X
TZSIOLJ,O,X,X,O,X,X,X,X,X,O,X,X,O
TZSIOJL,O,X,X,O,X,X,X,X,X,O,X,X,X
TZSLIJO,O,X,X,O,X,X,X,X,X,X,X,X,O
TZSLIOJ,O,X,X,O,X,X,X,X,X,O,X,X,O
TZSLJIO,O,X,X,O,X,X,X,X,X,X,X,X,O
TZSLJOI,O,X,X,O,X,X,X,X,X,O,X,X,O
TZSLOIJ,O,X,X,O,X,X,X,X,X,O,X,X,O
TZSLOJI,O,X,X,O,X,X,X,X,X,O,X,X,O
TZSJILO,O,O,X,O,X,X,X,X,X,X,X,X,O
TZSJIOL,O,O,X,O,X,X,X,X,X,O,X,X,X
TZSJLIO,O,O,X,O,X,X,X,X,X,X,X,X,O
TZSJLOI,O,X,X,O,X,X,X,X,X,O,X,X,O
TZSJOIL,O,O,X,O,X,X,X,X,X,O,X,X,X
TZSJOLI,O,X,X,O,X,X,X,X,X,O,X,X,O
TZSOILJ,O,X,X,O,X,X,X,X,X,O,X,X,O
TZSOIJL,O,X,X,O,X,X,X,X,X,O,X,X,X
TZSOLIJ,O,X,X,O,X,X,X,X,X,O,X,X,O
TZSOLJI,O,X,X,O,X,X,X,X,X,O,X,X,O
TZSOJIL,O,X,X,O,X,X,X,X,X,O,X,X,X
TZSOJLI,O,X,X,O,X,X,X,X,X,O,X,X,O
TZOILJS,O,O,X,X,X,X,X,X,X,X,X,X,X
TZOILSJ,O,X,X,X,X,X,X,X,X,O,X,X,O
TZOIJLS,O,O,X,X,O,X,X,X,X,X,X,X,X
TZOIJSL,O,O,O,X,O,X,X,X,X,X,X,X,X
TZOISLJ,O,X,X,X,X,X,X,X,X,O,X,X,O
TZOISJL,O,X,X,X,X,X,X,X,X,O,X,X,X
TZOLIJS,O,X,O,X,X,X,X,X,X,X,O,X,X
TZOLISJ,O,X,X,X,X,X,X,X,X,O,O,X,O
TZOLJIS,O,X,O,X,X,X,X,X,X,X,O,X,X
TZOLJSI,O,X,O,X,X,X,X,X,X,X,X,X,X
TZOLSIJ,O,X,X,X,X,X,X,X,X,O,O,X,O
TZOLSJI,O,X,X,X,X,X,X,X,X,O,X,X,O
TZOJILS,O,O,X,X,O,X,X,X,X,X,X,X,X
TZOJISL,O,O,O,X,O,X,X,X,X,X,X,X,X
TZOJLIS,O,X,O,X,O,X,X,X,X,X,X,X,X
TZOJLSI,O,X,O,X,O,X,X,X,X,X,X,X,X
TZOJSIL,O,O,O,X,O,X,X,X,X,X,X,X,X
TZOJSLI,O,X,O,X,O,X,X,X,X,X,X,X,X
TZOSILJ,O,X,X,X,X,X,X,X,X,O,X,X,O
TZOSIJL,O,X,X,X,X,X,X,X,X,O,X,X,X
TZOSLIJ,O,X,X,X,X,X,X,X,X,O,X,X,O
TZOSLJI,O,X,X,X,X,X,X,X,X,O,X,X,O
TZOSJIL,O,X,X,X,X,X,X,X,X,O,X,X,X
TZOSJLI,O,X,X,X,X,X,X,X,X,O,X,X,O
TOILJSZ,X,X,O,O,X,X,X,X,X,X,X,X,X
TOILJZS,X,X,O,X,X,X,X,X,X,X,X,X,X
TOILSJZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOILSZJ,O,X,X,X,X,O,X,X,X,X,X,X,X
TOILZJS,O,O,O,X,X,O,X,X,X,X,X,X,X
TOILZSJ,O,X,X,X,X,O,X,X,X,X,X,X,O
TOIJLSZ,X,X,O,O,X,X,X,X,O,X,X,X,X
TOIJLZS,X,X,O,X,O,X,X,X,O,X,X,X,X
TOIJSLZ,X,X,O,X,X,X,X,X,X,X,X,X,X
TOIJSZL,X,X,O,X,O,X,X,X,X,X,X,X,X
TOIJZLS,X,X,X,X,O,X,X,X,X,X,X,X,X
TOIJZSL,X,X,O,X,O,X,X,X,X,X,X,X,X
TOISLJZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TOISLZJ,O,X,X,X,X,X,X,X,X,X,X,X,X
TOISJLZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOISJZL,X,X,O,X,X,X,X,X,X,X,X,X,X
TOISZLJ,O,X,X,X,X,X,X,X,X,O,X,X,X
TOISZJL,O,X,X,X,X,X,X,X,X,O,X,X,X
TOIZLJS,O,O,X,X,X,X,X,X,X,X,X,X,X
TOIZLSJ,O,X,X,X,X,X,X,X,X,O,X,X,O
TOIZJLS,O,O,X,X,O,X,X,X,X,X,X,X,X
TOIZJSL,O,O,O,X,O,X,X,X,X,X,X,X,X
TOIZSLJ,O,X,X,X,X,X,X,X,X,O,X,X,O
TOIZSJL,O,X,X,X,X,X,X,X,X,O,X,X,X
TOLIJSZ,X,X,O,O,X,X,X,X,X,X,X,X,X
TOLIJZS,X,X,O,X,X,X,X,X,X,X,O,X,X
TOLISJZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOLISZJ,O,X,X,X,X,O,X,X,X,X,O,X,X
TOLIZJS,O,X,O,X,X,O,X,X,X,X,O,X,X
TOLIZSJ,O,X,X,X,X,O,X,X,X,X,O,X,O
TOLJISZ,X,X,O,O,X,X,X,X,X,X,X,X,X
TOLJIZS,X,X,O,X,X,X,X,X,X,X,O,X,X
TOLJSIZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TOLJSZI,O,X,O,O,X,X,X,X,X,X,X,X,X
TOLJZIS,O,X,O,X,X,X,X,X,X,X,O,X,X
TOLJZSI,O,X,O,X,X,X,X,X,X,X,X,X,X
TOLSIJZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TOLSIZJ,O,X,X,X,X,O,X,X,X,X,O,X,X
TOLSJIZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TOLSJZI,O,X,O,O,X,X,X,X,X,X,X,X,X
TOLSZIJ,O,X,X,O,X,O,X,X,X,O,O,X,X
TOLSZJI,O,X,X,O,X,O,X,X,X,O,X,X,X
TOLZIJS,O,X,O,X,X,O,X,X,X,X,O,X,X
TOLZISJ,O,X,X,X,X,O,X,X,X,X,O,X,O
TOLZJIS,O,X,O,X,X,O,X,X,X,X,O,X,X
TOLZJSI,O,X,O,X,X,O,X,X,X,X,X,X,X
TOLZSIJ,O,X,X,X,X,O,X,X,X,X,O,X,O
TOLZSJI,O,X,X,X,X,O,X,X,X,X,X,X,O
TOJILSZ,X,X,O,O,X,X,X,X,O,X,X,X,X
TOJILZS,X,X,O,X,O,X,X,X,O,X,X,X,X
TOJISLZ,X,X,O,X,O,X,X,X,O,X,X,X,X
TOJISZL,X,X,O,X,O,X,X,X,X,X,X,X,X
TOJIZLS,X,X,X,X,O,X,X,X,X,X,X,X,X
TOJIZSL,X,X,O,X,O,X,X,X,X,X,X,X,X
TOJLISZ,X,X,O,O,X,X,X,X,O,X,X,X,X
TOJLIZS,X,X,O,X,O,X,X,X,O,X,X,X,X
TOJLSIZ,O,X,O,O,O,X,X,X,O,X,X,X,X
TOJLSZI,O,X,O,O,O,X,X,X,O,X,X,X,X
TOJLZIS,O,X,O,X,O,X,X,X,O,X,X,X,X
TOJLZSI,O,X,O,X,O,X,X,X,O,X,X,X,X
TOJSILZ,O,X,O,O,O,X,X,X,O,X,X,X,X
TOJSIZL,X,X,O,X,O,X,X,X,X,X,X,X,X
TOJSLIZ,O,X,O,O,O,X,X,X,O,X,X,X,X
TOJSLZI,O,X,O,O,O,X,X,X,O,X,X,X,X
TOJSZIL,O,X,O,O,O,X,X,X,X,O,X,X,X
TOJSZLI,O,X,O,O,O,X,X,X,O,O,X,X,X
TOJZILS,O,X,X,X,O,X,X,X,X,X,X,X,X
TOJZISL,O,X,O,X,O,X,X,X,X,X,X,X,X
TOJZLIS,O,X,O,X,O,X,X,X,O,X,X,X,X
TOJZLSI,O,X,O,X,O,X,X,X,O,X,X,X,X
TOJZSIL,O,X,O,X,O,X,X,X,X,X,X,X,X
TOJZSLI,O,X,O,X,O,X,X,X,O,X,X,X,X
TOSILJZ,O,X,X,O,X,X,X,X,X,X,X,X,X
TOSILZJ,O,X,X,X,X,X,X,X,X,X,X,X,X
TOSIJLZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TOSIJZL,X,X,O,X,X,X,X,X,X,X,X,X,X
TOSIZLJ,O,X,X,X,X,X,X,X,X,O,X,X,X
TOSIZJL,O,X,X,X,X,X,X,X,X,O,X,X,X
TOSLIJZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TOSLIZJ,O,X,X,X,X,X,X,X,X,X,X,X,X
TOSLJIZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TOSLJZI,O,X,O,O,X,X,X,X,X,X,X,X,X
TOSLZIJ,O,X,X,O,X,X,X,X,X,O,X,X,X
TOSLZJI,O,X,X,O,X,X,X,X,X,O,X,X,X
TOSJILZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TOSJIZL,X,X,O,X,X,X,X,X,X,X,X,X,X
TOSJLIZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TOSJLZI,O,X,O,O,X,X,X,X,X,X,X,X,X
TOSJZIL,O,X,O,O,X,X,X,X,X,O,X,X,X
TOSJZLI,O,X,O,O,X,X,X,X,X,O,X,X,X
TOSZILJ,O,X,X,O,X,X,X,X,X,O,X,X,X
TOSZIJL,O,X,X,O,X,X,X,X,X,O,X,X,X
TOSZLIJ,O,X,X,O,X,X,X,X,X,O,X,X,X
TOSZLJI,O,X,X,O,X,X,X,X,X,O,X,X,X
TOSZJIL,O,X,X,O,X,X,X,X,X,O,X,X,X
TOSZJLI,O,X,X,O,X,X,X,X,X,O,X,X,X
TOZILJS,O,O,X,X,X,X,X,X,X,X,X,X,X
TOZILSJ,O,X,X,X,X,X,X,X,X,O,X,X,O
TOZIJLS,O,O,X,X,O,X,X,X,X,X,X,X,X
TOZIJSL,O,O,O,X,O,X,X,X,X,X,X,X,X
TOZISLJ,O,X,X,X,X,X,X,X,X,O,X,X,O
TOZISJL,O,X,X,X,X,X,X,X,X,O,X,X,X
TOZLIJS,O,X,O,X,X,X,X,X,X,X,O,X,X
TOZLISJ,O,X,X,X,X,X,X,X,X,O,O,X,O
TOZLJIS,O,X,O,X,X,X,X,X,X,X,O,X,X
TOZLJSI,O,X,O,X,X,X,X,X,X,X,X,X,X
TOZLSIJ,O,X,X,X,X,X,X,X,X,O,O,X,O
TOZLSJI,O,X,X,X,X,X,X,X,X,O,X,X,O
TOZJILS,O,O,X,X,O,X,X,X,X,X,X,X,X
TOZJISL,O,O,O,X,O,X,X,X,X,X,X,X,X
TOZJLIS,O,X,O,X,O,X,X,X,X,X,X,X,X
TOZJLSI,O,X,O,X,O,X,X,X,X,X,X,X,X
TOZJSIL,O,O,O,X,O,X,X,X,X,X,X,X,X
TOZJSLI,O,X,O,X,O,X,X,X,X,X,X,X,X
TOZSILJ,O,X,X,X,X,X,X,X,X,O,X,X,O
TOZSIJL,O,X,X,X,X,X,X,X,X,O,X,X,X
TOZSLIJ,O,X,X,X,X,X,X,X,X,O,X,X,O
TOZSLJI,O,X,X,X,X,X,X,X,X,O,X,X,O
TOZSJIL,O,X,X,X,X,X,X,X,X,O,X,X,X
TOZSJLI,O,X,X,X,X,X,X,X,X,O,X,X,O
ITLJSZO,X,O,X,O,X,X,O,O,X,X,X,X,X
ITLJSOZ,X,X,X,O,X,X,O,O,X,X,X,X,X
ITLJZSO,X,O,X,O,X,X,O,O,X,X,X,X,O
ITLJZOS,X,O,X,X,X,X,X,X,X,X,X,X,X
ITLJOSZ,X,X,O,O,X,X,O,O,X,X,X,X,X
ITLJOZS,X,O,O,X,X,X,X,X,X,X,X,X,X
ITLSJZO,X,X,X,O,X,X,O,X,X,X,X,X,X
ITLSJOZ,O,X,X,O,X,X,O,X,X,X,X,X,X
ITLSZJO,O,O,X,O,X,X,O,X,X,X,X,X,O
ITLSZOJ,O,X,X,O,X,X,O,X,X,X,X,X,O
ITLSOJZ,O,X,O,O,X,X,O,X,X,X,X,X,X
ITLSOZJ,O,X,X,X,X,X,O,X,X,X,X,X,X
ITLZJSO,O,O,X,O,X,X,O,X,X,X,X,X,O
ITLZJOS,O,O,X,X,X,X,X,X,X,X,X,X,X
ITLZSJO,O,O,X,X,X,X,O,X,X,X,X,X,O
ITLZSOJ,O,X,X,X,X,X,O,X,X,X,X,X,O
ITLZOJS,O,O,O,X,X,X,X,X,X,X,X,X,X
ITLZOSJ,O,X,X,X,X,X,X,X,X,X,X,X,O
ITLOJSZ,X,X,O,O,X,X,O,X,X,X,X,X,X
ITLOJZS,X,X,O,X,X,X,X,X,X,X,X,X,X
ITLOSJZ,O,X,O,X,X,X,O,X,X,X,X,X,X
ITLOSZJ,O,X,X,X,X,X,O,X,X,X,X,X,X
ITLOZJS,O,O,O,X,X,X,X,X,X,X,X,X,X
ITLOZSJ,O,X,X,X,X,X,X,X,X,X,X,X,O
ITJLSZO,X,O,X,O,X,X,O,O,X,X,X,O,X
ITJLSOZ,X,X,X,O,X,X,O,O,X,X,X,O,X
ITJLZSO,X,O,X,O,X,X,O,O,X,X,X,O,O
ITJLZOS,X,O,X,X,X,X,X,X,X,X,X,O,X
ITJLOSZ,X,X,X,O,X,X,O,O,X,X,X,O,X
ITJLOZS,X,O,X,X,X,X,X,X,X,X,X,O,X
ITJSLZO,X,O,X,O,X,X,O,O,X,X,X,O,X
ITJSLOZ,X,X,X,O,X,X,O,O,X,X,X,O,X
ITJSZLO,X,O,X,O,X,X,O,X,X,X,X,O,X
ITJSZOL,X,O,X,O,X,X,O,X,X,X,X,X,X
ITJSOLZ,X,X,X,O,X,X,O,X,X,X,X,O,X
ITJSOZL,X,X,X,X,X,X,O,X,X,X,X,X,X
ITJZLSO,X,O,X,O,X,X,O,O,X,X,X,O,O
ITJZLOS,X,O,X,X,X,X,X,X,X,X,X,O,X
ITJZSLO,X,O,X,X,X,X,O,X,X,X,X,O,O
ITJZSOL,X,O,X,X,X,X,O,X,X,X,X,X,X
ITJZOLS,X,O,X,X,X,X,X,X,X,X,X,X,X
ITJZOSL,X,O,X,X,X,X,X,X,X,X,X,X,X
ITJOLSZ,X,X,X,O,X,X,O,O,O,X,X,O,X
