sequence,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFOgB/hBUdBtlByr?BxvB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhF2gBNiBxlBqmB3q?BUrB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhF2gBNiBxlBqmBUr?B3qB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFKgBWhBNiB0mBXm?BxvB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFxbBNiB/lB0mByv?BGrB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhF0bB6hBNiB/lB2r?BxvB,v115@6gC8HeD8EeF8DeE8DeD8Je2/IvhFTcBNiBxlBqlB3r?BUqB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFNgBRcBXiB+qBKr?B0rB,v115@6gC8HeD8EeF8DeE8DeD8Jei6IvhFGcBNiBxlBzlB3r?BUqB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFNgBRcB0hB+qBKr?BXsB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFNgBRcB6mBOnBUr?B3qB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFNiB/lBUhBqmBml?BxvB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFOgBNiBChB0mBXm?BxvB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFZhBUdB9lBfnBSw?BOqB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFNgBUcBOnBCmB3m?BxvB,v115@6gC8HeD8EeF8DeE8DeD8Jex6IvhFNiBmfBChB0mB3q?BTrB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFKgBWhBNiBXmB0m?BxvB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFRcBOnB0lB6rBNq?BXrB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFNgBahBUdBfnBWr?BxvB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFRcB/mBOnB0lBNq?BSwB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFOgBNiBChBXmB0m?BxvB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFahBXiBRrB0qBNq?BurB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFNiBfrB0mBZlBGr?BCrB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFNiBxgB/lB0mByv?BGrB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFxbBNiBfrB0mBKq?BGrB
ILJOZTS,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ILJOZST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILSTJZO,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X
ILSTJOZ,O,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X
ILSTZJO,O,X,X,O,X,O,X,X,O,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X
ILSTZOJ,O,X,X,O,X,O,X,X,O,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X
ILSTOJZ,O,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X
ILSTOZJ,O,X,X,O,X,O,X,X,O,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X
ILSJTZO,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
ILSJTOZ,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
ILSJZTO,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ILSJZOT,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ILSJOTZ,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
ILSJOZT,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ILSZTJO,O,X,X,O,O,O,X,X,O,X,X,O,X,O,X,X,O,X,O,X,X,O,X,X,X
ILSZTOJ,O,X,X,O,O,O,X,X,O,X,X,O,X,O,X,X,O,X,O,X,X,O,X,X,X
ILSZJTO,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
ILSZJOT,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
ILSZOTJ,O,X,X,O,O,O,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,O,X,X,X
ILSZOJT,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
ILSOTJZ,O,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X
ILSOTZJ,O,X,X,O,X,O,X,X,O,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X
ILSOJTZ,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
ILSOJZT,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ILSOZTJ,O,X,X,O,O,O,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X
ILSOZJT,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ILZTJSO,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ILZTJOS,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
ILZTSJO,O,X,X,O,O,X,X,X,O,X,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X
ILZTSOJ,O,X,X,O,O,X,X,X,O,X,X,X,O,O,X,X,O,X,O,X,X,O,X,O,X
ILZTOJS,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
ILZTOSJ,O,X,X,O,O,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X,X,X,O,X
ILZJTSO,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ILZJTOS,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ILZJSTO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ILZJSOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ILZJOTS,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ILZJOST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILZSTJO,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X
ILZSTOJ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X
ILZSJTO,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
ILZSJOT,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
ILZSOTJ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X
ILZSOJT,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
ILZOTJS,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
ILZOTSJ,O,X,X,O,O,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X,X,X,O,X
ILZOJTS,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ILZOJST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILZOSTJ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X
ILZOSJT,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
ILOTJSZ,O,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X
ILOTJZS,O,O,O,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X
ILOTSJZ,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X
ILOTSZJ,O,O,O,O,X,O,X,X,O,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X
ILOTZJS,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
ILOTZSJ,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
ILOJTSZ,O,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X
ILOJTZS,O,O,O,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X
ILOJSTZ,O,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X
ILOJSZT,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ILOJZTS,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ILOJZST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILOSTJZ,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X
ILOSTZJ,O,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X
ILOSJTZ,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
ILOSJZT,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ILOSZTJ,O,X,X,O,O,O,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X
ILOSZJT,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ILOZTJS,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
ILOZTSJ,O,X,X,O,O,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X,X,X,O,X
ILOZJTS,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ILOZJST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILOZSTJ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
ILOZSJT,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IJTLSZO,O,O,X,X,X,O,O,O,O,X,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X
IJTLSOZ,O,O,O,O,X,O,O,O,O,O,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X
IJTLZSO,O,X,O,O,X,O,X,X,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X
IJTLZOS,O,O,O,O,X,O,X,O,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X
IJTLOSZ,O,O,O,O,X,O,X,O,X,O,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
IJTLOZS,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X
IJTSLZO,O,O,X,X,X,O,O,X,O,X,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X
IJTSLOZ,O,O,O,X,X,O,O,X,O,X,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X
IJTSZLO,O,O,X,X,X,O,O,X,O,X,X,O,O,X,X,O,O,X,O,X,O,X,X,X,X
IJTSZOL,O,O,X,X,X,O,O,X,X,X,X,O,O,X,O,O,X,X,O,X,O,X,X,X,X
IJTSOLZ,O,O,O,X,X,O,O,O,O,O,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X
IJTSOZL,O,O,X,X,X,O,O,X,O,X,O,O,O,X,O,X,X,X,O,X,O,X,X,X,X
IJTZLSO,O,X,O,O,X,O,X,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X
IJTZLOS,O,O,O,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IJTZSLO,O,X,O,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X
IJTZSOL,O,X,O,X,X,O,O,X,X,X,O,X,O,X,O,O,X,X,O,X,O,X,X,X,X
IJTZOLS,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IJTZOSL,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,O,X,X,O,X,O,X,X,X,X
IJTOLSZ,O,O,O,O,X,O,X,O,X,O,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
IJTOLZS,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X
IJTOSLZ,O,O,O,X,X,O,O,O,X,O,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X
IJTOSZL,O,O,X,X,X,O,O,X,X,X,O,O,O,X,O,X,X,X,O,X,O,X,X,X,X
IJTOZLS,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IJTOZSL,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,O,X,X,O,X,O,X,X,X,X
IJLTSZO,O,X,X,X,X,O,O,O,O,X,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X
IJLTSOZ,O,O,O,O,X,O,O,O,O,O,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X
IJLTZSO,O,X,X,O,X,O,X,X,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X
IJLTZOS,O,O,O,O,X,O,X,O,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X
IJLTOSZ,O,O,O,O,X,O,X,O,X,O,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
IJLTOZS,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X
IJLSTZO,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X
IJLSTOZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X
IJLSZTO,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
IJLSZOT,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IJLSOTZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
IJLSOZT,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IJLZTSO,O,X,X,O,X,X,X,X,X,O,O,X,O,X,O,O,X,O,O,X,X,X,X,X,X
IJLZTOS,O,X,X,O,X,X,X,X,X,O,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X
IJLZSTO,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
IJLZSOT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IJLZOTS,O,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
IJLZOST,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJLOTSZ,O,O,O,O,X,O,X,O,X,O,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
IJLOTZS,O,O,O,O,X,O,X,O,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X
IJLOSTZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
IJLOSZT,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IJLOZTS,O,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
IJLOZST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJSTLZO,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X
IJSTLOZ,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X
IJSTZLO,O,X,X,X,X,O,O,X,X,X,X,O,O,X,X,O,O,X,O,X,O,X,X,X,X
IJSTZOL,O,X,X,X,X,O,O,X,X,X,X,O,O,X,O,O,X,X,O,X,O,X,X,X,X
IJSTOLZ,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X
IJSTOZL,O,X,X,X,X,O,O,X,X,X,O,O,O,X,O,X,X,X,O,X,O,X,X,X,X
IJSLTZO,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X
IJSLTOZ,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X
IJSLZTO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
IJSLZOT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IJSLOTZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
IJSLOZT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IJSZTLO,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,O,X,X,O,X,O,X,X,X,X
IJSZTOL,X,X,X,X,X,O,O,X,X,X,O,O,O,X,X,O,X,X,O,X,O,X,X,X,X
IJSZLTO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X
IJSZLOT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IJSZOTL,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,O,X,O,X,X,X,X
IJSZOLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IJSOTLZ,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X
IJSOTZL,O,X,X,X,X,O,O,X,X,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X
IJSOLTZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
IJSOLZT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IJSOZTL,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,O,X,O,X,X,X,X
IJSOZLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IJZTLSO,O,X,X,O,X,O,X,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X
IJZTLOS,O,O,O,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IJZTSLO,O,X,X,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X
IJZTSOL,O,X,X,X,X,O,O,X,X,X,O,X,O,X,O,O,X,X,O,X,O,X,X,X,X
IJZTOLS,O,O,O,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IJZTOSL,O,X,X,X,X,O,X,X,X,X,O,X,O,X,O,O,X,X,O,X,O,X,X,X,X
IJZLTSO,O,X,X,O,X,X,X,X,X,X,O,X,O,X,O,O,X,O,O,X,X,X,X,X,X
IJZLTOS,O,X,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X
IJZLSTO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,O,O,X,X,O,X,X,X
IJZLSOT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X
IJZLOTS,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
IJZLOST,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZSTLO,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
IJZSTOL,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X,O,O,O,X,X,X,X
IJZSLTO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,O,O,X,O,X,X,X
IJZSLOT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X
IJZSOTL,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
IJZSOLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IJZOTLS,O,O,O,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IJZOTSL,O,X,X,X,X,O,X,X,X,X,O,X,O,X,O,O,X,X,O,X,O,X,X,X,X
IJZOLTS,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
IJZOLST,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJZOSTL,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
IJZOSLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IJOTLSZ,O,O,O,O,X,O,X,O,X,O,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
IJOTLZS,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X
IJOTSLZ,O,O,O,X,X,O,O,O,X,O,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X
IJOTSZL,O,O,X,X,X,O,O,X,X,X,O,O,O,X,O,X,X,X,O,X,O,X,X,X,X
IJOTZLS,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IJOTZSL,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,O,X,X,O,X,O,X,X,X,X
IJOLTSZ,O,O,O,O,X,O,X,O,X,O,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
IJOLTZS,O,O,O,O,X,O,X,O,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X
IJOLSTZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
IJOLSZT,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IJOLZTS,O,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
IJOLZST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOSTLZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X
IJOSTZL,O,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X
IJOSLTZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
IJOSLZT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IJOSZTL,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,O,X,O,X,X,X,X
IJOSZLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IJOZTLS,O,O,O,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IJOZTSL,O,X,X,X,X,O,X,X,X,X,O,X,O,X,O,O,X,X,O,X,O,X,X,X,X
IJOZLTS,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
IJOZLST,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IJOZSTL,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
IJOZSLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ISTLJZO,O,O,X,X,X,O,O,O,O,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X
ISTLJOZ,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X
ISTLZJO,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X
ISTLZOJ,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X
ISTLOJZ,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
ISTLOZJ,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X
ISTJLZO,O,O,X,X,X,O,O,X,O,X,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X
ISTJLOZ,O,O,O,X,X,O,O,X,O,X,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X
ISTJZLO,O,O,X,X,X,O,O,X,O,X,X,O,O,X,X,O,O,X,O,X,O,X,X,X,X
ISTJZOL,O,O,X,X,X,O,O,X,X,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X
ISTJOLZ,O,O,O,X,X,O,O,X,O,X,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X
ISTJOZL,O,O,X,X,O,O,O,X,O,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X
ISTZLJO,O,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X,O,X,O,X,O,O,X,X,X
ISTZLOJ,O,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X,O,X,O,X,O,O,X,X,X
ISTZJLO,O,O,O,O,X,O,O,X,O,X,X,O,O,X,X,X,O,X,O,X,O,X,X,X,X
ISTZJOL,O,O,O,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
ISTZOLJ,O,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X,O,X,O,X,O,X,X,X,X
ISTZOJL,O,O,O,X,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
ISTOLJZ,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
ISTOLZJ,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X
ISTOJLZ,O,O,O,X,X,O,O,X,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
ISTOJZL,O,O,X,X,O,O,O,X,O,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X
ISTOZLJ,O,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X,O,X,O,X,O,X,X,X,X
ISTOZJL,O,O,O,X,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
