sequence,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jei6IvhFRcBukB3gBF?iB0mBTqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jem6IvhFRcB6kB3gBF?iB0mBTqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhFOgBicB5lBF?iBfqB0rB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Je2/IvhFRbBUdBfqBl?lBzmBCrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhF2gBRcBFiBf?qB6qB0rB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Je2/IvhFRbBUdBFhBf?qB6qBzrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Je//IvhFygBFiBxlBG?lBzmBUqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jei6IvhF5gBzfB/mBF?iBmmBUqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Je//IvhFRcBigBFiB+?qB0rBzpB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhFegBRcBFiBS?qB0mB3qB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhFKgBRcBFiBf?qB0mBuqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Je2/IvhFRbBUhBFiBf?qB6qBzrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jex/IvhF/mBFiB0fBS?qBmmBTqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeKBJvhFxfBFiB0fB+?qBXqBzrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeKBJvhFxfBFiBXgB+?qB0pBzrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jex6IvhFKhB0fBFiB+?qBXqBzrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhF6lBxhBXgBm?mBlmBUqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhFKgBRcBFiBW?qB0mB3qB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jex6IvhFKhBXgBFiB+?qB0pBzrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhFXgBxhBanBG?mBllBUqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jex6IvhFlcB0fB/mBO?nBSqBTqB
ZLSIJOT,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZLSIOTJ,O,X,O,X,O,X,O,O,X,X,O,O,X,X,X,X,O,X,X,O,O
ZLSIOJT,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
ZLSJTIO,O,O,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O
ZLSJTOI,O,O,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O
ZLSJITO,O,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
ZLSJIOT,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
ZLSJOTI,O,O,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O
ZLSJOIT,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
ZLSOTIJ,O,O,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O
ZLSOTJI,X,O,O,X,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
ZLSOITJ,O,O,O,X,O,X,X,O,X,X,O,O,X,X,X,X,O,X,X,O,O
ZLSOIJT,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
ZLSOJTI,X,O,O,X,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZLSOJIT,X,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ZLOTIJS,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZLOTISJ,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLOTJIS,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLOTJSI,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLOTSIJ,O,O,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZLOTSJI,O,O,O,X,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
ZLOITJS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZLOITSJ,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLOIJTS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZLOIJST,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
ZLOISTJ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
ZLOISJT,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ZLOJTIS,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLOJTSI,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLOJITS,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZLOJIST,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
ZLOJSTI,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
ZLOJSIT,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ZLOSTIJ,O,O,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O
ZLOSTJI,O,O,O,X,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
ZLOSITJ,O,O,O,X,O,X,X,O,X,X,O,O,X,X,X,X,O,X,X,O,O
ZLOSIJT,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
ZLOSJTI,O,O,O,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZLOSJIT,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ZJTILSO,O,O,O,X,X,O,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X
ZJTILOS,O,O,X,X,O,O,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X
ZJTISLO,O,O,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O
ZJTISOL,O,O,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O
ZJTIOLS,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ZJTIOSL,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJTLISO,O,O,O,X,X,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,O
ZJTLIOS,O,O,X,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
ZJTLSIO,O,O,O,X,X,O,X,X,O,O,X,O,X,X,X,O,X,X,O,X,O
ZJTLSOI,O,O,O,X,X,O,X,X,O,O,X,O,X,X,X,O,X,X,O,X,O
ZJTLOIS,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJTLOSI,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
ZJTSILO,O,O,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O
ZJTSIOL,O,O,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O
ZJTSLIO,O,O,O,X,O,O,X,X,O,X,O,O,X,X,X,O,X,X,O,X,O
ZJTSLOI,O,O,O,X,O,O,X,X,O,X,O,O,X,X,X,O,X,X,O,X,O
ZJTSOIL,O,O,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O
ZJTSOLI,O,X,O,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O
ZJTOILS,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ZJTOISL,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJTOLIS,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJTOLSI,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
ZJTOSIL,O,O,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJTOSLI,O,O,O,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
ZJITLSO,O,X,O,X,X,O,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X
ZJITLOS,O,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X
ZJITSLO,O,X,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O
ZJITSOL,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O
ZJITOLS,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ZJITOSL,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJILTSO,O,X,X,X,X,O,O,X,O,X,X,X,X,O,O,O,X,X,X,X,O
ZJILTOS,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X
ZJILSTO,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ZJILSOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O
ZJILOTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJILOST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZJISTLO,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ZJISTOL,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZJISLTO,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ZJISLOT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O
ZJISOTL,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
ZJISOLT,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ZJIOTLS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJIOTSL,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJIOLTS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJIOLST,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJIOSTL,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
ZJIOSLT,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ZJLTISO,O,O,X,X,X,O,X,X,O,O,X,X,X,O,O,O,X,O,X,X,O
ZJLTIOS,O,O,X,X,O,O,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X
ZJLTSIO,O,O,X,X,X,O,X,X,O,O,X,O,X,X,X,O,X,O,O,X,O
ZJLTSOI,O,O,X,X,X,O,X,X,O,O,X,O,X,X,X,O,X,O,O,X,O
ZJLTOIS,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
ZJLTOSI,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X
ZJLITSO,O,O,X,X,X,O,X,X,O,O,X,X,X,O,O,O,X,O,X,X,O
ZJLITOS,O,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X,O,O,X,X,X
ZJLISTO,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ZJLISOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O
ZJLIOTS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
ZJLIOST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ZJLSTIO,O,O,X,X,X,O,X,X,O,O,X,O,X,X,X,O,X,O,O,X,O
ZJLSTOI,O,O,O,X,X,O,X,X,O,O,X,O,X,X,X,O,X,O,O,X,O
ZJLSITO,O,O,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
ZJLSIOT,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
ZJLSOTI,O,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,O
ZJLSOIT,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
ZJLOTIS,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
ZJLOTSI,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X
ZJLOITS,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
ZJLOIST,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
ZJLOSTI,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O
ZJLOSIT,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ZJSTILO,O,O,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O
ZJSTIOL,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,O
ZJSTLIO,O,O,O,X,O,O,X,X,O,X,O,O,X,X,X,O,X,X,O,X,O
ZJSTLOI,O,O,O,X,O,O,X,X,O,X,O,O,X,X,X,O,X,X,O,X,O
ZJSTOIL,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,O
ZJSTOLI,O,X,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O
ZJSITLO,O,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O
ZJSITOL,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZJSILTO,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ZJSILOT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O
ZJSIOTL,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
ZJSIOLT,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ZJSLTIO,O,O,O,X,O,O,X,X,O,X,O,O,X,X,X,O,X,X,O,X,O
ZJSLTOI,O,O,O,X,O,O,X,X,O,X,O,O,X,X,X,O,X,X,O,X,O
ZJSLITO,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ZJSLIOT,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ZJSLOTI,O,O,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O
ZJSLOIT,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ZJSOTIL,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,O
ZJSOTLI,O,X,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O
ZJSOITL,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
ZJSOILT,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ZJSOLTI,O,X,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O
ZJSOLIT,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
ZJOTILS,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ZJOTISL,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJOTLIS,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJOTLSI,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
ZJOTSIL,O,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJOTSLI,O,O,O,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
ZJOITLS,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJOITSL,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOILTS,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJOILST,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJOISTL,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
ZJOISLT,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ZJOLTIS,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
ZJOLTSI,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X
ZJOLITS,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
ZJOLIST,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
ZJOLSTI,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O
ZJOLSIT,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ZJOSTIL,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,O
ZJOSTLI,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O
ZJOSITL,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
ZJOSILT,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ZJOSLTI,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O
ZJOSLIT,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
ZSTILJO,O,O,O,X,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O
ZSTILOJ,O,O,O,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,O
ZSTIJLO,O,O,O,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O
ZSTIJOL,O,O,O,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O
ZSTIOLJ,O,O,O,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,O,O
ZSTIOJL,O,O,O,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,O
ZSTLIJO,O,O,O,X,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,O
ZSTLIOJ,O,O,O,X,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X,O
ZSTLJIO,O,O,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O
ZSTLJOI,O,O,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZSTLOIJ,O,O,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O
ZSTLOJI,X,O,O,X,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
ZSTJILO,O,O,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O
ZSTJIOL,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,O
ZSTJLIO,O,O,O,X,O,O,X,X,O,X,O,O,X,X,X,O,X,X,X,X,O
ZSTJLOI,O,O,O,X,O,O,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X
ZSTJOIL,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X
ZSTJOLI,O,X,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
ZSTOILJ,O,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O
ZSTOIJL,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,O
ZSTOLIJ,O,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ZSTOLJI,O,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSTOJIL,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X
ZSTOJLI,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
ZSITLJO,O,O,O,X,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,O
ZSITLOJ,O,O,O,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,O
ZSITJLO,O,O,O,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O
ZSITJOL,O,O,O,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O
ZSITOLJ,O,O,O,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,O,O
ZSITOJL,O,O,O,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,O
ZSILTJO,O,O,O,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O
ZSILTOJ,O,O,O,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ZSILJTO,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZSILJOT,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSILOTJ,O,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,O,O
ZSILOJT,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ZSIJTLO,O,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O
ZSIJTOL,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZSIJLTO,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ZSIJLOT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
ZSIJOTL,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
ZSIJOLT,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ZSIOTLJ,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O
ZSIOTJL,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O
ZSIOLTJ,O,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,O,X
ZSIOLJT,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ZSIOJTL,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ZSIOJLT,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ZSLTIJO,O,O,O,X,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,O
ZSLTIOJ,O,O,O,X,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X,O
ZSLTJIO,O,O,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O
ZSLTJOI,O,O,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZSLTOIJ,O,O,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O
ZSLTOJI,X,O,O,X,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
ZSLITJO,O,O,O,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O
ZSLITOJ,O,O,O,X,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X,O
ZSLIJTO,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZSLIJOT,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZSLIOTJ,O,X,O,X,O,X,O,O,X,X,O,O,X,X,X,X,O,X,X,O,O
ZSLIOJT,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
ZSLJTIO,O,O,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O
ZSLJTOI,O,O,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O
ZSLJITO,O,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
ZSLJIOT,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
ZSLJOTI,O,O,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O
ZSLJOIT,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
ZSLOTIJ,O,O,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O
ZSLOTJI,X,O,O,X,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
ZSLOITJ,O,O,O,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,O,O
ZSLOIJT,O,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
ZSLOJTI,X,O,O,X,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZSLOJIT,X,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ZSJTILO,O,O,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O
ZSJTIOL,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,O
ZSJTLIO,O,O,O,X,O,O,X,X,O,X,O,O,X,X,X,O,X,X,X,X,O
ZSJTLOI,O,O,O,X,O,O,X,X,O,X,O,O,X,X,X,O,X,X,X,X,O
ZSJTOIL,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,O
ZSJTOLI,O,X,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O
ZSJITLO,O,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O
ZSJITOL,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZSJILTO,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ZSJILOT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O
ZSJIOTL,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
ZSJIOLT,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ZSJLTIO,O,O,O,X,O,O,X,X,O,X,O,O,X,X,X,O,X,X,X,X,O
ZSJLTOI,O,O,O,X,O,O,X,X,O,X,O,O,X,X,X,O,X,X,X,X,O
ZSJLITO,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ZSJLIOT,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ZSJLOTI,O,O,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O
ZSJLOIT,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ZSJOTIL,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,O
ZSJOTLI,O,X,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O
ZSJOITL,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
ZSJOILT,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
