sequence,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jem6IvhFzb?BfjB6jBUlBFmBRvB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jem6IvhFzb?BSjBUjBFlBXmBRvB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jex6IvhFKh?BGeBUjBFlBzqBXqB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jex6IvhFCe?BTjBUlBFmBerBXqB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jem6IvhFfj?B6jBUhBFlBzlBRvB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jex6IvhFCe?BVlBTjBOrBXqB8qB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jez9IvhF+j?BlgB0fBXmBilBRvB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jez7IvhFSj?BVlBUjBXmBmkBRvB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Je37IvhFCe?BVmBTjB0fB2qBRvB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8JeZAJvhFzb?BGeBUjB3qB6pBFrB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Je37IvhFGe?BVmBUjBZlBzqB6pB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jez9IvhF+j?BZlBUhBfrB6pBlqB
TSLIOZJ,O,O,X,X,X,X,X,O,X,X,X,X
TSLJIZO,O,O,X,X,O,X,X,X,X,X,X,X
TSLJIOZ,O,O,X,X,O,X,X,X,X,X,X,X
TSLJZIO,O,X,X,X,O,X,X,X,X,X,X,X
TSLJZOI,O,O,X,X,O,X,X,X,X,X,X,X
TSLJOIZ,O,O,X,X,O,X,X,X,X,X,X,X
TSLJOZI,O,O,X,X,O,X,O,O,X,X,X,X
TSLZIJO,O,X,X,X,O,X,X,X,X,X,X,X
TSLZIOJ,O,X,X,X,X,X,X,X,X,X,X,X
TSLZJIO,O,X,X,X,O,X,X,X,X,X,X,X
TSLZJOI,O,O,X,X,O,X,X,X,X,X,X,X
TSLZOIJ,O,X,X,X,X,X,X,O,X,X,X,X
TSLZOJI,O,O,X,X,X,X,X,O,X,X,X,X
TSLOIJZ,O,O,X,X,O,X,X,X,X,X,X,X
TSLOIZJ,X,X,X,X,X,X,X,O,X,X,X,X
TSLOJIZ,O,O,X,X,O,X,X,X,X,X,X,X
TSLOJZI,O,O,X,X,O,X,X,O,X,X,X,X
TSLOZIJ,X,X,X,X,X,X,X,O,X,X,X,X
TSLOZJI,O,O,X,X,X,X,X,O,X,X,X,X
TSJILZO,O,O,X,X,O,X,X,X,X,X,X,X
TSJILOZ,O,O,X,X,O,X,X,X,X,X,X,X
TSJIZLO,O,O,X,X,O,X,X,X,X,X,X,X
TSJIZOL,O,O,X,X,O,X,X,X,X,X,X,X
TSJIOLZ,O,O,X,X,O,X,X,X,X,X,X,X
TSJIOZL,O,O,X,X,O,X,O,X,X,X,X,X
TSJLIZO,O,O,X,X,O,X,X,X,X,X,X,X
TSJLIOZ,O,O,X,X,O,X,X,X,X,X,X,X
TSJLZIO,O,X,X,X,O,X,X,X,X,X,X,X
TSJLZOI,O,O,X,X,O,X,X,X,X,X,X,X
TSJLOIZ,O,O,X,X,O,X,X,X,X,X,X,X
TSJLOZI,O,O,X,X,O,X,O,O,X,X,X,X
TSJZILO,O,X,X,X,O,X,X,X,X,X,X,X
TSJZIOL,O,X,X,X,O,X,X,X,X,X,X,X
TSJZLIO,O,X,X,X,O,X,X,X,X,X,X,X
TSJZLOI,O,O,X,X,O,X,X,X,X,X,X,X
TSJZOIL,O,X,X,X,X,X,O,X,X,X,X,X
TSJZOLI,O,O,X,X,O,X,O,X,X,X,X,X
TSJOILZ,O,O,X,X,O,X,X,X,X,X,X,X
TSJOIZL,X,X,X,X,O,X,O,X,X,X,X,X
TSJOLIZ,O,O,X,X,O,X,X,X,X,X,X,X
TSJOLZI,O,O,X,X,O,X,O,O,X,X,X,X
TSJOZIL,X,X,X,X,X,X,O,X,X,X,X,X
TSJOZLI,O,O,X,X,O,X,O,X,X,X,X,X
TSZILJO,O,X,X,X,O,X,X,X,X,O,X,X
TSZILOJ,O,X,X,X,X,X,X,X,X,O,X,X
TSZIJLO,O,X,X,X,O,X,X,X,X,O,X,X
TSZIJOL,O,X,X,X,O,X,X,X,X,O,X,X
TSZIOLJ,O,X,X,O,X,X,X,X,X,O,X,X
TSZIOJL,O,X,X,O,X,X,X,X,X,O,X,X
TSZLIJO,O,X,X,X,O,X,X,X,X,X,X,X
TSZLIOJ,O,X,X,X,X,X,X,X,X,X,X,X
TSZLJIO,O,X,X,X,O,X,X,X,X,X,X,X
TSZLJOI,O,O,X,X,O,X,X,X,X,X,X,X
TSZLOIJ,O,X,X,X,X,X,X,O,X,X,X,X
TSZLOJI,O,O,X,X,X,X,X,O,X,X,X,X
TSZJILO,O,X,X,X,O,X,X,X,X,O,X,X
TSZJIOL,O,X,X,X,O,X,X,X,X,O,X,X
TSZJLIO,O,X,X,X,O,X,X,X,X,X,X,X
TSZJLOI,O,O,X,X,O,X,X,X,X,X,X,X
TSZJOIL,O,X,X,X,X,X,O,X,X,X,X,X
TSZJOLI,O,O,X,X,O,X,O,X,X,X,X,X
TSZOILJ,O,X,X,O,X,X,X,X,X,X,X,X
TSZOIJL,O,X,X,O,X,X,X,X,X,X,X,X
TSZOLIJ,O,X,X,O,X,X,X,O,X,X,X,X
TSZOLJI,O,O,X,O,X,X,X,O,X,X,X,X
TSZOJIL,O,X,X,O,X,X,X,X,X,X,X,X
TSZOJLI,O,O,X,O,X,X,X,X,X,X,X,X
TSOILJZ,O,O,X,X,O,X,X,X,X,X,X,X
TSOILZJ,X,X,X,X,X,X,X,O,X,X,X,X
TSOIJLZ,O,O,X,X,O,X,X,X,X,X,X,X
TSOIJZL,X,X,X,X,O,X,X,X,X,X,X,X
TSOIZLJ,X,X,X,X,X,X,X,X,X,X,X,X
TSOIZJL,X,X,X,X,X,X,X,X,X,X,X,X
TSOLIJZ,O,O,X,X,O,X,X,X,X,X,X,X
TSOLIZJ,X,X,X,X,X,X,X,O,X,X,X,X
TSOLJIZ,O,O,X,X,O,X,X,X,X,X,X,X
TSOLJZI,O,O,X,X,O,X,X,O,X,X,X,X
TSOLZIJ,X,X,X,O,X,X,X,O,X,X,X,X
TSOLZJI,O,O,X,O,X,X,X,O,X,X,X,X
TSOJILZ,O,O,X,X,O,X,X,X,X,X,X,X
TSOJIZL,X,X,X,X,O,X,O,X,X,X,X,X
TSOJLIZ,O,O,X,X,O,X,X,X,X,X,X,X
TSOJLZI,O,O,X,X,O,X,O,O,X,X,X,X
TSOJZIL,X,X,X,X,X,X,O,X,X,X,X,X
TSOJZLI,O,O,X,X,O,X,O,X,X,X,X,X
TSOZILJ,O,X,X,O,X,X,X,X,X,X,X,X
TSOZIJL,O,X,X,O,X,X,X,X,X,X,X,X
TSOZLIJ,O,X,X,O,X,X,X,O,X,X,X,X
TSOZLJI,O,O,X,O,X,X,X,O,X,X,X,X
TSOZJIL,O,X,X,O,X,X,X,X,X,X,X,X
TSOZJLI,O,O,X,O,X,X,X,X,X,X,X,X
TZILJSO,O,O,X,X,X,X,X,X,X,X,X,X
TZILJOS,O,O,X,X,X,X,X,X,X,X,X,X
TZILSJO,O,O,X,X,X,X,X,X,X,X,X,X
TZILSOJ,O,O,X,X,X,X,X,O,X,X,X,X
TZILOJS,O,O,X,O,X,X,X,X,X,X,X,X
TZILOSJ,O,X,X,O,X,X,X,X,X,X,X,X
TZIJLSO,O,O,X,X,O,X,X,X,X,X,X,X
TZIJLOS,O,O,X,X,X,X,X,X,X,X,X,X
TZIJSLO,O,O,X,X,O,X,X,X,X,X,X,X
TZIJSOL,O,O,X,X,O,X,X,X,X,X,X,X
TZIJOLS,O,O,X,O,X,X,X,X,X,X,X,X
TZIJOSL,O,X,X,O,O,X,X,X,X,X,X,O
TZISLJO,O,O,X,X,O,X,X,X,X,X,X,X
TZISLOJ,O,O,X,X,X,X,X,O,X,X,X,X
TZISJLO,O,O,X,X,O,X,X,X,X,X,X,X
TZISJOL,O,O,X,X,O,X,X,X,X,X,X,X
TZISOLJ,O,O,X,O,X,X,X,O,X,X,X,X
TZISOJL,O,O,X,O,X,X,X,X,X,X,X,X
TZIOLJS,O,O,X,O,X,X,X,X,X,X,X,X
TZIOLSJ,O,X,X,O,X,X,X,X,X,X,X,X
TZIOJLS,O,O,X,O,X,X,X,X,X,X,X,X
TZIOJSL,O,X,X,O,X,X,X,X,X,X,X,X
TZIOSLJ,O,X,X,O,X,X,X,X,X,X,X,X
TZIOSJL,O,X,X,O,X,X,X,X,X,X,X,X
TZLIJSO,X,O,X,X,X,X,X,X,X,X,X,X
TZLIJOS,X,O,O,X,X,X,X,X,X,X,X,X
TZLISJO,X,O,X,X,X,X,X,X,X,X,X,X
TZLISOJ,X,O,X,X,X,X,X,O,X,X,X,X
TZLIOJS,X,O,X,O,X,X,X,X,X,X,X,X
TZLIOSJ,X,X,X,O,X,X,X,X,X,X,X,X
TZLJISO,X,O,X,X,X,X,X,X,X,X,X,X
TZLJIOS,X,O,O,X,X,X,X,X,X,X,X,X
TZLJSIO,O,X,X,X,X,X,X,X,X,X,X,X
TZLJSOI,O,O,X,X,X,X,X,X,X,X,X,X
TZLJOIS,X,O,O,X,X,X,X,X,X,X,X,X
TZLJOSI,O,O,O,X,X,X,X,X,X,X,X,X
TZLSIJO,O,X,X,X,X,X,X,X,X,X,X,X
TZLSIOJ,X,X,X,X,X,X,X,X,X,X,X,X
TZLSJIO,O,X,X,X,X,X,X,X,X,X,X,X
TZLSJOI,O,O,X,X,X,X,X,X,X,X,X,X
TZLSOIJ,O,X,X,X,X,X,X,O,X,X,X,X
TZLSOJI,O,O,X,X,X,X,X,O,X,X,X,X
TZLOIJS,X,X,O,O,X,X,X,X,X,X,X,X
TZLOISJ,X,X,O,O,X,X,X,X,X,X,X,X
TZLOJIS,X,O,O,O,X,X,X,X,X,X,X,X
TZLOJSI,O,O,O,O,X,X,X,X,X,X,X,X
TZLOSIJ,O,X,O,O,X,X,X,X,X,X,X,X
TZLOSJI,O,X,O,O,X,X,X,X,X,X,X,X
TZJILSO,O,O,X,X,O,X,X,X,X,X,X,X
TZJILOS,O,O,X,X,X,X,X,X,X,X,X,X
TZJISLO,O,O,X,X,O,X,X,X,X,X,X,X
TZJISOL,O,O,X,X,O,X,X,X,X,X,X,X
TZJIOLS,O,O,X,O,X,X,X,X,X,X,X,X
TZJIOSL,O,X,X,O,O,X,X,X,X,X,X,O
TZJLISO,X,O,X,X,X,X,X,X,X,X,X,X
TZJLIOS,X,O,O,X,X,X,X,X,X,X,X,X
TZJLSIO,O,X,X,X,O,X,X,X,X,X,X,X
TZJLSOI,O,O,X,X,O,X,X,X,X,X,X,X
TZJLOIS,X,O,O,X,X,X,X,X,X,X,X,X
TZJLOSI,O,O,O,X,X,X,X,X,X,X,X,X
TZJSILO,O,X,X,X,O,X,X,X,X,O,X,X
TZJSIOL,O,X,X,X,O,X,X,X,X,O,X,X
TZJSLIO,O,X,X,X,O,X,X,X,X,X,X,X
TZJSLOI,O,O,X,X,O,X,X,X,X,X,X,X
TZJSOIL,O,X,X,X,X,X,X,X,X,X,X,X
TZJSOLI,O,O,X,X,O,X,X,X,X,X,X,X
TZJOILS,X,X,O,O,X,X,X,X,X,X,X,X
TZJOISL,O,X,X,O,X,X,X,X,X,X,O,O
TZJOLIS,X,O,O,O,X,X,X,X,X,X,X,X
TZJOLSI,O,O,O,O,X,X,X,X,X,X,O,X
TZJOSIL,O,X,X,O,X,X,X,X,X,X,O,X
TZJOSLI,O,X,O,O,O,X,X,X,X,X,O,X
TZSILJO,O,X,X,X,O,X,X,X,X,O,X,X
TZSILOJ,O,X,X,X,X,X,X,X,X,O,X,X
TZSIJLO,O,X,X,X,O,X,X,X,X,O,X,X
TZSIJOL,O,X,X,X,O,X,X,X,X,O,X,X
TZSIOLJ,O,X,X,O,X,X,X,X,X,O,X,X
TZSIOJL,O,X,X,O,X,X,X,X,X,O,X,X
TZSLIJO,O,X,X,X,O,X,X,X,X,X,X,X
TZSLIOJ,O,X,X,X,X,X,X,X,X,X,X,X
TZSLJIO,O,X,X,X,O,X,X,X,X,X,X,X
TZSLJOI,O,O,X,X,O,X,X,X,X,X,X,X
TZSLOIJ,O,X,X,X,X,X,X,O,X,X,X,X
TZSLOJI,O,O,X,X,X,X,X,O,X,X,X,X
TZSJILO,O,X,X,X,O,X,X,X,X,O,X,X
TZSJIOL,O,X,X,X,O,X,X,X,X,O,X,X
TZSJLIO,O,X,X,X,O,X,X,X,X,X,X,X
TZSJLOI,O,O,X,X,O,X,X,X,X,X,X,X
TZSJOIL,O,X,X,X,X,X,X,X,X,X,X,X
TZSJOLI,O,O,X,X,O,X,X,X,X,X,X,X
TZSOILJ,O,X,X,O,X,X,X,X,X,X,X,X
TZSOIJL,O,X,X,O,X,X,X,X,X,X,X,X
TZSOLIJ,O,X,X,O,X,X,X,O,X,X,X,X
TZSOLJI,O,O,X,O,X,X,X,O,X,X,X,X
TZSOJIL,O,X,X,O,X,X,X,X,X,X,X,X
TZSOJLI,O,O,X,O,X,X,X,X,X,X,X,X
TZOILJS,X,X,O,O,X,X,X,X,X,X,X,X
TZOILSJ,X,X,O,O,X,X,X,X,X,X,X,X
TZOIJLS,X,X,O,O,X,X,X,X,X,X,X,X
TZOIJSL,O,X,X,O,X,X,X,X,X,X,O,X
TZOISLJ,O,X,X,O,X,X,X,X,X,X,X,X
TZOISJL,O,X,X,O,X,X,X,X,X,X,O,X
TZOLIJS,X,X,O,O,X,X,X,X,X,X,X,X
TZOLISJ,X,X,O,O,X,X,X,X,X,X,X,X
TZOLJIS,X,O,O,O,X,X,X,X,X,X,X,X
TZOLJSI,O,O,O,O,X,X,X,X,X,X,O,X
TZOLSIJ,O,X,O,O,X,X,X,X,X,X,X,X
TZOLSJI,O,X,O,O,X,X,X,X,X,X,O,X
TZOJILS,X,X,O,O,X,X,X,X,X,X,X,X
TZOJISL,O,X,X,O,X,X,X,X,X,X,O,X
TZOJLIS,X,O,O,O,X,X,X,X,X,X,X,X
TZOJLSI,O,O,O,O,X,X,X,X,X,X,O,X
TZOJSIL,O,X,X,O,X,X,X,X,X,X,O,X
TZOJSLI,O,X,O,O,X,X,X,X,X,X,O,X
TZOSILJ,O,X,X,O,X,X,X,X,X,X,X,X
TZOSIJL,O,X,X,O,X,X,X,X,X,X,O,X
TZOSLIJ,O,X,O,O,X,X,X,X,X,X,X,X
TZOSLJI,O,X,O,O,X,X,X,X,X,X,O,X
TZOSJIL,O,X,X,O,X,X,X,X,X,X,O,X
TZOSJLI,O,X,O,O,X,X,X,X,X,X,O,X
TOILJSZ,X,O,X,X,X,X,X,X,O,X,X,X
TOILJZS,X,O,O,X,X,X,X,X,X,X,X,X
TOILSJZ,X,O,X,X,X,X,X,O,O,X,X,X
TOILSZJ,X,O,O,X,X,X,X,O,O,X,X,X
TOILZJS,X,O,O,O,X,X,X,X,X,X,X,X
TOILZSJ,X,X,O,O,X,X,X,X,O,X,X,X
TOIJLSZ,X,O,X,X,X,X,X,X,O,X,X,X
TOIJLZS,X,O,X,X,X,X,X,X,X,X,X,X
TOIJSLZ,O,O,X,X,O,X,X,X,O,X,X,X
TOIJSZL,X,O,X,X,O,X,X,X,X,X,X,X
TOIJZLS,X,O,X,X,X,X,X,X,X,X,X,X
TOIJZSL,X,X,X,X,O,X,X,X,X,X,X,X
TOISLJZ,O,O,X,X,O,X,X,O,O,X,X,X
TOISLZJ,X,O,X,X,X,X,X,O,O,X,X,X
TOISJLZ,O,O,X,X,O,X,X,O,O,X,X,X
TOISJZL,X,O,X,X,O,X,X,X,X,X,X,X
TOISZLJ,X,O,X,X,X,X,X,O,O,X,X,X
TOISZJL,X,O,X,X,X,X,X,X,X,X,O,X
TOIZLJS,X,O,O,O,X,X,X,X,X,X,X,X
TOIZLSJ,X,X,O,O,X,X,X,X,O,X,X,X
TOIZJLS,X,O,O,O,X,X,X,X,X,X,X,X
TOIZJSL,X,X,X,O,X,X,X,X,X,X,O,X
TOIZSLJ,X,X,X,O,X,X,X,X,O,X,X,X
TOIZSJL,X,X,X,O,X,X,X,X,X,X,O,X
TOLIJSZ,X,O,X,X,X,X,X,X,O,X,X,X
TOLIJZS,X,O,O,X,X,X,X,X,X,X,X,X
TOLISJZ,X,O,X,X,X,X,X,O,O,X,X,X
TOLISZJ,X,O,O,X,X,X,X,O,O,X,X,X
TOLIZJS,X,O,O,O,X,X,X,X,X,X,X,X
TOLIZSJ,X,X,O,O,X,X,X,X,O,X,X,X
TOLJISZ,X,O,X,X,X,X,X,X,X,X,X,X
TOLJIZS,X,O,O,X,X,X,X,X,X,X,X,X
TOLJSIZ,O,O,X,X,X,O,X,X,X,X,X,X
TOLJSZI,O,O,X,X,X,O,X,X,X,X,X,X
TOLJZIS,X,O,O,O,X,X,X,X,X,X,X,X
TOLJZSI,X,O,O,O,X,X,X,X,X,X,X,X
TOLSIJZ,O,O,X,X,X,X,X,X,X,X,X,X
TOLSIZJ,X,X,O,X,X,X,X,O,X,X,X,X
TOLSJIZ,O,O,X,X,X,X,X,X,X,X,X,X
TOLSJZI,O,O,X,X,X,X,X,O,X,X,X,X
TOLSZIJ,X,X,O,O,X,X,X,O,X,X,X,X
TOLSZJI,O,O,O,O,X,X,X,O,X,X,O,X
TOLZIJS,X,X,O,O,X,X,X,X,X,X,X,X
TOLZISJ,X,X,O,O,X,X,X,X,X,X,X,X
TOLZJIS,X,O,O,O,X,X,X,X,X,X,X,X
TOLZJSI,X,O,O,O,X,X,X,X,X,X,O,X
TOLZSIJ,X,X,O,O,X,X,X,X,X,X,X,X
TOLZSJI,X,X,O,O,X,X,X,X,X,X,O,X
TOJILSZ,X,O,X,X,X,X,X,X,X,X,X,X
TOJILZS,X,O,X,X,X,X,X,X,X,X,X,X
TOJISLZ,O,O,X,X,O,X,X,X,X,X,X,X
TOJISZL,X,O,X,X,O,X,X,X,X,X,X,X
TOJIZLS,X,O,X,X,X,X,X,X,X,X,X,X
TOJIZSL,X,X,X,X,O,X,X,X,X,X,X,X
TOJLISZ,X,O,X,X,X,X,X,X,X,X,X,X
TOJLIZS,X,O,O,X,X,X,X,X,X,X,X,X
TOJLSIZ,O,O,X,X,X,O,X,X,X,X,X,X
TOJLSZI,O,O,X,X,X,O,X,X,X,X,X,X
TOJLZIS,X,O,O,O,X,X,X,X,X,X,X,X
TOJLZSI,X,O,O,O,X,X,X,X,X,X,X,X
TOJSILZ,O,O,X,X,O,O,X,X,X,X,X,X
TOJSIZL,X,X,X,X,O,O,X,X,X,X,X,X
TOJSLIZ,O,O,X,X,O,O,X,X,X,X,X,X
TOJSLZI,O,O,X,X,O,O,X,X,X,X,X,X
TOJSZIL,X,X,X,X,X,O,X,X,X,X,O,X
TOJSZLI,O,O,X,X,O,O,X,X,X,X,O,X
TOJZILS,X,X,O,O,X,X,X,X,X,X,X,X
TOJZISL,X,X,X,O,X,X,X,X,X,X,O,X
TOJZLIS,X,O,O,O,X,X,X,X,X,X,X,X
TOJZLSI,X,O,O,O,X,X,X,X,X,X,O,X
TOJZSIL,X,X,X,O,X,X,X,X,X,X,O,X
TOJZSLI,O,X,O,O,O,X,X,X,X,X,O,X
TOSILJZ,O,O,X,X,O,X,X,X,X,X,X,X
TOSILZJ,X,X,X,X,X,X,X,O,X,X,X,X
TOSIJLZ,O,O,X,X,O,X,X,X,X,X,X,X
TOSIJZL,X,X,X,X,O,X,X,X,X,X,X,X
TOSIZLJ,X,X,X,X,X,X,X,X,X,X,X,X
TOSIZJL,X,X,X,X,X,X,X,X,X,X,O,X
TOSLIJZ,O,O,X,X,O,X,X,X,X,X,X,X
TOSLIZJ,X,X,O,X,X,X,X,O,X,X,X,X
TOSLJIZ,O,O,X,X,O,X,X,X,X,X,X,X
TOSLJZI,O,O,X,X,O,X,X,O,X,X,X,X
TOSLZIJ,X,X,O,O,X,X,X,O,X,X,X,X
TOSLZJI,O,O,O,O,X,X,X,O,X,X,O,X
TOSJILZ,O,O,X,X,O,X,X,X,X,X,X,X
TOSJIZL,X,X,X,X,O,X,X,X,X,X,X,X
TOSJLIZ,O,O,X,X,O,X,X,X,X,X,X,X
TOSJLZI,O,O,X,X,O,X,X,O,X,X,X,X
TOSJZIL,X,X,X,X,X,X,X,X,X,X,O,X
TOSJZLI,O,O,X,X,O,X,X,X,X,X,O,X
TOSZILJ,O,X,X,O,X,X,X,X,X,X,X,X
TOSZIJL,O,X,X,O,X,X,X,X,X,X,O,X
TOSZLIJ,O,X,O,O,X,X,X,O,X,X,X,X
TOSZLJI,O,O,O,O,X,X,X,O,X,X,O,X
TOSZJIL,O,X,X,O,X,X,X,X,X,X,O,X
TOSZJLI,O,O,O,O,X,X,X,X,X,X,O,X
TOZILJS,X,X,O,O,X,X,X,X,X,X,X,X
TOZILSJ,X,X,O,O,X,X,X,X,X,X,X,X
TOZIJLS,X,X,O,O,X,X,X,X,X,X,X,X
TOZIJSL,O,X,X,O,X,X,X,X,X,X,O,X
TOZISLJ,O,X,X,O,X,X,X,X,X,X,X,X
TOZISJL,O,X,X,O,X,X,X,X,X,X,O,X
TOZLIJS,X,X,O,O,X,X,X,X,X,X,X,X
TOZLISJ,X,X,O,O,X,X,X,X,X,X,X,X
TOZLJIS,X,O,O,O,X,X,X,X,X,X,X,X
TOZLJSI,O,O,O,O,X,X,X,X,X,X,O,X
TOZLSIJ,O,X,O,O,X,X,X,X,X,X,X,X
TOZLSJI,O,X,O,O,X,X,X,X,X,X,O,X
TOZJILS,X,X,O,O,X,X,X,X,X,X,X,X
TOZJISL,O,X,X,O,X,X,X,X,X,X,O,X
TOZJLIS,X,O,O,O,X,X,X,X,X,X,X,X
TOZJLSI,O,O,O,O,X,X,X,X,X,X,O,X
TOZJSIL,O,X,X,O,X,X,X,X,X,X,O,X
TOZJSLI,O,X,O,O,X,X,X,X,X,X,O,X
TOZSILJ,O,X,X,O,X,X,X,X,X,X,X,X
TOZSIJL,O,X,X,O,X,X,X,X,X,X,O,X
TOZSLIJ,O,X,O,O,X,X,X,X,X,X,X,X
TOZSLJI,O,X,O,O,X,X,X,X,X,X,O,X
TOZSJIL,O,X,X,O,X,X,X,X,X,X,O,X
TOZSJLI,O,X,O,O,X,X,X,X,X,X,O,X
ITLJSZO,O,O,X,X,O,X,X,X,X,X,X,X
ITLJSOZ,O,O,X,X,O,X,X,O,X,X,X,X
ITLJZSO,X,O,X,X,O,X,X,X,X,X,X,X
ITLJZOS,X,O,X,X,X,X,X,X,X,X,X,X
ITLJOSZ,O,O,X,X,X,X,X,X,X,X,X,X
ITLJOZS,X,O,X,X,X,X,X,X,X,X,X,X
ITLSJZO,O,O,X,X,O,X,X,X,X,X,X,X
ITLSJOZ,O,O,X,X,O,X,X,O,X,X,X,X
ITLSZJO,O,O,X,X,O,X,X,X,X,X,X,X
ITLSZOJ,O,O,X,X,X,X,X,O,X,X,X,X
ITLSOJZ,O,O,X,X,O,X,X,O,O,X,X,X
ITLSOZJ,O,O,X,X,X,X,X,O,O,X,X,X
ITLZJSO,O,O,X,X,X,X,X,X,X,X,X,X
ITLZJOS,O,O,X,X,X,X,X,X,X,X,X,X
ITLZSJO,O,O,X,X,X,X,X,X,X,X,X,X
ITLZSOJ,O,O,X,X,X,X,X,O,X,X,X,X
ITLZOJS,O,O,X,X,X,X,X,X,X,X,X,X
ITLZOSJ,O,X,X,X,X,X,X,X,X,X,X,X
ITLOJSZ,O,O,X,X,X,X,X,X,O,X,X,X
ITLOJZS,X,O,X,X,X,X,X,X,X,X,X,X
ITLOSJZ,O,O,X,X,X,X,X,O,O,X,X,X
ITLOSZJ,O,O,X,X,X,X,X,O,O,X,X,X
ITLOZJS,X,O,X,X,X,X,X,X,X,X,X,X
ITLOZSJ,X,X,X,X,X,X,X,X,O,X,X,X
ITJLSZO,O,O,X,X,O,X,X,X,X,X,X,X
ITJLSOZ,O,O,X,X,O,X,X,O,X,X,X,X
ITJLZSO,X,O,X,X,O,X,X,X,X,X,X,X
ITJLZOS,X,O,X,X,X,X,X,X,X,X,X,X
ITJLOSZ,O,O,X,X,X,X,X,X,X,X,X,X
ITJLOZS,X,O,X,X,X,X,X,X,X,X,X,X
ITJSLZO,O,O,X,X,O,X,X,X,X,X,X,X
ITJSLOZ,O,O,X,X,O,X,O,O,X,X,X,X
ITJSZLO,O,O,X,X,O,X,X,X,X,X,X,X
ITJSZOL,O,O,X,X,O,X,O,X,X,X,X,X
ITJSOLZ,O,O,X,X,O,X,O,O,O,X,X,X
ITJSOZL,O,O,X,X,O,X,O,X,X,X,X,X
ITJZLSO,O,O,X,X,O,X,X,X,X,X,X,X
ITJZLOS,O,O,X,X,X,X,X,X,X,X,X,X
ITJZSLO,O,O,X,X,O,X,X,X,X,X,X,X
ITJZSOL,O,O,X,X,O,X,X,X,X,X,X,X
ITJZOLS,O,O,X,X,X,X,X,X,X,X,X,X
ITJZOSL,O,X,X,X,O,X,X,X,X,X,X,O
ITJOLSZ,O,O,X,X,X,X,X,X,O,X,X,X
ITJOLZS,X,O,X,X,X,X,X,X,X,X,X,X
ITJOSLZ,O,O,X,X,O,X,O,X,O,X,X,X
ITJOSZL,O,O,X,X,O,X,O,X,X,X,X,X
ITJOZLS,X,O,X,X,X,X,X,X,X,X,X,X
ITJOZSL,O,X,X,X,O,X,X,X,X,X,X,O
ITSLJZO,O,O,X,X,O,X,X,X,X,X,X,X
ITSLJOZ,O,O,X,X,O,X,O,O,X,X,X,X
ITSLZJO,O,O,X,X,O,X,X,X,X,X,X,X
ITSLZOJ,O,O,X,X,X,X,X,O,X,X,X,X
ITSLOJZ,O,O,X,X,O,X,X,O,O,X,X,X
ITSLOZJ,O,O,X,X,X,X,X,O,O,X,X,X
ITSJLZO,O,O,X,X,O,X,X,X,X,X,X,X
ITSJLOZ,O,O,X,X,O,X,O,O,X,X,X,X
ITSJZLO,O,O,X,X,O,X,X,X,X,X,X,X
ITSJZOL,O,O,X,X,O,X,O,X,X,X,X,X
ITSJOLZ,O,O,X,X,O,X,O,O,O,X,X,X
ITSJOZL,O,O,X,X,O,X,O,X,X,X,X,X
ITSZLJO,O,O,X,X,O,X,X,X,X,X,X,X
ITSZLOJ,O,O,X,X,X,X,X,O,X,X,X,X
ITSZJLO,O,O,X,X,O,X,X,X,X,X,X,X
ITSZJOL,O,O,X,X,O,X,O,X,X,X,X,X
ITSZOLJ,O,O,X,X,X,X,X,O,O,X,X,X
ITSZOJL,O,O,X,X,X,X,X,X,X,X,X,X
ITSOLJZ,O,O,X,X,O,X,X,O,O,X,X,X
ITSOLZJ,O,O,X,X,X,X,X,O,O,X,X,X
ITSOJLZ,O,O,X,X,O,X,O,O,O,X,X,X
ITSOJZL,O,O,X,X,O,X,O,X,X,X,X,X
ITSOZLJ,O,O,X,X,X,X,X,O,O,X,X,X
ITSOZJL,O,O,X,X,X,X,X,X,X,X,X,X
ITZLJSO,O,O,X,X,X,X,X,X,X,X,X,X
ITZLJOS,O,O,X,X,X,X,X,X,X,X,X,X
ITZLSJO,O,O,X,X,X,X,X,X,X,X,X,X
ITZLSOJ,O,O,X,X,X,X,X,O,X,X,X,X
ITZLOJS,O,O,X,O,X,X,X,X,X,X,X,X
ITZLOSJ,O,X,X,O,X,X,X,X,X,X,X,X
ITZJLSO,O,O,X,X,O,X,X,X,X,X,X,X
ITZJLOS,O,O,X,X,X,X,X,X,X,X,X,X
ITZJSLO,O,O,X,X,O,X,X,X,X,X,X,X
