sequence,v115@7gB8FeD8FeD8EeF8CeF8JeT6IvhFxcBlgBcmBikBGq?BXqB,v115@7gB8FeD8FeD8EeF8CeF8JeO/IvhFXbBxcBSlBThB0p?BlqB,v115@7gB8FeD8FeD8EeF8CeF8JeO/IvhF8fBzbBCdBxlBlp?B3qB,v115@7gB8FeD8FeD8EeF8CeF8Jem7IvhFCdBxfBTkB/qBFm?B0pB,v115@7gB8FeD8FeD8EeF8CeF8Jem7IvhFCdBxfBTfB/qBFm?B0pB,v115@7gB8FeD8FeD8EeF8CeF8JeZ/IvhFzaBCdBUhBupB1q?B3qB,v115@7gB8FeD8FeD8EeF8CeF8Jem7IvhFCdBxfB0fB/pBFm?BTqB,v115@7gB8FeD8FeD8EeF8CeF8Jex6IvhFCdBmfBTkBFmBXq?B8qB,v115@7gB8FeD8FeD8EeF8CeF8JeZ/IvhF8gBCdBzfBXmBFl?BWvB,v115@7gB8FeD8FeD8EeF8CeF8JeZ/IvhFzbBCdBVlBXmBUq?BupB,v115@7gB8FeD8FeD8EeF8CeF8JeO/IvhFCdBzfBFmBxpB8q?BXqB,v115@7gB8FeD8FeD8EeF8CeF8Jez7IvhFCdBmfBFmBxpB/p?BUqB
TIZOSLJ,X,O,O,X,X,X,X,X,X,O,X,X
TIZOSJL,X,O,O,X,X,X,X,X,X,O,X,X
TIOLJSZ,X,O,X,O,O,O,O,X,X,X,O,X
TIOLJZS,X,X,O,X,X,O,O,X,X,X,O,X
TIOLSJZ,X,O,O,X,X,X,O,X,X,X,O,X
TIOLSZJ,X,O,O,X,X,X,O,X,X,X,X,X
TIOLZJS,X,O,O,X,X,X,O,X,X,X,O,X
TIOLZSJ,X,O,O,X,X,X,X,X,X,X,X,X
TIOJLSZ,X,O,X,O,O,O,O,X,X,X,O,X
TIOJLZS,X,X,O,X,X,O,O,X,X,X,O,X
TIOJSLZ,X,X,X,X,X,O,O,X,X,X,O,X
TIOJSZL,X,X,X,X,X,O,O,X,X,X,O,X
TIOJZLS,X,O,O,X,X,O,O,X,X,X,O,X
TIOJZSL,X,O,O,X,X,O,X,X,X,X,O,X
TIOSLJZ,X,O,O,X,X,X,O,X,X,X,O,X
TIOSLZJ,X,O,O,X,X,X,O,X,X,X,X,X
TIOSJLZ,X,X,O,X,X,X,O,X,X,X,O,X
TIOSJZL,X,X,O,X,X,X,O,X,X,X,O,X
TIOSZLJ,X,O,O,X,X,X,O,X,X,X,X,X
TIOSZJL,X,O,O,X,X,X,O,X,X,X,X,X
TIOZLJS,X,O,O,X,X,O,O,X,X,X,O,X
TIOZLSJ,X,O,O,X,X,X,X,X,X,X,X,X
TIOZJLS,X,O,O,X,X,O,O,X,X,X,O,X
TIOZJSL,X,O,O,X,X,O,X,X,X,X,O,X
TIOZSLJ,X,O,O,X,X,X,X,X,X,X,X,X
TIOZSJL,X,O,O,X,X,X,X,X,X,X,X,X
TLIJSZO,X,O,X,O,O,X,O,X,O,X,X,X
TLIJSOZ,X,O,X,O,O,O,O,X,O,X,X,O
TLIJZSO,O,X,O,O,O,O,O,X,X,X,X,X
TLIJZOS,O,X,O,X,X,O,O,X,X,X,X,O
TLIJOSZ,X,X,X,O,O,O,O,X,O,X,O,O
TLIJOZS,O,X,O,X,X,O,O,X,X,X,O,O
TLISJZO,X,O,O,O,O,X,O,X,O,X,X,X
TLISJOZ,X,O,O,O,O,O,O,X,O,X,X,X
TLISZJO,X,O,O,O,O,X,O,X,O,O,X,X
TLISZOJ,X,X,O,X,O,X,X,X,X,O,X,X
TLISOJZ,X,O,O,O,O,X,O,O,X,X,X,X
TLISOZJ,X,O,O,O,X,X,X,X,X,O,X,X
TLIZJSO,O,O,O,O,O,O,O,X,X,O,X,X
TLIZJOS,O,O,O,X,X,O,O,X,X,X,X,X
TLIZSJO,O,O,O,X,X,O,X,X,X,O,X,X
TLIZSOJ,O,O,O,X,X,X,X,X,X,O,X,X
TLIZOJS,O,O,O,X,X,O,X,X,X,X,X,X
TLIZOSJ,O,O,O,X,X,X,X,X,X,O,X,X
TLIOJSZ,X,O,X,O,O,O,O,X,X,X,O,X
TLIOJZS,O,X,O,X,X,O,O,X,X,X,O,X
TLIOSJZ,X,O,O,X,X,X,O,X,X,X,O,X
TLIOSZJ,X,O,O,X,X,X,O,X,X,X,X,X
TLIOZJS,O,O,O,X,X,X,O,X,X,X,O,X
TLIOZSJ,O,O,O,X,X,X,X,X,X,X,X,X
TLJISZO,X,O,X,O,O,X,O,X,O,X,X,X
TLJISOZ,X,O,X,O,O,O,O,X,O,X,X,X
TLJIZSO,O,X,O,O,O,O,O,X,X,X,X,X
TLJIZOS,O,X,O,X,X,O,O,X,X,X,X,X
TLJIOSZ,X,X,X,O,O,O,O,X,O,X,X,X
TLJIOZS,O,X,O,X,X,O,O,X,X,X,X,X
TLJSIZO,X,O,O,O,O,X,O,X,O,X,X,X
TLJSIOZ,X,O,O,O,O,O,O,X,O,X,X,X
TLJSZIO,X,O,O,O,O,X,O,X,O,X,X,X
TLJSZOI,X,O,X,O,O,X,X,X,O,X,X,X
TLJSOIZ,X,O,X,O,O,O,O,O,O,X,X,X
TLJSOZI,X,O,X,O,O,O,O,O,O,X,X,X
TLJZISO,O,X,O,O,O,O,O,X,X,X,X,X
TLJZIOS,O,X,O,X,X,O,O,X,X,X,X,X
TLJZSIO,O,X,O,O,O,O,O,X,X,X,X,X
TLJZSOI,O,X,X,O,O,O,X,X,X,X,X,X
TLJZOIS,O,X,O,X,X,O,O,X,X,X,X,X
TLJZOSI,O,X,X,X,X,O,O,X,X,X,X,X
TLJOISZ,X,O,X,O,O,O,O,X,O,X,X,X
TLJOIZS,O,X,X,X,X,O,O,X,X,X,X,X
TLJOSIZ,X,O,X,O,O,O,O,X,O,X,X,X
TLJOSZI,X,O,X,O,O,O,O,X,O,X,X,X
TLJOZIS,O,X,O,X,X,O,O,X,X,X,X,X
TLJOZSI,O,X,X,X,X,O,O,X,X,X,X,X
TLSIJZO,X,O,O,O,O,X,O,X,O,X,X,X
TLSIJOZ,X,O,O,O,O,O,O,X,O,X,X,X
TLSIZJO,X,O,O,O,O,X,O,X,O,O,X,X
TLSIZOJ,X,X,O,X,O,X,X,X,X,O,X,X
TLSIOJZ,X,O,O,O,O,X,O,O,X,X,X,X
TLSIOZJ,X,O,O,O,X,X,X,X,X,O,X,X
TLSJIZO,X,O,O,O,O,X,O,X,X,X,X,X
TLSJIOZ,X,O,O,O,O,O,O,X,X,X,X,X
TLSJZIO,X,O,O,O,O,X,O,X,X,X,X,X
TLSJZOI,X,O,X,O,O,X,X,X,X,X,X,X
TLSJOIZ,X,O,X,O,O,O,O,O,X,X,X,X
TLSJOZI,X,O,X,O,O,O,O,O,X,X,X,X
TLSZIJO,X,O,O,O,O,X,O,X,O,O,X,X
TLSZIOJ,X,X,O,X,O,X,X,X,X,O,X,X
TLSZJIO,X,O,O,O,O,X,O,X,X,O,X,X
TLSZJOI,X,O,X,O,O,X,X,X,X,O,X,X
TLSZOIJ,X,O,X,O,O,X,X,X,X,O,X,X
TLSZOJI,X,O,X,O,O,X,X,O,X,O,X,X
