sequence,v115@7gB8FeD8FeD8EeF8CeF8JeT6IvhFxcBlgBcmBikBGq?BXqB,v115@7gB8FeD8FeD8EeF8CeF8JeO/IvhFXbBxcBSlBThB0p?BlqB,v115@7gB8FeD8FeD8EeF8CeF8JeO/IvhF8fBzbBCdBxlBlp?B3qB,v115@7gB8FeD8FeD8EeF8CeF8Jem7IvhFCdBxfBTkB/qBFm?B0pB,v115@7gB8FeD8FeD8EeF8CeF8Jem7IvhFCdBxfBTfB/qBFm?B0pB,v115@7gB8FeD8FeD8EeF8CeF8JeZ/IvhFzaBCdBUhBupB1q?B3qB,v115@7gB8FeD8FeD8EeF8CeF8Jem7IvhFCdBxfB0fB/pBFm?BTqB,v115@7gB8FeD8FeD8EeF8CeF8Jex6IvhFCdBmfBTkBFmBXq?B8qB,v115@7gB8FeD8FeD8EeF8CeF8JeZ/IvhF8gBCdBzfBXmBFl?BWvB,v115@7gB8FeD8FeD8EeF8CeF8JeZ/IvhFzbBCdBVlBXmBUq?BupB,v115@7gB8FeD8FeD8EeF8CeF8JeO/IvhFCdBzfBFmBxpB8q?BXqB,v115@7gB8FeD8FeD8EeF8CeF8Jez7IvhFCdBmfBFmBxpB/p?BUqB
ISJTOZL,X,X,O,X,X,O,X,X,O,X,X,X
ISJLTZO,X,X,O,X,O,X,O,X,O,X,X,X
ISJLTOZ,X,X,O,X,X,O,X,X,O,X,X,O
ISJLZTO,O,X,O,X,O,X,O,X,O,O,X,X
ISJLZOT,O,X,O,X,O,X,O,X,O,O,X,X
ISJLOTZ,X,X,O,X,X,O,X,X,O,X,O,X
ISJLOZT,O,X,O,X,O,X,O,X,O,O,X,X
ISJZTLO,O,X,O,X,X,X,X,X,O,O,X,X
ISJZTOL,X,X,O,X,X,X,X,X,O,O,X,X
ISJZLTO,O,X,O,X,O,X,O,X,O,O,X,X
ISJZLOT,O,X,O,X,O,X,O,X,O,O,X,X
ISJZOTL,X,X,O,X,X,X,X,X,O,O,X,X
ISJZOLT,X,X,O,X,X,X,X,X,O,O,X,X
ISJOTLZ,X,X,O,X,X,O,X,X,O,X,O,X
ISJOTZL,X,X,O,X,X,O,X,X,O,X,O,X
ISJOLTZ,X,X,O,X,X,O,X,X,O,X,O,X
ISJOLZT,X,X,O,X,O,X,O,X,O,O,X,X
ISJOZTL,X,X,O,X,X,X,X,X,O,O,X,X
ISJOZLT,X,X,O,X,X,X,X,X,O,O,X,X
ISZTLJO,O,O,O,O,O,O,O,X,O,O,X,X
ISZTLOJ,O,O,O,X,O,X,X,X,X,O,X,X
ISZTJLO,O,O,O,O,O,O,O,X,O,O,X,X
ISZTJOL,X,O,O,X,O,O,X,X,O,O,X,X
ISZTOLJ,X,O,O,X,O,X,X,X,X,O,X,X
ISZTOJL,X,O,O,X,O,X,X,X,X,O,X,X
ISZLTJO,O,O,O,X,O,O,X,X,O,O,X,X
ISZLTOJ,O,X,O,X,O,X,X,X,X,O,X,X
ISZLJTO,O,O,O,X,O,X,O,X,O,O,X,X
ISZLJOT,O,O,O,X,O,X,O,X,O,O,X,X
ISZLOTJ,O,X,O,X,X,X,X,X,X,O,X,X
ISZLOJT,O,O,O,X,O,X,X,X,O,O,X,X
ISZJTLO,O,O,O,X,O,X,X,X,O,O,X,X
ISZJTOL,X,O,O,X,O,X,X,X,O,O,X,X
ISZJLTO,O,O,O,X,O,X,O,X,O,O,X,X
ISZJLOT,O,O,O,X,O,X,O,X,O,O,X,X
ISZJOTL,X,O,O,X,X,X,X,X,O,O,X,X
ISZJOLT,X,O,O,X,O,X,X,X,O,O,X,X
ISZOTLJ,X,O,O,X,O,X,X,X,X,O,X,X
ISZOTJL,X,O,O,X,O,X,X,X,X,O,X,X
ISZOLTJ,X,O,O,X,X,X,X,X,X,O,X,X
ISZOLJT,X,O,O,X,O,X,X,X,O,O,X,X
ISZOJTL,X,O,O,X,X,X,X,X,O,O,X,X
ISZOJLT,X,O,O,X,O,X,X,X,O,O,X,X
ISOTLJZ,X,O,O,O,O,X,O,O,X,X,O,X
ISOTLZJ,X,O,O,O,X,X,O,X,X,O,X,X
ISOTJLZ,X,X,O,O,O,X,O,O,X,X,O,X
ISOTJZL,X,X,O,O,X,X,O,O,X,X,O,X
ISOTZLJ,X,O,O,O,X,X,O,X,X,O,X,X
ISOTZJL,X,O,O,O,X,X,O,X,X,O,X,X
ISOLTJZ,X,X,O,O,X,X,O,O,X,X,O,X
ISOLTZJ,X,X,O,O,X,X,O,X,X,O,X,X
ISOLJTZ,X,X,O,X,X,X,O,O,O,X,O,X
ISOLJZT,X,X,O,X,O,X,O,X,O,O,X,X
ISOLZTJ,X,X,O,X,X,X,X,X,X,O,X,X
ISOLZJT,X,X,O,X,X,X,O,X,O,O,X,X
ISOJTLZ,X,X,O,O,X,X,O,O,O,X,O,X
ISOJTZL,X,X,O,O,X,X,O,O,O,X,O,X
ISOJLTZ,X,X,O,X,X,X,O,O,O,X,O,X
ISOJLZT,X,X,O,X,O,X,O,X,O,O,X,X
ISOJZTL,X,X,O,X,X,X,X,X,O,O,X,X
ISOJZLT,X,X,O,X,X,X,O,X,O,O,X,X
ISOZTLJ,X,O,O,O,X,X,O,X,X,O,X,X
ISOZTJL,X,O,O,O,X,X,O,X,X,O,X,X
ISOZLTJ,X,O,O,X,X,X,X,X,X,O,X,X
ISOZLJT,X,O,O,X,X,X,O,X,O,O,X,X
ISOZJTL,X,O,O,X,X,X,X,X,O,O,X,X
ISOZJLT,X,O,O,X,X,X,O,X,O,O,X,X
IZTLJSO,O,O,O,X,X,O,X,X,X,O,X,X
IZTLJOS,O,O,O,X,X,O,X,X,X,X,X,X
IZTLSJO,O,O,O,X,X,O,X,X,X,O,X,X
IZTLSOJ,O,O,O,X,X,X,X,X,X,O,X,X
IZTLOJS,O,O,O,X,X,O,X,X,X,X,X,X
IZTLOSJ,O,O,O,X,X,X,X,X,X,O,X,X
IZTJLSO,O,O,O,X,X,O,X,X,X,O,X,X
IZTJLOS,O,O,O,X,X,O,X,X,X,X,X,X
IZTJSLO,O,O,O,X,X,O,X,X,X,O,X,X
IZTJSOL,X,O,O,X,X,O,X,X,X,O,X,X
IZTJOLS,O,O,O,X,X,O,X,X,X,X,X,X
IZTJOSL,X,O,O,X,X,O,X,X,X,X,X,X
IZTSLJO,O,O,O,X,X,O,X,X,X,O,X,X
IZTSLOJ,O,O,O,X,X,X,X,X,X,O,X,X
IZTSJLO,O,O,O,X,X,O,X,X,X,O,X,X
IZTSJOL,X,O,X,X,X,O,X,X,X,O,X,X
IZTSOLJ,X,O,O,X,X,X,X,X,X,O,X,X
IZTSOJL,X,O,O,X,X,X,X,X,X,O,X,X
IZTOLJS,O,O,O,X,X,O,X,X,X,X,X,X
IZTOLSJ,O,O,O,X,X,X,X,X,X,O,X,X
IZTOJLS,O,O,O,X,X,O,X,X,X,X,X,X
IZTOJSL,X,O,O,X,X,O,X,X,X,X,X,X
IZTOSLJ,X,O,O,X,X,X,X,X,X,O,X,X
IZTOSJL,X,O,O,X,X,X,X,X,X,O,X,X
IZLTJSO,O,O,O,X,X,O,X,X,X,O,X,X
IZLTJOS,O,O,O,X,X,O,X,X,X,X,X,X
IZLTSJO,O,O,O,X,X,O,X,X,X,O,X,X
IZLTSOJ,O,O,O,X,X,X,X,X,X,O,X,X
IZLTOJS,O,O,O,X,X,O,X,X,X,X,X,X
IZLTOSJ,O,O,O,X,X,X,X,X,X,O,X,X
IZLJTSO,O,O,O,X,X,O,X,X,X,O,X,X
IZLJTOS,O,O,O,X,X,O,X,X,X,X,X,O
IZLJSTO,O,O,O,X,X,X,X,X,O,O,X,X
IZLJSOT,O,O,O,X,X,X,X,X,O,O,X,X
IZLJOTS,O,O,O,X,X,O,X,X,X,X,O,X
IZLJOST,O,O,O,X,X,X,X,X,O,X,X,X
IZLSTJO,O,O,O,X,O,O,X,X,O,O,X,X
IZLSTOJ,O,X,O,X,O,X,X,X,X,O,X,X
IZLSJTO,O,O,O,X,O,X,X,X,O,O,X,X
IZLSJOT,O,O,O,X,O,X,X,X,O,O,X,X
IZLSOTJ,O,O,O,X,X,X,X,X,X,O,X,X
IZLSOJT,O,O,O,X,O,X,X,X,O,O,X,X
IZLOTJS,O,O,O,X,X,O,X,X,X,X,O,X
IZLOTSJ,O,O,O,X,X,X,X,X,X,O,X,X
IZLOJTS,O,O,O,X,X,X,X,X,X,X,O,X
IZLOJST,O,O,O,X,X,X,X,X,X,X,X,X
IZLOSTJ,O,O,O,X,X,X,X,X,X,O,X,X
IZLOSJT,O,O,O,X,X,X,X,X,X,O,X,X
IZJTLSO,O,O,O,X,X,O,X,X,X,O,X,X
IZJTLOS,O,O,O,X,X,O,X,X,X,X,X,O
IZJTSLO,O,O,O,X,X,O,X,X,X,O,X,X
IZJTSOL,X,O,O,X,X,O,X,X,X,O,X,X
IZJTOLS,O,O,O,X,X,O,X,X,X,X,X,O
IZJTOSL,X,O,X,X,X,O,X,X,X,X,X,X
IZJLTSO,O,O,O,X,X,O,X,X,X,O,X,X
IZJLTOS,O,O,O,X,X,O,X,X,X,X,X,O
IZJLSTO,O,O,O,X,X,X,X,X,O,O,X,X
IZJLSOT,O,O,O,X,X,X,X,X,O,O,X,X
IZJLOTS,O,O,O,X,X,O,X,X,X,X,O,X
IZJLOST,O,O,O,X,X,X,X,X,O,X,X,X
IZJSTLO,O,O,O,X,X,X,X,X,O,O,X,X
IZJSTOL,X,O,O,X,X,X,X,X,O,O,X,X
IZJSLTO,O,O,O,X,X,X,X,X,O,O,X,X
IZJSLOT,O,O,O,X,X,X,X,X,O,O,X,X
IZJSOTL,X,O,O,X,X,X,X,X,O,O,X,X
IZJSOLT,X,O,O,X,X,X,X,X,O,O,X,X
IZJOTLS,O,O,O,X,X,O,X,X,X,X,O,X
IZJOTSL,X,O,X,X,X,O,X,X,X,X,O,X
IZJOLTS,O,O,O,X,X,O,X,X,X,X,O,X
IZJOLST,O,O,O,X,X,X,X,X,O,X,X,X
IZJOSTL,X,O,O,X,X,X,X,X,O,X,X,X
IZJOSLT,X,O,O,X,X,X,X,X,O,X,X,X
IZSTLJO,O,O,O,X,O,O,X,X,O,O,X,X
IZSTLOJ,O,O,O,X,O,X,X,X,X,O,X,X
IZSTJLO,O,O,O,X,O,O,X,X,O,O,X,X
IZSTJOL,X,O,O,X,O,O,X,X,O,O,X,X
IZSTOLJ,X,O,O,X,O,X,X,X,X,O,X,X
IZSTOJL,X,O,O,X,O,X,X,X,X,O,X,X
IZSLTJO,O,O,O,X,O,O,X,X,O,O,X,X
IZSLTOJ,O,X,O,X,O,X,X,X,X,O,X,X
IZSLJTO,O,O,O,X,O,X,X,X,O,O,X,X
IZSLJOT,O,O,O,X,O,X,X,X,O,O,X,X
IZSLOTJ,O,X,O,X,X,X,X,X,X,O,X,X
IZSLOJT,O,O,O,X,O,X,X,X,O,O,X,X
IZSJTLO,O,O,O,X,O,X,X,X,O,O,X,X
IZSJTOL,X,O,O,X,O,X,X,X,O,O,X,X
IZSJLTO,O,O,O,X,O,X,X,X,O,O,X,X
IZSJLOT,O,O,O,X,O,X,X,X,O,O,X,X
IZSJOTL,X,O,O,X,X,X,X,X,O,O,X,X
IZSJOLT,X,O,O,X,O,X,X,X,O,O,X,X
IZSOTLJ,X,O,O,X,O,X,X,X,X,O,X,X
IZSOTJL,X,O,O,X,O,X,X,X,X,O,X,X
IZSOLTJ,X,O,O,X,X,X,X,X,X,O,X,X
IZSOLJT,X,O,O,X,O,X,X,X,O,O,X,X
IZSOJTL,X,O,O,X,X,X,X,X,O,O,X,X
IZSOJLT,X,O,O,X,O,X,X,X,O,O,X,X
IZOTLJS,O,O,O,X,X,O,X,X,X,X,O,X
IZOTLSJ,O,O,O,X,X,X,X,X,X,O,X,X
IZOTJLS,O,O,O,X,X,O,X,X,X,X,O,X
IZOTJSL,X,O,O,X,X,O,X,X,X,X,O,X
IZOTSLJ,X,O,O,X,X,X,X,X,X,O,X,X
IZOTSJL,X,O,O,X,X,X,X,X,X,O,X,X
IZOLTJS,O,O,O,X,X,O,X,X,X,X,O,X
IZOLTSJ,O,O,O,X,X,X,X,X,X,O,X,X
IZOLJTS,O,O,O,X,X,X,X,X,X,X,O,X
IZOLJST,O,O,O,X,X,X,X,X,X,X,X,X
IZOLSTJ,O,O,O,X,X,X,X,X,X,O,X,X
IZOLSJT,O,O,O,X,X,X,X,X,X,O,X,X
IZOJTLS,O,O,O,X,X,X,X,X,X,X,O,X
IZOJTSL,X,O,X,X,X,X,X,X,X,X,O,X
IZOJLTS,O,O,O,X,X,X,X,X,X,X,O,X
IZOJLST,O,O,O,X,X,X,X,X,X,X,X,X
IZOJSTL,X,O,O,X,X,X,X,X,X,X,X,X
IZOJSLT,X,O,O,X,X,X,X,X,X,X,X,X
IZOSTLJ,X,O,O,X,X,X,X,X,X,O,X,X
IZOSTJL,X,O,O,X,X,X,X,X,X,O,X,X
IZOSLTJ,X,O,O,X,X,X,X,X,X,O,X,X
IZOSLJT,X,O,O,X,X,X,X,X,X,O,X,X
IZOSJTL,X,O,O,X,X,X,X,X,X,O,X,X
IZOSJLT,X,O,O,X,X,X,X,X,X,O,X,X
IOTLJSZ,X,O,X,X,X,O,O,X,X,X,O,X
IOTLJZS,X,X,O,X,X,O,O,X,X,X,O,X
IOTLSJZ,X,O,O,X,X,X,O,X,X,X,O,X
IOTLSZJ,X,O,O,X,X,X,O,X,X,X,X,X
IOTLZJS,X,O,O,X,X,X,O,X,X,X,O,X
IOTLZSJ,X,O,O,X,X,X,X,X,X,X,X,X
IOTJLSZ,X,O,X,X,X,O,O,X,X,X,O,X
IOTJLZS,X,X,O,X,X,O,O,X,X,X,O,X
IOTJSLZ,X,X,X,X,X,O,O,X,X,X,O,X
IOTJSZL,X,X,X,X,X,O,O,X,X,X,O,X
IOTJZLS,X,O,O,X,X,O,O,X,X,X,O,X
IOTJZSL,X,O,O,X,X,O,X,X,X,X,O,X
IOTSLJZ,X,O,O,O,X,X,O,X,X,X,O,X
IOTSLZJ,X,O,O,O,X,X,O,X,X,X,X,X
IOTSJLZ,X,X,O,O,X,X,O,X,X,X,O,X
IOTSJZL,X,X,O,O,X,X,O,X,X,X,O,X
IOTSZLJ,X,O,O,O,X,X,O,X,X,X,X,X
IOTSZJL,X,O,O,O,X,X,O,X,X,X,X,X
IOTZLJS,X,O,O,X,X,O,O,X,X,X,O,X
IOTZLSJ,X,O,O,X,X,X,X,X,X,X,X,X
IOTZJLS,X,O,O,X,X,O,O,X,X,X,O,X
IOTZJSL,X,O,O,X,X,O,X,X,X,X,O,X
IOTZSLJ,X,O,O,X,X,X,X,X,X,X,X,X
IOTZSJL,X,O,O,X,X,X,X,X,X,X,X,X
IOLTJSZ,X,O,X,X,X,O,O,X,X,X,O,X
IOLTJZS,O,X,O,X,X,O,O,X,X,X,O,X
IOLTSJZ,X,O,O,X,X,X,O,X,X,X,O,X
IOLTSZJ,X,O,O,X,X,X,O,X,X,X,X,X
IOLTZJS,O,O,O,X,X,X,O,X,X,X,O,X
IOLTZSJ,O,O,O,X,X,X,X,X,X,X,X,X
IOLJTSZ,X,X,X,X,X,O,X,X,O,X,O,O
IOLJTZS,O,X,O,X,X,O,X,X,X,X,O,O
IOLJSTZ,X,X,O,X,X,O,X,O,O,X,O,X
IOLJSZT,O,X,O,X,X,X,X,X,O,X,X,X
IOLJZTS,O,X,O,X,X,O,X,X,X,X,O,X
IOLJZST,O,X,O,X,X,X,X,X,O,X,X,X
IOLSTJZ,X,X,O,O,X,X,O,O,X,X,O,X
IOLSTZJ,X,X,O,O,X,X,O,X,X,O,X,X
IOLSJTZ,X,X,O,X,X,X,O,O,O,X,O,X
IOLSJZT,O,X,O,X,X,X,O,X,O,O,X,X
IOLSZTJ,O,X,O,X,X,X,X,X,X,O,X,X
IOLSZJT,O,X,O,X,X,X,O,X,O,O,X,X
IOLZTJS,O,O,O,X,X,O,X,X,X,X,O,X
IOLZTSJ,O,O,O,X,X,X,X,X,X,O,X,X
IOLZJTS,O,O,O,X,X,X,X,X,X,X,O,X
IOLZJST,O,O,O,X,X,X,X,X,X,X,X,X
IOLZSTJ,O,O,O,X,X,X,X,X,X,O,X,X
IOLZSJT,O,O,O,X,X,X,X,X,X,O,X,X
IOJTLSZ,X,O,X,X,X,O,X,X,O,X,O,O
IOJTLZS,X,X,O,X,X,O,X,X,X,X,O,O
IOJTSLZ,X,X,X,X,X,O,X,X,O,X,O,O
IOJTSZL,X,X,X,X,X,O,X,X,O,X,O,X
IOJTZLS,X,O,O,X,X,O,X,X,X,X,O,O
IOJTZSL,X,O,O,X,X,O,X,X,X,X,O,X
IOJLTSZ,X,X,X,X,X,O,X,X,O,X,O,O
IOJLTZS,O,X,O,X,X,O,X,X,X,X,O,O
IOJLSTZ,X,X,O,X,X,O,X,O,O,X,O,X
IOJLSZT,O,X,O,X,X,X,X,X,O,X,X,X
IOJLZTS,O,X,O,X,X,O,X,X,X,X,O,X
IOJLZST,O,X,O,X,X,X,X,X,O,X,X,X
IOJSTLZ,X,X,O,O,X,O,X,O,O,X,O,X
IOJSTZL,X,X,O,O,X,O,X,O,O,X,O,X
IOJSLTZ,X,X,O,X,X,O,X,O,O,X,O,X
IOJSLZT,X,X,O,X,X,X,X,X,O,X,X,X
IOJSZTL,X,X,O,X,X,X,X,X,O,X,X,X
IOJSZLT,X,X,O,X,X,X,X,X,O,X,X,X
IOJZTLS,O,O,O,X,X,O,X,X,X,X,O,X
IOJZTSL,X,O,X,X,X,O,X,X,X,X,O,X
IOJZLTS,O,O,O,X,X,O,X,X,X,X,O,X
IOJZLST,O,O,O,X,X,X,X,X,O,X,X,X
IOJZSTL,X,O,X,X,X,X,X,X,O,X,X,X
IOJZSLT,X,O,O,X,X,X,X,X,O,X,X,X
IOSTLJZ,X,O,O,O,X,X,O,O,X,X,O,X
IOSTLZJ,X,O,O,O,X,X,O,X,X,O,X,X
IOSTJLZ,X,X,O,O,X,X,O,O,X,X,O,X
IOSTJZL,X,X,O,O,X,X,O,O,X,X,O,X
IOSTZLJ,X,O,O,O,X,X,O,X,X,O,X,X
IOSTZJL,X,O,O,O,X,X,O,X,X,O,X,X
IOSLTJZ,X,X,O,O,X,X,O,O,X,X,O,X
IOSLTZJ,X,X,O,O,X,X,O,X,X,O,X,X
IOSLJTZ,X,X,O,X,X,X,O,O,O,X,O,X
IOSLJZT,X,X,O,X,X,X,O,X,O,O,X,X
IOSLZTJ,X,X,O,X,X,X,X,X,X,O,X,X
IOSLZJT,X,X,O,X,X,X,O,X,O,O,X,X
IOSJTLZ,X,X,O,O,X,X,O,O,O,X,O,X
IOSJTZL,X,X,O,O,X,X,O,O,O,X,O,X
IOSJLTZ,X,X,O,X,X,X,O,O,O,X,O,X
IOSJLZT,X,X,O,X,X,X,O,X,O,O,X,X
IOSJZTL,X,X,O,X,X,X,X,X,O,O,X,X
IOSJZLT,X,X,O,X,X,X,O,X,O,O,X,X
IOSZTLJ,X,O,O,O,X,X,O,X,X,O,X,X
IOSZTJL,X,O,O,O,X,X,O,X,X,O,X,X
IOSZLTJ,X,O,O,X,X,X,X,X,X,O,X,X
IOSZLJT,X,O,O,X,X,X,O,X,O,O,X,X
IOSZJTL,X,O,O,X,X,X,X,X,O,O,X,X
IOSZJLT,X,O,O,X,X,X,O,X,O,O,X,X
IOZTLJS,O,O,O,X,X,O,X,X,X,X,O,X
IOZTLSJ,O,O,O,X,X,X,X,X,X,O,X,X
IOZTJLS,O,O,O,X,X,O,X,X,X,X,O,X
IOZTJSL,X,O,O,X,X,O,X,X,X,X,O,X
IOZTSLJ,X,O,O,X,X,X,X,X,X,O,X,X
IOZTSJL,X,O,O,X,X,X,X,X,X,O,X,X
IOZLTJS,O,O,O,X,X,O,X,X,X,X,O,X
IOZLTSJ,O,O,O,X,X,X,X,X,X,O,X,X
IOZLJTS,O,O,O,X,X,X,X,X,X,X,O,X
IOZLJST,O,O,O,X,X,X,X,X,X,X,X,X
IOZLSTJ,O,O,O,X,X,X,X,X,X,O,X,X
IOZLSJT,O,O,O,X,X,X,X,X,X,O,X,X
IOZJTLS,O,O,O,X,X,X,X,X,X,X,O,X
IOZJTSL,X,O,X,X,X,X,X,X,X,X,O,X
IOZJLTS,O,O,O,X,X,X,X,X,X,X,O,X
IOZJLST,O,O,O,X,X,X,X,X,X,X,X,X
IOZJSTL,X,O,O,X,X,X,X,X,X,X,X,X
IOZJSLT,X,O,O,X,X,X,X,X,X,X,X,X
IOZSTLJ,X,O,O,O,X,X,X,X,X,O,X,X
IOZSTJL,X,O,O,O,X,X,X,X,X,O,X,X
IOZSLTJ,X,O,O,X,X,X,X,X,X,O,X,X
IOZSLJT,X,O,O,X,X,X,X,X,X,O,X,X
IOZSJTL,X,O,O,X,X,X,X,X,X,O,X,X
IOZSJLT,X,O,O,X,X,X,X,X,X,O,X,X
LTIJSZO,X,O,X,O,O,X,O,X,O,X,X,X
LTIJSOZ,X,O,X,O,O,O,O,X,O,X,X,O
LTIJZSO,O,X,O,O,O,O,O,X,X,X,X,X
LTIJZOS,O,X,O,X,X,O,O,X,X,X,X,O
LTIJOSZ,X,X,X,O,O,O,O,X,O,X,O,O
LTIJOZS,O,X,O,X,X,O,O,X,X,X,O,O
LTISJZO,X,O,O,O,O,X,O,X,O,X,X,X
LTISJOZ,X,O,O,O,O,O,O,X,O,X,X,X
LTISZJO,X,O,O,O,O,X,O,X,O,O,X,X
LTISZOJ,X,X,O,X,O,X,X,X,X,O,X,X
LTISOJZ,X,O,O,O,O,X,O,O,X,X,X,X
LTISOZJ,X,O,O,O,X,X,X,X,X,O,X,X
LTIZJSO,O,O,O,O,O,O,O,X,X,O,X,X
LTIZJOS,O,O,O,X,X,O,O,X,X,X,X,X
LTIZSJO,O,O,O,X,X,O,X,X,X,O,X,X
LTIZSOJ,O,O,O,X,X,X,X,X,X,O,X,X
LTIZOJS,O,O,O,X,X,O,X,X,X,X,X,X
LTIZOSJ,O,O,O,X,X,X,X,X,X,O,X,X
LTIOJSZ,X,O,X,O,O,O,O,X,X,X,O,X
LTIOJZS,O,X,O,X,X,O,O,X,X,X,O,X
LTIOSJZ,X,O,O,X,X,X,O,X,X,X,O,X
LTIOSZJ,X,O,O,X,X,X,O,X,X,X,X,X
LTIOZJS,O,O,O,X,X,X,O,X,X,X,O,X
LTIOZSJ,O,O,O,X,X,X,X,X,X,X,X,X
LTJISZO,X,O,X,O,O,X,O,X,O,X,X,X
LTJISOZ,X,O,X,O,O,O,O,X,O,X,X,X
LTJIZSO,O,X,O,O,O,O,O,X,X,X,X,X
LTJIZOS,O,X,O,X,X,O,O,X,X,X,X,X
LTJIOSZ,X,X,X,O,O,O,O,X,O,X,X,X
LTJIOZS,O,X,O,X,X,O,O,X,X,X,X,X
LTJSIZO,X,O,O,O,O,X,O,X,O,X,X,X
LTJSIOZ,X,O,O,O,O,O,O,X,O,X,X,X
LTJSZIO,X,O,O,O,O,X,O,X,O,X,X,X
LTJSZOI,X,O,X,O,O,X,X,X,O,X,X,X
LTJSOIZ,X,O,X,O,O,O,O,O,O,X,X,X
LTJSOZI,X,O,X,O,O,O,O,O,O,X,X,X
LTJZISO,O,X,O,O,O,O,O,X,X,X,X,X
LTJZIOS,O,X,O,X,X,O,O,X,X,X,X,X
LTJZSIO,O,X,O,O,O,O,O,X,X,X,X,X
LTJZSOI,O,X,X,O,O,O,X,X,X,X,X,X
LTJZOIS,O,X,O,X,X,O,O,X,X,X,X,X
LTJZOSI,O,X,X,X,X,O,O,X,X,X,X,X
LTJOISZ,X,O,X,O,O,O,O,X,O,X,X,X
LTJOIZS,O,X,X,X,X,O,O,X,X,X,X,X
LTJOSIZ,X,O,X,O,O,O,O,X,O,X,X,X
LTJOSZI,X,O,X,O,O,O,O,X,O,X,X,X
LTJOZIS,O,X,O,X,X,O,O,X,X,X,X,X
LTJOZSI,O,X,X,X,X,O,O,X,X,X,X,X
LTSIJZO,X,O,O,O,O,X,O,X,O,X,X,X
LTSIJOZ,X,O,O,O,O,O,O,X,O,X,X,X
LTSIZJO,X,O,O,O,O,X,O,X,O,O,X,X
LTSIZOJ,X,X,O,X,O,X,X,X,X,O,X,X
LTSIOJZ,X,O,O,O,O,X,O,O,X,X,X,X
LTSIOZJ,X,O,O,O,X,X,X,X,X,O,X,X
LTSJIZO,X,O,O,O,O,X,O,X,X,X,X,X
LTSJIOZ,X,O,O,O,O,O,O,X,X,X,X,X
LTSJZIO,X,O,O,O,O,X,O,X,X,X,X,X
LTSJZOI,X,O,X,O,O,X,X,X,X,X,X,X
LTSJOIZ,X,O,X,O,O,O,O,O,X,X,X,X
LTSJOZI,X,O,X,O,O,O,O,O,X,X,X,X
LTSZIJO,X,O,O,O,O,X,O,X,O,O,X,X
LTSZIOJ,X,X,O,X,O,X,X,X,X,O,X,X
LTSZJIO,X,O,O,O,O,X,O,X,X,O,X,X
LTSZJOI,X,O,X,O,O,X,X,X,X,O,X,X
LTSZOIJ,X,O,X,O,O,X,X,X,X,O,X,X
LTSZOJI,X,O,X,O,O,X,X,O,X,O,X,X
LTSOIJZ,X,O,O,O,O,X,O,O,X,X,X,X
LTSOIZJ,X,O,O,O,X,X,O,X,X,O,X,X
LTSOJIZ,X,O,X,O,O,X,O,O,X,X,X,X
LTSOJZI,X,O,X,O,O,X,O,O,X,X,X,X
LTSOZIJ,X,O,X,O,O,X,O,X,X,O,X,X
LTSOZJI,X,O,X,O,O,X,O,O,X,O,X,X
LTZIJSO,O,O,O,O,O,O,O,X,X,O,X,X
LTZIJOS,O,O,O,X,X,O,O,X,X,X,X,X
LTZISJO,O,O,O,X,X,O,X,X,X,O,X,X
LTZISOJ,O,O,O,X,X,X,X,X,X,O,X,X
LTZIOJS,O,O,O,X,X,O,X,X,X,X,X,X
LTZIOSJ,O,O,O,X,X,X,X,X,X,O,X,X
LTZJISO,O,O,O,O,O,O,O,X,X,O,X,X
LTZJIOS,O,O,O,X,X,O,O,X,X,X,X,X
LTZJSIO,O,O,O,O,O,O,O,X,X,O,X,X
LTZJSOI,O,O,X,O,O,O,X,X,X,O,X,X
LTZJOIS,O,O,O,X,X,O,O,X,X,X,X,X
LTZJOSI,O,O,X,X,X,O,O,X,X,X,X,X
LTZSIJO,O,O,O,O,O,O,O,X,X,O,X,X
LTZSIOJ,O,O,O,X,O,X,X,X,X,O,X,X
LTZSJIO,O,O,O,O,O,O,O,X,X,O,X,X
LTZSJOI,O,O,X,O,O,O,X,X,X,O,X,X
LTZSOIJ,O,O,X,O,O,X,X,X,X,O,X,X
LTZSOJI,O,O,X,O,O,X,X,O,X,O,X,X
LTZOIJS,O,O,O,X,X,O,O,X,X,X,X,X
LTZOISJ,O,O,O,X,X,X,X,X,X,O,X,X
LTZOJIS,O,O,O,X,X,O,O,X,X,X,X,X
LTZOJSI,O,O,X,X,X,O,O,X,X,X,X,X
LTZOSIJ,O,O,X,X,X,X,O,X,X,O,X,X
LTZOSJI,O,O,X,X,X,X,O,X,X,O,X,X
LTOIJSZ,X,O,X,O,O,O,O,X,X,X,X,X
LTOIJZS,O,X,O,X,X,O,O,X,X,X,X,X
LTOISJZ,X,O,X,X,X,X,O,X,X,X,X,X
LTOISZJ,X,O,O,X,X,X,O,X,X,X,X,X
LTOIZJS,O,O,O,X,X,X,O,X,X,X,X,X
LTOIZSJ,O,O,O,X,X,X,X,X,X,X,X,X
LTOJISZ,X,O,X,O,O,O,O,X,X,X,X,X
LTOJIZS,O,X,X,X,X,O,O,X,X,X,X,X
LTOJSIZ,X,O,X,O,O,O,O,O,X,X,X,X
LTOJSZI,X,O,X,O,O,O,O,O,X,X,X,X
LTOJZIS,O,X,O,X,X,O,O,X,X,X,X,X
