sequence,v115@+gB8GeE8EeF8CeH8BeA8Jei6IvhFWhBxcBTeBXiBFo?B0sB,v115@+gB8GeE8EeF8CeH8BeA8Jei6IvhFWhBxcBTeBFnBXo?B0sB,v115@+gB8GeE8EeF8CeH8BeA8Jei6IvhFzbBWiBxdBUnBFo?BXtB,v115@+gB8GeE8EeF8CeH8BeA8Jei6IvhFzbBuhB3dBxnBls?BctB,v115@+gB8GeE8EeF8CeH8BeA8Jei6IvhFzbBFdBfnB5nBco?BOtB
TOIJZSL,X,X,X,O,X
TOISLJZ,O,X,X,O,O
TOISLZJ,O,X,X,X,O
TOISJLZ,O,X,X,O,O
TOISJZL,O,X,X,O,O
TOISZLJ,O,X,X,X,O
TOISZJL,O,X,X,X,O
TOIZLJS,X,X,O,O,X
TOIZLSJ,X,X,O,X,O
TOIZJLS,X,X,O,O,X
TOIZJSL,X,X,O,O,X
TOIZSLJ,X,X,O,X,O
TOIZSJL,X,X,O,X,O
TOLIJSZ,O,X,X,O,X
TOLIJZS,O,X,X,O,X
TOLISJZ,O,X,X,O,O
TOLISZJ,O,X,X,X,O
TOLIZJS,X,X,O,O,X
TOLIZSJ,X,X,O,X,O
TOLJISZ,O,O,X,O,X
TOLJIZS,O,X,X,O,X
TOLJSIZ,O,O,X,O,X
TOLJSZI,O,O,X,X,X
TOLJZIS,O,X,O,O,X
TOLJZSI,O,X,O,X,X
TOLSIJZ,O,O,X,O,O
TOLSIZJ,O,X,X,X,O
TOLSJIZ,O,O,X,O,O
TOLSJZI,O,O,X,X,X
TOLSZIJ,O,O,O,X,O
TOLSZJI,O,O,O,X,X
TOLZIJS,X,X,O,O,X
TOLZISJ,X,X,O,X,O
TOLZJIS,O,X,O,O,X
TOLZJSI,O,X,O,X,X
TOLZSIJ,O,X,O,X,O
TOLZSJI,O,X,O,X,X
TOJILSZ,O,O,X,O,X
TOJILZS,O,X,X,O,X
TOJISLZ,O,O,X,O,X
TOJISZL,O,O,X,O,X
TOJIZLS,O,X,X,O,X
TOJIZSL,X,X,X,O,X
TOJLISZ,O,O,X,O,X
TOJLIZS,O,X,X,O,X
TOJLSIZ,O,O,X,O,X
TOJLSZI,O,O,X,X,X
TOJLZIS,O,X,O,O,X
TOJLZSI,O,X,O,X,X
TOJSILZ,O,O,X,O,X
TOJSIZL,O,O,X,O,X
TOJSLIZ,O,O,X,O,X
TOJSLZI,O,O,X,X,X
TOJSZIL,O,O,X,X,X
TOJSZLI,O,O,X,X,X
TOJZILS,O,X,O,O,X
TOJZISL,X,X,O,O,X
TOJZLIS,O,X,O,O,X
TOJZLSI,O,X,O,X,X
TOJZSIL,O,X,O,X,X
TOJZSLI,O,X,O,X,X
TOSILJZ,O,O,X,O,O
TOSILZJ,O,X,X,X,O
TOSIJLZ,O,O,X,O,O
TOSIJZL,O,O,X,O,O
TOSIZLJ,O,X,X,X,O
TOSIZJL,O,X,X,X,O
TOSLIJZ,O,O,X,O,O
TOSLIZJ,O,X,X,X,O
TOSLJIZ,O,O,X,O,O
TOSLJZI,O,O,X,X,X
TOSLZIJ,O,O,O,X,O
TOSLZJI,O,O,O,X,X
TOSJILZ,O,O,X,O,O
TOSJIZL,O,O,X,O,O
TOSJLIZ,O,O,X,O,O
TOSJLZI,O,O,X,X,X
TOSJZIL,O,O,X,X,X
TOSJZLI,O,O,X,X,X
TOSZILJ,O,O,O,X,O
TOSZIJL,O,O,O,X,O
TOSZLIJ,O,O,O,X,O
TOSZLJI,O,O,O,X,X
TOSZJIL,O,O,O,X,X
TOSZJLI,O,O,O,X,X
TOZILJS,X,X,O,O,X
TOZILSJ,X,X,O,X,O
TOZIJLS,X,X,O,O,X
TOZIJSL,X,X,O,O,X
TOZISLJ,X,X,O,X,O
TOZISJL,X,X,O,X,O
TOZLIJS,X,X,O,O,X
TOZLISJ,X,X,O,X,O
TOZLJIS,O,X,O,O,X
TOZLJSI,O,X,O,X,X
TOZLSIJ,O,X,O,X,O
TOZLSJI,O,X,O,X,X
TOZJILS,O,X,O,O,X
TOZJISL,X,X,O,O,X
TOZJLIS,O,X,O,O,X
TOZJLSI,O,X,O,X,X
TOZJSIL,O,X,O,X,X
TOZJSLI,O,X,O,X,X
TOZSILJ,O,X,O,X,O
TOZSIJL,O,X,O,X,O
TOZSLIJ,O,X,O,X,O
TOZSLJI,O,X,O,X,X
