sequence,v115@9gC8GeB8HeC8GeC8DeA8Le3AJvhFcmBxiBdsBCoBWw?BTtB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFymBziB5oB0rBms?BXrB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFThBxiBesBStBXr?BUtB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFymBziB5oBXrBms?B0rB,v115@9gC8GeB8HeC8GeC8DeA8LeRBJvhF3iB9oB6qBOrBzr?BUtB,v115@9gC8GeB8HeC8GeC8DeA8Le3AJvhFtmB5oB8qBznByw?BmsB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFxiBmmBCoB0rBTt?BXrB,v115@9gC8GeB8HeC8GeC8DeA8Le3AJvhF9mBSoBzqBxsBes?BUtB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFThBSoBXrBxsBes?BUtB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFmhBCjB0rBxsBXr?BTtB,v115@9gC8GeB8HeC8GeC8DeA8Le3AJvhFtmBziB5oB8qBms?BywB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFxiBmmBCoBXrBTt?B0rB,v115@9gC8GeB8HeC8GeC8DeA8Le3AJvhFcmBxnBdsBCoBWw?BTtB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFzhB0rBxsBerBft?B6tB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFThBXjByrB+tB0n?BRwB,v115@9gC8GeB8HeC8GeC8DeA8Le9GJvhFxiB0lBesBftB6t?BzqB,v115@9gC8GeB8HeC8GeC8DeA8LemCJvhF5oB0lBdsBftBTr?BCrB
IZOTJLS,X,O,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X
IZOTJSL,X,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
IZOTSLJ,X,X,X,X,O,O,X,O,X,O,X,X,X,O,X,X,O
IZOTSJL,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,O
IZOLTJS,X,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X
IZOLTSJ,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IZOLJTS,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IZOLJST,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IZOLSJT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOJTLS,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IZOJTSL,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IZOJLTS,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
IZOJLST,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IZOJSTL,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IZOJSLT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IZOSTLJ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
IZOSTJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IZOSLTJ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOSLJT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOSJTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IZOSJLT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOTLJSZ,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X
IOTLJZS,O,X,X,X,X,O,O,O,X,O,X,X,X,X,O,X,X
IOTLSJZ,O,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X
IOTLSZJ,O,X,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X
IOTLZJS,O,X,X,X,X,O,O,O,X,O,X,X,X,X,O,X,X
IOTLZSJ,O,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
IOTJLSZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOTJLZS,O,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X
IOTJSLZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOTJSZL,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
IOTJZLS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTJZSL,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
IOTSLJZ,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X
IOTSLZJ,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
IOTSJLZ,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X
IOTSJZL,O,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X,O
IOTSZLJ,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,O
IOTSZJL,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O
IOTZLJS,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X
IOTZLSJ,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X
IOTZJLS,O,O,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X
IOTZJSL,O,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
IOTZSLJ,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,O
IOTZSJL,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
IOLTJSZ,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X
IOLTJZS,O,X,X,X,X,O,O,O,X,O,X,X,X,X,O,X,X
IOLTSJZ,O,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X
IOLTSZJ,O,X,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X
IOLTZJS,O,X,X,X,O,O,O,O,X,O,X,X,X,X,O,X,X
IOLTZSJ,O,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
IOLJTSZ,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X
IOLJTZS,O,X,X,X,O,O,O,O,X,X,X,X,X,X,O,X,X
IOLJSTZ,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X
IOLJSZT,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IOLJZTS,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOLJZST,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
IOLSTJZ,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
IOLSTZJ,O,X,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X
IOLSJTZ,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOLSJZT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLSZTJ,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
IOLSZJT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLZTJS,O,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X
IOLZTSJ,O,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
IOLZJTS,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOLZJST,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOLZSTJ,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
IOLZSJT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJTLSZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOJTLZS,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X
IOJTSLZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOJTSZL,O,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X
IOJTZLS,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
IOJTZSL,O,O,X,O,O,X,X,O,X,X,O,X,O,X,X,X,X
IOJLTSZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOJLTZS,O,O,X,O,X,O,X,O,X,X,O,X,X,X,O,X,X
IOJLSTZ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOJLSZT,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IOJLZTS,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
IOJLZST,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
IOJSTLZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOJSTZL,X,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X
IOJSLTZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
IOJSLZT,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IOJSZTL,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
IOJSZLT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
IOJZTLS,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IOJZTSL,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
IOJZLTS,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
IOJZLST,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
IOJZSTL,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
IOJZSLT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
IOSTLJZ,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X
IOSTLZJ,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
IOSTJLZ,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X
IOSTJZL,X,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X,O
IOSTZLJ,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,O
IOSTZJL,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O
IOSLTJZ,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
IOSLTZJ,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X
IOSLJTZ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOSLJZT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSLZTJ,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
IOSLZJT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSJTLZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSJTZL,X,X,X,O,X,X,X,O,X,X,O,X,O,X,X,X,O
IOSJLTZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSJLZT,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IOSJZTL,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O
IOSJZLT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
IOSZTLJ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
IOSZTJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IOSZLTJ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOSZLJT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSZJTL,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O
IOSZJLT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
IOZTLJS,X,O,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X
IOZTLSJ,X,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X
IOZTJLS,X,O,X,X,O,X,O,O,X,O,X,X,X,O,X,X,X
IOZTJSL,X,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
IOZTSLJ,X,X,X,X,O,O,X,O,X,O,X,X,X,O,X,X,O
IOZTSJL,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,O
IOZLTJS,X,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X
IOZLTSJ,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IOZLJTS,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOZLJST,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOZLSTJ,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
IOZLSJT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZJTLS,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IOZJTSL,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
IOZJLTS,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
IOZJLST,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
IOZJSTL,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
IOZJSLT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
IOZSTLJ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
IOZSTJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IOZSLTJ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOZSLJT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZSJTL,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O
IOZSJLT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
LTIJSZO,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X
LTIJSOZ,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIJZSO,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
LTIJZOS,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
LTIJOSZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJOZS,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
LTISJZO,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O
LTISJOZ,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
LTISZJO,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O
LTISZOJ,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O
LTISOJZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTISOZJ,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTIZJSO,O,O,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X
LTIZJOS,O,O,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X
LTIZSJO,O,O,X,X,O,O,X,X,O,O,X,X,X,O,X,X,O
LTIZSOJ,O,X,O,X,O,O,X,X,O,X,X,X,X,O,X,X,O
LTIZOJS,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTIZOSJ,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
LTIOJSZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOJZS,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTIOSJZ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIOSZJ,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTIOZJS,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
LTIOZSJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJISZO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJISOZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJIZSO,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJIZOS,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJIOSZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJIOZS,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJSIZO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LTJSIOZ,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X
LTJSZIO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSZOI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
LTJSOIZ,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
LTJSOZI,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
LTJZISO,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJZIOS,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTJZSIO,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJZSOI,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTJZOIS,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
LTJZOSI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTJOISZ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOIZS,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJOSIZ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOSZI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOZIS,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJOZSI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSIJZO,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O
LTSIJOZ,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
LTSIZJO,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O
LTSIZOJ,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O
LTSIOJZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSIOZJ,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTSJIZO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
LTSJIOZ,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
LTSJZIO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
LTSJZOI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
LTSJOIZ,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
LTSJOZI,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
LTSZIJO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
LTSZIOJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
LTSZJIO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O
LTSZJOI,O,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X
LTSZOIJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSZOJI,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSOIJZ,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
LTSOIZJ,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
LTSOJIZ,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
LTSOJZI,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
LTSOZIJ,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LTSOZJI,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
LTZIJSO,O,O,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X
LTZIJOS,O,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X
LTZISJO,O,O,X,X,O,O,X,X,X,O,X,X,X,O,X,X,O
LTZISOJ,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,O
LTZIOJS,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
LTZIOSJ,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
LTZJISO,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTZJIOS,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTZJSIO,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTZJSOI,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTZJOIS,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTZJOSI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTZSIJO,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O
LTZSIOJ,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
LTZSJIO,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
LTZSJOI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTZSOIJ,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTZSOJI,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTZOIJS,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTZOISJ,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTZOJIS,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTZOJSI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTZOSIJ,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTZOSJI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTOIJSZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTOIJZS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
LTOISJZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTOISZJ,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
LTOIZJS,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTOIZSJ,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTOJISZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTOJIZS,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTOJSIZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTOJSZI,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTOJZIS,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTOJZSI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTOSIJZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTOSIZJ,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
LTOSJIZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTOSJZI,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTOSZIJ,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
LTOSZJI,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
LTOZIJS,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTOZISJ,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTOZJIS,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTOZJSI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTOZSIJ,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LTOZSJI,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
LITJSZO,O,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X
LITJSOZ,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
LITJZSO,O,O,O,X,O,O,X,X,X,O,X,X,X,X,O,X,X
LITJZOS,O,O,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X
LITJOSZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LITJOZS,O,O,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X
LITSJZO,O,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,O
LITSJOZ,X,X,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X
LITSZJO,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O
LITSZOJ,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O
LITSOJZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
LITSOZJ,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LITZJSO,O,O,O,X,O,O,X,X,X,O,X,X,X,O,O,X,X
LITZJOS,O,O,X,X,X,O,O,X,X,O,X,X,X,O,O,X,X
LITZSJO,O,O,X,X,O,O,X,X,O,O,X,X,X,O,X,X,O
LITZSOJ,O,X,O,X,O,O,X,X,O,X,X,X,X,O,X,X,O
LITZOJS,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X
LITZOSJ,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
LITOJSZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
LITOJZS,O,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X
LITOSJZ,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X
LITOSZJ,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
LITOZJS,X,X,X,X,O,O,X,O,X,O,X,X,X,X,O,X,X
LITOZSJ,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LIJTSZO,O,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X
LIJTSOZ,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
LIJTZSO,O,O,O,X,O,O,X,X,X,O,O,X,X,X,O,X,X
LIJTZOS,O,O,X,O,O,O,X,X,X,O,O,X,X,X,O,X,X
LIJTOSZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LIJTOZS,O,O,X,O,X,O,X,X,X,O,O,X,X,X,O,X,X
LIJSTZO,O,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
LIJSTOZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
LIJSZTO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X
LIJSZOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LIJSOTZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LIJSOZT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LIJZTSO,O,O,O,X,O,O,X,X,X,O,O,X,X,X,O,X,X
LIJZTOS,O,O,X,X,O,O,X,X,X,O,O,X,X,X,O,X,X
LIJZSTO,X,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X
LIJZSOT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LIJZOTS,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
LIJZOST,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LIJOTSZ,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
LIJOTZS,O,O,X,O,X,O,X,O,X,X,O,X,X,X,O,X,X
LIJOSTZ,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
LIJOSZT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LIJOZTS,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
LIJOZST,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LISTJZO,O,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,O
