sequence,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFRdBcjB6mBO?nBzlBtsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeR8IvhF3dBcjB6lBO?mBzmBtsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFRdBSjBThBN?nBWrB8sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFyhBTeBXmBm?nB5nB0rB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFicB+iBTeB3?hB8sBRwB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFTeBxhBXmBm?nB0mB6sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFRdBcjBzlBC?nBmmBtsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFTcBKiBcjBX?mBRsBusB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFyhBTeB0mBm?nB5nBXrB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JecDJvhFxgBXiBzlBt?sBGrBisB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je39IvhFcjBxgBanBG?mBtsBzqB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFTcBxdBenBC?jBXmB8sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je39IvhFcjBxgBulBi?mBtsBzrB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhF0hBxiBOoBz?lB9sBCsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhF9hBKiBcjBz?lBRsBusB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFKhBzcBGeB3?iB8sBRwB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFthBTeB8lBm?nBxrB6sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeR8IvhFGeBXhBdoBz?mB0lB6sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeT+IvhF6lBxhBUhBm?nB3mB9sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFCdBTeBxmB8?sBerBXsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeR8IvhFTeB0gBmhBf?oBSrB9sB
JZTOILS,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X
JZTOISL,O,O,O,X,O,O,X,X,O,O,O,O,X,X,X,O,O,X,X,O,X
JZTOLIS,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JZTOLSI,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JZTOSIL,O,O,O,O,O,O,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X
JZTOSLI,O,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X
JZITLSO,O,O,O,X,O,X,X,O,O,X,O,O,O,X,X,O,O,X,X,O,X
JZITLOS,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,O,X
JZITSLO,O,O,O,X,O,X,X,X,O,X,O,O,O,X,X,O,O,X,X,O,X
JZITSOL,O,O,O,X,O,X,X,X,O,O,O,O,O,X,X,O,O,X,X,O,X
JZITOLS,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X
JZITOSL,O,O,O,X,O,X,X,X,O,X,O,O,X,X,X,O,O,X,X,O,X
JZILTSO,X,X,O,X,O,X,X,O,X,X,O,O,X,X,X,O,O,X,X,X,X
JZILTOS,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
JZILSTO,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X
JZILSOT,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JZILOTS,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
JZILOST,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JZISTLO,O,O,O,X,O,X,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X
JZISTOL,O,X,O,X,O,X,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X
JZISLTO,O,O,O,X,O,X,X,O,X,X,X,O,O,X,X,O,O,X,X,X,X
JZISLOT,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JZISOTL,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X
JZISOLT,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JZIOTLS,X,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X,X,O,X
JZIOTSL,O,O,O,X,O,X,X,X,O,O,O,O,X,X,O,O,O,X,X,O,X
JZIOLTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
JZIOLST,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZIOSTL,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
JZIOSLT,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLTISO,O,O,O,X,X,X,X,X,O,X,O,O,X,X,X,O,O,X,X,X,X
JZLTIOS,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X
JZLTSIO,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JZLTSOI,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O
JZLTOIS,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JZLTOSI,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JZLITSO,X,O,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
JZLITOS,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JZLISTO,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JZLISOT,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZLIOTS,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JZLIOST,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JZLSTIO,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JZLSTOI,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O
JZLSITO,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JZLSIOT,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZLSOTI,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O
JZLSOIT,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZLOTIS,X,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JZLOTSI,X,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JZLOITS,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JZLOIST,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JZLOSTI,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,O
JZLOSIT,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZSTILO,O,O,O,O,O,X,X,O,O,X,O,O,O,X,X,O,O,X,X,X,X
JZSTIOL,O,O,O,O,O,O,X,O,O,X,O,O,O,X,X,O,O,X,X,X,X
JZSTLIO,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X
JZSTLOI,O,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JZSTOIL,O,O,O,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
JZSTOLI,O,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O
JZSITLO,O,O,O,X,O,X,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X
JZSITOL,O,O,O,X,O,X,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X
JZSILTO,O,O,O,X,O,X,X,O,X,X,X,O,O,X,X,O,O,X,X,X,X
JZSILOT,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JZSIOTL,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X
JZSIOLT,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JZSLTIO,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JZSLTOI,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O
JZSLITO,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JZSLIOT,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZSLOTI,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O
JZSLOIT,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZSOTIL,O,X,O,O,O,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X
JZSOTLI,O,X,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O
JZSOITL,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
JZSOILT,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JZSOLTI,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,O
JZSOLIT,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZOTILS,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X,X,O,X
JZOTISL,O,O,O,X,O,O,X,X,O,O,O,O,X,X,O,O,O,X,X,O,X
JZOTLIS,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JZOTLSI,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JZOTSIL,O,O,O,O,O,O,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X
JZOTSLI,O,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JZOITLS,X,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X,X,O,X
JZOITSL,O,O,O,X,O,X,X,X,O,O,O,O,X,X,O,O,O,X,X,O,X
JZOILTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
JZOILST,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOISTL,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
JZOISLT,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOLTIS,O,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JZOLTSI,O,X,O,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JZOLITS,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JZOLIST,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JZOLSTI,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,O
JZOLSIT,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZOSTIL,O,X,O,O,O,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X
JZOSTLI,O,X,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O
JZOSITL,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,O,O,X,X,X
JZOSILT,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JZOSLTI,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,O
JZOSLIT,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JOTILSZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JOTILZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
JOTISLZ,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
JOTISZL,O,O,O,O,X,O,X,X,X,O,X,O,X,O,O,X,O,O,X,X,X
JOTIZLS,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X
JOTIZSL,O,O,O,X,O,O,X,X,O,O,O,X,X,O,O,O,O,X,X,X,X
JOTLISZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTLIZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JOTLSIZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOTLSZI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOTLZIS,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JOTLZSI,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JOTSILZ,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
JOTSIZL,O,O,O,O,X,O,X,X,X,X,X,O,X,O,O,X,O,O,X,X,X
JOTSLIZ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JOTSLZI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JOTSZIL,O,O,O,O,X,O,X,X,O,O,X,O,X,O,O,X,O,O,X,X,X
JOTSZLI,O,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X
JOTZILS,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X,X,O,X
JOTZISL,O,O,O,X,O,O,X,X,O,O,O,O,X,O,O,O,O,X,X,O,X
JOTZLIS,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JOTZLSI,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JOTZSIL,O,O,O,O,O,O,X,X,O,O,X,O,X,O,O,X,O,O,X,X,X
JOTZSLI,O,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X
JOITLSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JOITLZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
JOITSLZ,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JOITSZL,X,O,O,O,X,O,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X
JOITZLS,X,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X
JOITZSL,X,O,O,X,O,O,X,X,O,O,O,X,X,X,O,O,O,X,X,X,X
JOILTSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOILTZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
JOILSTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOILSZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOILZTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
JOILZST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JOISTLZ,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
JOISTZL,X,O,O,O,X,O,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X
JOISLTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOISLZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISZTL,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X
JOISZLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOIZTLS,X,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X
JOIZTSL,X,O,O,X,O,X,X,X,O,O,O,X,X,X,O,O,O,X,X,X,X
JOIZLTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
JOIZLST,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOIZSTL,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X
JOIZSLT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOLTISZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTIZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JOLTSIZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTSZI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTZIS,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JOLTZSI,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JOLITSZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLITZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JOLISTZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLISZT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOLIZTS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JOLIZST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JOLSTIZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSTZI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOLSITZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOLSIZT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
JOLSZTI,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JOLSZIT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOLZTIS,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JOLZTSI,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JOLZITS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOLZIST,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOLZSTI,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JOLZSIT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOSTILZ,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
JOSTIZL,O,O,O,O,X,O,X,X,X,X,X,O,X,O,O,X,O,O,X,X,X
JOSTLIZ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JOSTLZI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JOSTZIL,O,O,O,O,X,O,X,X,O,X,X,O,X,O,O,X,O,O,X,X,X
JOSTZLI,O,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X
JOSITLZ,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
JOSITZL,X,O,O,O,X,O,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X
JOSILTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOSILZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSIZTL,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X
JOSIZLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOSLTIZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOSLTZI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOSLITZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOSLIZT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
JOSLZTI,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JOSLZIT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JOSZTIL,O,X,O,O,X,O,X,X,O,X,X,O,X,O,O,X,O,X,X,X,X
JOSZTLI,O,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O
JOSZITL,O,X,O,X,X,X,X,X,X,X,X,O,X,O,O,X,O,O,X,X,X
JOSZILT,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JOSZLTI,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,O
JOSZLIT,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JOZTILS,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X,X,O,X
JOZTISL,O,O,O,X,O,O,X,X,O,O,O,O,X,O,O,O,O,X,X,O,X
JOZTLIS,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JOZTLSI,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JOZTSIL,O,O,O,O,O,O,X,X,O,O,X,O,X,O,O,X,O,X,X,X,X
JOZTSLI,O,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JOZITLS,X,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X,X,O,X
JOZITSL,O,O,O,X,O,X,X,X,O,O,O,O,X,X,O,O,O,X,X,O,X
JOZILTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
JOZILST,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOZISTL,O,X,O,X,O,X,X,X,X,X,X,O,X,O,O,O,O,X,X,X,X
JOZISLT,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOZLTIS,O,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JOZLTSI,O,X,O,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JOZLITS,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JOZLIST,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JOZLSTI,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,O
JOZLSIT,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JOZSTIL,O,X,O,O,O,O,X,X,O,X,X,O,X,O,O,X,O,X,X,X,X
JOZSTLI,O,X,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O
JOZSITL,O,X,O,X,O,X,X,X,X,X,X,O,X,O,O,O,O,O,X,X,X
JOZSILT,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JOZSLTI,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,O
JOZSLIT,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
STILJZO,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
STILJOZ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
STILZJO,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
STILZOJ,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X
STILOJZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
STILOZJ,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
STIJLZO,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
STIJLOZ,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
STIJZLO,O,X,O,O,O,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X
STIJZOL,O,X,O,O,O,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
STIJOLZ,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
STIJOZL,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
STIZLJO,O,X,O,X,O,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X
STIZLOJ,O,X,O,X,O,X,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X
STIZJLO,O,X,O,X,O,X,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X
STIZJOL,O,X,O,X,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X,X,X
STIZOLJ,O,X,O,X,O,X,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X
STIZOJL,O,X,X,X,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X,X,X
STIOLJZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STIOLZJ,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
STIOJLZ,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
STIOJZL,O,X,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
STIOZLJ,O,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
STIOZJL,O,X,X,X,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
STLIJZO,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLIJOZ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLIZJO,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
STLIZOJ,O,O,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
STLIOJZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLIOZJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLJIZO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLJIOZ,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
STLJZIO,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
STLJZOI,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
STLJOIZ,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
STLJOZI,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
STLZIJO,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
