sequence,v115@zgA8BeB8EeA8BeB8EeD8FeE8CeA8AeE8DeA8Jez6Iv?hFCdBejB5jBlmB0sBXsB,v115@zgA8BeB8EeA8BeB8EeD8FeE8CeA8AeE8DeA8Jez6Iv?hFfiBldB5jB8nB6rB2xB,v115@zgA8BeB8EeA8BeB8EeD8FeE8CeA8AeE8DeA8Jez6Iv?hFCdBejB5jBlmBXsB0sB,v115@zgA8BeB8EeA8BeB8EeD8FeE8CeA8AeE8DeA8Jez6Iv?hFUdB5jBlmB3nBatBWxB,v115@zgA8BeB8EeA8BeB8EeD8FeE8CeA8AeE8DeA8Jez6Iv?hFRdB1mBGoBXnBSxBctB
SITZJOL,O,X,X,O,X
SITZOLJ,O,X,X,O,X
SITZOJL,O,X,X,O,X
SITOLJZ,O,X,O,O,X
SITOLZJ,X,X,X,O,X
SITOJLZ,O,X,O,O,X
SITOJZL,O,X,O,O,X
SITOZLJ,O,X,X,O,X
SITOZJL,O,X,X,O,X
SILTJZO,X,X,X,O,X
SILTJOZ,X,X,X,O,X
SILTZJO,X,O,X,O,X
SILTZOJ,X,O,X,O,X
SILTOJZ,X,X,X,O,X
SILTOZJ,X,O,X,O,X
SILJTZO,X,O,O,X,X
SILJTOZ,X,O,O,X,X
SILJZTO,X,O,X,X,X
SILJZOT,X,O,X,X,X
SILJOTZ,X,O,O,X,X
SILJOZT,X,O,X,X,X
SILZTJO,X,O,X,X,X
SILZTOJ,X,O,X,X,X
SILZJTO,X,O,X,X,X
SILZJOT,X,O,X,X,X
SILZOTJ,X,O,X,X,X
SILZOJT,X,O,X,X,X
SILOTJZ,X,X,X,O,X
SILOTZJ,X,O,X,O,X
SILOJTZ,X,O,O,X,X
SILOJZT,X,O,X,X,X
SILOZTJ,X,O,X,X,X
SILOZJT,X,O,X,X,X
SIJTLZO,X,X,O,O,X
SIJTLOZ,O,X,O,O,X
SIJTZLO,O,O,O,O,X
SIJTZOL,O,O,O,O,X
SIJTOLZ,O,X,O,O,X
SIJTOZL,O,O,O,O,X
SIJLTZO,X,X,O,X,X
SIJLTOZ,X,X,O,X,X
SIJLZTO,X,O,X,X,X
SIJLZOT,X,O,X,X,X
SIJLOTZ,X,X,O,X,X
SIJLOZT,X,O,X,X,X
SIJZTLO,O,O,O,X,X
SIJZTOL,O,O,O,X,X
SIJZLTO,X,O,X,X,X
SIJZLOT,X,O,X,X,X
SIJZOTL,O,O,O,X,X
SIJZOLT,X,O,X,X,X
SIJOTLZ,O,X,O,O,X
SIJOTZL,O,O,O,O,X
SIJOLTZ,X,X,O,X,X
SIJOLZT,X,O,X,X,X
SIJOZTL,O,O,O,X,X
SIJOZLT,X,O,X,X,X
SIZTLJO,O,X,X,O,X
SIZTLOJ,O,X,X,O,X
SIZTJLO,O,X,X,O,X
SIZTJOL,O,X,X,O,X
SIZTOLJ,O,X,X,O,X
SIZTOJL,O,X,X,O,X
SIZLTJO,X,O,X,X,X
SIZLTOJ,X,O,X,X,X
SIZLJTO,X,O,X,X,X
SIZLJOT,X,O,X,X,X
SIZLOTJ,X,O,X,X,X
SIZLOJT,X,O,X,X,X
SIZJTLO,O,O,O,X,X
SIZJTOL,O,O,O,X,X
SIZJLTO,X,O,X,X,X
SIZJLOT,X,O,X,X,X
SIZJOTL,O,O,O,X,X
SIZJOLT,X,O,X,X,X
SIZOTLJ,O,X,X,O,X
SIZOTJL,O,X,X,O,X
SIZOLTJ,X,O,X,X,X
SIZOLJT,X,O,X,X,X
SIZOJTL,O,O,O,X,X
SIZOJLT,X,O,X,X,X
SIOTLJZ,O,X,O,O,X
SIOTLZJ,X,X,X,O,X
SIOTJLZ,O,X,O,O,X
SIOTJZL,O,X,O,O,X
SIOTZLJ,O,X,X,O,X
SIOTZJL,O,X,X,O,X
SIOLTJZ,X,X,X,O,X
SIOLTZJ,X,O,X,O,X
SIOLJTZ,X,O,O,X,X
SIOLJZT,X,O,X,X,X
SIOLZTJ,X,O,X,X,X
SIOLZJT,X,O,X,X,X
SIOJTLZ,O,X,O,O,X
SIOJTZL,O,O,O,O,X
SIOJLTZ,X,X,O,X,X
SIOJLZT,X,O,X,X,X
SIOJZTL,O,O,O,X,X
SIOJZLT,X,O,X,X,X
SIOZTLJ,O,X,X,O,X
SIOZTJL,O,X,X,O,X
SIOZLTJ,X,O,X,X,X
SIOZLJT,X,O,X,X,X
SIOZJTL,O,O,O,X,X
SIOZJLT,X,O,X,X,X
SLTIJZO,X,X,O,O,X
SLTIJOZ,X,X,O,O,X
SLTIZJO,X,O,X,O,X
SLTIZOJ,X,O,X,O,X
SLTIOJZ,X,X,O,O,X
SLTIOZJ,X,O,X,O,X
SLTJIZO,X,X,O,X,O
SLTJIOZ,X,X,O,X,O
SLTJZIO,X,X,O,X,O
SLTJZOI,X,X,O,X,O
SLTJOIZ,X,X,O,X,O
SLTJOZI,X,X,O,X,O
SLTZIJO,X,O,X,O,X
SLTZIOJ,X,O,X,O,X
SLTZJIO,X,O,O,X,X
SLTZJOI,X,O,O,X,X
SLTZOIJ,X,O,X,O,X
SLTZOJI,X,O,O,X,X
SLTOIJZ,X,X,O,O,X
SLTOIZJ,X,O,X,O,X
SLTOJIZ,X,X,O,X,O
SLTOJZI,X,X,O,X,O
SLTOZIJ,X,O,X,O,X
SLTOZJI,X,O,O,X,X
SLITJZO,X,X,X,O,X
SLITJOZ,X,X,X,O,X
SLITZJO,X,O,X,O,X
SLITZOJ,X,O,X,O,X
SLITOJZ,X,X,X,O,X
SLITOZJ,X,O,X,O,X
SLIJTZO,X,O,O,X,X
SLIJTOZ,X,O,O,X,X
SLIJZTO,X,O,X,X,X
SLIJZOT,X,O,X,X,X
SLIJOTZ,X,O,O,X,X
SLIJOZT,X,O,X,X,X
SLIZTJO,X,O,X,X,X
SLIZTOJ,X,O,X,X,X
SLIZJTO,X,O,X,X,X
SLIZJOT,X,O,X,X,X
SLIZOTJ,X,O,X,X,X
SLIZOJT,X,O,X,X,X
SLIOTJZ,X,X,X,O,X
SLIOTZJ,X,O,X,O,X
SLIOJTZ,X,O,O,X,X
SLIOJZT,X,O,X,X,X
SLIOZTJ,X,O,X,X,X
SLIOZJT,X,O,X,X,X
SLJTIZO,X,O,O,X,O
SLJTIOZ,X,O,O,X,O
SLJTZIO,X,O,O,X,O
SLJTZOI,X,O,O,X,O
SLJTOIZ,X,O,O,X,O
SLJTOZI,X,O,O,X,O
SLJITZO,X,O,O,X,X
SLJITOZ,X,O,O,X,X
SLJIZTO,X,O,X,X,X
SLJIZOT,X,O,X,X,X
SLJIOTZ,X,O,O,X,X
SLJIOZT,X,O,X,X,X
SLJZTIO,X,O,X,X,X
SLJZTOI,X,O,X,X,X
SLJZITO,X,O,X,X,X
SLJZIOT,X,O,X,X,X
SLJZOTI,X,O,X,X,X
SLJZOIT,X,O,X,X,X
SLJOTIZ,X,O,O,X,O
SLJOTZI,X,O,O,X,O
SLJOITZ,X,O,O,X,X
SLJOIZT,X,O,X,X,X
SLJOZTI,X,O,X,X,X
SLJOZIT,X,O,X,X,X
SLZTIJO,X,O,X,X,X
SLZTIOJ,X,O,X,X,X
SLZTJIO,X,O,X,X,X
SLZTJOI,X,O,X,X,X
SLZTOIJ,X,O,X,X,X
SLZTOJI,X,O,X,X,X
SLZITJO,X,O,X,X,X
SLZITOJ,X,O,X,X,X
SLZIJTO,X,O,X,X,X
SLZIJOT,X,O,X,X,X
SLZIOTJ,X,O,X,X,X
SLZIOJT,X,O,X,X,X
SLZJTIO,X,O,X,X,X
SLZJTOI,X,O,X,X,X
SLZJITO,X,O,X,X,X
SLZJIOT,X,O,X,X,X
SLZJOTI,X,O,X,X,X
SLZJOIT,X,O,X,X,X
SLZOTIJ,X,O,X,X,X
SLZOTJI,X,O,X,X,X
SLZOITJ,X,O,X,X,X
SLZOIJT,X,O,X,X,X
SLZOJTI,X,O,X,X,X
SLZOJIT,X,O,X,X,X
SLOTIJZ,X,X,O,O,X
SLOTIZJ,X,O,X,O,X
SLOTJIZ,X,X,O,X,O
SLOTJZI,X,X,O,X,O
SLOTZIJ,X,O,X,O,X
SLOTZJI,X,O,O,X,X
SLOITJZ,X,X,X,O,X
SLOITZJ,X,O,X,O,X
SLOIJTZ,X,O,O,X,X
SLOIJZT,X,O,X,X,X
SLOIZTJ,X,O,X,X,X
SLOIZJT,X,O,X,X,X
SLOJTIZ,X,O,O,X,O
SLOJTZI,X,O,O,X,O
SLOJITZ,X,O,O,X,X
SLOJIZT,X,O,X,X,X
SLOJZTI,X,O,X,X,X
SLOJZIT,X,O,X,X,X
SLOZTIJ,X,O,X,X,X
SLOZTJI,X,O,X,X,X
SLOZITJ,X,O,X,X,X
SLOZIJT,X,O,X,X,X
SLOZJTI,X,O,X,X,X
SLOZJIT,X,O,X,X,X
SJTILZO,X,X,O,O,X
SJTILOZ,O,X,O,O,X
SJTIZLO,O,O,O,O,X
SJTIZOL,O,O,O,O,X
SJTIOLZ,O,X,O,O,X
SJTIOZL,O,O,O,O,X
SJTLIZO,X,X,O,X,O
SJTLIOZ,O,X,O,X,O
SJTLZIO,X,X,O,X,O
SJTLZOI,X,X,O,X,O
SJTLOIZ,O,X,O,X,O
SJTLOZI,X,X,O,X,O
SJTZILO,X,O,O,O,X
SJTZIOL,X,O,O,O,X
SJTZLIO,X,O,O,X,X
SJTZLOI,X,O,O,X,X
SJTZOIL,X,O,O,O,X
SJTZOLI,X,O,O,X,X
SJTOILZ,O,X,O,O,X
SJTOIZL,O,O,O,O,X
SJTOLIZ,O,X,O,X,O
SJTOLZI,X,X,O,X,O
SJTOZIL,X,O,O,O,X
SJTOZLI,X,O,O,X,X
SJITLZO,X,X,O,O,X
SJITLOZ,O,X,O,O,X
SJITZLO,O,O,O,O,X
SJITZOL,O,O,O,O,X
SJITOLZ,O,X,O,O,X
SJITOZL,O,O,O,O,X
SJILTZO,X,X,O,X,X
SJILTOZ,X,X,O,X,X
SJILZTO,X,O,X,X,X
SJILZOT,X,O,X,X,X
SJILOTZ,X,X,O,X,X
SJILOZT,X,O,X,X,X
SJIZTLO,O,O,O,X,X
SJIZTOL,O,O,O,X,X
SJIZLTO,X,O,X,X,X
SJIZLOT,X,O,X,X,X
SJIZOTL,O,O,O,X,X
SJIZOLT,X,O,X,X,X
SJIOTLZ,O,X,O,O,X
SJIOTZL,O,O,O,O,X
SJIOLTZ,X,X,O,X,X
SJIOLZT,X,O,X,X,X
SJIOZTL,O,O,O,X,X
SJIOZLT,X,O,X,X,X
SJLTIZO,X,X,O,X,O
SJLTIOZ,X,X,O,X,O
SJLTZIO,X,X,O,X,O
SJLTZOI,X,X,O,X,O
SJLTOIZ,X,X,O,X,O
SJLTOZI,X,X,O,X,O
SJLITZO,X,X,O,X,X
SJLITOZ,X,X,O,X,X
SJLIZTO,X,O,X,X,X
SJLIZOT,X,O,X,X,X
SJLIOTZ,X,X,O,X,X
SJLIOZT,X,O,X,X,X
SJLZTIO,X,O,X,X,X
SJLZTOI,X,O,X,X,X
SJLZITO,X,O,X,X,X
SJLZIOT,X,O,X,X,X
SJLZOTI,X,O,X,X,X
SJLZOIT,X,O,X,X,X
SJLOTIZ,X,X,O,X,O
SJLOTZI,X,X,O,X,O
SJLOITZ,X,X,O,X,X
SJLOIZT,X,O,X,X,X
SJLOZTI,X,O,X,X,X
SJLOZIT,X,O,X,X,X
SJZTILO,O,O,O,X,X
SJZTIOL,O,O,O,X,X
SJZTLIO,O,O,O,X,X
SJZTLOI,O,O,O,X,X
SJZTOIL,O,O,O,X,X
SJZTOLI,O,O,O,X,X
SJZITLO,O,O,O,X,X
SJZITOL,O,O,O,X,X
SJZILTO,X,O,X,X,X
SJZILOT,X,O,X,X,X
SJZIOTL,O,O,O,X,X
SJZIOLT,X,O,X,X,X
SJZLTIO,X,O,X,X,X
SJZLTOI,X,O,X,X,X
SJZLITO,X,O,X,X,X
SJZLIOT,X,O,X,X,X
SJZLOTI,X,O,X,X,X
SJZLOIT,X,O,X,X,X
SJZOTIL,O,O,O,X,X
SJZOTLI,O,O,O,X,X
SJZOITL,O,O,O,X,X
SJZOILT,X,O,X,X,X
SJZOLTI,X,O,X,X,X
SJZOLIT,X,O,X,X,X
SJOTILZ,O,X,O,O,X
SJOTIZL,O,O,O,O,X
SJOTLIZ,O,X,O,X,O
SJOTLZI,X,X,O,X,O
SJOTZIL,X,O,O,O,X
SJOTZLI,X,O,O,X,X
SJOITLZ,O,X,O,O,X
SJOITZL,O,O,O,O,X
SJOILTZ,X,X,O,X,X
SJOILZT,X,O,X,X,X
SJOIZTL,O,O,O,X,X
SJOIZLT,X,O,X,X,X
SJOLTIZ,X,X,O,X,O
SJOLTZI,X,X,O,X,O
SJOLITZ,X,X,O,X,X
SJOLIZT,X,O,X,X,X
SJOLZTI,X,O,X,X,X
SJOLZIT,X,O,X,X,X
SJOZTIL,O,O,O,X,X
SJOZTLI,O,O,O,X,X
SJOZITL,O,O,O,X,X
SJOZILT,X,O,X,X,X
SJOZLTI,X,O,X,X,X
SJOZLIT,X,O,X,X,X
SZTILJO,O,X,X,O,X
SZTILOJ,O,X,X,O,X
SZTIJLO,O,X,X,O,X
SZTIJOL,O,X,X,O,X
SZTIOLJ,O,X,X,O,X
SZTIOJL,O,X,X,O,X
SZTLIJO,O,X,X,O,X
SZTLIOJ,O,X,X,O,X
SZTLJIO,O,X,O,X,X
SZTLJOI,O,X,O,X,X
SZTLOIJ,O,X,X,O,X
SZTLOJI,O,X,O,X,X
SZTJILO,O,X,O,O,X
SZTJIOL,O,X,O,O,X
SZTJLIO,O,X,O,X,X
SZTJLOI,O,X,O,X,X
SZTJOIL,O,X,O,O,X
SZTJOLI,O,X,O,X,X
SZTOILJ,O,X,X,O,X
SZTOIJL,O,X,X,O,X
SZTOLIJ,O,X,X,O,X
SZTOLJI,O,X,O,X,X
SZTOJIL,O,X,O,O,X
SZTOJLI,O,X,O,X,X
SZITLJO,O,X,X,O,X
SZITLOJ,O,X,X,O,X
SZITJLO,O,X,X,O,X
SZITJOL,O,X,X,O,X
SZITOLJ,O,X,X,O,X
SZITOJL,O,X,X,O,X
SZILTJO,X,O,X,X,X
SZILTOJ,X,O,X,X,X
SZILJTO,X,O,X,X,X
SZILJOT,X,O,X,X,X
SZILOTJ,X,O,X,X,X
SZILOJT,X,O,X,X,X
SZIJTLO,O,O,O,X,X
SZIJTOL,O,O,O,X,X
SZIJLTO,X,O,X,X,X
SZIJLOT,X,O,X,X,X
SZIJOTL,O,O,O,X,X
SZIJOLT,X,O,X,X,X
SZIOTLJ,O,X,X,O,X
SZIOTJL,O,X,X,O,X
SZIOLTJ,X,O,X,X,X
SZIOLJT,X,O,X,X,X
SZIOJTL,O,O,O,X,X
SZIOJLT,X,O,X,X,X
SZLTIJO,X,O,X,X,X
SZLTIOJ,X,O,X,X,X
SZLTJIO,X,O,X,X,X
SZLTJOI,X,O,X,X,X
SZLTOIJ,X,O,X,X,X
SZLTOJI,X,O,X,X,X
SZLITJO,X,O,X,X,X
SZLITOJ,X,O,X,X,X
SZLIJTO,X,O,X,X,X
SZLIJOT,X,O,X,X,X
SZLIOTJ,X,O,X,X,X
SZLIOJT,X,O,X,X,X
SZLJTIO,X,O,X,X,X
SZLJTOI,X,O,X,X,X
SZLJITO,X,O,X,X,X
SZLJIOT,X,O,X,X,X
SZLJOTI,X,O,X,X,X
SZLJOIT,X,O,X,X,X
SZLOTIJ,X,O,X,X,X
SZLOTJI,X,O,X,X,X
SZLOITJ,X,O,X,X,X
SZLOIJT,X,O,X,X,X
SZLOJTI,X,O,X,X,X
SZLOJIT,X,O,X,X,X
SZJTILO,O,O,O,X,X
SZJTIOL,O,O,O,X,X
SZJTLIO,O,O,O,X,X
SZJTLOI,O,O,O,X,X
SZJTOIL,O,O,O,X,X
SZJTOLI,O,O,O,X,X
SZJITLO,O,O,O,X,X
SZJITOL,O,O,O,X,X
SZJILTO,X,O,X,X,X
SZJILOT,X,O,X,X,X
SZJIOTL,O,O,O,X,X
SZJIOLT,X,O,X,X,X
SZJLTIO,X,O,X,X,X
SZJLTOI,X,O,X,X,X
SZJLITO,X,O,X,X,X
SZJLIOT,X,O,X,X,X
SZJLOTI,X,O,X,X,X
SZJLOIT,X,O,X,X,X
SZJOTIL,O,O,O,X,X
SZJOTLI,O,O,O,X,X
SZJOITL,O,O,O,X,X
SZJOILT,X,O,X,X,X
SZJOLTI,X,O,X,X,X
SZJOLIT,X,O,X,X,X
SZOTILJ,O,X,X,O,X
SZOTIJL,O,X,X,O,X
SZOTLIJ,O,X,X,O,X
SZOTLJI,O,X,O,X,X
SZOTJIL,O,X,O,O,X
SZOTJLI,O,X,O,X,X
SZOITLJ,O,X,X,O,X
SZOITJL,O,X,X,O,X
SZOILTJ,X,O,X,X,X
SZOILJT,X,O,X,X,X
SZOIJTL,O,O,O,X,X
SZOIJLT,X,O,X,X,X
SZOLTIJ,X,O,X,X,X
SZOLTJI,X,O,X,X,X
SZOLITJ,X,O,X,X,X
SZOLIJT,X,O,X,X,X
SZOLJTI,X,O,X,X,X
SZOLJIT,X,O,X,X,X
SZOJTIL,O,O,O,X,X
SZOJTLI,O,O,O,X,X
SZOJITL,O,O,O,X,X
SZOJILT,X,O,X,X,X
SZOJLTI,X,O,X,X,X
SZOJLIT,X,O,X,X,X
SOTILJZ,O,X,O,O,X
SOTILZJ,X,X,X,O,X
SOTIJLZ,O,X,O,O,X
SOTIJZL,O,X,O,O,X
SOTIZLJ,O,X,X,O,X
SOTIZJL,O,X,X,O,X
SOTLIJZ,O,X,O,O,X
SOTLIZJ,X,X,X,O,X
SOTLJIZ,O,X,O,X,O
SOTLJZI,X,X,O,X,O
SOTLZIJ,O,X,X,O,X
SOTLZJI,O,X,O,X,X
SOTJILZ,O,X,O,O,X
SOTJIZL,O,X,O,O,X
SOTJLIZ,O,X,O,X,O
SOTJLZI,X,X,O,X,O
SOTJZIL,X,X,O,O,X
SOTJZLI,X,X,O,X,X
SOTZILJ,O,X,X,O,X
SOTZIJL,O,X,X,O,X
SOTZLIJ,O,X,X,O,X
SOTZLJI,O,X,O,X,X
SOTZJIL,O,X,O,O,X
SOTZJLI,O,X,O,X,X
SOITLJZ,O,X,O,O,X
SOITLZJ,X,X,X,O,X
SOITJLZ,O,X,O,O,X
SOITJZL,O,X,O,O,X
SOITZLJ,O,X,X,O,X
SOITZJL,O,X,X,O,X
SOILTJZ,X,X,X,O,X
SOILTZJ,X,O,X,O,X
SOILJTZ,X,O,O,X,X
SOILJZT,X,O,X,X,X
SOILZTJ,X,O,X,X,X
SOILZJT,X,O,X,X,X
SOIJTLZ,O,X,O,O,X
SOIJTZL,O,O,O,O,X
SOIJLTZ,X,X,O,X,X
SOIJLZT,X,O,X,X,X
SOIJZTL,O,O,O,X,X
SOIJZLT,X,O,X,X,X
SOIZTLJ,O,X,X,O,X
SOIZTJL,O,X,X,O,X
SOIZLTJ,X,O,X,X,X
SOIZLJT,X,O,X,X,X
SOIZJTL,O,O,O,X,X
SOIZJLT,X,O,X,X,X
SOLTIJZ,X,X,O,O,X
SOLTIZJ,X,O,X,O,X
SOLTJIZ,X,X,O,X,O
SOLTJZI,X,X,O,X,O
SOLTZIJ,X,O,X,O,X
SOLTZJI,X,O,O,X,X
SOLITJZ,X,X,X,O,X
SOLITZJ,X,O,X,O,X
SOLIJTZ,X,O,O,X,X
SOLIJZT,X,O,X,X,X
SOLIZTJ,X,O,X,X,X
SOLIZJT,X,O,X,X,X
SOLJTIZ,X,O,O,X,O
SOLJTZI,X,O,O,X,O
SOLJITZ,X,O,O,X,X
SOLJIZT,X,O,X,X,X
SOLJZTI,X,O,X,X,X
SOLJZIT,X,O,X,X,X
SOLZTIJ,X,O,X,X,X
SOLZTJI,X,O,X,X,X
SOLZITJ,X,O,X,X,X
SOLZIJT,X,O,X,X,X
SOLZJTI,X,O,X,X,X
SOLZJIT,X,O,X,X,X
SOJTILZ,O,X,O,O,X
SOJTIZL,O,O,O,O,X
SOJTLIZ,O,X,O,X,O
SOJTLZI,X,X,O,X,O
SOJTZIL,X,O,O,O,X
SOJTZLI,X,O,O,X,X
SOJITLZ,O,X,O,O,X
SOJITZL,O,O,O,O,X
SOJILTZ,X,X,O,X,X
SOJILZT,X,O,X,X,X
SOJIZTL,O,O,O,X,X
SOJIZLT,X,O,X,X,X
SOJLTIZ,X,X,O,X,O
SOJLTZI,X,X,O,X,O
SOJLITZ,X,X,O,X,X
SOJLIZT,X,O,X,X,X
SOJLZTI,X,O,X,X,X
SOJLZIT,X,O,X,X,X
SOJZTIL,O,O,O,X,X
SOJZTLI,O,O,O,X,X
SOJZITL,O,O,O,X,X
SOJZILT,X,O,X,X,X
SOJZLTI,X,O,X,X,X
SOJZLIT,X,O,X,X,X
SOZTILJ,O,X,X,O,X
SOZTIJL,O,X,X,O,X
SOZTLIJ,O,X,X,O,X
SOZTLJI,O,X,O,X,X
SOZTJIL,O,X,O,O,X
SOZTJLI,O,X,O,X,X
SOZITLJ,O,X,X,O,X
SOZITJL,O,X,X,O,X
SOZILTJ,X,O,X,X,X
SOZILJT,X,O,X,X,X
SOZIJTL,O,O,O,X,X
SOZIJLT,X,O,X,X,X
SOZLTIJ,X,O,X,X,X
SOZLTJI,X,O,X,X,X
SOZLITJ,X,O,X,X,X
SOZLIJT,X,O,X,X,X
SOZLJTI,X,O,X,X,X
SOZLJIT,X,O,X,X,X
SOZJTIL,O,O,O,X,X
SOZJTLI,O,O,O,X,X
SOZJITL,O,O,O,X,X
SOZJILT,X,O,X,X,X
SOZJLTI,X,O,X,X,X
SOZJLIT,X,O,X,X,X
ZTILJSO,O,X,X,X,X
ZTILJOS,O,X,O,X,X
ZTILSJO,O,O,X,X,X
ZTILSOJ,O,O,X,X,X
ZTILOJS,O,X,O,X,X
ZTILOSJ,O,O,X,X,X
ZTIJLSO,O,X,X,X,X
ZTIJLOS,O,X,O,X,X
ZTIJSLO,O,O,O,X,X
ZTIJSOL,O,O,O,X,X
ZTIJOLS,O,X,O,X,X
ZTIJOSL,O,O,O,X,X
ZTISLJO,O,X,X,O,X
ZTISLOJ,O,X,X,O,X
ZTISJLO,O,X,X,O,X
ZTISJOL,O,X,X,O,X
ZTISOLJ,O,X,X,O,X
ZTISOJL,O,X,X,O,X
ZTIOLJS,O,X,O,X,X
ZTIOLSJ,O,O,X,X,X
ZTIOJLS,O,X,O,X,X
ZTIOJSL,O,O,O,X,X
ZTIOSLJ,O,X,X,O,X
ZTIOSJL,O,X,X,O,X
ZTLIJSO,O,X,X,X,X
ZTLIJOS,O,X,O,X,X
ZTLISJO,O,O,X,X,X
ZTLISOJ,O,O,X,X,X
ZTLIOJS,O,X,O,X,X
ZTLIOSJ,O,O,X,X,X
ZTLJISO,O,X,X,X,X
ZTLJIOS,O,X,O,X,X
ZTLJSIO,O,X,X,X,O
ZTLJSOI,O,X,X,X,O
ZTLJOIS,O,X,O,X,X
ZTLJOSI,O,X,X,X,O
ZTLSIJO,O,O,X,X,X
ZTLSIOJ,O,O,X,X,X
ZTLSJIO,O,O,X,X,X
ZTLSJOI,O,O,X,X,X
ZTLSOIJ,O,O,X,X,X
ZTLSOJI,O,O,X,X,X
ZTLOIJS,O,X,O,X,X
ZTLOISJ,O,O,X,X,X
ZTLOJIS,O,X,O,X,X
ZTLOJSI,O,X,X,X,O
ZTLOSIJ,O,O,X,X,X
ZTLOSJI,O,O,X,X,X
ZTJILSO,O,X,X,X,X
ZTJILOS,O,X,O,X,X
ZTJISLO,O,O,O,X,X
ZTJISOL,O,O,O,X,X
ZTJIOLS,O,X,O,X,X
ZTJIOSL,O,O,O,X,X
ZTJLISO,O,X,X,X,X
ZTJLIOS,O,X,O,X,X
ZTJLSIO,O,X,X,X,O
ZTJLSOI,O,X,X,X,O
ZTJLOIS,O,X,O,X,X
ZTJLOSI,O,X,X,X,O
ZTJSILO,O,O,X,X,X
ZTJSIOL,O,O,X,X,X
ZTJSLIO,O,O,X,X,X
ZTJSLOI,O,O,X,X,X
ZTJSOIL,O,O,X,X,X
ZTJSOLI,O,O,X,X,X
ZTJOILS,O,X,O,X,X
ZTJOISL,O,O,O,X,X
ZTJOLIS,O,X,O,X,X
ZTJOLSI,O,X,X,X,O
ZTJOSIL,O,O,X,X,X
ZTJOSLI,O,O,X,X,X
ZTSILJO,O,X,X,O,X
ZTSILOJ,O,X,X,O,X
ZTSIJLO,O,X,X,O,X
ZTSIJOL,O,X,X,O,X
ZTSIOLJ,O,X,X,O,X
ZTSIOJL,O,X,X,O,X
ZTSLIJO,O,X,X,O,X
ZTSLIOJ,O,X,X,O,X
ZTSLJIO,O,X,X,X,X
ZTSLJOI,O,X,X,X,X
ZTSLOIJ,O,X,X,O,X
ZTSLOJI,O,X,X,X,X
ZTSJILO,O,X,X,O,X
ZTSJIOL,O,X,X,O,X
ZTSJLIO,O,X,X,X,X
ZTSJLOI,O,X,X,X,X
ZTSJOIL,O,X,X,O,X
ZTSJOLI,O,X,X,X,X
ZTSOILJ,O,X,X,O,X
ZTSOIJL,O,X,X,O,X
ZTSOLIJ,O,X,X,O,X
ZTSOLJI,O,X,X,X,X
ZTSOJIL,O,X,X,O,X
ZTSOJLI,O,X,X,X,X
ZTOILJS,O,X,O,X,X
ZTOILSJ,O,O,X,X,X
ZTOIJLS,O,X,O,X,X
ZTOIJSL,O,O,O,X,X
ZTOISLJ,O,X,X,O,X
ZTOISJL,O,X,X,O,X
ZTOLIJS,O,X,O,X,X
ZTOLISJ,O,O,X,X,X
ZTOLJIS,O,X,O,X,X
ZTOLJSI,O,X,X,X,O
ZTOLSIJ,O,O,X,X,X
ZTOLSJI,O,O,X,X,X
ZTOJILS,O,X,O,X,X
ZTOJISL,O,O,O,X,X
ZTOJLIS,O,X,O,X,X
ZTOJLSI,O,X,X,X,O
ZTOJSIL,O,O,X,X,X
ZTOJSLI,O,O,X,X,X
ZTOSILJ,O,X,X,O,X
ZTOSIJL,O,X,X,O,X
ZTOSLIJ,O,X,X,O,X
ZTOSLJI,O,X,X,X,X
ZTOSJIL,O,X,X,O,X
ZTOSJLI,O,X,X,X,X
ZITLJSO,O,X,X,X,X
ZITLJOS,O,X,O,X,X
ZITLSJO,O,O,X,X,X
ZITLSOJ,O,O,X,X,X
ZITLOJS,O,X,O,X,X
ZITLOSJ,O,O,X,X,X
ZITJLSO,O,X,X,X,X
ZITJLOS,O,X,O,X,X
ZITJSLO,O,O,O,X,X
ZITJSOL,O,O,O,X,X
ZITJOLS,O,X,O,X,X
ZITJOSL,O,O,O,X,X
ZITSLJO,O,X,X,O,X
ZITSLOJ,O,X,X,O,X
ZITSJLO,O,X,X,O,X
ZITSJOL,O,X,X,O,X
ZITSOLJ,O,X,X,O,X
ZITSOJL,O,X,X,O,X
ZITOLJS,O,X,O,X,X
ZITOLSJ,O,O,X,X,X
ZITOJLS,O,X,O,X,X
ZITOJSL,O,O,O,X,X
ZITOSLJ,O,X,X,O,X
ZITOSJL,O,X,X,O,X
ZILTJSO,O,X,X,X,X
ZILTJOS,O,X,X,X,X
ZILTSJO,O,O,X,X,X
ZILTSOJ,O,O,X,X,X
ZILTOJS,O,X,X,X,X
ZILTOSJ,O,O,X,X,X
ZILJTSO,O,O,X,X,X
ZILJTOS,O,O,X,X,X
ZILJSTO,X,O,X,X,X
ZILJSOT,X,O,X,X,X
ZILJOTS,O,O,X,X,X
ZILJOST,X,O,X,X,X
ZILSTJO,X,O,X,X,X
ZILSTOJ,X,O,X,X,X
ZILSJTO,X,O,X,X,X
ZILSJOT,X,O,X,X,X
ZILSOTJ,X,O,X,X,X
ZILSOJT,X,O,X,X,X
ZILOTJS,O,X,X,X,X
ZILOTSJ,O,O,X,X,X
ZILOJTS,O,O,X,X,X
ZILOJST,X,O,X,X,X
