sequence,v115@RhA8GeF8AeE8JeT/IvhFmgBRiBSoBXlBUnBFrB,v115@RhA8GeF8AeE8Jem/IvhFzgBfnBxiB0kBCoBFrB,v115@RhA8GeF8AeE8Je/EJvhFRgBGiBTjBilBUnBFrB,v115@RhA8GeF8AeE8JemAJvhFfnB6nBTjBxkB0kBFrB,v115@RhA8GeF8AeE8Je/EJvhFalBzgBGjBRnBUnBFrB,v115@RhA8GeF8AeE8Jex/IvhFylBzhBGjB0kB3nBFrB,v115@RhA8GeF8AeE8JeT/IvhFylBGjBRnBXlBUnBFrB,v115@RhA8GeF8AeE8Jei/IvhFRhBGjBzkBfrB0rBlsB,v115@RhA8GeF8AeE8JemAJvhFzhBSoBxkB0kB3nBFrB,v115@RhA8GeF8AeE8Je/EJvhFUgBFhBxiBzmBCoBmqB,v115@RhA8GeF8AeE8Je6HJvhFTjBxkBmmBlkB3lBcrB
OLSIJTZ,O,X,X,O,X,X,X,O,X,O,O
OLSIJZT,O,X,O,O,X,X,X,O,X,O,O
OLSIZTJ,O,O,O,X,X,X,X,O,X,O,X
OLSIZJT,O,O,O,O,X,X,X,O,X,O,X
OLSJTIZ,O,X,X,O,X,X,X,O,X,O,X
OLSJTZI,O,X,X,O,X,X,X,O,X,O,X
OLSJITZ,O,X,X,O,X,X,X,O,X,O,O
OLSJIZT,O,X,O,O,X,X,X,O,X,O,O
OLSJZTI,O,X,O,X,X,X,X,O,X,O,X
OLSJZIT,O,X,O,X,X,X,X,O,X,O,X
OLSZTIJ,O,O,O,O,X,X,X,O,X,O,X
OLSZTJI,O,O,O,O,X,X,X,O,X,O,X
OLSZITJ,O,O,O,X,X,X,X,O,X,O,X
OLSZIJT,O,O,O,O,X,X,X,O,X,O,X
OLSZJTI,O,O,O,X,X,X,X,O,X,O,X
OLSZJIT,O,O,O,X,X,X,X,O,X,O,X
OLZTIJS,O,O,O,X,X,X,X,O,X,O,X
OLZTISJ,O,O,O,X,X,X,X,X,X,O,X
OLZTJIS,O,O,O,X,X,X,X,O,X,O,X
OLZTJSI,O,O,O,X,X,X,X,O,X,O,X
OLZTSIJ,O,O,O,X,X,X,X,O,X,O,X
OLZTSJI,O,O,O,X,X,X,X,O,X,O,X
OLZITJS,O,X,X,X,X,X,X,X,X,O,X
OLZITSJ,O,X,X,X,X,X,X,X,X,O,X
OLZIJTS,O,X,X,X,X,X,X,X,X,O,O
OLZIJST,O,O,O,X,X,X,X,X,X,O,O
OLZISTJ,O,O,O,X,X,X,X,X,X,O,X
OLZISJT,O,O,O,O,X,X,X,X,X,O,X
OLZJTIS,O,O,O,X,X,X,X,O,X,O,X
OLZJTSI,O,O,O,X,X,X,X,O,X,O,X
OLZJITS,O,X,X,X,X,X,X,X,X,O,O
OLZJIST,O,O,O,X,X,X,X,X,X,O,O
OLZJSTI,O,O,O,X,X,X,X,O,X,O,X
OLZJSIT,O,O,O,X,X,X,X,O,X,O,X
OLZSTIJ,O,O,O,O,X,X,X,O,X,O,X
OLZSTJI,O,O,O,O,X,X,X,O,X,O,X
OLZSITJ,O,O,O,X,X,X,X,O,X,O,X
OLZSIJT,O,O,O,O,X,X,X,O,X,O,X
OLZSJTI,O,O,O,X,X,X,X,O,X,O,X
OLZSJIT,O,O,O,X,X,X,X,O,X,O,X
OJTILSZ,O,X,X,O,O,O,O,O,X,O,O
OJTILZS,O,X,X,X,X,O,O,O,X,O,O
OJTISLZ,X,X,X,O,O,X,O,O,X,O,X
OJTISZL,X,X,X,O,O,X,X,O,X,O,X
OJTIZLS,O,X,X,X,X,O,O,O,X,X,X
OJTIZSL,O,X,X,O,O,O,X,X,X,O,X
OJTLISZ,O,X,X,O,O,O,O,O,X,O,O
OJTLIZS,O,X,X,X,X,O,O,O,X,O,O
OJTLSIZ,O,X,O,O,O,O,O,O,X,O,X
OJTLSZI,O,X,O,O,O,O,X,O,X,O,X
OJTLZIS,O,X,O,X,X,O,O,O,X,O,X
OJTLZSI,O,X,O,X,X,O,X,O,X,O,X
OJTSILZ,X,X,O,O,O,O,O,O,X,O,X
OJTSIZL,X,X,O,O,O,O,X,O,X,O,X
OJTSLIZ,O,X,O,O,O,O,O,O,X,O,X
OJTSLZI,O,X,O,O,O,O,X,O,X,O,X
OJTSZIL,O,X,O,O,O,O,X,O,X,O,X
OJTSZLI,O,X,O,O,O,O,X,O,X,O,X
OJTZILS,O,X,O,X,X,O,O,O,X,X,X
OJTZISL,O,X,O,O,O,O,X,X,X,O,X
OJTZLIS,O,X,O,X,X,O,O,O,X,O,X
OJTZLSI,O,X,O,X,X,O,X,O,X,O,X
OJTZSIL,O,X,O,O,O,O,X,O,X,O,X
OJTZSLI,O,X,O,O,O,O,X,O,X,O,X
OJITLSZ,X,X,X,O,O,X,O,O,X,O,O
OJITLZS,X,X,X,X,X,X,O,O,X,O,O
OJITSLZ,X,X,X,O,O,X,O,O,X,O,X
OJITSZL,X,X,X,O,O,X,X,O,X,O,X
OJITZLS,X,X,X,X,X,X,O,O,X,X,X
OJITZSL,X,X,X,O,O,X,X,X,X,O,X
OJILTSZ,X,X,X,X,X,X,O,O,X,O,O
OJILTZS,X,X,X,X,X,X,O,O,X,O,O
OJILSTZ,X,X,X,O,X,X,X,O,X,O,O
OJILSZT,X,X,X,O,X,X,X,O,X,O,O
OJILZTS,X,X,X,X,X,X,X,X,X,O,O
OJILZST,X,X,X,X,X,X,X,X,X,O,O
OJISTLZ,X,X,X,O,O,X,O,O,X,O,X
OJISTZL,X,X,X,X,O,X,X,O,X,O,X
OJISLTZ,X,X,X,O,O,X,X,O,X,O,O
OJISLZT,X,X,X,O,X,X,X,O,X,O,O
OJISZTL,X,X,X,X,X,X,X,O,X,O,X
OJISZLT,X,X,X,O,X,X,X,O,X,O,X
OJIZTLS,X,X,X,X,X,X,O,X,X,X,X
OJIZTSL,X,X,X,X,X,X,X,X,X,O,X
OJIZLTS,X,X,X,X,X,X,X,X,X,X,O
OJIZLST,X,X,X,X,X,X,X,X,X,X,O
OJIZSTL,X,X,X,X,X,X,X,X,X,O,X
