sequence,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mBiiB5oBcsBet?BzqB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBiiB5oBcsBet?BXrB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBOnB8nB5oBXr?ByxB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBZnBGjBXrBCt?BUtB,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mBZnBunBcoBzq?BSyB,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mBmiB5oBzqBis?B0sB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFihBziB5oBXrBms?BUsB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFxhBTjB0nBmrBSy?BXrB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBxiB0nB6tBXr?B2xB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBKnBGjBUoBXr?BxxB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThB0iB6oB2sBXr?BxxB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFihBziB+oBUnBXr?BxxB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFihBRnBctBXrBTs?BGtB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBZnBGoBXrBUt?BCtB,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mBxiB0nB6tBzq?B2xB,v115@9gC8GeB8HeC8GeC8BeA8Ne3CJvhFcoBxlBGmBNsBzq?BSyB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFTjBxmB0nBmrBSy?BXrB,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mB5oBmnBzqB0s?BisB,v115@9gC8GeB8HeC8GeC8BeA8Ne9GJvhFmiB5oB0lBKsBft?BzqB
ZILJTOS,X,X,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
ZILJSTO,X,X,O,O,O,X,X,X,X,O,O,O,X,O,X,O,X,X,O
ZILJSOT,X,X,O,X,O,X,X,X,X,O,O,O,X,X,X,O,X,X,O
ZILJOTS,X,X,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X,O,X
ZILJOST,X,X,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
ZILSTJO,X,X,O,O,O,X,X,X,X,O,O,O,X,O,X,O,X,X,O
ZILSTOJ,X,X,O,O,O,X,X,X,X,O,O,O,X,O,X,O,X,X,O
ZILSJTO,X,X,O,O,O,X,X,X,X,O,O,O,X,O,X,O,X,X,O
ZILSJOT,X,X,O,X,O,X,X,X,X,O,O,O,X,X,X,O,X,X,O
ZILSOTJ,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O
ZILSOJT,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O
ZILOTJS,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ZILOTSJ,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,O
ZILOJTS,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ZILOJST,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZILOSTJ,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,O
ZILOSJT,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O
ZIJTLSO,O,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,O
ZIJTLOS,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
ZIJTSLO,O,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X
ZIJTSOL,O,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X
ZIJTOLS,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X
ZIJTOSL,O,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,O,X
ZIJLTSO,O,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,O
ZIJLTOS,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
ZIJLSTO,O,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,O
ZIJLSOT,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O
ZIJLOTS,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X
ZIJLOST,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
ZIJSTLO,O,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X
ZIJSTOL,O,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X
ZIJSLTO,O,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,O
ZIJSLOT,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O
ZIJSOTL,O,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,O,X
ZIJSOLT,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
ZIJOTLS,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X
ZIJOTSL,O,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,O,X
ZIJOLTS,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X
ZIJOLST,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
ZIJOSTL,O,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,O,X
ZIJOSLT,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
ZISTLJO,X,X,O,O,X,X,O,X,X,O,O,O,X,O,X,X,X,X,O
ZISTLOJ,X,X,O,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,O
ZISTJLO,O,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X
ZISTJOL,O,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X
ZISTOLJ,X,X,O,O,X,X,X,X,X,O,O,O,O,O,X,X,X,X,X
ZISTOJL,X,O,X,X,X,X,X,X,X,O,O,O,O,O,X,X,X,X,X
ZISLTJO,X,X,O,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,O
ZISLTOJ,X,X,O,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,O
ZISLJTO,X,X,O,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,O
ZISLJOT,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O
ZISLOTJ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZISLOJT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZISJTLO,O,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X
ZISJTOL,O,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X
ZISJLTO,O,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,O
ZISJLOT,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O
ZISJOTL,O,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,O,X
ZISJOLT,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
ZISOTLJ,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X
ZISOTJL,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X
ZISOLTJ,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O
ZISOLJT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZISOJTL,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X
ZISOJLT,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
ZIOTLJS,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X
ZIOTLSJ,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,O
ZIOTJLS,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
ZIOTJSL,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X
ZIOTSLJ,X,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,O,X
ZIOTSJL,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X
ZIOLTJS,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ZIOLTSJ,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,O
ZIOLJTS,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ZIOLJST,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZIOLSTJ,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,O,O
ZIOLSJT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZIOJTLS,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
ZIOJTSL,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X
ZIOJLTS,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
ZIOJLST,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
ZIOJSTL,O,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X
ZIOJSLT,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
ZIOSTLJ,X,X,X,X,X,O,X,X,X,O,X,O,O,O,X,X,X,O,X
ZIOSTJL,O,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X
ZIOSLTJ,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,O
ZIOSLJT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZIOSJTL,O,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X
ZIOSJLT,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
ZLTIJSO,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O
ZLTIJOS,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLTISJO,X,X,O,O,O,X,X,X,X,X,X,X,X,O,O,O,X,X,O
ZLTISOJ,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X,O
ZLTIOJS,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLTIOSJ,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZLTJISO,O,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O
ZLTJIOS,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X
ZLTJSIO,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
ZLTJSOI,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
ZLTJOIS,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X
ZLTJOSI,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
ZLTSIJO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O
ZLTSIOJ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O
ZLTSJIO,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O
ZLTSJOI,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O
ZLTSOIJ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O
ZLTSOJI,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZLTOIJS,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLTOISJ,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O
ZLTOJIS,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZLTOJSI,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLTOSIJ,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O
ZLTOSJI,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZLITJSO,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O
ZLITJOS,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLITSJO,X,X,O,O,O,X,X,X,X,X,X,X,X,O,O,O,X,X,O
ZLITSOJ,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X,O
ZLITOJS,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLITOSJ,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZLIJTSO,X,X,O,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,O
ZLIJTOS,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLIJSTO,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,O
ZLIJSOT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ZLIJOTS,X,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X
ZLIJOST,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLISTJO,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O
ZLISTOJ,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,O
ZLISJTO,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O
ZLISJOT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ZLISOTJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ZLISOJT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ZLIOTJS,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
ZLIOTSJ,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,O
ZLIOJTS,X,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X
ZLIOJST,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLIOSTJ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,O
ZLIOSJT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ZLJTISO,O,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O
ZLJTIOS,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X
ZLJTSIO,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
ZLJTSOI,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
ZLJTOIS,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X
ZLJTOSI,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
ZLJITSO,O,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O
ZLJITOS,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
ZLJISTO,O,O,O,O,O,X,X,X,O,X,X,X,X,O,O,O,X,X,O
ZLJISOT,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O
ZLJIOTS,O,O,O,X,O,O,X,O,O,X,X,X,X,X,O,X,X,O,X
ZLJIOST,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
ZLJSTIO,O,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O
ZLJSTOI,O,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O
ZLJSITO,O,O,O,O,O,X,X,X,O,X,X,X,X,O,O,O,X,X,O
ZLJSIOT,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O
ZLJSOTI,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
ZLJSOIT,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O
ZLJOTIS,O,O,O,X,O,O,X,O,O,X,X,X,X,X,O,X,O,O,X
ZLJOTSI,O,O,O,X,O,O,X,O,O,X,X,X,X,X,O,X,X,O,X
ZLJOITS,O,O,O,X,O,O,X,O,O,X,X,X,X,X,O,X,X,O,X
ZLJOIST,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X
ZLJOSTI,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
ZLJOSIT,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X
ZLSTIJO,X,X,O,O,O,X,X,X,X,X,X,X,X,O,O,O,X,X,O
ZLSTIOJ,X,X,O,O,O,X,X,O,O,X,X,X,X,O,X,O,X,X,O
ZLSTJIO,O,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O
ZLSTJOI,O,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O
ZLSTOIJ,X,X,O,O,O,X,X,O,O,X,X,X,O,O,X,O,X,X,O
ZLSTOJI,X,O,O,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,O
ZLSITJO,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O
ZLSITOJ,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,O
ZLSIJTO,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O
ZLSIJOT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ZLSIOTJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ZLSIOJT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ZLSJTIO,O,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O
ZLSJTOI,O,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O
ZLSJITO,O,O,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,O
ZLSJIOT,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O
ZLSJOTI,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O
ZLSJOIT,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O
ZLSOTIJ,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,O
ZLSOTJI,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
ZLSOITJ,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,O
ZLSOIJT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ZLSOJTI,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZLSOJIT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ZLOTIJS,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
ZLOTISJ,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,O
ZLOTJIS,O,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,O,O,X
ZLOTJSI,O,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X
ZLOTSIJ,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,O
ZLOTSJI,O,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,O
ZLOITJS,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
ZLOITSJ,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,O
ZLOIJTS,X,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X
ZLOIJST,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLOISTJ,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,O,X,O,O
ZLOISJT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ZLOJTIS,O,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,O,O,X
ZLOJTSI,O,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X
ZLOJITS,O,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X
ZLOJIST,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
ZLOJSTI,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZLOJSIT,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
ZLOSTIJ,X,X,O,X,O,O,X,O,X,X,X,X,O,X,O,O,X,O,O
ZLOSTJI,O,X,O,X,O,O,X,O,X,X,X,X,O,X,O,X,X,O,O
ZLOSITJ,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,O,X,O,O
ZLOSIJT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ZLOSJTI,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O
ZLOSJIT,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
ZJTILSO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
ZJTILOS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
ZJTISLO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X
ZJTISOL,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
ZJTIOLS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X
ZJTIOSL,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X
ZJTLISO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
ZJTLIOS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
ZJTLSIO,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O
ZJTLSOI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O
ZJTLOIS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
ZJTLOSI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
ZJTSILO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X
ZJTSIOL,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
ZJTSLIO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X
ZJTSLOI,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X
ZJTSOIL,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
ZJTSOLI,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
ZJTOILS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X
ZJTOISL,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X
ZJTOLIS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X
ZJTOLSI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X
ZJTOSIL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
ZJTOSLI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
ZJITLSO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
ZJITLOS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
ZJITSLO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X
ZJITSOL,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
ZJITOLS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X
ZJITOSL,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X
ZJILTSO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
ZJILTOS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
ZJILSTO,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O
ZJILSOT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
ZJILOTS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X
ZJILOST,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
ZJISTLO,O,O,X,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X
ZJISTOL,O,O,X,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X
ZJISLTO,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O
ZJISLOT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
ZJISOTL,O,O,X,X,X,X,O,X,O,X,X,X,X,O,O,X,X,O,X
ZJISOLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJIOTLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
ZJIOTSL,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X
ZJIOLTS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
ZJIOLST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJIOSTL,O,O,X,X,X,X,O,X,O,X,X,X,X,O,O,X,X,O,X
ZJIOSLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLTISO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
ZJLTIOS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
ZJLTSIO,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O
ZJLTSOI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O
ZJLTOIS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
ZJLTOSI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
ZJLITSO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
ZJLITOS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
ZJLISTO,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O
ZJLISOT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
ZJLIOTS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X
ZJLIOST,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
ZJLSTIO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
ZJLSTOI,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
ZJLSITO,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O
ZJLSIOT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
ZJLSOTI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O
ZJLSOIT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
ZJLOTIS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,O,X
ZJLOTSI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X
ZJLOITS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X
