sequence,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8Jex6IvhF8g?B6iBTeBmfBXoBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8Je2/IvhFRb?B0dB6jB3gBznBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8JeT6IvhFOg?B8gBxdBCjBXoBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8Jei6IvhFzb?BxdBUgBWoBXoBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8JeT6IvhFib?BxdB3gBunBcoBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8Jex6IvhF8g?B6iBmfBTjBXoBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8Je2/IvhFzb?BxdBCjBUgBXoBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8Jei6IvhFTe?BRgBWoB3gB0nBlqB,v115@4gA8IeB8CeB8BeC8CeB8CeB8BeD8AeF8Je2/IvhFxd?B3gBqnBTjBFlB8qB
TZISLOJ,O,O,O,O,O,X,X,X,X
TZISJLO,O,O,O,X,O,X,X,X,X
TZISJOL,O,O,O,X,O,X,X,X,X
TZISOLJ,O,O,O,O,O,X,X,X,X
TZISOJL,O,O,O,X,O,X,X,X,X
TZIOLJS,X,X,O,O,X,O,X,X,X
TZIOLSJ,O,X,X,O,O,X,X,X,X
TZIOJLS,X,X,O,O,O,O,X,X,X
TZIOJSL,X,X,O,O,O,O,X,X,X
TZIOSLJ,O,X,O,O,O,X,X,X,X
TZIOSJL,O,X,O,X,O,X,X,X,X
TZLIJSO,O,O,X,O,X,O,X,X,X
TZLIJOS,O,O,O,O,X,O,X,O,X
TZLISJO,O,O,X,X,O,X,X,X,X
TZLISOJ,O,O,X,O,O,X,X,X,X
TZLIOJS,X,X,O,O,X,O,X,X,X
TZLIOSJ,O,X,X,O,O,X,X,X,X
TZLJISO,O,O,X,O,O,O,X,X,X
TZLJIOS,O,O,O,O,O,O,X,O,X
TZLJSIO,O,O,O,O,O,O,X,X,X
TZLJSOI,O,O,O,O,O,O,X,X,X
TZLJOIS,O,O,O,O,O,O,X,O,X
TZLJOSI,O,O,O,O,O,O,X,X,X
TZLSIJO,O,O,O,X,O,X,X,X,X
TZLSIOJ,O,O,O,O,O,X,X,X,X
TZLSJIO,O,O,O,O,O,O,X,X,X
TZLSJOI,O,O,O,O,O,O,X,X,X
TZLSOIJ,O,O,O,O,O,X,X,X,X
TZLSOJI,O,O,O,O,O,O,X,X,X
TZLOIJS,X,X,O,O,X,O,X,X,X
TZLOISJ,O,X,X,O,O,X,X,X,X
TZLOJIS,O,O,O,O,O,O,X,X,X
TZLOJSI,O,O,O,O,O,O,X,X,X
TZLOSIJ,O,O,O,O,O,X,X,X,X
TZLOSJI,O,O,O,O,O,O,X,X,X
TZJILSO,O,O,X,O,O,O,X,X,X
TZJILOS,O,O,O,O,O,O,X,O,X
TZJISLO,O,O,O,O,O,O,X,X,X
TZJISOL,O,O,O,O,O,O,X,X,X
TZJIOLS,O,O,O,O,O,O,X,O,X
TZJIOSL,O,O,O,O,O,O,X,X,X
TZJLISO,O,O,X,O,O,O,X,X,X
TZJLIOS,O,O,O,O,O,O,X,O,X
TZJLSIO,O,O,O,O,O,O,X,X,X
TZJLSOI,O,O,O,O,O,O,X,X,X
TZJLOIS,O,O,O,O,O,O,X,O,X
TZJLOSI,O,O,O,O,O,O,X,X,X
TZJSILO,O,O,O,O,O,O,X,X,X
TZJSIOL,O,O,O,O,O,O,X,X,X
TZJSLIO,O,O,O,O,O,O,O,X,X
TZJSLOI,O,O,O,O,O,O,O,X,X
TZJSOIL,O,O,O,O,O,O,X,X,X
TZJSOLI,O,O,O,O,O,O,O,X,X
TZJOILS,O,O,O,O,O,O,X,O,X
TZJOISL,O,O,O,O,O,O,X,X,X
TZJOLIS,O,O,O,O,O,O,X,O,X
TZJOLSI,O,O,O,O,O,O,X,X,X
TZJOSIL,O,O,O,O,O,O,X,X,X
TZJOSLI,O,O,O,O,O,O,O,X,X
TZSILJO,O,O,O,X,O,X,X,X,X
TZSILOJ,O,O,O,O,O,X,X,X,X
TZSIJLO,O,O,O,X,O,X,X,X,X
TZSIJOL,O,O,O,X,O,X,X,X,X
TZSIOLJ,O,O,O,O,O,X,X,X,X
TZSIOJL,O,O,O,X,O,X,X,X,X
TZSLIJO,O,O,O,X,O,X,O,X,X
TZSLIOJ,O,O,O,O,O,X,O,X,X
TZSLJIO,O,O,O,O,O,O,O,X,X
TZSLJOI,O,O,O,O,O,O,O,X,X
TZSLOIJ,O,O,O,O,O,X,O,X,X
TZSLOJI,O,O,O,O,O,O,O,X,X
TZSJILO,O,O,O,O,O,O,X,X,X
TZSJIOL,O,O,O,O,O,O,X,X,X
TZSJLIO,O,O,O,O,O,O,O,X,X
TZSJLOI,O,O,O,O,O,O,O,X,X
TZSJOIL,O,O,O,O,O,O,X,X,X
TZSJOLI,O,O,O,O,O,O,O,X,X
TZSOILJ,O,O,O,O,O,X,X,X,X
TZSOIJL,O,O,O,X,O,X,X,X,X
TZSOLIJ,O,O,O,O,O,X,O,X,X
TZSOLJI,O,O,O,O,O,O,O,X,X
TZSOJIL,O,O,O,O,O,O,X,X,X
TZSOJLI,O,O,O,O,O,O,O,X,X
TZOILJS,X,O,O,O,X,O,X,X,X
TZOILSJ,O,O,X,O,O,X,X,X,X
TZOIJLS,X,O,O,O,O,O,X,X,X
TZOIJSL,X,O,O,O,O,O,X,X,X
TZOISLJ,O,O,O,O,O,X,X,X,X
TZOISJL,O,O,O,X,O,X,X,X,X
TZOLIJS,X,O,O,O,X,O,X,X,X
TZOLISJ,O,O,X,O,O,X,X,X,X
TZOLJIS,O,O,O,O,O,O,X,X,X
TZOLJSI,O,O,O,O,O,O,X,X,X
TZOLSIJ,O,O,O,O,O,X,X,X,X
TZOLSJI,O,O,O,O,O,O,X,X,X
TZOJILS,O,O,O,O,O,O,X,X,X
TZOJISL,O,O,O,O,O,O,X,X,X
TZOJLIS,O,O,O,O,O,O,X,X,X
TZOJLSI,O,O,O,O,O,O,X,X,X
TZOJSIL,O,O,O,O,O,O,X,X,X
TZOJSLI,O,O,O,O,O,O,O,X,X
TZOSILJ,O,O,O,O,O,X,X,X,X
TZOSIJL,O,O,O,X,O,X,X,X,X
TZOSLIJ,O,O,O,O,O,X,O,X,X
TZOSLJI,O,O,O,O,O,O,O,X,X
TZOSJIL,O,O,O,O,O,O,X,X,X
TZOSJLI,O,O,O,O,O,O,O,X,X
TOILJSZ,X,O,X,O,X,X,X,O,X
TOILJZS,X,O,X,O,X,O,X,O,X
TOILSJZ,X,O,X,O,O,X,X,X,X
TOILSZJ,X,O,X,O,O,X,X,X,X
TOILZJS,X,O,O,O,X,O,X,X,X
TOILZSJ,X,O,X,O,X,X,X,X,X
TOIJLSZ,X,O,X,O,X,X,X,O,X
TOIJLZS,X,O,X,O,X,O,X,O,X
TOIJSLZ,X,O,X,O,O,X,O,O,X
TOIJSZL,X,O,X,X,X,X,X,X,X
TOIJZLS,X,O,O,O,X,O,X,O,X
TOIJZSL,X,O,O,X,X,O,X,X,X
TOISLJZ,X,O,O,O,O,X,O,X,X
TOISLZJ,X,O,O,O,O,X,O,X,X
TOISJLZ,X,O,X,X,O,X,O,X,X
TOISJZL,X,O,O,X,X,X,X,X,X
TOISZLJ,X,O,O,X,O,X,X,X,X
TOISZJL,X,O,O,X,O,X,X,X,X
TOIZLJS,X,O,O,O,X,O,X,X,X
TOIZLSJ,X,O,X,O,O,X,X,X,X
TOIZJLS,X,O,O,O,O,O,X,X,X
TOIZJSL,X,O,O,X,O,O,X,X,X
TOIZSLJ,X,O,O,O,O,X,X,X,X
TOIZSJL,X,O,O,X,O,X,X,X,X
TOLIJSZ,X,O,X,O,X,X,X,O,X
TOLIJZS,X,O,X,O,X,O,X,O,X
TOLISJZ,X,O,X,O,O,X,X,X,X
TOLISZJ,X,O,X,O,O,X,X,X,X
TOLIZJS,X,O,O,O,X,O,X,X,X
TOLIZSJ,X,O,X,O,X,X,X,X,X
TOLJISZ,X,O,X,O,X,X,X,O,X
TOLJIZS,X,O,X,O,X,O,X,O,X
TOLJSIZ,O,O,X,O,X,X,O,O,X
TOLJSZI,O,O,X,X,X,O,O,X,X
TOLJZIS,O,O,X,O,X,O,X,O,X
TOLJZSI,O,O,X,O,X,O,X,X,X
TOLSIJZ,O,O,O,O,O,X,O,X,X
TOLSIZJ,O,O,O,O,O,X,O,X,X
TOLSJIZ,O,O,O,O,O,X,O,X,X
TOLSJZI,O,O,O,X,O,O,O,X,X
TOLSZIJ,O,O,O,X,O,X,O,X,X
TOLSZJI,O,O,O,X,O,O,O,X,X
TOLZIJS,X,O,O,O,X,O,X,X,X
TOLZISJ,O,O,X,O,O,X,X,X,X
TOLZJIS,O,O,O,O,O,O,X,X,X
TOLZJSI,O,O,O,O,O,O,X,X,X
TOLZSIJ,O,O,O,O,O,X,X,X,X
TOLZSJI,O,O,O,O,O,O,X,X,X
TOJILSZ,X,O,X,O,X,X,X,O,X
TOJILZS,X,O,X,O,X,O,X,O,X
TOJISLZ,X,O,X,O,O,X,O,O,X
TOJISZL,X,O,X,X,X,X,X,X,X
TOJIZLS,X,O,O,O,X,O,X,O,X
TOJIZSL,X,O,O,O,X,O,X,X,X
TOJLISZ,X,O,X,O,X,X,X,O,X
TOJLIZS,X,O,X,O,X,O,X,O,X
TOJLSIZ,O,O,X,O,X,X,O,O,X
TOJLSZI,O,O,X,X,X,O,O,X,X
TOJLZIS,O,O,X,O,X,O,X,O,X
TOJLZSI,O,O,X,O,X,O,X,X,X
TOJSILZ,O,O,X,O,O,X,O,O,X
TOJSIZL,O,O,O,X,X,X,X,X,X
TOJSLIZ,O,O,O,O,O,X,O,O,X
TOJSLZI,O,O,O,X,O,O,O,X,X
TOJSZIL,O,O,O,X,O,O,X,X,X
TOJSZLI,O,O,O,X,O,O,O,X,X
TOJZILS,O,O,O,O,O,O,X,O,X
TOJZISL,O,O,O,O,O,O,X,X,X
TOJZLIS,O,O,O,O,O,O,X,O,X
TOJZLSI,O,O,O,O,O,O,X,X,X
TOJZSIL,O,O,O,O,O,O,X,X,X
TOJZSLI,O,O,O,O,O,O,O,X,X
TOSILJZ,O,O,O,O,O,X,O,X,X
TOSILZJ,O,O,O,O,O,X,O,X,X
TOSIJLZ,O,O,X,X,O,X,O,X,X
TOSIJZL,O,O,O,X,X,X,X,X,X
TOSIZLJ,O,O,O,X,O,X,X,X,X
TOSIZJL,O,O,O,X,O,X,X,X,X
TOSLIJZ,O,O,O,O,O,X,O,X,X
TOSLIZJ,O,O,O,O,O,X,O,X,X
TOSLJIZ,O,O,O,O,O,X,O,X,X
TOSLJZI,O,O,O,X,O,O,O,X,X
TOSLZIJ,O,O,O,X,O,X,O,X,X
TOSLZJI,O,O,O,X,O,O,O,X,X
TOSJILZ,O,O,X,O,O,X,O,X,X
TOSJIZL,O,O,O,X,X,X,X,X,X
TOSJLIZ,O,O,O,O,O,X,O,X,X
TOSJLZI,O,O,O,X,O,O,O,X,X
TOSJZIL,O,O,O,X,O,O,X,X,X
TOSJZLI,O,O,O,X,O,O,O,X,X
TOSZILJ,O,O,O,X,O,X,X,X,X
TOSZIJL,O,O,O,X,O,X,X,X,X
TOSZLIJ,O,O,O,X,O,X,O,X,X
TOSZLJI,O,O,O,X,O,O,O,X,X
TOSZJIL,O,O,O,X,O,O,X,X,X
TOSZJLI,O,O,O,X,O,O,O,X,X
TOZILJS,X,O,O,O,X,O,X,X,X
TOZILSJ,O,O,X,O,O,X,X,X,X
TOZIJLS,X,O,O,O,O,O,X,X,X
TOZIJSL,X,O,O,O,O,O,X,X,X
TOZISLJ,O,O,O,O,O,X,X,X,X
TOZISJL,O,O,O,X,O,X,X,X,X
TOZLIJS,X,O,O,O,X,O,X,X,X
TOZLISJ,O,O,X,O,O,X,X,X,X
TOZLJIS,O,O,O,O,O,O,X,X,X
TOZLJSI,O,O,O,O,O,O,X,X,X
TOZLSIJ,O,O,O,O,O,X,X,X,X
TOZLSJI,O,O,O,O,O,O,X,X,X
TOZJILS,O,O,O,O,O,O,X,X,X
TOZJISL,O,O,O,O,O,O,X,X,X
TOZJLIS,O,O,O,O,O,O,X,X,X
TOZJLSI,O,O,O,O,O,O,X,X,X
TOZJSIL,O,O,O,O,O,O,X,X,X
TOZJSLI,O,O,O,O,O,O,O,X,X
TOZSILJ,O,O,O,O,O,X,X,X,X
TOZSIJL,O,O,O,X,O,X,X,X,X
TOZSLIJ,O,O,O,O,O,X,O,X,X
TOZSLJI,O,O,O,O,O,O,O,X,X
TOZSJIL,O,O,O,O,O,O,X,X,X
TOZSJLI,O,O,O,O,O,O,O,X,X
ITLJSZO,O,O,X,O,X,X,X,X,X
ITLJSOZ,O,O,X,O,X,X,X,O,X
ITLJZSO,O,O,X,O,X,O,X,X,X
ITLJZOS,O,O,X,O,X,O,X,O,X
ITLJOSZ,X,X,X,O,X,X,X,O,X
ITLJOZS,X,O,X,O,X,O,X,O,X
ITLSJZO,O,O,X,X,X,X,X,X,X
ITLSJOZ,O,O,X,X,O,X,X,O,X
ITLSZJO,O,O,X,X,X,X,X,X,X
ITLSZOJ,O,O,X,O,O,X,X,X,X
ITLSOJZ,O,O,X,O,O,X,X,X,X
ITLSOZJ,O,O,X,O,O,X,X,X,X
ITLZJSO,O,O,X,O,X,O,X,X,X
ITLZJOS,O,O,O,O,X,O,X,O,X
ITLZSJO,O,O,X,X,X,X,X,X,X
ITLZSOJ,O,O,X,O,X,X,X,X,X
ITLZOJS,X,X,O,O,X,O,X,X,X
ITLZOSJ,O,X,X,O,X,X,X,X,X
ITLOJSZ,X,X,X,O,X,X,X,O,X
ITLOJZS,X,X,X,O,X,O,X,O,X
ITLOSJZ,X,X,X,O,O,X,X,X,X
ITLOSZJ,X,X,X,O,O,X,X,X,X
ITLOZJS,X,X,O,O,X,O,X,X,X
ITLOZSJ,X,X,X,O,X,X,X,X,X
ITJLSZO,O,O,X,O,X,X,X,X,X
ITJLSOZ,O,O,X,O,X,X,X,O,X
ITJLZSO,O,O,X,O,X,O,X,X,X
ITJLZOS,O,O,X,O,X,O,X,O,X
ITJLOSZ,X,O,X,O,X,X,X,O,X
ITJLOZS,X,O,X,O,X,O,X,O,X
ITJSLZO,O,O,X,O,X,X,O,X,X
ITJSLOZ,O,O,X,O,O,X,O,O,X
ITJSZLO,O,O,X,O,X,X,X,X,X
ITJSZOL,O,O,X,O,X,X,X,X,X
ITJSOLZ,O,O,X,O,O,X,O,O,X
ITJSOZL,O,O,X,X,X,X,X,X,X
ITJZLSO,O,O,X,O,X,O,X,X,X
ITJZLOS,O,O,O,O,X,O,X,O,X
ITJZSLO,O,O,X,O,X,O,X,X,X
ITJZSOL,O,O,O,O,X,O,X,X,X
ITJZOLS,O,O,O,O,X,O,X,O,X
ITJZOSL,O,O,O,O,X,O,X,X,X
ITJOLSZ,X,O,X,O,X,X,X,O,X
ITJOLZS,X,O,X,O,X,O,X,O,X
ITJOSLZ,X,O,X,O,O,X,O,O,X
ITJOSZL,X,O,X,X,X,X,X,X,X
ITJOZLS,X,O,O,O,X,O,X,O,X
ITJOZSL,X,O,O,O,X,O,X,X,X
ITSLJZO,O,O,O,X,X,X,O,X,X
ITSLJOZ,O,O,O,X,O,X,O,O,X
ITSLZJO,O,O,O,X,O,X,O,X,X
ITSLZOJ,O,O,O,O,O,X,O,X,X
ITSLOJZ,O,O,O,O,O,X,O,X,X
ITSLOZJ,O,O,O,O,O,X,O,X,X
ITSJLZO,O,O,X,X,X,X,O,X,X
ITSJLOZ,O,O,X,X,O,X,O,O,X
ITSJZLO,O,O,O,X,X,X,X,X,X
ITSJZOL,O,O,O,X,X,X,X,X,X
ITSJOLZ,O,O,X,X,O,X,O,O,X
ITSJOZL,O,O,O,X,X,X,X,X,X
ITSZLJO,O,O,O,X,O,X,X,X,X
ITSZLOJ,O,O,O,O,O,X,X,X,X
ITSZJLO,O,O,O,X,O,X,X,X,X
ITSZJOL,O,O,O,X,O,X,X,X,X
ITSZOLJ,O,O,O,O,O,X,X,X,X
ITSZOJL,O,O,O,X,O,X,X,X,X
ITSOLJZ,O,O,O,O,O,X,O,X,X
ITSOLZJ,O,O,O,O,O,X,O,X,X
ITSOJLZ,O,O,X,X,O,X,O,X,X
ITSOJZL,O,O,O,X,X,X,X,X,X
ITSOZLJ,O,O,O,X,O,X,X,X,X
ITSOZJL,O,O,O,X,O,X,X,X,X
ITZLJSO,O,O,X,O,X,O,X,X,X
ITZLJOS,O,O,O,O,X,O,X,O,X
ITZLSJO,O,O,X,X,O,X,X,X,X
ITZLSOJ,O,O,X,O,O,X,X,X,X
ITZLOJS,X,X,O,O,X,O,X,X,X
ITZLOSJ,O,X,X,O,O,X,X,X,X
ITZJLSO,O,O,X,O,O,O,X,X,X
ITZJLOS,O,O,O,O,O,O,X,O,X
ITZJSLO,O,O,O,O,O,O,X,X,X
ITZJSOL,O,O,O,O,O,O,X,X,X
ITZJOLS,O,O,O,O,O,O,X,O,X
ITZJOSL,O,X,O,O,O,O,X,X,X
ITZSLJO,O,O,O,X,O,X,X,X,X
ITZSLOJ,O,O,O,O,O,X,X,X,X
ITZSJLO,O,O,O,X,O,X,X,X,X
ITZSJOL,O,O,O,X,O,X,X,X,X
ITZSOLJ,O,O,O,O,O,X,X,X,X
ITZSOJL,O,O,O,X,O,X,X,X,X
ITZOLJS,X,X,O,O,X,O,X,X,X
ITZOLSJ,O,X,X,O,O,X,X,X,X
ITZOJLS,X,X,O,O,O,O,X,X,X
ITZOJSL,X,X,O,O,O,O,X,X,X
ITZOSLJ,O,X,O,O,O,X,X,X,X
ITZOSJL,O,X,O,X,O,X,X,X,X
ITOLJSZ,X,O,X,O,X,X,X,O,X
ITOLJZS,X,O,X,O,X,O,X,O,X
ITOLSJZ,X,O,X,O,O,X,X,X,X
ITOLSZJ,X,O,X,O,O,X,X,X,X
ITOLZJS,X,O,O,O,X,O,X,X,X
ITOLZSJ,X,O,X,O,X,X,X,X,X
ITOJLSZ,X,O,X,O,X,X,X,O,X
ITOJLZS,X,O,X,O,X,O,X,O,X
ITOJSLZ,X,O,X,O,O,X,O,O,X
ITOJSZL,X,O,X,X,X,X,X,X,X
ITOJZLS,X,O,O,O,X,O,X,O,X
ITOJZSL,X,O,O,X,X,O,X,X,X
ITOSLJZ,X,O,O,O,O,X,O,X,X
ITOSLZJ,X,O,O,O,O,X,O,X,X
ITOSJLZ,X,O,X,X,O,X,O,X,X
ITOSJZL,X,O,O,X,X,X,X,X,X
ITOSZLJ,X,O,O,X,O,X,X,X,X
ITOSZJL,X,O,O,X,O,X,X,X,X
ITOZLJS,X,O,O,O,X,O,X,X,X
ITOZLSJ,X,O,X,O,O,X,X,X,X
ITOZJLS,X,O,O,O,O,O,X,X,X
ITOZJSL,X,O,O,X,O,O,X,X,X
ITOZSLJ,X,O,O,O,O,X,X,X,X
ITOZSJL,X,O,O,X,O,X,X,X,X
ILTJSZO,O,O,X,O,X,X,X,X,X
ILTJSOZ,O,O,X,O,X,X,X,O,X
ILTJZSO,O,O,X,O,X,O,X,X,X
ILTJZOS,O,O,X,O,X,O,X,O,X
ILTJOSZ,X,X,X,O,X,X,X,O,X
ILTJOZS,X,O,X,O,X,O,X,O,X
ILTSJZO,O,O,X,X,X,X,X,X,X
ILTSJOZ,O,O,X,X,O,X,X,O,X
ILTSZJO,O,O,X,X,X,X,X,X,X
ILTSZOJ,O,O,X,O,O,X,X,X,X
ILTSOJZ,O,O,X,O,O,X,X,X,X
ILTSOZJ,O,O,X,O,O,X,X,X,X
ILTZJSO,O,O,X,O,X,O,X,X,X
ILTZJOS,O,O,O,O,X,O,X,O,X
ILTZSJO,O,O,X,X,X,X,X,X,X
ILTZSOJ,O,O,X,O,X,X,X,X,X
ILTZOJS,X,X,O,O,X,O,X,X,X
ILTZOSJ,O,X,X,O,X,X,X,X,X
ILTOJSZ,X,X,X,O,X,X,X,O,X
ILTOJZS,X,X,X,O,X,O,X,O,X
ILTOSJZ,X,X,X,O,O,X,X,X,X
ILTOSZJ,X,X,X,O,O,X,X,X,X
ILTOZJS,X,X,O,O,X,O,X,X,X
ILTOZSJ,X,X,X,O,X,X,X,X,X
ILJTSZO,X,X,X,O,X,X,X,X,X
ILJTSOZ,X,X,X,O,X,X,X,O,X
ILJTZSO,X,O,X,O,X,X,X,X,X
ILJTZOS,X,X,X,O,X,X,X,O,X
ILJTOSZ,X,X,X,O,X,X,X,O,X
ILJTOZS,X,X,X,O,X,X,X,O,X
ILJSTZO,X,O,X,O,X,X,X,X,X
ILJSTOZ,X,X,X,O,X,X,X,X,X
ILJSZTO,O,O,X,O,X,X,X,X,X
ILJSZOT,O,O,X,X,X,X,X,X,X
ILJSOTZ,X,X,X,X,X,X,X,O,O
ILJSOZT,O,O,X,O,X,X,X,O,O
ILJZTSO,O,O,X,O,X,X,X,X,X
ILJZTOS,X,X,X,O,X,O,X,X,X
ILJZSTO,O,O,X,O,X,X,X,X,X
ILJZSOT,O,O,X,O,X,O,X,X,X
ILJZOTS,X,X,X,O,X,O,X,X,X
ILJZOST,O,O,X,O,X,O,X,O,X
ILJOTSZ,X,X,X,O,X,X,X,O,O
ILJOTZS,X,X,X,O,X,X,X,O,X
ILJOSTZ,X,X,X,X,X,X,X,O,O
ILJOSZT,X,X,X,O,X,X,X,O,O
ILJOZTS,X,X,X,O,X,O,X,X,X
ILJOZST,X,O,X,O,X,O,X,O,O
ILSTJZO,O,O,X,X,X,X,X,X,X
ILSTJOZ,O,X,X,X,X,X,X,X,X
ILSTZJO,O,O,X,X,X,X,X,X,X
ILSTZOJ,O,X,X,O,X,X,X,X,X
ILSTOJZ,O,X,X,O,X,X,X,X,X
ILSTOZJ,O,X,X,O,O,X,X,X,X
ILSJTZO,X,O,X,X,X,X,X,X,X
ILSJTOZ,X,X,X,X,X,X,X,X,X
ILSJZTO,O,O,X,X,X,X,X,X,X
ILSJZOT,O,O,X,X,X,X,X,X,X
ILSJOTZ,X,X,X,X,X,X,X,O,O
ILSJOZT,O,O,X,X,O,X,X,O,O
ILSZTJO,X,O,X,X,X,X,X,X,X
ILSZTOJ,O,X,X,X,X,X,X,X,X
ILSZJTO,O,O,X,X,X,X,X,X,X
ILSZJOT,O,O,X,X,X,X,X,X,X
ILSZOTJ,O,X,X,X,O,X,X,X,X
ILSZOJT,O,O,X,O,O,X,X,X,X
ILSOTJZ,O,X,X,X,X,X,X,X,O
ILSOTZJ,O,X,X,X,O,X,X,X,X
ILSOJTZ,X,X,X,X,X,X,X,X,O
ILSOJZT,O,O,X,O,O,X,X,X,O
ILSOZTJ,O,X,X,X,O,X,X,X,X
ILSOZJT,O,O,X,O,O,X,X,X,O
ILZTJSO,X,O,X,X,X,X,X,X,X
ILZTJOS,X,O,X,O,X,X,X,X,X
ILZTSJO,X,O,X,X,X,X,X,X,X
ILZTSOJ,O,O,X,O,X,X,X,X,X
ILZTOJS,X,X,X,O,X,X,X,X,X
ILZTOSJ,X,X,X,O,X,X,X,X,X
ILZJTSO,O,O,X,O,X,X,X,X,X
ILZJTOS,X,X,X,O,X,O,X,X,X
ILZJSTO,O,O,X,O,X,X,X,X,X
ILZJSOT,O,O,X,O,X,O,X,X,X
ILZJOTS,X,X,X,O,X,O,X,X,X
ILZJOST,O,O,O,O,X,O,X,O,X
ILZSTJO,X,O,X,X,X,X,X,X,X
ILZSTOJ,O,X,X,X,X,X,X,X,X
ILZSJTO,O,O,X,X,X,X,X,X,X
ILZSJOT,O,O,X,X,X,X,X,X,X
ILZSOTJ,O,X,X,X,X,X,X,X,X
ILZSOJT,O,O,X,O,X,X,X,X,X
ILZOTJS,X,X,X,O,X,X,X,X,X
ILZOTSJ,X,X,X,X,X,X,X,X,X
ILZOJTS,X,X,X,O,X,O,X,X,X
ILZOJST,X,X,O,O,X,O,X,X,X
ILZOSTJ,O,X,X,X,X,X,X,X,X
ILZOSJT,O,X,X,O,X,X,X,X,X
ILOTJSZ,X,X,X,O,X,X,X,X,O
ILOTJZS,X,X,X,O,X,O,X,X,X
ILOTSJZ,X,X,X,O,O,X,X,X,O
ILOTSZJ,X,X,X,O,O,X,X,X,X
ILOTZJS,X,X,O,O,X,O,X,X,X
ILOTZSJ,X,X,X,O,X,X,X,X,X
ILOJTSZ,X,X,X,X,X,X,X,O,O
ILOJTZS,X,X,X,O,X,X,X,X,X
ILOJSTZ,X,X,X,X,X,X,X,O,O
ILOJSZT,X,X,X,O,X,X,X,O,O
ILOJZTS,X,X,X,O,X,O,X,X,X
ILOJZST,X,X,X,O,X,O,X,O,O
ILOSTJZ,X,X,X,X,X,X,X,X,O
ILOSTZJ,X,X,X,X,O,X,X,X,X
ILOSJTZ,X,X,X,X,X,X,X,X,O
ILOSJZT,X,X,X,O,O,X,X,X,O
ILOSZTJ,X,X,X,X,O,X,X,X,X
ILOSZJT,X,X,X,O,O,X,X,X,O
ILOZTJS,X,X,X,O,X,X,X,X,X
ILOZTSJ,X,X,X,X,X,X,X,X,X
ILOZJTS,X,X,X,O,X,O,X,X,X
ILOZJST,X,X,O,O,X,O,X,X,O
ILOZSTJ,X,X,X,X,X,X,X,X,X
ILOZSJT,X,X,X,O,X,X,X,X,O
IJTLSZO,X,X,X,O,X,X,X,X,X
IJTLSOZ,X,X,X,O,X,X,X,O,X
IJTLZSO,X,O,X,O,X,X,X,X,X
IJTLZOS,X,X,X,O,X,X,X,O,X
IJTLOSZ,X,X,X,O,X,X,X,O,X
IJTLOZS,X,X,X,O,X,X,X,O,X
IJTSLZO,X,X,X,O,X,X,X,X,X
IJTSLOZ,X,X,X,O,O,X,X,O,X
IJTSZLO,X,X,X,O,X,X,X,X,X
IJTSZOL,X,X,X,O,X,X,X,X,X
IJTSOLZ,X,X,X,O,O,X,X,O,X
IJTSOZL,X,X,X,X,X,X,X,X,X
IJTZLSO,X,O,X,O,X,X,X,X,X
IJTZLOS,X,X,O,O,X,X,X,O,X
IJTZSLO,X,X,X,O,X,X,X,X,X
IJTZSOL,X,X,O,O,X,X,X,X,X
IJTZOLS,X,X,O,O,X,X,X,O,X
IJTZOSL,X,X,O,O,X,X,X,X,X
IJTOLSZ,X,X,X,O,X,X,X,O,X
IJTOLZS,X,O,X,O,X,X,X,O,X
IJTOSLZ,X,X,X,O,O,X,X,O,X
IJTOSZL,X,X,X,X,X,X,X,X,X
IJTOZLS,X,O,O,O,X,X,X,O,X
IJTOZSL,X,X,O,O,X,X,X,X,X
IJLTSZO,X,X,X,O,X,X,X,X,X
IJLTSOZ,X,X,X,O,X,X,X,O,X
IJLTZSO,X,O,X,O,X,X,X,X,X
IJLTZOS,X,X,X,O,X,X,X,O,X
IJLTOSZ,X,X,X,O,X,X,X,O,X
IJLTOZS,X,X,X,O,X,X,X,O,X
IJLSTZO,X,O,X,O,X,X,X,X,X
IJLSTOZ,X,X,X,O,X,X,X,X,X
IJLSZTO,O,O,X,O,X,X,X,X,X
IJLSZOT,O,O,X,X,X,X,X,X,X
IJLSOTZ,X,X,X,X,X,X,X,O,O
IJLSOZT,O,O,X,O,X,X,X,O,O
IJLZTSO,O,O,X,O,X,X,X,X,X
IJLZTOS,X,X,X,O,X,O,X,X,X
IJLZSTO,O,O,X,O,X,X,X,X,X
IJLZSOT,O,O,X,O,X,O,X,X,X
IJLZOTS,X,X,X,O,X,O,X,X,X
IJLZOST,O,O,X,O,X,O,X,O,X
IJLOTSZ,X,X,X,O,X,X,X,O,O
IJLOTZS,X,O,X,O,X,X,X,O,X
IJLOSTZ,X,X,X,X,X,X,X,O,O
