sequence,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeqAJvhFTcBmdB5jB0?iB3mBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8Jez7IvhFWiBxdB6oBF?mBXnB8sB,v115@zgC8GeC8GeC8GeD8FeG8AeB8Jez7IvhFCdBejB5jBX?iBUmBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeuAJvhFchBidB5jBz?iB3mBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeuAJvhF1hB5jB3iBT?mB8sBisB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeC8IvhFxdBlhBziB+?oBUmB/sB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeG8IvhFyiB5jBzgB0?iB3mBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFciBTeBfmB6?mBGoBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFFeBChB0iB+?oBTmB/sB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFChBliBcoBT?mB/sBGtB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFGeBSmBTiB/?oBUmBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8Jex9IvhFfmBlhBcnBT?jBGmBCtB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFGeBfmB0hBS?sBToBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8Jez7IvhFfiBxdBSoBF?mBUoBGsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeSBJvhF/iBTjBRmBU?mBGoBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFGeBSmBliB/?sBTtBUrB
TJILOSZ,X,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X
TJILOZS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJISLZO,O,X,O,O,X,O,X,O,O,X,X,X,X,O,X,X
TJISLOZ,O,X,O,X,X,O,O,O,O,X,X,X,X,O,O,X
TJISZLO,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TJISZOL,O,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TJISOLZ,X,O,O,O,X,O,O,O,O,X,X,X,X,O,O,X
TJISOZL,X,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X
TJIZLSO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TJIZLOS,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TJIZSLO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TJIZSOL,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TJIZOLS,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TJIZOSL,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TJIOLSZ,X,O,X,O,X,X,X,X,O,X,X,X,X,O,O,X
TJIOLZS,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TJIOSLZ,X,O,O,O,X,X,X,O,O,X,X,X,X,O,O,X
TJIOSZL,X,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X
TJIOZLS,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TJIOZSL,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TJLISZO,O,X,O,X,X,X,X,X,O,X,O,X,X,O,X,X
TJLISOZ,O,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X
TJLIZSO,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLIZOS,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLIOSZ,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X
TJLIOZS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLSIZO,O,X,O,X,X,X,X,O,O,X,O,X,X,O,X,X
TJLSIOZ,O,O,O,X,X,X,X,O,O,X,O,X,X,O,X,X
TJLSZIO,O,X,O,X,X,X,X,O,O,X,O,X,X,O,X,X
TJLSZOI,O,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X
TJLSOIZ,O,O,O,X,X,X,X,O,O,X,O,X,X,O,X,X
TJLSOZI,O,O,O,X,X,X,X,O,O,X,O,X,X,O,X,X
TJLZISO,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLZIOS,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TJLZSIO,O,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X
TJLZSOI,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TJLZOIS,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLZOSI,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TJLOISZ,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X
TJLOIZS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLOSIZ,X,O,X,X,X,X,X,O,O,X,O,X,X,O,X,X
TJLOSZI,X,O,X,X,X,X,X,O,O,X,O,X,X,O,X,X
TJLOZIS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJLOZSI,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TJSILZO,O,X,O,O,X,O,X,O,O,X,O,X,X,O,X,X
TJSILOZ,O,X,O,X,X,O,O,O,O,X,O,X,X,O,O,X
TJSIZLO,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TJSIZOL,O,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TJSIOLZ,X,O,O,O,X,O,O,O,O,X,O,X,X,O,O,X
TJSIOZL,X,O,O,O,X,O,O,O,X,X,O,X,X,O,X,X
TJSLIZO,O,X,O,O,X,O,X,O,O,X,O,X,X,O,X,X
TJSLIOZ,O,O,O,X,X,O,O,O,O,X,O,X,X,O,X,X
TJSLZIO,O,X,O,O,X,O,X,O,O,X,O,X,X,O,X,X
TJSLZOI,O,X,O,O,X,O,X,O,O,X,X,X,X,O,X,X
TJSLOIZ,O,O,O,X,X,O,O,O,O,X,O,X,X,O,X,X
TJSLOZI,O,O,O,X,X,O,O,O,O,X,O,X,X,O,X,X
TJSZILO,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
TJSZIOL,O,O,O,O,X,O,X,O,O,X,X,X,X,O,X,X
TJSZLIO,O,O,O,O,X,O,X,O,O,X,O,X,X,O,X,X
TJSZLOI,O,O,O,O,X,O,X,O,O,X,X,X,X,O,X,X
TJSZOIL,O,O,O,O,X,O,X,O,O,X,O,X,X,O,X,X
TJSZOLI,O,O,O,O,X,O,X,O,O,X,O,X,X,O,X,X
TJSOILZ,X,O,O,O,X,O,O,O,O,X,O,X,X,O,O,X
TJSOIZL,X,O,O,O,X,O,O,O,X,X,O,X,X,O,X,X
TJSOLIZ,X,O,O,O,X,O,O,O,O,X,O,X,X,O,X,X
TJSOLZI,X,O,O,O,X,O,O,O,O,X,O,X,X,O,X,X
TJSOZIL,X,O,O,O,X,O,O,O,O,X,O,X,X,O,X,X
TJSOZLI,X,O,O,O,X,O,O,O,O,X,O,X,X,O,X,X
TJZILSO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TJZILOS,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TJZISLO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TJZISOL,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TJZIOLS,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TJZIOSL,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TJZLISO,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TJZLIOS,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TJZLSIO,O,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X
TJZLSOI,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
TJZLOIS,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TJZLOSI,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
TJZSILO,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TJZSIOL,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
TJZSLIO,O,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X
TJZSLOI,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
TJZSOIL,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
TJZSOLI,O,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X
TJZOILS,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TJZOISL,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TJZOLIS,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X
TJZOLSI,O,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X
TJZOSIL,O,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X
TJZOSLI,O,O,O,X,O,O,X,O,O,X,X,X,X,O,X,X
TJOILSZ,X,O,X,O,X,X,X,X,O,X,X,X,X,O,O,X
TJOILZS,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TJOISLZ,X,O,O,O,X,X,X,O,O,X,O,X,X,O,O,X
TJOISZL,X,O,O,O,O,X,X,O,X,X,O,X,X,O,X,X
TJOIZLS,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TJOIZSL,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TJOLISZ,X,O,X,O,X,X,X,X,O,X,O,X,X,O,X,X
TJOLIZS,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TJOLSIZ,X,O,X,O,X,X,X,O,O,X,O,X,X,O,X,X
TJOLSZI,X,O,X,O,X,X,X,O,O,X,O,X,X,O,X,X
TJOLZIS,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
TJOLZSI,X,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X
TJOSILZ,X,O,O,O,X,X,X,O,O,X,O,X,X,O,O,X
TJOSIZL,X,O,O,O,O,X,X,O,X,X,O,X,X,O,X,X
TJOSLIZ,X,O,O,O,X,X,X,O,O,X,O,X,X,O,X,X
TJOSLZI,X,O,O,O,X,X,X,O,O,X,O,X,X,O,X,X
TJOSZIL,X,O,O,O,O,X,X,O,O,X,O,X,X,O,X,X
TJOSZLI,X,O,O,O,O,X,X,O,O,X,O,X,X,O,X,X
TJOZILS,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TJOZISL,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TJOZLIS,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X
TJOZLSI,X,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X
TJOZSIL,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X
TJOZSLI,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X
TSILJZO,O,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TSILJOZ,O,X,O,X,X,O,O,O,X,X,O,X,X,X,O,X
TSILZJO,O,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TSILZOJ,O,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TSILOJZ,O,X,X,O,X,O,O,X,X,X,O,X,O,O,O,X
TSILOZJ,O,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X
TSIJLZO,O,X,O,O,X,O,X,O,X,X,O,X,X,O,X,X
TSIJLOZ,O,X,O,X,X,O,O,O,X,X,O,X,X,O,O,X
TSIJZLO,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TSIJZOL,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X
TSIJOLZ,X,X,O,O,X,O,O,O,X,X,O,X,X,O,O,X
TSIJOZL,X,X,O,O,X,O,O,O,X,X,O,X,X,O,X,X
TSIZLJO,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TSIZLOJ,O,X,O,O,X,X,O,O,X,X,X,O,O,X,O,X
TSIZJLO,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TSIZJOL,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TSIZOLJ,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X
TSIZOJL,O,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X
TSIOLJZ,O,X,X,O,X,O,O,X,X,X,O,X,O,O,O,X
TSIOLZJ,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X
TSIOJLZ,X,X,X,O,X,X,O,X,X,X,O,X,O,O,O,X
TSIOJZL,X,X,X,O,X,X,O,X,X,X,O,X,O,O,X,X
TSIOZLJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TSIOZJL,O,X,X,O,X,X,O,O,X,X,O,X,O,O,X,X
TSLIJZO,O,X,O,O,X,O,X,O,O,X,O,X,X,X,X,X
TSLIJOZ,O,O,O,X,X,O,O,O,O,X,O,X,X,X,O,X
TSLIZJO,O,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TSLIZOJ,O,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TSLIOJZ,O,O,X,O,X,O,O,X,X,X,O,X,O,O,O,O
TSLIOZJ,O,X,X,O,X,X,O,O,X,X,O,X,X,X,O,O
TSLJIZO,O,X,O,O,X,O,X,O,O,X,O,X,X,O,X,X
TSLJIOZ,O,O,O,X,X,O,O,O,O,X,O,X,X,O,X,X
TSLJZIO,O,X,O,O,X,O,X,O,O,X,O,X,X,O,X,X
TSLJZOI,O,X,O,O,X,O,X,O,O,X,X,X,X,O,X,X
TSLJOIZ,O,O,O,X,X,O,O,O,O,X,O,X,X,O,X,X
TSLJOZI,O,O,O,X,X,O,O,O,X,X,O,X,X,O,X,X
TSLZIJO,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TSLZIOJ,O,O,O,O,X,X,O,O,X,O,X,O,O,X,X,X
TSLZJIO,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TSLZJOI,O,O,O,O,X,O,X,O,X,O,X,O,X,X,X,X
TSLZOIJ,O,O,O,O,X,X,O,O,X,O,O,O,O,X,X,X
TSLZOJI,O,O,O,O,X,X,O,O,X,O,O,O,O,X,X,X
TSLOIJZ,O,O,X,O,X,O,O,X,X,X,O,X,O,O,O,O
TSLOIZJ,O,X,X,O,X,X,O,O,X,X,O,O,X,X,O,O
TSLOJIZ,O,O,O,O,X,O,O,O,X,X,O,X,O,O,X,O
TSLOJZI,O,O,O,O,X,O,O,O,X,X,O,X,O,O,X,O
TSLOZIJ,O,O,O,O,X,X,O,O,X,X,O,O,O,X,X,O
TSLOZJI,O,O,O,O,X,X,O,O,X,X,O,O,O,X,X,O
TSJILZO,O,X,O,O,X,O,X,O,O,X,O,X,X,O,X,X
TSJILOZ,O,X,O,X,X,O,O,O,O,X,O,X,X,O,O,X
TSJIZLO,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TSJIZOL,O,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TSJIOLZ,X,O,O,O,X,O,O,O,O,X,O,X,X,O,O,X
TSJIOZL,X,O,O,O,X,O,O,O,X,X,O,X,X,O,X,X
TSJLIZO,O,X,O,O,X,O,X,O,O,X,O,X,X,O,X,X
TSJLIOZ,O,O,O,X,X,O,O,O,O,X,O,X,X,O,X,X
TSJLZIO,O,X,O,O,X,O,X,O,O,X,O,X,X,O,X,X
TSJLZOI,O,X,O,O,X,O,X,O,O,X,X,X,X,O,X,X
TSJLOIZ,O,O,O,X,X,O,O,O,O,X,O,X,X,O,X,X
TSJLOZI,O,O,O,X,X,O,O,O,O,X,O,X,X,O,X,X
TSJZILO,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
TSJZIOL,O,O,O,O,X,O,X,O,O,X,X,X,X,O,X,X
TSJZLIO,O,O,O,O,X,O,X,O,O,X,O,X,X,O,X,X
TSJZLOI,O,O,O,O,X,O,X,O,O,X,X,O,X,O,X,X
TSJZOIL,O,O,O,O,X,O,X,O,O,X,O,X,X,O,X,X
TSJZOLI,O,O,O,O,X,O,X,O,O,X,O,X,X,O,X,X
TSJOILZ,X,O,O,O,X,O,O,O,O,X,O,X,X,O,O,X
TSJOIZL,X,O,O,O,X,O,O,O,X,X,O,X,X,O,X,X
TSJOLIZ,X,O,O,O,X,O,O,O,O,X,O,X,X,O,X,X
TSJOLZI,X,O,O,O,X,O,O,O,O,X,O,X,X,O,X,X
TSJOZIL,X,O,O,O,X,O,O,O,O,X,O,X,X,O,X,X
TSJOZLI,X,O,O,O,X,O,O,O,O,X,O,X,X,O,X,X
TSZILJO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TSZILOJ,O,O,O,O,X,O,O,O,X,O,X,O,O,X,O,X
TSZIJLO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TSZIJOL,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TSZIOLJ,O,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X
TSZIOJL,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X
TSZLIJO,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TSZLIOJ,O,O,O,O,X,O,O,O,X,O,X,O,O,X,X,X
TSZLJIO,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TSZLJOI,O,O,O,O,X,O,X,O,X,O,X,O,X,X,X,X
TSZLOIJ,O,O,O,O,X,O,O,O,X,O,O,O,O,X,X,X
TSZLOJI,O,O,O,O,X,O,O,O,X,O,O,O,O,X,X,X
TSZJILO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TSZJIOL,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TSZJLIO,O,O,O,O,X,O,X,O,X,X,O,X,X,O,X,X
TSZJLOI,O,O,O,O,X,O,X,O,X,O,X,O,X,O,X,X
TSZJOIL,O,O,O,O,X,O,X,O,X,X,O,X,X,O,X,X
TSZJOLI,O,O,O,O,X,O,X,O,X,O,O,X,X,O,X,X
TSZOILJ,O,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X
TSZOIJL,O,O,O,O,X,X,O,O,X,X,O,X,O,O,X,X
TSZOLIJ,O,O,O,O,X,O,O,O,X,O,O,O,O,X,X,X
TSZOLJI,O,O,O,O,X,O,O,O,X,O,O,O,O,X,X,X
TSZOJIL,O,O,O,O,X,O,O,O,X,X,O,X,O,O,X,X
TSZOJLI,O,O,O,O,X,O,O,O,X,O,O,X,X,O,X,X
TSOILJZ,O,X,X,O,X,O,O,X,X,X,O,X,O,O,O,O
TSOILZJ,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,O
TSOIJLZ,X,X,X,O,X,X,O,X,X,X,O,X,O,O,O,O
TSOIJZL,X,X,X,O,X,X,O,X,X,X,O,X,O,O,X,O
TSOIZLJ,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TSOIZJL,O,X,X,O,X,X,O,O,X,X,O,X,O,O,X,O
TSOLIJZ,O,O,X,O,X,O,O,X,O,X,O,X,O,O,O,O
TSOLIZJ,O,X,X,O,X,X,O,O,X,O,O,X,X,X,O,O
TSOLJIZ,O,O,O,O,X,O,O,O,O,X,O,X,O,O,X,O
TSOLJZI,O,O,O,O,X,O,O,O,O,X,O,X,O,O,X,O
TSOLZIJ,O,O,O,O,X,X,O,O,X,O,O,X,O,X,X,O
TSOLZJI,O,O,O,O,X,X,O,O,X,O,O,X,O,X,X,O
TSOJILZ,X,O,O,O,X,O,O,O,O,X,O,X,O,O,O,O
TSOJIZL,X,O,O,O,X,O,O,O,X,X,O,X,O,O,X,O
TSOJLIZ,X,O,O,O,X,O,O,O,O,X,O,X,O,O,X,O
TSOJLZI,X,O,O,O,X,O,O,O,O,X,O,X,O,O,X,O
TSOJZIL,X,O,O,O,X,O,O,O,O,X,O,X,O,O,X,O
TSOJZLI,X,O,O,O,X,O,O,O,O,X,O,X,X,O,X,O
TSOZILJ,O,O,O,O,X,X,O,X,X,O,X,X,X,X,O,X
TSOZIJL,O,O,O,O,X,X,O,O,X,X,O,X,O,O,X,O
TSOZLIJ,O,O,O,O,X,X,O,O,X,O,O,O,O,X,X,O
TSOZLJI,O,O,O,O,X,X,O,O,X,O,O,O,O,X,X,O
TSOZJIL,O,O,O,O,X,X,O,O,X,X,O,X,O,O,X,O
TSOZJLI,O,O,O,O,X,X,O,O,X,O,O,X,X,O,X,O
TZILJSO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TZILJOS,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TZILSJO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TZILSOJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TZILOJS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TZILOSJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TZIJLSO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TZIJLOS,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TZIJSLO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TZIJSOL,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TZIJOLS,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TZIJOSL,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TZISLJO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TZISLOJ,O,O,O,O,X,O,O,O,X,X,X,X,X,X,O,X
TZISJLO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TZISJOL,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TZISOLJ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X
TZISOJL,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TZIOLJS,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TZIOLSJ,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X
TZIOJLS,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TZIOJSL,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TZIOSLJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TZIOSJL,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TZLIJSO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TZLIJOS,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TZLISJO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TZLISOJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TZLIOJS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TZLIOSJ,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TZLJISO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TZLJIOS,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TZLJSIO,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TZLJSOI,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TZLJOIS,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TZLJOSI,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TZLSIJO,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X
TZLSIOJ,O,O,O,X,X,O,X,O,X,O,X,O,X,X,X,X
TZLSJIO,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X
TZLSJOI,O,O,O,X,X,O,X,O,X,O,X,O,X,X,X,X
TZLSOIJ,O,O,O,X,X,O,X,O,X,O,O,O,X,X,X,X
TZLSOJI,O,O,O,X,X,O,X,O,X,O,O,O,X,X,X,X
TZLOIJS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TZLOISJ,O,O,X,X,X,O,X,X,X,O,O,O,X,X,X,X
TZLOJIS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TZLOJSI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TZLOSIJ,O,O,O,X,X,O,X,X,X,O,O,O,X,X,X,X
TZLOSJI,O,O,O,X,X,O,X,X,X,O,O,O,X,X,X,X
TZJILSO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TZJILOS,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TZJISLO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TZJISOL,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TZJIOLS,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TZJIOSL,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TZJLISO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TZJLIOS,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TZJLSIO,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TZJLSOI,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TZJLOIS,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TZJLOSI,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TZJSILO,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TZJSIOL,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TZJSLIO,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TZJSLOI,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TZJSOIL,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TZJSOLI,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TZJOILS,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TZJOISL,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TZJOLIS,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TZJOLSI,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TZJOSIL,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TZJOSLI,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TZSILJO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TZSILOJ,O,O,O,O,X,O,O,O,X,O,X,O,X,X,O,X
TZSIJLO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TZSIJOL,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TZSIOLJ,O,O,O,O,O,O,O,X,X,O,X,X,X,X,O,X
TZSIOJL,O,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X
TZSLIJO,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TZSLIOJ,O,O,O,O,X,O,O,O,X,O,X,O,X,X,X,X
TZSLJIO,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TZSLJOI,O,O,O,O,X,O,X,O,X,O,X,O,X,X,X,X
TZSLOIJ,O,O,O,O,X,O,O,O,X,O,O,O,X,X,X,X
TZSLOJI,O,O,O,O,X,O,O,O,X,O,O,O,X,X,X,X
TZSJILO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TZSJIOL,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TZSJLIO,O,O,O,O,X,O,X,O,X,X,O,X,X,O,X,X
TZSJLOI,O,O,O,O,X,O,X,O,X,O,X,O,X,O,X,X
TZSJOIL,O,O,O,O,X,O,X,O,X,X,O,X,X,O,X,X
TZSJOLI,O,O,O,O,X,O,X,O,X,O,O,X,X,O,X,X
TZSOILJ,O,O,O,O,O,O,O,X,X,O,X,X,X,X,O,X
