sequence,v115@EhC8FeF8DeG8AeF8JeO/IvhF6gB0cBxdBzfB/mBlqB,v115@EhC8FeF8DeG8AeF8JeO/IvhF0cBxdBCgB/mBTgBlqB,v115@EhC8FeF8DeG8AeF8JeK/IvhFzaB+gB0cBxdB/mBlqB,v115@EhC8FeF8DeG8AeF8JeO/IvhF0cBxdBflBlgBTmB6qB,v115@EhC8FeF8DeG8AeF8JeT6IvhF0bBxdBykBumBXhBlqB,v115@EhC8FeF8DeG8AeF8JeT6IvhFxdBlhBmkBUmB/lBCrB,v115@EhC8FeF8DeG8AeF8Jem6IvhFCcBxdBTfBlhB/qBUrB,v115@EhC8FeF8DeG8AeF8Jem6IvhFxdBTfBclBXmBlmBCrB
TZIJSLO,O,O,O,X,X,O,O,X
TZIJSOL,O,O,O,X,X,O,O,X
TZIJOLS,O,X,X,X,X,O,X,X
TZIJOSL,O,X,X,O,X,O,O,X
TZISLJO,O,O,O,X,X,X,O,X
TZISLOJ,O,O,O,X,X,X,O,X
TZISJLO,O,O,O,X,X,O,O,X
TZISJOL,O,O,O,X,X,O,O,X
TZISOLJ,O,O,O,X,X,X,O,O
TZISOJL,O,O,O,X,X,X,O,O
TZIOLJS,O,X,X,X,X,X,O,X
TZIOLSJ,O,X,X,X,X,X,O,X
TZIOJLS,O,X,X,X,X,O,O,X
TZIOJSL,O,X,X,O,X,O,O,O
TZIOSLJ,O,X,X,O,X,X,O,O
TZIOSJL,O,X,X,O,X,X,O,O
TZLIJSO,O,O,O,X,O,O,X,X
TZLIJOS,X,X,O,X,O,O,X,X
TZLISJO,O,O,O,X,X,X,O,X
TZLISOJ,O,O,O,X,X,X,O,X
TZLIOJS,O,X,O,X,O,X,O,X
TZLIOSJ,O,X,O,X,X,X,O,X
TZLJISO,O,O,O,X,O,O,X,X
TZLJIOS,X,X,O,X,O,O,X,X
TZLJSIO,O,O,O,X,O,O,X,X
TZLJSOI,O,O,O,X,O,O,X,X
TZLJOIS,X,X,O,X,O,O,X,X
TZLJOSI,X,X,O,X,O,O,X,X
TZLSIJO,O,O,O,X,X,X,O,X
TZLSIOJ,O,O,O,X,X,X,O,X
TZLSJIO,O,O,O,X,O,X,O,X
TZLSJOI,O,O,O,X,O,X,O,X
