sequence,v115@6gC8HeB8HeE8CeH8BeD8JeK/IvhFzaBRcB3gBGiBlm?BUrB,v115@6gC8HeB8HeE8CeH8BeD8Jex6IvhFygBTfBGiB0lBlm?B3rB,v115@6gC8HeB8HeE8CeH8BeD8JeO/IvhFxbB/iBCgB0lBlm?BTrB,v115@6gC8HeB8HeE8CeH8BeD8JeO/IvhFxbB/iBzfBChBlm?BUrB,v115@6gC8HeB8HeE8CeH8BeD8JeK/IvhFzaBRcBGiBllB3m?BUrB,v115@6gC8HeB8HeE8CeH8BeD8JeO/IvhFxbB/iBCgB0hBll?BTrB,v115@6gC8HeB8HeE8CeH8BeD8Je06IvhFxbB/iB2kBqlBlm?BTrB,v115@6gC8HeB8HeE8CeH8BeD8JeK/IvhFWgBxbB/iB0lBlm?BTrB,v115@6gC8HeB8HeE8CeH8BeD8Jei6IvhF3bBUdB1kBWrBxr?BTrB,v115@6gC8HeB8HeE8CeH8BeD8JeT6IvhF2gBqhB/iBxkBVr?BUrB,v115@6gC8HeB8HeE8CeH8BeD8Jei6IvhFRcB3fBTiBllBcr?BGrB,v115@6gC8HeB8HeE8CeH8BeD8Jex6IvhFygB/iBTfB0lBlm?B+rB,v115@6gC8HeB8HeE8CeH8BeD8JeK/IvhFXcBViBUgBxmBGl?BTrB
ISLJZTO,X,X,O,X,O,O,O,O,X,X,X,X,X
ISLJZOT,O,X,O,X,O,O,O,O,X,X,X,X,X
ISLJOTZ,O,X,X,X,O,O,X,X,X,X,X,X,X
ISLJOZT,O,X,O,X,O,O,O,O,X,X,X,X,X
ISLZTJO,O,X,O,X,X,O,X,O,X,X,X,X,O
ISLZTOJ,O,X,O,X,X,X,X,O,X,X,X,X,O
ISLZJTO,O,X,O,X,X,O,O,O,X,X,X,X,X
ISLZJOT,O,X,O,X,X,O,O,O,X,X,X,X,X
ISLZOTJ,O,X,X,X,X,X,X,X,X,X,X,X,O
ISLZOJT,O,X,O,X,X,O,X,X,X,X,X,X,X
ISLOTJZ,O,X,X,X,O,O,X,X,X,O,X,X,X
ISLOTZJ,O,X,X,X,X,O,X,X,X,O,O,X,X
ISLOJTZ,O,X,X,X,O,O,X,X,X,X,X,X,X
ISLOJZT,O,X,O,X,O,O,O,X,X,X,O,X,X
ISLOZTJ,O,X,X,X,X,O,X,X,X,X,O,X,X
ISLOZJT,O,X,X,X,X,O,X,X,X,X,O,X,X
ISJTLZO,X,X,X,O,O,O,O,X,O,O,X,X,X
ISJTLOZ,O,X,X,O,O,O,O,X,O,O,X,X,X
ISJTZLO,X,X,O,X,O,X,X,X,O,O,X,X,X
ISJTZOL,X,X,X,X,X,X,X,X,O,O,X,X,X
ISJTOLZ,X,X,X,O,O,X,X,X,O,O,X,X,X
ISJTOZL,X,X,X,O,X,X,X,X,O,O,X,X,X
ISJLTZO,X,X,O,X,O,O,O,X,O,X,X,X,X
ISJLTOZ,O,X,X,X,O,O,O,X,O,X,X,X,X
ISJLZTO,X,X,O,X,O,O,O,X,O,X,X,X,X
ISJLZOT,O,X,O,X,O,O,O,X,X,X,X,X,X
ISJLOTZ,O,X,X,X,O,O,X,X,X,X,X,X,X
ISJLOZT,O,X,O,X,O,O,O,X,X,X,X,X,X
ISJZTLO,X,X,O,O,O,O,O,X,O,X,X,X,X
ISJZTOL,X,X,X,O,X,O,X,X,O,X,X,X,X
ISJZLTO,X,X,O,O,O,O,O,X,O,X,X,X,X
ISJZLOT,O,X,O,O,O,O,O,X,X,X,X,X,X
ISJZOTL,X,X,X,O,X,O,X,X,O,X,X,X,X
ISJZOLT,X,X,X,O,X,O,O,X,X,X,X,X,X
ISJOTLZ,X,X,X,O,O,O,X,X,O,O,X,X,X
ISJOTZL,X,X,X,O,X,X,X,X,O,O,X,X,X
ISJOLTZ,O,X,X,O,O,O,X,X,X,X,X,X,X
ISJOLZT,O,X,X,O,O,O,X,X,X,X,X,X,X
ISJOZTL,X,X,X,O,X,O,X,X,O,X,X,X,X
ISJOZLT,X,X,X,O,X,O,X,X,X,X,X,X,X
ISZTLJO,O,X,O,O,X,O,X,O,O,O,X,X,X
ISZTLOJ,O,X,O,O,X,O,X,O,X,O,X,X,X
ISZTJLO,O,X,O,O,X,O,X,X,O,O,X,X,X
ISZTJOL,X,X,X,O,X,O,X,X,O,O,X,X,X
ISZTOLJ,O,X,X,O,X,O,X,X,X,O,X,O,X
ISZTOJL,X,X,X,O,X,O,X,X,X,O,X,O,X
ISZLTJO,O,X,O,O,X,O,X,O,X,X,X,X,X
ISZLTOJ,O,X,O,O,X,O,X,O,X,X,X,X,X
ISZLJTO,O,X,O,O,X,O,X,O,X,X,X,X,X
ISZLJOT,O,X,O,O,X,O,X,O,X,X,X,X,X
ISZLOTJ,O,X,X,O,X,X,X,X,X,X,X,X,X
ISZLOJT,O,X,O,O,X,O,X,X,X,X,X,X,X
ISZJTLO,O,X,O,O,X,O,X,X,O,X,X,X,X
ISZJTOL,X,X,X,O,X,O,X,X,O,X,X,X,X
ISZJLTO,O,X,O,O,X,O,X,X,O,X,X,X,X
ISZJLOT,O,X,O,O,X,O,X,X,X,X,X,X,X
ISZJOTL,X,X,X,O,X,O,X,X,O,X,X,X,X
ISZJOLT,O,X,X,O,X,O,X,X,X,X,X,X,X
ISZOTLJ,X,X,X,O,X,O,X,X,X,O,X,O,X
ISZOTJL,X,X,X,O,X,O,X,X,X,O,X,O,X
ISZOLTJ,O,X,X,O,X,X,X,X,X,X,X,O,X
ISZOLJT,O,X,X,O,X,O,X,X,X,X,X,X,X
ISZOJTL,X,X,X,O,X,O,X,X,X,X,X,O,X
ISZOJLT,X,X,X,O,X,O,X,X,X,X,X,X,X
ISOTLJZ,X,X,X,O,X,O,X,X,X,O,X,X,X
ISOTLZJ,X,X,X,O,X,O,X,X,X,O,O,X,X
ISOTJLZ,X,X,X,O,X,O,X,X,X,O,X,X,X
ISOTJZL,X,X,X,O,X,X,X,X,X,O,X,X,X
ISOTZLJ,X,X,X,X,X,X,X,X,X,O,X,O,X
ISOTZJL,X,X,X,O,X,X,X,X,X,O,X,O,X
ISOLTJZ,O,X,X,X,X,O,X,X,X,O,X,X,X
ISOLTZJ,O,X,X,X,X,O,X,X,X,O,O,X,X
ISOLJTZ,O,X,X,O,X,O,X,X,X,X,X,X,X
ISOLJZT,O,X,X,O,X,O,X,X,X,X,O,X,X
ISOLZTJ,O,X,X,X,X,O,X,X,X,X,O,O,X
ISOLZJT,O,X,X,X,X,O,X,X,X,X,O,X,X
ISOJTLZ,X,X,X,O,X,O,X,X,X,O,X,X,X
ISOJTZL,X,X,X,O,X,X,X,X,X,O,X,X,X
ISOJLTZ,X,X,X,O,X,O,X,X,X,X,X,X,X
ISOJLZT,X,X,X,O,X,O,X,X,X,X,O,X,X
ISOJZTL,X,X,X,O,X,O,X,X,X,X,X,O,X
ISOJZLT,X,X,X,O,X,O,X,X,X,X,X,X,X
ISOZTLJ,X,X,X,O,X,O,X,X,X,O,O,O,X
ISOZTJL,X,X,X,O,X,O,X,X,X,O,O,O,X
ISOZLTJ,X,X,X,O,X,O,X,X,X,X,O,O,X
ISOZLJT,X,X,X,O,X,O,X,X,X,X,O,X,X
ISOZJTL,X,X,X,O,X,O,X,X,X,X,X,O,X
ISOZJLT,X,X,X,O,X,O,X,X,X,X,O,X,X
IZTLJSO,O,X,X,X,X,X,X,X,O,X,X,X,O
IZTLJOS,O,O,X,X,X,X,X,X,O,X,X,X,X
IZTLSJO,O,X,X,X,X,X,X,X,O,X,X,X,O
IZTLSOJ,O,X,X,X,X,X,X,X,X,X,X,X,O
IZTLOJS,O,O,X,X,X,X,X,X,O,X,X,X,X
IZTLOSJ,X,O,X,X,X,X,X,X,X,X,X,X,O
IZTJLSO,O,X,X,X,X,X,X,X,O,X,X,X,X
IZTJLOS,O,O,X,X,X,X,X,X,O,X,X,X,X
IZTJSLO,O,X,X,X,X,X,X,X,O,O,X,X,X
IZTJSOL,O,X,X,X,X,X,X,X,O,O,X,X,X
IZTJOLS,O,O,X,X,X,X,X,X,O,X,X,X,X
IZTJOSL,O,O,X,X,X,X,X,X,O,O,X,X,X
IZTSLJO,O,X,X,X,X,X,X,X,O,O,X,X,O
IZTSLOJ,O,X,X,X,X,X,X,X,X,O,X,X,O
IZTSJLO,O,X,X,X,X,X,X,X,O,O,X,X,X
IZTSJOL,X,X,X,X,X,X,X,X,O,O,X,X,X
IZTSOLJ,O,X,X,X,X,X,X,X,X,O,X,X,X
IZTSOJL,X,X,X,X,X,X,X,X,X,O,X,X,X
IZTOLJS,X,O,X,X,X,X,X,X,O,X,X,X,X
IZTOLSJ,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTOJLS,X,O,X,X,X,X,X,X,O,X,X,X,X
IZTOJSL,X,O,X,X,X,X,X,X,O,O,X,X,X
IZTOSLJ,X,O,X,X,X,X,X,X,X,O,X,X,X
IZTOSJL,X,O,X,X,X,X,X,X,X,O,X,X,X
IZLTJSO,O,X,X,X,X,X,X,X,O,X,X,X,O
IZLTJOS,O,O,X,X,X,X,X,X,O,X,X,X,X
IZLTSJO,O,X,X,X,X,X,X,X,O,X,X,X,O
IZLTSOJ,O,X,X,X,X,X,X,X,X,X,X,X,O
IZLTOJS,O,O,X,X,X,X,X,X,O,X,X,X,O
IZLTOSJ,X,O,X,X,X,X,X,X,X,X,X,X,O
IZLJTSO,O,X,X,X,X,X,X,X,O,X,X,X,O
IZLJTOS,O,X,X,X,X,X,X,X,O,X,X,X,X
IZLJSTO,O,X,O,O,X,X,X,O,O,X,X,X,X
IZLJSOT,O,X,O,O,X,X,X,O,X,X,X,X,X
IZLJOTS,O,O,X,X,X,X,X,X,X,X,X,X,O
IZLJOST,O,O,X,X,X,X,X,X,X,X,X,X,X
IZLSTJO,O,X,O,O,X,X,X,O,X,X,X,X,O
IZLSTOJ,O,X,O,O,X,X,X,O,X,X,X,X,O
IZLSJTO,O,X,O,O,X,X,X,O,X,X,X,X,X
IZLSJOT,O,X,O,O,X,X,X,O,X,X,X,X,X
IZLSOTJ,O,X,X,O,X,X,X,X,X,X,X,X,O
IZLSOJT,O,X,O,O,X,X,X,X,X,X,X,X,X
IZLOTJS,O,O,X,X,X,X,X,X,X,X,X,X,O
IZLOTSJ,X,O,X,X,X,X,X,X,X,X,X,X,O
IZLOJTS,O,O,X,X,X,X,X,X,X,X,X,X,O
IZLOJST,O,O,X,O,X,X,X,X,X,X,X,X,X
IZLOSTJ,O,O,X,O,X,X,X,X,X,X,X,X,O
IZLOSJT,O,O,X,O,X,X,X,X,X,X,X,X,X
IZJTLSO,O,X,X,X,X,X,X,X,O,X,X,X,X
IZJTLOS,O,X,X,X,X,X,X,X,O,X,X,X,X
IZJTSLO,O,X,X,X,X,X,X,X,O,O,X,X,X
IZJTSOL,X,X,X,X,X,X,X,X,O,O,X,X,X
IZJTOLS,X,X,X,X,X,X,X,X,O,X,X,X,X
IZJTOSL,X,X,X,X,X,X,X,X,O,O,X,X,X
IZJLTSO,O,X,X,X,X,X,X,X,O,X,X,X,X
IZJLTOS,O,X,X,X,X,X,X,X,O,X,X,X,X
IZJLSTO,O,X,O,O,X,X,X,X,O,X,X,X,X
IZJLSOT,O,X,O,O,X,X,X,X,X,X,X,X,X
IZJLOTS,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJLOST,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJSTLO,O,X,O,O,X,X,X,X,O,X,X,X,X
IZJSTOL,X,X,X,O,X,X,X,X,O,X,X,X,X
IZJSLTO,O,X,O,O,X,X,X,X,O,X,X,X,X
IZJSLOT,O,X,O,O,X,X,X,X,X,X,X,X,X
IZJSOTL,X,X,X,O,X,X,X,X,O,X,X,X,X
IZJSOLT,O,X,X,O,X,X,X,X,X,X,X,X,X
IZJOTLS,X,O,X,X,X,X,X,X,O,X,X,X,X
IZJOTSL,X,X,X,X,X,X,X,X,O,O,X,X,X
IZJOLTS,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJOLST,O,O,X,O,X,X,X,X,X,X,X,X,X
IZJOSTL,X,X,X,O,X,X,X,X,O,X,X,X,X
IZJOSLT,O,O,X,O,X,X,X,X,X,X,X,X,X
IZSTLJO,O,X,O,O,X,X,X,O,O,O,X,X,X
IZSTLOJ,O,X,O,O,X,X,X,O,X,O,X,X,X
IZSTJLO,O,X,O,O,X,X,X,X,O,O,X,X,X
IZSTJOL,X,X,X,O,X,X,X,X,O,O,X,X,X
IZSTOLJ,O,X,X,O,X,X,X,X,X,O,X,O,X
IZSTOJL,X,X,X,O,X,X,X,X,X,O,X,O,X
IZSLTJO,O,X,O,O,X,X,X,O,X,X,X,X,X
IZSLTOJ,O,X,O,O,X,X,X,O,X,X,X,X,X
IZSLJTO,O,X,O,O,X,X,X,O,X,X,X,X,X
IZSLJOT,O,X,O,O,X,X,X,O,X,X,X,X,X
IZSLOTJ,O,X,X,O,X,X,X,X,X,X,X,X,X
IZSLOJT,O,X,O,O,X,X,X,X,X,X,X,X,X
IZSJTLO,O,X,O,O,X,X,X,X,O,X,X,X,X
IZSJTOL,X,X,X,O,X,X,X,X,O,X,X,X,X
IZSJLTO,O,X,O,O,X,X,X,X,O,X,X,X,X
IZSJLOT,O,X,O,O,X,X,X,X,X,X,X,X,X
IZSJOTL,X,X,X,O,X,X,X,X,O,X,X,X,X
IZSJOLT,O,X,X,O,X,X,X,X,X,X,X,X,X
IZSOTLJ,X,X,X,O,X,X,X,X,X,O,X,O,X
IZSOTJL,X,X,X,O,X,X,X,X,X,O,X,O,X
IZSOLTJ,O,X,X,O,X,X,X,X,X,X,X,O,X
IZSOLJT,O,X,X,O,X,X,X,X,X,X,X,X,X
IZSOJTL,X,X,X,O,X,X,X,X,X,X,X,O,X
IZSOJLT,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOTLJS,X,O,X,X,X,X,X,X,O,X,X,X,X
IZOTLSJ,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOTJLS,X,O,X,X,X,X,X,X,O,X,X,X,X
IZOTJSL,X,O,X,X,X,X,X,X,O,O,X,X,X
IZOTSLJ,X,O,X,X,X,X,X,X,X,O,X,O,X
IZOTSJL,X,O,X,X,X,X,X,X,X,O,X,O,X
IZOLTJS,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOLTSJ,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOLJTS,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOLJST,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOLSTJ,X,O,X,O,X,X,X,X,X,X,X,O,X
IZOLSJT,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOJTLS,X,O,X,X,X,X,X,X,O,X,X,X,X
IZOJTSL,X,O,X,X,X,X,X,X,O,O,X,X,X
IZOJLTS,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOJLST,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOJSTL,X,X,X,O,X,X,X,X,O,X,X,O,X
IZOJSLT,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOSTLJ,X,O,X,O,X,X,X,X,X,O,X,O,X
IZOSTJL,X,O,X,O,X,X,X,X,X,O,X,O,X
IZOSLTJ,X,O,X,O,X,X,X,X,X,X,X,O,X
IZOSLJT,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOSJTL,X,X,X,O,X,X,X,X,X,X,X,O,X
IZOSJLT,X,O,X,O,X,X,X,X,X,X,X,X,X
IOTLJSZ,X,X,X,X,X,O,X,X,O,O,X,X,O
IOTLJZS,X,X,X,X,X,X,X,X,O,X,X,X,O
IOTLSJZ,X,X,X,X,X,O,X,X,X,O,X,X,O
IOTLSZJ,X,X,X,X,X,O,X,X,X,O,X,X,O
IOTLZJS,X,X,X,X,X,X,X,X,O,X,X,X,O
IOTLZSJ,X,X,X,X,X,X,X,X,X,X,X,X,O
IOTJLSZ,X,X,X,X,X,O,X,X,O,O,X,X,O
IOTJLZS,X,X,X,X,X,X,X,X,O,X,X,X,O
IOTJSLZ,X,X,X,X,X,O,X,X,O,O,X,X,O
IOTJSZL,X,X,X,X,X,X,X,X,O,O,X,X,X
IOTJZLS,X,O,X,X,X,X,X,X,O,X,X,X,X
IOTJZSL,X,O,X,X,X,X,X,X,O,O,X,X,X
IOTSLJZ,X,X,X,X,X,O,X,X,X,O,X,X,O
IOTSLZJ,X,X,X,X,X,O,X,X,X,O,O,X,O
IOTSJLZ,X,X,X,X,X,O,X,X,X,O,X,X,O
IOTSJZL,X,X,X,X,X,X,X,X,X,O,X,X,X
IOTSZLJ,X,X,X,X,X,X,X,X,X,O,X,O,O
IOTSZJL,X,X,X,X,X,X,X,X,X,O,X,O,X
IOTZLJS,X,O,X,X,X,X,X,X,O,X,X,X,O
IOTZLSJ,X,O,X,X,X,X,X,X,X,X,O,X,O
IOTZJLS,X,O,X,X,X,X,X,X,O,X,X,X,X
IOTZJSL,X,O,X,X,X,X,X,X,O,O,O,X,X
IOTZSLJ,X,O,X,X,X,X,X,X,X,O,O,O,O
IOTZSJL,X,O,X,X,X,X,X,X,X,O,O,O,X
IOLTJSZ,X,X,X,X,X,X,X,X,X,O,X,X,O
IOLTJZS,X,X,X,X,X,X,X,X,X,X,X,X,O
IOLTSJZ,X,X,X,X,X,X,X,X,X,O,X,X,O
IOLTSZJ,X,X,X,X,X,X,X,X,X,O,X,X,O
IOLTZJS,X,X,X,X,X,X,X,X,X,X,X,X,O
IOLTZSJ,X,X,X,X,X,X,X,X,X,X,X,X,O
IOLJTSZ,X,X,X,X,X,X,X,X,X,O,X,X,O
IOLJTZS,X,X,X,X,X,X,X,X,X,X,X,X,O
IOLJSTZ,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLJSZT,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLJZTS,X,O,X,X,X,X,X,X,X,X,X,X,O
IOLJZST,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLSTJZ,X,X,X,X,X,O,X,X,X,O,X,X,O
IOLSTZJ,X,X,X,X,X,O,X,X,X,O,O,X,O
IOLSJTZ,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLSJZT,X,X,X,X,X,O,X,X,X,X,O,X,X
IOLSZTJ,X,X,X,X,X,O,X,X,X,X,O,O,O
IOLSZJT,X,X,X,X,X,O,X,X,X,X,O,X,X
IOLZTJS,X,O,X,X,X,X,X,X,X,X,X,X,O
IOLZTSJ,X,O,X,X,X,X,X,X,X,X,O,X,O
IOLZJTS,X,O,X,X,X,X,X,X,X,X,X,X,O
IOLZJST,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLZSTJ,X,O,X,X,X,X,X,X,X,X,O,O,O
IOLZSJT,X,O,X,X,X,X,X,X,X,X,O,X,X
IOJTLSZ,X,X,X,X,X,O,X,X,O,O,X,X,O
IOJTLZS,X,X,X,X,X,X,X,X,O,X,X,X,O
IOJTSLZ,X,X,X,X,X,O,X,X,O,O,X,X,O
IOJTSZL,X,X,X,X,X,X,X,X,O,O,X,X,X
IOJTZLS,X,O,X,X,X,X,X,X,O,X,X,X,X
IOJTZSL,X,O,X,X,X,X,X,X,O,O,X,X,X
IOJLTSZ,X,X,X,X,X,X,X,X,X,O,X,X,O
IOJLTZS,X,X,X,X,X,X,X,X,X,X,X,X,O
IOJLSTZ,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJLSZT,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJLZTS,X,O,X,X,X,X,X,X,X,X,X,X,O
IOJLZST,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJSTLZ,X,X,X,O,X,O,X,X,O,O,X,X,X
IOJSTZL,X,X,X,O,X,X,X,X,O,O,X,X,X
IOJSLTZ,X,X,X,O,X,O,X,X,X,X,X,X,X
IOJSLZT,X,X,X,O,X,O,X,X,X,X,O,X,X
IOJSZTL,X,X,X,O,X,O,X,X,O,X,X,O,X
IOJSZLT,X,O,X,O,X,O,X,X,X,X,X,X,X
IOJZTLS,X,O,X,X,X,X,X,X,O,X,X,X,X
IOJZTSL,X,O,X,X,X,X,X,X,O,O,O,X,X
IOJZLTS,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJZLST,X,O,X,O,X,X,X,X,X,X,X,X,X
IOJZSTL,X,X,X,O,X,X,X,X,O,X,X,O,X
IOJZSLT,X,O,X,O,X,X,X,X,X,X,O,X,X
IOSTLJZ,X,X,X,O,X,O,X,X,X,O,X,X,O
IOSTLZJ,X,X,X,O,X,O,X,X,X,O,O,X,O
IOSTJLZ,X,X,X,O,X,O,X,X,X,O,X,X,O
IOSTJZL,X,X,X,O,X,X,X,X,X,O,X,X,X
IOSTZLJ,X,X,X,X,X,X,X,X,X,O,X,O,O
IOSTZJL,X,X,X,O,X,X,X,X,X,O,X,O,X
IOSLTJZ,X,X,X,X,X,O,X,X,X,O,X,X,O
IOSLTZJ,X,X,X,X,X,O,X,X,X,O,O,X,O
IOSLJTZ,X,X,X,O,X,O,X,X,X,X,X,X,X
IOSLJZT,X,X,X,O,X,O,X,X,X,X,O,X,X
IOSLZTJ,X,X,X,X,X,O,X,X,X,X,O,O,O
IOSLZJT,X,X,X,X,X,O,X,X,X,X,O,X,X
IOSJTLZ,X,X,X,O,X,O,X,X,X,O,X,X,X
IOSJTZL,X,X,X,O,X,X,X,X,X,O,X,X,X
IOSJLTZ,X,X,X,O,X,O,X,X,X,X,X,X,X
IOSJLZT,X,X,X,O,X,O,X,X,X,X,O,X,X
IOSJZTL,X,X,X,O,X,O,X,X,X,X,X,O,X
IOSJZLT,X,O,X,O,X,O,X,X,X,X,X,X,X
IOSZTLJ,X,O,X,O,X,O,X,X,X,O,O,O,X
IOSZTJL,X,O,X,O,X,O,X,X,X,O,O,O,X
IOSZLTJ,X,O,X,O,X,O,X,X,X,X,O,O,X
IOSZLJT,X,O,X,O,X,O,X,X,X,X,O,X,X
IOSZJTL,X,X,X,O,X,O,X,X,X,X,X,O,X
IOSZJLT,X,O,X,O,X,O,X,X,X,X,O,X,X
IOZTLJS,X,O,X,X,X,X,X,X,O,X,X,X,O
IOZTLSJ,X,O,X,X,X,X,X,X,X,X,O,X,O
IOZTJLS,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZTJSL,X,O,X,X,X,X,X,X,O,O,O,X,X
IOZTSLJ,X,O,X,X,X,X,X,X,X,O,O,O,O
IOZTSJL,X,O,X,X,X,X,X,X,X,O,O,O,X
IOZLTJS,X,O,X,X,X,X,X,X,X,X,X,X,O
IOZLTSJ,X,O,X,X,X,X,X,X,X,X,O,X,O
IOZLJTS,X,O,X,X,X,X,X,X,X,X,X,X,O
IOZLJST,X,O,X,O,X,X,X,X,X,X,X,X,X
IOZLSTJ,X,O,X,O,X,X,X,X,X,X,O,O,O
IOZLSJT,X,O,X,O,X,X,X,X,X,X,O,X,X
IOZJTLS,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZJTSL,X,O,X,X,X,X,X,X,O,O,O,X,X
IOZJLTS,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZJLST,X,O,X,O,X,X,X,X,X,X,X,X,X
IOZJSTL,X,X,X,O,X,X,X,X,O,X,X,O,X
IOZJSLT,X,O,X,O,X,X,X,X,X,X,O,X,X
IOZSTLJ,X,O,X,O,X,X,X,X,X,O,O,O,X
IOZSTJL,X,O,X,O,X,X,X,X,X,O,O,O,X
IOZSLTJ,X,O,X,O,X,X,X,X,X,X,O,O,X
IOZSLJT,X,O,X,O,X,X,X,X,X,X,O,X,X
IOZSJTL,X,X,X,O,X,X,X,X,X,X,X,O,X
IOZSJLT,X,O,X,O,X,X,X,X,X,X,O,X,X
LTIJSZO,O,X,X,X,X,O,X,X,O,O,X,X,O
LTIJSOZ,O,X,X,X,X,O,X,X,O,O,X,X,X
LTIJZSO,O,X,X,X,X,X,X,X,O,X,X,X,O
LTIJZOS,O,X,X,X,X,X,X,X,O,X,X,X,X
LTIJOSZ,O,X,X,X,X,X,X,X,O,O,X,X,X
LTIJOZS,O,X,X,X,X,X,X,X,O,X,X,X,X
LTISJZO,X,X,X,X,O,O,X,X,O,O,X,X,O
LTISJOZ,O,X,X,X,O,O,X,X,O,O,X,X,X
LTISZJO,X,X,X,X,X,O,X,X,O,O,X,X,O
LTISZOJ,O,X,X,X,X,O,X,X,X,O,X,X,O
LTISOJZ,O,X,X,X,O,O,X,X,X,O,X,X,X
LTISOZJ,O,X,X,X,X,X,X,X,X,O,X,X,O
LTIZJSO,X,X,X,X,X,X,X,X,O,X,X,X,O
LTIZJOS,X,X,X,X,X,X,X,X,O,X,X,X,X
LTIZSJO,X,X,X,X,X,X,X,X,O,X,X,X,O
LTIZSOJ,X,X,X,X,X,X,X,X,X,X,X,X,O
LTIZOJS,X,X,X,X,X,X,X,X,O,X,X,X,O
LTIZOSJ,X,X,X,X,X,X,X,X,X,X,X,X,O
LTIOJSZ,O,X,X,X,X,X,X,X,O,O,X,X,X
LTIOJZS,O,X,X,X,X,X,X,X,O,X,X,X,X
LTIOSJZ,X,X,X,X,O,X,X,X,X,O,X,X,X
LTIOSZJ,X,X,X,X,X,X,X,X,X,O,X,X,O
LTIOZJS,X,X,X,X,X,X,X,X,O,X,X,X,X
LTIOZSJ,X,X,X,X,X,X,X,X,X,X,X,X,O
LTJISZO,O,X,X,X,O,O,X,X,O,O,X,X,X
LTJISOZ,O,X,X,X,O,O,X,X,O,O,X,X,X
LTJIZSO,O,X,X,X,X,X,X,X,O,X,X,X,X
LTJIZOS,O,X,X,X,X,X,X,X,O,X,X,X,X
LTJIOSZ,O,X,X,X,O,X,X,X,O,O,X,X,X
LTJIOZS,O,X,X,X,X,X,X,X,O,X,X,X,X
LTJSIZO,O,X,O,X,O,O,O,O,O,O,X,X,X
LTJSIOZ,O,X,X,X,O,O,O,X,O,O,X,X,X
LTJSZIO,O,X,O,X,O,O,O,O,O,O,X,X,X
LTJSZOI,O,X,O,X,O,O,O,O,X,X,X,X,X
LTJSOIZ,O,X,X,X,O,O,O,X,O,O,X,X,X
LTJSOZI,O,X,X,X,O,O,O,X,X,X,X,X,X
LTJZISO,O,X,X,X,X,X,X,X,O,X,X,X,X
LTJZIOS,O,O,X,X,X,X,X,X,O,X,X,X,X
LTJZSIO,O,X,O,X,X,O,O,O,O,X,X,X,X
LTJZSOI,O,O,O,X,X,O,O,O,X,X,X,X,X
LTJZOIS,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJZOSI,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJOISZ,O,X,X,X,O,X,X,X,O,X,X,X,X
LTJOIZS,O,X,X,X,X,X,X,X,O,X,X,X,X
LTJOSIZ,O,X,X,X,O,O,X,X,O,X,X,X,X
LTJOSZI,O,X,X,X,O,O,X,X,X,X,X,X,X
LTJOZIS,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJOZSI,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSIJZO,X,X,O,X,O,O,O,X,O,O,X,X,X
LTSIJOZ,O,X,X,X,O,O,O,X,O,O,X,X,X
LTSIZJO,X,X,X,X,X,O,O,O,O,O,X,X,X
LTSIZOJ,O,X,X,X,X,O,X,O,X,O,X,X,X
LTSIOJZ,O,X,X,X,O,O,O,X,X,O,X,X,X
LTSIOZJ,O,X,X,X,X,X,X,X,X,O,X,X,X
LTSJIZO,O,X,O,X,O,O,O,O,O,O,X,X,X
LTSJIOZ,O,X,X,X,O,O,O,X,O,O,X,X,X
LTSJZIO,O,X,O,X,O,O,O,O,O,O,X,X,X
LTSJZOI,O,X,O,X,O,O,O,O,X,X,X,X,X
LTSJOIZ,O,X,X,X,O,O,O,X,O,O,X,X,X
LTSJOZI,O,X,X,X,O,O,O,X,X,X,X,X,X
LTSZIJO,O,X,O,X,X,O,O,O,X,O,X,X,X
