sequence,v115@6gC8HeB8HeE8CeH8BeD8JeK/IvhFzaBRcB3gBGiBlm?BUrB,v115@6gC8HeB8HeE8CeH8BeD8Jex6IvhFygBTfBGiB0lBlm?B3rB,v115@6gC8HeB8HeE8CeH8BeD8JeO/IvhFxbB/iBCgB0lBlm?BTrB,v115@6gC8HeB8HeE8CeH8BeD8JeO/IvhFxbB/iBzfBChBlm?BUrB,v115@6gC8HeB8HeE8CeH8BeD8JeK/IvhFzaBRcBGiBllB3m?BUrB,v115@6gC8HeB8HeE8CeH8BeD8JeO/IvhFxbB/iBCgB0hBll?BTrB,v115@6gC8HeB8HeE8CeH8BeD8Je06IvhFxbB/iB2kBqlBlm?BTrB,v115@6gC8HeB8HeE8CeH8BeD8JeK/IvhFWgBxbB/iB0lBlm?BTrB,v115@6gC8HeB8HeE8CeH8BeD8Jei6IvhF3bBUdB1kBWrBxr?BTrB,v115@6gC8HeB8HeE8CeH8BeD8JeT6IvhF2gBqhB/iBxkBVr?BUrB,v115@6gC8HeB8HeE8CeH8BeD8Jei6IvhFRcB3fBTiBllBcr?BGrB,v115@6gC8HeB8HeE8CeH8BeD8Jex6IvhFygB/iBTfB0lBlm?B+rB,v115@6gC8HeB8HeE8CeH8BeD8JeK/IvhFXcBViBUgBxmBGl?BTrB
TLIZJSO,X,X,X,X,X,X,X,X,O,X,X,X,O
TLIZJOS,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIZSJO,X,X,X,X,X,X,X,X,O,X,X,X,O
TLIZSOJ,X,X,X,X,X,X,X,X,X,X,X,X,O
TLIZOJS,X,X,X,X,X,X,X,X,O,X,X,X,O
TLIZOSJ,X,X,X,X,X,X,X,X,X,X,X,X,O
TLIOJSZ,O,X,X,X,X,X,X,X,O,O,X,X,X
TLIOJZS,O,X,X,X,X,X,X,X,O,X,X,X,X
TLIOSJZ,X,X,X,X,O,X,X,X,X,O,X,X,X
TLIOSZJ,X,X,X,X,X,X,X,X,X,O,X,X,O
TLIOZJS,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIOZSJ,X,X,X,X,X,X,X,X,X,X,X,X,O
TLJISZO,O,X,X,X,O,O,X,X,O,O,X,X,X
TLJISOZ,O,X,X,X,O,O,X,X,O,O,X,X,X
TLJIZSO,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJIZOS,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJIOSZ,O,X,X,X,O,X,X,X,O,O,X,X,X
TLJIOZS,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJSIZO,O,X,O,X,O,O,O,O,O,O,X,X,X
TLJSIOZ,O,X,X,X,O,O,O,X,O,O,X,X,X
TLJSZIO,O,X,O,X,O,O,O,O,O,O,X,X,X
TLJSZOI,O,X,O,X,O,O,O,O,X,X,X,X,X
TLJSOIZ,O,X,X,X,O,O,O,X,O,O,X,X,X
TLJSOZI,O,X,X,X,O,O,O,X,X,X,X,X,X
TLJZISO,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJZIOS,O,O,X,X,X,X,X,X,O,X,X,X,X
TLJZSIO,O,X,O,X,X,O,O,O,O,X,X,X,X
TLJZSOI,O,O,O,X,X,O,O,O,X,X,X,X,X
TLJZOIS,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJZOSI,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,O,X,X,X,O,X,X,X,O,X,X,X,X
TLJOIZS,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJOSIZ,O,X,X,X,O,O,X,X,O,X,X,X,X
TLJOSZI,O,X,X,X,O,O,X,X,X,X,X,X,X
TLJOZIS,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJOZSI,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,X,X,O,X,O,O,O,X,O,O,X,X,X
TLSIJOZ,O,X,X,X,O,O,O,X,O,O,X,X,X
TLSIZJO,X,X,X,X,X,O,O,O,O,O,X,X,X
TLSIZOJ,O,X,X,X,X,O,X,O,X,O,X,X,X
TLSIOJZ,O,X,X,X,O,O,O,X,X,O,X,X,X
TLSIOZJ,O,X,X,X,X,X,X,X,X,O,X,X,X
TLSJIZO,O,X,O,X,O,O,O,O,O,O,X,X,X
TLSJIOZ,O,X,X,X,O,O,O,X,O,O,X,X,X
TLSJZIO,O,X,O,X,O,O,O,O,O,O,X,X,X
TLSJZOI,O,X,O,X,O,O,O,O,X,X,X,X,X
TLSJOIZ,O,X,X,X,O,O,O,X,O,O,X,X,X
TLSJOZI,O,X,X,X,O,O,O,X,X,X,X,X,X
TLSZIJO,O,X,O,X,X,O,O,O,X,O,X,X,X
TLSZIOJ,O,X,O,X,X,O,X,O,X,O,X,X,X
TLSZJIO,O,X,O,X,O,O,O,O,O,O,X,X,X
TLSZJOI,O,X,O,X,O,O,O,O,X,X,X,X,X
TLSZOIJ,O,X,O,X,X,O,X,O,X,X,X,X,X
TLSZOJI,O,X,O,X,O,O,X,O,X,X,X,X,X
TLSOIJZ,O,X,X,X,O,O,O,X,X,O,X,X,X
TLSOIZJ,O,X,X,X,X,O,X,X,X,O,X,X,X
TLSOJIZ,O,X,X,X,O,O,O,X,O,O,X,X,X
TLSOJZI,O,X,X,X,O,O,O,X,X,X,X,X,X
TLSOZIJ,O,X,X,X,X,O,X,O,X,X,X,X,X
TLSOZJI,O,X,X,X,O,O,X,O,X,X,X,X,X
TLZIJSO,O,X,X,X,X,X,X,X,O,X,X,X,O
TLZIJOS,O,O,X,X,X,X,X,X,O,X,X,X,X
TLZISJO,O,X,X,X,X,X,X,X,O,X,X,X,O
TLZISOJ,O,X,X,X,X,X,X,X,X,X,X,X,O
TLZIOJS,O,O,X,X,X,X,X,X,O,X,X,X,O
TLZIOSJ,X,O,X,X,X,X,X,X,X,X,X,X,O
TLZJISO,O,X,X,X,X,X,X,X,O,X,X,X,X
TLZJIOS,O,O,X,X,X,X,X,X,O,X,X,X,X
TLZJSIO,O,X,O,X,X,O,X,O,O,X,X,X,X
TLZJSOI,O,O,O,X,X,O,X,O,X,X,X,X,X
TLZJOIS,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZJOSI,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,O,X,O,X,X,O,X,O,X,X,X,X,X
TLZSIOJ,O,X,O,X,X,O,X,O,X,X,X,X,X
TLZSJIO,O,X,O,X,O,O,X,O,O,X,X,X,X
TLZSJOI,O,O,O,X,O,O,X,O,X,X,X,X,X
TLZSOIJ,O,O,O,X,X,O,X,O,X,X,X,X,X
TLZSOJI,O,O,O,X,O,O,X,O,X,X,X,X,X
TLZOIJS,O,O,X,X,X,X,X,X,X,X,X,X,O
TLZOISJ,X,O,X,X,X,X,X,X,X,X,X,X,O
TLZOJIS,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZOJSI,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZOSJI,O,O,X,X,O,X,X,X,X,X,X,X,X
TLOIJSZ,O,X,X,X,X,X,X,X,O,X,X,X,O
TLOIJZS,O,X,X,X,X,X,X,X,O,X,X,X,O
TLOISJZ,X,X,X,X,O,X,X,X,X,X,X,X,O
TLOISZJ,X,X,X,X,X,X,X,X,X,X,X,X,O
TLOIZJS,X,X,X,X,X,X,X,X,O,X,X,X,O
TLOIZSJ,X,X,X,X,X,X,X,X,X,X,X,X,O
TLOJISZ,O,X,X,X,O,X,X,X,O,X,X,X,X
TLOJIZS,O,X,X,X,X,X,X,X,O,X,X,X,X
TLOJSIZ,O,X,X,X,O,O,X,X,O,X,X,X,X
TLOJSZI,O,X,X,X,O,O,X,X,X,X,X,X,X
TLOJZIS,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOJZSI,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOSIJZ,O,X,X,X,O,O,X,X,X,X,X,X,X
TLOSIZJ,O,X,X,X,X,O,X,X,X,X,X,X,X
TLOSJIZ,O,X,X,X,O,O,X,X,O,X,X,X,X
TLOSJZI,O,X,X,X,O,O,X,X,X,X,X,X,X
TLOSZIJ,O,X,X,X,X,O,X,X,X,X,X,X,X
TLOSZJI,O,X,X,X,O,O,X,X,X,X,X,X,X
TLOZIJS,O,O,X,X,X,X,X,X,X,X,X,X,O
TLOZISJ,X,O,X,X,X,X,X,X,X,X,X,X,O
TLOZJIS,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOZJSI,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOZSJI,O,O,X,X,O,X,X,X,X,X,X,X,X
TJILSZO,O,X,X,X,O,O,X,X,O,O,X,X,X
TJILSOZ,O,X,X,X,O,O,X,X,O,O,X,X,X
TJILZSO,O,X,X,X,X,X,X,X,O,X,X,X,X
TJILZOS,O,X,X,X,X,X,X,X,O,X,X,X,X
TJILOSZ,O,X,X,X,O,X,X,X,O,O,X,X,X
TJILOZS,O,X,X,X,X,X,X,X,O,X,X,X,X
TJISLZO,O,X,X,X,O,O,X,X,O,O,X,X,X
TJISLOZ,O,X,X,X,O,O,X,X,O,O,X,X,X
TJISZLO,O,X,X,X,O,X,X,X,O,O,X,X,X
TJISZOL,X,X,X,X,X,X,X,X,O,O,X,X,X
TJISOLZ,O,X,X,X,O,X,X,X,O,O,X,X,X
TJISOZL,X,X,X,X,X,X,X,X,O,O,X,X,X
TJIZLSO,O,X,X,X,X,X,X,X,O,X,X,X,X
TJIZLOS,O,O,X,X,X,X,X,X,O,X,X,X,X
TJIZSLO,O,X,X,X,X,X,X,X,O,O,X,X,X
TJIZSOL,X,X,X,X,X,X,X,X,O,O,X,X,X
TJIZOLS,X,O,X,X,X,X,X,X,O,X,X,X,X
TJIZOSL,X,O,X,X,X,X,X,X,O,O,X,X,X
TJIOLSZ,O,X,X,X,X,X,X,X,O,O,X,X,X
TJIOLZS,O,X,X,X,X,X,X,X,O,X,X,X,X
TJIOSLZ,O,X,X,X,X,X,X,X,O,O,X,X,X
TJIOSZL,X,X,X,X,X,X,X,X,O,O,X,X,X
TJIOZLS,X,O,X,X,X,X,X,X,O,X,X,X,X
TJIOZSL,X,O,X,X,X,X,X,X,O,O,X,X,X
TJLISZO,O,X,X,X,O,O,X,X,O,O,X,X,X
TJLISOZ,O,X,X,X,O,O,X,X,O,O,X,X,X
TJLIZSO,O,X,X,X,X,X,X,X,O,X,X,X,X
TJLIZOS,O,X,X,X,X,X,X,X,O,X,X,X,X
TJLIOSZ,O,X,X,X,O,X,X,X,O,O,X,X,X
TJLIOZS,O,X,X,X,X,X,X,X,O,X,X,X,X
TJLSIZO,O,X,O,X,O,O,O,X,O,O,X,X,X
TJLSIOZ,O,X,X,X,O,O,O,X,O,O,X,X,X
TJLSZIO,O,X,O,X,O,O,O,X,O,O,X,X,X
TJLSZOI,O,X,O,X,O,O,O,X,X,X,X,X,X
TJLSOIZ,O,X,X,X,O,O,O,X,O,O,X,X,X
TJLSOZI,O,X,X,X,O,O,O,X,X,X,X,X,X
TJLZISO,O,X,X,X,X,X,X,X,O,X,X,X,X
TJLZIOS,O,O,X,X,X,X,X,X,O,X,X,X,X
TJLZSIO,O,X,O,X,X,O,O,X,O,X,X,X,X
TJLZSOI,O,O,O,X,X,O,O,X,X,X,X,X,X
TJLZOIS,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLZOSI,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLOISZ,O,X,X,X,O,X,X,X,O,X,X,X,X
TJLOIZS,O,X,X,X,X,X,X,X,O,X,X,X,X
TJLOSIZ,O,X,X,X,O,O,X,X,O,X,X,X,X
TJLOSZI,O,X,X,X,O,O,X,X,X,X,X,X,X
TJLOZIS,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLOZSI,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSILZO,O,X,X,O,O,O,O,X,O,O,X,X,X
TJSILOZ,O,X,X,O,O,O,O,X,O,O,X,X,X
TJSIZLO,O,X,O,X,O,X,X,X,O,O,X,X,X
TJSIZOL,X,X,X,X,X,X,X,X,O,O,X,X,X
TJSIOLZ,O,X,X,O,O,X,X,X,O,O,X,X,X
TJSIOZL,X,X,X,O,X,X,X,X,O,O,X,X,X
TJSLIZO,O,X,O,O,O,O,O,X,O,O,X,X,X
TJSLIOZ,O,X,X,O,O,O,O,X,O,O,X,X,X
TJSLZIO,O,X,O,O,O,O,O,X,O,O,X,X,X
TJSLZOI,O,X,O,X,O,O,O,X,X,X,X,X,X
TJSLOIZ,O,X,X,O,O,O,O,X,O,O,X,X,X
TJSLOZI,O,X,X,O,O,O,O,X,X,X,X,X,X
TJSZILO,O,X,O,O,O,O,O,X,O,O,X,X,X
TJSZIOL,X,X,X,O,X,O,X,X,O,O,X,X,X
TJSZLIO,O,X,O,O,O,O,O,X,O,O,X,X,X
TJSZLOI,O,O,O,O,O,O,O,X,X,X,X,X,X
TJSZOIL,X,O,X,O,X,O,X,X,X,X,X,X,X
TJSZOLI,X,O,O,O,X,X,X,X,X,X,X,X,X
TJSOILZ,O,X,X,O,O,O,X,X,O,O,X,X,X
TJSOIZL,X,X,X,O,X,X,X,X,O,O,X,X,X
TJSOLIZ,O,X,X,O,O,O,O,X,O,O,X,X,X
TJSOLZI,O,X,X,O,O,O,O,X,X,X,X,X,X
TJSOZIL,X,O,X,O,X,O,X,X,X,X,X,X,X
TJSOZLI,X,O,O,O,X,O,X,X,X,X,X,X,X
TJZILSO,O,X,X,X,X,X,X,X,O,X,X,X,X
TJZILOS,O,O,X,X,X,X,X,X,O,X,X,X,X
TJZISLO,O,X,X,X,X,X,X,X,O,O,X,X,X
TJZISOL,X,X,X,X,X,X,X,X,O,O,X,X,X
TJZIOLS,X,O,X,X,X,X,X,X,O,X,X,X,X
TJZIOSL,X,O,X,X,X,X,X,X,O,O,X,X,X
TJZLISO,O,X,X,X,X,X,X,X,O,X,X,X,X
TJZLIOS,O,O,X,X,X,X,X,X,O,X,X,X,X
TJZLSIO,O,X,O,O,X,O,O,X,O,X,X,X,X
TJZLSOI,O,O,O,X,X,O,O,X,X,X,X,X,X
TJZLOIS,O,O,X,X,X,X,X,X,X,X,X,X,X
TJZLOSI,O,O,X,X,X,X,X,X,X,X,X,X,X
TJZSILO,O,X,O,O,X,X,O,X,O,O,X,X,X
TJZSIOL,X,X,X,O,X,X,X,X,O,O,X,X,X
TJZSLIO,O,X,O,O,X,O,O,X,O,O,X,X,X
TJZSLOI,O,O,O,O,X,O,O,X,X,X,X,X,X
TJZSOIL,X,O,X,O,X,X,X,X,X,X,X,X,X
TJZSOLI,X,O,O,O,X,X,X,X,X,X,X,X,X
TJZOILS,X,O,X,X,X,X,X,X,X,X,X,X,X
TJZOISL,X,O,X,X,X,X,X,X,X,X,X,X,X
TJZOLIS,X,O,X,X,X,X,X,X,X,X,X,X,X
