sequence,v115@zgC8GeB8HeB8GeE8EeH8AeB8Je37IvhFRdBcjBylB+?mBTiBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8Je37IvhFRdBcjB6mBT?iBmlBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeaBJvhFRdBcjBTgBG?iB3mBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR8IvhFuiBcjBTgBi?hB3mBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR8IvhF3dBcjBTgBO?mBCnBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR8IvhF3dBcjBTgBK?mBWnBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeC8IvhFTeB2lBxhB0?iB3mBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR8IvhFCeBTgBOmB8?mBXjBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR9IvhFcjBigBGiBz?gB3mBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR8IvhFGeBTgBKmBf?nBliB8sB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeaCJvhFuiBcjBxgB3?gBTmBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8Jez8IvhFWjBigBXjBR?mBUmBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR8IvhFWjBigBzhBX?jBUmBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8Jez7IvhFRdBcjB2lBS?nB3mBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR8IvhFGeBigBfnBU?mBznBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8Je37IvhFaiBuiBcjBx?lBTmBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JecAJvhFTcBGeBynBF?mBRsB/sB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JecAJvhFTcBxdBOoBF?mBXnB6sB,v115@zgC8GeB8HeB8GeE8EeH8AeB8Je37IvhFTeBxlBmnBc?mBVsB6sB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeC+IvhF2lBRhBXjBz?hBUmBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JecAJvhFmcBCeBXjBR?mBTmBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8Je1AJvhFzcBSjB3iBx?lB8sB2wB
IZOJTLS,X,X,X,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X,O,X,X,O
IZOJTSL,X,O,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,O,X
IZOJLTS,X,X,O,X,O,O,X,O,X,O,O,X,X,O,O,X,X,X,O,X,X,O
IZOJLST,O,X,O,O,O,O,X,O,X,O,O,O,X,X,O,X,X,X,O,X,X,X
IZOJSTL,X,O,X,O,O,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IZOJSLT,X,O,X,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,O,X,O,X
IZOSTLJ,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,O
IZOSTJL,X,X,O,O,O,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,O,X
IZOSLTJ,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O
IZOSLJT,X,X,O,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X
IZOSJTL,X,X,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X
IZOSJLT,X,X,O,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,O,X,O,X
IOTLJSZ,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTLJZS,X,X,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O
IOTLSJZ,X,X,X,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTLSZJ,X,X,X,O,O,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,O
IOTLZJS,X,X,O,O,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O
IOTLZSJ,X,X,O,X,O,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,O
IOTJLSZ,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTJLZS,X,X,O,X,O,O,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O
IOTJSLZ,X,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTJSZL,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOTJZLS,X,X,O,O,O,O,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,O
IOTJZSL,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOTSLJZ,X,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTSLZJ,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
IOTSJLZ,X,X,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTSJZL,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOTSZLJ,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
IOTSZJL,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOTZLJS,X,X,O,O,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O
IOTZLSJ,X,X,O,X,O,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,O
IOTZJLS,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,O
IOTZJSL,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOTZSLJ,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
IOTZSJL,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOLTJSZ,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLTJZS,X,X,O,X,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,O
IOLTSJZ,X,X,X,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLTSZJ,X,X,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
IOLTZJS,X,X,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O
IOLTZSJ,X,X,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
IOLJTSZ,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLJTZS,X,X,X,X,O,O,X,X,X,O,O,O,X,X,O,X,X,X,O,X,X,O
IOLJSTZ,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLJSZT,X,X,X,X,O,O,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X
IOLJZTS,X,X,X,X,O,O,X,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X
IOLJZST,X,X,X,X,O,O,X,O,X,O,O,O,X,X,O,X,X,X,O,X,X,X
IOLSTJZ,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLSTZJ,X,X,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
IOLSJTZ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLSJZT,X,X,O,O,X,O,X,O,X,O,X,O,X,X,O,X,X,X,O,X,X,X
IOLSZTJ,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZJT,X,X,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOLZTJS,X,X,O,X,X,O,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X,O
IOLZTSJ,X,X,O,X,O,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,O
IOLZJTS,X,X,O,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O
IOLZJST,X,X,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
IOLZSTJ,X,X,O,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O
IOLZSJT,X,X,O,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
IOJTLSZ,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOJTLZS,X,X,X,X,O,O,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O
IOJTSLZ,X,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJTSZL,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOJTZLS,X,X,X,O,O,O,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,O
IOJTZSL,X,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOJLTSZ,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOJLTZS,X,X,X,X,O,O,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,O
IOJLSTZ,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOJLSZT,X,X,X,X,O,O,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X
IOJLZTS,X,X,X,X,O,O,O,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X
IOJLZST,X,X,X,X,O,O,O,O,X,O,O,O,X,X,O,X,X,X,O,X,X,X
IOJSTLZ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSTZL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOJSLTZ,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOJSLZT,X,X,X,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
IOJSZTL,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOJSZLT,X,X,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IOJZTLS,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,O
IOJZTSL,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOJZLTS,X,X,X,X,O,O,O,O,X,O,O,X,X,X,O,X,X,X,O,X,X,O
IOJZLST,X,X,X,O,O,O,O,O,X,O,O,O,X,X,O,X,X,X,O,X,X,X
IOJZSTL,X,X,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IOJZSLT,X,X,X,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X
IOSTLJZ,X,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSTLZJ,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
IOSTJLZ,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSTJZL,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOSTZLJ,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
IOSTZJL,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOSLTJZ,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOSLTZJ,X,X,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
IOSLJTZ,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOSLJZT,X,X,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
IOSLZTJ,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSLZJT,X,X,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOSJTLZ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJTZL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOSJLTZ,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOSJLZT,X,X,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
IOSJZTL,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOSJZLT,X,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IOSZTLJ,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
IOSZTJL,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOSZLTJ,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O
IOSZLJT,X,X,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOSZJTL,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOSZJLT,X,X,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
IOZTLJS,X,X,O,O,O,O,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,O
IOZTLSJ,X,X,O,X,O,O,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,O
IOZTJLS,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,O,O,X,X,X,X,O
IOZTJSL,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOZTSLJ,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,O
IOZTSJL,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOZLTJS,X,X,O,X,X,O,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X,O
IOZLTSJ,X,X,O,X,O,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,O
IOZLJTS,X,X,O,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O
IOZLJST,X,X,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
IOZLSTJ,X,X,O,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O
IOZLSJT,X,X,O,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
IOZJTLS,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,O
IOZJTSL,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOZJLTS,X,X,O,X,O,O,X,O,X,O,O,X,X,X,O,X,X,X,O,X,X,O
IOZJLST,X,X,O,O,O,O,X,O,X,O,O,O,X,X,O,X,X,X,O,X,X,X
IOZJSTL,X,X,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IOZJSLT,X,X,X,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X
IOZSTLJ,X,X,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
IOZSTJL,X,X,O,O,O,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X
IOZSLTJ,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O
IOZSLJT,X,X,O,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
IOZSJTL,X,X,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IOZSJLT,X,X,O,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X
LTIJSZO,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTIJSOZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIJZSO,O,X,X,X,O,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X
LTIJZOS,O,X,X,X,O,O,X,X,O,O,X,O,O,O,O,O,X,X,X,X,X,X
LTIJOSZ,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
LTIJOZS,O,X,X,X,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X,O
LTISJZO,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LTISJOZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTISZJO,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LTISZOJ,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
LTISOJZ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTISOZJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
LTIZJSO,O,O,X,X,O,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X
LTIZJOS,O,X,X,X,O,O,X,X,O,O,O,O,O,O,O,O,X,X,X,X,X,X
LTIZSJO,O,O,X,X,O,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X
LTIZSOJ,O,O,X,X,O,O,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X
LTIZOJS,X,O,X,X,O,O,X,X,X,X,O,O,O,O,O,O,X,X,X,X,X,O
LTIZOSJ,O,O,X,X,O,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O
LTIOJSZ,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTIOJZS,X,X,X,X,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,O
LTIOSJZ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTIOSZJ,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
LTIOZJS,X,O,X,X,O,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,O
LTIOZSJ,X,O,X,X,O,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O
LTJISZO,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
LTJISOZ,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
LTJIZSO,O,O,X,X,O,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X
LTJIZOS,O,O,X,X,O,O,O,X,O,O,X,O,O,O,O,O,X,X,X,X,X,X
LTJIOSZ,O,O,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
LTJIOZS,O,O,X,X,O,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X
LTJSIZO,O,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
LTJSIOZ,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
LTJSZIO,O,O,O,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
LTJSZOI,O,O,O,X,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LTJSOIZ,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
LTJSOZI,O,O,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LTJZISO,O,O,O,X,O,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X
LTJZIOS,O,O,O,X,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,X,X,X
LTJZSIO,O,O,O,X,O,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X
LTJZSOI,O,O,O,X,O,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
LTJZOIS,O,O,O,X,O,O,O,X,O,X,O,X,O,O,O,O,X,X,X,X,X,X
LTJZOSI,O,O,O,X,O,O,X,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X
LTJOISZ,O,O,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTJOIZS,O,O,O,X,O,O,O,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X
LTJOSIZ,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTJOSZI,O,O,O,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LTJOZIS,O,O,O,X,O,O,O,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X
LTJOZSI,O,O,O,X,O,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X
LTSIJZO,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X
LTSIJOZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
LTSIZJO,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X
LTSIZOJ,O,O,O,O,X,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X
LTSIOJZ,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTSIOZJ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTSJIZO,O,X,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
LTSJIOZ,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
LTSJZIO,O,O,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,O,X
LTSJZOI,O,O,O,O,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LTSJOIZ,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
LTSJOZI,O,O,O,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LTSZIJO,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,O,X
LTSZIOJ,O,O,O,O,O,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X
LTSZJIO,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X,O,O,X
LTSZJOI,O,O,O,O,O,O,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
LTSZOIJ,O,O,O,O,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X
LTSZOJI,O,O,O,O,O,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
LTSOIJZ,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTSOIZJ,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSOJIZ,O,X,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
LTSOJZI,O,O,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LTSOZIJ,O,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
LTSOZJI,O,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZIJSO,O,O,O,X,O,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,O,X
LTZIJOS,O,X,O,X,O,O,X,X,O,O,O,O,O,O,O,O,X,X,X,X,X,O
LTZISJO,O,O,O,X,O,O,X,O,O,O,X,X,X,O,O,O,X,X,X,X,O,X
LTZISOJ,O,O,O,X,O,O,X,O,X,O,X,X,O,X,O,O,X,X,X,X,O,O
LTZIOJS,O,O,O,X,O,O,X,X,X,X,O,O,O,O,O,O,X,X,X,X,X,O
LTZIOSJ,O,O,O,X,O,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O
LTZJISO,O,O,O,X,O,O,X,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
LTZJIOS,O,O,O,X,O,O,X,X,O,O,O,O,O,O,O,O,X,X,X,X,X,X
LTZJSIO,O,O,O,O,O,O,X,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X
LTZJSOI,O,O,O,O,O,O,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
LTZJOIS,O,O,O,O,O,O,X,X,O,X,O,X,O,O,O,O,X,X,X,X,X,X
LTZJOSI,O,O,O,O,O,O,X,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X
LTZSIJO,O,O,O,O,O,O,X,O,O,O,X,X,X,O,O,O,X,X,X,X,O,X
LTZSIOJ,O,O,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X,X,X,O,X
LTZSJIO,O,O,O,O,O,O,X,O,O,O,X,X,X,O,O,O,X,X,X,X,O,X
LTZSJOI,O,O,O,O,O,O,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
LTZSOIJ,O,O,O,O,O,O,X,O,X,O,O,X,O,X,O,X,X,X,X,X,O,X
LTZSOJI,O,O,O,O,O,O,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
LTZOIJS,O,O,O,O,O,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
LTZOISJ,O,O,O,X,O,O,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
LTZOJIS,O,O,O,O,O,O,X,O,O,X,O,X,O,O,O,O,X,X,X,X,X,X
LTZOJSI,O,O,O,O,O,O,X,O,O,O,O,X,O,O,O,X,X,X,X,X,X,X
LTZOSIJ,O,O,O,O,O,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
LTZOSJI,O,O,O,O,O,O,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X
LTOIJSZ,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTOIJZS,X,X,O,X,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X
LTOISJZ,X,X,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTOISZJ,X,O,X,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTOIZJS,X,O,O,O,O,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
LTOIZSJ,X,O,O,X,O,O,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
LTOJISZ,O,O,X,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
LTOJIZS,O,O,O,X,O,O,O,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X
LTOJSIZ,O,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOJSZI,O,O,O,X,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LTOJZIS,O,O,O,X,O,O,O,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X
LTOJZSI,O,O,O,X,O,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X
LTOSIJZ,X,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOSIZJ,X,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOSJIZ,O,X,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOSJZI,O,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
